actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
574,PT05M34.00S,2024-04-08T00:05:17.8Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612740,99,101,2024-04-08T00:05:24Z,5550000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,572.0,,,,,,,,,,,,,,,
575,PT05M34.00S,2024-04-08T00:05:24.8Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612740,99,101,2024-04-08T00:05:30Z,5560000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,201639.0,,,,
576,PT05M16.00S,2024-04-08T00:05:54.3Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,64.86530880420499,32.35294117647059,1610612756,99,101,2024-04-08T00:06:00Z,5570000,False,-88.0,278.0,1,right,MISS G. Allen 29' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,29.15,Missed,,,,,,,,,,,,,,,,,,
577,PT05M14.00S,2024-04-08T00:05:56.3Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612756,99,101,2024-04-08T00:06:00Z,5580000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Center,,,,,576.0,,,,,,,,,,,,,,,
578,PT05M13.00S,2024-04-08T00:06:17.8Z,4,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201142,78.13731931668858,61.51960784313726,1610612756,99,101,2024-04-08T00:06:23Z,5590000,False,58.0,153.0,1,right,MISS K. Durant 16' Jump Shot,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,16.35,Missed,,,,,,,,,,,,,,,,,,
579,PT05M09.00S,2024-04-08T00:06:21.2Z,4,REGULAR,rebound,offensive,[],1626220,,,1610612756,99,101,2024-04-08T00:06:21Z,5600000,False,,,0,,R. O'Neale REBOUND (Off:1 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Right Center,,,,,578.0,2.0,1.0,1.0,,,,,,,,,,,,
580,PT05M08.00S,2024-04-08T00:06:22.4Z,4,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628960,76.42904073587385,9.803921568627452,1610612756,99,101,2024-04-08T00:06:27Z,5610000,False,-201.0,169.0,1,right,MISS G. Allen 26' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
581,PT05M04.00S,2024-04-08T00:06:26.4Z,4,REGULAR,rebound,defensive,[],1630530,,,1610612740,99,101,2024-04-08T00:06:27Z,5620000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:3),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,,580.0,4.0,3.0,1.0,,,,,,,,,,,,
582,PT04M55.00S,2024-04-08T00:06:35.3Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,20.05584756898817,65.68627450980392,1610612740,99,103,2024-04-08T00:06:39Z,5630000,False,-78.0,136.0,1,left,Z. Williamson 15' pullup Jump Shot (25 PTS),[1629627],1610612740.0,NOP,pullup,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Left,15.7,Made,,,,,,,25.0,,,,,,,,,,,
583,PT04M53.00S,2024-04-08T00:06:40.8Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,99,103,2024-04-08T00:06:40Z,5640000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
