actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
90,PT04M14.00S,2024-01-23T02:23:31.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,13,25,2024-01-23T02:23:31Z,890000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M05.00S,2024-01-23T02:26:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,6.915243101182654,51.225490196078425,1610612756,13,25,2024-01-23T02:26:44Z,900000,False,-6.0,13.0,1,left,MISS G. Allen driving Layup - blocked,"[1628960, 1627936]",1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.39,Missed,,,,,,,,,,,,,,,,,Caruso,1627936.0
92,PT04M05.00S,2024-01-23T02:26:30.3Z,1,REGULAR,block,,[],1627936,,,1610612756,13,25,2024-01-23T02:26:44Z,910000,False,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
93,PT04M05.00S,2024-01-23T02:26:30.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,13,25,2024-01-23T02:26:44Z,920000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,91.0,,,,,,,,,,,,,,,,,
95,PT03M55.00S,2024-01-23T02:26:50.0Z,1,REGULAR,3pt,Jump Shot,[],1629632,67.88764783180025,76.7156862745098,1610612741,13,28,2024-01-23T02:26:54Z,940000,False,134.0,249.0,1,right,C. White 28' 3PT pullup (9 PTS),[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Right Center,28.29,Made,,9.0,,,,,,,,,,,,,,,,
96,PT03M34.00S,2024-01-23T02:27:10.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,25.57490144546649,15.686274509803921,1610612756,16,28,2024-01-23T02:27:14Z,950000,False,172.0,188.0,1,left,D. Booker 25' 3PT  (5 PTS) (G. Allen 1 AST),"[1626164, 1628960]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.45,Made,,5.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,
98,PT03M19.00S,2024-01-23T02:27:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.11760840998686,54.65686274509803,1610612741,16,30,2024-01-23T02:27:30Z,970000,False,23.0,12.0,1,right,C. White driving Layup (11 PTS),[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,Restricted Area,0-8 Center,2.63,Made,,11.0,,,,,,,,,,,,,,,,
99,PT03M07.00S,2024-01-23T02:27:37.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,5.732588699080158,78.18627450980392,1610612756,18,30,2024-01-23T02:27:40Z,980000,False,-141.0,1.0,1,left,D. Booker 14' pullup Jump Shot (7 PTS) (J. Nurkic 2 AST),"[1626164, 203994]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,14.09,Made,,7.0,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,
100,PT03M03.00S,2024-01-23T02:27:43.9Z,1,REGULAR,foul,personal,[],1626164,,,1610612741,18,30,2024-01-23T02:27:49Z,990000,False,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1631207]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,202026.0,,1.0,0.0,Terry,1631207.0,,,,
102,PT03M03.00S,2024-01-23T02:27:50.2Z,1,REGULAR,substitution,out,[],203994,,,1610612741,18,30,2024-01-23T02:27:59Z,1010000,False,,,0,,SUB out: J. Nurkic,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M03.00S,2024-01-23T02:27:50.2Z,1,REGULAR,substitution,out,[],201142,,,1610612741,18,30,2024-01-23T02:27:59Z,1020000,False,,,0,,SUB out: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M03.00S,2024-01-23T02:27:50.2Z,1,REGULAR,substitution,in,[],1628966,,,1610612741,18,30,2024-01-23T02:27:59Z,1030000,False,,,0,,SUB in: K. Bates-Diop,[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M03.00S,2024-01-23T02:27:50.2Z,1,REGULAR,substitution,in,[],1629234,,,1610612741,18,30,2024-01-23T02:27:59Z,1040000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M56.00S,2024-01-23T02:28:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,91.40932982917214,49.50980392156863,1610612741,18,32,2024-01-23T02:28:20Z,1050000,False,-2.0,28.0,1,right,A. Dosunmu cutting Layup (6 PTS) (N. Vucevic 4 AST),"[1630245, 202696]",1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,2.84,Made,,6.0,N. Vucevic,202696.0,4.0,,,,,,,,,,,,,
108,PT02M30.00S,2024-01-23T02:28:42.2Z,1,REGULAR,3pt,Jump Shot,[],1626164,27.808804204993432,81.61764705882352,1610612756,18,32,2024-01-23T02:28:45Z,1070000,False,-158.0,209.0,1,left,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
109,PT02M29.00S,2024-01-23T02:28:43.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,18,32,2024-01-23T02:28:45Z,1080000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:5),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,108.0,,,,,7.0,5.0,2.0,,,,,,,,,,
110,PT02M17.00S,2024-01-23T02:28:55.4Z,1,REGULAR,3pt,Jump Shot,[],1627936,94.56307490144546,2.2058823529411766,1610612741,18,35,2024-01-23T02:29:00Z,1090000,False,-239.0,-1.0,1,right,A. Caruso 3PT  (9 PTS) (C. White 5 AST),"[1627936, 1629632]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,23.9,Made,,9.0,C. White,1629632.0,5.0,,,,,,,,,,,,,
112,PT01M53.00S,2024-01-23T02:29:19.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,28.728646517739815,78.18627450980392,1610612756,18,35,2024-01-23T02:29:23Z,1110000,False,-141.0,218.0,1,left,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
113,PT01M51.00S,2024-01-23T02:29:21.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,18,35,2024-01-23T02:29:23Z,1120000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,112.0,,,,,,,,,,,,,,,,,
115,PT01M51.00S,2024-01-23T02:29:24.9Z,1,REGULAR,substitution,out,[],1628960,,,1610612741,18,35,2024-01-23T02:29:37Z,1140000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M51.00S,2024-01-23T02:29:24.9Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,18,35,2024-01-23T02:29:37Z,1150000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M51.00S,2024-01-23T02:29:24.9Z,1,REGULAR,substitution,out,[],202696,,,1610612741,18,35,2024-01-23T02:29:37Z,1160000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M51.00S,2024-01-23T02:29:24.9Z,1,REGULAR,substitution,in,[],203078,,,1610612741,18,35,2024-01-23T02:29:37Z,1170000,False,,,0,,SUB in: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M51.00S,2024-01-23T02:29:24.9Z,1,REGULAR,substitution,in,[],203083,,,1610612741,18,35,2024-01-23T02:29:37Z,1180000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M51.00S,2024-01-23T02:29:24.9Z,1,REGULAR,substitution,in,[],201942,,,1610612741,18,35,2024-01-23T02:29:37Z,1190000,False,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M39.00S,2024-01-23T02:29:53.4Z,1,REGULAR,3pt,Jump Shot,[],1630245,71.56701708278581,23.774509803921568,1610612741,18,35,2024-01-23T02:31:18Z,1200000,False,-131.0,215.0,1,right,MISS A. Dosunmu 25' step back 3PT,[1630245],1610612741.0,CHI,step back,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
122,PT01M36.00S,2024-01-23T02:29:56.3Z,1,REGULAR,rebound,offensive,[],203083,,,1610612741,18,35,2024-01-23T02:29:56Z,1210000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,121.0,,,,,1.0,0.0,1.0,,,,,,,,,,
123,PT01M26.00S,2024-01-23T02:30:07.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201942,83.13074901445466,28.186274509803923,1610612741,18,37,2024-01-23T02:30:10Z,1220000,False,-109.0,106.0,1,right,D. DeRozan 15' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,15.22,Made,,2.0,,,,,,,,,,,,,,,,
124,PT01M00.00S,2024-01-23T02:30:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629234,7.703679369250986,63.48039215686274,1610612756,20,37,2024-01-23T02:32:29Z,1230000,False,-67.0,20.0,1,left,D. Eubanks 7' driving floating Jump Shot (2 PTS),[1629234],1610612756.0,PHX,driving floating,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,7.03,Made,,2.0,,,,,,,,,,,,,,,,
127,PT00M39.70S,2024-01-23T02:31:05.3Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612741,20,37,2024-01-23T02:31:09Z,1250000,False,,,0,,A. Caruso bad pass TURNOVER (2 TO),"[1627936, 1626164]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,2.0,,,,,Booker,1626164.0,,
128,PT00M39.70S,2024-01-23T02:31:05.3Z,1,REGULAR,steal,,[],1626164,,,1610612756,20,37,2024-01-23T02:31:06Z,1260000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
129,PT00M38.40S,2024-01-23T02:31:08.8Z,1,REGULAR,foul,personal,[],201942,,,1610612756,20,37,2024-01-23T02:31:26Z,1270000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1626164]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1830.0,,1.0,0.0,Booker,1626164.0,,,,
131,PT00M38.40S,2024-01-23T02:31:28.8Z,1,REGULAR,substitution,out,[],203083,,,1610612756,20,37,2024-01-23T02:31:32Z,1290000,False,,,0,,SUB out: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M38.40S,2024-01-23T02:31:28.8Z,1,REGULAR,substitution,in,[],202696,,,1610612756,20,37,2024-01-23T02:31:32Z,1300000,False,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M14.00S,2024-01-23T02:32:07.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203078,18.610381077529567,65.44117647058823,1610612756,22,37,2024-01-23T02:32:11Z,1310000,False,-77.0,122.0,1,left,B. Beal 14' step back Jump Shot (6 PTS),[203078],1610612756.0,PHX,step back,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Left,14.47,Made,,6.0,,,,,,,,,,,,,,,,
134,PT00M02.70S,2024-01-23T02:32:27.3Z,1,REGULAR,3pt,Jump Shot,[],1627936,66.83639947437582,30.14705882352941,1610612741,22,37,2024-01-23T02:32:32Z,1320000,False,-99.0,259.0,1,right,MISS A. Caruso 27' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,27.76,Missed,,,,,,,,,,,,,,,,,,
135,PT00M02.70S,2024-01-23T02:32:27.3Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612756,22,37,2024-01-23T02:32:32Z,1330000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,,,134.0,,,,,1.0,1.0,0.0,,,,,,,,,,
136,PT00M00.00S,2024-01-23T02:32:31.8Z,1,REGULAR,period,end,[],0,,,1610612756,22,37,2024-01-23T02:32:31Z,1340000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,out,['startperiod'],1626164,,,1610612756,22,37,2024-01-23T02:35:07Z,1350000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,out,['startperiod'],1629006,,,1610612756,22,37,2024-01-23T02:35:07Z,1360000,False,,,0,,SUB out: J. Okogie,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,out,['startperiod'],1631207,,,1610612756,22,37,2024-01-23T02:35:07Z,1370000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,out,['startperiod'],202696,,,1610612756,22,37,2024-01-23T02:35:07Z,1380000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,in,['startperiod'],201142,,,1610612756,22,37,2024-01-23T02:35:07Z,1390000,False,,,0,,SUB in: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,in,['startperiod'],1630240,,,1610612756,22,37,2024-01-23T02:35:07Z,1400000,False,,,0,,SUB in: S. Lee,[1630240],1610612756.0,PHX,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,in,['startperiod'],203083,,,1610612756,22,37,2024-01-23T02:35:07Z,1410000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2024-01-23T02:34:46.0Z,2,REGULAR,substitution,in,['startperiod'],1628975,,,1610612756,22,37,2024-01-23T02:35:07Z,1420000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2024-01-23T02:35:14.3Z,2,REGULAR,period,start,[],0,,,1610612741,22,37,2024-01-23T02:35:14Z,1430000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M42.00S,2024-01-23T02:35:30.5Z,2,REGULAR,2pt,Jump Shot,[],201942,92.32917214191852,24.264705882352942,1610612741,22,39,2024-01-23T02:35:56Z,1440000,False,-129.0,20.0,1,right,D. DeRozan 13' step back Jump Shot (4 PTS),[201942],1610612741.0,CHI,step back,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,13.02,Made,,4.0,,,,,,,,,,,,,,,,
147,PT11M23.00S,2024-01-23T02:35:52.8Z,2,REGULAR,violation,kicked ball,[],1627936,,,1610612756,22,39,2024-01-23T02:35:59Z,1450000,False,,,0,,A. Caruso kicked ball VIOLATION,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,202026.0,,,,,,,,,
148,PT11M16.00S,2024-01-23T02:36:12.1Z,2,REGULAR,turnover,bad pass,[],201142,,,1610612756,22,39,2024-01-23T02:36:15Z,1460000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 201942]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,DeRozan,201942.0,,
149,PT11M16.00S,2024-01-23T02:36:12.1Z,2,REGULAR,steal,,[],201942,,,1610612741,22,39,2024-01-23T02:36:13Z,1470000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
150,PT11M11.00S,2024-01-23T02:36:17.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201942,92.46057818659659,45.34313725490196,1610612741,22,39,2024-01-23T02:36:39Z,1480000,False,-23.0,18.0,1,right,MISS D. DeRozan running Layup,[201942],1610612741.0,CHI,running,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,,,,,,,
151,PT11M08.00S,2024-01-23T02:36:20.6Z,2,REGULAR,rebound,offensive,[],203083,,,1610612741,22,39,2024-01-23T02:36:39Z,1490000,False,,,0,,A. Drummond REBOUND (Off:2 Def:0),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,150.0,,,,,2.0,0.0,2.0,,,,,,,,,,
152,PT11M06.00S,2024-01-23T02:36:22.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203083,93.24901445466492,50.49019607843137,1610612741,22,39,2024-01-23T02:37:18Z,1500000,False,2.0,11.0,1,right,MISS A. Drummond putback Layup,[203083],1610612741.0,CHI,putback,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,,
153,PT11M05.00S,2024-01-23T02:36:23.4Z,2,REGULAR,rebound,offensive,[],203083,,,1610612741,22,39,2024-01-23T02:37:18Z,1510000,False,,,0,,A. Drummond REBOUND (Off:3 Def:0),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,152.0,,,,,3.0,0.0,3.0,,,,,,,,,,
154,PT11M05.00S,2024-01-23T02:36:25.8Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203083,94.40999984741211,50.0,1610612741,22,41,2024-01-23T02:37:23Z,1520000,False,0.0,0.0,1,right,A. Drummond tip Layup (2 PTS),[203083],1610612741.0,CHI,tip,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,0.0,Made,,2.0,,,,,,,,,,,,,,,,
155,PT10M49.00S,2024-01-23T02:36:40.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,14.799605781865965,50.245098039215684,1610612756,24,41,2024-01-23T02:38:02Z,1530000,False,-1.0,87.0,1,left,K. Durant 8' turnaround fadeaway Jump Shot (7 PTS) (D. Eubanks 1 AST),"[201142, 1629234]",1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,8.66,Made,,7.0,D. Eubanks,1629234.0,1.0,,,,,,,,,,,,,
157,PT10M49.00S,2024-01-23T02:36:42.9Z,2,REGULAR,foul,personal,['1freethrow'],1627936,,,1610612756,24,41,2024-01-23T02:37:01Z,1550000,False,,,0,,A. Caruso shooting personal FOUL (1 PF) (Durant 1 FT),"[1627936, 201142]",1610612741.0,CHI,shooting,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1830.0,,1.0,0.0,Durant,201142.0,,,,
159,PT10M49.00S,2024-01-23T02:36:51.1Z,2,REGULAR,substitution,out,[],1627936,,,1610612756,24,41,2024-01-23T02:36:59Z,1570000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT10M49.00S,2024-01-23T02:36:51.1Z,2,REGULAR,substitution,in,[],1630172,,,1610612756,24,41,2024-01-23T02:36:59Z,1580000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT10M49.00S,2024-01-23T02:37:15.1Z,2,REGULAR,freethrow,1 of 1,[],201142,,,1610612756,25,41,2024-01-23T02:37:15Z,1590000,False,,,0,,K. Durant Free Throw 1 of 1 (8 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,8.0,,,,,,,,,,,,,,,,
162,PT10M34.00S,2024-01-23T02:37:31.5Z,2,REGULAR,2pt,Jump Shot,[],1628975,84.70762155059133,80.3921568627451,1610612741,25,41,2024-01-23T02:38:44Z,1600000,False,152.0,91.0,1,right,MISS J. Carter 17' pullup Shot,[1628975],1610612741.0,CHI,pullup,,,Carter,J. Carter,,,,,Mid-Range,16-24 Right,17.73,Missed,,,,,,,,,,,,,,,,,,
163,PT10M30.00S,2024-01-23T02:37:35.5Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612756,25,41,2024-01-23T02:37:37Z,1610000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Right,,,162.0,,,,,1.0,1.0,0.0,,,,,,,,,,
164,PT10M27.00S,2024-01-23T02:37:38.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203078,8.886333771353483,56.86274509803921,1610612756,25,41,2024-01-23T02:37:42Z,1620000,False,-34.0,31.0,1,left,MISS B. Beal running Layup,[203078],1610612756.0,PHX,running,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
165,PT10M25.00S,2024-01-23T02:37:40.7Z,2,REGULAR,rebound,defensive,[],1628975,,,1610612741,25,41,2024-01-23T02:37:42Z,1630000,False,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,164.0,,,,,1.0,1.0,0.0,,,,,,,,,,
166,PT10M08.00S,2024-01-23T02:37:57.2Z,2,REGULAR,turnover,bad pass,[],201942,,,1610612741,25,41,2024-01-23T02:38:03Z,1640000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1628966]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,,,,,Bates-Diop,1628966.0,,
167,PT10M08.00S,2024-01-23T02:37:57.2Z,2,REGULAR,steal,,[],1628966,,,1610612756,25,41,2024-01-23T02:40:02Z,1650000,False,,,0,,K. Bates-Diop STEAL (1 STL),[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
168,PT10M08.00S,2024-01-23T02:38:01.3Z,2,REGULAR,foul,personal,[],201942,,,1610612756,25,41,2024-01-23T02:38:16Z,1660000,False,,,0,,D. DeRozan personal FOUL (2 PF),"[201942, 1629234]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1830.0,,2.0,0.0,Eubanks,1629234.0,,,,
170,PT09M57.00S,2024-01-23T02:38:29.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,9.149145860709593,49.754901960784316,1610612756,27,41,2024-01-23T02:38:32Z,1680000,False,1.0,34.0,1,left,K. Durant driving floating Jump Shot (10 PTS),[201142],1610612756.0,PHX,driving floating,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,3.35,Made,,10.0,,,,,,,,,,,,,,,,
171,PT09M50.00S,2024-01-23T02:38:37.4Z,2,REGULAR,turnover,lost ball,[],1630172,,,1610612741,27,41,2024-01-23T02:38:58Z,1690000,False,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 201142]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,,,,,Durant,201142.0,,
172,PT09M50.00S,2024-01-23T02:38:37.4Z,2,REGULAR,steal,,[],201142,,,1610612756,27,41,2024-01-23T02:38:38Z,1700000,False,,,0,,K. Durant STEAL (1 STL),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
173,PT09M45.00S,2024-01-23T02:38:42.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628966,6.1268068331143235,49.26470588235294,1610612756,29,41,2024-01-23T02:38:48Z,1710000,False,4.0,5.0,1,left,K. Bates-Diop running DUNK (2 PTS) (K. Durant 3 AST),"[1628966, 201142]",1610612756.0,PHX,running,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,0.63,Made,,2.0,K. Durant,201142.0,3.0,,,,,,,,,,,,,
175,PT09M44.00S,2024-01-23T02:38:46.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,29,41,2024-01-23T02:38:46Z,1730000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
