actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT04M46.00S,2026-02-26T01:23:55.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,92.06636005256242,54.90196078431373,1610612745,16,10,2026-02-26T01:23:59Z,840000,False,25.0,22.0,1,right,MISS C. Capela Hook,[203991],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,3.3,Missed,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
87,PT04M45.00S,2026-02-26T01:23:57.4Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,16,10,2026-02-26T01:23:57Z,850000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:3),[1642875],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Raynaud,M. Raynaud,,,86.0,4.0,3.0,1.0,,,,,,,,,,,,,
88,PT04M41.00S,2026-02-26T01:24:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",201566,7.30946123521682,43.872549019607845,1610612758,16,12,2026-02-26T01:24:17Z,860000,False,31.0,16.0,1,left,R. Westbrook running Layup (10 PTS),[201566],1610612758.0,SAC,running,,,,,,Restricted Area,0-8 Center,3.46,Made,Westbrook,R. Westbrook,,,,,,,10.0,,,,,,,,,,,,
90,PT04M41.00S,2026-02-26T01:24:07.3Z,1,REGULAR,violation,defensive goaltending,[],203991,,,1610612758,16,12,2026-02-26T01:24:37Z,880000,False,,,0,,C. Capela defensive goaltending VIOLATION,[203991],1610612745.0,HOU,,,,,,,,,,,Capela,C. Capela,,,,,,,,202058.0,,,,,,,,,,,
91,PT04M27.00S,2026-02-26T01:24:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628988,91.14651773981603,60.049019607843135,1610612745,18,12,2026-02-26T01:24:24Z,890000,False,50.0,31.0,1,right,A. Holiday driving Layup (2 PTS),[1628988],1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.88,Made,Holiday,A. Holiday,,,,,,,2.0,,,,,,,,,,,,
92,PT04M19.00S,2026-02-26T01:24:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,4.02431011826544,38.23529411764706,1610612758,18,12,2026-02-26T01:30:59Z,900000,False,59.0,-15.0,1,left,MISS M. Raynaud 6' floating Shot,[1642875],1610612758.0,SAC,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
93,PT04M17.00S,2026-02-26T01:24:31.6Z,1,REGULAR,rebound,offensive,[],201566,,,1610612758,18,12,2026-02-26T01:24:31Z,910000,False,,,0,,R. Westbrook REBOUND (Off:1 Def:2),[201566],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Westbrook,R. Westbrook,,,92.0,3.0,2.0,1.0,,,,,,,,,,,,,
94,PT04M08.00S,2026-02-26T01:24:41.1Z,1,REGULAR,foul,personal,['3freethrow'],1631106,,,1610612758,18,12,2026-02-26T01:25:04Z,920000,False,,,0,,T. Eason shooting personal FOUL (2 PF) (Murray 3 FT),"[1631106, 1631099]",1610612745.0,HOU,shooting,,,,,,Above the Break 3,24+ Right Center,,,Eason,T. Eason,,,,,,,,1627964.0,,,,,,,,2.0,0.0,Murray,1631099.0
96,PT04M08.00S,2026-02-26T01:25:08.1Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1631099,,,1610612758,18,13,2026-02-26T01:25:08Z,940000,False,,,0,,K. Murray Free Throw 1 of 3 (1 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,Murray,K. Murray,,,,,,,1.0,,,,,,,,,,,,
97,PT04M08.00S,2026-02-26T01:25:24.3Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1631099,,,1610612758,18,14,2026-02-26T01:25:24Z,950000,False,,,0,,K. Murray Free Throw 2 of 3 (2 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,Murray,K. Murray,,,,,,,2.0,,,,,,,,,,,,
98,PT04M08.00S,2026-02-26T01:25:26.7Z,1,REGULAR,substitution,out,[],1631106,,,1610612758,18,14,2026-02-26T01:25:32Z,960000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,
99,PT04M08.00S,2026-02-26T01:25:26.7Z,1,REGULAR,substitution,in,[],1629006,,,1610612758,18,14,2026-02-26T01:25:32Z,970000,False,,,0,,SUB in: J. Okogie,[1629006],1610612745.0,HOU,,,,,,,,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,
100,PT04M08.00S,2026-02-26T01:25:43.4Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1631099,,,1610612758,18,15,2026-02-26T01:25:43Z,980000,False,,,0,,K. Murray Free Throw 3 of 3 (3 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,Murray,K. Murray,,,,,,,3.0,,,,,,,,,,,,
101,PT03M54.00S,2026-02-26T01:25:59.2Z,1,REGULAR,2pt,Jump Shot,[],1631095,79.58278580814718,63.48039215686274,1610612745,20,15,2026-02-26T01:33:40Z,990000,False,67.0,139.0,1,right,J. Smith Jr. 15' pullup Jump Shot (4 PTS) (K. Durant 1 AST),"[1631095, 201142]",1610612745.0,HOU,pullup,,,,,,Mid-Range,8-16 Center,15.48,Made,Smith Jr.,J. Smith Jr.,,,,,,,4.0,,,K. Durant,201142.0,1.0,,,,,,,
103,PT03M34.00S,2026-02-26T01:26:18.8Z,1,REGULAR,2pt,Jump Shot,[],1631099,22.026938239159,67.64705882352942,1610612758,20,15,2026-02-26T01:26:24Z,1010000,False,-88.0,155.0,1,left,MISS K. Murray 17' fadeaway Shot,[1631099],1610612758.0,SAC,fadeaway,,,,,,Mid-Range,16-24 Left Center,17.8,Missed,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
104,PT03M33.00S,2026-02-26T01:26:19.8Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612745,20,15,2026-02-26T01:26:24Z,1020000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Left Center,,,Okogie,J. Okogie,,,103.0,1.0,1.0,0.0,,,,,,,,,,,,,
105,PT03M24.00S,2026-02-26T01:26:29.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,91.5407358738502,49.754901960784316,1610612745,20,15,2026-02-26T01:26:33Z,1030000,False,-1.0,27.0,1,right,MISS C. Capela Hook,[203991],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,2.7,Missed,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
106,PT03M23.00S,2026-02-26T01:26:31.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612745,20,15,2026-02-26T01:26:31Z,1040000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Capela,C. Capela,,,105.0,1.0,0.0,1.0,,,,,,,,,,,,,
107,PT03M23.00S,2026-02-26T01:26:33.7Z,1,REGULAR,foul,personal,['2freethrow'],1642875,,,1610612745,20,15,2026-02-26T01:26:45Z,1050000,False,,,0,,M. Raynaud shooting personal FOUL (1 PF) (Capela 2 FT),"[1642875, 203991]",1610612758.0,SAC,shooting,,,,,,Restricted Area,0-8 Center,,,Raynaud,M. Raynaud,,,,,,,,1627964.0,,,,,,,,1.0,0.0,Capela,203991.0
109,PT03M23.00S,2026-02-26T01:27:00.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203991,,,1610612745,21,15,2026-02-26T01:27:00Z,1070000,False,,,0,,C. Capela Free Throw 1 of 2 (1 PTS),[203991],1610612745.0,HOU,,,,,,,,,,Made,Capela,C. Capela,,,,,,,1.0,,,,,,,,,,,,
110,PT03M23.00S,2026-02-26T01:27:12.9Z,1,REGULAR,substitution,out,[],1631099,,,1610612745,21,15,2026-02-26T01:27:19Z,1080000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,,,,,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
111,PT03M23.00S,2026-02-26T01:27:12.9Z,1,REGULAR,substitution,in,[],1630173,,,1610612745,21,15,2026-02-26T01:27:19Z,1090000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612758.0,SAC,,,,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
112,PT03M23.00S,2026-02-26T01:27:35.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203991,,,1610612745,22,15,2026-02-26T01:27:35Z,1100000,False,,,0,,C. Capela Free Throw 2 of 2 (2 PTS),[203991],1610612745.0,HOU,,,,,,,,,,Made,Capela,C. Capela,,,,,,,2.0,,,,,,,,,,,,
113,PT03M14.00S,2026-02-26T01:27:44.9Z,1,REGULAR,2pt,Jump Shot,[],201566,21.76412614980289,53.18627450980392,1610612758,22,17,2026-02-26T01:27:50Z,1110000,False,-16.0,152.0,1,left,R. Westbrook 15' fadeaway Jump Shot (12 PTS),[201566],1610612758.0,SAC,fadeaway,,,,,,Mid-Range,8-16 Center,15.29,Made,Westbrook,R. Westbrook,,,,,,,12.0,,,,,,,,,,,,
114,PT03M00.00S,2026-02-26T01:27:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629006,92.72339027595268,55.392156862745104,1610612745,24,17,2026-02-26T01:28:03Z,1120000,False,27.0,16.0,1,right,J. Okogie driving finger roll Layup (2 PTS) (J. Smith Jr. 1 AST),"[1629006, 1631095]",1610612745.0,HOU,driving finger roll,,,,,,Restricted Area,0-8 Center,3.13,Made,Okogie,J. Okogie,,,,,,,2.0,,,J. Smith Jr.,1631095.0,1.0,,,,,,,
116,PT02M48.00S,2026-02-26T01:28:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,9.806176084099869,59.55882352941176,1610612758,24,19,2026-02-26T01:28:15Z,1140000,False,-48.0,40.0,1,left,R. Westbrook 6' fadeaway bank Jump Shot (14 PTS),[201566],1610612758.0,SAC,fadeaway bank,,,,,,In The Paint (Non-RA),0-8 Center,6.21,Made,Westbrook,R. Westbrook,,,,,,,14.0,,,,,,,,,,,,
117,PT02M30.00S,2026-02-26T01:28:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,89.04402102496715,40.68627450980392,1610612745,26,19,2026-02-26T01:28:37Z,1150000,False,-47.0,50.0,1,right,K. Durant 6' driving floating bank Jump Shot (9 PTS),[201142],1610612745.0,HOU,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,6.87,Made,Durant,K. Durant,,,,,,,9.0,,,,,,,,,,,,
118,PT02M20.00S,2026-02-26T01:28:39.6Z,1,REGULAR,2pt,Jump Shot,[],201566,12.302890932982917,75.98039215686273,1610612758,26,21,2026-02-26T01:28:46Z,1160000,False,-130.0,63.0,1,left,R. Westbrook 14' pullup bank Jump Shot (16 PTS),[201566],1610612758.0,SAC,pullup bank,,,,,,Mid-Range,8-16 Left,14.44,Made,Westbrook,R. Westbrook,,,,,,,16.0,,,,,,,,,,,,
119,PT02M20.00S,2026-02-26T01:28:42.2Z,1,REGULAR,foul,personal,['1freethrow'],1628988,,,1610612758,26,21,2026-02-26T01:28:54Z,1170000,False,,,0,,A. Holiday shooting personal FOUL (1 PF) (Westbrook 1 FT),"[1628988, 201566]",1610612745.0,HOU,shooting,,,,,,Mid-Range,8-16 Left,,,Holiday,A. Holiday,,,,,,,,1627964.0,,,,,,,,1.0,0.0,Westbrook,201566.0
121,PT02M20.00S,2026-02-26T01:28:56.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,26,21,2026-02-26T01:31:58Z,1190000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M20.00S,2026-02-26T01:29:51.3Z,1,REGULAR,substitution,out,[],201142,,,1610612758,26,21,2026-02-26T01:31:58Z,1200000,False,,,0,,SUB out: K. Durant,[201142],1610612745.0,HOU,,,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
123,PT02M20.00S,2026-02-26T01:29:51.3Z,1,REGULAR,substitution,out,[],1631095,,,1610612758,26,21,2026-02-26T01:31:58Z,1210000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
124,PT02M20.00S,2026-02-26T01:29:51.3Z,1,REGULAR,substitution,out,[],1642875,,,1610612758,26,21,2026-02-26T01:31:58Z,1220000,False,,,0,,SUB out: M. Raynaud,[1642875],1610612758.0,SAC,,,,,,,,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
125,PT02M20.00S,2026-02-26T01:29:51.3Z,1,REGULAR,substitution,in,[],1630578,,,1610612758,26,21,2026-02-26T01:31:58Z,1230000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
126,PT02M20.00S,2026-02-26T01:29:51.3Z,1,REGULAR,substitution,in,[],1642263,,,1610612758,26,21,2026-02-26T01:31:58Z,1240000,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,,,,,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
127,PT02M20.00S,2026-02-26T01:29:51.3Z,1,REGULAR,substitution,in,[],1631116,,,1610612758,26,21,2026-02-26T01:31:58Z,1250000,False,,,0,,SUB in: P. Baldwin Jr.,[1631116],1610612758.0,SAC,,,,,,,,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,
128,PT02M20.00S,2026-02-26T01:32:03.8Z,1,REGULAR,freethrow,1 of 1,[],201566,,,1610612758,26,22,2026-02-26T01:32:03Z,1260000,False,,,0,,R. Westbrook Free Throw 1 of 1 (17 PTS),[201566],1610612758.0,SAC,,,,,,,,,,Made,Westbrook,R. Westbrook,,,,,,,17.0,,,,,,,,,,,,
129,PT02M00.00S,2026-02-26T01:32:26.1Z,1,REGULAR,3pt,Jump Shot,[],1642263,71.30420499342969,82.84313725490196,1610612745,29,22,2026-02-26T01:32:30Z,1270000,False,164.0,217.0,1,right,R. Sheppard 27' 3PT  (6 PTS) (A. Sengun 4 AST),"[1642263, 1630578]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,27.23,Made,Sheppard,R. Sheppard,,,,,,,6.0,,,A. Sengun,1630578.0,4.0,,,,,,,
131,PT01M39.00S,2026-02-26T01:32:47.3Z,1,REGULAR,3pt,Jump Shot,[],201566,29.911300919842315,80.14705882352942,1610612758,29,22,2026-02-26T01:32:52Z,1290000,False,-151.0,229.0,1,left,MISS R. Westbrook 27' pullup 3PT - blocked,"[201566, 203991]",1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Left Center,27.39,Missed,Westbrook,R. Westbrook,Capela,203991.0,,,,,,,,,,,,,,,,,
132,PT01M39.00S,2026-02-26T01:32:47.3Z,1,REGULAR,block,,[],203991,,,1610612758,29,22,2026-02-26T01:32:49Z,1300000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
133,PT01M37.00S,2026-02-26T01:32:49.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,29,22,2026-02-26T01:32:52Z,1310000,False,,,0,,A. Sengun REBOUND (Off:0 Def:3),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Sengun,A. Sengun,,,131.0,3.0,3.0,0.0,,,,,,,,,,,,,
134,PT01M25.00S,2026-02-26T01:33:01.2Z,1,REGULAR,3pt,Jump Shot,[],1642263,62.89421813403416,41.66666666666667,1610612745,29,22,2026-02-26T01:33:05Z,1320000,False,-42.0,296.0,1,right,MISS R. Sheppard 29' 3PT,[1642263],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,29.92,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
135,PT01M22.00S,2026-02-26T01:33:04.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,29,22,2026-02-26T01:33:05Z,1330000,False,,,0,,A. Sengun REBOUND (Off:1 Def:3),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Sengun,A. Sengun,,,134.0,4.0,3.0,1.0,,,,,,,,,,,,,
136,PT01M22.00S,2026-02-26T01:33:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,92.72339027595268,53.67647058823529,1610612745,31,22,2026-02-26T01:33:08Z,1340000,False,18.0,16.0,1,right,A. Sengun putback Layup (6 PTS),[1630578],1610612745.0,HOU,putback,,,,,,Restricted Area,0-8 Center,2.43,Made,Sengun,A. Sengun,,,,,,,6.0,,,,,,,,,,,,
137,PT01M12.00S,2026-02-26T01:33:14.1Z,1,REGULAR,2pt,Jump Shot,[],201566,8.886333771353483,71.56862745098039,1610612758,31,22,2026-02-26T01:33:24Z,1350000,False,-108.0,31.0,1,left,MISS R. Westbrook 11' turnaround fadeaway Shot,[201566],1610612758.0,SAC,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,11.22,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
138,PT01M10.00S,2026-02-26T01:33:16.1Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612745,31,22,2026-02-26T01:33:24Z,1360000,False,,,0,,J. Okogie REBOUND (Off:0 Def:2),[1629006],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,Okogie,J. Okogie,,,137.0,2.0,2.0,0.0,,,,,,,,,,,,,
139,PT01M03.00S,2026-02-26T01:33:27.0Z,1,REGULAR,foul,personal,[],1631342,,,1610612745,31,22,2026-02-26T01:33:35Z,1370000,False,,,0,,D. Plowden personal FOUL (1 PF),"[1631342, 1629006]",1610612758.0,SAC,,,,,,,Mid-Range,16-24 Left Center,,,Plowden,D. Plowden,,,,,,,,203593.0,,,,,,,,1.0,0.0,Okogie,1629006.0
141,PT01M00.00S,2026-02-26T01:33:52.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631342,,,1610612745,31,22,2026-02-26T01:34:04Z,1390000,False,,,0,,D. Plowden personal FOUL (2 PF) (Sheppard 2 FT),"[1631342, 1642263]",1610612758.0,SAC,,,,,,,Mid-Range,16-24 Right,,,Plowden,D. Plowden,,,,,,,,1627964.0,,,,,,,,2.0,0.0,Sheppard,1642263.0
143,PT01M00.00S,2026-02-26T01:34:13.0Z,1,REGULAR,freethrow,1 of 2,[],1642263,,,1610612745,32,22,2026-02-26T01:34:13Z,1410000,False,,,0,,R. Sheppard Free Throw 1 of 2 (7 PTS),[1642263],1610612745.0,HOU,,,,,,,,,,Made,Sheppard,R. Sheppard,,,,,,,7.0,,,,,,,,,,,,
144,PT01M00.00S,2026-02-26T01:34:28.0Z,1,REGULAR,substitution,out,[],1631342,,,1610612745,32,22,2026-02-26T01:34:34Z,1420000,False,,,0,,SUB out: D. Plowden,[1631342],1610612758.0,SAC,,,,,,,,,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,
145,PT01M00.00S,2026-02-26T01:34:28.0Z,1,REGULAR,substitution,in,[],1628370,,,1610612745,32,22,2026-02-26T01:34:34Z,1430000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,,,,,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,
146,PT01M00.00S,2026-02-26T01:34:38.2Z,1,REGULAR,freethrow,2 of 2,[],1642263,,,1610612745,33,22,2026-02-26T01:34:38Z,1440000,False,,,0,,R. Sheppard Free Throw 2 of 2 (8 PTS),[1642263],1610612745.0,HOU,,,,,,,,,,Made,Sheppard,R. Sheppard,,,,,,,8.0,,,,,,,,,,,,
147,PT00M48.70S,2026-02-26T01:34:50.9Z,1,REGULAR,3pt,Jump Shot,[],201566,26.62614980289093,79.90196078431373,1610612758,33,22,2026-02-26T01:38:22Z,1450000,False,-150.0,198.0,1,left,MISS R. Westbrook 24' pullup 3PT,[201566],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Left Center,24.79,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
148,PT00M45.80S,2026-02-26T01:34:53.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612745,33,22,2026-02-26T01:37:04Z,1460000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Capela,C. Capela,,,147.0,2.0,1.0,1.0,,,,,,,,,,,,,
149,PT00M24.80S,2026-02-26T01:35:15.2Z,1,REGULAR,3pt,Jump Shot,[],1629006,64.99671484888306,36.27450980392157,1610612745,33,22,2026-02-26T01:35:24Z,1470000,False,-69.0,277.0,1,right,MISS J. Okogie 28' 3PT,[1629006],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,28.49,Missed,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,
150,PT00M22.90S,2026-02-26T01:35:17.1Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,33,22,2026-02-26T01:35:24Z,1480000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Monk,M. Monk,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,
151,PT00M00.00S,2026-02-26T01:35:41.2Z,1,REGULAR,3pt,Jump Shot,[],1642363,25.57490144546649,8.57843137254902,1610612758,33,22,2026-02-26T01:39:57Z,1490000,False,207.0,188.0,1,left,MISS N. Clifford 27' pullup 3PT,[1642363],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Right Center,27.96,Missed,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,
152,PT00M00.00S,2026-02-26T01:35:43.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,33,22,2026-02-26T01:35:43Z,1500000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,,,,,,,151.0,,,,,,,,,,,,,,,,
153,PT00M00.00S,2026-02-26T01:35:48.1Z,1,REGULAR,period,end,[],0,,,1610612758,33,22,2026-02-26T01:35:48Z,1510000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2026-02-26T01:38:04.9Z,2,REGULAR,substitution,out,['startperiod'],1628988,,,1610612758,33,22,2026-02-26T01:38:23Z,1520000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,,,,,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2026-02-26T01:38:04.9Z,2,REGULAR,substitution,out,['startperiod'],203991,,,1610612758,33,22,2026-02-26T01:38:23Z,1530000,False,,,0,,SUB out: C. Capela,[203991],1610612745.0,HOU,,,,,,,,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2026-02-26T01:38:04.9Z,2,REGULAR,substitution,out,['startperiod'],201566,,,1610612758,33,22,2026-02-26T01:38:23Z,1540000,False,,,0,,SUB out: R. Westbrook,[201566],1610612758.0,SAC,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2026-02-26T01:38:04.9Z,2,REGULAR,substitution,in,['startperiod'],1631095,,,1610612758,33,22,2026-02-26T01:38:23Z,1550000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2026-02-26T01:38:04.9Z,2,REGULAR,substitution,in,['startperiod'],1642384,,,1610612758,33,22,2026-02-26T01:38:23Z,1560000,False,,,0,,SUB in: I. Crawford,[1642384],1610612745.0,HOU,,,,,,,,,,,Crawford,I. Crawford,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2026-02-26T01:38:04.9Z,2,REGULAR,substitution,in,['startperiod'],1630165,,,1610612758,33,22,2026-02-26T01:38:23Z,1570000,False,,,0,,SUB in: K. Hayes,[1630165],1610612758.0,SAC,,,,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2026-02-26T01:38:29.5Z,2,REGULAR,period,start,[],0,,,1610612745,33,22,2026-02-26T01:38:29Z,1580000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M40.00S,2026-02-26T01:38:48.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,90.3580814717477,49.754901960784316,1610612745,35,22,2026-02-26T01:38:54Z,1590000,False,-1.0,38.0,1,right,A. Sengun driving finger roll Layup (8 PTS),[1630578],1610612745.0,HOU,driving finger roll,,,,,,Restricted Area,0-8 Center,3.81,Made,Sengun,A. Sengun,,,,,,,8.0,,,,,,,,,,,,
162,PT11M23.00S,2026-02-26T01:39:08.5Z,2,REGULAR,foul,offensive,[],1631116,,,1610612758,35,22,2026-02-26T01:39:15Z,1600000,False,,,0,,P. Baldwin Jr. offensive FOUL (1 PF),"[1631116, 1629006]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,203593.0,,,,,,,,1.0,0.0,Okogie,1629006.0
164,PT11M23.00S,2026-02-26T01:39:08.5Z,2,REGULAR,turnover,offensive foul,[],1631116,,,1610612758,35,22,2026-02-26T01:39:08Z,1620000,False,,,0,,P. Baldwin Jr. offensive foul TURNOVER (1 TO),[1631116],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,203593.0,1.0,,,,,,,,,,
165,PT11M10.00S,2026-02-26T01:39:30.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642263,75.64060446780552,91.42156862745098,1610612745,38,22,2026-02-26T01:41:20Z,1630000,False,207.0,176.0,1,right,R. Sheppard 27' 3PT pullup (11 PTS) (J. Smith Jr. 2 AST),"[1642263, 1631095]",1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Right Center,27.21,Made,Sheppard,R. Sheppard,,,,,,,11.0,,,J. Smith Jr.,1631095.0,2.0,,,,,,,
167,PT10M55.00S,2026-02-26T01:39:44.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,11.777266754270697,49.26470588235294,1610612758,38,22,2026-02-26T01:43:21Z,1650000,False,4.0,58.0,1,left,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1642384]",1610612758.0,SAC,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,Achiuwa,P. Achiuwa,Crawford,1642384.0,,,,,,,,,,,,,,,,,
