actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
193,PT09M26.00S,2026-04-02T00:42:31.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631172,13.222733245729303,51.71568627450981,1610612749,29,21,2026-04-02T00:42:38Z,1920000,False,-9.0,72.0,1,left,MISS O. Dieng 7' turnaround Shot,[1631172],1610612749.0,MIL,turnaround,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.23,,,,,,,,,,,,
194,PT09M25.00S,2026-04-02T00:42:32.7Z,2,REGULAR,rebound,offensive,[],1631172,,,1610612749,29,21,2026-04-02T00:42:38Z,1930000,False,,,0,,O. Dieng REBOUND (Off:1 Def:2),[1631172],1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,193.0,3.0,2.0,1.0,,,,,,,,
195,PT09M24.00S,2026-04-02T00:42:35.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1631172,9.067017082785808,31.204044117647058,1610612749,29,23,2026-04-02T00:42:54Z,1940000,False,94.0,33.0,1,left,O. Dieng 9' turnaround fadeaway bank Jump Shot (8 PTS),[1631172],1610612749.0,MIL,turnaround fadeaway bank,,,Dieng,O. Dieng,,,,,Mid-Range,8-16 Right,,,,,,Made,8.0,9.95,,,,,,,,,,,,
196,PT09M03.00S,2026-04-02T00:42:55.4Z,2,REGULAR,2pt,Jump Shot,[],1641708,92.19776609724047,9.313725490196079,1610612745,29,23,2026-04-02T00:43:00Z,1950000,False,-203.0,21.0,1,right,MISS A. Thompson 20' Jump Shot,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left,,,,,,Missed,,20.45,,,,,,,,,,,,
197,PT08M59.00S,2026-04-02T00:42:58.4Z,2,REGULAR,rebound,defensive,[],1630579,,,1610612749,29,23,2026-04-02T00:42:58Z,1960000,False,,,0,,J. Sims REBOUND (Off:3 Def:5),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Left,,,,,,,,,196.0,8.0,5.0,3.0,,,,,,,,
198,PT08M48.00S,2026-04-02T00:43:09.6Z,2,REGULAR,3pt,Jump Shot,[],1641748,9.937582128777924,98.2843137254902,1610612749,29,26,2026-04-02T00:43:13Z,1970000,False,-241.0,41.0,1,left,A. Jackson Jr. 24' 3PT step back (3 PTS) (O. Dieng 3 AST),"[1641748, 1631172]",1610612749.0,MIL,step back,,,Jackson Jr.,A. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,24.48,,,,,,O. Dieng,1631172.0,3.0,,,,
200,PT08M46.00S,2026-04-02T00:43:19.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,29,26,2026-04-02T00:43:19Z,1990000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M46.00S,2026-04-02T00:45:50.0Z,2,REGULAR,substitution,out,[],1628988,,,1610612745,29,26,2026-04-02T00:46:10Z,2000000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M46.00S,2026-04-02T00:45:50.0Z,2,REGULAR,substitution,out,[],1630256,,,1610612745,29,26,2026-04-02T00:46:10Z,2010000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M46.00S,2026-04-02T00:45:50.0Z,2,REGULAR,substitution,in,[],1642263,,,1610612745,29,26,2026-04-02T00:46:10Z,2020000,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
