actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
82,PT05M17.00S,2023-02-25T00:59:21.1Z,1,REGULAR,2pt,Jump Shot,[],202710,79.45137976346912,54.166666666666664,1610612748,23,18,2023-02-25T01:05:10Z,820000,False,21.0,141.0,1,right,MISS J. Butler 14' pullup Shot - blocked,"[202710, 201950]",1610612748.0,MIA,pullup,,,,,,Mid-Range,8-16 Center,,,,Butler,J. Butler,,,Missed,,,,,,14.22,,,,Holiday,201950.0,,,,
83,PT05M17.00S,2023-02-25T00:59:21.1Z,1,REGULAR,block,,[],201950,,,1610612748,23,18,2023-02-25T00:59:24Z,830000,False,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Center,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2023-02-25T00:59:25.1Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,23,18,2023-02-25T00:59:28Z,840000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Center,,,,Holiday,J. Holiday,,,,,82.0,2.0,2.0,0.0,,,,,,,,,,
85,PT05M11.00S,2023-02-25T00:59:27.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,27.020367936925098,10.294117647058822,1610612749,23,18,2023-02-25T00:59:36Z,850000,False,199.0,201.0,1,left,MISS J. Holiday 28' running pullup 3PT,[201950],1610612749.0,MIL,running pullup,,,,,,Above the Break 3,24+ Right Center,,,,Holiday,J. Holiday,,,Missed,,,,,,28.29,,,,,,,,,
86,PT05M07.00S,2023-02-25T00:59:30.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,23,18,2023-02-25T00:59:30Z,860000,False,,,0,,K. Love REBOUND (Off:0 Def:4),[201567],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Love,K. Love,,,,,85.0,4.0,4.0,0.0,,,,,,,,,,
87,PT04M53.00S,2023-02-25T00:59:45.1Z,1,REGULAR,3pt,Jump Shot,[],1629639,77.4802890932983,90.68627450980392,1610612748,23,18,2023-02-25T01:05:45Z,870000,False,203.0,159.0,1,right,MISS T. Herro 25' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Herro,T. Herro,,,Missed,,,,,,25.83,,,,,,,,,
88,PT04M50.00S,2023-02-25T00:59:48.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,23,18,2023-02-25T00:59:52Z,880000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Portis,B. Portis,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,
89,PT04M44.00S,2023-02-25T00:59:53.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204060,20.18725361366623,7.352941176470589,1610612749,23,18,2023-02-25T01:00:00Z,890000,False,213.0,137.0,1,left,MISS J. Ingles 25' running 3PT,[204060],1610612749.0,MIL,running,,,,,,Above the Break 3,24+ Right Center,,,,Ingles,J. Ingles,,,Missed,,,,,,25.36,,,,,,,,,
90,PT04M41.00S,2023-02-25T00:59:56.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,23,18,2023-02-25T01:00:00Z,900000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Herro,T. Herro,,,,,89.0,1.0,1.0,0.0,,,,,,,,,,
91,PT04M30.00S,2023-02-25T01:00:11.4Z,1,REGULAR,foul,personal,[],1628960,,,1610612748,23,18,2023-02-25T01:00:18Z,910000,False,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 202710]",1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Right,2005.0,1.0,0.0,Allen,G. Allen,Butler,202710.0,,,,,,,,,,,,,,,,
93,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,out,[],1628960,,,1610612748,23,18,2023-02-25T01:00:42Z,930000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,,,,,,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,
94,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,out,[],201572,,,1610612748,23,18,2023-02-25T01:00:42Z,940000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
95,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,23,18,2023-02-25T01:00:42Z,950000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,,,,,,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,
96,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,out,[],202710,,,1610612748,23,18,2023-02-25T01:00:42Z,960000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,
97,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,in,[],203114,,,1610612748,23,18,2023-02-25T01:00:42Z,970000,False,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,,,,,,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,
98,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,in,[],203109,,,1610612748,23,18,2023-02-25T01:00:42Z,980000,False,,,0,,SUB in: J. Crowder,[203109],1610612749.0,MIL,,,,,,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,
99,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,in,[],203506,,,1610612748,23,18,2023-02-25T01:00:42Z,990000,False,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,,,,,,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,
100,PT04M30.00S,2023-02-25T01:00:23.3Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,23,18,2023-02-25T01:00:42Z,1000000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,,,,,,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,
101,PT04M15.00S,2023-02-25T01:00:53.9Z,1,REGULAR,2pt,Jump Shot,[],203506,79.188567674113,64.70588235294117,1610612748,23,20,2023-02-25T01:00:58Z,1010000,False,74.0,143.0,1,right,V. Oladipo 16' pullup Jump Shot (2 PTS) (C. Zeller 1 AST),"[203506, 203469]",1610612748.0,MIA,pullup,,,,,,Mid-Range,16-24 Right Center,,,,Oladipo,V. Oladipo,,,Made,2.0,,,,,16.09,C. Zeller,203469.0,1.0,,,,,,
103,PT03M57.00S,2023-02-25T01:01:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,19.267411300919843,34.31372549019608,1610612749,25,20,2023-02-25T01:01:14Z,1030000,False,78.0,129.0,1,left,B. Portis 15' turnaround fadeaway Jump Shot (5 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,,,,Portis,B. Portis,,,Made,5.0,,,,,15.06,J. Holiday,201950.0,1.0,,,,,,
105,PT03M42.00S,2023-02-25T01:01:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629622,92.06636005256242,61.029411764705884,1610612748,25,20,2023-02-25T01:01:30Z,1050000,False,55.0,22.0,1,right,MISS M. Strus driving floating bank Shot,[1629622],1610612748.0,MIA,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Strus,M. Strus,,,Missed,,,,,,5.94,,,,,,,,,
106,PT03M38.00S,2023-02-25T01:01:30.3Z,1,REGULAR,rebound,offensive,[],203469,,,1610612748,25,20,2023-02-25T01:01:30Z,1060000,False,,,0,,C. Zeller REBOUND (Off:2 Def:0),[203469],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Zeller,C. Zeller,,,,,105.0,2.0,0.0,2.0,,,,,,,,,,
107,PT03M38.00S,2023-02-25T01:01:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203469,94.40999984741211,50.0,1610612748,25,22,2023-02-25T01:01:30Z,1070000,False,0.0,0.0,1,right,C. Zeller tip Layup (4 PTS),[203469],1610612748.0,MIA,tip,,,,,,Mid-Range,8-16 Left,,,,Zeller,C. Zeller,,,Made,4.0,,,,,0.0,,,,,,,,,
108,PT03M29.00S,2023-02-25T01:01:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,8.229303547963205,50.0,1610612749,27,22,2023-02-25T01:01:43Z,1080000,False,0.0,25.0,1,left,K. Middleton cutting Layup (2 PTS) (J. Holiday 2 AST),"[203114, 201950]",1610612749.0,MIL,cutting,,,,,,Restricted Area,0-8 Center,,,,Middleton,K. Middleton,,,Made,2.0,,,,,2.49,J. Holiday,201950.0,2.0,,,,,,
110,PT03M13.00S,2023-02-25T01:01:55.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,67.62483574244416,67.15686274509804,1610612748,27,25,2023-02-25T01:02:01Z,1100000,False,86.0,252.0,1,right,T. Herro 26' 3PT pullup (6 PTS),[1629639],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Herro,T. Herro,,,Made,6.0,,,,,26.6,,,,,,,,,
111,PT03M00.00S,2023-02-25T01:02:08.8Z,1,REGULAR,3pt,Jump Shot,[],1626171,33.327858081471746,68.87254901960785,1610612749,30,25,2023-02-25T01:02:13Z,1110000,False,-94.0,261.0,1,left,B. Portis 27' 3PT  (8 PTS) (K. Middleton 1 AST),"[1626171, 203114]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Portis,B. Portis,,,Made,8.0,,,,,27.74,K. Middleton,203114.0,1.0,,,,,,
113,PT03M00.00S,2023-02-25T01:02:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,30,25,2023-02-25T01:02:14Z,1130000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M00.00S,2023-02-25T01:04:54.0Z,1,REGULAR,substitution,out,[],201567,,,1610612748,30,25,2023-02-25T01:05:23Z,1140000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
117,PT03M00.00S,2023-02-25T01:04:54.0Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,30,25,2023-02-25T01:05:23Z,1150000,False,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,
118,PT02M36.00S,2023-02-25T01:06:06.6Z,1,REGULAR,2pt,Jump Shot,[],1629639,95.3515111695138,78.18627450980392,1610612748,30,25,2023-02-25T01:06:13Z,1160000,False,141.0,-9.0,1,right,MISS T. Herro 14' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,,,,Mid-Range,8-16 Right,,,,Herro,T. Herro,,,Missed,,,,,,14.12,,,,,,,,,
119,PT02M33.00S,2023-02-25T01:06:09.6Z,1,REGULAR,rebound,offensive,[],203469,,,1610612748,30,25,2023-02-25T01:11:35Z,1170000,False,,,0,,C. Zeller REBOUND (Off:3 Def:0),[203469],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Right,,,,Zeller,C. Zeller,,,,,118.0,3.0,0.0,3.0,,,,,,,,,,
121,PT02M27.00S,2023-02-25T01:06:27.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203506,81.68528252299606,68.62745098039215,1610612748,30,25,2023-02-25T01:06:34Z,1190000,False,93.0,120.0,1,right,MISS V. Oladipo 15' pullup Shot,[203506],1610612748.0,MIA,pullup,,,,,,Mid-Range,8-16 Right,,,,Oladipo,V. Oladipo,,,Missed,,,,,,15.16,,,,,,,,,
122,PT02M24.00S,2023-02-25T01:06:30.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612749,30,25,2023-02-25T01:06:34Z,1200000,False,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Right,,,,Crowder,J. Crowder,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,
123,PT02M20.00S,2023-02-25T01:06:34.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203114,32.53942181340342,68.62745098039215,1610612749,33,25,2023-02-25T01:06:41Z,1210000,False,-93.0,253.0,1,left,K. Middleton 27' 3PT running pullup (5 PTS),[203114],1610612749.0,MIL,running pullup,,,,,,Above the Break 3,24+ Left Center,,,,Middleton,K. Middleton,,,Made,5.0,,,,,27.0,,,,,,,,,
124,PT02M10.00S,2023-02-25T01:06:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,65.91655716162943,51.9607843137255,1610612748,33,25,2023-02-25T01:06:48Z,1220000,False,10.0,268.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Strus,M. Strus,,,Missed,,,,,,26.81,,,,,,,,,
125,PT02M07.00S,2023-02-25T01:06:46.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,33,25,2023-02-25T01:06:48Z,1230000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Portis,B. Portis,,,,,124.0,2.0,2.0,0.0,,,,,,,,,,
126,PT01M58.00S,2023-02-25T01:06:55.9Z,1,REGULAR,3pt,Jump Shot,[],201950,32.670827858081466,40.68627450980392,1610612749,33,25,2023-02-25T01:07:00Z,1240000,False,47.0,255.0,1,left,MISS J. Holiday 25' step back 3PT,[201950],1610612749.0,MIL,step back,,,,,,Above the Break 3,24+ Center,,,,Holiday,J. Holiday,,,Missed,,,,,,25.88,,,,,,,,,
127,PT01M55.00S,2023-02-25T01:06:58.9Z,1,REGULAR,rebound,defensive,[],203506,,,1610612748,33,25,2023-02-25T01:07:00Z,1250000,False,,,0,,V. Oladipo REBOUND (Off:0 Def:1),[203506],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Oladipo,V. Oladipo,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,
128,PT01M51.00S,2023-02-25T01:07:03.0Z,1,REGULAR,2pt,Jump Shot,[],203506,91.40932982917214,69.36274509803921,1610612748,33,25,2023-02-25T01:07:43Z,1260000,False,97.0,28.0,1,right,MISS V. Oladipo 10' pullup bank Shot,[203506],1610612748.0,MIA,pullup bank,,,,,,Mid-Range,8-16 Right,,,,Oladipo,V. Oladipo,,,Missed,,,,,,10.09,,,,,,,,,
129,PT01M49.00S,2023-02-25T01:07:05.0Z,1,REGULAR,rebound,defensive,[],204060,,,1610612749,33,25,2023-02-25T01:07:24Z,1270000,False,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Right,,,,Ingles,J. Ingles,,,,,128.0,1.0,1.0,0.0,,,,,,,,,,
130,PT01M43.00S,2023-02-25T01:07:13.4Z,1,REGULAR,foul,personal,['2freethrow'],203469,,,1610612749,33,25,2023-02-25T01:07:29Z,1280000,False,,,0,,C. Zeller shooting personal FOUL (1 PF) (Portis 2 FT),"[203469, 1626171]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,2004.0,1.0,0.0,Zeller,C. Zeller,Portis,1626171.0,,,,,,,,,,,,,,,,
132,PT01M43.00S,2023-02-25T01:07:41.8Z,1,REGULAR,freethrow,1 of 2,[],1626171,,,1610612749,34,25,2023-02-25T01:07:41Z,1300000,False,,,0,,B. Portis Free Throw 1 of 2 (9 PTS),[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,Made,9.0,,,,,,,,,,,,,,
133,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,out,[],204060,,,1610612749,34,25,2023-02-25T01:07:59Z,1310000,False,,,0,,SUB out: J. Ingles,[204060],1610612749.0,MIL,,,,,,,,,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,
134,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,out,[],201950,,,1610612749,34,25,2023-02-25T01:07:59Z,1320000,False,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
135,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,out,[],1629639,,,1610612749,34,25,2023-02-25T01:07:59Z,1330000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,
136,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,out,[],203469,,,1610612749,34,25,2023-02-25T01:07:59Z,1340000,False,,,0,,SUB out: C. Zeller,[203469],1610612748.0,MIA,,,,,,,,,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,
137,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,in,[],1628975,,,1610612749,34,25,2023-02-25T01:07:59Z,1350000,False,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
138,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,in,[],203507,,,1610612749,34,25,2023-02-25T01:07:59Z,1360000,False,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,,,,,,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
139,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,in,[],1629130,,,1610612749,34,25,2023-02-25T01:07:59Z,1370000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
140,PT01M43.00S,2023-02-25T01:07:43.9Z,1,REGULAR,substitution,in,[],1628389,,,1610612749,34,25,2023-02-25T01:07:59Z,1380000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
141,PT01M43.00S,2023-02-25T01:08:07.7Z,1,REGULAR,freethrow,2 of 2,[],1626171,,,1610612749,35,25,2023-02-25T01:08:07Z,1390000,False,,,0,,B. Portis Free Throw 2 of 2 (10 PTS),[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,Made,10.0,,,,,,,,,,,,,,
142,PT01M31.00S,2023-02-25T01:08:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,93.64323258869908,49.754901960784316,1610612748,35,27,2023-02-25T01:08:28Z,1400000,False,-1.0,7.0,1,right,B. Adebayo cutting finger roll Layup (6 PTS) (M. Strus 1 AST),"[1628389, 1629622]",1610612748.0,MIA,cutting finger roll,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,Made,6.0,,,,,0.74,M. Strus,1629622.0,1.0,,,,,,
145,PT01M22.00S,2023-02-25T01:08:37.8Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,35,27,2023-02-25T01:08:44Z,1430000,False,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,
146,PT01M22.00S,2023-02-25T01:08:37.8Z,1,REGULAR,substitution,in,[],1631260,,,1610612749,35,27,2023-02-25T01:08:44Z,1440000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,,,,,,,,,Green,A. Green,,,,,,,,,,,,,,,,,,
147,PT01M13.00S,2023-02-25T01:09:07.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612749,35,27,2023-02-25T01:09:07Z,1450000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M13.00S,2023-02-25T01:09:50.0Z,1,REGULAR,substitution,out,[],203507,,,1610612749,35,27,2023-02-25T01:10:32Z,1460000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,,,,,,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
149,PT01M13.00S,2023-02-25T01:09:50.0Z,1,REGULAR,substitution,in,[],201572,,,1610612749,35,27,2023-02-25T01:10:32Z,1470000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
150,PT01M09.00S,2023-02-25T01:10:50.4Z,1,REGULAR,3pt,Jump Shot,[],203109,32.013797634691194,64.95098039215686,1610612749,38,27,2023-02-25T01:10:55Z,1480000,False,-75.0,248.0,1,left,J. Crowder 25' 3PT  (3 PTS) (K. Middleton 2 AST),"[203109, 203114]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Crowder,J. Crowder,,,Made,3.0,,,,,25.94,K. Middleton,203114.0,2.0,,,,,,
152,PT00M52.90S,2023-02-25T01:11:07.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,79.97700394218134,64.95098039215686,1610612748,38,29,2023-02-25T01:11:14Z,1500000,False,75.0,136.0,1,right,B. Adebayo 15' Jump Shot (8 PTS) (V. Oladipo 1 AST),"[1628389, 203506]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Made,8.0,,,,,15.5,V. Oladipo,203506.0,1.0,,,,,,
154,PT00M47.50S,2023-02-25T01:11:17.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629622,,,1610612749,38,29,2023-02-25T01:11:26Z,1520000,False,,,0,,M. Strus shooting personal FOUL (1 PF) (Crowder 2 FT),"[1629622, 203109]",1610612748.0,MIA,shooting,,,,,,In The Paint (Non-RA),8-16 Right,201246.0,1.0,0.0,Strus,M. Strus,Crowder,203109.0,,,,,,,,,,,,,,,,
156,PT00M47.50S,2023-02-25T01:11:40.3Z,1,REGULAR,freethrow,1 of 2,[],203109,,,1610612749,38,29,2023-02-25T01:11:40Z,1540000,False,,,0,,MISS J. Crowder Free Throw 1 of 2,[203109],1610612749.0,MIL,,,,,,,,,,,,Crowder,J. Crowder,,,Missed,,,,,,,,,,,,,,,
157,PT00M47.50S,2023-02-25T01:11:40.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,38,29,2023-02-25T01:11:40Z,1550000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,
158,PT00M47.50S,2023-02-25T01:11:56.2Z,1,REGULAR,freethrow,2 of 2,[],203109,,,1610612749,39,29,2023-02-25T01:11:56Z,1560000,False,,,0,,J. Crowder Free Throw 2 of 2 (4 PTS),[203109],1610612749.0,MIL,,,,,,,,,,,,Crowder,J. Crowder,,,Made,4.0,,,,,,,,,,,,,,
159,PT00M38.90S,2023-02-25T01:12:09.3Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612748,39,29,2023-02-25T01:12:16Z,1570000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Adebayo 2 FT),"[201572, 1628389]",1610612749.0,MIL,shooting,,,,,,Restricted Area,0-8 Center,201246.0,1.0,0.0,Lopez,B. Lopez,Adebayo,1628389.0,,,,,,,,,,,,,,,,
161,PT00M38.90S,2023-02-25T01:12:41.3Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,39,29,2023-02-25T01:12:41Z,1590000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,Missed,,,,,,,,,,,,,,,
162,PT00M38.90S,2023-02-25T01:12:41.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,39,29,2023-02-25T01:12:41Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,
163,PT00M38.90S,2023-02-25T01:12:59.4Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,39,30,2023-02-25T01:12:59Z,1610000,False,,,0,,B. Adebayo Free Throw 2 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,Made,9.0,,,,,,,,,,,,,,
164,PT00M30.00S,2023-02-25T01:13:08.7Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,39,30,2023-02-25T01:13:15Z,1620000,False,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1628389]",1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,1.0,Adebayo,1628389.0,
165,PT00M30.00S,2023-02-25T01:13:08.7Z,1,REGULAR,steal,,[],1628389,,,1610612748,39,30,2023-02-25T01:13:11Z,1630000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
166,PT00M27.90S,2023-02-25T01:13:14.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631260,,,1610612748,39,30,2023-02-25T01:13:24Z,1640000,False,,,0,,A. Green shooting personal FOUL (1 PF) (Martin 2 FT),"[1631260, 1628997]",1610612749.0,MIL,shooting,,,,,,Restricted Area,0-8 Center,2005.0,1.0,0.0,Green,A. Green,Martin,1628997.0,,,,,,,,,,,,,,,,
168,PT00M27.90S,2023-02-25T01:13:48.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628997,,,1610612748,39,31,2023-02-25T01:13:48Z,1660000,False,,,0,,C. Martin Free Throw 1 of 2 (1 PTS),[1628997],1610612748.0,MIA,,,,,,,,,,,,Martin,C. Martin,,,Made,1.0,,,,,,,,,,,,,,
169,PT00M27.90S,2023-02-25T01:14:05.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628997,,,1610612748,39,32,2023-02-25T01:14:05Z,1670000,False,,,0,,C. Martin Free Throw 2 of 2 (2 PTS),[1628997],1610612748.0,MIA,,,,,,,,,,,,Martin,C. Martin,,,Made,2.0,,,,,,,,,,,,,,
