actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
93,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,in,[],1629670,,,1610612749,19,10,2022-10-23T00:30:37Z,860000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,19,10,2022-10-23T00:30:37Z,870000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,in,[],1630227,,,1610612749,19,10,2022-10-23T00:30:37Z,880000,,,0,,SUB in: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,in,[],1631106,,,1610612749,19,10,2022-10-23T00:30:37Z,890000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,in,[],1630578,,,1610612749,19,10,2022-10-23T00:30:37Z,900000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M41.00S,2022-10-23T00:30:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.703679369250986,51.71568627450981,1610612749,21,10,2022-10-23T00:31:04Z,910000,-9.0,20.0,1,left,J. Holiday driving Layup (9 PTS),[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,,,,9.0,,,,,,,,,,
99,PT05M23.00S,2022-10-23T00:31:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630231,77.4802890932983,92.8921568627451,1610612745,21,13,2022-10-23T00:31:18Z,920000,214.0,159.0,1,right,K. Martin Jr. 26' 3PT  (5 PTS) (J. Green 2 AST),"[1630231, 1630224]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,26.71,Made,,,,,,,,5.0,,J. Green,1630224.0,2.0,,,,,,
101,PT05M14.00S,2022-10-23T00:31:21.7Z,1,REGULAR,3pt,Jump Shot,[],201950,22.552562417871222,87.99019607843137,1610612749,24,13,2022-10-23T00:31:27Z,940000,-190.0,159.0,1,left,J. Holiday 24' 3PT step back (12 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,24.81,Made,,,,,,,,12.0,,,,,,,,,,
102,PT05M02.00S,2022-10-23T00:31:32.9Z,1,REGULAR,2pt,Jump Shot,[],1630578,76.5604467805519,46.32352941176471,1610612745,24,13,2022-10-23T00:31:40Z,950000,-18.0,168.0,1,right,MISS A. Sengun 16' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,16.88,Missed,,,,,,,,,,,,,,,,,,
103,PT04M58.00S,2022-10-23T00:31:36.9Z,1,REGULAR,rebound,offensive,[],1630231,,,1610612745,24,13,2022-10-23T00:31:40Z,960000,,,0,,K. Martin Jr. REBOUND (Off:1 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,16-24 Center,,,102.0,2.0,1.0,1.0,,,,,,,,,,,,,,
104,PT04M58.00S,2022-10-23T00:31:37.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630231,94.40999984741211,50.0,1610612745,24,13,2022-10-23T00:31:37Z,970000,0.0,0.0,1,right,MISS K. Martin Jr. tip Layup,[1630231],1610612745.0,HOU,tip,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
105,PT04M57.00S,2022-10-23T00:31:37.8Z,1,REGULAR,rebound,offensive,[],1630231,,,1610612745,24,13,2022-10-23T00:31:37Z,980000,,,0,,K. Martin Jr. REBOUND (Off:2 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,8-16 Left,,,104.0,3.0,1.0,2.0,,,,,,,,,,,,,,
106,PT04M57.00S,2022-10-23T00:31:39.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630227,92.77266754270697,94.38572303921569,1610612745,24,13,2022-10-23T00:32:07Z,990000,222.0,15.0,1,right,MISS D. Nix 3PT,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Right Corner 3,24+ Right,22.24,Missed,,,,,,,,,,,,,,,,,,
107,PT04M57.00S,2022-10-23T00:31:39.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,24,13,2022-10-23T00:31:46Z,1000000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Left Center,,,106.0,,,,,,,,,,,,,,,,,
109,PT04M38.00S,2022-10-23T00:32:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629670,7.966491458607096,52.94117647058824,1610612749,24,13,2022-10-23T00:32:14Z,1020000,-15.0,22.0,1,left,MISS J. Nwora driving floating Shot - blocked,"[1629670, 1630578]",1610612749.0,MIL,driving floating,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,,,,,,,,,,,,Sengun,1630578.0
362,PT04M38.00S,2022-10-23T00:32:03.9Z,1,REGULAR,block,,[],1630578,,,1610612749,24,13,2022-10-23T01:28:36Z,1025000,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
110,PT04M35.00S,2022-10-23T00:32:06.9Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,24,13,2022-10-23T01:28:36Z,1030000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,109.0,1.0,0.0,1.0,,,,,,,,,,,,,,
111,PT04M35.00S,2022-10-23T00:32:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,7.178055190538765,53.431372549019606,1610612749,24,13,2022-10-23T00:32:19Z,1040000,-17.0,15.0,1,left,MISS B. Portis putback Layup - blocked,"[1626171, 1631106]",1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,,,,,Eason,1631106.0
112,PT04M35.00S,2022-10-23T00:32:06.8Z,1,REGULAR,block,,[],1631106,,,1610612749,24,13,2022-10-23T01:29:05Z,1050000,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
113,PT04M35.00S,2022-10-23T00:32:06.8Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,24,13,2022-10-23T00:32:19Z,1060000,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,111.0,1.0,1.0,0.0,,,,,,,,,,,,,,
114,PT04M35.00S,2022-10-23T00:32:15.6Z,1,REGULAR,foul,personal,[],201950,,,1610612745,24,13,2022-10-23T00:32:23Z,1070000,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 1631106]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Eason,1631106.0,,
116,PT04M27.00S,2022-10-23T00:32:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630227,71.43561103810775,79.41176470588235,1610612745,24,13,2022-10-23T00:32:46Z,1090000,147.0,216.0,1,right,MISS D. Nix 26' 3PT,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
117,PT04M24.00S,2022-10-23T00:32:43.5Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,24,13,2022-10-23T00:32:43Z,1100000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,Above the Break 3,24+ Right Center,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,,
118,PT04M06.00S,2022-10-23T00:33:01.9Z,1,REGULAR,3pt,Jump Shot,[],201572,33.98488830486202,37.00980392156863,1610612749,27,13,2022-10-23T00:33:06Z,1110000,65.0,267.0,1,left,B. Lopez 27' 3PT  (9 PTS) (B. Portis 1 AST),"[201572, 1626171]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,27.48,Made,,,,,,,,9.0,,B. Portis,1626171.0,1.0,,,,,,
120,PT03M42.00S,2022-10-23T00:33:25.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,64.60249671484888,52.450980392156865,1610612745,27,16,2022-10-23T00:33:30Z,1130000,12.0,280.0,1,right,J. Green 28' 3PT step back (7 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Center,28.05,Made,,,,,,,,7.0,,,,,,,,,,
121,PT03M27.00S,2022-10-23T00:33:40.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,8.360709592641262,62.254901960784316,1610612749,27,16,2022-10-23T00:33:51Z,1140000,-61.0,26.0,1,left,MISS J. Holiday 6' driving Hook,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,,
122,PT03M25.00S,2022-10-23T00:33:43.2Z,1,REGULAR,rebound,defensive,[],1630227,,,1610612745,27,16,2022-10-23T00:33:43Z,1150000,,,0,,D. Nix REBOUND (Off:0 Def:1),[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,In The Paint (Non-RA),0-8 Center,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,,
123,PT03M19.00S,2022-10-23T00:33:49.3Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,27,16,2022-10-23T00:33:54Z,1160000,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 201572]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Lopez,201572.0,,,,,,,,,,,
124,PT03M19.00S,2022-10-23T00:33:49.3Z,1,REGULAR,steal,,[],201572,,,1610612749,27,16,2022-10-23T00:33:52Z,1170000,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
125,PT03M13.00S,2022-10-23T00:33:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201588,6.389618922470433,51.9607843137255,1610612749,29,16,2022-10-23T00:34:01Z,1180000,-10.0,8.0,1,left,G. Hill running Layup (2 PTS) (J. Holiday 3 AST),"[201588, 201950]",1610612749.0,MIL,running,,,Hill,G. Hill,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,2.0,,J. Holiday,201950.0,3.0,,,,,,
127,PT03M01.00S,2022-10-23T00:34:07.3Z,1,REGULAR,3pt,Jump Shot,[],1630231,66.70499342969777,62.00980392156863,1610612745,29,16,2022-10-23T00:34:14Z,1200000,60.0,260.0,1,right,MISS K. Martin Jr. 26' 3PT - blocked,"[1630231, 201950]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Center,26.73,Missed,,,,,,,,,,,,,,,,,Holiday,201950.0
128,PT03M01.00S,2022-10-23T00:34:07.3Z,1,REGULAR,block,,[],201950,,,1610612745,29,16,2022-10-23T00:34:11Z,1210000,,,0,,J. Holiday BLOCK (2 BLK),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
129,PT03M01.00S,2022-10-23T00:34:07.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,29,16,2022-10-23T00:34:14Z,1220000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Center,,,127.0,,,,,,,,,,,,,,,,,
131,PT03M01.00S,2022-10-23T00:34:17.5Z,1,REGULAR,substitution,out,[],201950,,,1610612745,29,16,2022-10-23T00:34:23Z,1240000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M01.00S,2022-10-23T00:34:17.5Z,1,REGULAR,substitution,in,[],202083,,,1610612745,29,16,2022-10-23T00:34:23Z,1250000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M52.00S,2022-10-23T00:34:32.3Z,1,REGULAR,2pt,Layup,['2ndchance'],1630224,89.83245729303549,73.0392156862745,1610612745,29,16,2022-10-23T00:34:43Z,1260000,115.0,43.0,1,right,MISS J. Green 12' driving Layup - blocked,"[1630224, 1626171]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,Mid-Range,8-16 Right,12.3,Missed,,,,,,,,,,,,,,,,,Portis,1626171.0
134,PT02M52.00S,2022-10-23T00:34:32.3Z,1,REGULAR,block,,[],1626171,,,1610612745,29,16,2022-10-23T00:34:35Z,1270000,,,0,,B. Portis BLOCK (1 BLK),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
135,PT02M49.00S,2022-10-23T00:34:35.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,29,16,2022-10-23T00:34:43Z,1280000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,,,133.0,2.0,1.0,1.0,,,,,,,,,,,,,,
136,PT02M46.00S,2022-10-23T00:34:37.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629670,8.360709592641262,51.71568627450981,1610612749,31,16,2022-10-23T00:34:48Z,1290000,-9.0,26.0,1,left,J. Nwora running Layup (2 PTS) (G. Hill 1 AST),"[1629670, 201588]",1610612749.0,MIL,running,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,2.75,Made,,,,,,,,2.0,,G. Hill,201588.0,1.0,,,,,,
138,PT02M29.00S,2022-10-23T00:34:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630227,92.72339027595268,54.41176470588235,1610612745,31,18,2022-10-23T00:35:03Z,1310000,22.0,16.0,1,right,D. Nix reverse Layup (2 PTS) (A. Sengun 1 AST),"[1630227, 1630578]",1610612745.0,HOU,reverse,,,Nix,D. Nix,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,,,,2.0,,A. Sengun,1630578.0,1.0,,,,,,
140,PT02M24.00S,2022-10-23T00:35:04.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,31,18,2022-10-23T00:35:04Z,1330000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M24.00S,2022-10-23T00:37:41.5Z,1,REGULAR,substitution,out,[],201572,,,1610612749,31,18,2022-10-23T00:38:05Z,1340000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M24.00S,2022-10-23T00:37:41.5Z,1,REGULAR,substitution,out,[],1630224,,,1610612749,31,18,2022-10-23T00:38:05Z,1350000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M24.00S,2022-10-23T00:37:41.5Z,1,REGULAR,substitution,out,[],1630231,,,1610612749,31,18,2022-10-23T00:38:05Z,1360000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M24.00S,2022-10-23T00:37:41.5Z,1,REGULAR,substitution,in,[],203507,,,1610612749,31,18,2022-10-23T00:38:05Z,1370000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M24.00S,2022-10-23T00:37:41.5Z,1,REGULAR,substitution,in,[],1629726,,,1610612749,31,18,2022-10-23T00:38:05Z,1380000,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M24.00S,2022-10-23T00:37:41.5Z,1,REGULAR,substitution,in,[],1630528,,,1610612749,31,18,2022-10-23T00:38:05Z,1390000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M13.00S,2022-10-23T00:38:13.3Z,1,REGULAR,3pt,Jump Shot,[],1629670,8.492115637319317,97.05882352941177,1610612749,34,18,2022-10-23T00:38:19Z,1400000,-235.0,27.0,1,left,J. Nwora 3PT  (5 PTS) (G. Hill 2 AST),"[1629670, 201588]",1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Left Corner 3,24+ Left,23.69,Made,,,,,,,,5.0,,G. Hill,201588.0,2.0,,,,,,
150,PT01M57.00S,2022-10-23T00:38:33.3Z,1,REGULAR,foul,personal,[],1626171,,,1610612745,34,18,2022-10-23T00:39:01Z,1420000,,,0,,B. Portis personal FOUL (1 PF),"[1626171, 1630578]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1628954.0,,,,1.0,0.0,Sengun,1630578.0,,
152,PT01M49.00S,2022-10-23T00:38:59.6Z,1,REGULAR,3pt,Jump Shot,[],1631106,72.09264126149803,13.970588235294118,1610612745,34,21,2022-10-23T00:39:05Z,1440000,-180.0,210.0,1,right,T. Eason 27' 3PT  (3 PTS) (J. Christopher 1 AST),"[1631106, 1630528]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Left Center,27.65,Made,,,,,,,,3.0,,J. Christopher,1630528.0,1.0,,,,,,
154,PT01M35.00S,2022-10-23T00:39:13.0Z,1,REGULAR,2pt,Jump Shot,[],1629670,23.47240473061761,71.81372549019608,1610612749,34,21,2022-10-23T00:39:19Z,1460000,-109.0,168.0,1,left,MISS J. Nwora 20' step back Shot,[1629670],1610612749.0,MIL,step back,,,Nwora,J. Nwora,,,,,Mid-Range,16-24 Left Center,20.04,Missed,,,,,,,,,,,,,,,,,,
155,PT01M33.00S,2022-10-23T00:39:15.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,34,21,2022-10-23T00:39:19Z,1470000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,154.0,1.0,1.0,0.0,,,,,,,,,,,,,,
156,PT01M25.00S,2022-10-23T00:39:24.1Z,1,REGULAR,3pt,Jump Shot,[],1630528,76.95466491458606,7.107843137254902,1610612745,34,21,2022-10-23T00:39:34Z,1480000,-214.0,164.0,1,right,MISS J. Christopher 27' 3PT,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,Above the Break 3,24+ Left Center,27.01,Missed,,,,,,,,,,,,,,,,,,
157,PT01M21.00S,2022-10-23T00:39:27.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,34,21,2022-10-23T00:39:27Z,1490000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,156.0,4.0,3.0,1.0,,,,,,,,,,,,,,
158,PT01M20.00S,2022-10-23T00:39:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,8.09789750328515,51.71568627450981,1610612749,36,21,2022-10-23T00:39:40Z,1500000,-9.0,24.0,1,left,G. Antetokounmpo running Layup (8 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.51,Made,,,,,,,,8.0,,,,,,,,,,
159,PT01M20.00S,2022-10-23T00:39:36.0Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629726,,,1610612749,36,21,2022-10-23T00:40:03Z,1510000,,,0,,G. Mathews shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1629726, 203507]",1610612745.0,HOU,shooting,,,Mathews,G. Mathews,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628954.0,,,,1.0,0.0,Antetokounmpo,203507.0,,
161,PT01M20.00S,2022-10-23T00:39:49.2Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,36,21,2022-10-23T00:41:16Z,1530000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT01M20.00S,2022-10-23T00:39:49.2Z,1,REGULAR,substitution,out,[],1630227,,,1610612749,36,21,2022-10-23T00:41:16Z,1540000,,,0,,SUB out: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT01M20.00S,2022-10-23T00:39:49.2Z,1,REGULAR,substitution,in,[],201586,,,1610612749,36,21,2022-10-23T00:41:16Z,1550000,,,0,,SUB in: S. Ibaka,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT01M20.00S,2022-10-23T00:39:49.2Z,1,REGULAR,substitution,in,[],1629645,,,1610612749,36,21,2022-10-23T00:41:16Z,1560000,,,0,,SUB in: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT01M20.00S,2022-10-23T00:40:16.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,37,21,2022-10-23T00:40:16Z,1570000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (9 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,9.0,,,,,,,,,,
166,PT01M06.00S,2022-10-23T00:40:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,92.32917214191852,57.84313725490197,1610612745,37,23,2022-10-23T00:41:49Z,1580000,39.0,20.0,1,right,A. Sengun driving floating Jump Shot (2 PTS),[1630578],1610612745.0,HOU,driving floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.38,Made,,,,,,,,2.0,,,,,,,,,,
167,PT00M55.10S,2022-10-23T00:40:46.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629645,,,1610612749,37,23,2022-10-23T00:41:14Z,1590000,,,0,,K. Porter Jr. personal FOUL (1 PF) (Hill 2 FT),"[1629645, 201588]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,202041.0,,,,1.0,0.0,Hill,201588.0,,
169,PT00M55.10S,2022-10-23T00:41:16.0Z,1,REGULAR,freethrow,1 of 2,[],201588,,,1610612749,37,23,2022-10-23T00:41:16Z,1610000,,,0,,MISS G. Hill Free Throw 1 of 2,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
170,PT00M55.10S,2022-10-23T00:41:16.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,37,23,2022-10-23T00:41:16Z,1620000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,
171,PT00M55.10S,2022-10-23T00:41:35.3Z,1,REGULAR,freethrow,2 of 2,[],201588,,,1610612749,38,23,2022-10-23T00:41:35Z,1630000,,,0,,G. Hill Free Throw 2 of 2 (3 PTS),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
174,PT00M31.80S,2022-10-23T00:42:00.2Z,1,REGULAR,3pt,Jump Shot,[],1629645,68.41327201051249,72.79411764705883,1610612745,38,23,2022-10-23T00:42:11Z,1640000,114.0,244.0,1,right,MISS K. Porter Jr. 26' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.97,Missed,,,,,,,,,,,,,,,,,,
175,PT00M29.00S,2022-10-23T00:42:03.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,38,23,2022-10-23T00:42:11Z,1650000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,174.0,5.0,4.0,1.0,,,,,,,,,,,,,,
176,PT00M22.80S,2022-10-23T00:42:09.9Z,1,REGULAR,3pt,Jump Shot,[],201588,28.203022339027594,19.11764705882353,1610612749,41,23,2022-10-23T00:42:15Z,1660000,154.0,213.0,1,left,G. Hill 26' 3PT  (6 PTS) (G. Antetokounmpo 2 AST),"[201588, 203507]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,Above the Break 3,24+ Right Center,26.28,Made,,,,,,,,6.0,,G. Antetokounmpo,203507.0,2.0,,,,,,
178,PT00M03.30S,2022-10-23T00:42:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,91.40932982917214,42.8921568627451,1610612745,41,23,2022-10-23T00:43:15Z,1680000,-36.0,28.0,1,right,MISS K. Porter Jr. driving floating Shot - blocked,"[1629645, 201586]",1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,Ibaka,201586.0
179,PT00M03.30S,2022-10-23T00:42:33.2Z,1,REGULAR,block,,[],201586,,,1610612745,41,23,2022-10-23T00:42:36Z,1690000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
