shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
08:08,52,PT08M08.00S,2022-12-11T00:18:51.7Z,1,REGULAR,rebound,defensive,[],202693,,,1610612751,12,15,2022-12-11T00:18:54Z,520000,False,,,0,,M. Morris REBOUND (Off:0 Def:1),[202693],13,1610612751.0,BKN,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,51.0,1.0,1.0,0.0,,
08:02,53,PT08M02.00S,2022-12-11T00:18:58.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201988,21.632720105124836,46.07843137254902,1610612751,12,17,2022-12-11T00:19:09Z,530000,False,20.0,151.0,1,left,P. Mills 15' running pullup Jump Shot (5 PTS),[201988],8,1610612751.0,BKN,running pullup,,,Mills,P. Mills,,,,,Mid-Range,8-16 Center,15.21,Made,5.0,,,,,,,,,,,,,,,,,
07:55,54,PT07M55.00S,2022-12-11T00:19:07.7Z,1,REGULAR,foul,personal,[],1628410,,,1610612754,12,17,2022-12-11T00:19:20Z,540000,False,,,0,,E. Sumner personal FOUL (2 PF),"[1628410, 1630169]",4,1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,2714.0,2.0,0.0,Haliburton,1630169.0,,,,,,
07:45,56,PT07M45.00S,2022-12-11T00:19:35.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.96123521681997,18.38235294117647,1610612754,15,17,2022-12-11T00:19:40Z,560000,False,-158.0,211.0,1,right,T. Haliburton 26' 3PT pullup (9 PTS) (J. Smith 1 AST),"[1630169, 1630188]",0,1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,26.37,Made,9.0,J. Smith,1630188.0,1.0,,,,,,,,,,,,,,
07:32,58,PT07M32.00S,2022-12-11T00:19:47.8Z,1,REGULAR,2pt,Layup,[],1628410,11.12023653088042,32.59803921568628,1610612751,15,17,2022-12-11T00:19:54Z,580000,False,87.0,52.0,1,left,MISS E. Sumner 10' driving Layup,[1628410],4,1610612751.0,BKN,driving,,,Sumner,E. Sumner,,,,,Mid-Range,8-16 Right,10.14,Missed,,,,,,,,,,,,,,,,,,
07:31,59,PT07M31.00S,2022-12-11T00:19:48.8Z,1,REGULAR,rebound,offensive,[],1628410,,,1610612751,15,17,2022-12-11T00:19:54Z,590000,False,,,0,,E. Sumner REBOUND (Off:1 Def:0),[1628410],4,1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,58.0,1.0,0.0,1.0,,
07:31,60,PT07M31.00S,2022-12-11T00:19:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628410,6.652431011826544,47.794117647058826,1610612751,15,19,2022-12-11T00:20:03Z,600000,False,11.0,10.0,1,left,E. Sumner putback Layup (6 PTS),[1628410],4,1610612751.0,BKN,putback,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,1.49,Made,6.0,,,,,,,,,,,,,,,,,
07:31,61,PT07M31.00S,2022-12-11T00:19:53.1Z,1,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612751,15,19,2022-12-11T00:20:00Z,610000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Sumner 1 FT),"[1626167, 1628410]",33,1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,202035.0,1.0,0.0,Sumner,1628410.0,,,,,,
07:31,63,PT07M31.00S,2022-12-11T00:20:23.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628410,,,1610612751,15,20,2022-12-11T00:20:23Z,630000,False,,,0,,E. Sumner Free Throw 1 of 1 (7 PTS),[1628410],4,1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
07:15,64,PT07M15.00S,2022-12-11T00:20:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630188,92.59198423127464,3.1862745098039214,1610612754,15,20,2022-12-11T00:20:49Z,640000,False,-234.0,17.0,1,right,MISS J. Smith 3PT,[1630188],25,1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,23.47,Missed,,,,,,,,,,,,,,,,,,
07:12,65,PT07M12.00S,2022-12-11T00:20:47.5Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,15,20,2022-12-11T00:20:49Z,650000,False,,,0,,K. Edwards REBOUND (Off:1 Def:1),[1630556],14,1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,64.0,2.0,1.0,1.0,,
07:06,66,PT07M06.00S,2022-12-11T00:20:53.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628410,6.521024967148489,50.73529411764706,1610612751,15,22,2022-12-11T00:20:59Z,660000,False,-4.0,9.0,1,left,E. Sumner running DUNK (9 PTS),[1628410],4,1610612751.0,BKN,running,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,0.95,Made,9.0,,,,,,,,,,,,,,,,,
06:53,67,PT06M53.00S,2022-12-11T00:21:05.5Z,1,REGULAR,turnover,lost ball,[],1627741,,,1610612754,15,22,2022-12-11T00:21:11Z,670000,False,,,0,,B. Hield lost ball TURNOVER (1 TO),"[1627741, 1628410]",24,1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Sumner,1628410.0,,,,,,,,,,,
06:53,68,PT06M53.00S,2022-12-11T00:21:05.5Z,1,REGULAR,steal,,[],1628410,,,1610612751,15,22,2022-12-11T00:21:06Z,680000,False,,,0,,E. Sumner STEAL (2 STL),[1628410],4,1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
06:50,69,PT06M50.00S,2022-12-11T00:21:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628410,5.338370565045992,45.34313725490196,1610612751,15,24,2022-12-11T00:21:16Z,690000,False,23.0,-2.0,1,left,E. Sumner running finger roll Layup (11 PTS),[1628410],4,1610612751.0,BKN,running finger roll,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,2.34,Made,11.0,,,,,,,,,,,,,,,,,
06:49,70,PT06M49.00S,2022-12-11T00:21:14.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,15,24,2022-12-11T00:21:14Z,700000,False,,,0,,IND Timeout,[],,1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,71,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,15,24,2022-12-11T00:24:01Z,710000,False,,,0,,SUB out: B. Hield,[1627741],24,1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,72,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,15,24,2022-12-11T00:24:01Z,720000,False,,,0,,SUB out: A. Nembhard,[1629614],2,1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,73,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,out,[],1630188,,,1610612754,15,24,2022-12-11T00:24:01Z,730000,False,,,0,,SUB out: J. Smith,[1630188],25,1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,74,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,15,24,2022-12-11T00:24:01Z,740000,False,,,0,,SUB out: M. Turner,[1626167],33,1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,75,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,15,24,2022-12-11T00:24:01Z,750000,False,,,0,,SUB in: B. Mathurin,[1631097],00,1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,76,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,in,[],204456,,,1610612754,15,24,2022-12-11T00:24:01Z,760000,False,,,0,,SUB in: T. McConnell,[204456],9,1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,77,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,15,24,2022-12-11T00:24:01Z,770000,False,,,0,,SUB in: I. Jackson,[1630543],22,1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,78,PT06M49.00S,2022-12-11T00:22:50.4Z,1,REGULAR,substitution,in,[],1630174,,,1610612754,15,24,2022-12-11T00:24:01Z,780000,False,,,0,,SUB in: A. Nesmith,[1630174],23,1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
06:38,79,PT06M38.00S,2022-12-11T00:24:24.9Z,1,REGULAR,foul,personal,['2freethrow'],1630556,,,1610612754,15,24,2022-12-11T00:24:35Z,790000,False,,,0,,K. Edwards shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1630556, 1631097]",14,1610612751.0,BKN,shooting,,,Edwards,K. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202035.0,1.0,0.0,Mathurin,1631097.0,,,,,,
