actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT04M33.00S,2023-02-16T00:29:00.4Z,1,REGULAR,substitution,in,[],1629614,,,1610612741,9,20,2023-02-16T00:29:10Z,870000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
89,PT04M15.00S,2023-02-16T00:29:44.0Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612741,9,20,2023-02-16T00:29:51Z,880000,False,,,0,,A. Nesmith shooting personal FOUL (2 PF) (LaVine 2 FT),"[1630174, 203897]",1610612754.0,IND,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Nesmith,A. Nesmith,,,,,,,,,,,1199.0,2.0,0.0,LaVine,203897.0,,
91,PT04M15.00S,2023-02-16T00:30:09.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203897,,,1610612741,9,21,2023-02-16T00:30:09Z,900000,False,,,0,,Z. LaVine Free Throw 1 of 2 (6 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,6.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
92,PT04M15.00S,2023-02-16T00:30:10.3Z,1,REGULAR,substitution,out,[],1630174,,,1610612741,9,21,2023-02-16T00:30:16Z,910000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,,,,,,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,
93,PT04M15.00S,2023-02-16T00:30:10.3Z,1,REGULAR,substitution,out,[],202696,,,1610612741,9,21,2023-02-16T00:30:16Z,920000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,
94,PT04M15.00S,2023-02-16T00:30:10.3Z,1,REGULAR,substitution,in,[],1629670,,,1610612741,9,21,2023-02-16T00:30:16Z,930000,False,,,0,,SUB in: J. Nwora,[1629670],1610612754.0,IND,,,,,,,,,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,
95,PT04M15.00S,2023-02-16T00:30:10.3Z,1,REGULAR,substitution,in,[],203083,,,1610612741,9,21,2023-02-16T00:30:16Z,940000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
96,PT04M15.00S,2023-02-16T00:30:29.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203897,,,1610612741,9,22,2023-02-16T00:30:29Z,950000,False,,,0,,Z. LaVine Free Throw 2 of 2 (7 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,7.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
98,PT03M56.00S,2023-02-16T00:32:07.3Z,1,REGULAR,3pt,Jump Shot,[],1631097,33.85348226018397,63.48039215686274,1610612754,12,22,2023-02-16T00:32:11Z,970000,False,-67.0,266.0,1,left,B. Mathurin 27' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,27.41,Made,3.0,Mathurin,B. Mathurin,,,,,,,,T. Haliburton,1630169.0,1.0,,,,,,,
100,PT03M35.00S,2023-02-16T00:32:27.7Z,1,REGULAR,2pt,Jump Shot,[],203897,92.19776609724047,25.49019607843137,1610612741,12,22,2023-02-16T00:32:33Z,990000,False,-123.0,21.0,1,right,MISS Z. LaVine 12' fadeaway Shot,[203897],1610612741.0,CHI,fadeaway,,,,,,Mid-Range,8-16 Left,12.43,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
101,PT03M35.00S,2023-02-16T00:32:27.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,12,22,2023-02-16T00:32:33Z,1000000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,,,,100.0,,,,,,,,,,,,,,,,
102,PT03M35.00S,2023-02-16T00:32:33.3Z,1,REGULAR,foul,personal,[],1631097,,,1610612741,12,22,2023-02-16T00:32:44Z,1010000,False,,,0,,B. Mathurin loose ball personal FOUL (1 PF),"[1631097, 203083]",1610612754.0,IND,loose ball,,,,,,In The Paint (Non-RA),0-8 Center,,,,Mathurin,B. Mathurin,,,,,,,,,,,2882.0,1.0,0.0,Drummond,203083.0,,
104,PT03M35.00S,2023-02-16T00:32:39.4Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,12,22,2023-02-16T00:32:43Z,1030000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,,,,,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,
105,PT03M35.00S,2023-02-16T00:32:39.4Z,1,REGULAR,substitution,in,[],1631207,,,1610612741,12,22,2023-02-16T00:32:43Z,1040000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,,,,,,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,
106,PT03M30.00S,2023-02-16T00:32:57.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630245,91.5407358738502,3.9215686274509802,1610612741,12,25,2023-02-16T00:33:01Z,1050000,False,-230.0,27.0,1,right,A. Dosunmu 3PT  (9 PTS) (D. Terry 1 AST),"[1630245, 1631207]",1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,23.2,Made,9.0,Dosunmu,A. Dosunmu,,,,,,,,D. Terry,1631207.0,1.0,,,,,,,
108,PT03M18.00S,2023-02-16T00:33:10.9Z,1,REGULAR,turnover,out-of-bounds,[],1631097,,,1610612754,12,25,2023-02-16T00:33:18Z,1070000,False,,,0,,B. Mathurin step out-of-bounds TURNOVER (1 TO),[1631097],1610612754.0,IND,step,,,,,,Left Corner 3,24+ Left,,,,Mathurin,B. Mathurin,,,,,1.0,,,,,,1628954.0,,,,,,
109,PT03M05.00S,2023-02-16T00:33:33.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,64.86530880420499,42.64705882352941,1610612741,12,25,2023-02-16T00:33:38Z,1080000,False,-37.0,278.0,1,right,MISS Z. LaVine 28' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,,,,Above the Break 3,24+ Center,28.02,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
110,PT03M00.00S,2023-02-16T00:33:38.9Z,1,REGULAR,rebound,offensive,[],203083,,,1610612741,12,25,2023-02-16T00:33:38Z,1090000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,Drummond,A. Drummond,109.0,1.0,0.0,1.0,,,,,,,,,,,,,
111,PT03M00.00S,2023-02-16T00:33:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203083,94.40999984741211,50.0,1610612741,12,27,2023-02-16T00:33:37Z,1100000,False,0.0,0.0,1,right,A. Drummond tip Layup (2 PTS),[203083],1610612741.0,CHI,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
112,PT02M59.00S,2023-02-16T00:33:44.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612754,12,27,2023-02-16T00:33:44Z,1110000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M59.00S,2023-02-16T00:34:49.2Z,1,REGULAR,substitution,out,[],1630245,,,1610612754,12,27,2023-02-16T00:35:06Z,1120000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,
114,PT02M59.00S,2023-02-16T00:34:49.2Z,1,REGULAR,substitution,in,[],1627936,,,1610612754,12,27,2023-02-16T00:35:06Z,1130000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,
115,PT02M48.00S,2023-02-16T00:35:26.1Z,1,REGULAR,foul,personal,[],1631207,,,1610612754,12,27,2023-02-16T00:35:31Z,1140000,False,,,0,,D. Terry personal FOUL (1 PF),"[1631207, 1631097]",1610612741.0,CHI,,,,,,,Mid-Range,8-16 Right,,,,Terry,D. Terry,,,,,,,,,,,1199.0,1.0,0.0,Mathurin,1631097.0,,
117,PT02M33.00S,2023-02-16T00:35:58.1Z,1,REGULAR,2pt,Jump Shot,[],1631097,24.129434954007884,74.26470588235294,1610612754,12,27,2023-02-16T00:36:02Z,1160000,False,-121.0,174.0,1,left,MISS B. Mathurin 21' pullup Shot,[1631097],1610612754.0,IND,pullup,,,,,,Mid-Range,16-24 Left Center,21.24,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
118,PT02M30.00S,2023-02-16T00:36:01.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,12,27,2023-02-16T00:36:01Z,1170000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,,,,Drummond,A. Drummond,117.0,2.0,1.0,1.0,,,,,,,,,,,,,
120,PT02M18.00S,2023-02-16T00:36:30.7Z,1,REGULAR,3pt,Jump Shot,[],1627936,91.14651773981603,3.431372549019608,1610612741,12,27,2023-02-16T00:36:35Z,1190000,False,-233.0,31.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,23.48,Missed,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,
121,PT02M16.00S,2023-02-16T00:36:32.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,12,27,2023-02-16T00:36:35Z,1200000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,,,,120.0,,,,,,,,,,,,,,,,
122,PT02M16.00S,2023-02-16T00:36:35.0Z,1,REGULAR,foul,personal,[],1630543,,,1610612741,12,27,2023-02-16T00:36:44Z,1210000,False,,,0,,I. Jackson loose ball personal FOUL (1 PF),"[1630543, 203083]",1610612754.0,IND,loose ball,,,,,,Restricted Area,0-8 Center,,,,Jackson,I. Jackson,,,,,,,,,,,2882.0,1.0,0.0,Drummond,203083.0,,
124,PT02M12.00S,2023-02-16T00:36:54.9Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,12,27,2023-02-16T00:36:59Z,1230000,False,,,0,,Z. LaVine bad pass TURNOVER (2 TO),"[203897, 1631097]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,LaVine,Z. LaVine,,,,,2.0,Mathurin,1631097.0,,,,,,,,,,
125,PT02M12.00S,2023-02-16T00:36:54.9Z,1,REGULAR,steal,,[],1631097,,,1610612754,12,27,2023-02-16T00:36:56Z,1240000,False,,,0,,B. Mathurin STEAL (1 STL),[1631097],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
126,PT02M09.00S,2023-02-16T00:36:58.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203897,,,1610612754,12,27,2023-02-16T00:37:11Z,1250000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Mathurin 2 FT),"[203897, 1631097]",1610612741.0,CHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,LaVine,Z. LaVine,,,,,,,,,,,2882.0,1.0,0.0,Mathurin,1631097.0,,
128,PT02M09.00S,2023-02-16T00:37:27.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631097,,,1610612754,12,27,2023-02-16T00:37:27Z,1270000,False,,,0,,MISS B. Mathurin Free Throw 1 of 2,[1631097],1610612754.0,IND,,,,,,,,,,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
129,PT02M09.00S,2023-02-16T00:37:27.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,12,27,2023-02-16T00:37:27Z,1280000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,
130,PT02M09.00S,2023-02-16T00:37:50.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631097,,,1610612754,13,27,2023-02-16T00:37:50Z,1290000,False,,,0,,B. Mathurin Free Throw 2 of 2 (4 PTS),[1631097],1610612754.0,IND,,,,,,,,,,Made,4.0,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
131,PT01M57.00S,2023-02-16T00:38:05.0Z,1,REGULAR,3pt,Jump Shot,[],203897,69.20170827858082,21.323529411764707,1610612741,13,27,2023-02-16T00:38:43Z,1300000,False,-143.0,237.0,1,right,MISS Z. LaVine 27' 3PT,[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,27.7,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
132,PT01M53.00S,2023-02-16T00:38:09.0Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,13,27,2023-02-16T00:38:09Z,1310000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,Jackson,I. Jackson,131.0,1.0,1.0,0.0,,,,,,,,,,,,,
133,PT01M48.00S,2023-02-16T00:38:13.5Z,1,REGULAR,turnover,lost ball,[],1630169,,,1610612754,13,27,2023-02-16T00:38:16Z,1320000,False,,,0,,T. Haliburton lost ball TURNOVER (1 TO),"[1630169, 203083]",1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Haliburton,T. Haliburton,,,,,1.0,Drummond,203083.0,,,,,,,,,,
134,PT01M48.00S,2023-02-16T00:38:13.5Z,1,REGULAR,steal,,[],203083,,,1610612741,13,27,2023-02-16T00:38:14Z,1330000,False,,,0,,A. Drummond STEAL (1 STL),[203083],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
135,PT01M45.00S,2023-02-16T00:38:19.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629614,,,1610612741,13,27,2023-02-16T00:38:26Z,1340000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (LaVine 2 FT),"[1629614, 203897]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Nembhard,A. Nembhard,,,,,,,,,,,2882.0,1.0,0.0,LaVine,203897.0,,
137,PT01M45.00S,2023-02-16T00:38:50.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203897,,,1610612741,13,28,2023-02-16T00:38:50Z,1360000,False,,,0,,Z. LaVine Free Throw 1 of 2 (8 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,8.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
138,PT01M45.00S,2023-02-16T00:38:50.8Z,1,REGULAR,substitution,out,[],1630169,,,1610612741,13,28,2023-02-16T00:38:53Z,1370000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,,,,,,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
139,PT01M45.00S,2023-02-16T00:38:50.8Z,1,REGULAR,substitution,in,[],1630537,,,1610612741,13,28,2023-02-16T00:38:53Z,1380000,False,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,,,,,,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,
140,PT01M45.00S,2023-02-16T00:39:09.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203897,,,1610612741,13,29,2023-02-16T00:39:09Z,1390000,False,,,0,,Z. LaVine Free Throw 2 of 2 (9 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,9.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
141,PT01M37.00S,2023-02-16T00:39:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,7.7529566360052655,56.9546568627451,1610612754,15,29,2023-02-16T00:41:17Z,1400000,False,-35.0,20.0,1,left,A. Nembhard driving floating bank Jump Shot (2 PTS),[1629614],1610612754.0,IND,driving floating bank,,,,,,Restricted Area,0-8 Center,4.03,Made,2.0,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
142,PT01M23.00S,2023-02-16T00:39:35.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203897,94.43166885676742,51.71568627450981,1610612741,15,31,2023-02-16T00:40:11Z,1410000,False,9.0,0.0,1,right,Z. LaVine driving DUNK (11 PTS) (C. White 1 AST),"[203897, 1629632]",1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,0.86,Made,11.0,LaVine,Z. LaVine,,,,,,,,C. White,1629632.0,1.0,,,,,,,
144,PT01M23.00S,2023-02-16T00:39:38.7Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629614,,,1610612741,15,31,2023-02-16T00:39:45Z,1430000,False,,,0,,A. Nembhard shooting personal FOUL (2 PF) (LaVine 1 FT),"[1629614, 203897]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Nembhard,A. Nembhard,,,,,,,,,,,1628954.0,2.0,0.0,LaVine,203897.0,,
146,PT01M23.00S,2023-02-16T00:39:48.8Z,1,REGULAR,substitution,out,[],1629614,,,1610612741,15,31,2023-02-16T00:40:11Z,1450000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
147,PT01M23.00S,2023-02-16T00:39:48.8Z,1,REGULAR,substitution,in,[],204456,,,1610612741,15,31,2023-02-16T00:40:11Z,1460000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
148,PT01M23.00S,2023-02-16T00:40:09.4Z,1,REGULAR,freethrow,1 of 1,[],203897,,,1610612741,15,32,2023-02-16T00:40:09Z,1470000,False,,,0,,Z. LaVine Free Throw 1 of 1 (12 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,12.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
149,PT01M13.00S,2023-02-16T00:40:22.2Z,1,REGULAR,turnover,lost ball,[],1630537,,,1610612754,15,32,2023-02-16T00:40:27Z,1480000,False,,,0,,C. Duarte lost ball TURNOVER (1 TO),"[1630537, 203083]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,,Duarte,C. Duarte,,,,,1.0,Drummond,203083.0,,,,,,,,,,
150,PT01M13.00S,2023-02-16T00:40:22.2Z,1,REGULAR,steal,,[],203083,,,1610612741,15,32,2023-02-16T00:40:25Z,1490000,False,,,0,,A. Drummond STEAL (2 STL),[203083],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
151,PT01M09.00S,2023-02-16T00:40:27.0Z,1,REGULAR,turnover,lost ball,[],203083,,,1610612741,15,32,2023-02-16T00:46:24Z,1500000,False,,,0,,A. Drummond lost ball TURNOVER (1 TO),"[203083, 1630537]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,Drummond,A. Drummond,,,,,1.0,Duarte,1630537.0,,,,,,,,,,
152,PT01M09.00S,2023-02-16T00:40:27.0Z,1,REGULAR,steal,,[],1630537,,,1610612754,15,32,2023-02-16T00:40:28Z,1510000,False,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,
153,PT01M05.00S,2023-02-16T00:40:30.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631097,25.18068331143233,12.5,1610612754,15,32,2023-02-16T00:40:38Z,1520000,False,188.0,184.0,1,left,MISS B. Mathurin 26' running 3PT,[1631097],1610612754.0,IND,running,,,,,,Above the Break 3,24+ Right Center,26.28,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
154,PT01M01.00S,2023-02-16T00:40:34.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,15,32,2023-02-16T00:40:38Z,1530000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,,,153.0,,,,,,,,,,,,,,,,
156,PT00M51.70S,2023-02-16T00:41:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.9060446780552,54.41176470588235,1610612741,15,34,2023-02-16T00:41:06Z,1550000,False,22.0,5.0,1,right,C. White driving finger roll Layup (2 PTS),[1629632],1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,2.26,Made,2.0,White,C. White,,,,,,,,,,,,,,,,,
157,PT00M40.10S,2023-02-16T00:41:18.2Z,1,REGULAR,3pt,Jump Shot,[],1629670,26.231931668856767,83.33333333333334,1610612754,15,34,2023-02-16T00:41:22Z,1560000,False,-167.0,194.0,1,left,MISS J. Nwora 25' step back 3PT,[1629670],1610612754.0,IND,step back,,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,
158,PT00M37.00S,2023-02-16T00:41:21.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,15,34,2023-02-16T00:41:22Z,1570000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:5),[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,LaVine,Z. LaVine,157.0,5.0,5.0,0.0,,,,,,,,,,,,,
159,PT00M28.60S,2023-02-16T00:41:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,92.59198423127464,46.07843137254902,1610612741,15,36,2023-02-16T00:41:33Z,1580000,False,-20.0,17.0,1,right,C. White driving finger roll Layup (4 PTS) (Z. LaVine 3 AST),"[1629632, 203897]",1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,2.6,Made,4.0,White,C. White,,,,,,,,Z. LaVine,203897.0,3.0,,,,,,,
161,PT00M09.90S,2023-02-16T00:41:50.4Z,1,REGULAR,2pt,Jump Shot,[],1630537,8.09789750328515,18.38235294117647,1610612754,15,36,2023-02-16T00:41:55Z,1600000,False,158.0,24.0,1,left,MISS C. Duarte 15' pullup Shot,[1630537],1610612754.0,IND,pullup,,,,,,Mid-Range,8-16 Right,15.99,Missed,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,
162,PT00M06.40S,2023-02-16T00:41:54.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,15,36,2023-02-16T00:41:54Z,1610000,False,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Right,,,,Drummond,A. Drummond,161.0,3.0,2.0,1.0,,,,,,,,,,,,,
163,PT00M01.20S,2023-02-16T00:41:59.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,67.23061760840999,63.970588235294116,1610612741,15,39,2023-02-16T00:42:04Z,1620000,False,70.0,256.0,1,right,C. White 26' 3PT pullup (7 PTS),[1629632],1610612741.0,CHI,pullup,,,,,,Above the Break 3,24+ Center,26.49,Made,7.0,White,C. White,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2023-02-16T00:42:48.3Z,1,REGULAR,period,end,[],0,,,1610612754,15,39,2023-02-16T00:42:48Z,1640000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2023-02-16T00:44:06.7Z,2,REGULAR,substitution,out,['startperiod'],1630543,,,1610612754,15,39,2023-02-16T00:44:36Z,1650000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,,,,,,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2023-02-16T00:44:06.7Z,2,REGULAR,substitution,out,['startperiod'],203897,,,1610612754,15,39,2023-02-16T00:44:36Z,1660000,False,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,,,,,,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2023-02-16T00:44:06.7Z,2,REGULAR,substitution,in,['startperiod'],1626167,,,1610612754,15,39,2023-02-16T00:44:36Z,1670000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2023-02-16T00:44:06.7Z,2,REGULAR,substitution,in,['startperiod'],1630245,,,1610612754,15,39,2023-02-16T00:44:36Z,1680000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2023-02-16T00:44:44.5Z,2,REGULAR,period,start,[],0,,,1610612754,15,39,2023-02-16T00:44:44Z,1690000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M48.00S,2023-02-16T00:44:58.0Z,2,REGULAR,foul,personal,[],1630245,,,1610612754,15,39,2023-02-16T00:45:07Z,1700000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1626167]",1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,2882.0,1.0,0.0,Turner,1626167.0,,
173,PT11M38.00S,2023-02-16T00:45:20.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,5.863994743758213,54.90196078431373,1610612754,15,39,2023-02-16T00:45:25Z,1720000,False,-25.0,3.0,1,left,MISS B. Mathurin driving finger roll Layup,[1631097],1610612754.0,IND,driving finger roll,,,,,,Restricted Area,0-8 Center,2.46,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
174,PT11M35.00S,2023-02-16T00:45:23.6Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,15,39,2023-02-16T00:45:25Z,1730000,False,,,0,,A. Drummond REBOUND (Off:1 Def:3),[203083],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Drummond,A. Drummond,173.0,4.0,3.0,1.0,,,,,,,,,,,,,
175,PT11M20.00S,2023-02-16T00:45:37.7Z,2,REGULAR,2pt,Jump Shot,[],1630245,94.69448094612353,78.92156862745098,1610612741,15,39,2023-02-16T00:45:41Z,1740000,False,145.0,-3.0,1,right,MISS A. Dosunmu 14' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,,,,Mid-Range,8-16 Right,14.46,Missed,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,
176,PT11M16.00S,2023-02-16T00:45:41.7Z,2,REGULAR,rebound,defensive,[],1629670,,,1610612754,15,39,2023-02-16T00:45:41Z,1750000,False,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612754.0,IND,,,,,,,Mid-Range,8-16 Right,,,,Nwora,J. Nwora,175.0,1.0,1.0,0.0,,,,,,,,,,,,,
