actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
52,PT07M12.00S,2023-02-24T00:19:39.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,7.046649145860711,44.85294117647059,1610612738,10,14,2023-02-24T00:19:45Z,490000,False,26.0,14.0,1,left,J. Brown running finger roll Layup (4 PTS),[1627759],1610612738.0,BOS,running finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.91,Made,,,,,,,4.0,,,,,,,,,,,
53,PT06M58.00S,2023-02-24T00:19:54.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.91655716162943,48.03921568627451,1610612754,13,14,2023-02-24T00:19:58Z,500000,False,-10.0,268.0,1,right,M. Turner 26' 3PT  (6 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.81,Made,,,,,,,6.0,,,,T. Haliburton,1630169.0,2.0,,,,,
55,PT06M37.00S,2023-02-24T00:20:14.8Z,1,REGULAR,2pt,Jump Shot,[],201143,10.200394218134035,21.568627450980394,1610612738,13,16,2023-02-24T00:20:20Z,520000,False,142.0,43.0,1,left,A. Horford 14' turnaround Jump Shot (5 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,Mid-Range,8-16 Right,14.87,Made,,,,,,,5.0,,,,J. Tatum,1628369.0,1.0,,,,,
57,PT06M15.00S,2023-02-24T00:20:37.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,67.09921156373193,52.94117647058824,1610612754,13,16,2023-02-24T00:20:41Z,540000,False,15.0,257.0,1,right,MISS B. Hield 25' step back 3PT,[1627741],1610612754.0,IND,step back,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
58,PT06M11.00S,2023-02-24T00:20:41.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,13,16,2023-02-24T00:20:41Z,550000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT06M08.00S,2023-02-24T00:20:45.0Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612738,13,16,2023-02-24T00:20:56Z,560000,False,,,0,,B. Hield shooting personal FOUL (1 PF) (Brown 2 FT),"[1627741, 1627759]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Brown,1627759.0
61,PT06M08.00S,2023-02-24T00:21:15.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,13,17,2023-02-24T00:21:15Z,580000,False,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
62,PT06M08.00S,2023-02-24T00:21:16.4Z,1,REGULAR,substitution,out,[],1629614,,,1610612738,13,17,2023-02-24T00:21:21Z,590000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M08.00S,2023-02-24T00:21:16.4Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,13,17,2023-02-24T00:21:21Z,600000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M08.00S,2023-02-24T00:21:16.4Z,1,REGULAR,substitution,in,[],1631097,,,1610612738,13,17,2023-02-24T00:21:21Z,610000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
