actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
84,PT04M33.00S,2025-04-12T01:24:45.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203497,8.886333771353483,49.01960784313725,1610612750,16,11,2025-04-12T01:28:08Z,840000,False,5.0,31.0,1,left,R. Gobert driving Hook (6 PTS),[203497],1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,,,,,,,,6.0,,,,,,
85,PT04M16.00S,2025-04-12T01:25:01.9Z,1,REGULAR,3pt,Jump Shot,[],1641736,69.20170827858082,28.676470588235293,1610612751,16,11,2025-04-12T01:28:22Z,850000,False,-107.0,237.0,1,right,MISS R. Beekman 25' pullup 3PT,[1641736],1610612751.0,BKN,pullup,,,Beekman,R. Beekman,,,,,Above the Break 3,24+ Left Center,25.99,Missed,,,,,,,,,,,,,,,,,,
86,PT04M14.00S,2025-04-12T01:25:03.9Z,1,REGULAR,rebound,offensive,[],1630623,,,1610612751,16,11,2025-04-12T01:25:06Z,860000,False,,,0,,T. Etienne REBOUND (Off:1 Def:0),[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,Above the Break 3,24+ Left Center,,,,,85.0,,,,,,1.0,0.0,1.0,,,,,,,
87,PT04M11.00S,2025-04-12T01:25:07.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630623,71.30420499342969,75.24509803921569,1610612751,16,11,2025-04-12T01:25:11Z,870000,False,126.0,217.0,1,right,MISS T. Etienne 25' 3PT,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,Above the Break 3,24+ Right Center,25.12,Missed,,,,,,,,,,,,,,,,,,
88,PT04M09.00S,2025-04-12T01:25:09.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,16,11,2025-04-12T01:25:11Z,880000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,87.0,,,,,,2.0,2.0,0.0,,,,,,,
89,PT03M56.00S,2025-04-12T01:25:23.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.750985545335087,57.107843137254896,1610612750,16,11,2025-04-12T01:25:29Z,890000,False,-36.0,246.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.85,Missed,,,,,,,,,,,,,,,,,,
90,PT03M52.00S,2025-04-12T01:25:27.2Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,16,11,2025-04-12T01:25:29Z,900000,False,,,0,,T. Watford REBOUND (Off:0 Def:2),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Center,,,,,89.0,,,,,,2.0,2.0,0.0,,,,,,,
91,PT03M36.00S,2025-04-12T01:25:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641727,91.93495400788436,44.36274509803921,1610612751,16,11,2025-04-12T01:29:17Z,910000,False,-28.0,23.0,1,right,MISS D. Whitehead driving Layup,[1641727],1610612751.0,BKN,driving,,,Whitehead,D. Whitehead,,,,,Restricted Area,0-8 Center,3.66,Missed,,,,,,,,,,,,,,,,,,
92,PT03M35.00S,2025-04-12T01:25:45.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,16,11,2025-04-12T01:26:36Z,920000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,91.0,,,,,,1.0,1.0,0.0,,,,,,,
93,PT03M28.00S,2025-04-12T01:25:51.0Z,1,REGULAR,foul,personal,['2freethrow'],1641736,,,1610612750,16,11,2025-04-12T01:26:04Z,930000,False,,,0,,R. Beekman shooting personal FOUL (1 PF) (Gobert 2 FT),"[1641736, 203497]",1610612751.0,BKN,shooting,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,,,,,,1628159.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
95,PT03M28.00S,2025-04-12T01:26:30.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203497,,,1610612750,17,11,2025-04-12T01:31:13Z,950000,False,,,0,,R. Gobert Free Throw 1 of 2 (7 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,7.0,,,,,,
96,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,17,11,2025-04-12T01:26:48Z,960000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,out,[],1630162,,,1610612750,17,11,2025-04-12T01:26:48Z,970000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,out,[],1641736,,,1610612750,17,11,2025-04-12T01:26:48Z,980000,False,,,0,,SUB out: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,out,[],1630570,,,1610612750,17,11,2025-04-12T01:26:48Z,990000,False,,,0,,SUB out: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,out,[],1631166,,,1610612750,17,11,2025-04-12T01:26:48Z,1000000,False,,,0,,SUB out: D. Timme,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,in,[],1629638,,,1610612750,17,11,2025-04-12T01:26:48Z,1010000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,in,[],1641740,,,1610612750,17,11,2025-04-12T01:26:48Z,1020000,False,,,0,,SUB in: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,in,[],1641787,,,1610612750,17,11,2025-04-12T01:26:48Z,1030000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,in,[],1631213,,,1610612750,17,11,2025-04-12T01:26:48Z,1040000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M28.00S,2025-04-12T01:26:31.5Z,1,REGULAR,substitution,in,[],1641721,,,1610612750,17,11,2025-04-12T01:26:48Z,1050000,False,,,0,,SUB in: M. Lewis,[1641721],1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M28.00S,2025-04-12T01:26:30.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203497,,,1610612750,18,11,2025-04-12T01:31:13Z,1060000,False,,,0,,R. Gobert Free Throw 2 of 2 (8 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,8.0,,,,,,
107,PT03M15.00S,2025-04-12T01:27:14.5Z,1,REGULAR,3pt,Jump Shot,[],1631213,80.89684625492772,8.823529411764707,1610612751,18,11,2025-04-12T01:31:45Z,1070000,False,-206.0,127.0,1,right,MISS T. Martin 24' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,24.2,Missed,,,,,,,,,,,,,,,,,,
108,PT03M13.00S,2025-04-12T01:27:16.5Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,18,11,2025-04-12T01:27:19Z,1080000,False,,,0,,N. Reid REBOUND (Off:1 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,,,107.0,,,,,,2.0,1.0,1.0,,,,,,,
109,PT03M02.00S,2025-04-12T01:27:26.6Z,1,REGULAR,3pt,Jump Shot,[],1629638,30.56833114323259,34.80392156862745,1610612750,18,11,2025-04-12T01:27:31Z,1090000,False,76.0,235.0,1,left,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,24.68,Missed,,,,,,,,,,,,,,,,,,
110,PT03M00.00S,2025-04-12T01:27:28.6Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,18,11,2025-04-12T01:27:31Z,1100000,False,,,0,,N. Reid REBOUND (Off:2 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,109.0,,,,,,3.0,1.0,2.0,,,,,,,
112,PT02M58.00S,2025-04-12T01:27:39.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,18,11,2025-04-12T01:27:39Z,1120000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M58.00S,2025-04-12T01:29:55.8Z,1,REGULAR,substitution,out,[],203497,,,1610612750,18,11,2025-04-12T01:30:18Z,1130000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M58.00S,2025-04-12T01:29:55.8Z,1,REGULAR,substitution,in,[],203944,,,1610612750,18,11,2025-04-12T01:30:18Z,1140000,False,,,0,,SUB in: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M51.00S,2025-04-12T01:30:41.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628978,25.18068331143233,14.215686274509803,1610612750,18,11,2025-04-12T01:30:51Z,1160000,False,179.0,184.0,1,left,MISS D. DiVincenzo 25' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
117,PT02M48.00S,2025-04-12T01:30:44.2Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612751,18,11,2025-04-12T01:30:44Z,1170000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:1),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Right Center,,,,,116.0,,,,,,1.0,1.0,0.0,,,,,,,
118,PT02M30.00S,2025-04-12T01:31:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641787,91.40932982917214,51.225490196078425,1610612751,18,13,2025-04-12T01:31:08Z,1180000,False,6.0,28.0,1,right,T. Evbuomwan driving Layup (2 PTS),[1641787],1610612751.0,BKN,driving,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,,,,,,,,2.0,,,,,,
119,PT02M12.00S,2025-04-12T01:31:20.0Z,1,REGULAR,3pt,Jump Shot,[],1629675,8.360709592641262,5.392156862745098,1610612750,21,13,2025-04-12T01:31:24Z,1190000,False,223.0,26.0,1,left,N. Reid 3PT  (3 PTS) (N. Alexander-Walker 1 AST),"[1629675, 1629638]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,22.45,Made,,,,,,,,,,,,3.0,N. Alexander-Walker,1629638.0,1.0,,,
121,PT01M51.00S,2025-04-12T01:31:41.3Z,1,REGULAR,3pt,Jump Shot,[],1641727,73.80091984231275,17.892156862745097,1610612751,21,16,2025-04-12T01:31:46Z,1210000,False,-161.0,194.0,1,right,D. Whitehead 25' 3PT  (3 PTS) (T. Evbuomwan 1 AST),"[1641727, 1641787]",1610612751.0,BKN,,,,Whitehead,D. Whitehead,,,,,Above the Break 3,24+ Left Center,25.16,Made,,,,,,,,,,,,3.0,T. Evbuomwan,1641787.0,1.0,,,
123,PT01M37.00S,2025-04-12T01:31:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641740,8.492115637319317,44.36274509803921,1610612750,21,16,2025-04-12T01:33:24Z,1230000,False,28.0,27.0,1,left,MISS J. Clark driving Layup,[1641740],1610612750.0,MIN,driving,,,Clark,J. Clark,,,,,Restricted Area,0-8 Center,3.92,Missed,,,,,,,,,,,,,,,,,,
124,PT01M36.00S,2025-04-12T01:31:58.8Z,1,REGULAR,rebound,offensive,[],1641740,,,1610612750,21,16,2025-04-12T01:33:24Z,1240000,False,,,0,,J. Clark REBOUND (Off:1 Def:0),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,Restricted Area,0-8 Center,,,,,123.0,,,,,,1.0,0.0,1.0,,,,,,,
125,PT01M35.00S,2025-04-12T01:32:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1641727,,,1610612750,21,16,2025-04-12T01:32:09Z,1250000,False,,,0,,D. Whitehead shooting personal FOUL (1 PF) (Clark 2 FT),"[1641727, 1641740]",1610612751.0,BKN,shooting,,,Whitehead,D. Whitehead,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1628159.0,1.0,0.0,Clark,1641740.0,,,,,,,,,,
127,PT01M35.00S,2025-04-12T01:32:28.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641740,,,1610612750,22,16,2025-04-12T01:32:28Z,1270000,False,,,0,,J. Clark Free Throw 1 of 2 (1 PTS),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
128,PT01M35.00S,2025-04-12T01:32:42.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641740,,,1610612750,23,16,2025-04-12T01:32:42Z,1280000,False,,,0,,J. Clark Free Throw 2 of 2 (2 PTS),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
129,PT01M19.00S,2025-04-12T01:33:01.3Z,1,REGULAR,turnover,out-of-bounds,[],1630623,,,1610612751,23,16,2025-04-12T01:33:07Z,1290000,False,,,0,,T. Etienne bad pass out-of-bounds TURNOVER (1 TO),[1630623],1610612751.0,BKN,bad pass,,,Etienne,T. Etienne,,,,,Above the Break 3,24+ Right Center,,,,,,1662.0,,,,,,,,,,,,1.0,,
130,PT00M56.10S,2025-04-12T01:33:35.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630623,,,1610612750,23,16,2025-04-12T01:33:43Z,1300000,False,,,0,,T. Etienne shooting personal FOUL (1 PF) (Clark 2 FT),"[1630623, 1641740]",1610612751.0,BKN,shooting,,,Etienne,T. Etienne,,,,,Restricted Area,0-8 Center,,,,,,1662.0,1.0,0.0,Clark,1641740.0,,,,,,,,,,
132,PT00M56.10S,2025-04-12T01:33:55.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641740,,,1610612750,24,16,2025-04-12T01:33:55Z,1320000,False,,,0,,J. Clark Free Throw 1 of 2 (3 PTS),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
133,PT00M56.10S,2025-04-12T01:34:12.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641740,,,1610612750,25,16,2025-04-12T01:34:12Z,1330000,False,,,0,,J. Clark Free Throw 2 of 2 (4 PTS),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,Made,,,,,,,,,,,,4.0,,,,,,
134,PT00M43.70S,2025-04-12T01:34:26.0Z,1,REGULAR,turnover,bad pass,[],1630623,,,1610612751,25,16,2025-04-12T01:34:35Z,1340000,False,,,0,,T. Etienne bad pass TURNOVER (2 TO),"[1630623, 1628978]",1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,2.0,DiVincenzo,1628978.0
135,PT00M43.70S,2025-04-12T01:34:26.0Z,1,REGULAR,steal,,[],1628978,,,1610612750,25,16,2025-04-12T01:34:27Z,1350000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
136,PT00M41.40S,2025-04-12T01:34:29.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628978,6.652431011826544,49.50980392156863,1610612750,27,16,2025-04-12T01:37:12Z,1360000,False,2.0,10.0,1,left,D. DiVincenzo running DUNK (2 PTS),[1628978],1610612750.0,MIN,running,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,1.03,Made,,,,,,,,,,,,2.0,,,,,,
137,PT00M35.20S,2025-04-12T01:34:37.1Z,1,REGULAR,turnover,lost ball,[],1631213,,,1610612751,27,16,2025-04-12T02:09:01Z,1370000,False,,,0,,T. Martin lost ball TURNOVER (1 TO),"[1631213, 203944]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Randle,203944.0
138,PT00M35.20S,2025-04-12T01:34:37.1Z,1,REGULAR,steal,,[],203944,,,1610612750,27,16,2025-04-12T02:09:01Z,1380000,False,,,0,,J. Randle STEAL (2 STL),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
139,PT00M29.60S,2025-04-12T01:34:44.2Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612750,27,16,2025-04-12T01:34:52Z,1390000,False,,,0,,J. Randle step out-of-bounds TURNOVER (1 TO),[203944],1610612750.0,MIN,step,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,,,,1662.0,,,,,,,,,,,,1.0,,
140,PT00M12.60S,2025-04-12T01:35:10.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630623,64.86530880420499,35.78431372549019,1610612751,27,16,2025-04-12T01:35:15Z,1400000,False,-71.0,278.0,1,right,MISS T. Etienne 28' pullup 3PT,[1630623],1610612751.0,BKN,pullup,,,Etienne,T. Etienne,,,,,Above the Break 3,24+ Center,28.68,Missed,,,,,,,,,,,,,,,,,,
141,PT00M10.80S,2025-04-12T01:35:12.4Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,27,16,2025-04-12T01:35:35Z,1410000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:2),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,140.0,,,,,,2.0,2.0,0.0,,,,,,,
142,PT00M07.40S,2025-04-12T01:35:16.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630623,,,1610612750,27,16,2025-04-12T01:35:25Z,1420000,False,,,0,,T. Etienne shooting personal FOUL (2 PF) (Clark 2 FT),"[1630623, 1641740]",1610612751.0,BKN,shooting,,,Etienne,T. Etienne,,,,,Restricted Area,0-8 Center,,,,,,1626300.0,2.0,0.0,Clark,1641740.0,,,,,,,,,,
144,PT00M07.40S,2025-04-12T01:35:43.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641740,,,1610612750,27,16,2025-04-12T01:35:43Z,1440000,False,,,0,,MISS J. Clark Free Throw 1 of 2,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
145,PT00M07.40S,2025-04-12T01:35:43.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,27,16,2025-04-12T01:35:43Z,1450000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,
146,PT00M07.40S,2025-04-12T01:35:46.9Z,1,REGULAR,substitution,out,[],203944,,,1610612750,27,16,2025-04-12T01:35:50Z,1460000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M07.40S,2025-04-12T01:35:46.9Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,27,16,2025-04-12T01:35:50Z,1470000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M07.40S,2025-04-12T01:36:01.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641740,,,1610612750,28,16,2025-04-12T01:36:01Z,1480000,False,,,0,,J. Clark Free Throw 2 of 2 (5 PTS),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
149,PT00M00.80S,2025-04-12T01:36:10.8Z,1,REGULAR,foul,personal,[],1629638,,,1610612751,28,16,2025-04-12T01:36:22Z,1490000,False,,,0,,N. Alexander-Walker personal FOUL (1 PF),"[1629638, 1630623]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,1626300.0,1.0,0.0,Etienne,1630623.0,,,,,,,,,,
151,PT00M00.00S,2025-04-12T01:36:34.8Z,1,REGULAR,period,end,[],0,,,1610612751,28,16,2025-04-12T01:36:34Z,1510000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1641740,,,1610612751,28,16,2025-04-12T01:39:17Z,1520000,False,,,0,,SUB out: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1630183,,,1610612751,28,16,2025-04-12T01:39:17Z,1530000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1641727,,,1610612751,28,16,2025-04-12T01:39:17Z,1540000,False,,,0,,SUB out: D. Whitehead,[1641727],1610612751.0,BKN,,,,Whitehead,D. Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1630623,,,1610612751,28,16,2025-04-12T01:39:17Z,1550000,False,,,0,,SUB out: T. Etienne,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1641787,,,1610612751,28,16,2025-04-12T01:39:17Z,1560000,False,,,0,,SUB out: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1631213,,,1610612751,28,16,2025-04-12T01:39:17Z,1570000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,out,['startperiod'],1641721,,,1610612751,28,16,2025-04-12T01:39:17Z,1580000,False,,,0,,SUB out: M. Lewis,[1641721],1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],203497,,,1610612751,28,16,2025-04-12T01:39:17Z,1590000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],201144,,,1610612751,28,16,2025-04-12T01:39:17Z,1600000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],1641736,,,1610612751,28,16,2025-04-12T01:39:17Z,1610000,False,,,0,,SUB in: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],1630570,,,1610612751,28,16,2025-04-12T01:39:17Z,1620000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],1630592,,,1610612751,28,16,2025-04-12T01:39:17Z,1630000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],1631166,,,1610612751,28,16,2025-04-12T01:39:17Z,1640000,False,,,0,,SUB in: D. Timme,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2025-04-12T01:38:48.4Z,2,REGULAR,substitution,in,['startperiod'],1630553,,,1610612751,28,16,2025-04-12T01:39:17Z,1650000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-04-12T01:39:22.0Z,2,REGULAR,period,start,[],0,,,1610612750,28,16,2025-04-12T01:39:22Z,1660000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M41.00S,2025-04-12T01:39:45.8Z,2,REGULAR,foul,personal,[],1630570,,,1610612750,28,16,2025-04-12T01:39:51Z,1670000,False,,,0,,T. Watford personal FOUL (1 PF),"[1630570, 203497]",1610612751.0,BKN,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1662.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
