actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
419,PT06M19.00S,2025-10-30T00:11:56.3Z,3,REGULAR,turnover,out-of-bounds,[],1641708,,,1610612745,77,86,2025-10-30T00:12:03Z,4180000,False,,,0,,A. Thompson bad pass out-of-bounds TURNOVER (4 TO),[1641708],1610612745.0,HOU,bad pass,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right,,,,,,,1830.0,,,,,,,,,4.0,,,,
420,PT06M07.00S,2025-10-30T00:12:11.7Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630567,87.07293035479631,50.0,1610612761,77,86,2025-10-30T00:18:40Z,4190000,False,0.0,69.0,1,right,MISS S. Barnes 6' driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.9,Missed,,,,,,,,,,,,,,,,,,
421,PT06M01.00S,2025-10-30T00:12:17.7Z,3,REGULAR,rebound,offensive,[],1630567,,,1610612761,77,86,2025-10-30T00:12:17Z,4200000,False,,,0,,S. Barnes REBOUND (Off:1 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,420.0,5.0,4.0,1.0,,,,,,,,,,,,,,
422,PT06M01.00S,2025-10-30T00:12:16.8Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630567,94.40999984741211,50.0,1610612761,79,86,2025-10-30T00:12:16Z,4210000,False,0.0,0.0,1,right,S. Barnes putback DUNK (23 PTS),[1630567],1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,23.0,,,,,,,,
423,PT05M43.00S,2025-10-30T00:12:35.0Z,3,REGULAR,2pt,Jump Shot,[],1631095,9.411957950065702,17.401960784313726,1610612745,79,86,2025-10-30T00:12:39Z,4220000,False,163.0,36.0,1,left,MISS J. Smith Jr. 16' step back Shot,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,16.69,Missed,,,,,,,,,,,,,,,,,,
424,PT05M41.00S,2025-10-30T00:12:37.0Z,3,REGULAR,rebound,defensive,[],1630193,,,1610612761,79,86,2025-10-30T00:12:39Z,4230000,False,,,0,,I. Quickley REBOUND (Off:0 Def:3),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Right,,,423.0,3.0,3.0,0.0,,,,,,,,,,,,,,
425,PT05M34.00S,2025-10-30T00:12:43.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,84.97043363994744,47.794117647058826,1610612761,79,86,2025-10-30T00:22:13Z,4240000,False,-11.0,89.0,1,right,MISS I. Quickley 8' driving floating Shot,[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,8.95,Missed,,,,,,,,,,,,,,,,,,
426,PT05M32.00S,2025-10-30T00:12:45.9Z,3,REGULAR,rebound,defensive,[],201142,,,1610612745,79,86,2025-10-30T00:12:49Z,4250000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,425.0,2.0,2.0,0.0,,,,,,,,,,,,,,
427,PT05M28.00S,2025-10-30T00:12:50.5Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630578,6.1268068331143235,51.9607843137255,1610612745,79,88,2025-10-30T00:12:57Z,4260000,False,-10.0,5.0,1,left,A. Sengun running DUNK (12 PTS) (J. Smith Jr. 4 AST),"[1630578, 1631095]",1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,,,,,,12.0,J. Smith Jr.,1631095.0,4.0,,,,,
430,PT04M59.00S,2025-10-30T00:13:23.0Z,3,REGULAR,2pt,Jump Shot,[],1630567,84.70762155059133,72.54901960784314,1610612761,79,88,2025-10-30T00:14:34Z,4290000,False,113.0,91.0,1,right,MISS S. Barnes 14' fadeaway Shot,[1630567],1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,14.5,Missed,,,,,,,,,,,,,,,,,,
