actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotResult,pointsTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
48,PT08M31.00S,2025-11-23T23:22:21.5Z,1,REGULAR,3pt,Jump Shot,[],1641730,24.78646517739816,15.441176470588236,1610612751,12,3,2025-11-23T23:22:29Z,480000,False,173.0,180.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,,,24.99,,,,,,,,,
49,PT08M30.00S,2025-11-23T23:22:22.5Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612751,12,3,2025-11-23T23:23:51Z,490000,False,,,0,,Z. Williams REBOUND (Off:1 Def:0),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,48.0,1.0,0.0,1.0,,
50,PT08M29.00S,2025-11-23T23:22:28.3Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612751,12,3,2025-11-23T23:23:42Z,500000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1629628]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,8-16 Left,,,,,,1.0,,,Barrett,1629628.0,,,,,,,,,,
51,PT08M29.00S,2025-11-23T23:22:28.3Z,1,REGULAR,steal,,[],1629628,,,1610612761,12,3,2025-11-23T23:22:30Z,510000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
52,PT08M20.00S,2025-11-23T23:22:31.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,93.64323258869908,50.98039215686274,1610612761,14,3,2025-11-23T23:22:36Z,520000,False,5.0,7.0,1,right,S. Barnes running DUNK (2 PTS) (R. Barrett 1 AST),"[1630567, 1629628]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,,,0.88,R. Barrett,1629628.0,1.0,,,,,,
54,PT08M01.00S,2025-11-23T23:22:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,11.908672798948752,52.94117647058824,1610612751,14,5,2025-11-23T23:23:02Z,540000,False,-15.0,59.0,1,left,N. Clowney 6' driving floating bank Jump Shot (5 PTS),[1641730],1610612751.0,BKN,driving floating bank,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,5.0,,,6.12,,,,,,,,,
55,PT07M46.00S,2025-11-23T23:23:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,92.9862023653088,54.90196078431373,1610612761,14,5,2025-11-23T23:23:12Z,550000,False,25.0,13.0,1,right,MISS B. Ingram driving Layup - blocked,"[1627742, 1630533]",1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,,,2.79,,,,,,,,Williams,1630533.0
56,PT07M46.00S,2025-11-23T23:23:07.3Z,1,REGULAR,block,,[],1630533,,,1610612761,14,5,2025-11-23T23:26:04Z,560000,False,,,0,,Z. Williams BLOCK (1 BLK),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M46.00S,2025-11-23T23:23:07.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,14,5,2025-11-23T23:23:12Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,55.0,,,,,
59,PT07M44.00S,2025-11-23T23:23:25.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,94.95729303547962,2.2058823529411766,1610612761,14,5,2025-11-23T23:23:31Z,590000,False,-239.0,-5.0,1,right,MISS R. Barrett 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,,,,,,,Missed,,,,23.91,,,,,,,,,
60,PT07M40.00S,2025-11-23T23:23:29.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,14,5,2025-11-23T23:23:31Z,600000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,59.0,2.0,2.0,0.0,,
61,PT07M39.00S,2025-11-23T23:23:32.6Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612751,14,5,2025-11-23T23:23:41Z,610000,False,,,0,,B. Ingram shooting personal FOUL (1 PF) (Martin 2 FT),"[1627742, 1631213]",1610612761.0,TOR,shooting,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1193.0,1.0,0.0,Martin,1631213.0,,,,,,,,,,,,,,,
63,PT07M39.00S,2025-11-23T23:24:03.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631213,,,1610612751,14,6,2025-11-23T23:24:03Z,630000,False,,,0,,T. Martin Free Throw 1 of 2 (1 PTS),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
64,PT07M39.00S,2025-11-23T23:24:24.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631213,,,1610612751,14,7,2025-11-23T23:24:24Z,640000,False,,,0,,T. Martin Free Throw 2 of 2 (2 PTS),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
