actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
81,PT05M46.00S,2025-12-07T20:54:50.0Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,9,18,2025-12-07T20:55:16Z,810000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M46.00S,2025-12-07T20:54:46.7Z,1,REGULAR,freethrow,2 of 2,[],1629674,,,1610612738,9,19,2025-12-07T20:55:33Z,820000,False,,,0,,N. Queta Free Throw 2 of 2 (1 PTS),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,Made,,,,,,,,,,,,,1.0,,,
83,PT05M26.00S,2025-12-07T20:55:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,84.31340341655716,50.73529411764706,1610612761,11,19,2025-12-07T20:55:40Z,830000,False,4.0,95.0,1,right,J. Poeltl 9' floating Jump Shot (4 PTS) (J. Shead 1 AST),"[1627751, 1642347]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,9.51,Made,,,,,,,,,,,,,4.0,J. Shead,1642347.0,1.0
85,PT05M12.00S,2025-12-07T20:55:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,6.258212877792378,50.73529411764706,1610612738,11,21,2025-12-07T20:55:52Z,850000,False,-4.0,6.0,1,left,A. Simons driving Layup (2 PTS),[1629014],1610612738.0,BOS,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,0.73,Made,,,,,,,,,,,,,2.0,,,
86,PT05M02.00S,2025-12-07T20:55:58.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.9060446780552,50.0,1610612761,13,21,2025-12-07T20:56:02Z,860000,False,0.0,5.0,1,right,J. Poeltl cutting Layup (6 PTS),[1627751],1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,0.48,Made,,,,,,,,,,,,,6.0,,,
88,PT04M50.00S,2025-12-07T20:56:09.5Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.436925098554536,22.54901960784314,1610612738,13,21,2025-12-07T20:56:14Z,880000,False,137.0,234.0,1,left,MISS A. Simons 27' pullup 3PT,[1629014],1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,27.1,Missed,,,,,,,,,,,,,,,,
89,PT04M47.00S,2025-12-07T20:56:12.6Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,13,21,2025-12-07T20:56:12Z,890000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Right Center,,,,,88.0,1.0,0.0,1.0,,,,,,,,,,,,
90,PT04M45.00S,2025-12-07T20:56:14.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,32.670827858081466,63.48039215686274,1610612738,13,24,2025-12-07T20:56:19Z,900000,False,-67.0,255.0,1,left,D. White 26' 3PT  (11 PTS) (N. Queta 2 AST),"[1628401, 1629674]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,26.34,Made,,,,,,,,,,,,,11.0,N. Queta,1629674.0,2.0
92,PT04M26.00S,2025-12-07T20:56:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,88.91261498028909,52.450980392156865,1610612761,13,24,2025-12-07T20:56:39Z,920000,False,12.0,52.0,1,right,MISS O. Agbaji driving finger roll Layup,[1630534],1610612761.0,TOR,driving finger roll,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,,,5.31,Missed,,,,,,,,,,,,,,,,
93,PT04M25.00S,2025-12-07T20:56:35.5Z,1,REGULAR,rebound,offensive,[],1630534,,,1610612761,13,24,2025-12-07T20:56:35Z,930000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:0),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,,,,,92.0,1.0,0.0,1.0,,,,,,,,,,,,
94,PT04M22.00S,2025-12-07T20:56:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642347,87.07293035479631,43.13725490196079,1610612761,13,24,2025-12-07T20:56:42Z,940000,False,-34.0,69.0,1,right,MISS J. Shead 7' cutting Layup - blocked,"[1642347, 1628401]",1610612761.0,TOR,cutting,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,,,7.71,Missed,,,,,White,1628401.0,,,,,,,,,,
95,PT04M22.00S,2025-12-07T20:56:38.5Z,1,REGULAR,block,,[],1628401,,,1610612761,13,24,2025-12-07T20:56:40Z,950000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
96,PT04M19.00S,2025-12-07T20:56:41.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,13,24,2025-12-07T20:56:42Z,960000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,
97,PT04M10.00S,2025-12-07T20:56:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,15.456636005256241,48.529411764705884,1610612738,13,26,2025-12-07T20:56:56Z,970000,False,7.0,93.0,1,left,J. Brown 9' driving floating Jump Shot (7 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,9.31,Made,,,,,,,,,,,,,7.0,,,
98,PT03M53.00S,2025-12-07T20:57:06.9Z,1,REGULAR,3pt,Jump Shot,[],1627742,67.36202365308804,38.72549019607843,1610612761,16,26,2025-12-07T20:57:11Z,980000,False,-56.0,254.0,1,right,B. Ingram 26' 3PT pullup (10 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,26.05,Made,,,,,,,,,,,,,10.0,,,
99,PT03M40.00S,2025-12-07T20:57:22.4Z,1,REGULAR,foul,offensive,[],1628401,,,1610612738,16,26,2025-12-07T20:57:29Z,990000,False,,,0,,D. White charge offensive FOUL (1 PF),"[1628401, 1627751]",1610612738.0,BOS,charge,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,,,,
101,PT03M40.00S,2025-12-07T20:57:22.4Z,1,REGULAR,turnover,offensive foul,[],1628401,,,1610612738,16,26,2025-12-07T20:57:22Z,1010000,False,,,0,,D. White offensive foul TURNOVER (2 TO),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,101284.0,2.0,,,,,,,,,,,,,,,,,,
102,PT03M40.00S,2025-12-07T20:57:28.4Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,16,26,2025-12-07T20:57:47Z,1020000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M40.00S,2025-12-07T20:57:28.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612761,16,26,2025-12-07T20:57:47Z,1030000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M40.00S,2025-12-07T20:57:28.4Z,1,REGULAR,substitution,out,[],1629674,,,1610612761,16,26,2025-12-07T20:57:47Z,1040000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M40.00S,2025-12-07T20:57:28.4Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,16,26,2025-12-07T20:57:47Z,1050000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M40.00S,2025-12-07T20:57:28.4Z,1,REGULAR,substitution,in,[],1631169,,,1610612761,16,26,2025-12-07T20:57:47Z,1060000,False,,,0,,SUB in: J. Minott,[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M40.00S,2025-12-07T20:57:28.4Z,1,REGULAR,substitution,in,[],1631248,,,1610612761,16,26,2025-12-07T20:57:47Z,1070000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M40.00S,2025-12-07T20:57:53.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,16,26,2025-12-07T20:57:53Z,1080000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M40.00S,2025-12-07T21:00:14.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612761,16,26,2025-12-07T21:00:52Z,1100000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M40.00S,2025-12-07T21:00:14.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612761,16,26,2025-12-07T21:00:52Z,1110000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M33.00S,2025-12-07T21:01:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642347,92.9862023653088,47.05882352941176,1610612761,16,26,2025-12-07T21:01:26Z,1120000,False,-15.0,13.0,1,right,MISS J. Shead driving Layup - blocked,"[1642347, 1630573]",1610612761.0,TOR,driving,,,Shead,J. Shead,,,,,Restricted Area,0-8 Center,,,1.99,Missed,,,,,Hauser,1630573.0,,,,,,,,,,
115,PT03M33.00S,2025-12-07T21:01:10.2Z,1,REGULAR,block,,[],1630573,,,1610612761,16,26,2025-12-07T21:01:12Z,1130000,False,,,0,,S. Hauser BLOCK (1 BLK),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
116,PT03M32.00S,2025-12-07T21:01:11.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,16,26,2025-12-07T21:01:26Z,1140000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,114.0,,,,,,,,,,,,,,,
118,PT03M27.00S,2025-12-07T21:01:31.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627742,83.65637319316689,50.0,1610612761,16,26,2025-12-07T21:01:37Z,1160000,False,0.0,101.0,1,right,MISS B. Ingram 10' turnaround fadeaway Shot,[1627742],1610612761.0,TOR,turnaround fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,10.11,Missed,,,,,,,,,,,,,,,,
119,PT03M24.00S,2025-12-07T21:01:34.3Z,1,REGULAR,rebound,offensive,[],1642347,,,1610612761,16,26,2025-12-07T21:01:37Z,1170000,False,,,0,,J. Shead REBOUND (Off:1 Def:0),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Center,,,,,118.0,1.0,0.0,1.0,,,,,,,,,,,,
120,PT03M24.00S,2025-12-07T21:01:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642347,94.40999984741211,50.0,1610612761,16,26,2025-12-07T21:01:34Z,1180000,False,0.0,0.0,1,right,MISS J. Shead tip Layup,[1642347],1610612761.0,TOR,tip,,,Shead,J. Shead,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
121,PT03M23.00S,2025-12-07T21:01:35.5Z,1,REGULAR,rebound,offensive,[],1642347,,,1610612761,16,26,2025-12-07T21:01:35Z,1190000,False,,,0,,J. Shead REBOUND (Off:2 Def:0),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Mid-Range,8-16 Left,,,,,120.0,2.0,0.0,2.0,,,,,,,,,,,,
122,PT03M21.00S,2025-12-07T21:01:37.5Z,1,REGULAR,turnover,bad pass,[],1642347,,,1610612761,16,26,2025-12-07T21:01:43Z,1200000,False,,,0,,J. Shead bad pass TURNOVER (1 TO),"[1642347, 1631248]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,Scheierman,1631248.0,,,,
123,PT03M21.00S,2025-12-07T21:01:37.5Z,1,REGULAR,steal,,[],1631248,,,1610612738,16,26,2025-12-07T21:01:40Z,1210000,False,,,0,,B. Scheierman STEAL (1 STL),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
124,PT03M12.00S,2025-12-07T21:01:46.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,32.53942181340342,66.17647058823529,1610612738,16,26,2025-12-07T21:04:23Z,1220000,False,-81.0,253.0,1,left,MISS A. Simons 26' pullup 3PT,[1629014],1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,26.6,Missed,,,,,,,,,,,,,,,,
125,PT03M09.00S,2025-12-07T21:01:49.5Z,1,REGULAR,rebound,defensive,[],1642347,,,1610612761,16,26,2025-12-07T21:01:51Z,1230000,False,,,0,,J. Shead REBOUND (Off:2 Def:1),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Center,,,,,124.0,3.0,1.0,2.0,,,,,,,,,,,,
126,PT03M00.00S,2025-12-07T21:01:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,88.64980289093299,49.50980392156863,1610612761,16,26,2025-12-07T21:02:06Z,1240000,False,-2.0,54.0,1,right,MISS B. Ingram turnaround Shot - blocked,"[1627742, 1628401]",1610612761.0,TOR,turnaround,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,5.43,Missed,,,,,White,1628401.0,,,,,,,,,,
127,PT03M00.00S,2025-12-07T21:01:58.1Z,1,REGULAR,block,,[],1628401,,,1610612761,16,26,2025-12-07T21:02:00Z,1250000,False,,,0,,D. White BLOCK (2 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
128,PT02M57.00S,2025-12-07T21:02:01.1Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612738,16,26,2025-12-07T21:02:06Z,1260000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,
129,PT02M55.00S,2025-12-07T21:02:03.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631248,20.318659658344284,9.558823529411764,1610612738,16,26,2025-12-07T21:02:10Z,1270000,False,202.0,138.0,1,left,MISS B. Scheierman 24' running 3PT,[1631248],1610612738.0,BOS,running,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Right Center,,,24.51,Missed,,,,,,,,,,,,,,,,
130,PT02M55.00S,2025-12-07T21:02:03.5Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,16,26,2025-12-07T21:02:10Z,1280000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,,,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,
131,PT02M44.00S,2025-12-07T21:02:16.3Z,1,REGULAR,foul,personal,['2freethrow'],1629014,,,1610612761,16,26,2025-12-07T21:02:22Z,1290000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (Agbaji 2 FT),"[1629014, 1630534]",1610612738.0,BOS,shooting,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,202053.0,,,,,,,,,,1.0,0.0,Agbaji,1630534.0,,,,,,
133,PT02M44.00S,2025-12-07T21:02:42.8Z,1,REGULAR,freethrow,1 of 2,[],1630534,,,1610612761,17,26,2025-12-07T21:02:42Z,1310000,False,,,0,,O. Agbaji Free Throw 1 of 2 (1 PTS),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,Made,,,,,,,,,,,,,1.0,,,
134,PT02M44.00S,2025-12-07T21:02:43.6Z,1,REGULAR,substitution,out,[],1627742,,,1610612761,17,26,2025-12-07T21:02:47Z,1320000,False,,,0,,SUB out: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M44.00S,2025-12-07T21:02:43.6Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,17,26,2025-12-07T21:02:47Z,1330000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M44.00S,2025-12-07T21:03:03.2Z,1,REGULAR,freethrow,2 of 2,[],1630534,,,1610612761,18,26,2025-12-07T21:03:03Z,1340000,False,,,0,,O. Agbaji Free Throw 2 of 2 (2 PTS),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,Made,,,,,,,,,,,,,2.0,,,
137,PT02M26.00S,2025-12-07T21:03:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630573,27.54599211563732,9.803921568627452,1610612738,18,29,2025-12-07T21:03:27Z,1350000,False,201.0,206.0,1,left,S. Hauser 28' 3PT  (3 PTS) (D. White 2 AST),"[1630573, 1628401]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,28.81,Made,,,,,,,,,,,,,3.0,D. White,1628401.0,2.0
139,PT02M13.00S,2025-12-07T21:03:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1631248,,,1610612761,18,29,2025-12-07T21:03:48Z,1370000,False,,,0,,B. Scheierman shooting personal FOUL (1 PF) (Barnes 2 FT),"[1631248, 1630567]",1610612738.0,BOS,shooting,,,Scheierman,B. Scheierman,,,,,In The Paint (Non-RA),0-8 Center,202053.0,,,,,,,,,,1.0,0.0,Barnes,1630567.0,,,,,,
141,PT02M13.00S,2025-12-07T21:04:02.1Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,19,29,2025-12-07T21:04:02Z,1390000,False,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,,,,,,,,,,,,,1.0,,,
142,PT02M13.00S,2025-12-07T21:04:16.7Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,20,29,2025-12-07T21:04:16Z,1400000,False,,,0,,S. Barnes Free Throw 2 of 2 (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,,,,,,,,,,,,,2.0,,,
143,PT01M56.00S,2025-12-07T21:04:40.0Z,1,REGULAR,2pt,Jump Shot,[],1628401,11.383048620236531,30.88235294117647,1610612738,20,31,2025-12-07T21:04:45Z,1410000,False,96.0,55.0,1,left,D. White 11' driving floating bank Jump Shot (13 PTS) (A. Simons 1 AST),"[1628401, 1629014]",1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,Mid-Range,8-16 Right,,,11.0,Made,,,,,,,,,,,,,13.0,A. Simons,1629014.0,1.0
145,PT01M56.00S,2025-12-07T21:04:43.3Z,1,REGULAR,foul,personal,['1freethrow'],1641711,,,1610612738,20,31,2025-12-07T21:04:53Z,1430000,False,,,0,,G. Dick shooting personal FOUL (1 PF) (White 1 FT),"[1641711, 1628401]",1610612761.0,TOR,shooting,,,Dick,G. Dick,,,,,Mid-Range,8-16 Right,1629177.0,,,,,,,,,,1.0,0.0,White,1628401.0,,,,,,
147,PT01M56.00S,2025-12-07T21:05:05.7Z,1,REGULAR,freethrow,1 of 1,[],1628401,,,1610612738,20,32,2025-12-07T21:05:05Z,1450000,False,,,0,,D. White Free Throw 1 of 1 (14 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,Made,,,,,,,,,,,,,14.0,,,
148,PT01M43.00S,2025-12-07T21:05:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,93.9060446780552,50.73529411764706,1610612761,22,32,2025-12-07T21:05:26Z,1460000,False,4.0,5.0,1,right,O. Agbaji reverse Layup (4 PTS) (S. Barnes 1 AST),"[1630534, 1630567]",1610612761.0,TOR,reverse,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,0.61,Made,,,,,,,,,,,,,4.0,S. Barnes,1630567.0,1.0
150,PT01M24.00S,2025-12-07T21:05:37.8Z,1,REGULAR,3pt,Jump Shot,[],1630573,27.808804204993432,5.637254901960785,1610612738,22,32,2025-12-07T21:05:43Z,1480000,False,222.0,209.0,1,left,MISS S. Hauser 30' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,30.47,Missed,,,,,,,,,,,,,,,,
151,PT01M21.00S,2025-12-07T21:05:40.8Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,22,32,2025-12-07T21:05:43Z,1490000,False,,,0,,G. Dick REBOUND (Off:0 Def:2),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,,,,,150.0,2.0,2.0,0.0,,,,,,,,,,,,
152,PT01M13.00S,2025-12-07T21:05:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,93.51182654402102,51.9607843137255,1610612761,24,32,2025-12-07T21:05:55Z,1500000,False,10.0,8.0,1,right,S. Mamukelashvili cutting Layup (2 PTS) (S. Barnes 2 AST),"[1630572, 1630567]",1610612761.0,TOR,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,1.3,Made,,,,,,,,,,,,,2.0,S. Barnes,1630567.0,2.0
154,PT00M59.10S,2025-12-07T21:06:05.5Z,1,REGULAR,foul,offensive,[],1631169,,,1610612738,24,32,2025-12-07T21:06:19Z,1520000,False,,,0,,J. Minott off-the-ball offensive FOUL (1 PF),"[1631169, 1642347]",1610612738.0,BOS,off-the-ball,,,Minott,J. Minott,,,,,Above the Break 3,24+ Center,1629177.0,,,,,,,,,,1.0,0.0,Shead,1642347.0,,,,,,
156,PT00M59.10S,2025-12-07T21:06:05.5Z,1,REGULAR,turnover,offensive foul,[],1631169,,,1610612738,24,32,2025-12-07T21:06:05Z,1540000,False,,,0,,J. Minott offensive foul TURNOVER (1 TO),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Center,1629177.0,1.0,,,,,,,,,,,,,,,,,,
157,PT00M59.10S,2025-12-07T21:06:18.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612761,24,32,2025-12-07T21:06:24Z,1550000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M59.10S,2025-12-07T21:06:18.4Z,1,REGULAR,substitution,in,[],1641775,,,1610612761,24,32,2025-12-07T21:06:24Z,1560000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M39.80S,2025-12-07T21:06:53.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630572,93.9060446780552,49.754901960784316,1610612761,26,32,2025-12-07T21:06:56Z,1570000,False,-1.0,5.0,1,right,S. Mamukelashvili cutting DUNK (4 PTS) (G. Dick 1 AST),"[1630572, 1641711]",1610612761.0,TOR,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,0.49,Made,,,,,,,,,,,,,4.0,G. Dick,1641711.0,1.0
161,PT00M14.60S,2025-12-07T21:07:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,14.799605781865965,50.245098039215684,1610612738,26,34,2025-12-07T21:07:27Z,1590000,False,-1.0,87.0,1,left,A. Simons 8' driving floating Jump Shot (4 PTS),[1629014],1610612738.0,BOS,driving floating,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,8.66,Made,,,,,,,,,,,,,4.0,,,
162,PT00M02.40S,2025-12-07T21:07:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630572,84.83902759526939,49.26470588235294,1610612761,26,34,2025-12-07T21:10:25Z,1600000,False,-4.0,90.0,1,right,MISS S. Mamukelashvili 9' floating Shot - blocked,"[1630572, 1631169]",1610612761.0,TOR,floating,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),8-16 Center,,,9.01,Missed,,,,,Minott,1631169.0,,,,,,,,,,
163,PT00M02.40S,2025-12-07T21:07:36.6Z,1,REGULAR,block,,[],1631169,,,1610612761,26,34,2025-12-07T21:07:39Z,1610000,False,,,0,,J. Minott BLOCK (1 BLK),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
164,PT00M02.40S,2025-12-07T21:07:36.6Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612761,26,34,2025-12-07T21:07:42Z,1620000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:0),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),8-16 Center,,,,,162.0,1.0,0.0,1.0,,,,,,,,,,,,
165,PT00M00.10S,2025-12-07T21:07:41.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630572,84.83902759526939,49.50980392156863,1610612761,26,34,2025-12-07T21:11:04Z,1630000,False,-2.0,90.0,1,right,MISS S. Mamukelashvili 9' floating Shot,[1630572],1610612761.0,TOR,floating,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,Missed,,,,,,,,,,,,,,,,
166,PT00M00.10S,2025-12-07T21:07:41.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,26,34,2025-12-07T21:08:35Z,1640000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,165.0,,,,,,,,,,,,,,,
