actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
64,PT05M56.00S,2026-01-15T03:53:37.8Z,1,REGULAR,substitution,in,[],1642267,,,1610612746,18,9,2026-01-15T03:53:44Z,640000,False,,,0,,SUB in: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M49.00S,2026-01-15T03:54:00.4Z,1,REGULAR,3pt,Jump Shot,[],202695,69.20170827858082,28.186274509803923,1610612746,18,9,2026-01-15T03:54:04Z,650000,False,-109.0,237.0,1,right,MISS K. Leonard 26' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2026-01-15T03:54:02.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,18,9,2026-01-15T03:54:04Z,660000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,
67,PT05M33.00S,2026-01-15T03:54:17.7Z,1,REGULAR,3pt,Jump Shot,[],1642848,28.203022339027594,18.137254901960784,1610612764,18,12,2026-01-15T03:58:05Z,670000,False,159.0,213.0,1,left,T. Johnson 26' 3PT pullup (3 PTS) (A. Sarr 1 AST),"[1642848, 1642259]",1610612764.0,WAS,pullup,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,26.57,Made,,,,,,,,,,3.0,A. Sarr,1642259.0,1.0,,,,,
69,PT05M23.00S,2026-01-15T03:54:29.5Z,1,REGULAR,foul,personal,['2freethrow'],1642848,,,1610612746,18,12,2026-01-15T03:54:40Z,690000,False,,,0,,T. Johnson shooting personal FOUL (2 PF) (Leonard 2 FT),"[1642848, 202695]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,200834.0,2.0,0.0,Leonard,202695.0,,,,,,,,,
71,PT05M23.00S,2026-01-15T03:54:58.4Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,19,12,2026-01-15T03:54:58Z,710000,False,,,0,,K. Leonard Free Throw 1 of 2 (6 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
72,PT05M23.00S,2026-01-15T03:55:19.8Z,1,REGULAR,freethrow,2 of 2,[],202695,,,1610612746,20,12,2026-01-15T03:55:19Z,720000,False,,,0,,K. Leonard Free Throw 2 of 2 (7 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,,,,,,7.0,,,,,,,,
73,PT05M12.00S,2026-01-15T03:55:33.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641731,7.440867279894875,47.794117647058826,1610612764,20,14,2026-01-15T03:55:38Z,730000,False,11.0,17.0,1,left,B. Coulibaly DUNK (2 PTS) (K. George 2 AST),"[1641731, 1642273]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,,,,,,2.0,K. George,1642273.0,2.0,,,,,
75,PT05M12.00S,2026-01-15T03:55:38.3Z,1,REGULAR,foul,personal,['1freethrow'],1627739,,,1610612764,20,14,2026-01-15T03:55:53Z,750000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Coulibaly 1 FT),"[1627739, 1641731]",1610612746.0,LAC,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,200834.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,,
77,PT05M12.00S,2026-01-15T03:55:47.0Z,1,REGULAR,substitution,out,[],202695,,,1610612764,20,14,2026-01-15T03:55:51Z,770000,False,,,0,,SUB out: K. Leonard,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,
