actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
98,PT04M38.00S,2023-12-24T01:56:07.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627763,4.812746386333772,46.07843137254902,1610612757,15,19,2023-12-24T02:14:21Z,920000,False,20.0,-7.0,1,left,MISS M. Brogdon running Layup,[1627763],1610612757.0,POR,running,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
99,PT04M36.00S,2023-12-24T01:56:09.1Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612757,15,19,2023-12-24T02:14:21Z,930000,False,,,0,,M. Brogdon REBOUND (Off:1 Def:0),[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,,,,,,,98.0,1.0,0.0,1.0,,,,,,,,,,
100,PT04M35.00S,2023-12-24T01:56:11.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627763,5.590000152587891,50.0,1610612757,15,21,2023-12-24T02:15:13Z,940000,False,0.0,0.0,1,left,M. Brogdon tip Layup (7 PTS),[1627763],1610612757.0,POR,tip,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,0.0,Made,7.0,,,,,,,,,,,,,,,,,
101,PT04M18.00S,2023-12-24T01:56:22.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203967,86.28449408672799,51.470588235294116,1610612744,15,21,2023-12-24T02:15:55Z,950000,False,7.0,76.0,1,right,MISS D. Saric 7' turnaround Hook,[203967],1610612744.0,GSW,turnaround,,,Saric,D. Saric,,,,,In The Paint (Non-RA),0-8 Center,7.68,Missed,,,,,,,,,,,,,,,,,,
102,PT04M17.00S,2023-12-24T01:56:23.8Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,15,21,2023-12-24T02:16:19Z,960000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:0),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101.0,1.0,0.0,1.0,,,,,,,,,,
217,PT04M16.00S,2023-12-24T01:56:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631218,93.29829172141919,54.87898284313725,1610612744,15,21,2023-12-24T02:17:19Z,965000,False,24.0,10.0,1,right,MISS T. Jackson-Davis tip Layup,[1631218],1610612744.0,GSW,tip,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,2.66,Missed,,,,,,,,,,,,,,,,,,
218,PT04M15.00S,2023-12-24T01:56:30.4Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,15,21,2023-12-24T02:17:19Z,967500,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,,217.0,1.0,1.0,0.0,,,,,,,,,,
103,PT04M13.00S,2023-12-24T01:56:36.0Z,1,REGULAR,foul,personal,['2freethrow'],203967,,,1610612757,15,21,2023-12-24T01:56:48Z,970000,False,,,0,,D. Saric shooting personal FOUL (1 PF) (Simons 2 FT),"[203967, 1629014]",1610612744.0,GSW,shooting,,,Saric,D. Saric,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201639.0,1.0,0.0,,,,Simons,1629014.0,,
105,PT04M13.00S,2023-12-24T01:56:59.2Z,1,REGULAR,freethrow,1 of 2,[],1629014,,,1610612757,15,22,2023-12-24T01:56:59Z,990000,False,,,0,,A. Simons Free Throw 1 of 2 (7 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
106,PT04M13.00S,2023-12-24T01:57:01.1Z,1,REGULAR,substitution,out,[],1641739,,,1610612757,15,22,2023-12-24T01:57:07Z,1000000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M13.00S,2023-12-24T01:57:01.1Z,1,REGULAR,substitution,in,[],1629680,,,1610612757,15,22,2023-12-24T01:57:07Z,1010000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M13.00S,2023-12-24T01:57:23.9Z,1,REGULAR,freethrow,2 of 2,[],1629014,,,1610612757,15,23,2023-12-24T01:57:23Z,1020000,False,,,0,,A. Simons Free Throw 2 of 2 (8 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
111,PT03M59.00S,2023-12-24T01:57:40.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631218,92.9862023653088,50.0,1610612744,17,23,2023-12-24T01:57:49Z,1030000,False,0.0,13.0,1,right,T. Jackson-Davis cutting DUNK (2 PTS) (C. Paul 1 AST),"[1631218, 101108]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
113,PT03M42.00S,2023-12-24T01:57:57.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,5.601182654402102,48.529411764705884,1610612757,17,25,2023-12-24T01:58:02Z,1050000,False,7.0,0.0,1,left,D. Ayton cutting DUNK (4 PTS) (A. Simons 1 AST),"[1629028, 1629014]",1610612757.0,POR,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.74,Made,4.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
115,PT03M35.00S,2023-12-24T01:58:03.9Z,1,REGULAR,turnover,lost ball,[],1630541,,,1610612744,17,25,2023-12-24T02:21:46Z,1070000,False,,,0,,M. Moody lost ball TURNOVER (1 TO),"[1630541, 1627763]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Brogdon,1627763.0,,,,
116,PT03M35.00S,2023-12-24T01:58:03.9Z,1,REGULAR,steal,,[],1627763,,,1610612757,17,25,2023-12-24T02:21:46Z,1080000,False,,,0,,M. Brogdon STEAL (2 STL),[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
117,PT03M29.00S,2023-12-24T01:58:09.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629680,3.235873850197109,95.09803921568627,1610612757,17,25,2023-12-24T02:22:00Z,1090000,False,-225.0,-22.0,1,left,MISS M. Thybulle running 3PT,[1629680],1610612757.0,POR,running,,,Thybulle,M. Thybulle,,,,,Left Corner 3,24+ Left,22.66,Missed,,,,,,,,,,,,,,,,,,
118,PT03M24.00S,2023-12-24T01:58:14.8Z,1,REGULAR,rebound,defensive,[],101108,,,1610612744,17,25,2023-12-24T02:18:31Z,1100000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,Left Corner 3,24+ Left,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,
119,PT03M22.00S,2023-12-24T01:58:17.2Z,1,REGULAR,turnover,bad pass,[],203967,,,1610612744,17,25,2023-12-24T01:58:21Z,1110000,False,,,0,,D. Saric bad pass TURNOVER (1 TO),"[203967, 1627763]",1610612744.0,GSW,,,,Saric,D. Saric,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,1.0,Brogdon,1627763.0,,,,
120,PT03M22.00S,2023-12-24T01:58:17.2Z,1,REGULAR,steal,,[],1627763,,,1610612757,17,25,2023-12-24T01:58:20Z,1120000,False,,,0,,M. Brogdon STEAL (3 STL),[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
121,PT03M17.00S,2023-12-24T01:58:22.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629014,23.603810775295663,87.5,1610612757,17,25,2023-12-24T02:22:46Z,1130000,False,-188.0,169.0,1,left,MISS A. Simons 25' running 3PT,[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.27,Missed,,,,,,,,,,,,,,,,,,
122,PT03M12.00S,2023-12-24T01:58:27.3Z,1,REGULAR,rebound,defensive,[],203967,,,1610612744,17,25,2023-12-24T01:58:29Z,1140000,False,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Above the Break 3,24+ Left Center,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,
123,PT02M53.00S,2023-12-24T01:58:45.9Z,1,REGULAR,2pt,Jump Shot,[],101108,91.27792378449409,84.55882352941177,1610612744,19,25,2023-12-24T01:58:52Z,1150000,False,173.0,29.0,1,right,C. Paul 17' turnaround Jump Shot (2 PTS),[101108],1610612744.0,GSW,turnaround,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right,17.53,Made,2.0,,,,,,,,,,,,,,,,,
124,PT02M38.00S,2023-12-24T01:59:00.9Z,1,REGULAR,3pt,Jump Shot,[],1629680,7.30946123521682,2.941176470588235,1610612757,19,28,2023-12-24T01:59:10Z,1160000,False,235.0,16.0,1,left,M. Thybulle 3PT  (3 PTS) (M. Brogdon 4 AST),"[1629680, 1627763]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,23.59,Made,3.0,M. Brogdon,1627763.0,4.0,,,,,,,,,,,,,,
128,PT02M19.00S,2023-12-24T01:59:19.4Z,1,REGULAR,turnover,bad pass,[],1631218,,,1610612744,19,28,2023-12-24T01:59:26Z,1180000,False,,,0,,T. Jackson-Davis bad pass TURNOVER (2 TO),"[1631218, 1629680]",1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,2.0,Thybulle,1629680.0,,,,
129,PT02M19.00S,2023-12-24T01:59:19.4Z,1,REGULAR,steal,,[],1629680,,,1610612757,19,28,2023-12-24T01:59:22Z,1190000,False,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
130,PT02M07.00S,2023-12-24T01:59:32.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,12.697109067017081,48.77450980392157,1610612757,19,28,2023-12-24T02:24:17Z,1200000,False,6.0,67.0,1,left,MISS D. Ayton 6' turnaround Hook,[1629028],1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,,,,,,,,,,,,,,,,,,
131,PT02M03.00S,2023-12-24T01:59:36.3Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,19,28,2023-12-24T01:59:40Z,1210000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,
132,PT01M57.00S,2023-12-24T01:59:42.1Z,1,REGULAR,3pt,Jump Shot,[],201939,74.72076215505913,7.352941176470589,1610612744,19,28,2023-12-24T02:24:27Z,1220000,False,-213.0,185.0,1,right,MISS S. Curry 28' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,28.23,Missed,,,,,,,,,,,,,,,,,,
133,PT01M53.00S,2023-12-24T01:59:46.1Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612757,19,28,2023-12-24T01:59:48Z,1230000,False,,,0,,M. Brogdon REBOUND (Off:1 Def:1),[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,,,,,,,132.0,2.0,1.0,1.0,,,,,,,,,,
134,PT01M52.00S,2023-12-24T01:59:48.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630703,5.601182654402102,48.77450980392157,1610612757,19,30,2023-12-24T02:00:02Z,1240000,False,6.0,0.0,1,left,S. Henderson running DUNK (4 PTS) (M. Brogdon 5 AST),"[1630703, 1627763]",1610612757.0,POR,running,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,0.61,Made,4.0,M. Brogdon,1627763.0,5.0,,,,,,,,,,,,,,
269,PT01M52.00S,2023-12-24T02:00:43.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,19,30,2023-12-24T02:25:01Z,1255000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,out,[],201939,,,1610612744,19,30,2023-12-24T02:03:15Z,1260000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,out,[],1629014,,,1610612744,19,30,2023-12-24T02:03:15Z,1270000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,out,[],1629028,,,1610612744,19,30,2023-12-24T02:03:15Z,1280000,False,,,0,,SUB out: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,out,[],1627763,,,1610612744,19,30,2023-12-24T02:03:15Z,1290000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,in,[],1641764,,,1610612744,19,30,2023-12-24T02:03:15Z,1300000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,in,[],203924,,,1610612744,19,30,2023-12-24T02:03:15Z,1310000,False,,,0,,SUB in: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,in,[],1641871,,,1610612744,19,30,2023-12-24T02:03:15Z,1320000,False,,,0,,SUB in: D. Reath,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M52.00S,2023-12-24T02:01:38.8Z,1,REGULAR,substitution,in,[],1631133,,,1610612744,19,30,2023-12-24T02:03:15Z,1330000,False,,,0,,SUB in: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M37.00S,2023-12-24T02:03:22.0Z,1,REGULAR,3pt,Jump Shot,[],1641764,73.66951379763469,14.950980392156863,1610612744,19,30,2023-12-24T02:03:29Z,1340000,False,-175.0,195.0,1,right,MISS B. Podziemski 26' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,26.21,Missed,,,,,,,,,,,,,,,,,,
148,PT01M33.00S,2023-12-24T02:03:26.0Z,1,REGULAR,rebound,offensive,[],203967,,,1610612744,19,30,2023-12-24T02:03:29Z,1350000,False,,,0,,D. Saric REBOUND (Off:1 Def:1),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Above the Break 3,24+ Left Center,,,,,,,147.0,2.0,1.0,1.0,,,,,,,,,,
149,PT01M32.00S,2023-12-24T02:03:27.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],101108,93.24901445466492,4.6568627450980395,1610612744,19,30,2023-12-24T02:03:38Z,1360000,False,-227.0,11.0,1,right,MISS C. Paul 3PT,[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,Left Corner 3,24+ Left,22.7,Missed,,,,,,,,,,,,,,,,,,
150,PT01M28.00S,2023-12-24T02:03:31.5Z,1,REGULAR,rebound,offensive,[],1641764,,,1610612744,19,30,2023-12-24T02:03:38Z,1370000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,,,,,,,149.0,2.0,1.0,1.0,,,,,,,,,,
151,PT01M23.00S,2023-12-24T02:03:37.7Z,1,REGULAR,foul,personal,['2freethrow'],1641871,,,1610612744,19,30,2023-12-24T02:29:10Z,1380000,False,,,0,,D. Reath shooting personal FOUL (1 PF) (Saric 2 FT),"[1641871, 203967]",1610612757.0,POR,shooting,,,Reath,D. Reath,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201639.0,1.0,0.0,,,,Saric,203967.0,,
153,PT01M23.00S,2023-12-24T02:04:12.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203967,,,1610612744,20,30,2023-12-24T02:04:12Z,1400000,False,,,0,,D. Saric Free Throw 1 of 2 (1 PTS),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
154,PT01M23.00S,2023-12-24T02:04:25.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203967,,,1610612744,21,30,2023-12-24T02:04:25Z,1410000,False,,,0,,D. Saric Free Throw 2 of 2 (2 PTS),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
155,PT01M10.00S,2023-12-24T02:04:42.6Z,1,REGULAR,3pt,Jump Shot,[],1631133,4.02431011826544,94.85294117647058,1610612757,21,30,2023-12-24T02:05:12Z,1420000,False,-224.0,-15.0,1,left,MISS J. Walker 3PT,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,Left Corner 3,24+ Left,22.48,Missed,,,,,,,,,,,,,,,,,,
156,PT01M07.00S,2023-12-24T02:04:46.3Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612757,21,30,2023-12-24T02:04:46Z,1430000,False,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Left Corner 3,24+ Left,,,,,,,155.0,1.0,0.0,1.0,,,,,,,,,,
157,PT01M00.00S,2023-12-24T02:04:53.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630703,15.850854139290407,45.09803921568628,1610612757,21,30,2023-12-24T02:29:48Z,1440000,False,25.0,96.0,1,left,MISS S. Henderson 9' fadeaway Shot,[1630703],1610612757.0,POR,fadeaway,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Center,9.96,Missed,,,,,,,,,,,,,,,,,,
158,PT00M58.10S,2023-12-24T02:04:55.1Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,21,30,2023-12-24T02:30:14Z,1450000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,157.0,2.0,1.0,1.0,,,,,,,,,,
159,PT00M47.60S,2023-12-24T02:05:06.4Z,1,REGULAR,turnover,lost ball,[],1630541,,,1610612744,21,30,2023-12-24T02:05:19Z,1460000,False,,,0,,M. Moody lost ball TURNOVER (2 TO),"[1630541, 1630703]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,2.0,Henderson,1630703.0,,,,
160,PT00M47.60S,2023-12-24T02:05:06.4Z,1,REGULAR,steal,,[],1630703,,,1610612757,21,30,2023-12-24T02:05:08Z,1470000,False,,,0,,S. Henderson STEAL (1 STL),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
161,PT00M37.00S,2023-12-24T02:05:17.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641871,28.465834428383708,15.441176470588236,1610612757,21,30,2023-12-24T02:05:26Z,1480000,False,173.0,215.0,1,left,MISS D. Reath 27' 3PT,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Above the Break 3,24+ Right Center,27.59,Missed,,,,,,,,,,,,,,,,,,
162,PT00M32.10S,2023-12-24T02:05:22.0Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,21,30,2023-12-24T02:05:26Z,1490000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,
163,PT00M22.30S,2023-12-24T02:05:31.7Z,1,REGULAR,3pt,Jump Shot,[],1630541,68.80749014454665,67.40196078431373,1610612744,21,30,2023-12-24T02:05:37Z,1500000,False,87.0,241.0,1,right,MISS M. Moody 25' step back 3PT,[1630541],1610612744.0,GSW,step back,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
164,PT00M19.50S,2023-12-24T02:05:34.5Z,1,REGULAR,rebound,offensive,[],203967,,,1610612744,21,30,2023-12-24T02:05:37Z,1510000,False,,,0,,D. Saric REBOUND (Off:2 Def:1),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Above the Break 3,24+ Right Center,,,,,,,163.0,3.0,1.0,2.0,,,,,,,,,,
166,PT00M06.70S,2023-12-24T02:05:48.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203967,89.43823915900131,53.67647058823529,1610612744,23,30,2023-12-24T02:06:10Z,1520000,False,18.0,47.0,1,right,D. Saric turnaround Jump Shot (4 PTS) (C. Paul 2 AST),"[203967, 101108]",1610612744.0,GSW,turnaround,,,Saric,D. Saric,,,,,In The Paint (Non-RA),0-8 Center,5.03,Made,4.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
168,PT00M02.20S,2023-12-24T02:05:57.9Z,1,REGULAR,foul,personal,[],1641764,,,1610612757,23,30,2023-12-24T02:06:04Z,1540000,False,,,0,,B. Podziemski personal FOUL (1 PF),"[1641764, 1630703]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,201639.0,1.0,0.0,,,,Henderson,1630703.0,,
170,PT00M00.70S,2023-12-24T02:06:25.1Z,1,REGULAR,2pt,Jump Shot,[],203924,8.09789750328515,20.098039215686274,1610612757,23,30,2023-12-24T02:31:55Z,1560000,False,150.0,24.0,1,left,MISS J. Grant 15' turnaround fadeaway Shot,[203924],1610612757.0,POR,turnaround fadeaway,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,15.14,Missed,,,,,,,,,,,,,,,,,,
171,PT00M00.10S,2023-12-24T02:06:25.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,23,30,2023-12-24T02:08:09Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,170.0,,,,,,,,,,,,,
172,PT00M00.00S,2023-12-24T02:06:39.4Z,1,REGULAR,period,end,[],0,,,1610612757,23,30,2023-12-24T02:06:39Z,1580000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2023-12-24T02:08:49.4Z,2,REGULAR,substitution,out,['startperiod'],1630541,,,1610612757,23,30,2023-12-24T02:09:20Z,1590000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2023-12-24T02:08:49.4Z,2,REGULAR,substitution,out,['startperiod'],1631218,,,1610612757,23,30,2023-12-24T02:09:20Z,1600000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2023-12-24T02:08:49.4Z,2,REGULAR,substitution,in,['startperiod'],1630228,,,1610612757,23,30,2023-12-24T02:09:20Z,1610000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2023-12-24T02:08:49.4Z,2,REGULAR,substitution,in,['startperiod'],202691,,,1610612757,23,30,2023-12-24T02:09:20Z,1620000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2023-12-24T02:09:11.3Z,2,REGULAR,period,start,[],0,,,1610612744,23,30,2023-12-24T02:09:20Z,1630000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT11M44.00S,2023-12-24T02:09:26.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,88.25558475689881,46.07843137254902,1610612744,23,30,2023-12-24T02:32:24Z,1640000,False,-20.0,58.0,1,right,MISS J. Kuminga 6' driving floating Shot,[1630228],1610612744.0,GSW,driving floating,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,,,,,,,,,,
179,PT11M41.00S,2023-12-24T02:09:29.1Z,2,REGULAR,rebound,defensive,[],1631133,,,1610612757,23,30,2023-12-24T02:09:33Z,1650000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,
180,PT11M23.00S,2023-12-24T02:09:47.2Z,2,REGULAR,turnover,lost ball,[],203924,,,1610612757,23,30,2023-12-24T02:09:52Z,1660000,False,,,0,,J. Grant lost ball TURNOVER (1 TO),"[203924, 101108]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,Paul,101108.0,,,,
181,PT11M23.00S,2023-12-24T02:09:47.2Z,2,REGULAR,steal,,[],101108,,,1610612744,23,30,2023-12-24T02:09:49Z,1670000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
