actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
93,PT04M54.00S,2022-10-29T22:27:28.5Z,1,REGULAR,freethrow,1 of 2,[],2617,,,1610612748,19,11,2022-10-29T22:27:51Z,910000,,,0,,U. Haslem Free Throw 1 of 2 (1 PTS),[2617],1610612748.0,MIA,,,,Haslem,U. Haslem,,,,,,,,Made,,,1.0,,,,,,,,,,,,,,,
94,PT04M54.00S,2022-10-29T22:27:30.3Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,19,11,2022-10-29T22:27:36Z,920000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M54.00S,2022-10-29T22:27:30.3Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,19,11,2022-10-29T22:27:36Z,930000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M54.00S,2022-10-29T22:27:28.5Z,1,REGULAR,freethrow,2 of 2,[],2617,,,1610612748,19,11,2022-10-29T22:27:51Z,940000,,,0,,MISS U. Haslem Free Throw 2 of 2,[2617],1610612748.0,MIA,,,,Haslem,U. Haslem,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
97,PT04M51.00S,2022-10-29T22:27:31.5Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,19,11,2022-10-29T22:27:51Z,950000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,96.0,,,,,,1.0,1.0,0.0,,,,,,,,,
98,PT04M41.00S,2022-10-29T22:28:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,7.30946123521682,47.30392156862745,1610612758,21,11,2022-10-29T22:28:09Z,960000,13.0,16.0,1,left,D. Mitchell driving Layup (2 PTS),[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.11,Made,,,2.0,,,,,,,,,,,,,,,
99,PT04M41.00S,2022-10-29T22:28:05.8Z,1,REGULAR,foul,personal,['1freethrow'],1629216,,,1610612758,21,11,2022-10-29T22:28:22Z,970000,,,0,,G. Vincent shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1629216, 1630558]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,,,,,,1.0,0.0,Mitchell,1630558.0,,,
101,PT04M41.00S,2022-10-29T22:28:29.3Z,1,REGULAR,freethrow,1 of 1,[],1630558,,,1610612758,21,11,2022-10-29T22:28:37Z,990000,,,0,,MISS D. Mitchell Free Throw 1 of 1,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
102,PT04M38.00S,2022-10-29T22:28:32.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,21,11,2022-10-29T22:28:37Z,1000000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,101.0,,,,,,2.0,2.0,0.0,,,,,,,,,
103,PT04M31.00S,2022-10-29T22:28:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,91.5407358738502,53.18627450980392,1610612748,21,11,2022-10-29T22:28:46Z,1010000,16.0,27.0,1,right,MISS J. Butler driving Layup - blocked,"[202710, 1631099]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,Murray,1631099.0,,,,,,,
104,PT04M31.00S,2022-10-29T22:28:39.0Z,1,REGULAR,block,,[],1631099,,,1610612748,21,11,2022-10-29T22:28:42Z,1020000,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
105,PT04M31.00S,2022-10-29T22:28:39.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,21,11,2022-10-29T22:28:46Z,1030000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,103.0,,,,,,,,,,,,,,,,,
107,PT04M28.00S,2022-10-29T22:28:54.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629216,92.9862023653088,96.32352941176471,1610612748,21,14,2022-10-29T22:28:59Z,1050000,232.0,13.0,1,right,G. Vincent 3PT  (3 PTS) (K. Lowry 1 AST),"[1629216, 200768]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,23.2,Made,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,
109,PT04M09.00S,2022-10-29T22:29:13.2Z,1,REGULAR,3pt,Jump Shot,[],1628989,7.046649145860711,95.09803921568627,1610612758,21,14,2022-10-29T22:29:18Z,1070000,-225.0,14.0,1,left,MISS K. Huerter 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,22.59,Missed,,,,,,,,,,,,,,,,,,
110,PT04M06.00S,2022-10-29T22:29:16.2Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,21,14,2022-10-29T22:29:18Z,1080000,,,0,,D. Sabonis REBOUND (Off:2 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,109.0,,,,,,3.0,1.0,2.0,,,,,,,,,
111,PT04M05.00S,2022-10-29T22:29:18.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630558,32.013797634691194,51.9607843137255,1610612758,21,14,2022-10-29T22:29:25Z,1090000,-10.0,248.0,1,left,MISS D. Mitchell 24' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,24.86,Missed,,,,,,,,,,,,,,,,,,
112,PT04M03.00S,2022-10-29T22:29:20.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,21,14,2022-10-29T22:29:25Z,1100000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,111.0,,,,,,,,,,,,,,,,,
114,PT03M50.00S,2022-10-29T22:29:38.6Z,1,REGULAR,2pt,Jump Shot,[],2617,93.24901445466492,76.7156862745098,1610612748,21,16,2022-10-29T22:29:45Z,1120000,134.0,11.0,1,right,U. Haslem 13' turnaround Jump Shot (3 PTS) (J. Butler 2 AST),"[2617, 202710]",1610612748.0,MIA,turnaround,,,Haslem,U. Haslem,,,,,Mid-Range,8-16 Right,13.41,Made,,,3.0,J. Butler,202710.0,2.0,,,,,,,,,,,,
116,PT03M34.00S,2022-10-29T22:29:53.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,8.886333771353483,2.450980392156863,1610612758,21,16,2022-10-29T22:29:57Z,1140000,238.0,31.0,1,left,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,
117,PT03M32.00S,2022-10-29T22:29:55.5Z,1,REGULAR,rebound,defensive,[],2617,,,1610612748,21,16,2022-10-29T22:29:57Z,1150000,,,0,,U. Haslem REBOUND (Off:0 Def:1),[2617],1610612748.0,MIA,,,,Haslem,U. Haslem,,,,,Right Corner 3,24+ Right,,,116.0,,,,,,1.0,1.0,0.0,,,,,,,,,
118,PT03M28.00S,2022-10-29T22:30:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,67.62483574244416,78.92156862745098,1610612748,21,16,2022-10-29T22:36:35Z,1160000,145.0,252.0,1,right,MISS K. Lowry 29' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,29.04,Missed,,,,,,,,,,,,,,,,,,
119,PT03M25.00S,2022-10-29T22:30:03.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,21,16,2022-10-29T22:30:06Z,1170000,,,0,,D. Sabonis REBOUND (Off:2 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,118.0,,,,,,4.0,2.0,2.0,,,,,,,,,
120,PT03M11.00S,2022-10-29T22:30:17.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,6.652431011826544,50.0,1610612758,23,16,2022-10-29T22:30:23Z,1180000,0.0,10.0,1,left,D. Sabonis DUNK (6 PTS) (K. Huerter 2 AST),"[1627734, 1628989]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.0,Made,,,6.0,K. Huerter,1628989.0,2.0,,,,,,,,,,,,
122,PT03M04.00S,2022-10-29T22:30:27.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,23,16,2022-10-29T22:30:27Z,1200000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,out,[],1628989,,,1610612748,23,16,2022-10-29T22:33:16Z,1210000,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,out,[],1627734,,,1610612748,23,16,2022-10-29T22:33:16Z,1220000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,out,[],1630558,,,1610612748,23,16,2022-10-29T22:33:16Z,1230000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,out,[],200768,,,1610612748,23,16,2022-10-29T22:33:16Z,1240000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,in,[],1628370,,,1610612748,23,16,2022-10-29T22:33:16Z,1250000,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,in,[],1628368,,,1610612748,23,16,2022-10-29T22:33:16Z,1260000,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,in,[],1626158,,,1610612748,23,16,2022-10-29T22:33:16Z,1270000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M04.00S,2022-10-29T22:32:28.1Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,23,16,2022-10-29T22:33:16Z,1280000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M57.00S,2022-10-29T22:33:34.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628370,,,1610612748,23,16,2022-10-29T22:33:46Z,1290000,,,0,,M. Monk personal FOUL (1 PF) (Robinson 2 FT),"[1628370, 1629130]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,8-16 Right,,,,2882.0,,,,,,,,,,1.0,0.0,Robinson,1629130.0,,,
133,PT02M57.00S,2022-10-29T22:33:53.8Z,1,REGULAR,freethrow,1 of 2,[],1629130,,,1610612748,23,17,2022-10-29T22:33:53Z,1310000,,,0,,D. Robinson Free Throw 1 of 2 (1 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,Made,,,1.0,,,,,,,,,,,,,,,
134,PT02M57.00S,2022-10-29T22:34:10.4Z,1,REGULAR,freethrow,2 of 2,[],1629130,,,1610612748,23,18,2022-10-29T22:34:10Z,1320000,,,0,,D. Robinson Free Throw 2 of 2 (2 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,Made,,,2.0,,,,,,,,,,,,,,,
135,PT02M44.00S,2022-10-29T22:34:24.5Z,1,REGULAR,turnover,bad pass,[],1631099,,,1610612758,23,18,2022-10-29T22:34:29Z,1330000,,,0,,K. Murray bad pass TURNOVER (1 TO),"[1631099, 1629622]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Strus,1629622.0
136,PT02M44.00S,2022-10-29T22:34:24.5Z,1,REGULAR,steal,,[],1629622,,,1610612748,23,18,2022-10-29T22:34:27Z,1340000,,,0,,M. Strus STEAL (1 STL),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
137,PT02M38.00S,2022-10-29T22:34:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,92.85479632063075,53.18627450980392,1610612748,23,18,2022-10-29T22:34:36Z,1350000,16.0,15.0,1,right,MISS J. Butler running Layup,[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
138,PT02M35.00S,2022-10-29T22:34:32.4Z,1,REGULAR,rebound,offensive,[],1629130,,,1610612748,23,18,2022-10-29T22:34:32Z,1360000,,,0,,D. Robinson REBOUND (Off:1 Def:0),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,137.0,,,,,,1.0,0.0,1.0,,,,,,,,,
139,PT02M35.00S,2022-10-29T22:34:32.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629130,94.40999984741211,50.0,1610612748,23,18,2022-10-29T22:34:45Z,1370000,0.0,0.0,1,right,MISS D. Robinson tip Layup,[1629130],1610612748.0,MIA,tip,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
140,PT02M34.00S,2022-10-29T22:34:33.4Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,23,18,2022-10-29T22:34:45Z,1380000,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,139.0,,,,,,2.0,2.0,0.0,,,,,,,,,
141,PT02M33.00S,2022-10-29T22:34:39.8Z,1,REGULAR,foul,offensive,['inpenalty'],1628370,,,1610612758,23,18,2022-10-29T22:34:50Z,1390000,,,0,,M. Monk charge offensive FOUL (2 PF),"[1628370, 2617]",1610612758.0,SAC,charge,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,2882.0,,,,,,,,,,2.0,0.0,Haslem,2617.0,,,
143,PT02M33.00S,2022-10-29T22:34:39.8Z,1,REGULAR,turnover,offensive foul,[],1628370,,,1610612758,23,18,2022-10-29T22:34:39Z,1410000,,,0,,M. Monk offensive foul TURNOVER (1 TO),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,2882.0,,,,,,,,,,,,,,1.0,,
144,PT02M33.00S,2022-10-29T22:34:49.2Z,1,REGULAR,substitution,out,[],1631099,,,1610612748,23,18,2022-10-29T22:35:00Z,1420000,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M33.00S,2022-10-29T22:34:49.2Z,1,REGULAR,substitution,in,[],203084,,,1610612748,23,18,2022-10-29T22:35:00Z,1430000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M20.00S,2022-10-29T22:35:11.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,76.03482260183968,10.294117647058822,1610612748,23,18,2022-10-29T22:35:17Z,1440000,-199.0,173.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
147,PT02M15.00S,2022-10-29T22:35:16.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,23,18,2022-10-29T22:35:17Z,1450000,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,146.0,,,,,,2.0,1.0,1.0,,,,,,,,,
148,PT02M12.00S,2022-10-29T22:35:20.5Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612758,23,18,2022-10-29T22:35:34Z,1460000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Fox 2 FT),"[1629130, 1628368]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,1628482.0,,,,,,,,,,1.0,0.0,Fox,1628368.0,,,
150,PT02M12.00S,2022-10-29T22:35:43.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628368,,,1610612758,24,18,2022-10-29T22:35:43Z,1480000,,,0,,D. Fox Free Throw 1 of 2 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
151,PT02M12.00S,2022-10-29T22:35:56.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628368,,,1610612758,25,18,2022-10-29T22:35:57Z,1490000,,,0,,D. Fox Free Throw 2 of 2 (4 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,4.0,,,,,,,,,,,,,,,
152,PT01M52.00S,2022-10-29T22:36:19.2Z,1,REGULAR,2pt,Jump Shot,[],1629216,76.69185282522996,25.0,1610612748,25,18,2022-10-29T22:36:27Z,1500000,-125.0,167.0,1,right,MISS G. Vincent 20' step back Shot,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left Center,20.83,Missed,,,,,,,,,,,,,,,,,,
153,PT01M48.00S,2022-10-29T22:36:23.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,25,18,2022-10-29T22:36:27Z,1510000,,,0,,H. Barnes REBOUND (Off:1 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Left Center,,,152.0,,,,,,3.0,2.0,1.0,,,,,,,,,
154,PT01M42.00S,2022-10-29T22:36:38.2Z,1,REGULAR,turnover,backcourt,[],203084,,,1610612758,25,18,2022-10-29T22:37:00Z,1520000,,,0,,H. Barnes backcourt TURNOVER (1 TO),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,2882.0,,,,,,,,,,,,,,1.0,,
155,PT01M42.00S,2022-10-29T22:36:45.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612748,25,18,2022-10-29T22:37:05Z,1530000,,,0,,TEAM delay-of-game VIOLATION,[],1610612758.0,SAC,,,,,,,,,,,,,,,2882.0,,,,,,,,,,,,,,,,
156,PT01M31.00S,2022-10-29T22:37:08.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2617,93.51182654402102,82.59803921568627,1610612748,25,18,2022-10-29T22:37:15Z,1540000,163.0,8.0,1,right,MISS U. Haslem 16' Jump Shot,[2617],1610612748.0,MIA,,,,Haslem,U. Haslem,,,,,Mid-Range,16-24 Right,16.32,Missed,,,,,,,,,,,,,,,,,,
157,PT01M28.00S,2022-10-29T22:37:11.8Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,25,18,2022-10-29T22:37:11Z,1550000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right,,,156.0,,,,,,3.0,2.0,1.0,,,,,,,,,
158,PT01M24.00S,2022-10-29T22:37:15.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629622,68.01905387647832,36.76470588235294,1610612748,25,21,2022-10-29T22:37:22Z,1560000,-66.0,248.0,1,right,M. Strus 25' 3PT  (3 PTS) (J. Butler 3 AST),"[1629622, 202710]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,25.68,Made,,,3.0,J. Butler,202710.0,3.0,,,,,,,,,,,,
160,PT01M05.00S,2022-10-29T22:37:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,9.280551905387648,51.470588235294116,1610612758,25,21,2022-10-29T22:40:52Z,1580000,-7.0,35.0,1,left,MISS T. Lyles driving Layup,[1626168],1610612758.0,SAC,driving,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,,,,,,,,,,,,,,
161,PT01M03.00S,2022-10-29T22:37:36.4Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612758,25,21,2022-10-29T22:37:42Z,1590000,,,0,,T. Lyles REBOUND (Off:1 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,160.0,,,,,,3.0,2.0,1.0,,,,,,,,,
162,PT01M01.00S,2022-10-29T22:37:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626168,8.229303547963205,48.77450980392157,1610612758,27,21,2022-10-29T22:37:45Z,1600000,6.0,25.0,1,left,T. Lyles Layup (2 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,2.56,Made,,,2.0,,,,,,,,,,,,,,,
163,PT00M50.70S,2022-10-29T22:37:58.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628368,,,1610612748,27,21,2022-10-29T22:38:06Z,1610000,,,0,,D. Fox shooting personal FOUL (2 PF) (Butler 2 FT),"[1628368, 202710]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,,,,202007.0,,,,,,,,,,2.0,0.0,Butler,202710.0,,,
165,PT00M50.70S,2022-10-29T22:38:15.7Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,27,22,2022-10-29T22:38:15Z,1630000,,,0,,J. Butler Free Throw 1 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,2.0,,,,,,,,,,,,,,,
166,PT00M50.70S,2022-10-29T22:38:17.4Z,1,REGULAR,substitution,out,[],2617,,,1610612748,27,22,2022-10-29T22:38:32Z,1640000,,,0,,SUB out: U. Haslem,[2617],1610612748.0,MIA,,,,Haslem,U. Haslem,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M50.70S,2022-10-29T22:38:17.4Z,1,REGULAR,substitution,in,[],1631107,,,1610612748,27,22,2022-10-29T22:38:32Z,1650000,,,0,,SUB in: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M50.70S,2022-10-29T22:38:42.7Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,27,23,2022-10-29T22:38:42Z,1660000,,,0,,J. Butler Free Throw 2 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
169,PT00M33.50S,2022-10-29T22:39:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,6.652431011826544,50.49019607843137,1610612758,29,23,2022-10-29T22:39:07Z,1670000,-2.0,10.0,1,left,T. Lyles Layup (4 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,1.03,Made,,,4.0,,,,,,,,,,,,,,,
170,PT00M21.90S,2022-10-29T22:39:15.7Z,1,REGULAR,2pt,Jump Shot,[],202710,91.5407358738502,70.09803921568627,1610612748,29,23,2022-10-29T22:39:27Z,1680000,100.0,27.0,1,right,MISS J. Butler 10' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,10.41,Missed,,,,,,,,,,,,,,,,,,
171,PT00M17.90S,2022-10-29T22:39:19.7Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,29,23,2022-10-29T22:39:19Z,1690000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Right,,,170.0,,,,,,1.0,1.0,0.0,,,,,,,,,
172,PT00M02.50S,2022-10-29T22:39:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.995400788436268,48.77450980392157,1610612758,31,23,2022-10-29T22:39:44Z,1700000,6.0,4.0,1,left,D. Fox driving Layup (6 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,0.72,Made,,,6.0,,,,,,,,,,,,,,,
173,PT00M02.50S,2022-10-29T22:39:41.0Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629130,,,1610612758,31,23,2022-10-29T22:39:53Z,1710000,,,0,,D. Robinson shooting personal FOUL (2 PF) (Fox 1 FT),"[1629130, 1628368]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,,,,,,2.0,0.0,Fox,1628368.0,,,
175,PT00M02.50S,2022-10-29T22:39:55.4Z,1,REGULAR,substitution,out,[],1628370,,,1610612758,31,23,2022-10-29T22:40:08Z,1730000,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT00M02.50S,2022-10-29T22:39:55.4Z,1,REGULAR,substitution,out,[],1626168,,,1610612758,31,23,2022-10-29T22:40:08Z,1740000,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M02.50S,2022-10-29T22:39:55.4Z,1,REGULAR,substitution,out,[],202710,,,1610612758,31,23,2022-10-29T22:40:08Z,1750000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
