actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
86,PT05M04.00S,2021-11-07T00:53:45.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,20.97568988173456,88.97058823529412,1610612742,20,7,2021-11-07T00:53:50Z,860000,-195.0,145.0,1,left,D. Finney-Smith 24' 3PT pullup (6 PTS) (L. Doncic 4 AST),"[1627827, 1629029]",1610612742.0,DAL,pullup,,,Finney-Smith,D. Finney-Smith,,,,,24.27,Made,6.0,,,,,,,,,,L. Doncic,1629029.0,4.0,,,,,,
88,PT04M37.00S,2021-11-07T00:54:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,86.33377135348226,54.388786764705884,1610612738,20,9,2021-11-07T00:54:21Z,880000,22.0,76.0,1,right,D. Schroder 7' driving floating Jump Shot (4 PTS),[203471],1610612738.0,BOS,driving floating,,,Schroder,D. Schroder,,,,,7.91,Made,4.0,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2021-11-07T00:54:29.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,20,9,2021-11-07T00:54:29Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2021-11-07T00:54:29.9Z,1,REGULAR,substitution,out,[],203939,,,1610612742,20,9,2021-11-07T00:54:35Z,900000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M23.00S,2021-11-07T00:54:29.9Z,1,REGULAR,substitution,in,[],1626161,,,1610612742,20,9,2021-11-07T00:54:35Z,910000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M11.00S,2021-11-07T00:54:54.1Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,20,9,2021-11-07T00:54:57Z,920000,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1630174]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,2.0,Nesmith,1630174.0,
93,PT04M11.00S,2021-11-07T00:54:54.1Z,1,REGULAR,steal,,[],1630174,,,1610612738,20,9,2021-11-07T00:54:56Z,930000,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M03.00S,2021-11-07T00:55:02.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,73.80091984231275,15.441176470588236,1610612738,20,9,2021-11-07T00:55:08Z,940000,-173.0,194.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M59.00S,2021-11-07T00:55:06.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,20,9,2021-11-07T00:55:08Z,950000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,
96,PT03M49.00S,2021-11-07T00:55:16.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,32.53942181340342,51.225490196078425,1610612742,20,9,2021-11-07T00:55:22Z,960000,-6.0,253.0,1,left,MISS J. Brunson 25' 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
97,PT03M46.00S,2021-11-07T00:55:19.3Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,20,9,2021-11-07T00:55:22Z,970000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,96.0,3.0,2.0,1.0,,,,,,,,,
98,PT03M44.00S,2021-11-07T00:55:20.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203493,10.068988173455978,3.431372549019608,1610612742,23,9,2021-11-07T00:55:25Z,980000,233.0,42.0,1,left,R. Bullock 3PT  (3 PTS) (D. Finney-Smith 2 AST),"[203493, 1627827]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,23.66,Made,3.0,,,,,,,,,,D. Finney-Smith,1627827.0,2.0,,,,,,
100,PT03M27.00S,2021-11-07T00:55:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,90.3580814717477,40.931372549019606,1610612738,23,11,2021-11-07T00:55:46Z,1000000,-45.0,38.0,1,right,D. Schroder driving Layup (6 PTS),[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,5.92,Made,6.0,,,,,,,,,,,,,,,,,,
101,PT03M12.00S,2021-11-07T00:55:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,19.267411300919843,41.17647058823529,1610612742,23,11,2021-11-07T00:56:00Z,1010000,44.0,129.0,1,left,MISS L. Doncic 13' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,13.6,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M10.00S,2021-11-07T00:55:54.4Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612738,23,11,2021-11-07T00:56:00Z,1020000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,
103,PT03M06.00S,2021-11-07T00:56:01.0Z,1,REGULAR,foul,personal,[],1627827,,,1610612738,23,11,2021-11-07T00:56:10Z,1030000,,,0,,D. Finney-Smith personal FOUL (2 PF),"[1627827, 1626196]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,1198.0,2.0,0.0,Richardson,1626196.0,,,,,,,,,,,,,
105,PT03M06.00S,2021-11-07T00:56:13.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,23,11,2021-11-07T00:56:13Z,1050000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,out,[],1627827,,,1610612738,23,11,2021-11-07T00:58:58Z,1060000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,out,[],1629029,,,1610612738,23,11,2021-11-07T00:58:58Z,1070000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,23,11,2021-11-07T00:58:58Z,1080000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,out,[],203471,,,1610612738,23,11,2021-11-07T00:58:58Z,1090000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,in,[],1628425,,,1610612738,23,11,2021-11-07T00:58:58Z,1100000,,,0,,SUB in: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,in,[],1628373,,,1610612738,23,11,2021-11-07T00:58:58Z,1110000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,23,11,2021-11-07T00:58:58Z,1120000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M06.00S,2021-11-07T00:57:13.0Z,1,REGULAR,substitution,in,[],201143,,,1610612738,23,11,2021-11-07T00:58:58Z,1130000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M51.00S,2021-11-07T00:59:22.5Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612738,23,11,2021-11-07T00:59:27Z,1140000,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 1628425]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,1.0,Brown,1628425.0,
115,PT02M51.00S,2021-11-07T00:59:22.5Z,1,REGULAR,steal,,[],1628425,,,1610612742,23,11,2021-11-07T00:59:25Z,1150000,,,0,,S. Brown STEAL (1 STL),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M37.00S,2021-11-07T00:59:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203493,6.915243101182654,44.11764705882353,1610612742,25,11,2021-11-07T01:06:39Z,1160000,29.0,13.0,1,left,R. Bullock cutting Layup (5 PTS) (F. Ntilikina 1 AST),"[203493, 1628373]",1610612742.0,DAL,cutting,,,Bullock,R. Bullock,,,,,3.19,Made,5.0,,,,,,,,,,F. Ntilikina,1628373.0,1.0,,,,,,
118,PT02M23.00S,2021-11-07T00:59:52.1Z,1,REGULAR,turnover,out-of-bounds,[],1630174,,,1610612738,25,11,2021-11-07T00:59:59Z,1180000,,,0,,A. Nesmith bad pass out-of-bounds TURNOVER (1 TO),[1630174],1610612738.0,BOS,bad pass,,,Nesmith,A. Nesmith,,,,,,,,1198.0,,,,,,,,,,,,,,1.0,,,
119,PT02M05.00S,2021-11-07T01:00:14.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,32.013797634691194,39.46078431372549,1610612742,25,11,2021-11-07T01:00:18Z,1190000,53.0,248.0,1,left,MISS J. Brunson 25' pullup 3PT,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,25.39,Missed,,,,,,,,,,,,,,,,,,,
120,PT02M03.00S,2021-11-07T01:00:16.1Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,25,11,2021-11-07T01:00:18Z,1200000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,119.0,2.0,2.0,0.0,,,,,,,,,
121,PT01M57.00S,2021-11-07T01:00:22.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,79.84559789750328,8.57843137254902,1610612738,25,11,2021-11-07T01:00:35Z,1210000,-207.0,137.0,1,right,MISS P. Pritchard 24' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,,
122,PT01M53.00S,2021-11-07T01:00:32.5Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,25,11,2021-11-07T01:00:32Z,1220000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,121.0,1.0,0.0,1.0,,,,,,,,,
123,PT01M53.00S,2021-11-07T01:00:43.4Z,1,REGULAR,substitution,out,[],1626196,,,1610612738,25,11,2021-11-07T01:00:47Z,1230000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M53.00S,2021-11-07T01:00:43.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,25,11,2021-11-07T01:00:47Z,1240000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M51.00S,2021-11-07T01:00:54.4Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,25,11,2021-11-07T01:00:54Z,1250000,,,0,,Jump Ball G. Williams vs. S. Brown: Tip to J. Tatum,"[1628369, 1629684, 1628425]",1610612738.0,BOS,heldball,J. Tatum,1628369.0,Tatum,J. Tatum,Williams,1629684.0,Brown,1628425.0,,,,,,,,,,,,,,,,,,,,,
128,PT01M43.00S,2021-11-07T01:01:02.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201143,84.1819973718791,51.9607843137255,1610612738,25,13,2021-11-07T01:01:08Z,1280000,10.0,96.0,1,right,A. Horford 9' turnaround fadeaway Jump Shot (2 PTS),[201143],1610612738.0,BOS,turnaround fadeaway,,,Horford,A. Horford,,,,,9.67,Made,2.0,,,,,,,,,,,,,,,,,,
129,PT01M19.00S,2021-11-07T01:01:25.9Z,1,REGULAR,3pt,Jump Shot,[],1628425,8.886333771353483,4.166666666666666,1610612742,25,13,2021-11-07T01:01:52Z,1290000,229.0,31.0,1,left,MISS S. Brown 3PT,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,23.13,Missed,,,,,,,,,,,,,,,,,,,
130,PT01M17.00S,2021-11-07T01:01:27.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,25,13,2021-11-07T01:01:52Z,1300000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,129.0,2.0,1.0,1.0,,,,,,,,,
131,PT00M57.60S,2021-11-07T01:01:50.7Z,1,REGULAR,foul,personal,['2freethrow'],203493,,,1610612738,25,13,2021-11-07T01:01:56Z,1310000,,,0,,R. Bullock shooting personal FOUL (1 PF) (Tatum 2 FT),"[203493, 1628369]",1610612742.0,DAL,shooting,,,Bullock,R. Bullock,,,,,,,,202027.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,
133,PT00M57.60S,2021-11-07T01:02:19.9Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,25,14,2021-11-07T01:02:19Z,1330000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
134,PT00M57.60S,2021-11-07T01:02:20.8Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,25,14,2021-11-07T01:02:30Z,1340000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M57.60S,2021-11-07T01:02:20.8Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,25,14,2021-11-07T01:02:30Z,1350000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M57.60S,2021-11-07T01:02:39.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,25,15,2021-11-07T01:02:39Z,1360000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
137,PT00M44.70S,2021-11-07T01:02:54.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,20.76215505913272,66.93474264705883,1610612742,27,15,2021-11-07T01:03:01Z,1370000,-85.0,143.0,1,left,J. Brunson 16' pullup Jump Shot (2 PTS) (R. Bullock 1 AST),"[1628973, 203493]",1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,16.59,Made,2.0,,,,,,,,,,R. Bullock,203493.0,1.0,,,,,,
139,PT00M30.00S,2021-11-07T01:03:12.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,86.94152431011827,3.9215686274509802,1610612738,27,15,2021-11-07T01:03:17Z,1390000,-230.0,70.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,24.09,Missed,,,,,,,,,,,,,,,,,,,
140,PT00M27.30S,2021-11-07T01:03:15.2Z,1,REGULAR,rebound,defensive,[],1628373,,,1610612742,27,15,2021-11-07T01:03:17Z,1400000,,,0,,F. Ntilikina REBOUND (Off:0 Def:1),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,
141,PT00M07.50S,2021-11-07T01:03:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,8.229303547963205,35.294117647058826,1610612742,29,15,2021-11-07T01:03:39Z,1410000,74.0,25.0,1,left,J. Brunson 7' driving floating Jump Shot (4 PTS),[1628973],1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,7.76,Made,4.0,,,,,,,,,,,,,,,,,,
142,PT00M00.40S,2021-11-07T01:03:46.4Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,29,15,2021-11-07T01:03:51Z,1420000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,1628951.0,,,,,,,,,,,,,,1.0,,,
143,PT00M00.00S,2021-11-07T01:03:58.1Z,1,REGULAR,period,end,[],0,,,1610612742,29,15,2021-11-07T01:03:58Z,1430000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-11-07T01:04:32.7Z,2,REGULAR,substitution,out,['startperiod'],203493,,,1610612742,29,15,2021-11-07T01:06:36Z,1440000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-11-07T01:04:32.7Z,2,REGULAR,substitution,out,['startperiod'],1626161,,,1610612742,29,15,2021-11-07T01:06:36Z,1450000,,,0,,SUB out: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-11-07T01:04:32.7Z,2,REGULAR,substitution,out,['startperiod'],1630174,,,1610612742,29,15,2021-11-07T01:06:36Z,1460000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-11-07T01:04:32.7Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612742,29,15,2021-11-07T01:06:36Z,1470000,,,0,,SUB in: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-11-07T01:04:32.7Z,2,REGULAR,substitution,in,['startperiod'],203501,,,1610612742,29,15,2021-11-07T01:06:36Z,1480000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-11-07T01:04:32.7Z,2,REGULAR,substitution,in,['startperiod'],203935,,,1610612742,29,15,2021-11-07T01:06:36Z,1490000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-11-07T01:06:38.3Z,2,REGULAR,period,start,[],0,,,1610612738,29,15,2021-11-07T01:06:38Z,1500000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M41.00S,2021-11-07T01:06:57.2Z,2,REGULAR,2pt,Jump Shot,[],1630202,92.06636005256242,73.2843137254902,1610612738,29,17,2021-11-07T01:07:04Z,1510000,116.0,22.0,1,right,P. Pritchard 11' fadeaway Jump Shot (2 PTS) (A. Horford 1 AST),"[1630202, 201143]",1610612738.0,BOS,fadeaway,,,Pritchard,P. Pritchard,,,,,11.85,Made,2.0,,,,,,,,,,A. Horford,201143.0,1.0,,,,,,
153,PT11M26.00S,2021-11-07T01:07:11.4Z,2,REGULAR,2pt,Jump Shot,[],1628373,21.28777923784494,18.160232843137255,1610612742,31,17,2021-11-07T01:18:01Z,1530000,159.0,148.0,1,left,F. Ntilikina 21' Jump Shot (2 PTS) (T. Hardaway Jr. 1 AST),"[1628373, 203501]",1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,21.71,Made,2.0,,,,,,,,,,T. Hardaway Jr.,203501.0,1.0,,,,,,
210,PT11M26.00S,2021-11-07T01:07:25.0Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,31,17,2021-11-07T01:19:02Z,1545000,,,0,,,[],,,overturned,,,,,,,,,,,,1198.0,,,,,,,,,,,,,,,,,Changed to 2-pt FG
155,PT10M58.00S,2021-11-07T01:07:38.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,73.53810775295663,17.401960784313726,1610612738,31,17,2021-11-07T01:07:44Z,1550000,-163.0,196.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
156,PT10M55.00S,2021-11-07T01:07:41.6Z,2,REGULAR,rebound,defensive,[],1628425,,,1610612742,31,17,2021-11-07T01:07:41Z,1560000,,,0,,S. Brown REBOUND (Off:0 Def:1),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,
157,PT10M50.00S,2021-11-07T01:07:47.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203501,32.276609724047304,28.676470588235293,1610612742,31,17,2021-11-07T01:07:53Z,1570000,107.0,251.0,1,left,MISS T. Hardaway Jr. 27' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,,
158,PT10M46.00S,2021-11-07T01:07:51.0Z,2,REGULAR,rebound,offensive,[],204001,,,1610612742,31,17,2021-11-07T01:08:12Z,1580000,,,0,,K. Porzingis REBOUND (Off:2 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,157.0,4.0,2.0,2.0,,,,,,,,,
159,PT10M45.00S,2021-11-07T01:07:51.6Z,2,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",204001,5.590000152587891,50.0,1610612742,31,17,2021-11-07T01:07:56Z,1590000,0.0,0.0,1,left,MISS K. Porzingis tip Layup,[204001],1610612742.0,DAL,tip,,,Porzingis,K. Porzingis,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
160,PT10M45.00S,2021-11-07T01:07:51.6Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,31,17,2021-11-07T01:07:56Z,1600000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,
161,PT10M41.00S,2021-11-07T01:07:56.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",201143,91.5407358738502,59.068627450980394,1610612738,31,19,2021-11-07T01:08:03Z,1610000,45.0,27.0,1,right,A. Horford Hook (4 PTS) (J. Richardson 1 AST),"[201143, 1626196]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,5.27,Made,4.0,,,,,,,,,,J. Richardson,1626196.0,1.0,,,,,,
163,PT10M19.00S,2021-11-07T01:08:18.1Z,2,REGULAR,turnover,bad pass,[],1628373,,,1610612742,31,19,2021-11-07T01:08:29Z,1630000,,,0,,F. Ntilikina bad pass TURNOVER (1 TO),"[1628373, 203935]",1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,
164,PT10M19.00S,2021-11-07T01:08:18.1Z,2,REGULAR,steal,,[],203935,,,1610612738,31,19,2021-11-07T01:08:19Z,1640000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT10M03.00S,2021-11-07T01:08:34.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,66.17936925098554,44.6078431372549,1610612738,31,19,2021-11-07T01:08:43Z,1650000,-27.0,265.0,1,right,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,,
166,PT10M03.00S,2021-11-07T01:08:34.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612742,31,19,2021-11-07T01:08:43Z,1660000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,
167,PT10M03.00S,2021-11-07T01:08:41.0Z,2,REGULAR,foul,personal,[],201143,,,1610612742,31,19,2021-11-07T01:08:56Z,1670000,,,0,,A. Horford loose ball personal FOUL (1 PF),"[201143, 1628373]",1610612738.0,BOS,loose ball,,,Horford,A. Horford,,,,,,,,1628951.0,1.0,0.0,Ntilikina,1628373.0,,,,,,,,,,,,,
169,PT10M03.00S,2021-11-07T01:08:48.3Z,2,REGULAR,substitution,out,[],201143,,,1610612742,31,19,2021-11-07T01:08:54Z,1690000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT10M03.00S,2021-11-07T01:08:48.3Z,2,REGULAR,substitution,in,[],1629057,,,1610612742,31,19,2021-11-07T01:08:54Z,1700000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M53.00S,2021-11-07T01:09:11.9Z,2,REGULAR,3pt,Jump Shot,[],1628373,20.71287779237845,91.66666666666666,1610612742,34,19,2021-11-07T01:09:16Z,1710000,-208.0,142.0,1,left,F. Ntilikina 25' 3PT pullup (5 PTS),[1628373],1610612742.0,DAL,pullup,,,Ntilikina,F. Ntilikina,,,,,25.22,Made,5.0,,,,,,,,,,,,,,,,,,
172,PT09M32.00S,2021-11-07T01:09:32.1Z,2,REGULAR,2pt,Jump Shot,[],1626196,87.07293035479631,76.7156862745098,1610612738,34,21,2021-11-07T01:09:41Z,1720000,134.0,69.0,1,right,J. Richardson 15' pullup Jump Shot (2 PTS),[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,15.04,Made,2.0,,,,,,,,,,,,,,,,,,
