actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
92,PT04M49.00S,2021-10-29T00:55:11.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,3,23,2021-10-29T00:55:11Z,920000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M49.00S,2021-10-29T00:57:40.7Z,1,REGULAR,substitution,out,[],1627751,,,1610612742,3,23,2021-10-29T00:58:06Z,930000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M49.00S,2021-10-29T00:57:40.7Z,1,REGULAR,substitution,in,[],1629234,,,1610612742,3,23,2021-10-29T00:58:06Z,940000,,,0,,SUB in: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M35.00S,2021-10-29T00:58:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.60512483574244,42.64705882352941,1610612742,5,23,2021-10-29T00:58:24Z,950000,-37.0,111.0,1,right,L. Doncic 11' driving floating Jump Shot (4 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,11.69,Made,,,,,,,,,,,4.0,,,,,,,,
96,PT04M13.00S,2021-10-29T00:58:43.2Z,1,REGULAR,3pt,Jump Shot,[],1627854,26.231931668856767,17.647058823529413,1610612759,5,23,2021-10-29T00:58:48Z,960000,162.0,194.0,1,left,MISS B. Forbes 25' pullup 3PT,[1627854],1610612759.0,SAS,pullup,,,Forbes,B. Forbes,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
97,PT04M09.00S,2021-10-29T00:58:47.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,5,23,2021-10-29T00:58:48Z,970000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:3),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,96.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
98,PT03M59.00S,2021-10-29T00:58:56.7Z,1,REGULAR,2pt,Jump Shot,[],203501,72.61826544021025,55.14705882352941,1610612742,5,23,2021-10-29T00:59:01Z,980000,26.0,205.0,1,right,MISS T. Hardaway Jr. 20' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,20.65,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M57.00S,2021-10-29T00:58:58.7Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,5,23,2021-10-29T00:59:01Z,990000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
100,PT03M43.00S,2021-10-29T00:59:15.2Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612759,5,23,2021-10-29T00:59:21Z,1000000,,,0,,L. Doncic shooting personal FOUL (1 PF) (Eubanks 2 FT),"[1629029, 1629234]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,,,,,,,1151.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,,,
102,PT03M43.00S,2021-10-29T00:59:45.1Z,1,REGULAR,freethrow,1 of 2,[],1629234,,,1610612759,5,24,2021-10-29T00:59:45Z,1020000,,,0,,D. Eubanks Free Throw 1 of 2 (1 PTS),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
103,PT03M43.00S,2021-10-29T01:00:03.0Z,1,REGULAR,freethrow,2 of 2,[],1629234,,,1610612759,5,25,2021-10-29T01:00:03Z,1030000,,,0,,D. Eubanks Free Throw 2 of 2 (2 PTS),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,Made,,,,,,,,,,,2.0,,,,,,,,
106,PT03M31.00S,2021-10-29T01:00:21.0Z,1,REGULAR,foul,personal,[],1627749,,,1610612742,5,25,2021-10-29T01:00:25Z,1040000,,,0,,D. Murray personal FOUL (1 PF),"[1627749, 1628467]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,204059.0,1.0,0.0,Kleber,1628467.0,,,,,,,,,,
108,PT03M23.00S,2021-10-29T01:00:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,93.24901445466492,43.627450980392155,1610612742,5,25,2021-10-29T01:00:48Z,1060000,-32.0,11.0,1,right,MISS L. Doncic driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,3.37,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M21.00S,2021-10-29T01:00:47.2Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,5,25,2021-10-29T01:00:48Z,1070000,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
110,PT03M13.00S,2021-10-29T01:00:55.2Z,1,REGULAR,3pt,Jump Shot,[],1628966,25.443495400788436,16.911764705882355,1610612759,5,25,2021-10-29T01:00:59Z,1080000,165.0,187.0,1,left,MISS K. Bates-Diop 24' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
111,PT03M10.00S,2021-10-29T01:00:58.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,5,25,2021-10-29T01:00:59Z,1090000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:4),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,110.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
112,PT03M02.00S,2021-10-29T01:01:05.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,94.1688567674113,3.9215686274509802,1610612742,5,25,2021-10-29T01:01:09Z,1100000,-230.0,2.0,1,right,MISS J. Brunson 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
113,PT02M59.00S,2021-10-29T01:01:08.7Z,1,REGULAR,rebound,defensive,[],1627854,,,1610612759,5,25,2021-10-29T01:01:09Z,1110000,,,0,,B. Forbes REBOUND (Off:0 Def:2),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,112.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
114,PT02M51.00S,2021-10-29T01:01:16.2Z,1,REGULAR,2pt,Jump Shot,[],1630170,6.389618922470433,74.50980392156863,1610612759,5,25,2021-10-29T01:01:19Z,1120000,-123.0,8.0,1,left,MISS D. Vassell 12' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,12.27,Missed,,,,,,,,,,,,,,,,,,,
115,PT02M49.00S,2021-10-29T01:01:18.2Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,5,25,2021-10-29T01:01:19Z,1130000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
116,PT02M36.00S,2021-10-29T01:01:33.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,5,25,2021-10-29T01:01:33Z,1140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M36.00S,2021-10-29T01:01:34.4Z,1,REGULAR,substitution,out,[],203501,,,1610612742,5,25,2021-10-29T01:01:53Z,1150000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M36.00S,2021-10-29T01:01:34.4Z,1,REGULAR,substitution,out,[],1629029,,,1610612742,5,25,2021-10-29T01:01:53Z,1160000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M36.00S,2021-10-29T01:01:34.4Z,1,REGULAR,substitution,out,[],1627749,,,1610612742,5,25,2021-10-29T01:01:53Z,1170000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M36.00S,2021-10-29T01:01:34.4Z,1,REGULAR,substitution,in,[],1628373,,,1610612742,5,25,2021-10-29T01:01:53Z,1180000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M36.00S,2021-10-29T01:01:34.4Z,1,REGULAR,substitution,in,[],203493,,,1610612742,5,25,2021-10-29T01:01:53Z,1190000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M36.00S,2021-10-29T01:01:34.4Z,1,REGULAR,substitution,in,[],1628401,,,1610612742,5,25,2021-10-29T01:01:53Z,1200000,,,0,,SUB in: D. White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M27.00S,2021-10-29T01:02:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,94.1688567674113,48.77450980392157,1610612742,7,25,2021-10-29T01:02:09Z,1210000,-6.0,2.0,1,right,J. Brunson driving Layup (2 PTS),[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,0.65,Made,,,,,,,,,,,2.0,,,,,,,,
124,PT02M27.00S,2021-10-29T01:02:12.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612759,7,25,2021-10-29T01:02:12Z,1220000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M13.00S,2021-10-29T01:03:55.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,7,25,2021-10-29T01:03:55Z,1230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M04.00S,2021-10-29T01:04:16.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,29.25427069645204,73.2843137254902,1610612759,7,25,2021-10-29T01:04:20Z,1240000,-116.0,222.0,1,left,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M01.00S,2021-10-29T01:04:19.2Z,1,REGULAR,rebound,defensive,[],1628373,,,1610612742,7,25,2021-10-29T01:04:20Z,1250000,,,0,,F. Ntilikina REBOUND (Off:0 Def:1),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
128,PT01M46.00S,2021-10-29T01:04:33.8Z,1,REGULAR,3pt,Jump Shot,[],203493,93.64323258869908,95.58823529411765,1610612742,10,25,2021-10-29T01:04:38Z,1260000,228.0,7.0,1,right,R. Bullock 3PT  (3 PTS) (M. Kleber 1 AST),"[203493, 1628467]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,22.8,Made,,,,,,,,,,,3.0,M. Kleber,1628467.0,1.0,,,,,
130,PT01M23.00S,2021-10-29T01:04:56.4Z,1,REGULAR,2pt,Jump Shot,[],1628966,7.835085413929041,66.66666666666666,1610612759,10,25,2021-10-29T01:05:00Z,1280000,-83.0,21.0,1,left,MISS K. Bates-Diop 8' turnaround Shot - blocked,"[1628966, 1628467]",1610612759.0,SAS,turnaround,,,Bates-Diop,K. Bates-Diop,,,,,8.59,Missed,,,,,,,,,,,,,,,,,Kleber,1628467.0,
131,PT01M23.00S,2021-10-29T01:04:56.4Z,1,REGULAR,block,,[],1628467,,,1610612759,10,25,2021-10-29T01:04:58Z,1290000,,,0,,M. Kleber BLOCK (1 BLK),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M21.00S,2021-10-29T01:04:58.4Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,10,25,2021-10-29T01:05:00Z,1300000,,,0,,M. Kleber REBOUND (Off:0 Def:2),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,130.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
133,PT01M09.00S,2021-10-29T01:05:13.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627854,,,1610612742,10,25,2021-10-29T01:05:24Z,1310000,,,0,,B. Forbes shooting personal FOUL (1 PF) (Brunson 2 FT),"[1627854, 1628973]",1610612759.0,SAS,shooting,,,Forbes,B. Forbes,,,,,,,,,,,204059.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,
135,PT01M09.00S,2021-10-29T01:05:41.4Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612742,10,25,2021-10-29T01:06:08Z,1330000,,,0,,MISS J. Brunson Free Throw 1 of 2,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
136,PT01M09.00S,2021-10-29T01:05:41.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,10,25,2021-10-29T01:06:08Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,
137,PT01M09.00S,2021-10-29T01:05:42.4Z,1,REGULAR,substitution,out,[],1630170,,,1610612742,10,25,2021-10-29T01:05:58Z,1350000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M09.00S,2021-10-29T01:05:42.4Z,1,REGULAR,substitution,in,[],1629022,,,1610612742,10,25,2021-10-29T01:05:58Z,1360000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M09.00S,2021-10-29T01:05:41.4Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612742,10,25,2021-10-29T01:06:08Z,1370000,,,0,,MISS J. Brunson Free Throw 2 of 2,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
140,PT01M06.00S,2021-10-29T01:05:44.4Z,1,REGULAR,rebound,offensive,[],1628467,,,1610612742,10,25,2021-10-29T01:06:08Z,1380000,,,0,,M. Kleber REBOUND (Off:1 Def:2),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,139.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
141,PT01M05.00S,2021-10-29T01:06:09.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628373,66.83639947437582,50.0,1610612742,13,25,2021-10-29T01:06:13Z,1390000,0.0,259.0,1,right,F. Ntilikina 25' 3PT  (3 PTS) (J. Brunson 1 AST),"[1628373, 1628973]",1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,25.92,Made,,,,,,,,,,,3.0,J. Brunson,1628973.0,1.0,,,,,
143,PT00M43.00S,2021-10-29T01:06:32.8Z,1,REGULAR,turnover,traveling,[],1627854,,,1610612759,13,25,2021-10-29T01:06:38Z,1410000,,,0,,B. Forbes traveling TURNOVER (1 TO),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,1627961.0,,,,,1.0,,,,,,,,,
144,PT00M33.30S,2021-10-29T01:06:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626161,93.24901445466492,47.549019607843135,1610612742,15,25,2021-10-29T01:06:56Z,1420000,-12.0,11.0,1,right,W. Cauley-Stein cutting finger roll Layup (2 PTS) (J. Brunson 2 AST),"[1626161, 1628973]",1610612742.0,DAL,cutting finger roll,,,Cauley-Stein,W. Cauley-Stein,,,,,1.65,Made,,,,,,,,,,,2.0,J. Brunson,1628973.0,2.0,,,,,
146,PT00M09.90S,2021-10-29T01:07:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,18.610381077529567,56.372549019607845,1610612759,15,25,2021-10-29T01:07:21Z,1440000,-32.0,122.0,1,left,MISS D. White 12' fadeaway Shot,[1628401],1610612759.0,SAS,fadeaway,,,White,D. White,,,,,12.65,Missed,,,,,,,,,,,,,,,,,,,
147,PT00M07.40S,2021-10-29T01:07:20.5Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,15,25,2021-10-29T01:07:21Z,1450000,,,0,,M. Kleber REBOUND (Off:1 Def:3),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,146.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
148,PT00M00.00S,2021-10-29T01:07:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,91.01511169513797,44.36274509803921,1610612742,15,25,2021-10-29T01:07:32Z,1460000,-28.0,32.0,1,right,MISS J. Brunson driving floating Shot - blocked,"[1628973, 1628966]",1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,4.27,Missed,,,,,,,,,,,,,,,,,Bates-Diop,1628966.0,
149,PT00M00.00S,2021-10-29T01:07:28.4Z,1,REGULAR,block,,[],1628966,,,1610612742,15,25,2021-10-29T01:07:31Z,1470000,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M00.00S,2021-10-29T01:07:28.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,15,25,2021-10-29T01:07:32Z,1480000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,
151,PT00M00.00S,2021-10-29T01:07:33.2Z,1,REGULAR,period,end,[],0,,,1610612742,15,25,2021-10-29T01:07:33Z,1490000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-10-29T01:07:42.4Z,2,REGULAR,substitution,out,['startperiod'],1627854,,,1610612742,15,25,2021-10-29T01:10:08Z,1500000,,,0,,SUB out: B. Forbes,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-10-29T01:07:42.4Z,2,REGULAR,substitution,out,['startperiod'],1629234,,,1610612742,15,25,2021-10-29T01:10:08Z,1510000,,,0,,SUB out: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-10-29T01:07:42.4Z,2,REGULAR,substitution,out,['startperiod'],1628966,,,1610612742,15,25,2021-10-29T01:10:08Z,1520000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-10-29T01:07:42.4Z,2,REGULAR,substitution,in,['startperiod'],1629640,,,1610612742,15,25,2021-10-29T01:10:08Z,1530000,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-10-29T01:07:42.4Z,2,REGULAR,substitution,in,['startperiod'],1630200,,,1610612742,15,25,2021-10-29T01:10:08Z,1540000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-10-29T01:07:42.4Z,2,REGULAR,substitution,in,['startperiod'],1627751,,,1610612742,15,25,2021-10-29T01:10:08Z,1550000,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-10-29T01:10:19.2Z,2,REGULAR,period,start,[],0,,,1610612742,15,25,2021-10-29T01:10:19Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M43.00S,2021-10-29T01:10:35.2Z,2,REGULAR,3pt,Jump Shot,[],203493,78.9257555847569,9.313725490196079,1610612742,15,25,2021-10-29T01:10:40Z,1570000,-203.0,146.0,1,right,MISS R. Bullock 25' 3PT - blocked,"[203493, 1629022]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,25.01,Missed,,,,,,,,,,,,,,,,,Walker IV,1629022.0,
160,PT11M43.00S,2021-10-29T01:10:35.2Z,2,REGULAR,block,,[],1629022,,,1610612742,15,25,2021-10-29T01:10:38Z,1580000,,,0,,L. Walker IV BLOCK (1 BLK),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M39.00S,2021-10-29T01:10:39.2Z,2,REGULAR,rebound,defensive,[],1629640,,,1610612759,15,25,2021-10-29T01:10:40Z,1590000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
162,PT11M28.00S,2021-10-29T01:10:49.9Z,2,REGULAR,2pt,Jump Shot,[],1628401,21.369908015768726,34.55882352941176,1610612759,15,25,2021-10-29T01:10:53Z,1600000,77.0,148.0,1,left,MISS D. White 16' pullup Shot,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,16.73,Missed,,,,,,,,,,,,,,,,,,,
163,PT11M26.00S,2021-10-29T01:10:51.9Z,2,REGULAR,rebound,defensive,[],1628373,,,1610612742,15,25,2021-10-29T01:10:53Z,1610000,,,0,,F. Ntilikina REBOUND (Off:0 Def:2),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
164,PT11M08.00S,2021-10-29T01:11:10.3Z,2,REGULAR,3pt,Jump Shot,[],1628373,68.28186596583443,34.55882352941176,1610612742,15,25,2021-10-29T01:11:14Z,1620000,-77.0,246.0,1,right,MISS F. Ntilikina 25' bank 3PT,[1628373],1610612742.0,DAL,bank,,,Ntilikina,F. Ntilikina,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
165,PT11M05.00S,2021-10-29T01:11:13.3Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612759,15,25,2021-10-29T01:11:14Z,1630000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
166,PT11M00.00S,2021-10-29T01:11:17.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629640,9.937582128777924,36.76470588235294,1610612759,15,25,2021-10-29T01:11:21Z,1640000,66.0,41.0,1,left,MISS K. Johnson 7' driving floating Shot - blocked,"[1629640, 1628467]",1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,7.78,Missed,,,,,,,,,,,,,,,,,Kleber,1628467.0,
167,PT11M00.00S,2021-10-29T01:11:17.4Z,2,REGULAR,block,,[],1628467,,,1610612759,15,25,2021-10-29T01:11:19Z,1650000,,,0,,M. Kleber BLOCK (2 BLK),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT10M58.00S,2021-10-29T01:11:19.4Z,2,REGULAR,rebound,defensive,[],1628467,,,1610612742,15,25,2021-10-29T01:11:21Z,1660000,,,0,,M. Kleber REBOUND (Off:1 Def:4),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,166.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
169,PT10M51.00S,2021-10-29T01:11:26.7Z,2,REGULAR,3pt,Jump Shot,[],203493,82.60512483574244,93.87254901960785,1610612742,15,25,2021-10-29T01:11:33Z,1670000,219.0,111.0,1,right,MISS R. Bullock 24' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,24.59,Missed,,,,,,,,,,,,,,,,,,,
170,PT10M49.00S,2021-10-29T01:11:28.7Z,2,REGULAR,rebound,defensive,[],1629022,,,1610612759,15,25,2021-10-29T01:11:33Z,1680000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
171,PT10M49.00S,2021-10-29T01:11:34.7Z,2,REGULAR,foul,personal,[],1628973,,,1610612759,15,25,2021-10-29T01:11:41Z,1690000,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1629022]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,1151.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,,
173,PT10M30.00S,2021-10-29T01:12:12.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,6.1268068331143235,59.31372549019608,1610612759,15,25,2021-10-29T01:12:19Z,1710000,-47.0,5.0,1,left,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,4.69,Missed,,,,,,,,,,,,,,,,,,,
174,PT10M29.00S,2021-10-29T01:12:13.0Z,2,REGULAR,rebound,defensive,[],1628373,,,1610612742,15,25,2021-10-29T01:12:15Z,1720000,,,0,,F. Ntilikina REBOUND (Off:0 Def:3),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,173.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
175,PT10M17.00S,2021-10-29T01:12:25.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,90.62089356110381,47.30392156862745,1610612742,17,25,2021-10-29T01:12:29Z,1730000,-13.0,36.0,1,right,J. Brunson driving finger roll Layup (4 PTS),[1628973],1610612742.0,DAL,driving finger roll,,,Brunson,J. Brunson,,,,,3.82,Made,,,,,,,,,,,4.0,,,,,,,,
176,PT10M04.00S,2021-10-29T01:12:37.8Z,2,REGULAR,3pt,Jump Shot,[],1629022,29.517082785808146,21.323529411764707,1610612759,17,25,2021-10-29T01:12:42Z,1740000,143.0,225.0,1,left,MISS L. Walker IV 26' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,,
177,PT10M02.00S,2021-10-29T01:12:41.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612742,17,25,2021-10-29T01:12:41Z,1750000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,
