actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
90,PT03M47.00S,2022-01-29T01:27:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,6.783837056504599,52.20588235294118,1610612746,18,15,2022-01-29T01:27:33Z,900000,-11.0,11.0,1,left,I. Zubac Layup (2 PTS) (L. Kennard 2 AST),"[1627826, 1628379]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,1.58,Made,,,,,2.0,L. Kennard,1628379.0,2.0,,,,
92,PT03M25.00S,2022-01-29T01:27:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,93.51182654402102,53.92156862745098,1610612748,20,15,2022-01-29T01:27:57Z,920000,20.0,8.0,1,right,P. Tucker cutting Layup (4 PTS) (J. Butler 2 AST),"[200782, 202710]",1610612748.0,MIA,cutting,,,Tucker,P. Tucker,,,,,,,,,,,2.14,Made,,,,,4.0,J. Butler,202710.0,2.0,,,,
94,PT03M10.00S,2022-01-29T01:28:03.9Z,1,REGULAR,turnover,bad pass,[],1628379,,,1610612746,20,15,2022-01-29T01:28:09Z,940000,,,0,,L. Kennard bad pass TURNOVER (1 TO),"[1628379, 200782]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,1.0,,,,,,,,,,,,,Tucker,200782.0
95,PT03M10.00S,2022-01-29T01:28:03.9Z,1,REGULAR,steal,,[],200782,,,1610612748,20,15,2022-01-29T01:28:06Z,950000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M02.00S,2022-01-29T01:28:12.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202710,90.09526938239159,60.29411764705882,1610612748,22,15,2022-01-29T01:28:41Z,960000,51.0,41.0,1,right,J. Butler 6' floating Jump Shot (10 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,floating,,,Butler,J. Butler,,,,,,,,,,,6.56,Made,,,,,10.0,B. Adebayo,1628389.0,1.0,,,,
98,PT03M02.00S,2022-01-29T01:28:19.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,22,15,2022-01-29T01:28:19Z,980000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612746,22,15,2022-01-29T01:31:06Z,990000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,out,[],1629130,,,1610612746,22,15,2022-01-29T01:31:06Z,1000000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,out,[],202704,,,1610612746,22,15,2022-01-29T01:31:06Z,1010000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,out,[],1629599,,,1610612746,22,15,2022-01-29T01:31:06Z,1020000,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,out,[],201587,,,1610612746,22,15,2022-01-29T01:31:06Z,1030000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,22,15,2022-01-29T01:31:06Z,1040000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,in,[],203473,,,1610612746,22,15,2022-01-29T01:31:06Z,1050000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,in,[],1629622,,,1610612746,22,15,2022-01-29T01:31:06Z,1060000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,in,[],1630527,,,1610612746,22,15,2022-01-29T01:31:06Z,1070000,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,in,[],202339,,,1610612746,22,15,2022-01-29T01:31:06Z,1080000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,in,[],1626159,,,1610612746,22,15,2022-01-29T01:31:06Z,1090000,,,0,,SUB in: J. Winslow,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M02.00S,2022-01-29T01:30:16.0Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,22,15,2022-01-29T01:31:06Z,1100000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M46.00S,2022-01-29T01:31:27.5Z,1,REGULAR,2pt,Jump Shot,[],1628379,6.307490144546649,28.829656862745097,1610612746,22,15,2022-01-29T01:32:06Z,1110000,106.0,7.0,1,left,MISS L. Kennard 10' driving floating Shot - blocked,"[1628379, 202710]",1610612746.0,LAC,driving floating,,,Kennard,L. Kennard,,,,,,,,,,,10.61,Missed,,,,,,,,,Butler,202710.0,,
112,PT02M46.00S,2022-01-29T01:31:27.5Z,1,REGULAR,block,,[],202710,,,1610612746,22,15,2022-01-29T01:31:34Z,1120000,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M46.00S,2022-01-29T01:31:27.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,22,15,2022-01-29T01:31:43Z,1130000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,
114,PT02M43.00S,2022-01-29T01:31:43.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628379,8.360709592641262,4.166666666666666,1610612746,22,15,2022-01-29T01:31:48Z,1140000,229.0,26.0,1,left,MISS L. Kennard 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,23.07,Missed,,,,,,,,,,,,
115,PT02M41.00S,2022-01-29T01:31:45.7Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,22,15,2022-01-29T01:31:48Z,1150000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,114.0,2.0,2.0,0.0,,,,,,,,
116,PT02M27.00S,2022-01-29T01:32:04.3Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612748,22,15,2022-01-29T01:32:15Z,1160000,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Tucker 2 FT),"[1628392, 200782]",1610612746.0,LAC,shooting,,,Hartenstein,I. Hartenstein,,,,,202901.0,1.0,0.0,Tucker,200782.0,,,,,,,,,,,,,,,
118,PT02M27.00S,2022-01-29T01:32:30.5Z,1,REGULAR,freethrow,1 of 2,[],200782,,,1610612748,23,15,2022-01-29T01:32:30Z,1180000,,,0,,P. Tucker Free Throw 1 of 2 (5 PTS),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,Made,,,,,5.0,,,,,,,
119,PT02M27.00S,2022-01-29T01:32:53.8Z,1,REGULAR,freethrow,2 of 2,[],200782,,,1610612748,24,15,2022-01-29T01:32:53Z,1190000,,,0,,P. Tucker Free Throw 2 of 2 (6 PTS),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,Made,,,,,6.0,,,,,,,
120,PT02M13.00S,2022-01-29T01:33:11.7Z,1,REGULAR,turnover,traveling,[],1628392,,,1610612746,24,15,2022-01-29T01:33:37Z,1200000,,,0,,I. Hartenstein traveling TURNOVER (1 TO),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,2714.0,,,,,1.0,,,,,,,,,,,,,,
121,PT02M13.00S,2022-01-29T01:33:23.4Z,1,REGULAR,substitution,out,[],200782,,,1610612748,24,15,2022-01-29T01:33:26Z,1210000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M13.00S,2022-01-29T01:33:23.4Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,24,15,2022-01-29T01:33:26Z,1220000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M56.00S,2022-01-29T01:33:40.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,88.64980289093299,68.38235294117648,1610612748,24,15,2022-01-29T01:33:57Z,1230000,92.0,54.0,1,right,MISS J. Butler 10' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,,,,,,,10.67,Missed,,,,,,,,,,,,
124,PT01M53.00S,2022-01-29T01:33:43.6Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612746,24,15,2022-01-29T01:33:57Z,1240000,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,123.0,1.0,1.0,0.0,,,,,,,,
125,PT01M48.00S,2022-01-29T01:33:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,17.0335085413929,50.49019607843137,1610612746,24,17,2022-01-29T01:34:28Z,1250000,-2.0,108.0,1,left,I. Hartenstein 10' floating Jump Shot (2 PTS) (E. Bledsoe 1 AST),"[1628392, 202339]",1610612746.0,LAC,floating,,,Hartenstein,I. Hartenstein,,,,,,,,,,,10.76,Made,,,,,2.0,E. Bledsoe,202339.0,1.0,,,,
127,PT01M48.00S,2022-01-29T01:33:54.2Z,1,REGULAR,foul,personal,['1freethrow'],203473,,,1610612746,24,17,2022-01-29T01:34:05Z,1270000,,,0,,D. Dedmon shooting personal FOUL (1 PF) (Hartenstein 1 FT),"[203473, 1628392]",1610612748.0,MIA,shooting,,,Dedmon,D. Dedmon,,,,,202026.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,
129,PT01M48.00S,2022-01-29T01:34:15.1Z,1,REGULAR,freethrow,1 of 1,[],1628392,,,1610612746,24,17,2022-01-29T01:34:19Z,1290000,,,0,,MISS I. Hartenstein Free Throw 1 of 1,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,Missed,,,,,,,,,,,,
130,PT01M46.00S,2022-01-29T01:34:17.1Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612746,24,17,2022-01-29T01:34:19Z,1300000,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,129.0,1.0,0.0,1.0,,,,,,,,
131,PT01M39.00S,2022-01-29T01:34:24.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628392,11.908672798948752,36.76470588235294,1610612746,24,17,2022-01-29T01:34:31Z,1310000,66.0,59.0,1,left,MISS I. Hartenstein 8' turnaround bank Hook,[1628392],1610612746.0,LAC,turnaround bank,,,Hartenstein,I. Hartenstein,,,,,,,,,,,8.89,Missed,,,,,,,,,,,,
132,PT01M39.00S,2022-01-29T01:34:24.0Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,24,17,2022-01-29T01:34:31Z,1320000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,131.0,1.0,1.0,0.0,,,,,,,,
133,PT01M18.00S,2022-01-29T01:34:44.1Z,1,REGULAR,2pt,Jump Shot,[],1629622,86.59658344283837,27.73054534313725,1610612748,24,17,2022-01-29T01:34:53Z,1330000,-111.0,73.0,1,right,MISS M. Strus 13' turnaround fadeaway Shot,[1629622],1610612748.0,MIA,turnaround fadeaway,,,Strus,M. Strus,,,,,,,,,,,13.34,Missed,,,,,,,,,,,,
134,PT01M15.00S,2022-01-29T01:34:47.1Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612746,24,17,2022-01-29T01:34:53Z,1340000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,
135,PT01M09.00S,2022-01-29T01:34:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,7.440867279894875,60.049019607843135,1610612746,24,17,2022-01-29T01:34:59Z,1350000,-50.0,17.0,1,left,MISS J. Winslow driving Layup,[1626159],1610612746.0,LAC,driving,,,Winslow,J. Winslow,,,,,,,,,,,5.31,Missed,,,,,,,,,,,,
136,PT01M07.00S,2022-01-29T01:34:55.5Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,24,17,2022-01-29T01:34:59Z,1360000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,135.0,1.0,1.0,0.0,,,,,,,,
137,PT01M03.00S,2022-01-29T01:35:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,86.28449408672799,50.0,1610612748,24,17,2022-01-29T01:36:14Z,1370000,0.0,76.0,1,right,MISS C. Martin 7' driving floating Shot,[1628997],1610612748.0,MIA,driving floating,,,Martin,C. Martin,,,,,,,,,,,7.64,Missed,,,,,,,,,,,,
138,PT01M03.00S,2022-01-29T01:35:02.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,24,17,2022-01-29T01:35:12Z,1380000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,
139,PT01M03.00S,2022-01-29T01:35:08.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203473,,,1610612746,24,17,2022-01-29T01:35:26Z,1390000,,,0,,D. Dedmon loose ball personal FOUL (2 PF) (Kennard 2 FT),"[203473, 1628379]",1610612748.0,MIA,loose ball,,,Dedmon,D. Dedmon,,,,,202026.0,2.0,0.0,Kennard,1628379.0,,,,,,,,,,,,,,,
141,PT01M03.00S,2022-01-29T01:35:41.4Z,1,REGULAR,freethrow,1 of 2,[],1628379,,,1610612746,24,18,2022-01-29T01:35:41Z,1410000,,,0,,L. Kennard Free Throw 1 of 2 (1 PTS),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
142,PT01M03.00S,2022-01-29T01:35:42.5Z,1,REGULAR,substitution,out,[],202710,,,1610612746,24,18,2022-01-29T01:35:50Z,1420000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M03.00S,2022-01-29T01:35:42.5Z,1,REGULAR,substitution,in,[],1629216,,,1610612746,24,18,2022-01-29T01:35:50Z,1430000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M03.00S,2022-01-29T01:35:59.2Z,1,REGULAR,freethrow,2 of 2,[],1628379,,,1610612746,24,19,2022-01-29T01:35:59Z,1440000,,,0,,L. Kennard Free Throw 2 of 2 (2 PTS),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
145,PT00M52.60S,2022-01-29T01:36:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,87.86136662286465,60.049019607843135,1610612748,26,19,2022-01-29T01:36:18Z,1450000,50.0,62.0,1,right,T. Herro 7' pullup Jump Shot (2 PTS) (M. Strus 1 AST),"[1629639, 1629622]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,,,,,,,7.95,Made,,,,,2.0,M. Strus,1629622.0,1.0,,,,
147,PT00M35.80S,2022-01-29T01:36:30.6Z,1,REGULAR,2pt,Jump Shot,[],1630527,20.45006570302234,66.17647058823529,1610612746,26,19,2022-01-29T01:36:36Z,1470000,-81.0,140.0,1,left,MISS B. Boston Jr. 16' pullup Shot,[1630527],1610612746.0,LAC,pullup,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,16.14,Missed,,,,,,,,,,,,
148,PT00M31.70S,2022-01-29T01:36:34.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,26,19,2022-01-29T01:36:36Z,1480000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,147.0,1.0,1.0,0.0,,,,,,,,
149,PT00M29.10S,2022-01-29T01:36:37.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,63.02562417871223,68.38235294117648,1610612748,26,19,2022-01-29T01:38:37Z,1490000,92.0,295.0,1,right,MISS T. Herro 30' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,30.91,Missed,,,,,,,,,,,,
150,PT00M24.00S,2022-01-29T01:36:42.5Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,26,19,2022-01-29T01:36:46Z,1500000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,149.0,2.0,1.0,1.0,,,,,,,,
151,PT00M24.00S,2022-01-29T01:36:44.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628997,94.40999984741211,50.0,1610612748,26,19,2022-01-29T01:36:49Z,1510000,0.0,0.0,1,right,MISS C. Martin tip Layup,[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,
152,PT00M24.00S,2022-01-29T01:36:44.7Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,26,19,2022-01-29T01:36:49Z,1520000,,,0,,M. Strus REBOUND (Off:1 Def:0),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,151.0,1.0,0.0,1.0,,,,,,,,
153,PT00M21.10S,2022-01-29T01:36:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629622,94.40999984741211,50.0,1610612748,28,19,2022-01-29T01:36:47Z,1530000,0.0,0.0,1,right,M. Strus tip Layup (2 PTS),[1629622],1610612748.0,MIA,tip,,,Strus,M. Strus,,,,,,,,,,,0.0,Made,,,,,2.0,,,,,,,
154,PT00M12.70S,2022-01-29T01:36:56.0Z,1,REGULAR,3pt,Jump Shot,[],1626159,7.703679369250986,96.32352941176471,1610612746,28,19,2022-01-29T01:37:01Z,1540000,-232.0,20.0,1,left,MISS J. Winslow 3PT,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,23.25,Missed,,,,,,,,,,,,
155,PT00M09.00S,2022-01-29T01:36:59.7Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,28,19,2022-01-29T01:36:59Z,1550000,,,0,,C. Martin REBOUND (Off:1 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,154.0,3.0,2.0,1.0,,,,,,,,
156,PT00M01.70S,2022-01-29T01:37:07.0Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,28,19,2022-01-29T01:37:13Z,1560000,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 202339]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,1.0,,,,,,,,,,,,,Bledsoe,202339.0
157,PT00M01.70S,2022-01-29T01:37:07.0Z,1,REGULAR,steal,,[],202339,,,1610612746,28,19,2022-01-29T01:37:28Z,1570000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M00.00S,2022-01-29T01:37:14.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626159,12.302890932982917,50.73529411764706,1610612746,28,19,2022-01-29T01:37:45Z,1580000,-4.0,63.0,1,left,MISS J. Winslow 6' Jump Shot,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,6.32,Missed,,,,,,,,,,,,
159,PT00M00.00S,2022-01-29T01:37:17.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,28,19,2022-01-29T01:37:17Z,1590000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,
160,PT00M00.00S,2022-01-29T01:37:44.7Z,1,REGULAR,period,end,[],0,,,1610612746,28,19,2022-01-29T01:37:44Z,1600000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-01-29T01:39:47.8Z,2,REGULAR,period,start,[],0,,,1610612746,28,19,2022-01-29T01:39:48Z,1610000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M50.00S,2022-01-29T01:39:57.5Z,2,REGULAR,3pt,Jump Shot,[],1628379,31.488173455978973,32.59803921568628,1610612746,28,19,2022-01-29T01:40:03Z,1620000,87.0,243.0,1,left,MISS L. Kennard 25' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,25.86,Missed,,,,,,,,,,,,
163,PT11M45.00S,2022-01-29T01:40:01.2Z,2,REGULAR,rebound,offensive,[],1626159,,,1610612746,28,19,2022-01-29T01:40:01Z,1630000,,,0,,J. Winslow REBOUND (Off:1 Def:1),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,162.0,2.0,1.0,1.0,,,,,,,,
164,PT11M41.00S,2022-01-29T01:40:08.5Z,2,REGULAR,turnover,out-of-bounds,[],202339,,,1610612746,28,19,2022-01-29T01:40:17Z,1640000,,,0,,E. Bledsoe lost ball out-of-bounds TURNOVER (1 TO),[202339],1610612746.0,LAC,lost ball,,,Bledsoe,E. Bledsoe,,,,,202901.0,,,,,1.0,,,,,,,,,,,,,,
165,PT11M15.00S,2022-01-29T01:40:40.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,92.37844940867281,4.924938725490196,1610612748,31,19,2022-01-29T01:42:56Z,1650000,-225.0,19.0,1,right,G. Vincent 3PT fadeaway (3 PTS),[1629216],1610612748.0,MIA,fadeaway,,,Vincent,G. Vincent,,,,,,,,,,,22.62,Made,,,,,3.0,,,,,,,
166,PT11M07.00S,2022-01-29T01:40:53.6Z,2,REGULAR,turnover,out-of-bounds,[],1630527,,,1610612746,31,19,2022-01-29T01:41:01Z,1660000,,,0,,B. Boston Jr. step out-of-bounds TURNOVER (1 TO),[1630527],1610612746.0,LAC,step,,,Boston Jr.,B. Boston Jr.,,,,,202901.0,,,,,1.0,,,,,,,,,,,,,,
168,PT10M56.00S,2022-01-29T01:41:12.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,67.36202365308804,32.59803921568628,1610612748,31,19,2022-01-29T01:41:18Z,1680000,-87.0,254.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,26.88,Missed,,,,,,,,,,,,
169,PT10M54.00S,2022-01-29T01:41:13.6Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612746,31,19,2022-01-29T01:41:13Z,1690000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,
172,PT10M45.00S,2022-01-29T01:41:34.4Z,2,REGULAR,turnover,offensive goaltending,[],1628392,,,1610612746,31,19,2022-01-29T01:41:50Z,1720000,,,0,,I. Hartenstein offensive goaltending TURNOVER (2 TO),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,2.0,,,,,,,,,,,,,,
173,PT10M33.00S,2022-01-29T01:41:46.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629639,83.78777923784494,32.59803921568628,1610612748,31,19,2022-01-29T01:41:53Z,1730000,-87.0,100.0,1,right,MISS T. Herro 13' Jump Shot,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,13.25,Missed,,,,,,,,,,,,
174,PT10M31.00S,2022-01-29T01:41:49.5Z,2,REGULAR,rebound,defensive,[],202339,,,1610612746,31,19,2022-01-29T01:41:49Z,1740000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,
176,PT10M20.00S,2022-01-29T01:42:00.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626159,11.645860709592641,39.21568627450981,1610612746,31,21,2022-01-29T01:42:07Z,1760000,54.0,57.0,1,left,J. Winslow 7' turnaround Jump Shot (2 PTS),[1626159],1610612746.0,LAC,turnaround,,,Winslow,J. Winslow,,,,,,,,,,,7.84,Made,,,,,2.0,,,,,,,
177,PT10M01.00S,2022-01-29T01:42:19.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203473,92.06636005256242,55.63725490196079,1610612748,31,21,2022-01-29T01:45:04Z,1770000,28.0,22.0,1,right,MISS D. Dedmon cutting Layup - blocked,"[203473, 1630527]",1610612748.0,MIA,cutting,,,Dedmon,D. Dedmon,,,,,,,,,,,3.58,Missed,,,,,,,,,Boston Jr.,1630527.0,,
