actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
226,PT06M13.00S,2022-02-27T01:51:10.3Z,2,REGULAR,substitution,out,[],203926,,,1610612759,44,50,2022-02-27T01:51:18Z,2250000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,,,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,
227,PT06M13.00S,2022-02-27T01:51:10.3Z,2,REGULAR,substitution,in,[],1626196,,,1610612759,44,50,2022-02-27T01:51:18Z,2260000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,,,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,
228,PT06M05.00S,2022-02-27T01:51:30.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,93.24901445466492,45.588235294117645,1610612759,44,52,2022-02-27T01:51:38Z,2270000,-22.0,11.0,1,right,K. Bates-Diop alley-oop Layup (8 PTS) (Z. Collins 2 AST),"[1628966, 1628380]",1610612759.0,SAS,alley-oop,,,,,,2.47,Made,Bates-Diop,K. Bates-Diop,,8.0,Z. Collins,1628380.0,2.0,,,,,,,,,,,,,,
230,PT05M48.00S,2022-02-27T01:51:49.9Z,2,REGULAR,foul,personal,['2freethrow'],1629022,,,1610612748,44,52,2022-02-27T01:51:59Z,2290000,,,0,,L. Walker IV shooting personal FOUL (1 PF) (Martin 2 FT),"[1629022, 1628997]",1610612759.0,SAS,shooting,,,,,,,,Walker IV,L. Walker IV,,,,,,,,,1626301.0,,1.0,0.0,Martin,1628997.0,,,,,
232,PT05M48.00S,2022-02-27T01:52:19.5Z,2,REGULAR,freethrow,1 of 2,[],1628997,,,1610612748,44,52,2022-02-27T01:52:19Z,2310000,,,0,,MISS C. Martin Free Throw 1 of 2,[1628997],1610612748.0,MIA,,,,,,,,Missed,Martin,C. Martin,,,,,,,,,,,,,,,,,,,
233,PT05M48.00S,2022-02-27T01:52:19.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,44,52,2022-02-27T01:52:19Z,2320000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,232.0,,,,,,,,,,,,,,,,,,
234,PT05M48.00S,2022-02-27T01:52:20.6Z,2,REGULAR,substitution,out,[],200768,,,1610612748,44,52,2022-02-27T01:52:28Z,2330000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,,,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,
235,PT05M48.00S,2022-02-27T01:52:20.6Z,2,REGULAR,substitution,in,[],1629639,,,1610612748,44,52,2022-02-27T01:52:28Z,2340000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
236,PT05M48.00S,2022-02-27T01:52:52.0Z,2,REGULAR,turnover,LaneViolation,[],1629639,,,1610612748,44,52,2022-02-27T01:52:52Z,2350000,,,0,,T. Herro LaneViolation TURNOVER (1 TO),[1629639],1610612748.0,MIA,,,,,,,,,Herro,T. Herro,,,,,,,,,,1.0,,,,,,,,,
237,PT05M36.00S,2022-02-27T01:53:13.5Z,2,REGULAR,turnover,out-of-bounds,[],1628380,,,1610612759,44,52,2022-02-27T01:53:19Z,2360000,,,0,,Z. Collins bad pass out-of-bounds TURNOVER (4 TO),[1628380],1610612759.0,SAS,bad pass,,,,,,,,Collins,Z. Collins,,,,,,,,,1626301.0,4.0,,,,,,,,,
