actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
95,PT05M01.00S,2021-12-22T00:46:13.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,19,16,2021-12-22T00:46:13Z,950000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,
96,PT05M01.00S,2021-12-22T00:46:26.0Z,1,REGULAR,freethrow,2 of 2,[],1627763,,,1610612754,19,17,2021-12-22T00:46:26Z,960000,,,0,,M. Brogdon Free Throw 2 of 2 (1 PTS),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
97,PT04M36.00S,2021-12-22T00:46:52.5Z,1,REGULAR,2pt,Jump Shot,[],1629130,5.863994743758213,81.86274509803921,1610612748,21,17,2021-12-22T00:46:58Z,970000,-159.0,3.0,1,left,D. Robinson 15' Jump Shot (8 PTS) (T. Herro 1 AST),"[1629130, 1629639]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,15.93,Made,8.0,,,,,T. Herro,1629639.0,1.0,,,,,,,,,,
99,PT04M17.00S,2021-12-22T00:47:11.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,69.85873850197109,21.323529411764707,1610612754,21,17,2021-12-22T00:53:54Z,990000,-143.0,231.0,1,right,MISS M. Brogdon 27' pullup 3PT,[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,27.17,Missed,,,,,,,,,,,,,,,,,,
100,PT04M14.00S,2021-12-22T00:47:14.8Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,21,17,2021-12-22T00:47:16Z,1000000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,
101,PT04M03.00S,2021-12-22T00:47:26.6Z,1,REGULAR,3pt,Jump Shot,[],1629644,5.995400788436268,97.30392156862744,1610612748,24,17,2021-12-22T00:47:32Z,1010000,-237.0,4.0,1,left,K. Okpala 3PT  (5 PTS) (T. Herro 2 AST),"[1629644, 1629639]",1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,23.65,Made,5.0,,,,,T. Herro,1629639.0,2.0,,,,,,,,,,
103,PT04M02.00S,2021-12-22T00:47:33.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,24,17,2021-12-22T00:47:33Z,1030000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M02.00S,2021-12-22T00:47:34.8Z,1,REGULAR,substitution,out,[],1627763,,,1610612754,24,17,2021-12-22T00:50:22Z,1040000,,,0,,SUB out: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M02.00S,2021-12-22T00:47:34.8Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,24,17,2021-12-22T00:50:22Z,1050000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M02.00S,2021-12-22T00:47:34.8Z,1,REGULAR,substitution,in,[],202954,,,1610612754,24,17,2021-12-22T00:50:22Z,1060000,,,0,,SUB in: B. Wanamaker,[202954],1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M02.00S,2021-12-22T00:47:34.8Z,1,REGULAR,substitution,in,[],1627734,,,1610612754,24,17,2021-12-22T00:50:22Z,1070000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M49.00S,2021-12-22T00:51:06.5Z,1,REGULAR,turnover,out-of-bounds,[],202954,,,1610612754,24,17,2021-12-22T00:51:18Z,1080000,,,0,,B. Wanamaker bad pass out-of-bounds TURNOVER (1 TO),[202954],1610612754.0,IND,bad pass,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,1.0,,,,,,,,,
109,PT03M35.00S,2021-12-22T00:51:33.9Z,1,REGULAR,turnover,traveling,[],1630209,,,1610612748,24,17,2021-12-22T00:51:38Z,1090000,,,0,,O. Yurtseven traveling TURNOVER (1 TO),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,1.0,201640.0,,,,,,,,
110,PT03M11.00S,2021-12-22T00:52:07.9Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612754,24,17,2021-12-22T00:52:12Z,1100000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 200768]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,1.0,,,,,,,,Lowry,200768.0
111,PT03M11.00S,2021-12-22T00:52:07.9Z,1,REGULAR,steal,,[],200768,,,1610612748,24,17,2021-12-22T00:52:09Z,1110000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M55.00S,2021-12-22T00:52:23.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629639,8.754927726675426,51.225490196078425,1610612748,24,17,2021-12-22T00:52:29Z,1120000,-6.0,30.0,1,left,MISS T. Herro driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,3.04,Missed,,,,,,,,,,,,,,,,,,
113,PT02M53.00S,2021-12-22T00:52:26.2Z,1,REGULAR,rebound,offensive,[],1630209,,,1610612748,24,17,2021-12-22T00:52:26Z,1130000,,,0,,O. Yurtseven REBOUND (Off:1 Def:0),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,112.0,1.0,0.0,1.0,,,,,,,,,,,,,
114,PT02M51.00S,2021-12-22T00:52:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630209,5.995400788436268,52.94117647058824,1610612748,26,17,2021-12-22T00:56:37Z,1140000,-15.0,4.0,1,left,O. Yurtseven putback Layup (2 PTS),[1630209],1610612748.0,MIA,putback,,,Yurtseven,O. Yurtseven,,,,,1.52,Made,2.0,,,,,,,,,,,,,,,,,
115,PT02M32.00S,2021-12-22T00:52:47.3Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612754,26,17,2021-12-22T01:01:07Z,1150000,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 200768]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1.0,,,,,,,,Lowry,200768.0
116,PT02M32.00S,2021-12-22T00:52:47.3Z,1,REGULAR,steal,,[],200768,,,1610612748,26,17,2021-12-22T01:00:59Z,1160000,,,0,,K. Lowry STEAL (2 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M28.00S,2021-12-22T00:52:51.3Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,26,17,2021-12-22T00:52:57Z,1170000,,,0,,K. Lowry bad pass TURNOVER (2 TO),"[200768, 1629052]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,2.0,,,,,,,,Brissett,1629052.0
118,PT02M28.00S,2021-12-22T00:52:51.3Z,1,REGULAR,steal,,[],1629052,,,1610612754,26,17,2021-12-22T00:57:16Z,1180000,,,0,,O. Brissett STEAL (1 STL),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M24.00S,2021-12-22T00:53:05.5Z,1,REGULAR,foul,personal,['2freethrow'],1630209,,,1610612754,26,17,2021-12-22T00:53:15Z,1190000,,,0,,O. Yurtseven shooting personal FOUL (1 PF) (Duarte 2 FT),"[1630209, 1630537]",1610612748.0,MIA,shooting,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Duarte,1630537.0,,,,
121,PT02M24.00S,2021-12-22T00:53:26.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630537,,,1610612754,26,17,2021-12-22T00:53:26Z,1210000,,,0,,MISS C. Duarte Free Throw 1 of 2,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Missed,,,,,,,,,,,,,,,,,,
122,PT02M24.00S,2021-12-22T00:53:26.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,26,17,2021-12-22T00:53:26Z,1220000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,
123,PT02M24.00S,2021-12-22T00:53:46.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630537,,,1610612754,26,18,2021-12-22T00:53:46Z,1230000,,,0,,C. Duarte Free Throw 2 of 2 (1 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
124,PT01M59.00S,2021-12-22T00:54:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629644,6.1268068331143235,38.48039215686275,1610612748,28,18,2021-12-22T00:54:32Z,1240000,58.0,5.0,1,left,K. Okpala cutting Layup (7 PTS) (D. Robinson 1 AST),"[1629644, 1629130]",1610612748.0,MIA,cutting,,,Okpala,K. Okpala,,,,,5.78,Made,7.0,,,,,D. Robinson,1629130.0,1.0,,,,,,,,,,
126,PT01M48.00S,2021-12-22T00:54:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,94.43166885676742,47.05882352941176,1610612754,28,20,2021-12-22T00:54:28Z,1260000,-15.0,0.0,1,right,O. Brissett reverse Layup (2 PTS) (B. Wanamaker 1 AST),"[1629052, 202954]",1610612754.0,IND,reverse,,,Brissett,O. Brissett,,,,,1.47,Made,2.0,,,,,B. Wanamaker,202954.0,1.0,,,,,,,,,,
128,PT01M41.00S,2021-12-22T00:54:34.3Z,1,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612748,28,20,2021-12-22T00:54:42Z,1280000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Herro 2 FT),"[1629052, 1629639]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Herro,1629639.0,,,,
130,PT01M41.00S,2021-12-22T00:54:56.7Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,29,20,2021-12-22T00:54:56Z,1300000,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
131,PT01M41.00S,2021-12-22T00:54:57.4Z,1,REGULAR,substitution,out,[],200768,,,1610612748,29,20,2021-12-22T00:55:08Z,1310000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M41.00S,2021-12-22T00:54:57.4Z,1,REGULAR,substitution,out,[],1630209,,,1610612748,29,20,2021-12-22T00:55:08Z,1320000,,,0,,SUB out: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M41.00S,2021-12-22T00:54:57.4Z,1,REGULAR,substitution,out,[],1627747,,,1610612748,29,20,2021-12-22T00:55:08Z,1330000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M41.00S,2021-12-22T00:54:57.4Z,1,REGULAR,substitution,in,[],203473,,,1610612748,29,20,2021-12-22T00:55:08Z,1340000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M41.00S,2021-12-22T00:54:57.4Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,29,20,2021-12-22T00:55:08Z,1350000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M41.00S,2021-12-22T00:54:57.4Z,1,REGULAR,substitution,in,[],203087,,,1610612748,29,20,2021-12-22T00:55:08Z,1360000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M41.00S,2021-12-22T00:55:19.0Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,30,20,2021-12-22T00:55:19Z,1370000,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
138,PT01M28.00S,2021-12-22T00:55:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630537,94.56307490144546,3.6764705882352944,1610612754,30,20,2021-12-22T00:55:40Z,1380000,-232.0,-1.0,1,right,MISS C. Duarte 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,23.16,Missed,,,,,,,,,,,,,,,,,,
139,PT01M26.00S,2021-12-22T00:55:37.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,30,20,2021-12-22T00:55:40Z,1390000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,
140,PT01M20.00S,2021-12-22T00:55:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.440867279894875,52.69607843137255,1610612748,30,20,2021-12-22T00:55:48Z,1400000,-13.0,17.0,1,left,MISS T. Herro driving Layup - blocked,"[1629639, 1629052]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,2.2,Missed,,,,,,,,,,,,,,,Brissett,1629052.0,,
141,PT01M20.00S,2021-12-22T00:55:44.3Z,1,REGULAR,block,,[],1629052,,,1610612748,30,20,2021-12-22T00:55:46Z,1410000,,,0,,O. Brissett BLOCK (1 BLK),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M17.00S,2021-12-22T00:55:47.3Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,30,20,2021-12-22T00:55:48Z,1420000,,,0,,D. Dedmon REBOUND (Off:2 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,140.0,4.0,2.0,2.0,,,,,,,,,,,,,
143,PT01M16.00S,2021-12-22T00:55:48.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203473,9.149145860709593,44.85294117647059,1610612748,30,20,2021-12-22T00:55:53Z,1430000,26.0,34.0,1,left,MISS D. Dedmon Hook,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,4.22,Missed,,,,,,,,,,,,,,,,,,
144,PT01M13.00S,2021-12-22T00:55:51.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,30,20,2021-12-22T00:55:51Z,1440000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,
145,PT01M00.00S,2021-12-22T00:56:04.9Z,1,REGULAR,3pt,Jump Shot,[],1627734,68.41327201051249,29.901960784313726,1610612754,30,20,2021-12-22T00:56:11Z,1450000,-100.0,244.0,1,right,MISS D. Sabonis 26' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,
146,PT00M56.70S,2021-12-22T00:56:08.2Z,1,REGULAR,rebound,defensive,[],1629644,,,1610612748,30,20,2021-12-22T00:56:11Z,1460000,,,0,,K. Okpala REBOUND (Off:0 Def:1),[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,,,,
147,PT00M45.00S,2021-12-22T00:56:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629216,11.908672798948752,96.32352941176471,1610612748,30,20,2021-12-22T00:56:25Z,1470000,-232.0,59.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,23.91,Missed,,,,,,,,,,,,,,,,,,
148,PT00M41.20S,2021-12-22T00:56:24.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,30,20,2021-12-22T00:56:25Z,1480000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,
149,PT00M34.60S,2021-12-22T00:56:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202954,93.11760840998686,46.07843137254902,1610612754,30,20,2021-12-22T00:56:37Z,1490000,-20.0,12.0,1,right,MISS B. Wanamaker driving Layup - blocked,"[202954, 203473]",1610612754.0,IND,driving,,,Wanamaker,B. Wanamaker,,,,,2.31,Missed,,,,,,,,,,,,,,,Dedmon,203473.0,,
150,PT00M34.60S,2021-12-22T00:56:30.6Z,1,REGULAR,block,,[],203473,,,1610612754,30,20,2021-12-22T00:56:34Z,1500000,,,0,,D. Dedmon BLOCK (1 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M30.00S,2021-12-22T00:56:35.2Z,1,REGULAR,rebound,offensive,[],203087,,,1610612754,30,20,2021-12-22T00:56:35Z,1510000,,,0,,J. Lamb REBOUND (Off:1 Def:0),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,149.0,1.0,0.0,1.0,,,,,,,,,,,,,
152,PT00M20.20S,2021-12-22T00:56:45.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,92.72339027595268,51.71568627450981,1610612754,30,20,2021-12-22T00:56:52Z,1520000,9.0,16.0,1,right,MISS D. Sabonis driving Layup,[1627734],1610612754.0,IND,driving,,,Sabonis,D. Sabonis,,,,,1.81,Missed,,,,,,,,,,,,,,,,,,
153,PT00M19.70S,2021-12-22T00:56:45.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,30,20,2021-12-22T00:56:52Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,152.0,,,,,,,,,,,,,,,,
154,PT00M19.70S,2021-12-22T00:56:52.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629130,,,1610612754,30,20,2021-12-22T00:57:18Z,1540000,,,0,,D. Robinson loose ball personal FOUL (1 PF) (Sabonis 2 FT),"[1629130, 1627734]",1610612748.0,MIA,loose ball,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Sabonis,1627734.0,,,,
156,PT00M19.70S,2021-12-22T00:57:18.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627734,,,1610612754,30,20,2021-12-22T00:57:18Z,1560000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT00M19.70S,2021-12-22T00:57:18.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,30,20,2021-12-22T00:57:18Z,1570000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,
158,PT00M19.70S,2021-12-22T00:57:19.4Z,1,REGULAR,substitution,out,[],1629644,,,1610612754,30,20,2021-12-22T00:57:23Z,1580000,,,0,,SUB out: K. Okpala,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M19.70S,2021-12-22T00:57:19.4Z,1,REGULAR,substitution,in,[],1629622,,,1610612754,30,20,2021-12-22T00:57:23Z,1590000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M19.70S,2021-12-22T00:57:38.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627734,,,1610612754,30,21,2021-12-22T00:57:38Z,1600000,,,0,,D. Sabonis Free Throw 2 of 2 (7 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
161,PT00M03.50S,2021-12-22T00:57:56.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,27.808804204993432,15.196078431372548,1610612748,33,21,2021-12-22T00:58:02Z,1610000,174.0,209.0,1,left,M. Strus 27' 3PT  (6 PTS) (T. Herro 3 AST),"[1629622, 1629639]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,27.19,Made,6.0,,,,,T. Herro,1629639.0,3.0,,,,,,,,,,
163,PT00M00.40S,2021-12-22T00:58:06.5Z,1,REGULAR,turnover,out-of-bounds,[],1630537,,,1610612754,33,21,2021-12-22T00:58:13Z,1630000,,,0,,C. Duarte step out-of-bounds TURNOVER (1 TO),[1630537],1610612754.0,IND,step,,,Duarte,C. Duarte,,,,,,,,,,,,,,,1.0,202007.0,,,,,,,,
164,PT00M00.00S,2021-12-22T00:58:29.9Z,1,REGULAR,period,end,[],0,,,1610612748,33,21,2021-12-22T00:58:29Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-12-22T00:58:47.4Z,2,REGULAR,substitution,out,['startperiod'],1629130,,,1610612748,33,21,2021-12-22T01:01:58Z,1650000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-12-22T00:58:47.4Z,2,REGULAR,substitution,out,['startperiod'],1629052,,,1610612748,33,21,2021-12-22T01:01:58Z,1660000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-12-22T00:58:47.4Z,2,REGULAR,substitution,in,['startperiod'],1630585,,,1610612748,33,21,2021-12-22T01:01:58Z,1670000,,,0,,SUB in: M. Garrett,[1630585],1610612748.0,MIA,,,,Garrett,M. Garrett,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-12-22T00:58:47.4Z,2,REGULAR,substitution,in,['startperiod'],1628470,,,1610612748,33,21,2021-12-22T01:01:58Z,1680000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-12-22T01:02:02.2Z,2,REGULAR,period,start,[],0,,,1610612748,33,21,2021-12-22T01:02:02Z,1690000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M34.00S,2021-12-22T01:02:27.4Z,2,REGULAR,2pt,Jump Shot,[],1629639,5.863994743758213,86.51960784313727,1610612748,33,21,2021-12-22T01:02:32Z,1700000,-183.0,3.0,1,left,MISS T. Herro 18' step back Shot,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,18.26,Missed,,,,,,,,,,,,,,,,,,
171,PT11M30.00S,2021-12-22T01:02:30.9Z,2,REGULAR,rebound,offensive,[],203473,,,1610612748,33,21,2021-12-22T01:02:30Z,1710000,,,0,,D. Dedmon REBOUND (Off:3 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,170.0,5.0,2.0,3.0,,,,,,,,,,,,,
172,PT11M29.00S,2021-12-22T01:02:32.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,22.946780551905388,89.95098039215686,1610612748,33,21,2021-12-22T01:02:39Z,1720000,-200.0,163.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
173,PT11M23.00S,2021-12-22T01:02:38.6Z,2,REGULAR,rebound,offensive,[],1629622,,,1610612748,33,21,2021-12-22T01:02:39Z,1730000,,,0,,M. Strus REBOUND (Off:1 Def:0),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,172.0,1.0,0.0,1.0,,,,,,,,,,,,,
174,PT11M23.00S,2021-12-22T01:02:37.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629622,5.590000152587891,50.0,1610612748,35,21,2021-12-22T01:02:37Z,1740000,0.0,0.0,1,left,M. Strus tip Layup (8 PTS),[1629622],1610612748.0,MIA,tip,,,Strus,M. Strus,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,
176,PT11M02.00S,2021-12-22T01:03:07.7Z,2,REGULAR,foul,personal,['3freethrow'],1629639,,,1610612754,35,21,2021-12-22T01:03:18Z,1760000,,,0,,T. Herro shooting personal FOUL (1 PF) (Duarte 3 FT),"[1629639, 1630537]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Duarte,1630537.0,,,,
178,PT11M02.00S,2021-12-22T01:03:29.2Z,2,REGULAR,freethrow,1 of 3,[],1630537,,,1610612754,35,22,2021-12-22T01:03:29Z,1780000,,,0,,C. Duarte Free Throw 1 of 3 (2 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
179,PT11M02.00S,2021-12-22T01:03:44.6Z,2,REGULAR,freethrow,2 of 3,[],1630537,,,1610612754,35,23,2021-12-22T01:03:44Z,1790000,,,0,,C. Duarte Free Throw 2 of 3 (3 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
180,PT11M02.00S,2021-12-22T01:03:56.7Z,2,REGULAR,freethrow,3 of 3,[],1630537,,,1610612754,35,24,2021-12-22T01:03:56Z,1800000,,,0,,C. Duarte Free Throw 3 of 3 (4 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
181,PT10M46.00S,2021-12-22T01:04:13.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629639,6.389618922470433,50.245098039215684,1610612748,37,24,2021-12-22T01:04:17Z,1810000,-1.0,8.0,1,left,T. Herro driving DUNK (4 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,0.77,Made,4.0,,,,,,,,,,,,,,,,,
