actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
84,PT05M36.00S,2024-01-24T01:23:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,9.674770039421814,49.754901960784316,1610612740,19,16,2024-01-24T01:23:20Z,820000,False,1.0,38.0,1,left,MISS C. McCollum driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,3.84,Missed,,,,,,,,,,,,,,,,,,
85,PT05M35.00S,2024-01-24T01:23:13.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,19,16,2024-01-24T01:23:20Z,830000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,
86,PT05M33.00S,2024-01-24T01:23:16.0Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612762,19,16,2024-01-24T01:23:28Z,840000,False,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 203468]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,,,,,,,,McCollum,203468.0
87,PT05M33.00S,2024-01-24T01:23:16.0Z,1,REGULAR,steal,,[],203468,,,1610612740,19,16,2024-01-24T01:23:18Z,850000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
88,PT05M29.00S,2024-01-24T01:23:19.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,8.360709592641262,4.166666666666666,1610612740,19,16,2024-01-24T01:23:31Z,860000,False,229.0,26.0,1,left,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,23.07,Missed,,,,,,,,,,,,,,,,,,
89,PT05M26.00S,2024-01-24T01:23:22.3Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,19,16,2024-01-24T01:23:22Z,870000,False,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,88.0,2.0,1.0,1.0,,,,,,,,,,,,,,
90,PT05M25.00S,2024-01-24T01:23:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627742,6.652431011826544,47.794117647058826,1610612740,21,16,2024-01-24T01:24:10Z,880000,False,11.0,10.0,1,left,B. Ingram putback Layup (4 PTS),[1627742],1610612740.0,NOP,putback,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,4.0,,,,,,,,,,,
91,PT05M12.00S,2024-01-24T01:23:37.1Z,1,REGULAR,3pt,Jump Shot,[],1631323,75.90341655716163,11.27450980392157,1610612762,21,19,2024-01-24T01:23:43Z,890000,False,-194.0,174.0,1,right,S. Fontecchio 26' 3PT  (6 PTS) (C. Sexton 1 AST),"[1631323, 1629012]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,26.03,Made,,,,,,,6.0,,,C. Sexton,1629012.0,1.0,,,,,,
93,PT04M59.00S,2024-01-24T01:23:49.0Z,1,REGULAR,3pt,Jump Shot,[],203468,28.86005256241787,76.47058823529412,1610612740,24,19,2024-01-24T01:24:32Z,910000,False,-132.0,219.0,1,left,C. McCollum 25' 3PT pullup (8 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.57,Made,,,,,,,8.0,,,,,,,,,,,
94,PT04M42.00S,2024-01-24T01:24:05.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,96.00854139290408,3.9215686274509802,1610612762,24,19,2024-01-24T01:24:10Z,920000,False,-230.0,-15.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.09,Missed,,,,,,,,,,,,,,,,,,
95,PT04M40.00S,2024-01-24T01:24:07.8Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,24,19,2024-01-24T01:24:10Z,930000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Left Corner 3,24+ Left,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT04M29.00S,2024-01-24T01:24:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,16.770696452036795,49.01960784313725,1610612740,24,19,2024-01-24T01:24:24Z,940000,False,5.0,105.0,1,left,MISS B. Ingram 10' step back Shot,[1627742],1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
97,PT04M26.00S,2024-01-24T01:24:22.3Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,24,19,2024-01-24T01:24:24Z,950000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT04M22.00S,2024-01-24T01:24:26.5Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,24,19,2024-01-24T01:24:30Z,960000,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1626204]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,,Nance Jr.,1626204.0
99,PT04M22.00S,2024-01-24T01:24:26.5Z,1,REGULAR,steal,,[],1626204,,,1610612740,24,19,2024-01-24T01:24:27Z,970000,False,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
100,PT04M19.00S,2024-01-24T01:24:29.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,23.73521681997372,12.990196078431374,1610612740,24,19,2024-01-24T01:25:45Z,980000,False,185.0,171.0,1,left,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
101,PT04M16.00S,2024-01-24T01:24:32.8Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,24,19,2024-01-24T01:25:45Z,990000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,100.0,1.0,0.0,1.0,,,,,,,,,,,,,,
102,PT04M14.00S,2024-01-24T01:24:34.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203468,29.911300919842315,74.26470588235294,1610612740,27,19,2024-01-24T01:24:39Z,1000000,False,-121.0,229.0,1,left,C. McCollum 25' 3PT  (11 PTS) (H. Jones 2 AST),"[203468, 1630529]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.89,Made,,,,,,,11.0,,,H. Jones,1630529.0,2.0,,,,,,
104,PT04M13.00S,2024-01-24T01:24:46.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,27,19,2024-01-24T01:24:46Z,1020000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M13.00S,2024-01-24T01:26:59.8Z,1,REGULAR,substitution,out,[],1630529,,,1610612762,27,19,2024-01-24T01:27:15Z,1030000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M13.00S,2024-01-24T01:26:59.8Z,1,REGULAR,substitution,in,[],1630230,,,1610612762,27,19,2024-01-24T01:27:15Z,1040000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M55.00S,2024-01-24T01:27:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,92.46057818659659,49.26470588235294,1610612762,27,19,2024-01-24T01:27:56Z,1050000,False,-4.0,18.0,1,right,MISS L. Markkanen Layup,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,,
108,PT03M50.00S,2024-01-24T01:27:52.8Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,27,19,2024-01-24T01:37:58Z,1060000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,107.0,2.0,2.0,0.0,,,,,,,,,,,,,,
111,PT03M40.00S,2024-01-24T01:28:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,6.258212877792378,53.431372549019606,1610612740,27,19,2024-01-24T01:28:06Z,1090000,False,-17.0,6.0,1,left,MISS C. McCollum Layup,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.83,Missed,,,,,,,,,,,,,,,,,,
112,PT03M38.00S,2024-01-24T01:28:04.6Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,27,19,2024-01-24T01:28:06Z,1100000,False,,,0,,C. Sexton REBOUND (Off:0 Def:2),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,111.0,2.0,2.0,0.0,,,,,,,,,,,,,,
113,PT03M34.00S,2024-01-24T01:28:09.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,95.22010512483574,3.6764705882352944,1610612762,27,19,2024-01-24T01:29:25Z,1110000,False,-232.0,-8.0,1,right,MISS L. Markkanen running 3PT,[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
114,PT03M31.00S,2024-01-24T01:28:12.1Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,27,19,2024-01-24T01:28:20Z,1120000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:3),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Left Corner 3,24+ Left,,,113.0,3.0,3.0,0.0,,,,,,,,,,,,,,
115,PT03M16.00S,2024-01-24T01:28:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,5.863994743758213,53.431372549019606,1610612740,29,19,2024-01-24T01:28:35Z,1130000,False,-17.0,3.0,1,left,B. Ingram driving Layup (6 PTS),[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,,,6.0,,,,,,,,,,,
116,PT02M59.00S,2024-01-24T01:28:49.1Z,1,REGULAR,foul,personal,[],203468,,,1610612762,29,19,2024-01-24T01:29:01Z,1140000,False,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 1628374]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,2534.0,,,,,1.0,0.0,Markkanen,1628374.0,,
118,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,out,[],203468,,,1610612762,29,19,2024-01-24T01:29:11Z,1160000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,out,[],1627742,,,1610612762,29,19,2024-01-24T01:29:11Z,1170000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,out,[],1629012,,,1610612762,29,19,2024-01-24T01:29:11Z,1180000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,out,[],1631323,,,1610612762,29,19,2024-01-24T01:29:11Z,1190000,False,,,0,,SUB out: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,29,19,2024-01-24T01:29:11Z,1200000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,in,[],1629627,,,1610612762,29,19,2024-01-24T01:29:11Z,1210000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,in,[],1641722,,,1610612762,29,19,2024-01-24T01:29:11Z,1220000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,in,[],1630534,,,1610612762,29,19,2024-01-24T01:29:11Z,1230000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,in,[],203482,,,1610612762,29,19,2024-01-24T01:29:11Z,1240000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M59.00S,2024-01-24T01:28:56.8Z,1,REGULAR,substitution,in,[],1641718,,,1610612762,29,19,2024-01-24T01:29:11Z,1250000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M45.00S,2024-01-24T01:29:29.4Z,1,REGULAR,2pt,Jump Shot,[],203903,81.42247043363994,76.22549019607843,1610612762,29,21,2024-01-24T01:29:39Z,1260000,False,131.0,122.0,1,right,J. Clarkson 17' pullup Jump Shot (2 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Right Center,17.92,Made,,,,,,,2.0,,,,,,,,,,,
130,PT02M31.00S,2024-01-24T01:29:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.1268068331143235,54.41176470588235,1610612740,29,21,2024-01-24T01:29:51Z,1280000,False,-22.0,5.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
131,PT02M29.00S,2024-01-24T01:29:46.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,29,21,2024-01-24T01:29:51Z,1290000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,130.0,,,,,,,,,,,,,,,,,
133,PT02M14.00S,2024-01-24T01:30:27.8Z,1,REGULAR,foul,personal,['3freethrow'],1641722,,,1610612762,29,21,2024-01-24T01:30:45Z,1310000,False,,,0,,J. Hawkins shooting personal FOUL (1 PF) (George 3 FT),"[1641722, 1641718]",1610612740.0,NOP,shooting,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,2534.0,,,,,1.0,0.0,George,1641718.0,,
135,PT02M14.00S,2024-01-24T01:31:03.3Z,1,REGULAR,freethrow,1 of 3,[],1641718,,,1610612762,29,22,2024-01-24T01:31:43Z,1330000,False,,,0,,K. George Free Throw 1 of 3 (1 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
136,PT02M14.00S,2024-01-24T01:31:03.3Z,1,REGULAR,freethrow,2 of 3,[],1641718,,,1610612762,29,23,2024-01-24T01:31:43Z,1340000,False,,,0,,K. George Free Throw 2 of 3 (2 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
137,PT02M14.00S,2024-01-24T01:31:03.3Z,1,REGULAR,freethrow,3 of 3,[],1641718,,,1610612762,29,23,2024-01-24T01:31:43Z,1350000,False,,,0,,MISS K. George Free Throw 3 of 3,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
138,PT02M12.00S,2024-01-24T01:31:05.3Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,29,23,2024-01-24T01:31:43Z,1360000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:4),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,137.0,4.0,4.0,0.0,,,,,,,,,,,,,,
139,PT01M58.00S,2024-01-24T01:31:53.9Z,1,REGULAR,3pt,Jump Shot,[],1630530,6.521024967148489,4.901960784313726,1610612740,29,23,2024-01-24T01:31:59Z,1370000,False,225.0,9.0,1,left,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,22.57,Missed,,,,,,,,,,,,,,,,,,
140,PT01M53.00S,2024-01-24T01:31:58.9Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,29,23,2024-01-24T01:31:59Z,1380000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Right Corner 3,24+ Right,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT01M44.00S,2024-01-24T01:32:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,93.77463863337714,49.50980392156863,1610612762,29,25,2024-01-24T01:32:11Z,1390000,False,-2.0,6.0,1,right,W. Kessler alley-oop DUNK (2 PTS) (K. Olynyk 1 AST),"[1631117, 203482]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,,,2.0,,,K. Olynyk,203482.0,1.0,,,,,,
150,PT01M44.00S,2024-01-24T01:32:19.0Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,29,25,2024-01-24T01:33:35Z,1410000,False,,,0,,Z. Williamson lost ball TURNOVER (1 TO),"[1629627, 1641718]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,George,1641718.0
161,PT01M44.00S,2024-01-24T01:32:19.0Z,1,REGULAR,steal,,[],1641718,,,1610612762,29,25,2024-01-24T01:35:37Z,1415000,False,,,0,,K. George STEAL (1 STL),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
144,PT01M20.00S,2024-01-24T01:32:31.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641718,72.7496714848883,19.362745098039216,1610612762,29,25,2024-01-24T01:34:31Z,1420000,False,-153.0,204.0,1,right,MISS K. George 25' running 3PT,[1641718],1610612762.0,UTA,running,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
145,PT01M20.00S,2024-01-24T01:32:31.4Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,29,25,2024-01-24T01:32:46Z,1430000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,
146,PT01M04.00S,2024-01-24T01:32:50.5Z,1,REGULAR,foul,offensive,[],1630230,,,1610612740,29,25,2024-01-24T01:33:00Z,1440000,False,,,0,,N. Marshall charge offensive FOUL (1 PF),"[1630230, 1641718]",1610612740.0,NOP,charge,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,George,1641718.0,,
148,PT01M04.00S,2024-01-24T01:32:50.5Z,1,REGULAR,turnover,offensive foul,[],1630230,,,1610612740,29,25,2024-01-24T01:32:50Z,1460000,False,,,0,,N. Marshall offensive foul TURNOVER (1 TO),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1628954.0,1.0,,,,,,,,,
149,PT00M48.40S,2024-01-24T01:33:31.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203482,82.9993429697766,42.15686274509804,1610612762,29,27,2024-01-24T02:12:38Z,1470000,False,-39.0,107.0,1,right,K. Olynyk 11' turnaround fadeaway Jump Shot (2 PTS) (J. Clarkson 1 AST),"[203482, 203903]",1610612762.0,UTA,turnaround fadeaway,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,11.42,Made,,,,,,,2.0,,,J. Clarkson,203903.0,1.0,,,,,,
152,PT00M48.40S,2024-01-24T01:33:37.7Z,1,REGULAR,foul,personal,['1freethrow'],1626204,,,1610612762,29,27,2024-01-24T01:33:46Z,1490000,False,,,0,,L. Nance Jr. shooting personal FOUL (1 PF) (Olynyk 1 FT),"[1626204, 203482]",1610612740.0,NOP,shooting,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,Olynyk,203482.0,,
154,PT00M48.40S,2024-01-24T01:33:47.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203482,,,1610612762,29,28,2024-01-24T01:33:47Z,1510000,False,,,0,,K. Olynyk Free Throw 1 of 1 (3 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
155,PT00M30.80S,2024-01-24T01:34:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,5.863994743758213,47.30392156862745,1610612740,31,28,2024-01-24T01:34:13Z,1520000,False,13.0,3.0,1,left,T. Murphy III driving reverse Layup (2 PTS) (L. Nance Jr. 1 AST),"[1630530, 1626204]",1610612740.0,NOP,driving reverse,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.37,Made,,,,,,,2.0,,,L. Nance Jr.,1626204.0,1.0,,,,,,
156,PT00M14.90S,2024-01-24T01:34:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,91.67214191852825,49.01960784313725,1610612762,31,30,2024-01-24T01:34:29Z,1530000,False,-5.0,26.0,1,right,K. Olynyk driving Layup (5 PTS) (K. George 1 AST),"[203482, 1641718]",1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,2.63,Made,,,,,,,5.0,,,K. George,1641718.0,1.0,,,,,,
157,PT00M02.90S,2024-01-24T01:34:41.7Z,1,REGULAR,3pt,Jump Shot,[],1626204,29.38567674113009,21.568627450980394,1610612740,34,30,2024-01-24T01:34:46Z,1540000,False,142.0,224.0,1,left,L. Nance Jr. 26' 3PT  (3 PTS) (Z. Williamson 4 AST),"[1626204, 1629627]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,26.51,Made,,,,,,,3.0,,,Z. Williamson,1629627.0,4.0,,,,,,
160,PT00M00.00S,2024-01-24T01:34:53.6Z,1,REGULAR,period,end,[],0,,,1610612762,34,30,2024-01-24T01:34:53Z,1560000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-01-24T01:36:59.4Z,2,REGULAR,substitution,out,['startperiod'],1630230,,,1610612762,34,30,2024-01-24T01:37:24Z,1570000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-01-24T01:36:59.4Z,2,REGULAR,substitution,out,['startperiod'],1626204,,,1610612762,34,30,2024-01-24T01:37:24Z,1580000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2024-01-24T01:36:59.4Z,2,REGULAR,substitution,out,['startperiod'],1630530,,,1610612762,34,30,2024-01-24T01:37:24Z,1590000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-01-24T01:36:59.4Z,2,REGULAR,substitution,in,['startperiod'],203468,,,1610612762,34,30,2024-01-24T01:37:24Z,1600000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-01-24T01:36:59.4Z,2,REGULAR,substitution,in,['startperiod'],1630700,,,1610612762,34,30,2024-01-24T01:37:24Z,1610000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2024-01-24T01:36:59.4Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612762,34,30,2024-01-24T01:37:24Z,1620000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-01-24T01:37:33.6Z,2,REGULAR,period,start,[],0,,,1610612762,34,30,2024-01-24T01:37:33Z,1630000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M47.00S,2024-01-24T01:37:46.3Z,2,REGULAR,3pt,Jump Shot,[],203903,74.98357424441524,12.009803921568627,1610612762,34,30,2024-01-24T01:37:53Z,1640000,False,-190.0,183.0,1,right,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
