actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
57,PT07M46.00S,2024-02-15T01:16:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.03745072273325,51.9607843137255,1610612740,8,5,2024-02-15T01:16:45Z,570000,False,10.0,4.0,1,right,H. Jones driving Layup (2 PTS) (J. Valanciunas 1 AST),"[1630529, 202685]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,2.0,,,,,,,,,,,J. Valanciunas,202685.0,1.0
59,PT07M38.00S,2024-02-15T01:16:49.4Z,1,REGULAR,3pt,Jump Shot,[],1630166,27.808804204993432,77.45098039215686,1610612764,8,5,2024-02-15T01:17:00Z,590000,False,-137.0,209.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
60,PT07M35.00S,2024-02-15T01:16:58.1Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,8,5,2024-02-15T01:16:58Z,600000,False,,,0,,M. Bagley III REBOUND (Off:3 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Left Center,,,59.0,3.0,0.0,3.0,,,,,,,,,,,,,,
61,PT07M35.00S,2024-02-15T01:16:59.9Z,1,REGULAR,foul,personal,[],202685,,,1610612764,8,5,2024-02-15T01:17:06Z,610000,False,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 1628963]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,
63,PT07M27.00S,2024-02-15T01:17:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,6.258212877792378,44.6078431372549,1610612764,8,7,2024-02-15T01:17:27Z,630000,False,27.0,6.0,1,left,D. Avdija driving Layup (5 PTS) (M. Bagley III 1 AST),"[1630166, 1628963]",1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.77,Made,,,,,5.0,,,,,,,,,,,M. Bagley III,1628963.0,1.0
65,PT07M19.00S,2024-02-15T01:17:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612740,8,7,2024-02-15T01:17:43Z,650000,False,,,0,,J. Poole shooting personal FOUL (2 PF) (Williamson 2 FT),"[1629673, 1629627]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,2.0,0.0,Williamson,1629627.0,,,,,,,,
67,PT07M19.00S,2024-02-15T01:18:02.5Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,8,7,2024-02-15T01:18:02Z,670000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
68,PT07M19.00S,2024-02-15T01:18:02.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,8,7,2024-02-15T01:18:02Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,
69,PT07M19.00S,2024-02-15T01:18:25.3Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,9,7,2024-02-15T01:18:25Z,690000,False,,,0,,Z. Williamson Free Throw 2 of 2 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
70,PT07M03.00S,2024-02-15T01:18:43.8Z,1,REGULAR,3pt,Jump Shot,[],1641731,9.411957950065702,1.9607843137254901,1610612764,9,7,2024-02-15T01:18:47Z,700000,False,240.0,36.0,1,left,MISS B. Coulibaly 24' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,24.29,Missed,,,,,,,,,,,,,,,,,,
