actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
54,PT07M08.00S,2024-01-27T01:18:37.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,8,9,2024-01-27T01:18:37Z,540000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,53.0,2.0,0.0,2.0,,,,,,,,,,,,
56,PT07M00.00S,2024-01-27T01:18:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,91.14651773981603,46.568627450980394,1610612740,8,9,2024-01-27T01:18:53Z,560000,False,-17.0,31.0,1,right,MISS J. Valanciunas Layup - blocked,"[202685, 1629652]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.52,Missed,Dort,1629652.0,,,,,,,,,,,,,,,,
57,PT07M00.00S,2024-01-27T01:18:45.5Z,1,REGULAR,block,,[],1629652,,,1610612740,8,9,2024-01-27T01:27:51Z,570000,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M00.00S,2024-01-27T01:18:45.5Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,8,9,2024-01-27T01:18:50Z,580000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,
59,PT06M57.00S,2024-01-27T01:18:48.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630581,30.831143232588698,39.950980392156865,1610612760,8,9,2024-01-27T01:19:08Z,590000,False,50.0,237.0,1,left,MISS J. Giddey 24' running 3PT,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,24.26,Missed,,,,,,,,,,,,,,,,,,
60,PT06M57.00S,2024-01-27T01:18:48.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,9,2024-01-27T01:19:08Z,600000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,59.0,3.0,1.0,2.0,,,,,,,,,,,,
62,PT06M52.00S,2024-01-27T01:19:00.4Z,1,REGULAR,substitution,out,[],202685,,,1610612740,8,9,2024-01-27T01:19:03Z,620000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M52.00S,2024-01-27T01:19:00.4Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,8,9,2024-01-27T01:19:03Z,630000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M52.00S,2024-01-27T01:19:00.4Z,1,REGULAR,substitution,out,[],1631096,,,1610612740,8,9,2024-01-27T01:19:12Z,640000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M52.00S,2024-01-27T01:19:00.4Z,1,REGULAR,substitution,in,[],1629026,,,1610612740,8,9,2024-01-27T01:19:12Z,650000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
