actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
84,PT04M28.00S,2023-11-30T01:23:34.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628964,5.590000152587891,50.0,1610612755,27,13,2023-11-30T01:26:30Z,830000,False,0.0,0.0,1,left,M. Bamba tip DUNK (2 PTS),[1628964],1610612755.0,PHI,tip,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
85,PT04M23.00S,2023-11-30T01:23:54.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,27,13,2023-11-30T01:23:54Z,840000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,27,13,2023-11-30T01:26:15Z,850000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,out,[],203468,,,1610612740,27,13,2023-11-30T01:26:15Z,860000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,out,[],1630178,,,1610612740,27,13,2023-11-30T01:26:15Z,870000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,out,[],202699,,,1610612740,27,13,2023-11-30T01:26:15Z,880000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,out,[],201587,,,1610612740,27,13,2023-11-30T01:26:15Z,890000,False,,,0,,SUB out: N. Batum,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,27,13,2023-11-30T01:26:15Z,900000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,27,13,2023-11-30T01:26:15Z,910000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,in,[],203496,,,1610612740,27,13,2023-11-30T01:26:15Z,920000,False,,,0,,SUB in: R. Covington,[203496],1610612755.0,PHI,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,in,[],201976,,,1610612740,27,13,2023-11-30T01:26:15Z,930000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M23.00S,2023-11-30T01:25:45.3Z,1,REGULAR,substitution,in,[],202694,,,1610612740,27,13,2023-11-30T01:26:15Z,940000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M09.00S,2023-11-30T01:26:49.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,91.80354796320631,52.94117647058824,1610612740,29,13,2023-11-30T01:26:54Z,950000,False,15.0,25.0,1,right,J. Valanciunas turnaround Hook (10 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.86,Made,10.0,,,,,,,,,H. Jones,1630529.0,1.0,,,,,,
98,PT03M50.00S,2023-11-30T01:27:08.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201976,7.046649145860711,58.82352941176471,1610612755,29,15,2023-11-30T01:27:14Z,970000,False,-44.0,14.0,1,left,P. Beverley turnaround Hook (2 PTS),[201976],1610612755.0,PHI,turnaround,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,2.0,,,,,,,,,,,,,,,,,
99,PT03M39.00S,2023-11-30T01:27:18.9Z,1,REGULAR,3pt,Jump Shot,[],1641722,74.45795006570303,13.725490196078432,1610612740,29,15,2023-11-30T01:28:03Z,980000,False,-181.0,188.0,1,right,MISS J. Hawkins 26' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
100,PT03M36.00S,2023-11-30T01:27:21.9Z,1,REGULAR,rebound,defensive,[],203496,,,1610612755,29,15,2023-11-30T01:27:25Z,990000,False,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612755.0,PHI,,,,Covington,R. Covington,,,,,Above the Break 3,24+ Left Center,,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,
101,PT03M32.00S,2023-11-30T01:27:31.8Z,1,REGULAR,foul,offensive,[],1628964,,,1610612755,29,15,2023-11-30T01:27:39Z,1000000,False,,,0,,M. Bamba off-the-ball offensive FOUL (1 PF),"[1628964, 202685]",1610612755.0,PHI,off-the-ball,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Valanciunas,202685.0,,
103,PT03M32.00S,2023-11-30T01:27:31.8Z,1,REGULAR,turnover,offensive foul,[],1628964,,,1610612755,29,15,2023-11-30T01:27:31Z,1020000,False,,,0,,M. Bamba offensive foul TURNOVER (1 TO),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,1155.0,,,,,,,,,
104,PT03M32.00S,2023-11-30T01:27:38.5Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,29,15,2023-11-30T01:27:47Z,1030000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M32.00S,2023-11-30T01:27:38.5Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,29,15,2023-11-30T01:27:47Z,1040000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M18.00S,2023-11-30T01:28:06.8Z,1,REGULAR,foul,personal,[],1628964,,,1610612740,29,15,2023-11-30T01:28:13Z,1050000,False,,,0,,M. Bamba personal FOUL (2 PF),"[1628964, 202685]",1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,,,,2.0,0.0,Valanciunas,202685.0,,
108,PT03M18.00S,2023-11-30T01:28:14.7Z,1,REGULAR,substitution,out,[],1628964,,,1610612740,29,15,2023-11-30T01:28:21Z,1070000,False,,,0,,SUB out: M. Bamba,[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M18.00S,2023-11-30T01:28:14.7Z,1,REGULAR,substitution,in,[],1630194,,,1610612740,29,15,2023-11-30T01:28:21Z,1080000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M03.00S,2023-11-30T01:28:45.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,29,15,2023-11-30T01:28:51Z,1090000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1155.0,,,,,,,,,
111,PT02M48.00S,2023-11-30T01:29:11.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,5.601182654402102,22.794117647058822,1610612755,29,17,2023-11-30T01:29:19Z,1100000,False,136.0,0.0,1,left,M. Morris Sr. 13' pullup Jump Shot (2 PTS) (P. Beverley 1 AST),"[202694, 201976]",1610612755.0,PHI,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Right,13.6,Made,2.0,,,,,,,,,P. Beverley,201976.0,1.0,,,,,,
113,PT02M33.00S,2023-11-30T01:29:31.4Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612740,29,17,2023-11-30T01:30:14Z,1120000,False,,,0,,R. Covington shooting personal FOUL (1 PF) (Ingram 2 FT),"[203496, 1627742]",1610612755.0,PHI,shooting,,,Covington,R. Covington,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,201246.0,,,,1.0,0.0,Ingram,1627742.0,,
115,PT02M33.00S,2023-11-30T01:30:15.5Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,30,17,2023-11-30T01:30:15Z,1140000,False,,,0,,B. Ingram Free Throw 1 of 2 (6 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
116,PT02M33.00S,2023-11-30T01:30:16.4Z,1,REGULAR,substitution,out,[],202685,,,1610612740,30,17,2023-11-30T01:30:21Z,1150000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M33.00S,2023-11-30T01:30:16.4Z,1,REGULAR,substitution,out,[],1629001,,,1610612740,30,17,2023-11-30T01:30:21Z,1160000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M33.00S,2023-11-30T01:30:16.4Z,1,REGULAR,substitution,in,[],203469,,,1610612740,30,17,2023-11-30T01:30:21Z,1170000,False,,,0,,SUB in: C. Zeller,[203469],1610612740.0,NOP,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M33.00S,2023-11-30T01:30:16.4Z,1,REGULAR,substitution,in,[],1630178,,,1610612740,30,17,2023-11-30T01:30:21Z,1180000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M33.00S,2023-11-30T01:30:22.4Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,31,17,2023-11-30T01:30:22Z,1190000,False,,,0,,B. Ingram Free Throw 2 of 2 (7 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
121,PT02M18.00S,2023-11-30T01:30:41.2Z,1,REGULAR,foul,personal,[],203469,,,1610612755,31,17,2023-11-30T01:30:51Z,1200000,False,,,0,,C. Zeller personal FOUL (1 PF),"[203469, 1630194]",1610612740.0,NOP,,,,Zeller,C. Zeller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201246.0,,,,1.0,0.0,Reed,1630194.0,,
123,PT02M12.00S,2023-11-30T01:30:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,5.601182654402102,45.83333333333333,1610612755,31,19,2023-11-30T01:31:37Z,1220000,False,21.0,0.0,1,left,T. Maxey driving finger roll Layup (5 PTS) (P. Reed 1 AST),"[1630178, 1630194]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.08,Made,5.0,,,,,,,,,P. Reed,1630194.0,1.0,,,,,,
125,PT01M58.00S,2023-11-30T01:31:12.8Z,1,REGULAR,3pt,Jump Shot,[],1641722,73.01248357424441,19.362745098039216,1610612740,34,19,2023-11-30T01:31:17Z,1240000,False,-153.0,201.0,1,right,J. Hawkins 25' 3PT  (3 PTS) (N. Marshall 1 AST),"[1641722, 1630230]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,25.29,Made,3.0,,,,,,,,,N. Marshall,1630230.0,1.0,,,,,,
127,PT01M44.00S,2023-11-30T01:31:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,14.931011826544022,61.274509803921575,1610612755,34,19,2023-11-30T01:32:21Z,1260000,False,-56.0,88.0,1,left,MISS T. Maxey 10' fadeaway Shot,[1630178],1610612755.0,PHI,fadeaway,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Left,10.44,Missed,,,,,,,,,,,,,,,,,,
128,PT01M41.00S,2023-11-30T01:31:30.0Z,1,REGULAR,rebound,defensive,[],203469,,,1610612740,34,19,2023-11-30T01:31:32Z,1270000,False,,,0,,C. Zeller REBOUND (Off:0 Def:1),[203469],1610612740.0,NOP,,,,Zeller,C. Zeller,,,,,In The Paint (Non-RA),8-16 Left,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,
129,PT01M31.00S,2023-11-30T01:31:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203469,92.9862023653088,44.85294117647059,1610612740,34,19,2023-11-30T01:33:15Z,1280000,False,-26.0,13.0,1,right,MISS C. Zeller cutting Layup,[203469],1610612740.0,NOP,cutting,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,2.9,Missed,,,,,,,,,,,,,,,,,,
130,PT01M29.00S,2023-11-30T01:31:42.4Z,1,REGULAR,rebound,defensive,[],202694,,,1610612755,34,19,2023-11-30T01:31:42Z,1290000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,,
131,PT01M23.00S,2023-11-30T01:31:48.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,5.732588699080158,55.392156862745104,1610612755,34,21,2023-11-30T01:31:57Z,1300000,False,-27.0,1.0,1,left,T. Maxey running reverse Layup (7 PTS) (P. Beverley 2 AST),"[1630178, 201976]",1610612755.0,PHI,running reverse,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.7,Made,7.0,,,,,,,,,P. Beverley,201976.0,2.0,,,,,,
132,PT01M12.00S,2023-11-30T01:31:59.9Z,1,REGULAR,3pt,Jump Shot,[],1630631,74.06373193166885,14.950980392156863,1610612740,37,21,2023-11-30T01:32:04Z,1310000,False,-175.0,191.0,1,right,J. Alvarado 25' 3PT  (3 PTS) (B. Ingram 3 AST),"[1630631, 1627742]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,25.94,Made,3.0,,,,,,,,,B. Ingram,1627742.0,3.0,,,,,,
135,PT00M59.10S,2023-11-30T01:32:12.8Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,37,21,2023-11-30T01:32:17Z,1330000,False,,,0,,T. Maxey lost ball TURNOVER (1 TO),"[1630178, 1630631]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right,,,,,,,,1.0,Alvarado,1630631.0,,,,,,,,,,
136,PT00M59.10S,2023-11-30T01:32:12.8Z,1,REGULAR,steal,,[],1630631,,,1610612740,37,21,2023-11-30T01:32:14Z,1340000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
137,PT00M56.90S,2023-11-30T01:32:18.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203496,,,1610612740,37,21,2023-11-30T01:32:35Z,1350000,False,,,0,,R. Covington shooting personal FOUL (2 PF) (Hawkins 2 FT),"[203496, 1641722]",1610612755.0,PHI,shooting,,,Covington,R. Covington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,,,,2.0,0.0,Hawkins,1641722.0,,
139,PT00M56.90S,2023-11-30T01:32:42.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641722,,,1610612740,38,21,2023-11-30T01:32:42Z,1370000,False,,,0,,J. Hawkins Free Throw 1 of 2 (4 PTS),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
140,PT00M56.90S,2023-11-30T01:32:44.4Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,38,21,2023-11-30T01:32:55Z,1380000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M56.90S,2023-11-30T01:32:44.4Z,1,REGULAR,substitution,in,[],1629627,,,1610612740,38,21,2023-11-30T01:32:55Z,1390000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M56.90S,2023-11-30T01:33:04.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641722,,,1610612740,39,21,2023-11-30T01:33:04Z,1400000,False,,,0,,J. Hawkins Free Throw 2 of 2 (5 PTS),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
143,PT00M39.80S,2023-11-30T01:33:23.7Z,1,REGULAR,3pt,Jump Shot,[],202694,20.45006570302234,9.558823529411764,1610612755,39,24,2023-11-30T01:33:28Z,1410000,False,202.0,140.0,1,left,M. Morris Sr. 24' 3PT  (5 PTS) (P. Beverley 3 AST),"[202694, 201976]",1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,24.58,Made,5.0,,,,,,,,,P. Beverley,201976.0,3.0,,,,,,
145,PT00M34.50S,2023-11-30T01:33:34.9Z,1,REGULAR,turnover,out-of-bounds,[],1630631,,,1610612740,39,24,2023-11-30T01:36:24Z,1430000,False,,,0,,J. Alvarado lost ball out-of-bounds TURNOVER (1 TO),[1630631],1610612740.0,NOP,lost ball,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,201246.0,,,,,,,,,
146,PT00M34.50S,2023-11-30T01:33:57.8Z,1,REGULAR,substitution,out,[],1630631,,,1610612755,39,24,2023-11-30T01:34:02Z,1440000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M34.50S,2023-11-30T01:33:57.8Z,1,REGULAR,substitution,in,[],1630700,,,1610612755,39,24,2023-11-30T01:34:02Z,1450000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M29.60S,2023-11-30T01:34:17.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,6.389618922470433,42.64705882352941,1610612755,39,24,2023-11-30T01:38:15Z,1460000,False,37.0,8.0,1,left,MISS T. Maxey driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
149,PT00M27.20S,2023-11-30T01:34:20.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,39,24,2023-11-30T01:34:20Z,1470000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,
150,PT00M23.00S,2023-11-30T01:34:24.4Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612740,39,24,2023-11-30T01:34:31Z,1480000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 202694]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Morris Sr.,202694.0,,,,,,,,,,
151,PT00M23.00S,2023-11-30T01:34:24.4Z,1,REGULAR,steal,,[],202694,,,1610612755,39,24,2023-11-30T01:34:27Z,1490000,False,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
152,PT00M03.90S,2023-11-30T01:34:46.3Z,1,REGULAR,foul,personal,[],1630230,,,1610612755,39,24,2023-11-30T01:35:12Z,1500000,False,,,0,,N. Marshall personal FOUL (1 PF),"[1630230, 1630178]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1155.0,,,,1.0,0.0,Maxey,1630178.0,,
154,PT00M03.90S,2023-11-30T01:35:12.5Z,1,REGULAR,substitution,out,[],1629627,,,1610612755,39,24,2023-11-30T01:35:19Z,1520000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M03.90S,2023-11-30T01:35:12.5Z,1,REGULAR,substitution,in,[],1630529,,,1610612755,39,24,2023-11-30T01:35:19Z,1530000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M03.90S,2023-11-30T01:35:21.1Z,1,REGULAR,substitution,out,[],201976,,,1610612755,39,24,2023-11-30T01:35:32Z,1540000,False,,,0,,SUB out: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M03.90S,2023-11-30T01:35:21.1Z,1,REGULAR,substitution,out,[],1630194,,,1610612755,39,24,2023-11-30T01:35:32Z,1550000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M03.90S,2023-11-30T01:35:21.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612755,39,24,2023-11-30T01:35:32Z,1560000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M03.90S,2023-11-30T01:35:21.1Z,1,REGULAR,substitution,in,[],202699,,,1610612755,39,24,2023-11-30T01:35:32Z,1570000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M03.90S,2023-11-30T01:35:47.3Z,1,REGULAR,violation,kicked ball,[],1630529,,,1610612755,39,24,2023-11-30T01:35:55Z,1580000,False,,,0,,H. Jones kicked ball VIOLATION,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,1155.0,,,,,,,,,
161,PT00M01.20S,2023-11-30T01:36:21.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630178,5.075558475689881,29.901960784313726,1610612755,39,24,2023-11-30T01:39:49Z,1590000,False,100.0,-5.0,1,left,MISS T. Maxey 10' driving floating Shot - blocked,"[1630178, 1630230]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,10.06,Missed,,,,,,,,,,,,,,,,,Marshall,1630230.0
162,PT00M01.20S,2023-11-30T01:36:21.4Z,1,REGULAR,block,,[],1630230,,,1610612755,39,24,2023-11-30T01:36:24Z,1600000,False,,,0,,N. Marshall BLOCK (1 BLK),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
163,PT00M01.20S,2023-11-30T01:36:21.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,39,24,2023-11-30T01:36:30Z,1610000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Right,,,,161.0,,,,,,,,,,,,,,,,
165,PT00M01.20S,2023-11-30T01:36:31.7Z,1,REGULAR,substitution,out,[],1629001,,,1610612740,39,24,2023-11-30T01:36:41Z,1630000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M01.20S,2023-11-30T01:36:31.7Z,1,REGULAR,substitution,out,[],202699,,,1610612740,39,24,2023-11-30T01:36:41Z,1640000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M01.20S,2023-11-30T01:36:31.7Z,1,REGULAR,substitution,in,[],201976,,,1610612740,39,24,2023-11-30T01:36:41Z,1650000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M01.20S,2023-11-30T01:36:31.7Z,1,REGULAR,substitution,in,[],1630194,,,1610612740,39,24,2023-11-30T01:36:41Z,1660000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M00.00S,2023-11-30T01:36:54.0Z,1,REGULAR,period,end,[],0,,,1610612740,39,24,2023-11-30T01:36:54Z,1670000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2023-11-30T01:38:51.4Z,2,REGULAR,substitution,out,['startperiod'],1630230,,,1610612740,39,24,2023-11-30T01:39:23Z,1680000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2023-11-30T01:38:51.4Z,2,REGULAR,substitution,out,['startperiod'],203496,,,1610612740,39,24,2023-11-30T01:39:23Z,1690000,False,,,0,,SUB out: R. Covington,[203496],1610612755.0,PHI,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2023-11-30T01:38:51.4Z,2,REGULAR,substitution,in,['startperiod'],1629627,,,1610612740,39,24,2023-11-30T01:39:23Z,1700000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
