actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
291,PT02M58.00S,2024-03-29T00:59:03.6Z,2,REGULAR,rebound,defensive,[],203468,,,1610612740,49,34,2024-03-29T00:59:05Z,2900000,False,,,0,,C. McCollum REBOUND (Off:0 Def:6),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,290.0,6.0,6.0,0.0,,,,,,,,,,
292,PT02M55.00S,2024-03-29T00:59:08.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203468,86.02168199737189,50.98039215686274,1610612740,51,34,2024-03-29T01:00:01Z,2910000,False,5.0,79.0,1,right,C. McCollum 7' running Layup (12 PTS),[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.91,Made,12.0,,,,,,,,,,,,,,,,,
293,PT02M55.00S,2024-03-29T00:59:11.7Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627736,,,1610612740,51,34,2024-03-29T00:59:21Z,2920000,False,,,0,,M. Beasley shooting personal FOUL (1 PF) (McCollum 1 FT),"[1627736, 203468]",1610612749.0,MIL,shooting,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,McCollum,203468.0,,,,,
295,PT02M55.00S,2024-03-29T00:59:36.8Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],203468,,,1610612740,52,34,2024-03-29T00:59:36Z,2940000,False,,,0,,C. McCollum Free Throw 1 of 1 (13 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
296,PT02M41.00S,2024-03-29T00:59:51.5Z,2,REGULAR,3pt,Jump Shot,[],203081,25.18068331143233,15.196078431372548,1610612749,52,37,2024-03-29T01:00:22Z,2950000,False,174.0,184.0,1,left,D. Lillard 25' 3PT step back (8 PTS),[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.34,Made,8.0,,,,,,,,,,,,,,,,,
297,PT02M24.00S,2024-03-29T01:00:08.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,82.21090670170827,53.67647058823529,1610612740,54,37,2024-03-29T01:00:14Z,2960000,False,18.0,115.0,1,right,C. McCollum 11' driving floating Jump Shot (15 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,11.62,Made,15.0,,,,,,,,,,,,,,,,,
298,PT02M06.00S,2024-03-29T01:00:26.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203081,6.258212877792378,45.83333333333333,1610612749,54,37,2024-03-29T01:00:30Z,2970000,False,21.0,6.0,1,left,MISS D. Lillard driving Layup - blocked,"[203081, 1630529]",1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,Jones,1630529.0,,,
299,PT02M06.00S,2024-03-29T01:00:26.3Z,2,REGULAR,block,,[],1630529,,,1610612749,54,37,2024-03-29T01:00:28Z,2980000,False,,,0,,H. Jones BLOCK (3 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
300,PT02M04.00S,2024-03-29T01:00:28.3Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612740,54,37,2024-03-29T01:00:30Z,2990000,False,,,0,,L. Nance Jr. REBOUND (Off:1 Def:2),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,,,298.0,3.0,2.0,1.0,,,,,,,,,,
301,PT01M57.00S,2024-03-29T01:00:34.8Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1630529,73.53810775295663,26.47058823529412,1610612740,54,37,2024-03-29T01:00:41Z,3000000,False,-118.0,196.0,1,right,MISS H. Jones 22' running Shot,[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left Center,22.87,Missed,,,,,,,,,,,,,,,,,,
302,PT01M55.00S,2024-03-29T01:00:36.8Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,54,37,2024-03-29T01:02:40Z,3010000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,,,,,301.0,8.0,6.0,2.0,,,,,,,,,,
303,PT01M50.00S,2024-03-29T01:00:42.7Z,2,REGULAR,3pt,Jump Shot,[],201572,33.85348226018397,38.72549019607843,1610612749,54,40,2024-03-29T01:00:49Z,3020000,False,56.0,266.0,1,left,B. Lopez 27' 3PT  (3 PTS) (D. Lillard 5 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,27.16,Made,3.0,D. Lillard,203081.0,5.0,,,,,,,,,,,,,,
305,PT01M31.00S,2024-03-29T01:01:04.1Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203507,,,1610612740,54,40,2024-03-29T01:01:10Z,3040000,False,,,0,,G. Antetokounmpo personal FOUL (2 PF) (Williamson 2 FT),"[203507, 1629627]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,2.0,0.0,Williamson,1629627.0,,,,,
307,PT01M31.00S,2024-03-29T01:01:32.0Z,2,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,55,40,2024-03-29T01:01:32Z,3060000,False,,,0,,Z. Williamson Free Throw 1 of 2 (9 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
308,PT01M31.00S,2024-03-29T01:01:48.2Z,2,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,56,40,2024-03-29T01:01:48Z,3070000,False,,,0,,Z. Williamson Free Throw 2 of 2 (10 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
309,PT01M14.00S,2024-03-29T01:02:13.7Z,2,REGULAR,foul,personal,[],1630529,,,1610612749,56,40,2024-03-29T01:02:27Z,3080000,False,,,0,,H. Jones personal FOUL (2 PF),"[1630529, 203507]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,2.0,0.0,Antetokounmpo,203507.0,,,,,
