actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
129,PT02M06.00S,2023-11-03T00:30:26.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,28,20,2023-11-03T00:30:31Z,1280000,False,,,0,,D. Daniels REBOUND (Off:0 Def:3),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,128.0,3.0,3.0,0.0,,,,,,,,,,,,,,
130,PT01M59.00S,2023-11-03T00:30:32.7Z,1,REGULAR,3pt,Jump Shot,[],203468,23.209592641261498,90.44117647058823,1610612740,28,20,2023-11-03T00:30:44Z,1290000,False,-202.0,166.0,1,left,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
131,PT01M59.00S,2023-11-03T00:30:32.7Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,28,20,2023-11-03T00:30:44Z,1300000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,130.0,2.0,1.0,1.0,,,,,,,,,,,,,,
132,PT01M53.00S,2023-11-03T00:30:41.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641709,91.01511169513797,47.794117647058826,1610612765,28,22,2023-11-03T00:32:31Z,1310000,False,-11.0,32.0,1,right,A. Thompson running Layup (4 PTS),[1641709],1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.38,Made,,,,,,,4.0,,,,,,,,,,,
133,PT01M53.00S,2023-11-03T00:30:46.4Z,1,REGULAR,foul,personal,['1freethrow'],1630700,,,1610612765,28,22,2023-11-03T00:30:57Z,1320000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Thompson 1 FT),"[1630700, 1641709]",1610612740.0,NOP,shooting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,1662.0,,,,,,1.0,0.0,Thompson,1641709.0,,,,
135,PT01M53.00S,2023-11-03T00:31:15.9Z,1,REGULAR,freethrow,1 of 1,[],1641709,,,1610612765,28,23,2023-11-03T00:31:15Z,1340000,False,,,0,,A. Thompson Free Throw 1 of 1 (5 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
138,PT01M37.00S,2023-11-03T00:31:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,11.12023653088042,45.09803921568628,1610612740,30,23,2023-11-03T00:31:58Z,1350000,False,25.0,52.0,1,left,C. McCollum driving Layup (7 PTS),[203468],1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,5.75,Made,,,,,,,7.0,,,,,,,,,,,
139,PT01M28.00S,2023-11-03T00:31:46.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203468,,,1610612765,30,23,2023-11-03T00:31:55Z,1360000,False,,,0,,C. McCollum personal FOUL (1 PF) (Thompson 2 FT),"[203468, 1641709]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,202056.0,,,,,,1.0,0.0,Thompson,1641709.0,,,,
141,PT01M28.00S,2023-11-03T00:32:11.8Z,1,REGULAR,freethrow,1 of 2,[],1641709,,,1610612765,30,24,2023-11-03T00:32:11Z,1380000,False,,,0,,A. Thompson Free Throw 1 of 2 (6 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
142,PT01M28.00S,2023-11-03T00:32:26.3Z,1,REGULAR,freethrow,2 of 2,[],1641709,,,1610612765,30,25,2023-11-03T00:32:26Z,1390000,False,,,0,,A. Thompson Free Throw 2 of 2 (7 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
