actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
83,PT06M24.00S,2023-01-05T00:54:32.4Z,1,REGULAR,substitution,out,[],1627751,,,1610612752,16,11,2023-01-05T00:55:01Z,770000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M24.00S,2023-01-05T00:54:32.4Z,1,REGULAR,substitution,in,[],1628380,,,1610612752,16,11,2023-01-05T00:55:01Z,780000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M11.00S,2023-01-05T00:55:09.7Z,1,REGULAR,3pt,Jump Shot,[],203944,71.04139290407359,71.81372549019608,1610612752,16,11,2023-01-05T00:55:13Z,790000,False,109.0,220.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.53,Missed,,,,,,,,,,,,,,,,,,
86,PT06M10.00S,2023-01-05T00:55:11.3Z,1,REGULAR,rebound,offensive,[],1628973,,,1610612752,16,11,2023-01-05T00:55:11Z,800000,False,,,0,,J. Brunson REBOUND (Off:1 Def:0),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,85.0,,1.0,0.0,1.0,,,,,,,,,
87,PT06M08.00S,2023-01-05T00:55:13.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630193,83.26215505913272,47.30392156862745,1610612752,16,11,2023-01-05T00:55:30Z,810000,False,-13.0,105.0,1,right,MISS I. Quickley 10' floating Shot,[1630193],1610612752.0,NYK,floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,10.57,Missed,,,,,,,,,,,,,,,,,,
88,PT06M07.00S,2023-01-05T00:55:14.8Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,16,11,2023-01-05T00:55:30Z,820000,False,,,0,,I. Hartenstein REBOUND (Off:2 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,87.0,,2.0,0.0,2.0,,,,,,,,,
89,PT06M06.00S,2023-01-05T00:55:16.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628392,94.40999984741211,50.0,1610612752,16,11,2023-01-05T00:55:22Z,830000,False,0.0,0.0,1,right,MISS I. Hartenstein tip Layup,[1628392],1610612752.0,NYK,tip,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
90,PT06M06.00S,2023-01-05T00:55:16.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,16,11,2023-01-05T00:55:22Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,89.0,,,,,,,,,,,,,
91,PT06M06.00S,2023-01-05T00:55:21.7Z,1,REGULAR,foul,personal,[],1629641,,,1610612752,16,11,2023-01-05T00:55:33Z,850000,False,,,0,,R. Langford loose ball personal FOUL (2 PF),"[1629641, 203944]",1610612759.0,SAS,loose ball,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,,,202053.0,,,,2.0,0.0,Randle,203944.0,,,,,
145,PT06M06.00S,2023-01-05T00:55:21.7Z,1,REGULAR,substitution,out,[],1629641,,,1610612752,16,11,2023-01-05T01:02:32Z,865000,False,,,0,,SUB out: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT06M06.00S,2023-01-05T00:55:21.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612752,16,11,2023-01-05T01:02:32Z,867500,False,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M59.00S,2023-01-05T00:55:57.2Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612752,16,11,2023-01-05T00:56:03Z,890000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Randle 2 FT),"[1629640, 203944]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,201639.0,,,,1.0,0.0,Randle,203944.0,,,,,
97,PT05M59.00S,2023-01-05T00:56:26.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203944,,,1610612752,16,11,2023-01-05T00:56:26Z,910000,False,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
98,PT05M59.00S,2023-01-05T00:56:26.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,16,11,2023-01-05T00:56:26Z,920000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,
99,PT05M59.00S,2023-01-05T00:56:42.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203944,,,1610612752,17,11,2023-01-05T00:56:42Z,930000,False,,,0,,J. Randle Free Throw 2 of 2 (4 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
100,PT05M51.00S,2023-01-05T00:56:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,7.440867279894875,46.07843137254902,1610612759,17,11,2023-01-05T00:57:01Z,940000,False,20.0,17.0,1,left,MISS J. Sochan Layup,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
101,PT05M49.00S,2023-01-05T00:56:55.4Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,17,11,2023-01-05T00:57:01Z,950000,False,,,0,,I. Hartenstein REBOUND (Off:2 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,100.0,,3.0,1.0,2.0,,,,,,,,,
102,PT05M45.00S,2023-01-05T00:57:01.5Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,17,11,2023-01-05T00:57:07Z,960000,False,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,,1198.0,,,,,,,,1.0,,,,
103,PT05M35.00S,2023-01-05T00:57:14.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626196,21.76412614980289,48.03921568627451,1610612759,17,13,2023-01-05T00:57:19Z,970000,False,10.0,152.0,1,left,J. Richardson 15' Jump Shot (2 PTS) (J. Sochan 2 AST),"[1626196, 1631110]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Center,15.24,Made,2.0,J. Sochan,1631110.0,2.0,,,,,,,,,,,,,,
105,PT05M22.00S,2023-01-05T00:57:28.5Z,1,REGULAR,3pt,Jump Shot,[],1629656,73.01248357424441,77.69607843137256,1610612752,20,13,2023-01-05T00:57:32Z,990000,False,138.0,201.0,1,right,Q. Grimes 24' 3PT  (4 PTS) (J. Randle 1 AST),"[1629656, 203944]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,24.43,Made,4.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
107,PT05M06.00S,2023-01-05T00:57:43.1Z,1,REGULAR,2pt,Jump Shot,[],1626196,23.866622864651774,50.0,1610612759,20,15,2023-01-05T00:57:56Z,1010000,False,0.0,172.0,1,left,J. Richardson 17' Jump Shot (4 PTS) (J. Sochan 3 AST),"[1626196, 1631110]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Center,17.18,Made,4.0,J. Sochan,1631110.0,3.0,,,,,,,,,,,,,,
109,PT04M50.00S,2023-01-05T00:57:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.9060446780552,41.911764705882355,1610612752,22,15,2023-01-05T00:58:04Z,1030000,False,-40.0,5.0,1,right,J. Brunson driving Layup (10 PTS),[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.07,Made,10.0,,,,,,,,,,,,,,,,,
110,PT04M38.00S,2023-01-05T00:58:12.1Z,1,REGULAR,3pt,Jump Shot,[],1626196,33.065045992115635,51.470588235294116,1610612759,22,15,2023-01-05T00:58:17Z,1040000,False,-7.0,258.0,1,left,MISS J. Richardson 25' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,25.84,Missed,,,,,,,,,,,,,,,,,,
111,PT04M36.00S,2023-01-05T00:58:14.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,22,15,2023-01-05T00:58:17Z,1050000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,110.0,,2.0,2.0,0.0,,,,,,,,,
112,PT04M29.00S,2023-01-05T00:58:21.1Z,1,REGULAR,3pt,Jump Shot,[],1629656,66.83639947437582,59.068627450980394,1610612752,22,15,2023-01-05T00:58:32Z,1060000,False,45.0,259.0,1,right,MISS Q. Grimes 26' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
113,PT04M27.00S,2023-01-05T00:58:23.1Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,22,15,2023-01-05T00:58:32Z,1070000,False,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,,,,,,,112.0,,1.0,1.0,0.0,,,,,,,,,
114,PT04M10.00S,2023-01-05T00:58:40.1Z,1,REGULAR,2pt,Jump Shot,[],1628380,21.632720105124836,53.18627450980392,1610612759,22,17,2023-01-05T00:58:46Z,1080000,False,-16.0,151.0,1,left,Z. Collins 15' Jump Shot (2 PTS) (J. Richardson 1 AST),"[1628380, 1626196]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Center,15.16,Made,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,,
116,PT03M58.00S,2023-01-05T00:58:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,87.07293035479631,51.71568627450981,1610612752,24,17,2023-01-05T01:08:20Z,1100000,False,9.0,69.0,1,right,I. Hartenstein 6' floating Jump Shot (4 PTS) (J. Brunson 1 AST),"[1628392, 1628973]",1610612752.0,NYK,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,6.95,Made,4.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
118,PT03M48.00S,2023-01-05T00:59:02.0Z,1,REGULAR,3pt,Jump Shot,[],1628380,31.225361366622867,64.2156862745098,1610612759,24,20,2023-01-05T00:59:28Z,1120000,False,-71.0,241.0,1,left,Z. Collins 25' 3PT  (5 PTS) (J. Richardson 2 AST),"[1628380, 1626196]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,25.13,Made,5.0,J. Richardson,1626196.0,2.0,,,,,,,,,,,,,,
120,PT03M32.00S,2023-01-05T00:59:18.1Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,24,20,2023-01-05T00:59:30Z,1140000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1626196]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Richardson,1626196.0,,
121,PT03M32.00S,2023-01-05T00:59:18.1Z,1,REGULAR,steal,,[],1626196,,,1610612759,24,20,2023-01-05T00:59:19Z,1150000,False,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
122,PT03M29.00S,2023-01-05T00:59:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626196,7.703679369250986,53.431372549019606,1610612759,24,20,2023-01-05T00:59:35Z,1160000,False,-17.0,20.0,1,left,MISS J. Richardson driving Layup - blocked,"[1626196, 203944]",1610612759.0,SAS,driving,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,2.63,Missed,,,,,,,,,,,,,,,,,Randle,203944.0
123,PT03M29.00S,2023-01-05T00:59:21.9Z,1,REGULAR,block,,[],203944,,,1610612759,24,20,2023-01-05T00:59:24Z,1170000,False,,,0,,J. Randle BLOCK (1 BLK),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
124,PT03M26.00S,2023-01-05T00:59:24.9Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,24,20,2023-01-05T00:59:35Z,1180000,False,,,0,,J. Brunson REBOUND (Off:1 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,122.0,,2.0,1.0,1.0,,,,,,,,,
125,PT03M23.00S,2023-01-05T00:59:30.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628380,,,1610612752,24,20,2023-01-05T00:59:35Z,1190000,False,,,0,,Z. Collins shooting personal FOUL (1 PF) (Quickley 2 FT),"[1628380, 1630193]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,,,,1.0,0.0,Quickley,1630193.0,,,,,
147,PT03M23.00S,2023-01-05T00:59:38.6Z,1,REGULAR,substitution,out,[],1629640,,,1610612752,24,20,2023-01-05T01:03:27Z,1202500,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT03M23.00S,2023-01-05T00:59:38.6Z,1,REGULAR,substitution,out,[],1631110,,,1610612752,24,20,2023-01-05T01:03:27Z,1203750,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT03M23.00S,2023-01-05T00:59:38.6Z,1,REGULAR,substitution,in,[],203926,,,1610612752,24,20,2023-01-05T01:03:27Z,1204375,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT03M23.00S,2023-01-05T00:59:38.6Z,1,REGULAR,substitution,in,[],1626169,,,1610612752,24,20,2023-01-05T01:03:27Z,1204687,False,,,0,,SUB in: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M23.00S,2023-01-05T01:00:04.4Z,1,REGULAR,freethrow,1 of 2,[],1630193,,,1610612752,25,20,2023-01-05T01:00:04Z,1210000,False,,,0,,I. Quickley Free Throw 1 of 2 (3 PTS),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
128,PT03M23.00S,2023-01-05T01:00:26.9Z,1,REGULAR,freethrow,2 of 2,[],1630193,,,1610612752,26,20,2023-01-05T01:00:26Z,1220000,False,,,0,,I. Quickley Free Throw 2 of 2 (4 PTS),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
133,PT03M12.00S,2023-01-05T01:00:39.9Z,1,REGULAR,3pt,Jump Shot,[],1631103,28.597240473061763,23.774509803921568,1610612759,26,20,2023-01-05T01:00:43Z,1230000,False,131.0,216.0,1,left,MISS M. Branham 25' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
134,PT03M10.00S,2023-01-05T01:00:41.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,26,20,2023-01-05T01:00:43Z,1240000,False,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,133.0,,3.0,3.0,0.0,,,,,,,,,
135,PT03M03.00S,2023-01-05T01:00:48.9Z,1,REGULAR,3pt,Jump Shot,[],203944,74.45795006570303,15.441176470588236,1610612752,26,20,2023-01-05T01:00:55Z,1250000,False,-173.0,188.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
136,PT03M01.00S,2023-01-05T01:00:50.9Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,26,20,2023-01-05T01:00:55Z,1260000,False,,,0,,I. Hartenstein REBOUND (Off:3 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,135.0,,4.0,1.0,3.0,,,,,,,,,
137,PT02M58.00S,2023-01-05T01:00:53.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,68.41327201051249,31.127450980392158,1610612752,29,20,2023-01-05T01:00:57Z,1270000,False,-94.0,244.0,1,right,J. Brunson 26' 3PT  (13 PTS) (I. Quickley 2 AST),"[1628973, 1630193]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,26.2,Made,13.0,I. Quickley,1630193.0,2.0,,,,,,,,,,,,,,
139,PT02M43.00S,2023-01-05T01:01:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,6.915243101182654,50.0,1610612759,29,22,2023-01-05T01:01:11Z,1290000,False,0.0,13.0,1,left,Z. Collins Layup (7 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,1.25,Made,7.0,,,,,,,,,,,,,,,,,
140,PT02M29.00S,2023-01-05T01:01:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628973,74.45795006570303,81.37254901960785,1610612752,29,22,2023-01-05T01:03:45Z,1300000,False,157.0,188.0,1,right,MISS J. Brunson 24' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,24.46,Missed,,,,,,,,,,,,,,,,,,
141,PT02M28.00S,2023-01-05T01:01:24.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,29,22,2023-01-05T01:03:45Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,140.0,,,,,,,,,,,,,
142,PT02M28.00S,2023-01-05T01:01:36.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628380,,,1610612752,29,22,2023-01-05T01:01:44Z,1320000,False,,,0,,Z. Collins loose ball personal FOUL (2 PF) (Hartenstein 2 FT),"[1628380, 1628392]",1610612759.0,SAS,loose ball,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202053.0,,,,2.0,0.0,Hartenstein,1628392.0,,,,,
144,PT02M28.00S,2023-01-05T01:01:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,29,22,2023-01-05T01:01:46Z,1340000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT02M28.00S,2023-01-05T01:01:46.8Z,1,REGULAR,substitution,out,[],1630193,,,1610612752,29,22,2023-01-05T01:04:22Z,1350000,False,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M28.00S,2023-01-05T01:01:46.8Z,1,REGULAR,substitution,out,[],1628380,,,1610612752,29,22,2023-01-05T01:04:22Z,1360000,False,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT02M28.00S,2023-01-05T01:01:46.8Z,1,REGULAR,substitution,in,[],1630540,,,1610612752,29,22,2023-01-05T01:04:22Z,1370000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT02M28.00S,2023-01-05T01:01:46.8Z,1,REGULAR,substitution,in,[],1627751,,,1610612752,29,22,2023-01-05T01:04:22Z,1380000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT02M28.00S,2023-01-05T01:04:32.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628392,,,1610612752,30,22,2023-01-05T01:04:32Z,1390000,False,,,0,,I. Hartenstein Free Throw 1 of 2 (5 PTS),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
156,PT02M28.00S,2023-01-05T01:04:43.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628392,,,1610612752,31,22,2023-01-05T01:04:43Z,1400000,False,,,0,,I. Hartenstein Free Throw 2 of 2 (6 PTS),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
157,PT02M16.00S,2023-01-05T01:04:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,14.799605781865965,64.4607843137255,1610612759,31,22,2023-01-05T01:05:05Z,1410000,False,-72.0,87.0,1,left,MISS M. Branham 11' pullup Shot,[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Left,11.28,Missed,,,,,,,,,,,,,,,,,,
158,PT02M15.00S,2023-01-05T01:04:57.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,31,22,2023-01-05T01:46:37Z,1420000,False,,,0,,J. Randle REBOUND (Off:0 Def:4),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,157.0,,4.0,4.0,0.0,,,,,,,,,
161,PT02M00.00S,2023-01-05T01:05:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,93.11760840998686,35.78431372549019,1610612752,33,22,2023-01-05T01:05:24Z,1450000,False,-71.0,12.0,1,right,J. Randle 7' bank Jump Shot (6 PTS),[203944],1610612752.0,NYK,bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,7.21,Made,6.0,,,,,,,,,,,,,,,,,
162,PT01M37.00S,2023-01-05T01:05:35.6Z,1,REGULAR,turnover,bad pass,[],203926,,,1610612759,33,22,2023-01-05T01:05:38Z,1460000,False,,,0,,D. McDermott bad pass TURNOVER (1 TO),"[203926, 1629656]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Grimes,1629656.0,,
163,PT01M37.00S,2023-01-05T01:05:35.6Z,1,REGULAR,steal,,[],1629656,,,1610612752,33,22,2023-01-05T01:05:37Z,1470000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
164,PT01M29.00S,2023-01-05T01:05:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,87.59855453350855,47.30392156862745,1610612752,33,22,2023-01-05T01:05:49Z,1480000,False,-13.0,64.0,1,right,MISS J. Brunson 6' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,6.55,Missed,,,,,,,,,,,,,,,,,,
165,PT01M27.00S,2023-01-05T01:05:45.3Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,33,22,2023-01-05T01:05:49Z,1490000,False,,,0,,J. Richardson REBOUND (Off:0 Def:2),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,164.0,,2.0,2.0,0.0,,,,,,,,,
166,PT01M20.00S,2023-01-05T01:05:52.0Z,1,REGULAR,2pt,Jump Shot,[],1626196,24.392247043363994,63.970588235294116,1610612759,33,24,2023-01-05T01:05:55Z,1500000,False,-70.0,177.0,1,left,J. Richardson 19' pullup Jump Shot (6 PTS) (S. Johnson 1 AST),"[1626196, 1626169]",1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,19.01,Made,6.0,S. Johnson,1626169.0,1.0,,,,,,,,,,,,,,
168,PT01M05.00S,2023-01-05T01:06:07.3Z,1,REGULAR,3pt,Jump Shot,[],1630540,71.30420499342969,74.50980392156863,1610612752,36,24,2023-01-05T01:06:11Z,1520000,False,123.0,217.0,1,right,M. McBride 24' 3PT  (3 PTS) (J. Randle 2 AST),"[1630540, 203944]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Above the Break 3,24+ Right Center,24.94,Made,3.0,J. Randle,203944.0,2.0,,,,,,,,,,,,,,
170,PT00M51.90S,2023-01-05T01:06:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,6.1268068331143235,53.18627450980392,1610612759,36,24,2023-01-05T01:17:28Z,1540000,False,-16.0,5.0,1,left,MISS J. Richardson driving reverse Layup,[1626196],1610612759.0,SAS,driving reverse,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,,,,,,
171,PT00M50.10S,2023-01-05T01:06:23.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,36,24,2023-01-05T01:17:28Z,1550000,False,,,0,,J. Randle REBOUND (Off:0 Def:5),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,170.0,,5.0,5.0,0.0,,,,,,,,,
172,PT00M42.00S,2023-01-05T01:06:33.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626169,,,1610612752,36,24,2023-01-05T01:06:44Z,1560000,False,,,0,,S. Johnson personal FOUL (1 PF) (Randle 2 FT),"[1626169, 203944]",1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1198.0,,,,1.0,0.0,Randle,203944.0,,,,,
