actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
88,PT05M27.00S,2022-11-03T00:23:11.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612741,13,12,2022-11-03T00:23:11Z,880000,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
89,PT05M27.00S,2022-11-03T00:23:16.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612741,14,12,2022-11-03T00:23:16Z,890000,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
90,PT05M11.00S,2022-11-03T00:23:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,93.11760840998686,49.754901960784316,1610612766,14,12,2022-11-03T00:27:42Z,900000,-1.0,12.0,1,right,MISS G. Hayward reverse Layup,[202330],1610612766.0,CHA,reverse,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,1.23,Missed,,,,,,,,,,,,,,,,
91,PT05M09.00S,2022-11-03T00:23:34.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,12,2022-11-03T00:23:37Z,910000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,90.0,2.0,2.0,0.0,,,,,,
92,PT04M56.00S,2022-11-03T00:23:48.6Z,1,REGULAR,2pt,Jump Shot,[],201942,10.33180026281209,69.85294117647058,1610612741,14,12,2022-11-03T00:23:54Z,920000,-99.0,45.0,1,left,MISS D. DeRozan 10' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,10.89,Missed,,,,,,,,,,,,,,,,
93,PT04M51.00S,2022-11-03T00:23:53.6Z,1,REGULAR,rebound,defensive,[],1630547,,,1610612766,14,12,2022-11-03T00:23:54Z,930000,,,0,,J. Bouknight REBOUND (Off:0 Def:1),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Mid-Range,8-16 Left,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,
94,PT04M47.00S,2022-11-03T00:23:56.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,93.77463863337714,95.83333333333334,1610612766,14,15,2022-11-03T00:24:04Z,940000,229.0,6.0,1,right,G. Hayward 3PT  (5 PTS) (J. McDaniels 1 AST),"[202330, 1629667]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Right Corner 3,24+ Right,,,22.93,Made,5.0,J. McDaniels,1629667.0,1.0,,,,,,,,,,,,
96,PT04M24.00S,2022-11-03T00:24:20.4Z,1,REGULAR,3pt,Jump Shot,[],201942,32.53942181340342,45.34313725490196,1610612741,14,15,2022-11-03T00:24:24Z,960000,23.0,253.0,1,left,MISS D. DeRozan 25' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,25.45,Missed,,,,,,,,,,,,,,,,
97,PT04M22.00S,2022-11-03T00:24:22.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,14,15,2022-11-03T00:24:24Z,970000,,,0,,M. Plumlee REBOUND (Off:2 Def:3),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,,,,,,,96.0,5.0,3.0,2.0,,,,,,
98,PT04M04.00S,2022-11-03T00:24:40.5Z,1,REGULAR,3pt,Jump Shot,[],1628372,66.3107752956636,56.61764705882353,1610612766,14,15,2022-11-03T00:24:47Z,980000,33.0,264.0,1,right,MISS D. Smith Jr. 26' step back 3PT,[1628372],1610612766.0,CHA,step back,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Center,,,26.63,Missed,,,,,,,,,,,,,,,,
99,PT04M01.00S,2022-11-03T00:24:43.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,15,2022-11-03T00:24:47Z,990000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,98.0,3.0,3.0,0.0,,,,,,
100,PT03M49.00S,2022-11-03T00:24:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.258212877792378,47.794117647058826,1610612741,14,15,2022-11-03T00:25:01Z,1000000,11.0,6.0,1,left,MISS D. DeRozan Layup,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,1.27,Missed,,,,,,,,,,,,,,,,
101,PT03M46.00S,2022-11-03T00:24:58.8Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,14,15,2022-11-03T00:25:01Z,1010000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:3),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,100.0,3.0,3.0,0.0,,,,,,
102,PT03M43.00S,2022-11-03T00:25:01.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630547,68.01905387647832,25.245098039215684,1610612766,14,18,2022-11-03T00:29:52Z,1020000,-124.0,248.0,1,right,J. Bouknight 27' 3PT running pullup (3 PTS) (D. Smith Jr. 3 AST),"[1630547, 1628372]",1610612766.0,CHA,running pullup,,,Bouknight,J. Bouknight,,,,,Above the Break 3,24+ Left Center,,,27.73,Made,3.0,D. Smith Jr.,1628372.0,3.0,,,,,,,,,,,,
104,PT03M42.00S,2022-11-03T00:25:06.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,14,18,2022-11-03T00:25:06Z,1040000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,out,[],201942,,,1610612741,14,18,2022-11-03T00:28:01Z,1050000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,14,18,2022-11-03T00:28:01Z,1060000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,out,[],1628372,,,1610612741,14,18,2022-11-03T00:28:01Z,1070000,,,0,,SUB out: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,out,[],203486,,,1610612741,14,18,2022-11-03T00:28:01Z,1080000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,in,[],203897,,,1610612741,14,18,2022-11-03T00:28:01Z,1090000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,in,[],201609,,,1610612741,14,18,2022-11-03T00:28:01Z,1100000,,,0,,SUB in: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,in,[],1630208,,,1610612741,14,18,2022-11-03T00:28:01Z,1110000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M42.00S,2022-11-03T00:27:26.8Z,1,REGULAR,substitution,in,[],1630177,,,1610612741,14,18,2022-11-03T00:28:01Z,1120000,,,0,,SUB in: T. Maledon,[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M23.00S,2022-11-03T00:28:20.9Z,1,REGULAR,turnover,bad pass,[],201609,,,1610612741,14,18,2022-11-03T00:28:24Z,1130000,,,0,,G. Dragic bad pass TURNOVER (1 TO),"[201609, 202330]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,,,Hayward,202330.0
114,PT03M23.00S,2022-11-03T00:28:20.9Z,1,REGULAR,steal,,[],202330,,,1610612766,14,18,2022-11-03T00:29:28Z,1140000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
115,PT03M18.00S,2022-11-03T00:28:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629667,93.11760840998686,51.9607843137255,1610612766,14,18,2022-11-03T00:28:31Z,1150000,10.0,12.0,1,right,MISS J. McDaniels Layup,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,1.56,Missed,,,,,,,,,,,,,,,,
116,PT03M18.00S,2022-11-03T00:28:28.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,14,18,2022-11-03T00:28:28Z,1160000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,115.0,,,,,,,,,
119,PT03M11.00S,2022-11-03T00:29:46.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630208,94.30026281208936,48.77450980392157,1610612766,14,20,2022-11-03T00:29:51Z,1190000,-6.0,1.0,1,right,N. Richards cutting DUNK (2 PTS) (T. Maledon 1 AST),"[1630208, 1630177]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,0.62,Made,2.0,T. Maledon,1630177.0,1.0,,,,,,,,,,,,
121,PT03M00.00S,2022-11-03T00:29:57.0Z,1,REGULAR,3pt,Jump Shot,[],1629750,4.155716162943495,3.9215686274509802,1610612741,17,20,2022-11-03T00:30:02Z,1210000,230.0,-13.0,1,left,J. Green 3PT  (5 PTS) (A. Caruso 1 AST),"[1629750, 1627936]",1610612741.0,CHI,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,23.08,Made,5.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,
123,PT02M43.00S,2022-11-03T00:30:14.6Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,17,20,2022-11-03T00:30:20Z,1230000,,,0,,G. Hayward bad pass TURNOVER (2 TO),"[202330, 1629750]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,,,,,,,,,,,Green,1629750.0
124,PT02M43.00S,2022-11-03T00:30:14.6Z,1,REGULAR,steal,,[],1629750,,,1610612741,17,20,2022-11-03T00:30:50Z,1240000,,,0,,J. Green STEAL (1 STL),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
125,PT02M35.00S,2022-11-03T00:30:22.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629750,29.911300919842315,25.98039215686275,1610612741,20,20,2022-11-03T00:30:28Z,1250000,120.0,229.0,1,left,J. Green 25' 3PT  (8 PTS) (Z. LaVine 3 AST),"[1629750, 203897]",1610612741.0,CHI,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,25.83,Made,8.0,Z. LaVine,203897.0,3.0,,,,,,,,,,,,
127,PT02M22.00S,2022-11-03T00:30:38.3Z,1,REGULAR,foul,personal,[],1627936,,,1610612766,20,20,2022-11-03T00:30:54Z,1270000,,,0,,A. Caruso personal FOUL (1 PF),"[1627936, 202330]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,101283.0,,,,,,,,,,,,,,1.0,0.0,Hayward,202330.0,,
129,PT02M22.00S,2022-11-03T00:30:51.1Z,1,REGULAR,substitution,out,[],202696,,,1610612766,20,20,2022-11-03T00:30:59Z,1290000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M22.00S,2022-11-03T00:30:51.1Z,1,REGULAR,substitution,out,[],202330,,,1610612766,20,20,2022-11-03T00:30:59Z,1300000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M22.00S,2022-11-03T00:30:51.1Z,1,REGULAR,substitution,in,[],1627884,,,1610612766,20,20,2022-11-03T00:30:59Z,1310000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M22.00S,2022-11-03T00:30:51.1Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,20,20,2022-11-03T00:30:59Z,1320000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M11.00S,2022-11-03T00:31:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,86.5473061760841,44.85294117647059,1610612766,20,20,2022-11-03T00:32:26Z,1330000,-26.0,74.0,1,right,MISS P. Washington 7' driving Layup - blocked,"[1629023, 1627936]",1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,7.83,Missed,,,,,Caruso,1627936.0,,,,,,,,,,
134,PT02M11.00S,2022-11-03T00:31:10.8Z,1,REGULAR,block,,[],1627936,,,1610612766,20,20,2022-11-03T00:31:13Z,1340000,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT02M08.00S,2022-11-03T00:31:13.8Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,20,20,2022-11-03T00:31:17Z,1350000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,133.0,1.0,1.0,0.0,,,,,,
136,PT02M05.00S,2022-11-03T00:31:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203897,4.812746386333772,53.431372549019606,1610612741,22,20,2022-11-03T00:31:28Z,1360000,-17.0,-7.0,1,left,Z. LaVine Layup (2 PTS) (G. Dragic 1 AST),"[203897, 201609]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,1.87,Made,2.0,G. Dragic,201609.0,1.0,,,,,,,,,,,,
138,PT01M54.00S,2022-11-03T00:31:30.5Z,1,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612766,22,20,2022-11-03T00:31:41Z,1380000,,,0,,J. Green shooting personal FOUL (1 PF) (Washington 2 FT),"[1629750, 1629023]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,101283.0,,,,,,,,,,,,,,1.0,0.0,Washington,1629023.0,,
140,PT01M54.00S,2022-11-03T00:31:59.4Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612766,22,21,2022-11-03T00:31:59Z,1400000,,,0,,P. Washington Free Throw 1 of 2 (3 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
141,PT01M54.00S,2022-11-03T00:32:04.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612766,22,21,2022-11-03T00:32:07Z,1410000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M54.00S,2022-11-03T00:32:04.3Z,1,REGULAR,substitution,in,[],1630172,,,1610612766,22,21,2022-11-03T00:32:07Z,1420000,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M54.00S,2022-11-03T00:32:26.5Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612766,22,22,2022-11-03T00:32:26Z,1430000,,,0,,P. Washington Free Throw 2 of 2 (4 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
144,PT01M42.00S,2022-11-03T00:32:40.3Z,1,REGULAR,3pt,Jump Shot,[],201609,23.340998685939553,13.970588235294118,1610612741,25,22,2022-11-03T00:32:47Z,1440000,180.0,167.0,1,left,G. Dragic 24' 3PT  (3 PTS) (D. Jones Jr. 1 AST),"[201609, 1627884]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Right Center,,,24.55,Made,3.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,,
146,PT01M26.00S,2022-11-03T00:32:55.4Z,1,REGULAR,3pt,Jump Shot,[],1630547,64.86530880420499,46.81372549019608,1610612766,25,22,2022-11-03T00:33:01Z,1460000,-16.0,278.0,1,right,MISS J. Bouknight 27' step back 3PT,[1630547],1610612766.0,CHA,step back,,,Bouknight,J. Bouknight,,,,,Above the Break 3,24+ Center,,,27.83,Missed,,,,,,,,,,,,,,,,
147,PT01M22.00S,2022-11-03T00:32:59.4Z,1,REGULAR,rebound,defensive,[],201609,,,1610612741,25,22,2022-11-03T00:33:01Z,1470000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,146.0,1.0,1.0,0.0,,,,,,
148,PT01M18.00S,2022-11-03T00:33:03.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201609,6.389618922470433,46.568627450980394,1610612741,25,22,2022-11-03T00:34:03Z,1480000,17.0,8.0,1,left,MISS G. Dragic running Layup - blocked,"[201609, 1630177]",1610612741.0,CHI,running,,,Dragic,G. Dragic,,,,,Restricted Area,0-8 Center,,,1.88,Missed,,,,,Maledon,1630177.0,,,,,,,,,,
149,PT01M18.00S,2022-11-03T00:33:03.3Z,1,REGULAR,block,,[],1630177,,,1610612741,25,22,2022-11-03T00:33:05Z,1490000,,,0,,T. Maledon BLOCK (1 BLK),[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
150,PT01M15.00S,2022-11-03T00:33:06.3Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612741,25,22,2022-11-03T00:33:11Z,1500000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,148.0,2.0,1.0,1.0,,,,,,
166,PT01M14.00S,2022-11-03T00:33:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627884,17.0335085413929,51.71568627450981,1610612741,25,22,2022-11-03T00:36:20Z,1505000,-9.0,108.0,1,left,MISS D. Jones Jr. 10' running Layup - blocked,"[1627884, 1629667]",1610612741.0,CHI,running,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,10.79,Missed,,,,,McDaniels,1629667.0,,,,,,,,,,
167,PT01M14.00S,2022-11-03T00:33:09.5Z,1,REGULAR,block,,[],1629667,,,1610612741,25,22,2022-11-03T00:35:49Z,1507500,,,0,,J. McDaniels BLOCK (1 BLK),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
168,PT01M14.00S,2022-11-03T00:33:09.5Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,25,22,2022-11-03T00:36:20Z,1508750,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,166.0,1.0,0.0,1.0,,,,,,
151,PT01M10.00S,2022-11-03T00:33:15.7Z,1,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,25,22,2022-11-03T00:33:21Z,1510000,,,0,,P. Williams lost ball out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,lost ball,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,101283.0,1.0,,,,,,,,,,,,,,,,,,
152,PT00M57.00S,2022-11-03T00:33:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629023,93.11760840998686,45.588235294117645,1610612766,25,22,2022-11-03T00:33:45Z,1520000,-22.0,12.0,1,right,MISS P. Washington driving Layup,[1629023],1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,2.52,Missed,,,,,,,,,,,,,,,,
153,PT00M55.70S,2022-11-03T00:33:37.9Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,25,22,2022-11-03T00:33:45Z,1530000,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,152.0,1.0,0.0,1.0,,,,,,
154,PT00M55.70S,2022-11-03T00:33:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629023,94.40999984741211,50.0,1610612766,25,24,2022-11-03T00:33:39Z,1540000,0.0,0.0,1,right,P. Washington tip Layup (6 PTS),[1629023],1610612766.0,CHA,tip,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,,,0.0,Made,6.0,,,,,,,,,,,,,,,
155,PT00M52.00S,2022-11-03T00:33:44.7Z,1,REGULAR,foul,personal,[],1630208,,,1610612741,25,24,2022-11-03T00:34:07Z,1550000,,,0,,N. Richards personal FOUL (1 PF),"[1630208, 201609]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,101283.0,,,,,,,,,,,,,,1.0,0.0,Dragic,201609.0,,
157,PT00M40.90S,2022-11-03T00:34:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,8.492115637319317,36.76470588235294,1610612741,27,24,2022-11-03T00:34:22Z,1570000,66.0,27.0,1,left,Z. LaVine 7' floating Jump Shot (4 PTS),[203897],1610612741.0,CHI,floating,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,7.16,Made,4.0,,,,,,,,,,,,,,,
158,PT00M32.70S,2022-11-03T00:34:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,94.43166885676742,52.20588235294118,1610612766,27,26,2022-11-03T00:34:35Z,1580000,11.0,0.0,1,right,N. Richards cutting Layup (4 PTS) (T. Maledon 2 AST),"[1630208, 1630177]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,1.1,Made,4.0,T. Maledon,1630177.0,2.0,,,,,,,,,,,,
160,PT00M16.60S,2022-11-03T00:34:48.0Z,1,REGULAR,turnover,bad pass,[],201609,,,1610612741,27,26,2022-11-03T00:34:58Z,1600000,,,0,,G. Dragic bad pass TURNOVER (2 TO),"[201609, 1629667]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,,,,,,,,,,,McDaniels,1629667.0
161,PT00M16.60S,2022-11-03T00:34:48.0Z,1,REGULAR,steal,,[],1629667,,,1610612766,27,26,2022-11-03T00:34:49Z,1610000,,,0,,J. McDaniels STEAL (1 STL),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
162,PT00M02.40S,2022-11-03T00:35:05.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627884,,,1610612766,27,26,2022-11-03T00:35:11Z,1620000,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Richards 2 FT),"[1627884, 1630208]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,101283.0,,,,,,,,,,,,,,1.0,0.0,Richards,1630208.0,,
164,PT00M02.40S,2022-11-03T00:35:36.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630208,,,1610612766,27,26,2022-11-03T00:35:36Z,1640000,,,0,,MISS N. Richards Free Throw 1 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
165,PT00M02.40S,2022-11-03T00:35:36.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,27,26,2022-11-03T00:35:36Z,1650000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,164.0,,,,,,,,,
169,PT00M02.40S,2022-11-03T00:35:56.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630208,,,1610612766,27,26,2022-11-03T00:35:56Z,1660000,,,0,,MISS N. Richards Free Throw 2 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
170,PT00M00.00S,2022-11-03T00:35:57.0Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,27,26,2022-11-03T00:35:57Z,1670000,,,0,,P. Washington REBOUND (Off:2 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,169.0,2.0,0.0,2.0,,,,,,
171,PT00M00.00S,2022-11-03T00:35:59.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629023,90.75229960578186,41.42156862745098,1610612766,27,26,2022-11-03T00:36:31Z,1680000,-43.0,34.0,1,right,MISS P. Washington Layup - blocked,"[1629023, 1630172]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,5.5,Missed,,,,,Williams,1630172.0,,,,,,,,,,
172,PT00M00.00S,2022-11-03T00:35:59.1Z,1,REGULAR,block,,[],1630172,,,1610612766,27,26,2022-11-03T00:36:02Z,1690000,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
