actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
89,PT04M43.00S,2023-01-01T00:24:56.3Z,1,REGULAR,2pt,Jump Shot,[],202696,12.697109067017081,79.90196078431373,1610612741,18,22,2023-01-01T00:25:01Z,890000,False,-150.0,67.0,1,left,N. Vucevic 16' Jump Shot (2 PTS) (Z. LaVine 2 AST),"[202696, 203897]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left,16.38,Made,2.0,Vucevic,N. Vucevic,,,,,Z. LaVine,203897.0,2.0,,,,,,,,,,,
92,PT04M31.00S,2023-01-01T00:25:10.5Z,1,REGULAR,substitution,out,[],1630245,,,1610612739,18,22,2023-01-01T00:25:18Z,920000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
93,PT04M31.00S,2023-01-01T00:25:10.5Z,1,REGULAR,substitution,in,[],1627936,,,1610612739,18,22,2023-01-01T00:25:18Z,930000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,
94,PT04M20.00S,2023-01-01T00:25:42.5Z,1,REGULAR,2pt,Jump Shot,[],1628386,76.42904073587385,58.08823529411765,1610612739,18,22,2023-01-01T00:25:48Z,940000,False,40.0,169.0,1,right,MISS J. Allen 17' Jump Shot,[1628386],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Center,17.39,Missed,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
95,PT04M16.00S,2023-01-01T00:25:46.5Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,18,22,2023-01-01T00:25:48Z,950000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Center,,,,Caruso,A. Caruso,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT04M12.00S,2023-01-01T00:25:51.0Z,1,REGULAR,3pt,Jump Shot,[],1629750,22.026938239159,90.44117647058823,1610612741,21,22,2023-01-01T00:26:14Z,960000,False,-202.0,155.0,1,left,J. Green 25' 3PT  (3 PTS) (A. Caruso 1 AST),"[1629750, 1627936]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,25.45,Made,3.0,Green,J. Green,,,,,A. Caruso,1627936.0,1.0,,,,,,,,,,,
98,PT03M52.00S,2023-01-01T00:26:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,92.46057818659659,50.245098039215684,1610612739,21,22,2023-01-01T00:26:50Z,980000,False,1.0,18.0,1,right,MISS J. Allen cutting Layup,[1628386],1610612739.0,CLE,cutting,,,,,,Restricted Area,0-8 Center,1.84,Missed,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
99,PT03M51.00S,2023-01-01T00:26:11.8Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,21,22,2023-01-01T00:27:12Z,990000,False,,,0,,J. Allen REBOUND (Off:2 Def:0),[1628386],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,Allen,J. Allen,98.0,2.0,0.0,2.0,,,,,,,,,,,,,,
100,PT03M50.00S,2023-01-01T00:26:15.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,94.40999984741211,50.0,1610612739,21,22,2023-01-01T00:27:21Z,1000000,False,0.0,0.0,1,right,MISS J. Allen putback Layup - blocked,"[1628386, 202696]",1610612739.0,CLE,putback,,,,,,Restricted Area,0-8 Center,0.0,Missed,,Allen,J. Allen,,,,,,,,,,,,,,,,Vucevic,202696.0,
101,PT03M50.00S,2023-01-01T00:26:15.0Z,1,REGULAR,block,,[],202696,,,1610612739,21,22,2023-01-01T00:26:17Z,1010000,False,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
102,PT03M49.00S,2023-01-01T00:26:16.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,21,22,2023-01-01T00:27:21Z,1020000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Vucevic,N. Vucevic,100.0,4.0,3.0,1.0,,,,,,,,,,,,,,
104,PT03M48.00S,2023-01-01T00:26:25.5Z,1,REGULAR,foul,personal,[],1626224,,,1610612741,21,22,2023-01-01T00:26:48Z,1040000,False,,,0,,C. Osman personal FOUL (1 PF),"[1626224, 203897]",1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Osman,C. Osman,,,,,,,,,,,200834.0,1.0,0.0,LaVine,203897.0,,,
106,PT03M39.00S,2023-01-01T00:26:47.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,5.469776609724048,50.73529411764706,1610612741,23,22,2023-01-01T00:26:58Z,1060000,False,-4.0,-1.0,1,left,J. Green driving DUNK (5 PTS) (C. White 1 AST),"[1629750, 1629632]",1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,0.39,Made,5.0,Green,J. Green,,,,,C. White,1629632.0,1.0,,,,,,,,,,,
108,PT03M22.00S,2023-01-01T00:27:04.8Z,1,REGULAR,3pt,Jump Shot,[],1630171,95.3515111695138,3.6764705882352944,1610612739,23,22,2023-01-01T00:30:05Z,1082500,False,-232.0,-9.0,1,right,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,23.18,Missed,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
109,PT03M21.00S,2023-01-01T00:27:05.8Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,23,22,2023-01-01T00:30:05Z,1088750,False,,,0,,J. Allen REBOUND (Off:3 Def:0),[1628386],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,,,,Allen,J. Allen,108.0,3.0,0.0,3.0,,,,,,,,,,,,,,
126,PT03M20.00S,2023-01-01T00:27:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,93.38042049934296,52.450980392156865,1610612739,23,22,2023-01-01T00:30:05Z,1095000,False,12.0,10.0,1,right,MISS J. Allen putback Layup - blocked,"[1628386, 1629750]",1610612739.0,CLE,putback,,,,,,Restricted Area,0-8 Center,1.57,Missed,,Allen,J. Allen,,,,,,,,,,,,,,,,Green,1629750.0,
127,PT03M20.00S,2023-01-01T00:27:09.4Z,1,REGULAR,block,,[],1629750,,,1610612739,23,22,2023-01-01T00:29:23Z,1097500,False,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
128,PT03M19.00S,2023-01-01T00:27:10.4Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,23,22,2023-01-01T00:29:23Z,1098750,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,
112,PT03M04.00S,2023-01-01T00:27:22.7Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,23,22,2023-01-01T00:27:26Z,1120000,False,,,0,,Z. LaVine bad pass TURNOVER (2 TO),"[203897, 1628378]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Center,,,,LaVine,Z. LaVine,,,,,,,,2.0,Mitchell,1628378.0,,,,,,,,
113,PT03M04.00S,2023-01-01T00:27:22.7Z,1,REGULAR,steal,,[],1628378,,,1610612739,23,22,2023-01-01T00:27:24Z,1130000,False,,,0,,D. Mitchell STEAL (3 STL),[1628378],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Center,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
114,PT03M00.00S,2023-01-01T00:27:27.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626224,93.64323258869908,50.98039215686274,1610612739,23,24,2023-01-01T00:31:21Z,1140000,False,5.0,7.0,1,right,C. Osman running Layup (2 PTS) (D. Mitchell 2 AST),"[1626224, 1628378]",1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,Osman,C. Osman,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,,,,
116,PT02M43.00S,2023-01-01T00:27:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,16.770696452036795,49.50980392156863,1610612741,25,24,2023-01-01T00:27:49Z,1160000,False,2.0,105.0,1,left,Z. LaVine 10' turnaround fadeaway Jump Shot (6 PTS) (A. Caruso 2 AST),"[203897, 1627936]",1610612741.0,CHI,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,10.51,Made,6.0,LaVine,Z. LaVine,,,,,A. Caruso,1627936.0,2.0,,,,,,,,,,,
118,PT02M30.00S,2023-01-01T00:27:56.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.99014454664915,77.20588235294117,1610612739,25,24,2023-01-01T00:31:49Z,1180000,False,136.0,230.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
119,PT02M28.00S,2023-01-01T00:27:58.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,25,24,2023-01-01T00:28:00Z,1190000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:4),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,Vucevic,N. Vucevic,118.0,5.0,4.0,1.0,,,,,,,,,,,,,,
120,PT02M18.00S,2023-01-01T00:28:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,5.732588699080158,52.450980392156865,1610612741,25,24,2023-01-01T00:28:12Z,1200000,False,-12.0,1.0,1,left,MISS Z. LaVine driving Layup,[203897],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,1.24,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
121,PT02M16.00S,2023-01-01T00:28:10.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,25,24,2023-01-01T00:28:12Z,1210000,False,,,0,,J. Allen REBOUND (Off:3 Def:1),[1628386],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,Allen,J. Allen,120.0,4.0,1.0,3.0,,,,,,,,,,,,,,
122,PT02M08.00S,2023-01-01T00:28:18.2Z,1,REGULAR,3pt,Jump Shot,[],1629603,95.0886990801577,3.1862745098039214,1610612739,25,24,2023-01-01T00:28:23Z,1220000,False,-234.0,-6.0,1,right,MISS M. Diakite 3PT,[1629603],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,23.42,Missed,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,
123,PT02M04.00S,2023-01-01T00:28:22.2Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,25,24,2023-01-01T00:28:23Z,1230000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,,White,C. White,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,
124,PT02M00.00S,2023-01-01T00:28:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,13.222733245729303,35.78431372549019,1610612741,27,24,2023-01-01T00:28:32Z,1240000,False,71.0,72.0,1,left,C. White 10' driving floating Jump Shot (2 PTS),[1629632],1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,10.1,Made,2.0,White,C. White,,,,,,,,,,,,,,,,,,
125,PT02M00.00S,2023-01-01T00:28:34.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,27,24,2023-01-01T00:28:34Z,1250000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,out,[],203897,,,1610612739,27,24,2023-01-01T00:31:03Z,1260000,False,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,,,,,,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
130,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,out,[],202696,,,1610612739,27,24,2023-01-01T00:31:03Z,1270000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
131,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,out,[],1629603,,,1610612739,27,24,2023-01-01T00:31:03Z,1280000,False,,,0,,SUB out: M. Diakite,[1629603],1610612739.0,CLE,,,,,,,,,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,
132,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,27,24,2023-01-01T00:31:03Z,1290000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
133,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,27,24,2023-01-01T00:31:03Z,1300000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
134,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,in,[],201942,,,1610612739,27,24,2023-01-01T00:31:03Z,1310000,False,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
135,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,in,[],203083,,,1610612739,27,24,2023-01-01T00:31:03Z,1320000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
136,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,27,24,2023-01-01T00:31:03Z,1330000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,,,,,,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
137,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,in,[],201577,,,1610612739,27,24,2023-01-01T00:31:03Z,1340000,False,,,0,,SUB in: R. Lopez,[201577],1610612739.0,CLE,,,,,,,,,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,
138,PT02M00.00S,2023-01-01T00:30:29.6Z,1,REGULAR,substitution,in,[],203526,,,1610612739,27,24,2023-01-01T00:31:03Z,1350000,False,,,0,,SUB in: R. Neto,[203526],1610612739.0,CLE,,,,,,,,,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,
139,PT01M42.00S,2023-01-01T00:31:50.8Z,1,REGULAR,foul,personal,[],1629750,,,1610612739,27,24,2023-01-01T00:31:58Z,1360000,False,,,0,,J. Green personal FOUL (1 PF),"[1629750, 201577]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,,,,Green,J. Green,,,,,,,,,,,202037.0,1.0,0.0,Lopez,201577.0,,,
141,PT01M40.00S,2023-01-01T00:32:09.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629750,,,1610612739,27,24,2023-01-01T00:32:40Z,1380000,False,,,0,,J. Green personal FOUL (2 PF) (Osman 2 FT),"[1629750, 1626224]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,Green,J. Green,,,,,,,,,,,200834.0,2.0,0.0,Osman,1626224.0,,,
143,PT01M40.00S,2023-01-01T00:32:40.7Z,1,REGULAR,freethrow,1 of 2,[],1626224,,,1610612739,27,25,2023-01-01T00:32:59Z,1400000,False,,,0,,C. Osman Free Throw 1 of 2 (3 PTS),[1626224],1610612739.0,CLE,,,,,,,,,,Made,3.0,Osman,C. Osman,,,,,,,,,,,,,,,,,,
144,PT01M40.00S,2023-01-01T00:32:40.7Z,1,REGULAR,freethrow,2 of 2,[],1626224,,,1610612739,27,25,2023-01-01T00:32:59Z,1410000,False,,,0,,MISS C. Osman Free Throw 2 of 2,[1626224],1610612739.0,CLE,,,,,,,,,,Missed,,Osman,C. Osman,,,,,,,,,,,,,,,,,,
145,PT01M37.00S,2023-01-01T00:32:43.7Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,27,25,2023-01-01T00:32:59Z,1420000,False,,,0,,C. White REBOUND (Off:0 Def:2),[1629632],1610612741.0,CHI,,,,,,,,,,,,White,C. White,144.0,2.0,2.0,0.0,,,,,,,,,,,,,,
146,PT01M27.00S,2023-01-01T00:33:08.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,33.196452036793694,42.64705882352941,1610612741,27,25,2023-01-01T00:33:16Z,1430000,False,37.0,260.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,26.21,Missed,,White,C. White,,,,,,,,,,,,,,,,,,
147,PT01M21.00S,2023-01-01T00:33:13.6Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,27,25,2023-01-01T00:33:13Z,1440000,False,,,0,,A. Caruso REBOUND (Off:1 Def:1),[1627936],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,Caruso,A. Caruso,146.0,2.0,1.0,1.0,,,,,,,,,,,,,,
148,PT01M21.00S,2023-01-01T00:33:13.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627936,5.590000152587891,50.0,1610612741,27,25,2023-01-01T00:34:38Z,1450000,False,0.0,0.0,1,left,MISS A. Caruso reverse Layup,[1627936],1610612741.0,CHI,reverse,,,,,,Restricted Area,0-8 Center,0.0,Missed,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,
149,PT01M20.00S,2023-01-01T00:33:14.6Z,1,REGULAR,rebound,defensive,[],201577,,,1610612739,27,25,2023-01-01T00:33:24Z,1460000,False,,,0,,R. Lopez REBOUND (Off:0 Def:1),[201577],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,Lopez,R. Lopez,148.0,1.0,1.0,0.0,,,,,,,,,,,,,,
150,PT01M14.00S,2023-01-01T00:33:24.8Z,1,REGULAR,turnover,traveling,[],201577,,,1610612739,27,25,2023-01-01T00:33:31Z,1470000,False,,,0,,R. Lopez traveling TURNOVER (1 TO),[201577],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Lopez,R. Lopez,,,,,,,,1.0,,,202037.0,,,,,,,
151,PT00M49.80S,2023-01-01T00:33:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629632,7.178055190538765,47.30392156862745,1610612741,27,25,2023-01-01T00:34:04Z,1480000,False,13.0,15.0,1,left,MISS C. White driving Layup,[1629632],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,2.02,Missed,,White,C. White,,,,,,,,,,,,,,,,,,
152,PT00M46.80S,2023-01-01T00:34:02.7Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,27,25,2023-01-01T00:34:04Z,1490000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1629750],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,151.0,2.0,1.0,1.0,,,,,,,,,,,,,,
153,PT00M46.80S,2023-01-01T00:34:02.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629750,5.590000152587891,50.0,1610612741,29,25,2023-01-01T00:37:26Z,1500000,False,0.0,0.0,1,left,J. Green tip Layup (7 PTS),[1629750],1610612741.0,CHI,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,7.0,Green,J. Green,,,,,,,,,,,,,,,,,,
154,PT00M37.20S,2023-01-01T00:34:12.5Z,1,REGULAR,3pt,Jump Shot,[],203526,71.30420499342969,76.9607843137255,1610612739,29,28,2023-01-01T00:35:49Z,1510000,False,135.0,217.0,1,right,R. Neto 25' 3PT  (3 PTS) (C. LeVert 3 AST),"[203526, 1627747]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,25.56,Made,3.0,Neto,R. Neto,,,,,C. LeVert,1627747.0,3.0,,,,,,,,,,,
157,PT00M24.60S,2023-01-01T00:34:57.7Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612741,29,28,2023-01-01T00:35:05Z,1540000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Green 2 FT),"[1630171, 1629750]",1610612739.0,CLE,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Okoro,I. Okoro,,,,,,,,,,,202037.0,1.0,0.0,Green,1629750.0,,,
159,PT00M24.60S,2023-01-01T00:35:26.7Z,1,REGULAR,freethrow,1 of 2,[],1629750,,,1610612741,29,28,2023-01-01T00:35:26Z,1560000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1629750],1610612741.0,CHI,,,,,,,,,,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
160,PT00M24.60S,2023-01-01T00:35:26.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,29,28,2023-01-01T00:35:26Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,,,,,
161,PT00M24.60S,2023-01-01T00:35:27.6Z,1,REGULAR,substitution,out,[],1630171,,,1610612741,29,28,2023-01-01T00:35:36Z,1580000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
162,PT00M24.60S,2023-01-01T00:35:27.6Z,1,REGULAR,substitution,out,[],201577,,,1610612741,29,28,2023-01-01T00:35:36Z,1590000,False,,,0,,SUB out: R. Lopez,[201577],1610612739.0,CLE,,,,,,,,,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,
163,PT00M24.60S,2023-01-01T00:35:27.6Z,1,REGULAR,substitution,in,[],201567,,,1610612741,29,28,2023-01-01T00:35:36Z,1600000,False,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
164,PT00M24.60S,2023-01-01T00:35:27.6Z,1,REGULAR,substitution,in,[],1628378,,,1610612741,29,28,2023-01-01T00:35:36Z,1610000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
165,PT00M24.60S,2023-01-01T00:35:39.4Z,1,REGULAR,substitution,out,[],203083,,,1610612741,29,28,2023-01-01T00:35:47Z,1620000,False,,,0,,SUB out: A. Drummond,[203083],1610612741.0,CHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
166,PT00M24.60S,2023-01-01T00:35:39.4Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,29,28,2023-01-01T00:35:47Z,1630000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,,,,,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,
167,PT00M24.60S,2023-01-01T00:36:04.2Z,1,REGULAR,freethrow,2 of 2,[],1629750,,,1610612741,30,28,2023-01-01T00:36:04Z,1640000,False,,,0,,J. Green Free Throw 2 of 2 (8 PTS),[1629750],1610612741.0,CHI,,,,,,,,,,Made,8.0,Green,J. Green,,,,,,,,,,,,,,,,,,
168,PT00M00.00S,2023-01-01T00:36:30.2Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,30,28,2023-01-01T00:36:35Z,1650000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1629632]",1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Mitchell,D. Mitchell,,,,,,,,1.0,White,1629632.0,,,,,,,,
169,PT00M00.00S,2023-01-01T00:36:30.2Z,1,REGULAR,steal,,[],1629632,,,1610612741,30,28,2023-01-01T00:36:32Z,1660000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,White,C. White,,,,,,,,,,,,,,,,,,
170,PT00M00.00S,2023-01-01T00:36:34.3Z,1,REGULAR,period,end,[],0,,,1610612741,30,28,2023-01-01T00:36:34Z,1670000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2023-01-01T00:38:38.3Z,2,REGULAR,substitution,out,['startperiod'],1630172,,,1610612741,30,28,2023-01-01T00:38:59Z,1690000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,,,,,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2023-01-01T00:38:38.3Z,2,REGULAR,substitution,out,['startperiod'],201567,,,1610612741,30,28,2023-01-01T00:38:59Z,1700000,False,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2023-01-01T00:38:38.3Z,2,REGULAR,substitution,out,['startperiod'],1628378,,,1610612741,30,28,2023-01-01T00:38:59Z,1710000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2023-01-01T00:38:38.3Z,2,REGULAR,substitution,in,['startperiod'],203083,,,1610612741,30,28,2023-01-01T00:38:59Z,1720000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2023-01-01T00:38:38.3Z,2,REGULAR,substitution,in,['startperiod'],201577,,,1610612741,30,28,2023-01-01T00:38:59Z,1730000,False,,,0,,SUB in: R. Lopez,[201577],1610612739.0,CLE,,,,,,,,,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2023-01-01T00:38:38.3Z,2,REGULAR,substitution,in,['startperiod'],1630171,,,1610612741,30,28,2023-01-01T00:38:59Z,1740000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2023-01-01T00:39:11.2Z,2,REGULAR,period,start,[],0,,,1610612739,30,28,2023-01-01T00:39:11Z,1750000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
