actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
291,PT04M10.00S,2022-10-25T00:26:57.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,14,32,2022-10-25T00:57:31Z,855000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M10.00S,2022-10-25T00:28:12.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612741,14,32,2022-10-25T00:28:29Z,860000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M10.00S,2022-10-25T00:28:12.2Z,1,REGULAR,substitution,out,[],201143,,,1610612741,14,32,2022-10-25T00:28:29Z,870000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M10.00S,2022-10-25T00:28:12.2Z,1,REGULAR,substitution,out,[],1628401,,,1610612741,14,32,2022-10-25T00:28:29Z,880000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M10.00S,2022-10-25T00:28:12.2Z,1,REGULAR,substitution,in,[],1627763,,,1610612741,14,32,2022-10-25T00:28:29Z,890000,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M10.00S,2022-10-25T00:28:12.2Z,1,REGULAR,substitution,in,[],203943,,,1610612741,14,32,2022-10-25T00:28:29Z,900000,,,0,,SUB in: N. Vonleh,[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M10.00S,2022-10-25T00:28:12.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612741,14,32,2022-10-25T00:28:29Z,910000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M55.00S,2022-10-25T00:28:44.6Z,1,REGULAR,2pt,Jump Shot,[],201942,22.683968462549277,48.529411764705884,1610612741,16,32,2022-10-25T00:35:25Z,920000,7.0,161.0,1,left,D. DeRozan 16' turnaround fadeaway Jump Shot (8 PTS),[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,16.09,Made,8.0,,,,,,,,,,,,,,,,,
99,PT03M32.00S,2022-10-25T00:29:07.9Z,1,REGULAR,3pt,Jump Shot,[],203935,70.25295663600527,17.892156862745097,1610612738,16,35,2022-10-25T01:13:07Z,930000,-161.0,227.0,1,right,M. Smart 27' 3PT  (3 PTS) (M. Brogdon 1 AST),"[203935, 1627763]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,27.81,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
101,PT03M18.00S,2022-10-25T00:29:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,7.5722733245729295,48.03921568627451,1610612741,18,35,2022-10-25T00:29:27Z,950000,10.0,19.0,1,left,N. Vucevic driving Layup (5 PTS) (C. White 2 AST),"[202696, 1629632]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,2.11,Made,5.0,C. White,1629632.0,2.0,,,,,,,,,,,,,,
102,PT03M09.00S,2022-10-25T00:29:29.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.51576872536137,21.07843137254902,1610612738,18,35,2022-10-25T00:36:28Z,960000,-145.0,225.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.72,Missed,,,,,,,,,,,,,,,,,,
103,PT03M07.00S,2022-10-25T00:29:31.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,18,35,2022-10-25T00:29:33Z,970000,,,0,,N. Vucevic REBOUND (Off:4 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,102.0,6.0,2.0,4.0,,,,,,,,,,
104,PT03M00.00S,2022-10-25T00:29:38.6Z,1,REGULAR,3pt,Jump Shot,[],1630245,4.944152431011826,96.07843137254902,1610612741,21,35,2022-10-25T00:36:56Z,980000,-230.0,-6.0,1,left,A. Dosunmu 3PT  (6 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,23.05,Made,6.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
106,PT02M48.00S,2022-10-25T00:29:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.51182654402102,52.450980392156865,1610612738,21,37,2022-10-25T00:29:56Z,1000000,12.0,8.0,1,right,J. Brown driving Layup (10 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.5,Made,10.0,,,,,,,,,,,,,,,,,
107,PT02M38.00S,2022-10-25T00:30:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,7.178055190538765,50.0,1610612741,23,37,2022-10-25T00:30:04Z,1010000,0.0,15.0,1,left,A. Dosunmu driving Layup (8 PTS) (C. White 3 AST),"[1630245, 1629632]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.5,Made,8.0,C. White,1629632.0,3.0,,,,,,,,,,,,,,
108,PT02M31.00S,2022-10-25T00:30:14.0Z,1,REGULAR,foul,personal,[],201942,,,1610612738,23,37,2022-10-25T00:30:51Z,1020000,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1629684]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,203054.0,,1.0,0.0,Williams,1629684.0,,,,
111,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,out,[],1629632,,,1610612738,23,37,2022-10-25T00:30:45Z,1040000,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,out,[],202696,,,1610612738,23,37,2022-10-25T00:30:45Z,1050000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,out,[],201942,,,1610612738,23,37,2022-10-25T00:30:45Z,1060000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,out,[],1630245,,,1610612738,23,37,2022-10-25T00:30:45Z,1070000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,out,[],203935,,,1610612738,23,37,2022-10-25T00:30:45Z,1080000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,in,[],203083,,,1610612738,23,37,2022-10-25T00:30:45Z,1090000,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612738,23,37,2022-10-25T00:30:45Z,1100000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,in,[],201609,,,1610612738,23,37,2022-10-25T00:30:45Z,1110000,,,0,,SUB in: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,in,[],203897,,,1610612738,23,37,2022-10-25T00:30:45Z,1120000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M31.00S,2022-10-25T00:30:31.9Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,23,37,2022-10-25T00:30:45Z,1130000,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M23.00S,2022-10-25T00:30:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203943,90.75229960578186,50.245098039215684,1610612738,23,37,2022-10-25T00:38:24Z,1140000,1.0,34.0,1,right,MISS N. Vonleh cutting Layup - blocked,"[203943, 1629750]",1610612738.0,BOS,cutting,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,3.44,Missed,,,,,,,,,,,,,,,Green,1629750.0,,
122,PT02M23.00S,2022-10-25T00:30:57.5Z,1,REGULAR,block,,[],1629750,,,1610612738,23,37,2022-10-25T00:31:00Z,1150000,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
123,PT02M20.00S,2022-10-25T00:31:00.5Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,23,37,2022-10-25T00:31:02Z,1160000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,
124,PT02M15.00S,2022-10-25T00:31:05.1Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612741,23,37,2022-10-25T00:40:28Z,1170000,,,0,,A. Caruso bad pass TURNOVER (1 TO),"[1627936, 203943]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,,Vonleh,203943.0
125,PT02M15.00S,2022-10-25T00:31:05.1Z,1,REGULAR,steal,,[],203943,,,1610612738,23,37,2022-10-25T00:40:28Z,1180000,,,0,,N. Vonleh STEAL (1 STL),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
126,PT02M10.00S,2022-10-25T00:31:12.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,93.64323258869908,53.18627450980392,1610612738,23,37,2022-10-25T00:40:52Z,1190000,16.0,7.0,1,right,MISS J. Brown running Layup,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.75,Missed,,,,,,,,,,,,,,,,,,
127,PT02M10.00S,2022-10-25T00:31:12.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,23,37,2022-10-25T00:40:52Z,1200000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,126.0,,,,,,,,,,,,,
129,PT02M10.00S,2022-10-25T00:31:34.8Z,1,REGULAR,foul,offensive,[],203943,,,1610612738,23,37,2022-10-25T00:41:59Z,1220000,,,0,,N. Vonleh off-the-ball offensive FOUL (1 PF),"[203943, 1629750]",1610612738.0,BOS,off-the-ball,,,Vonleh,N. Vonleh,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1830.0,,1.0,0.0,Green,1629750.0,,,,
131,PT02M10.00S,2022-10-25T00:31:34.8Z,1,REGULAR,turnover,offensive foul,[],203943,,,1610612738,23,37,2022-10-25T00:31:34Z,1240000,,,0,,N. Vonleh offensive foul TURNOVER (1 TO),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1830.0,1.0,,,,,,,,
132,PT01M59.00S,2022-10-25T00:31:59.5Z,1,REGULAR,foul,personal,[],1627763,,,1610612741,23,37,2022-10-25T00:32:12Z,1250000,,,0,,M. Brogdon personal FOUL (1 PF),"[1627763, 1627936]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1627541.0,,1.0,0.0,Caruso,1627936.0,,,,
134,PT01M43.00S,2022-10-25T00:32:29.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629750,28.33442838370565,22.794117647058822,1610612741,26,37,2022-10-25T00:42:28Z,1270000,136.0,214.0,1,left,J. Green 25' 3PT  (3 PTS) (Z. LaVine 2 AST),"[1629750, 203897]",1610612741.0,CHI,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.34,Made,3.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,,,
221,PT01M20.00S,2022-10-25T00:32:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,92.9862023653088,48.03921568627451,1610612738,26,37,2022-10-25T00:46:33Z,1300000,-10.0,13.0,1,right,MISS M. Brogdon driving Layup - blocked,"[1627763, 1627936]",1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,,Caruso,1627936.0,,
222,PT01M20.00S,2022-10-25T00:32:43.1Z,1,REGULAR,block,,[],1627936,,,1610612738,26,37,2022-10-25T00:46:33Z,1310000,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
223,PT01M20.00S,2022-10-25T00:32:43.1Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612738,26,37,2022-10-25T00:46:33Z,1315000,,,0,,M. Brogdon REBOUND (Off:1 Def:0),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,,,,,,,221.0,1.0,0.0,1.0,,,,,,,,,,
139,PT01M15.00S,2022-10-25T00:32:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627763,93.51182654402102,51.71568627450981,1610612738,26,39,2022-10-25T00:46:33Z,1320000,9.0,8.0,1,right,M. Brogdon driving Layup (2 PTS),[1627763],1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,1.21,Made,2.0,,,,,,,,,,,,,,,,,
140,PT01M10.00S,2022-10-25T00:33:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.389618922470433,50.73529411764706,1610612741,26,39,2022-10-25T00:45:44Z,1330000,-4.0,8.0,1,left,MISS Z. LaVine driving Layup - blocked,"[203897, 1627759]",1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,,,,Brown,1627759.0,,
141,PT01M10.00S,2022-10-25T00:33:01.9Z,1,REGULAR,block,,[],1627759,,,1610612741,26,39,2022-10-25T00:33:04Z,1340000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
142,PT01M10.00S,2022-10-25T00:33:01.9Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,26,39,2022-10-25T00:33:11Z,1350000,,,0,,N. Vonleh REBOUND (Off:0 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,
143,PT01M05.00S,2022-10-25T00:33:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,69.59592641261499,74.26470588235294,1610612738,26,39,2022-10-25T00:45:58Z,1360000,121.0,233.0,1,right,MISS M. Brogdon 26' running 3PT,[1627763],1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
144,PT01M02.00S,2022-10-25T00:33:09.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,26,39,2022-10-25T00:33:17Z,1370000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,
145,PT00M59.30S,2022-10-25T00:33:19.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203943,,,1610612741,26,39,2022-10-25T00:33:45Z,1380000,,,0,,N. Vonleh shooting personal FOUL (2 PF) (Dragic 2 FT),"[203943, 201609]",1610612738.0,BOS,shooting,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203054.0,,2.0,0.0,Dragic,201609.0,,,,
147,PT00M59.30S,2022-10-25T00:33:45.9Z,1,REGULAR,freethrow,1 of 2,[],201609,,,1610612741,27,39,2022-10-25T00:33:45Z,1400000,,,0,,G. Dragic Free Throw 1 of 2 (1 PTS),[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
148,PT00M59.30S,2022-10-25T00:33:48.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612741,27,39,2022-10-25T00:33:50Z,1410000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M59.30S,2022-10-25T00:33:48.3Z,1,REGULAR,substitution,in,[],1628401,,,1610612741,27,39,2022-10-25T00:33:50Z,1420000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M59.30S,2022-10-25T00:34:00.7Z,1,REGULAR,freethrow,2 of 2,[],201609,,,1610612741,28,39,2022-10-25T00:34:00Z,1430000,,,0,,G. Dragic Free Throw 2 of 2 (2 PTS),[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
151,PT00M46.90S,2022-10-25T00:34:15.1Z,1,REGULAR,turnover,lost ball,[],1627763,,,1610612738,28,39,2022-10-25T00:47:56Z,1440000,,,0,,M. Brogdon lost ball TURNOVER (1 TO),"[1627763, 1629750]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,,,Green,1629750.0
152,PT00M46.90S,2022-10-25T00:34:15.1Z,1,REGULAR,steal,,[],1629750,,,1610612741,28,39,2022-10-25T00:34:17Z,1450000,,,0,,J. Green STEAL (1 STL),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
153,PT00M43.90S,2022-10-25T00:34:19.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203897,5.338370565045992,50.98039215686274,1610612741,30,39,2022-10-25T00:48:17Z,1460000,-5.0,-2.0,1,left,Z. LaVine running DUNK (4 PTS) (A. Caruso 1 AST),"[203897, 1627936]",1610612741.0,CHI,running,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.54,Made,4.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,,
155,PT00M31.00S,2022-10-25T00:34:44.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.91064388961892,51.122089460784316,1610612738,30,39,2022-10-25T00:48:45Z,1480000,6.0,61.0,1,right,MISS D. White 6' driving floating bank Shot,[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,6.14,Missed,,,,,,,,,,,,,,,,,,
156,PT00M28.40S,2022-10-25T00:34:47.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,30,39,2022-10-25T00:34:48Z,1490000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,155.0,2.0,2.0,0.0,,,,,,,,,,
157,PT00M11.20S,2022-10-25T00:35:04.7Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,30,39,2022-10-25T00:35:09Z,1500000,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 1629684]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,,,Williams,1629684.0
158,PT00M11.20S,2022-10-25T00:35:04.7Z,1,REGULAR,steal,,[],1629684,,,1610612738,30,39,2022-10-25T00:35:06Z,1510000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2022-10-25T00:35:18.5Z,1,REGULAR,period,end,[],0,,,1610612738,30,39,2022-10-25T00:35:18Z,1520000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-10-25T00:37:28.1Z,2,REGULAR,substitution,out,['startperiod'],1629750,,,1610612738,30,39,2022-10-25T00:37:59Z,1530000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-10-25T00:37:28.1Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612738,30,39,2022-10-25T00:37:59Z,1540000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-10-25T00:37:28.1Z,2,REGULAR,substitution,in,['startperiod'],1627884,,,1610612738,30,39,2022-10-25T00:37:59Z,1550000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-10-25T00:37:28.1Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,30,39,2022-10-25T00:37:59Z,1560000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-10-25T00:38:15.6Z,2,REGULAR,period,start,[],0,,,1610612741,30,39,2022-10-25T00:38:15Z,1570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-10-25T00:38:24.8Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612741,30,39,2022-10-25T00:38:50Z,1575000,,,0,,TEAM delay-of-game VIOLATION,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M42.00S,2022-10-25T00:38:34.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,5.469776609724048,53.67647058823529,1610612741,30,39,2022-10-25T00:38:57Z,1580000,-18.0,-1.0,1,left,MISS D. Jones Jr. driving Layup,[1627884],1610612741.0,CHI,driving,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
167,PT11M42.00S,2022-10-25T00:38:37.2Z,2,REGULAR,rebound,offensive,[],1627884,,,1610612741,30,39,2022-10-25T00:38:37Z,1590000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,,,,166.0,1.0,0.0,1.0,,,,,,,,,,
168,PT11M42.00S,2022-10-25T00:38:38.5Z,2,REGULAR,foul,personal,['2freethrow'],203943,,,1610612741,30,39,2022-10-25T00:38:43Z,1600000,,,0,,N. Vonleh shooting personal FOUL (3 PF) (Jones Jr. 2 FT),"[203943, 1627884]",1610612738.0,BOS,shooting,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1830.0,,3.0,0.0,Jones Jr.,1627884.0,,,,
171,PT11M42.00S,2022-10-25T00:39:01.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1627884,,,1610612741,31,39,2022-10-25T00:39:01Z,1620000,,,0,,D. Jones Jr. Free Throw 1 of 2 (1 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
172,PT11M42.00S,2022-10-25T00:39:17.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1627884,,,1610612741,32,39,2022-10-25T00:39:17Z,1630000,,,0,,D. Jones Jr. Free Throw 2 of 2 (2 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
173,PT11M28.00S,2022-10-25T00:39:32.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.46452036793693,72.05882352941177,1610612738,32,39,2022-10-25T00:50:24Z,1640000,110.0,235.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
174,PT11M26.00S,2022-10-25T00:39:34.6Z,2,REGULAR,rebound,offensive,[],203943,,,1610612738,32,39,2022-10-25T00:39:34Z,1650000,,,0,,N. Vonleh REBOUND (Off:1 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Right Center,,,,,,,173.0,2.0,1.0,1.0,,,,,,,,,,
175,PT11M14.00S,2022-10-25T00:39:47.4Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,94.03745072273325,15.931372549019606,1610612738,32,39,2022-10-25T00:39:52Z,1660000,-170.0,4.0,1,right,MISS J. Tatum 17' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,17.03,Missed,,,,,,,,,,,,,,,,,,
176,PT11M12.00S,2022-10-25T00:39:49.6Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,32,39,2022-10-25T00:39:49Z,1670000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Left,,,,,,,175.0,3.0,3.0,0.0,,,,,,,,,,
