actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
59,PT08M02.00S,2024-10-26T02:19:49.1Z,1,REGULAR,block,,[],1627742,,,1610612757,10,4,2024-10-26T02:19:51Z,580000,False,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
60,PT08M00.00S,2024-10-26T02:19:51.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,10,4,2024-10-26T02:20:23Z,590000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,58.0,,,,,3.0,2.0,1.0,,,,,,,,,,
61,PT07M57.00S,2024-10-26T02:19:52.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629028,6.1268068331143235,48.77450980392157,1610612757,12,4,2024-10-26T02:19:57Z,600000,False,6.0,5.0,1,left,D. Ayton putback DUNK (2 PTS),[1629028],1610612757.0,POR,putback,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.8,Made,,2.0,,,,,,,,,,,,,,,,
62,PT07M36.00S,2024-10-26T02:20:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,87.72996057818659,40.44117647058824,1610612740,12,4,2024-10-26T02:20:18Z,610000,False,-48.0,63.0,1,right,MISS Z. Williamson 7' driving floating Shot,[1629627],1610612740.0,NOP,driving floating,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,,,,,,,,,,,,,,,,,,
63,PT07M32.00S,2024-10-26T02:20:17.4Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,12,4,2024-10-26T02:20:18Z,620000,False,,,0,,B. Ingram REBOUND (Off:2 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,62.0,,,,,3.0,1.0,2.0,,,,,,,,,,
64,PT07M29.00S,2024-10-26T02:20:19.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,69.72733245729303,25.245098039215684,1610612740,12,7,2024-10-26T02:20:26Z,630000,False,-124.0,232.0,1,right,B. Ingram 26' 3PT pullup (4 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,26.31,Made,,4.0,,,,,,,,,,,,,,,,
66,PT07M07.00S,2024-10-26T02:20:47.8Z,1,REGULAR,foul,offensive,[],1641739,,,1610612757,12,7,2024-10-26T02:20:58Z,650000,False,,,0,,T. Camara charge offensive FOUL (2 PF),"[1641739, 1630529]",1610612757.0,POR,charge,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202058.0,2.0,0.0,Jones,1630529.0,,,
68,PT07M07.00S,2024-10-26T02:20:47.8Z,1,REGULAR,turnover,offensive foul,[],1641739,,,1610612757,12,7,2024-10-26T02:20:47Z,670000,False,,,0,,T. Camara offensive foul TURNOVER (1 TO),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202058.0,,,,,1.0,,
69,PT07M07.00S,2024-10-26T02:20:55.0Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,12,7,2024-10-26T02:21:05Z,680000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M07.00S,2024-10-26T02:20:55.0Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,12,7,2024-10-26T02:21:05Z,690000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M53.00S,2024-10-26T02:21:21.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627742,66.17936925098554,32.35294117647059,1610612740,12,7,2024-10-26T02:21:26Z,700000,False,-88.0,265.0,1,right,MISS B. Ingram 27' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,27.97,Missed,,,,,,,,,,,,,,,,,,
72,PT06M50.00S,2024-10-26T02:21:24.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,12,7,2024-10-26T02:21:26Z,710000,False,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,71.0,,,,,4.0,3.0,1.0,,,,,,,,,,
73,PT06M42.00S,2024-10-26T02:21:31.8Z,1,REGULAR,turnover,bad pass,[],1629028,,,1610612757,12,7,2024-10-26T02:21:39Z,720000,False,,,0,,D. Ayton bad pass TURNOVER (1 TO),"[1629028, 203468]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,McCollum,203468.0
74,PT06M42.00S,2024-10-26T02:21:31.8Z,1,REGULAR,steal,,[],203468,,,1610612740,12,7,2024-10-26T02:21:33Z,730000,False,,,0,,C. McCollum STEAL (2 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
