actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
85,PT04M56.00S,2025-02-05T03:26:05.2Z,1,REGULAR,2pt,Jump Shot,[],1631101,20.71287779237845,72.05882352941177,1610612757,18,15,2025-02-05T03:26:10Z,840000,False,-110.0,142.0,1,left,S. Sharpe 18' turnaround fadeaway Jump Shot (2 PTS),[1631101],1610612757.0,POR,turnaround fadeaway,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,18.0,Made,2.0,,,,,,,,,,,,,,,,,
86,PT04M44.00S,2025-02-05T03:26:16.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,64.33968462549278,52.20588235294118,1610612754,18,15,2025-02-05T03:26:21Z,850000,False,11.0,283.0,1,right,MISS M. Turner 28' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,28.29,Missed,,,,,,,,,,,,,,,,,,
87,PT04M41.00S,2025-02-05T03:26:19.8Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,18,15,2025-02-05T03:26:21Z,860000,False,,,0,,S. Henderson REBOUND (Off:0 Def:2),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Center,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,,
88,PT04M37.00S,2025-02-05T03:26:24.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630703,32.14520367936925,50.73529411764706,1610612757,18,15,2025-02-05T03:27:49Z,870000,False,-4.0,250.0,1,left,MISS S. Henderson 24' step back 3PT,[1630703],1610612757.0,POR,step back,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Center,24.97,Missed,,,,,,,,,,,,,,,,,,
89,PT04M34.00S,2025-02-05T03:26:27.5Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,18,15,2025-02-05T03:26:36Z,880000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Center,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,
90,PT04M22.00S,2025-02-05T03:26:39.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,94.1688567674113,41.66666666666667,1610612754,18,15,2025-02-05T03:26:43Z,890000,False,-42.0,2.0,1,right,MISS M. Turner driving DUNK,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,,
92,PT04M20.00S,2025-02-05T03:26:41.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612757,18,15,2025-02-05T03:26:43Z,910000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,
93,PT04M11.00S,2025-02-05T03:26:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.258212877792378,48.28431372549019,1610612757,18,15,2025-02-05T03:27:01Z,920000,False,9.0,6.0,1,left,MISS J. Grant driving Layup - blocked,"[203924, 1630169]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.07,Missed,,,,,,,,,,,,,,,,,Haliburton,1630169.0
94,PT04M11.00S,2025-02-05T03:26:51.2Z,1,REGULAR,block,,[],1630169,,,1610612757,18,15,2025-02-05T03:26:52Z,930000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
95,PT04M11.00S,2025-02-05T03:26:51.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,18,15,2025-02-05T03:27:01Z,940000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,93.0,,,,,,,,,,,,,,
97,PT04M11.00S,2025-02-05T03:26:55.4Z,1,REGULAR,substitution,out,[],1626167,,,1610612757,18,15,2025-02-05T03:27:05Z,960000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M11.00S,2025-02-05T03:26:55.4Z,1,REGULAR,substitution,in,[],1628418,,,1610612757,18,15,2025-02-05T03:27:05Z,970000,False,,,0,,SUB in: T. Bryant,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M01.00S,2025-02-05T03:27:25.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,39.635348226018394,39.705882352941174,1610612757,18,15,2025-02-05T03:27:29Z,980000,False,51.0,320.0,1,left,MISS S. Sharpe 32' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,32.42,Missed,,,,,,,,,,,,,,,,,,
100,PT04M00.00S,2025-02-05T03:27:26.0Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,18,15,2025-02-05T03:33:22Z,990000,False,,,0,,T. Camara REBOUND (Off:2 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,,,99.0,2.0,0.0,2.0,,,,,,,,,,,
140,PT03M59.00S,2025-02-05T03:27:30.2Z,1,REGULAR,turnover,lost ball,[],1641739,,,1610612757,18,15,2025-02-05T03:33:37Z,995000,False,,,0,,T. Camara lost ball TURNOVER (2 TO),"[1641739, 1629614]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,2.0,,,,,Nembhard,1629614.0,,,,,,,,,
141,PT03M59.00S,2025-02-05T03:27:30.2Z,1,REGULAR,steal,,[],1629614,,,1610612754,18,15,2025-02-05T03:33:37Z,997500,False,,,0,,A. Nembhard STEAL (2 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
101,PT03M50.00S,2025-02-05T03:27:35.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630167,68.15045992115637,20.833333333333336,1610612754,18,15,2025-02-05T03:33:37Z,1000000,False,-146.0,247.0,1,right,MISS O. Toppin 28' 3PT,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,28.67,Missed,,,,,,,,,,,,,,,,,,
102,PT03M48.00S,2025-02-05T03:27:37.4Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,18,15,2025-02-05T03:27:39Z,1010000,False,,,0,,S. Henderson REBOUND (Off:0 Def:3),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,,,,101.0,3.0,3.0,0.0,,,,,,,,,,,
103,PT03M42.00S,2025-02-05T03:27:44.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631101,4.944152431011826,48.77450980392157,1610612757,18,15,2025-02-05T03:30:49Z,1020000,False,6.0,-6.0,1,left,MISS S. Sharpe running Layup,[1631101],1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,0.86,Missed,,,,,,,,,,,,,,,,,,
104,PT03M40.00S,2025-02-05T03:27:46.0Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,18,15,2025-02-05T03:27:46Z,1030000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,,,
105,PT03M34.00S,2025-02-05T03:27:51.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628418,91.27792378449409,49.01960784313725,1610612754,18,15,2025-02-05T03:27:55Z,1040000,False,-5.0,29.0,1,right,MISS T. Bryant DUNK - blocked,"[1628418, 1629057]",1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
106,PT03M34.00S,2025-02-05T03:27:51.5Z,1,REGULAR,block,,[],1629057,,,1610612754,18,15,2025-02-05T03:27:53Z,1050000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
107,PT03M31.00S,2025-02-05T03:27:54.5Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,18,15,2025-02-05T03:27:55Z,1060000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,
108,PT03M23.00S,2025-02-05T03:28:02.5Z,1,REGULAR,3pt,Jump Shot,[],1630703,28.86005256241787,25.0,1610612757,21,15,2025-02-05T03:28:06Z,1070000,False,125.0,219.0,1,left,S. Henderson 25' 3PT  (5 PTS) (R. Williams III 2 AST),"[1630703, 1629057]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,25.2,Made,5.0,,,,,,,,,,,,,R. Williams III,1629057.0,2.0,,
110,PT03M22.00S,2025-02-05T03:28:07.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,21,15,2025-02-05T03:28:07Z,1090000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M22.00S,2025-02-05T03:30:07.5Z,1,REGULAR,substitution,out,[],203924,,,1610612754,21,15,2025-02-05T03:30:52Z,1100000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M22.00S,2025-02-05T03:30:07.5Z,1,REGULAR,substitution,out,[],1630169,,,1610612754,21,15,2025-02-05T03:30:52Z,1110000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M22.00S,2025-02-05T03:30:07.5Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,21,15,2025-02-05T03:30:52Z,1120000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M22.00S,2025-02-05T03:30:07.5Z,1,REGULAR,substitution,in,[],1629014,,,1610612754,21,15,2025-02-05T03:30:52Z,1130000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M22.00S,2025-02-05T03:30:07.5Z,1,REGULAR,substitution,in,[],204456,,,1610612754,21,15,2025-02-05T03:30:52Z,1140000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M22.00S,2025-02-05T03:30:07.5Z,1,REGULAR,substitution,in,[],1641767,,,1610612754,21,15,2025-02-05T03:30:52Z,1150000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M07.00S,2025-02-05T03:31:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.64323258869908,44.11764705882353,1610612754,21,15,2025-02-05T03:31:16Z,1160000,False,-29.0,7.0,1,right,MISS T. McConnell cutting Layup,[204456],1610612754.0,IND,cutting,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
118,PT03M05.00S,2025-02-05T03:31:13.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612757,21,15,2025-02-05T03:31:16Z,1170000,False,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,117.0,2.0,2.0,0.0,,,,,,,,,,,
119,PT03M03.00S,2025-02-05T03:31:16.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631101,17.559132720105126,94.36274509803921,1610612757,21,15,2025-02-05T03:31:21Z,1180000,False,-222.0,113.0,1,left,MISS S. Sharpe 24' running 3PT,[1631101],1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,24.87,Missed,,,,,,,,,,,,,,,,,,
120,PT02M59.00S,2025-02-05T03:31:19.2Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,21,15,2025-02-05T03:31:19Z,1190000,False,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,,,,119.0,2.0,2.0,0.0,,,,,,,,,,,
121,PT02M56.00S,2025-02-05T03:31:28.6Z,1,REGULAR,foul,personal,[],1630703,,,1610612754,21,15,2025-02-05T03:31:35Z,1200000,False,,,0,,S. Henderson personal FOUL (1 PF),"[1630703, 1628418]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Left,,,,101284.0,,,,,,,,1.0,0.0,Bryant,1628418.0,,,,,
123,PT02M36.00S,2025-02-05T03:32:06.4Z,1,REGULAR,2pt,Jump Shot,[],1630174,73.66951379763469,24.019607843137255,1610612754,21,15,2025-02-05T03:32:16Z,1220000,False,-130.0,195.0,1,right,MISS A. Nesmith 23' step back Shot,[1630174],1610612754.0,IND,step back,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Left Center,23.43,Missed,,,,,,,,,,,,,,,,,,
124,PT02M31.00S,2025-02-05T03:32:11.2Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,21,15,2025-02-05T03:32:11Z,1230000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left Center,,,,,,123.0,1.0,1.0,0.0,,,,,,,,,,,
125,PT02M27.00S,2025-02-05T03:32:15.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629014,7.178055190538765,29.411764705882355,1610612757,23,15,2025-02-05T03:36:31Z,1240000,False,103.0,15.0,1,left,A. Simons 10' driving floating Jump Shot (5 PTS),[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Mid-Range,8-16 Right,10.4,Made,5.0,,,,,,,,,,,,,,,,,
126,PT02M19.00S,2025-02-05T03:32:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630167,92.46057818659659,2.941176470588235,1610612754,23,15,2025-02-05T03:32:27Z,1250000,False,-235.0,18.0,1,right,MISS O. Toppin 3PT,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Left Corner 3,24+ Left,23.6,Missed,,,,,,,,,,,,,,,,,,
127,PT02M19.00S,2025-02-05T03:32:22.8Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,23,15,2025-02-05T03:32:27Z,1260000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,
129,PT02M10.00S,2025-02-05T03:32:35.9Z,1,REGULAR,substitution,out,[],1641739,,,1610612757,23,15,2025-02-05T03:32:50Z,1280000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M10.00S,2025-02-05T03:32:35.9Z,1,REGULAR,substitution,out,[],1630167,,,1610612757,23,15,2025-02-05T03:32:50Z,1290000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M10.00S,2025-02-05T03:32:35.9Z,1,REGULAR,substitution,in,[],1631200,,,1610612757,23,15,2025-02-05T03:32:50Z,1300000,False,,,0,,SUB in: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M10.00S,2025-02-05T03:32:35.9Z,1,REGULAR,substitution,in,[],1627783,,,1610612757,23,15,2025-02-05T03:32:50Z,1310000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M59.00S,2025-02-05T03:33:13.2Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,23,15,2025-02-05T03:33:16Z,1320000,False,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 204456]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,,,,,1.0,,,,,McConnell,204456.0,,,,,,,,,
134,PT01M59.00S,2025-02-05T03:33:13.2Z,1,REGULAR,steal,,[],204456,,,1610612754,23,15,2025-02-05T03:33:14Z,1330000,False,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
135,PT01M46.00S,2025-02-05T03:33:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",204456,91.93495400788436,40.44117647058824,1610612754,23,15,2025-02-05T03:33:32Z,1340000,False,-48.0,23.0,1,right,MISS T. McConnell driving Layup,[204456],1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,,,,,
136,PT01M42.00S,2025-02-05T03:33:30.6Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612754,23,15,2025-02-05T03:33:32Z,1350000,False,,,0,,T. Bryant REBOUND (Off:1 Def:0),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,135.0,1.0,0.0,1.0,,,,,,,,,,,
137,PT01M42.00S,2025-02-05T03:33:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628418,94.40999984741211,50.0,1610612754,23,15,2025-02-05T03:33:29Z,1360000,False,0.0,0.0,1,right,MISS T. Bryant tip Layup,[1628418],1610612754.0,IND,tip,,,Bryant,T. Bryant,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
138,PT01M42.00S,2025-02-05T03:33:30.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612757,23,15,2025-02-05T03:33:30Z,1370000,False,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Left,,,,,,137.0,3.0,3.0,0.0,,,,,,,,,,,
139,PT01M37.00S,2025-02-05T03:33:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630703,6.258212877792378,51.9607843137255,1610612757,25,15,2025-02-05T03:33:42Z,1380000,False,-10.0,6.0,1,left,S. Henderson running Layup (7 PTS),[1630703],1610612757.0,POR,running,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,1.17,Made,7.0,,,,,,,,,,,,,,,,,
142,PT01M12.00S,2025-02-05T03:34:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628418,68.28186596583443,26.96078431372549,1610612754,25,15,2025-02-05T03:34:04Z,1390000,False,-115.0,246.0,1,right,MISS T. Bryant 27' 3PT,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,27.14,Missed,,,,,,,,,,,,,,,,,,
143,PT01M10.00S,2025-02-05T03:34:02.0Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,25,15,2025-02-05T03:34:04Z,1400000,False,,,0,,S. Henderson REBOUND (Off:0 Def:4),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,,,,142.0,4.0,4.0,0.0,,,,,,,,,,,
144,PT01M02.00S,2025-02-05T03:34:11.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,32.53942181340342,80.88235294117648,1610612757,25,15,2025-02-05T03:34:15Z,1410000,False,-154.0,253.0,1,left,MISS A. Simons 29' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,29.67,Missed,,,,,,,,,,,,,,,,,,
145,PT00M59.30S,2025-02-05T03:34:13.8Z,1,REGULAR,rebound,offensive,[],1630703,,,1610612757,25,15,2025-02-05T03:34:13Z,1420000,False,,,0,,S. Henderson REBOUND (Off:1 Def:4),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,,,,144.0,5.0,4.0,1.0,,,,,,,,,,,
146,PT00M55.00S,2025-02-05T03:34:18.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630703,6.389618922470433,10.049019607843137,1610612757,25,15,2025-02-05T03:34:22Z,1430000,False,200.0,8.0,1,left,MISS S. Henderson 19' Jump Shot,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Right,19.99,Missed,,,,,,,,,,,,,,,,,,
147,PT00M53.30S,2025-02-05T03:34:20.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612757,25,15,2025-02-05T03:34:20Z,1440000,False,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Right,,,,,,146.0,4.0,3.0,1.0,,,,,,,,,,,
148,PT00M51.60S,2025-02-05T03:34:21.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,31.488173455978973,73.52941176470588,1610612757,25,15,2025-02-05T03:34:25Z,1450000,False,-118.0,243.0,1,left,MISS A. Simons 27' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,27.04,Missed,,,,,,,,,,,,,,,,,,
149,PT00M48.80S,2025-02-05T03:34:24.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,25,15,2025-02-05T03:34:25Z,1460000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,148.0,3.0,2.0,1.0,,,,,,,,,,,
150,PT00M43.80S,2025-02-05T03:34:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630174,94.43166885676742,51.9607843137255,1610612754,25,15,2025-02-05T03:34:37Z,1470000,False,10.0,0.0,1,right,MISS A. Nesmith running Layup,[1630174],1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
151,PT00M43.10S,2025-02-05T03:34:31.1Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612754,25,15,2025-02-05T03:34:31Z,1480000,False,,,0,,T. Bryant REBOUND (Off:2 Def:0),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,150.0,2.0,0.0,2.0,,,,,,,,,,,
152,PT00M43.10S,2025-02-05T03:34:33.4Z,1,REGULAR,foul,personal,['2freethrow'],1630703,,,1610612754,25,15,2025-02-05T03:34:48Z,1490000,False,,,0,,S. Henderson shooting personal FOUL (2 PF) (Bryant 2 FT),"[1630703, 1628418]",1610612757.0,POR,shooting,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,1629178.0,,,,,,,,2.0,0.0,Bryant,1628418.0,,,,,
154,PT00M43.10S,2025-02-05T03:35:08.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628418,,,1610612754,25,16,2025-02-05T03:35:31Z,1510000,False,,,0,,T. Bryant Free Throw 1 of 2 (1 PTS),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
155,PT00M43.10S,2025-02-05T03:35:08.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628418,,,1610612754,25,16,2025-02-05T03:35:31Z,1520000,False,,,0,,MISS T. Bryant Free Throw 2 of 2,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
156,PT00M41.00S,2025-02-05T03:35:10.8Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,25,16,2025-02-05T03:35:31Z,1530000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,155.0,2.0,2.0,0.0,,,,,,,,,,,
158,PT00M30.10S,2025-02-05T03:35:51.1Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612757,25,16,2025-02-05T03:35:56Z,1550000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Sharpe 2 FT),"[1630174, 1631101]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,1629178.0,,,,,,,,1.0,0.0,Sharpe,1631101.0,,,,,
160,PT00M30.10S,2025-02-05T03:36:05.7Z,1,REGULAR,freethrow,1 of 2,[],1631101,,,1610612757,26,16,2025-02-05T03:36:05Z,1570000,False,,,0,,S. Sharpe Free Throw 1 of 2 (3 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
161,PT00M30.10S,2025-02-05T03:36:07.2Z,1,REGULAR,substitution,out,[],1630174,,,1610612757,26,16,2025-02-05T03:36:12Z,1580000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M30.10S,2025-02-05T03:36:07.2Z,1,REGULAR,substitution,in,[],1631097,,,1610612757,26,16,2025-02-05T03:36:12Z,1590000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M30.10S,2025-02-05T03:36:24.7Z,1,REGULAR,substitution,out,[],1628418,,,1610612757,26,16,2025-02-05T03:36:28Z,1600000,False,,,0,,SUB out: T. Bryant,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M30.10S,2025-02-05T03:36:24.7Z,1,REGULAR,substitution,in,[],1626167,,,1610612757,26,16,2025-02-05T03:36:28Z,1610000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
