actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,descriptor,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,value
82,PT04M16.00S,2021-11-18T03:26:23.3Z,1,REGULAR,turnover,offensive foul,[],1629028,,,1610612756,13,14,2021-11-18T03:26:23Z,810000,,,0,,D. Ayton offensive foul TURNOVER (1 TO),[1629028],1610612756.0,PHX,1198.0,Ayton,D. Ayton,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
83,PT04M16.00S,2021-11-18T03:26:37.2Z,1,REGULAR,substitution,out,[],1629028,,,1610612742,13,14,2021-11-18T03:26:42Z,820000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M16.00S,2021-11-18T03:26:37.2Z,1,REGULAR,substitution,in,[],201580,,,1610612742,13,14,2021-11-18T03:26:42Z,830000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M02.00S,2021-11-18T03:26:58.5Z,1,REGULAR,turnover,bad pass,[],203493,,,1610612742,13,14,2021-11-18T03:27:25Z,840000,,,0,,R. Bullock bad pass TURNOVER (1 TO),"[203493, 1626166]",1610612742.0,DAL,,Bullock,R. Bullock,,,,,,,,,,,,1.0,Payne,1626166.0,,,,,,,,,,,,,
88,PT04M02.00S,2021-11-18T03:26:58.5Z,1,REGULAR,steal,,[],1626166,,,1610612756,13,14,2021-11-18T03:28:49Z,850000,,,0,,C. Payne STEAL (1 STL),[1626166],1610612756.0,PHX,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M51.00S,2021-11-18T03:27:09.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,16.113666228646515,56.127450980392155,1610612756,15,14,2021-11-18T03:38:04Z,860000,-31.0,99.0,1,left,D. Booker 10' turnaround Jump Shot (11 PTS),[1626164],1610612756.0,PHX,,Booker,D. Booker,10.36,Made,,,,,turnaround,11.0,,,,,,,,,,,,,,,,,,,
92,PT03M41.00S,2021-11-18T03:27:19.7Z,1,REGULAR,2pt,Jump Shot,[],1628373,75.77201051248358,44.85294117647059,1610612742,15,16,2021-11-18T03:27:34Z,870000,-26.0,175.0,1,right,F. Ntilikina 17' pullup bank Jump Shot (2 PTS),[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,17.71,Made,,,,,pullup bank,2.0,,,,,,,,,,,,,,,,,,,
93,PT03M17.00S,2021-11-18T03:27:42.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,11.645860709592641,95.34313725490196,1610612756,15,16,2021-11-18T03:27:48Z,880000,-227.0,57.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,23.38,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M14.00S,2021-11-18T03:27:45.4Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612756,15,16,2021-11-18T03:27:48Z,890000,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,93.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
95,PT03M13.00S,2021-11-18T03:27:47.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,5.995400788436268,95.83333333333334,1610612756,15,16,2021-11-18T03:27:54Z,900000,-229.0,4.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,22.92,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M09.00S,2021-11-18T03:27:51.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,15,16,2021-11-18T03:27:54Z,910000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
97,PT03M07.00S,2021-11-18T03:27:57.0Z,1,REGULAR,foul,personal,[],1629661,,,1610612742,15,16,2021-11-18T03:28:12Z,920000,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1627827]",1610612756.0,PHX,202027.0,Johnson,C. Johnson,,,,,,,,,,,,,,,,,1.0,0.0,Finney-Smith,1627827.0,,,,,,,
99,PT03M07.00S,2021-11-18T03:28:07.4Z,1,REGULAR,substitution,out,[],1628969,,,1610612742,15,16,2021-11-18T03:28:20Z,940000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M07.00S,2021-11-18T03:28:07.4Z,1,REGULAR,substitution,out,[],1627827,,,1610612742,15,16,2021-11-18T03:28:20Z,950000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M07.00S,2021-11-18T03:28:07.4Z,1,REGULAR,substitution,in,[],1629013,,,1610612742,15,16,2021-11-18T03:28:20Z,960000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M07.00S,2021-11-18T03:28:07.4Z,1,REGULAR,substitution,in,[],1628425,,,1610612742,15,16,2021-11-18T03:28:20Z,970000,,,0,,SUB in: S. Brown,[1628425],1610612742.0,DAL,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M01.00S,2021-11-18T03:28:33.8Z,1,REGULAR,3pt,Jump Shot,[],1628373,66.70499342969777,52.94117647058824,1610612742,15,19,2021-11-18T03:28:38Z,980000,15.0,260.0,1,right,F. Ntilikina 26' 3PT  (5 PTS),[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,26.09,Made,,,,,,5.0,,,,,,,,,,,,,,,,,,,
104,PT02M48.00S,2021-11-18T03:28:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201580,8.360709592641262,46.07843137254902,1610612756,17,19,2021-11-18T03:28:51Z,990000,20.0,26.0,1,left,J. McGee alley-oop DUNK (2 PTS) (C. Payne 1 AST),"[201580, 1626166]",1610612756.0,PHX,,McGee,J. McGee,3.26,Made,,,,,alley-oop,2.0,C. Payne,1626166.0,1.0,,,,,,,,,,,,,,,,
106,PT02M24.00S,2021-11-18T03:29:09.8Z,1,REGULAR,3pt,Jump Shot,[],1628425,94.1688567674113,96.07843137254902,1610612742,17,19,2021-11-18T03:29:17Z,1010000,230.0,2.0,1,right,MISS S. Brown step back 3PT - blocked,"[1628425, 201580]",1610612742.0,DAL,,Brown,S. Brown,23.04,Missed,,,,,step back,,,,,,,,McGee,201580.0,,,,,,,,,,,
166,PT02M24.00S,2021-11-18T03:29:09.8Z,1,REGULAR,block,,[],201580,,,1610612742,17,19,2021-11-18T03:45:25Z,1015000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612756.0,PHX,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M23.00S,2021-11-18T03:29:10.8Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,17,19,2021-11-18T03:29:17Z,1020000,,,0,,D. Booker REBOUND (Off:0 Def:4),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,106.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
108,PT02M16.00S,2021-11-18T03:29:18.2Z,1,REGULAR,3pt,Jump Shot,[],1629013,5.732588699080158,3.431372549019608,1610612756,20,19,2021-11-18T03:29:22Z,1030000,233.0,1.0,1,left,L. Shamet 3PT  (3 PTS) (C. Payne 2 AST),"[1629013, 1626166]",1610612756.0,PHX,,Shamet,L. Shamet,23.28,Made,,,,,,3.0,C. Payne,1626166.0,2.0,,,,,,,,,,,,,,,,
110,PT01M59.00S,2021-11-18T03:29:35.1Z,1,REGULAR,2pt,Jump Shot,[],203501,76.03482260183968,67.8921568627451,1610612742,20,19,2021-11-18T03:29:51Z,1050000,89.0,173.0,1,right,MISS T. Hardaway Jr. 19' pullup Shot,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,19.46,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
111,PT01M55.00S,2021-11-18T03:29:38.6Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612756,20,19,2021-11-18T03:29:38Z,1060000,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,Payne,C. Payne,,,110.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
112,PT01M48.00S,2021-11-18T03:29:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,10.463206307490145,55.63725490196079,1610612756,20,19,2021-11-18T03:29:55Z,1070000,-28.0,46.0,1,left,MISS C. Payne driving floating Shot,[1626166],1610612756.0,PHX,,Payne,C. Payne,5.39,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
113,PT01M46.00S,2021-11-18T03:29:48.8Z,1,REGULAR,rebound,defensive,[],1626161,,,1610612742,20,19,2021-11-18T03:29:55Z,1080000,,,0,,W. Cauley-Stein REBOUND (Off:0 Def:1),[1626161],1610612742.0,DAL,,Cauley-Stein,W. Cauley-Stein,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
114,PT01M34.00S,2021-11-18T03:30:00.7Z,1,REGULAR,turnover,out-of-bounds,[],1626161,,,1610612742,20,19,2021-11-18T03:30:13Z,1090000,,,0,,W. Cauley-Stein bad pass out-of-bounds TURNOVER (1 TO),[1626161],1610612742.0,DAL,1198.0,Cauley-Stein,W. Cauley-Stein,,,,,,,bad pass,,,,,1.0,,,,,,,,,,,,,,,
115,PT01M34.00S,2021-11-18T03:30:11.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,20,19,2021-11-18T03:30:11Z,1100000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M34.00S,2021-11-18T03:32:35.0Z,1,REGULAR,substitution,out,[],1626164,,,1610612756,20,19,2021-11-18T03:33:01Z,1110000,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M34.00S,2021-11-18T03:32:35.0Z,1,REGULAR,substitution,out,[],203501,,,1610612756,20,19,2021-11-18T03:33:01Z,1120000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M34.00S,2021-11-18T03:32:35.0Z,1,REGULAR,substitution,out,[],203493,,,1610612756,20,19,2021-11-18T03:33:01Z,1130000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M34.00S,2021-11-18T03:32:35.0Z,1,REGULAR,substitution,in,[],1627846,,,1610612756,20,19,2021-11-18T03:33:01Z,1140000,,,0,,SUB in: A. Nader,[1627846],1610612756.0,PHX,,Nader,A. Nader,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M34.00S,2021-11-18T03:32:35.0Z,1,REGULAR,substitution,in,[],203504,,,1610612756,20,19,2021-11-18T03:33:01Z,1150000,,,0,,SUB in: T. Burke,[203504],1610612742.0,DAL,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M34.00S,2021-11-18T03:32:35.0Z,1,REGULAR,substitution,in,[],1628973,,,1610612756,20,19,2021-11-18T03:33:01Z,1160000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M21.00S,2021-11-18T03:33:47.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,20,19,2021-11-18T03:33:47Z,1170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M19.00S,2021-11-18T03:34:00.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629013,7.966491458607096,95.34313725490196,1610612756,23,19,2021-11-18T03:34:04Z,1180000,-227.0,22.0,1,left,L. Shamet 3PT  (6 PTS) (C. Payne 3 AST),"[1629013, 1626166]",1610612756.0,PHX,,Shamet,L. Shamet,22.78,Made,,,,,,6.0,C. Payne,1626166.0,3.0,,,,,,,,,,,,,,,,
125,PT01M00.00S,2021-11-18T03:34:18.8Z,1,REGULAR,2pt,Jump Shot,[],203504,94.43166885676742,84.06862745098039,1610612742,23,19,2021-11-18T03:34:24Z,1200000,170.0,0.0,1,right,MISS T. Burke 17' pullup Shot,[203504],1610612742.0,DAL,,Burke,T. Burke,17.03,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
126,PT00M58.30S,2021-11-18T03:34:20.5Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,23,19,2021-11-18T03:34:24Z,1210000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,McGee,J. McGee,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
127,PT00M49.50S,2021-11-18T03:34:29.8Z,1,REGULAR,3pt,Jump Shot,[],1626166,27.414586070959263,18.38235294117647,1610612756,23,19,2021-11-18T03:34:36Z,1220000,158.0,205.0,1,left,MISS C. Payne 25' pullup 3PT,[1626166],1610612756.0,PHX,,Payne,C. Payne,25.9,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
128,PT00M47.30S,2021-11-18T03:34:32.0Z,1,REGULAR,rebound,defensive,[],203504,,,1610612742,23,19,2021-11-18T03:34:36Z,1230000,,,0,,T. Burke REBOUND (Off:0 Def:1),[203504],1610612742.0,DAL,,Burke,T. Burke,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
129,PT00M27.80S,2021-11-18T03:34:52.1Z,1,REGULAR,3pt,Jump Shot,[],203504,93.38042049934296,95.83333333333334,1610612742,23,22,2021-11-18T03:34:57Z,1240000,229.0,10.0,1,right,T. Burke 3PT  (3 PTS) (J. Brunson 1 AST),"[203504, 1628973]",1610612742.0,DAL,,Burke,T. Burke,22.94,Made,,,,,,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,,,
131,PT00M06.30S,2021-11-18T03:35:15.4Z,1,REGULAR,2pt,Jump Shot,[],1626166,19.136005256241788,21.07843137254902,1610612756,25,22,2021-11-18T03:35:22Z,1260000,145.0,127.0,1,left,C. Payne 19' step back Jump Shot (2 PTS),[1626166],1610612756.0,PHX,,Payne,C. Payne,19.27,Made,,,,,step back,2.0,,,,,,,,,,,,,,,,,,,
132,PT00M03.20S,2021-11-18T03:35:25.1Z,1,REGULAR,foul,personal,[],1629661,,,1610612742,25,22,2021-11-18T03:35:33Z,1270000,,,0,,C. Johnson personal FOUL (2 PF),"[1629661, 203504]",1610612756.0,PHX,2003.0,Johnson,C. Johnson,,,,,,,,,,,,,,,,,2.0,0.0,Burke,203504.0,,,,,,,
134,PT00M03.20S,2021-11-18T03:35:38.6Z,1,REGULAR,substitution,out,[],1629661,,,1610612742,25,22,2021-11-18T03:35:45Z,1290000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M03.20S,2021-11-18T03:35:38.6Z,1,REGULAR,substitution,in,[],1628969,,,1610612742,25,22,2021-11-18T03:35:45Z,1300000,,,0,,SUB in: M. Bridges,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M01.00S,2021-11-18T03:35:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,79.71419185282524,49.26470588235294,1610612742,25,22,2021-11-18T03:36:08Z,1310000,-4.0,138.0,1,right,MISS J. Brunson 13' driving floating Shot,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,13.82,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
137,PT00M01.00S,2021-11-18T03:35:58.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,25,22,2021-11-18T03:36:08Z,1320000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M00.00S,2021-11-18T03:36:07.1Z,1,REGULAR,period,end,[],0,,,1610612756,25,22,2021-11-18T03:36:07Z,1330000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2021-11-18T03:38:30.4Z,2,REGULAR,substitution,out,['startperiod'],1628969,,,1610612756,25,22,2021-11-18T03:39:02Z,1340000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2021-11-18T03:38:30.4Z,2,REGULAR,substitution,out,['startperiod'],1628373,,,1610612756,25,22,2021-11-18T03:39:02Z,1350000,,,0,,SUB out: F. Ntilikina,[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2021-11-18T03:38:30.4Z,2,REGULAR,substitution,out,['startperiod'],1626161,,,1610612756,25,22,2021-11-18T03:39:02Z,1360000,,,0,,SUB out: W. Cauley-Stein,[1626161],1610612742.0,DAL,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2021-11-18T03:38:30.4Z,2,REGULAR,substitution,in,['startperiod'],1629661,,,1610612756,25,22,2021-11-18T03:39:02Z,1370000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-11-18T03:38:30.4Z,2,REGULAR,substitution,in,['startperiod'],203493,,,1610612756,25,22,2021-11-18T03:39:02Z,1380000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-11-18T03:38:30.4Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612756,25,22,2021-11-18T03:39:02Z,1390000,,,0,,SUB in: K. Porzingis,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-11-18T03:39:38.2Z,2,REGULAR,period,start,[],0,,,1610612742,25,22,2021-11-18T03:39:38Z,1400000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M42.00S,2021-11-18T03:39:55.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,90.48948751642575,49.01960784313725,1610612742,25,24,2021-11-18T03:40:08Z,1410000,-5.0,37.0,1,right,J. Brunson cutting Layup (4 PTS) (K. Porzingis 2 AST),"[1628973, 204001]",1610612742.0,DAL,,Brunson,J. Brunson,3.72,Made,,,,,cutting,4.0,K. Porzingis,204001.0,2.0,,,,,,,,,,,,,,,,
148,PT11M25.00S,2021-11-18T03:40:12.2Z,2,REGULAR,3pt,Jump Shot,[],1629013,5.732588699080158,96.56862745098039,1610612756,28,24,2021-11-18T03:40:17Z,1430000,-233.0,1.0,1,left,L. Shamet 3PT  (9 PTS) (C. Johnson 1 AST),"[1629013, 1629661]",1610612756.0,PHX,,Shamet,L. Shamet,23.28,Made,,,,,,9.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,,,
150,PT11M05.00S,2021-11-18T03:40:32.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,87.20433639947439,34.80392156862745,1610612742,28,26,2021-11-18T03:40:42Z,1450000,-76.0,68.0,1,right,J. Brunson 10' pullup Jump Shot (6 PTS) (K. Porzingis 3 AST),"[1628973, 204001]",1610612742.0,DAL,,Brunson,J. Brunson,10.18,Made,,,,,pullup,6.0,K. Porzingis,204001.0,3.0,,,,,,,,,,,,,,,,
152,PT10M53.00S,2021-11-18T03:40:44.3Z,2,REGULAR,3pt,Jump Shot,[],1627846,8.492115637319317,5.147058823529411,1610612756,28,26,2021-11-18T03:40:50Z,1470000,224.0,27.0,1,left,MISS A. Nader 3PT,[1627846],1610612756.0,PHX,,Nader,A. Nader,22.6,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT10M51.00S,2021-11-18T03:40:46.3Z,2,REGULAR,rebound,defensive,[],203504,,,1610612742,28,26,2021-11-18T03:40:50Z,1480000,,,0,,T. Burke REBOUND (Off:0 Def:2),[203504],1610612742.0,DAL,,Burke,T. Burke,,,152.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
154,PT10M40.00S,2021-11-18T03:40:56.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204001,91.14651773981603,49.50980392156863,1610612742,28,26,2021-11-18T03:41:04Z,1490000,-2.0,31.0,1,right,MISS K. Porzingis driving Layup,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,3.08,Missed,,,,,driving,,,,,,,,,,,,,,,,,,,,
155,PT10M38.00S,2021-11-18T03:40:58.9Z,2,REGULAR,rebound,defensive,[],201580,,,1610612756,28,26,2021-11-18T03:41:04Z,1500000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612756.0,PHX,,McGee,J. McGee,,,154.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
156,PT10M32.00S,2021-11-18T03:41:06.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627846,7.966491458607096,43.38235294117647,1610612756,28,26,2021-11-18T03:41:32Z,1510000,33.0,22.0,1,left,MISS A. Nader Jump Shot,[1627846],1610612756.0,PHX,,Nader,A. Nader,4.0,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT10M29.00S,2021-11-18T03:41:28.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612756,28,26,2021-11-18T03:41:28Z,1520000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,
157,PT10M29.00S,2021-11-18T03:41:28.2Z,2,REGULAR,jumpball,recovered,[],1629013,,,1610612756,28,26,2021-11-18T03:41:28Z,1530000,,,0,,Jump Ball A. Nader vs. T. Burke: Tip to L. Shamet,"[1629013, 1627846, 203504]",1610612756.0,PHX,,Shamet,L. Shamet,,,,,,,heldball,,,,,,,,,,,,,,L. Shamet,1629013.0,Nader,1627846.0,Burke,203504.0,
161,PT10M27.00S,2021-11-18T03:41:30.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626166,32.933639947437584,35.049019607843135,1610612756,28,26,2021-11-18T03:41:35Z,1560000,75.0,257.0,1,left,MISS C. Payne 26' 3PT,[1626166],1610612756.0,PHX,,Payne,C. Payne,26.78,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT10M24.00S,2021-11-18T03:41:33.7Z,2,REGULAR,rebound,defensive,[],203493,,,1610612742,28,26,2021-11-18T03:41:35Z,1570000,,,0,,R. Bullock REBOUND (Off:1 Def:1),[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,161.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
163,PT10M16.00S,2021-11-18T03:41:42.4Z,2,REGULAR,3pt,Jump Shot,[],204001,66.44218134034165,49.50980392156863,1610612742,28,29,2021-11-18T03:41:49Z,1580000,-2.0,263.0,1,right,K. Porzingis 26' 3PT  (9 PTS) (J. Brunson 2 AST),"[204001, 1628973]",1610612742.0,DAL,,Porzingis,K. Porzingis,26.29,Made,,,,,,9.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,,,,,,
165,PT10M14.00S,2021-11-18T03:41:48.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,28,29,2021-11-18T03:41:48Z,1600000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT09M52.00S,2021-11-18T03:45:35.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,11.645860709592641,54.65686274509803,1610612756,28,29,2021-11-18T03:45:47Z,1610000,-23.0,57.0,1,left,MISS C. Payne 6' Jump Shot - blocked,"[1626166, 204001]",1610612756.0,PHX,,Payne,C. Payne,6.16,Missed,,,,,,,,,,,,,Porzingis,204001.0,,,,,,,,,,,
179,PT09M52.00S,2021-11-18T03:45:35.3Z,2,REGULAR,block,,[],204001,,,1610612756,28,29,2021-11-18T03:47:02Z,1615000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT09M51.00S,2021-11-18T03:45:36.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612756,28,29,2021-11-18T03:50:47Z,1620000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,
169,PT09M50.00S,2021-11-18T03:45:56.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612756,28,29,2021-11-18T03:50:18Z,1630000,,,0,,PHX shot clock Team TURNOVER,[],1610612756.0,PHX,202027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT09M37.00S,2021-11-18T03:46:00.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203504,91.40932982917214,60.049019607843135,1610612742,28,31,2021-11-18T03:46:12Z,1640000,50.0,28.0,1,right,T. Burke turnaround bank Jump Shot (5 PTS),[203504],1610612742.0,DAL,,Burke,T. Burke,5.76,Made,,,,,turnaround bank,5.0,,,,,,,,,,,,,,,,,,,
171,PT09M25.00S,2021-11-18T03:46:13.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201580,15.062417871222076,50.49019607843137,1610612756,30,31,2021-11-18T03:46:30Z,1650000,-2.0,89.0,1,left,J. McGee 8' floating Jump Shot (4 PTS) (C. Payne 4 AST),"[201580, 1626166]",1610612756.0,PHX,,McGee,J. McGee,8.91,Made,,,,,floating,4.0,C. Payne,1626166.0,4.0,,,,,,,,,,,,,,,,
173,PT09M14.00S,2021-11-18T03:46:23.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,91.93495400788436,43.13725490196079,1610612742,30,31,2021-11-18T03:46:33Z,1670000,-34.0,23.0,1,right,MISS J. Brunson driving Layup - blocked,"[1628973, 201580]",1610612742.0,DAL,,Brunson,J. Brunson,4.15,Missed,,,,,driving,,,,,,,,McGee,201580.0,,,,,,,,,,,
174,PT09M14.00S,2021-11-18T03:46:23.9Z,2,REGULAR,block,,[],201580,,,1610612742,30,31,2021-11-18T03:46:27Z,1680000,,,0,,J. McGee BLOCK (2 BLK),[201580],1610612756.0,PHX,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,
