actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
89,PT04M10.00S,2021-11-07T02:24:42.9Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,17,13,2021-11-07T02:24:47Z,860000,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 1628969]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,1.0,Bridges,1628969.0,
90,PT04M10.00S,2021-11-07T02:24:42.9Z,1,REGULAR,steal,,[],1628969,,,1610612756,17,13,2021-11-07T02:42:08Z,870000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M04.00S,2021-11-07T02:24:49.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629661,94.03745072273325,95.83333333333334,1610612756,17,13,2021-11-07T02:39:36Z,880000,229.0,4.0,1,right,MISS C. Johnson 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
92,PT04M01.00S,2021-11-07T02:24:52.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,17,13,2021-11-07T02:24:54Z,890000,,,0,,J. Collins REBOUND (Off:0 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,91.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
93,PT03M55.00S,2021-11-07T02:24:57.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.77989487516426,80.14705882352942,1610612737,17,13,2021-11-07T02:25:14Z,900000,-151.0,227.0,1,left,MISS T. Young 27' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,27.28,Missed,,,,,,,,,,,,,,,,,,,
94,PT03M52.00S,2021-11-07T02:25:00.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,17,13,2021-11-07T02:25:14Z,910000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,93.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
95,PT03M43.00S,2021-11-07T02:25:09.8Z,1,REGULAR,3pt,Jump Shot,[],1626166,94.69448094612353,0.0,1610612756,17,13,2021-11-07T02:25:51Z,920000,-250.0,-3.0,1,right,MISS C. Payne 25' 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
96,PT03M43.00S,2021-11-07T02:25:09.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,17,13,2021-11-07T02:25:26Z,930000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
97,PT03M30.00S,2021-11-07T02:25:26.5Z,1,REGULAR,2pt,Jump Shot,[],1628989,13.354139290407357,30.392156862745097,1610612737,17,15,2021-11-07T02:25:30Z,940000,98.0,73.0,1,left,K. Huerter 12' Jump Shot (2 PTS) (D. Hunter 1 AST),"[1628989, 1629631]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,12.22,Made,,,,,,2.0,,,,,,,D. Hunter,1629631.0,1.0,,,,
100,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,out,[],1626163,,,1610612756,17,15,2021-11-07T02:28:09Z,970000,,,0,,SUB out: F. Kaminsky,[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,out,[],1628969,,,1610612756,17,15,2021-11-07T02:28:09Z,980000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,out,[],1629631,,,1610612756,17,15,2021-11-07T02:28:09Z,990000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,out,[],1628381,,,1610612756,17,15,2021-11-07T02:28:09Z,1000000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,in,[],1627846,,,1610612756,17,15,2021-11-07T02:28:09Z,1010000,,,0,,SUB in: A. Nader,[1627846],1610612756.0,PHX,,,,Nader,A. Nader,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,in,[],201580,,,1610612756,17,15,2021-11-07T02:28:09Z,1020000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,in,[],1629629,,,1610612756,17,15,2021-11-07T02:28:09Z,1030000,,,0,,SUB in: C. Reddish,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M30.00S,2021-11-07T02:26:46.2Z,1,REGULAR,substitution,in,[],203476,,,1610612756,17,15,2021-11-07T02:28:09Z,1040000,,,0,,SUB in: G. Dieng,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M17.00S,2021-11-07T02:28:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,94.95729303547962,54.90196078431373,1610612756,17,15,2021-11-07T02:28:35Z,1050000,25.0,-5.0,1,right,MISS J. McGee driving Layup,[201580],1610612756.0,PHX,driving,,,McGee,J. McGee,,,,,2.5,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M15.00S,2021-11-07T02:28:32.0Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,17,15,2021-11-07T02:28:35Z,1060000,,,0,,D. Booker REBOUND (Off:1 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,108.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
110,PT03M14.00S,2021-11-07T02:28:33.5Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,17,15,2021-11-07T02:28:37Z,1070000,,,0,,D. Booker bad pass TURNOVER (2 TO),"[1626164, 203476]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,2.0,Dieng,203476.0,
111,PT03M14.00S,2021-11-07T02:28:33.5Z,1,REGULAR,steal,,[],203476,,,1610612737,17,15,2021-11-07T02:42:23Z,1080000,,,0,,G. Dieng STEAL (1 STL),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M57.00S,2021-11-07T02:28:50.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201568,13.485545335085414,49.01960784313725,1610612737,17,15,2021-11-07T02:29:13Z,1090000,5.0,74.0,1,left,MISS D. Gallinari 7' driving floating Shot,[201568],1610612737.0,ATL,driving floating,,,Gallinari,D. Gallinari,,,,,7.45,Missed,,,,,,,,,,,,,,,,,,,
113,PT02M54.00S,2021-11-07T02:28:53.8Z,1,REGULAR,rebound,offensive,[],203476,,,1610612737,17,15,2021-11-07T02:28:55Z,1100000,,,0,,G. Dieng REBOUND (Off:1 Def:0),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,112.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
114,PT02M43.00S,2021-11-07T02:29:04.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629027,10.068988173455978,50.73529411764706,1610612737,17,17,2021-11-07T02:29:07Z,1110000,-4.0,42.0,1,left,T. Young floating Jump Shot (7 PTS),[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,4.23,Made,,,,,,7.0,,,,,,,,,,,,,
115,PT02M34.00S,2021-11-07T02:29:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626166,94.95729303547962,52.450980392156865,1610612756,17,17,2021-11-07T02:29:37Z,1120000,12.0,-5.0,1,right,MISS C. Payne driving Layup,[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,1.33,Missed,,,,,,,,,,,,,,,,,,,
116,PT02M32.00S,2021-11-07T02:29:15.5Z,1,REGULAR,rebound,defensive,[],203476,,,1610612737,17,17,2021-11-07T02:29:19Z,1130000,,,0,,G. Dieng REBOUND (Off:1 Def:1),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,115.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
117,PT02M21.00S,2021-11-07T02:29:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,13.354139290407357,43.627450980392155,1610612737,17,19,2021-11-07T02:44:09Z,1140000,32.0,73.0,1,left,K. Huerter 7' floating Jump Shot (4 PTS) (G. Dieng 1 AST),"[1628989, 203476]",1610612737.0,ATL,floating,,,Huerter,K. Huerter,,,,,7.97,Made,,,,,,4.0,,,,,,,G. Dieng,203476.0,1.0,,,,
118,PT02M03.00S,2021-11-07T02:29:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,94.56307490144546,45.34313725490196,1610612756,19,19,2021-11-07T02:29:52Z,1150000,-23.0,-1.0,1,right,D. Booker driving Layup (9 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,2.33,Made,,,,,,9.0,,,,,,,,,,,,,
121,PT01M41.00S,2021-11-07T02:30:06.9Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,19,19,2021-11-07T02:31:06Z,1170000,,,0,,T. Young lost ball TURNOVER (2 TO),"[1629027, 1629661]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,2.0,Johnson,1629661.0,
122,PT01M41.00S,2021-11-07T02:30:06.9Z,1,REGULAR,steal,,[],1629661,,,1610612756,19,19,2021-11-07T02:30:14Z,1180000,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M34.00S,2021-11-07T02:30:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629661,91.40932982917214,52.450980392156865,1610612756,21,19,2021-11-07T02:30:21Z,1190000,12.0,28.0,1,right,C. Johnson running Layup (2 PTS),[1629661],1610612756.0,PHX,running,,,Johnson,C. Johnson,,,,,3.09,Made,,,,,,2.0,,,,,,,,,,,,,
124,PT01M34.00S,2021-11-07T02:30:23.6Z,1,REGULAR,foul,personal,[],1629661,,,1610612737,21,19,2021-11-07T02:30:51Z,1200000,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1629027]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,1627519.0,,,,1.0,0.0,Young,1629027.0,,,,,,,
126,PT01M34.00S,2021-11-07T02:30:31.5Z,1,REGULAR,substitution,out,[],1626164,,,1610612737,21,19,2021-11-07T02:30:44Z,1220000,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M34.00S,2021-11-07T02:30:31.5Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,21,19,2021-11-07T02:30:44Z,1230000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M34.00S,2021-11-07T02:30:31.5Z,1,REGULAR,substitution,in,[],1629013,,,1610612737,21,19,2021-11-07T02:30:44Z,1240000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M34.00S,2021-11-07T02:30:31.5Z,1,REGULAR,substitution,in,[],101150,,,1610612737,21,19,2021-11-07T02:30:44Z,1250000,,,0,,SUB in: L. Williams,[101150],1610612737.0,ATL,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M24.00S,2021-11-07T02:30:48.5Z,1,REGULAR,turnover,bad pass,[],101150,,,1610612737,21,19,2021-11-07T02:30:56Z,1260000,,,0,,L. Williams bad pass TURNOVER (1 TO),"[101150, 1629661]",1610612737.0,ATL,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,,,,1.0,Johnson,1629661.0,
131,PT01M24.00S,2021-11-07T02:30:48.5Z,1,REGULAR,steal,,[],1629661,,,1610612756,21,19,2021-11-07T02:30:54Z,1270000,,,0,,C. Johnson STEAL (2 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M17.00S,2021-11-07T02:30:55.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629661,93.38042049934296,49.50980392156863,1610612756,23,19,2021-11-07T02:30:59Z,1280000,-2.0,10.0,1,right,C. Johnson running DUNK (4 PTS),[1629661],1610612756.0,PHX,running,,,Johnson,C. Johnson,,,,,1.0,Made,,,,,,4.0,,,,,,,,,,,,,
133,PT01M03.00S,2021-11-07T02:31:08.9Z,1,REGULAR,2pt,Jump Shot,[],1629629,22.28975032851511,66.17647058823529,1610612737,23,21,2021-11-07T02:47:55Z,1290000,-81.0,157.0,1,left,C. Reddish 17' pullup Jump Shot (2 PTS),[1629629],1610612737.0,ATL,pullup,,,Reddish,C. Reddish,,,,,17.66,Made,,,,,,2.0,,,,,,,,,,,,,
134,PT00M54.50S,2021-11-07T02:31:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,93.64323258869908,48.77450980392157,1610612756,25,21,2021-11-07T02:31:30Z,1300000,-6.0,7.0,1,right,J. McGee cutting Layup (2 PTS) (L. Shamet 1 AST),"[201580, 1629013]",1610612756.0,PHX,cutting,,,McGee,J. McGee,,,,,0.95,Made,,,,,,2.0,,,,,,,L. Shamet,1629013.0,1.0,,,,
136,PT00M54.50S,2021-11-07T02:31:24.3Z,1,REGULAR,foul,personal,['1freethrow'],1628989,,,1610612756,25,21,2021-11-07T02:31:37Z,1320000,,,0,,K. Huerter shooting personal FOUL (1 PF) (McGee 1 FT),"[1628989, 201580]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,,,,202041.0,,,,1.0,0.0,McGee,201580.0,,,,,,,
138,PT00M54.50S,2021-11-07T02:31:54.8Z,1,REGULAR,freethrow,1 of 1,[],201580,,,1610612756,25,21,2021-11-07T02:31:57Z,1340000,,,0,,MISS J. McGee Free Throw 1 of 1,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M52.60S,2021-11-07T02:31:56.7Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,25,21,2021-11-07T02:31:57Z,1350000,,,0,,K. Huerter REBOUND (Off:1 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,138.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
140,PT00M42.70S,2021-11-07T02:32:05.9Z,1,REGULAR,3pt,Jump Shot,[],203476,27.151773981603156,80.88235294117648,1610612737,25,21,2021-11-07T02:32:17Z,1360000,-154.0,203.0,1,left,MISS G. Dieng 25' 3PT,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M40.00S,2021-11-07T02:32:08.6Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,25,21,2021-11-07T02:32:17Z,1370000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
142,PT00M30.50S,2021-11-07T02:32:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629013,92.06636005256242,97.30392156862744,1610612756,25,21,2021-11-07T02:32:21Z,1380000,237.0,22.0,1,right,MISS L. Shamet 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,23.75,Missed,,,,,,,,,,,,,,,,,,,
143,PT00M27.90S,2021-11-07T02:32:20.6Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,25,21,2021-11-07T02:32:20Z,1390000,,,0,,J. McGee REBOUND (Off:1 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,142.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
144,PT00M18.70S,2021-11-07T02:32:29.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629661,71.30420499342969,16.666666666666664,1610612756,25,21,2021-11-07T02:32:38Z,1400000,-167.0,217.0,1,right,MISS C. Johnson 27' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,27.38,Missed,,,,,,,,,,,,,,,,,,,
145,PT00M16.20S,2021-11-07T02:32:32.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,25,21,2021-11-07T02:32:38Z,1410000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,
146,PT00M16.20S,2021-11-07T02:32:38.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201580,,,1610612737,25,21,2021-11-07T02:33:00Z,1420000,,,0,,J. McGee loose ball personal FOUL (1 PF) (Gallinari 2 FT),"[201580, 201568]",1610612756.0,PHX,loose ball,,,McGee,J. McGee,,,,,,,,,,,202026.0,,,,1.0,0.0,Gallinari,201568.0,,,,,,,
148,PT00M16.20S,2021-11-07T02:33:12.2Z,1,REGULAR,freethrow,1 of 2,[],201568,,,1610612737,25,22,2021-11-07T03:06:22Z,1440000,,,0,,D. Gallinari Free Throw 1 of 2 (1 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,,,,,,1.0,,,,,,,,,,,,,
149,PT00M16.20S,2021-11-07T02:33:13.1Z,1,REGULAR,substitution,out,[],203476,,,1610612737,25,22,2021-11-07T02:33:21Z,1450000,,,0,,SUB out: G. Dieng,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M16.20S,2021-11-07T02:33:13.1Z,1,REGULAR,substitution,in,[],203991,,,1610612737,25,22,2021-11-07T02:33:21Z,1460000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M16.20S,2021-11-07T02:33:12.2Z,1,REGULAR,freethrow,2 of 2,[],201568,,,1610612737,25,23,2021-11-07T03:06:22Z,1470000,,,0,,D. Gallinari Free Throw 2 of 2 (2 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,,,,,,2.0,,,,,,,,,,,,,
152,PT00M06.00S,2021-11-07T02:33:51.3Z,1,REGULAR,3pt,Jump Shot,[],1626166,81.94809461235218,96.07843137254902,1610612756,25,23,2021-11-07T02:33:59Z,1480000,230.0,117.0,1,right,MISS C. Payne 25' step back 3PT,[1626166],1610612756.0,PHX,step back,,,Payne,C. Payne,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
153,PT00M01.10S,2021-11-07T02:33:56.2Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,25,23,2021-11-07T02:33:56Z,1490000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,152.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
154,PT00M00.30S,2021-11-07T02:33:58.4Z,1,REGULAR,3pt,Jump Shot,[],201568,51.724704336399476,12.009803921568627,1610612737,25,26,2021-11-07T02:36:08Z,1500000,190.0,434.0,1,left,D. Gallinari 47' 3PT running pullup (5 PTS),[201568],1610612737.0,ATL,running pullup,,,Gallinari,D. Gallinari,,,,,47.35,Made,,,,,,5.0,,,,,,,,,,,,,
158,PT00M00.00S,2021-11-07T02:34:02.6Z,1,REGULAR,instantreplay,request,[],0,,,1610612756,25,26,2021-11-07T02:35:57Z,1505000,,,0,,,[],,,support,,,,,,,,,,,,,,,202026.0,,,,,,,,,,,,,,
155,PT00M00.00S,2021-11-07T02:34:06.8Z,1,REGULAR,period,end,[],0,,,1610612756,25,26,2021-11-07T02:34:06Z,1510000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT12M00.00S,2021-11-07T02:37:16.0Z,2,REGULAR,substitution,out,['startperiod'],1626166,,,1610612756,25,26,2021-11-07T02:58:54Z,1535000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT12M00.00S,2021-11-07T02:37:16.0Z,2,REGULAR,substitution,in,['startperiod'],101108,,,1610612756,25,26,2021-11-07T02:58:54Z,1547500,,,0,,SUB in: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-11-07T02:37:37.6Z,2,REGULAR,period,start,[],0,,,1610612756,25,26,2021-11-07T02:37:37Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M49.00S,2021-11-07T02:37:43.9Z,2,REGULAR,3pt,Jump Shot,[],1629013,76.2976346911958,86.27450980392157,1610612756,28,26,2021-11-07T02:40:51Z,1570000,181.0,170.0,1,right,L. Shamet 24' 3PT  (3 PTS) (C. Paul 1 AST),"[1629013, 101108]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,24.88,Made,,,,,,3.0,,,,,,,C. Paul,101108.0,1.0,,,,
202,PT11M23.00S,2021-11-07T02:37:47.0Z,2,REGULAR,2pt,Jump Shot,[],1628989,5.436925098554539,19.85294117647058,1610612737,28,26,2021-11-07T02:42:55Z,1577500,151.0,-1.0,1,left,MISS K. Huerter 15' step back Shot,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,15.07,Missed,,,,,,,,,,,,,,,,,,,
203,PT11M23.00S,2021-11-07T02:37:47.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612756,28,26,2021-11-07T02:43:17Z,1578750,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,202.0,,,,,,,,,,,,,,,,,,
204,PT11M21.00S,2021-11-07T02:37:48.6Z,2,REGULAR,foul,personal,[],201568,,,1610612756,28,26,2021-11-07T03:20:32Z,1579375,,,0,,D. Gallinari loose ball personal FOUL (1 PF),"[201568, 1629013]",1610612737.0,ATL,loose ball,,,Gallinari,D. Gallinari,,,,,,,,,,,202026.0,,,,1.0,0.0,Shamet,1629013.0,,,,,,,
165,PT11M09.00S,2021-11-07T02:37:50.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627846,92.9862023653088,50.73529411764706,1610612756,30,26,2021-11-07T02:44:23Z,1580000,4.0,13.0,1,right,A. Nader driving Layup (2 PTS),[1627846],1610612756.0,PHX,driving,,,Nader,A. Nader,,,,,1.39,Made,,,,,,2.0,,,,,,,,,,,,,
167,PT10M56.00S,2021-11-07T02:38:01.9Z,2,REGULAR,2pt,Jump Shot,[],101150,13.009198423127472,32.329963235294116,1610612737,30,28,2021-11-07T02:44:42Z,1590000,88.0,70.0,1,left,L. Williams 11' driving floating Jump Shot (2 PTS),[101150],1610612737.0,ATL,driving floating,,,Williams,L. Williams,,,,,11.26,Made,,,,,,2.0,,,,,,,,,,,,,
168,PT10M35.00S,2021-11-07T02:38:22.8Z,2,REGULAR,2pt,Jump Shot,[],101108,78.0059132720105,39.705882352941174,1610612756,30,28,2021-11-07T02:38:29Z,1600000,-51.0,154.0,1,right,MISS C. Paul 16' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,16.26,Missed,,,,,,,,,,,,,,,,,,,
169,PT10M33.00S,2021-11-07T02:38:25.2Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,30,28,2021-11-07T02:38:25Z,1610000,,,0,,C. Capela REBOUND (Off:2 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,168.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
170,PT10M26.00S,2021-11-07T02:38:31.8Z,2,REGULAR,3pt,Jump Shot,[],1629629,11.514454664914586,98.0392156862745,1610612737,30,28,2021-11-07T02:38:38Z,1620000,-240.0,56.0,1,left,MISS C. Reddish 24' 3PT,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,24.66,Missed,,,,,,,,,,,,,,,,,,,
171,PT10M22.00S,2021-11-07T02:38:36.2Z,2,REGULAR,rebound,offensive,[],201568,,,1610612737,30,28,2021-11-07T02:38:36Z,1630000,,,0,,D. Gallinari REBOUND (Off:1 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,170.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
172,PT10M19.00S,2021-11-07T02:38:38.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203991,13.222733245729303,48.77450980392157,1610612737,30,30,2021-11-07T02:46:06Z,1640000,6.0,72.0,1,left,C. Capela 7' floating Jump Shot (2 PTS),[203991],1610612737.0,ATL,floating,,,Capela,C. Capela,,,,,7.21,Made,,,,,,2.0,,,,,,,,,,,,,
173,PT10M11.00S,2021-11-07T02:38:49.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627846,90.40735873850197,55.346200980392155,1610612756,30,30,2021-11-07T02:48:15Z,1650000,27.0,38.0,1,right,MISS A. Nader driving Layup - blocked,"[1627846, 101150]",1610612756.0,PHX,driving,,,Nader,A. Nader,,,,,4.62,Missed,,,,,,,Williams,101150.0,,,,,,,,,,,
246,PT10M11.00S,2021-11-07T02:38:49.6Z,2,REGULAR,block,,[],101150,,,1610612756,30,30,2021-11-07T02:48:15Z,1655000,,,0,,L. Williams BLOCK (1 BLK),[101150],1610612737.0,ATL,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT10M09.00S,2021-11-07T02:38:51.6Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612737,30,30,2021-11-07T02:48:15Z,1660000,,,0,,K. Huerter REBOUND (Off:1 Def:2),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,173.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
