actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
64,PT06M32.00S,2022-02-16T03:10:33.2Z,1,REGULAR,steal,,[],101108,,,1610612756,9,15,2022-02-16T03:10:34Z,630000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M27.00S,2022-02-16T03:10:38.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,5.601182654402102,49.50980392156863,1610612756,11,15,2022-02-16T03:10:51Z,640000,2.0,0.0,1,left,M. Bridges running DUNK (4 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,0.25,Made,,,,,,,4.0,D. Booker,1626164.0,1.0,,,,,,,,
96,PT06M14.00S,2022-02-16T03:10:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,84.54336399474376,46.568627450980394,1610612746,11,15,2022-02-16T03:18:25Z,665000,-17.0,93.0,1,right,MISS R. Jackson 9' driving floating Shot,[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,9.44,Missed,,,,,,,,,,,,,,,,,,
97,PT06M11.00S,2022-02-16T03:10:58.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,11,15,2022-02-16T03:18:25Z,672500,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT05M55.00S,2022-02-16T03:11:12.7Z,1,REGULAR,2pt,Jump Shot,[],101108,8.09789750328515,30.88235294117647,1610612756,11,15,2022-02-16T03:21:24Z,680000,96.0,24.0,1,left,MISS C. Paul 9' fadeaway bank Shot,[101108],1610612756.0,PHX,fadeaway bank,,,Paul,C. Paul,,,,,9.85,Missed,,,,,,,,,,,,,,,,,,
71,PT05M54.00S,2022-02-16T03:11:13.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,11,15,2022-02-16T03:14:34Z,700000,,,0,,I. Zubac REBOUND (Off:1 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,69.0,5.0,4.0,1.0,,,,,,,,,,,,,,
72,PT05M41.00S,2022-02-16T03:11:27.1Z,1,REGULAR,foul,personal,[],1626164,,,1610612746,11,15,2022-02-16T03:11:48Z,710000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1627826]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,2003.0,,,,,,,,1.0,0.0,Zubac,1627826.0,,
74,PT05M41.00S,2022-02-16T03:11:36.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,11,15,2022-02-16T03:11:36Z,730000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M35.00S,2022-02-16T03:14:56.9Z,1,REGULAR,3pt,Jump Shot,[],201587,66.83639947437582,39.46078431372549,1610612746,11,18,2022-02-16T03:15:01Z,740000,-53.0,259.0,1,right,N. Batum 26' 3PT  (5 PTS) (A. Coffey 1 AST),"[201587, 1629599]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,26.45,Made,,,,,,,5.0,A. Coffey,1629599.0,1.0,,,,,,,,
80,PT05M17.00S,2022-02-16T03:15:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,17.427726675427067,54.166666666666664,1610612756,11,18,2022-02-16T03:46:11Z,760000,-21.0,111.0,1,left,MISS D. Ayton 11' floating Shot,[1629028],1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,11.32,Missed,,,,,,,,,,,,,,,,,,
81,PT05M15.00S,2022-02-16T03:15:16.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,11,18,2022-02-16T03:15:24Z,770000,,,0,,I. Zubac REBOUND (Off:1 Def:5),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,80.0,6.0,5.0,1.0,,,,,,,,,,,,,,
82,PT05M08.00S,2022-02-16T03:15:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,87.72996057818659,45.83333333333333,1610612746,11,18,2022-02-16T03:15:27Z,780000,-21.0,63.0,1,right,MISS R. Jackson 6' driving Layup,[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,6.62,Missed,,,,,,,,,,,,,,,,,,
83,PT05M07.00S,2022-02-16T03:15:26.2Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,11,18,2022-02-16T03:15:26Z,790000,,,0,,I. Zubac REBOUND (Off:2 Def:5),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,82.0,7.0,5.0,2.0,,,,,,,,,,,,,,
84,PT05M06.00S,2022-02-16T03:15:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,89.17542706964521,47.549019607843135,1610612746,11,18,2022-02-16T03:15:30Z,800000,-12.0,49.0,1,right,MISS I. Zubac putback Layup,[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,5.08,Missed,,,,,,,,,,,,,,,,,,
85,PT05M05.00S,2022-02-16T03:15:28.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,11,18,2022-02-16T03:15:30Z,810000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,
135,PT05M05.00S,2022-02-16T03:15:36.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,11,18,2022-02-16T03:24:17Z,815000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2022-02-16T03:15:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,6.258212877792378,47.794117647058826,1610612756,11,18,2022-02-16T03:15:49Z,820000,11.0,6.0,1,left,MISS D. Ayton cutting Layup,[1629028],1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,1.27,Missed,,,,,,,,,,,,,,,,,,
87,PT04M49.00S,2022-02-16T03:15:47.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,11,18,2022-02-16T03:15:49Z,830000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
88,PT04M43.00S,2022-02-16T03:15:53.6Z,1,REGULAR,3pt,Jump Shot,[],202704,68.67608409986859,26.715686274509803,1610612746,11,18,2022-02-16T03:15:57Z,840000,-116.0,242.0,1,right,MISS R. Jackson 26' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,
89,PT04M40.00S,2022-02-16T03:15:56.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,11,18,2022-02-16T03:15:57Z,850000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,88.0,2.0,2.0,0.0,,,,,,,,,,,,,,
