actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
85,PT05M03.00S,2023-01-05T01:24:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,8.623521681997373,54.65686274509803,1610612745,23,11,2023-01-05T01:26:08Z,820000,False,-23.0,29.0,1,left,MISS E. Gordon driving floating Shot,[201569],1610612745.0,HOU,driving floating,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,,,,
87,PT04M59.00S,2023-01-05T01:24:16.8Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,23,11,2023-01-05T01:24:27Z,840000,False,,,0,,A. Sengun REBOUND (Off:2 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,85.0,,,2.0,0.0,2.0,,,,,,
88,PT04M57.00S,2023-01-05T01:24:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,7.966491458607096,49.01960784313725,1610612745,23,13,2023-01-05T01:24:31Z,850000,False,5.0,22.0,1,left,A. Sengun putback Layup (4 PTS),[1630578],1610612745.0,HOU,putback,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.29,Made,4.0,,,,,,,,,,,,,,,,,
89,PT04M43.00S,2023-01-05T01:24:32.0Z,1,REGULAR,3pt,Jump Shot,[],203468,66.04796320630749,53.92156862745098,1610612740,26,13,2023-01-05T01:24:36Z,860000,False,20.0,267.0,1,right,C. McCollum 26' 3PT  (10 PTS) (J. Alvarado 2 AST),"[203468, 1630631]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.73,Made,10.0,,,,,,,,,,,,J. Alvarado,1630631.0,2.0,,,
91,PT04M27.00S,2023-01-05T01:24:50.1Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612745,26,13,2023-01-05T01:25:12Z,880000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630529, 1629645]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,
93,PT04M27.00S,2023-01-05T01:25:15.6Z,1,REGULAR,foul,technical,['1freethrow'],1630529,,,1610612745,26,13,2023-01-05T01:28:19Z,900000,False,,,0,,H. Jones technical FOUL (1 Tech),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,2003.0,1.0,1.0,,,,,,,,,,,,,,
94,PT04M27.00S,2023-01-05T01:26:30.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,26,13,2023-01-05T01:26:30Z,910000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,out,[],1630529,,,1610612745,26,13,2023-01-05T01:28:14Z,920000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,out,[],1630530,,,1610612745,26,13,2023-01-05T01:28:14Z,930000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,out,[],201569,,,1610612745,26,13,2023-01-05T01:28:14Z,940000,False,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,26,13,2023-01-05T01:28:14Z,950000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,in,[],1630700,,,1610612745,26,13,2023-01-05T01:28:14Z,960000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,in,[],1629637,,,1610612745,26,13,2023-01-05T01:28:14Z,970000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,in,[],1630586,,,1610612745,26,13,2023-01-05T01:28:14Z,980000,False,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M27.00S,2023-01-05T01:27:04.7Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,26,13,2023-01-05T01:28:14Z,990000,False,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M27.00S,2023-01-05T01:28:29.8Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,26,14,2023-01-05T01:28:29Z,1000000,False,,,0,,J. Green technical Free Throw 1 of 1 (1 PTS),[1630224],1610612745.0,HOU,technical,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
105,PT04M27.00S,2023-01-05T01:28:53.2Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,26,14,2023-01-05T01:28:53Z,1010000,False,,,0,,MISS K. Porter Jr. Free Throw 1 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
106,PT04M27.00S,2023-01-05T01:28:53.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,26,14,2023-01-05T01:28:53Z,1020000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,
107,PT04M27.00S,2023-01-05T01:29:09.1Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,26,15,2023-01-05T01:29:09Z,1030000,False,,,0,,K. Porter Jr. Free Throw 2 of 2 (3 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
108,PT04M14.00S,2023-01-05T01:29:25.1Z,1,REGULAR,2pt,Jump Shot,[],203468,89.17542706964521,75.73529411764706,1610612740,26,15,2023-01-05T01:29:32Z,1040000,False,129.0,49.0,1,right,MISS C. McCollum 13' fadeaway Shot,[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,13.78,Missed,,,,,,,,,,,,,,,,,,
109,PT04M10.00S,2023-01-05T01:29:29.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,26,15,2023-01-05T02:16:07Z,1050000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,108.0,,,3.0,3.0,0.0,,,,,,
110,PT03M53.00S,2023-01-05T01:29:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,9.280551905387648,54.90196078431373,1610612745,26,17,2023-01-05T01:29:51Z,1060000,False,-25.0,35.0,1,left,J. Green driving Layup (3 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,4.25,Made,3.0,,,,,,,,,,,,,,,,,
111,PT03M44.00S,2023-01-05T01:29:54.6Z,1,REGULAR,3pt,Jump Shot,[],1630700,67.7562417871222,32.84313725490196,1610612740,26,17,2023-01-05T01:29:59Z,1070000,False,-86.0,251.0,1,right,MISS D. Daniels 26' 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,26.49,Missed,,,,,,,,,,,,,,,,,,
112,PT03M41.00S,2023-01-05T01:29:57.6Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,26,17,2023-01-05T01:29:59Z,1080000,False,,,0,,U. Garuba REBOUND (Off:0 Def:1),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Left Center,,,,,,,,,111.0,,,1.0,1.0,0.0,,,,,,
113,PT03M30.00S,2023-01-05T01:30:08.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,15.982260183968464,94.6078431372549,1610612745,26,20,2023-01-05T01:30:21Z,1090000,False,-223.0,98.0,1,left,J. Green 24' 3PT pullup (6 PTS) (U. Garuba 1 AST),"[1630224, 1630586]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.35,Made,6.0,,,,,,,,,,,,U. Garuba,1630586.0,1.0,,,
116,PT03M15.00S,2023-01-05T01:30:23.0Z,1,REGULAR,3pt,Jump Shot,[],203468,69.07030223390277,68.13725490196079,1610612740,26,20,2023-01-05T01:30:28Z,1120000,False,91.0,238.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
117,PT03M13.00S,2023-01-05T01:30:25.0Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,26,20,2023-01-05T01:30:28Z,1130000,False,,,0,,C. McCollum REBOUND (Off:1 Def:0),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,116.0,,,1.0,0.0,1.0,,,,,,
118,PT03M10.00S,2023-01-05T01:30:27.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629637,92.9862023653088,52.94117647058824,1610612740,28,20,2023-01-05T01:30:31Z,1140000,False,15.0,13.0,1,right,J. Hayes cutting DUNK (2 PTS) (C. McCollum 2 AST),"[1629637, 203468]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,,,,,,,,,,,,C. McCollum,203468.0,2.0,,,
120,PT02M51.00S,2023-01-05T01:30:56.1Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.196452036793694,57.35294117647059,1610612745,28,20,2023-01-05T01:31:01Z,1160000,False,-37.0,260.0,1,left,MISS J. Green 26' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Center,26.21,Missed,,,,,,,,,,,,,,,,,,
121,PT02M48.00S,2023-01-05T01:30:59.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,28,20,2023-01-05T01:31:01Z,1170000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,,,120.0,,,4.0,3.0,1.0,,,,,,
122,PT02M45.00S,2023-01-05T01:31:05.0Z,1,REGULAR,foul,personal,['2freethrow'],1630586,,,1610612740,28,20,2023-01-05T01:31:19Z,1180000,False,,,0,,U. Garuba shooting personal FOUL (1 PF) (McCollum 2 FT),"[1630586, 203468]",1610612745.0,HOU,shooting,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,1.0,0.0,McCollum,203468.0,,,,,,,,,,,,
124,PT02M45.00S,2023-01-05T01:31:34.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203468,,,1610612740,29,20,2023-01-05T01:32:04Z,1200000,False,,,0,,C. McCollum Free Throw 1 of 2 (11 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
125,PT02M45.00S,2023-01-05T01:31:35.7Z,1,REGULAR,substitution,out,[],202685,,,1610612740,29,20,2023-01-05T01:31:47Z,1210000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M45.00S,2023-01-05T01:31:35.7Z,1,REGULAR,substitution,out,[],1631095,,,1610612740,29,20,2023-01-05T01:31:47Z,1220000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M45.00S,2023-01-05T01:31:35.7Z,1,REGULAR,substitution,out,[],1629645,,,1610612740,29,20,2023-01-05T01:31:47Z,1230000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M45.00S,2023-01-05T01:31:35.7Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,29,20,2023-01-05T01:31:47Z,1240000,False,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M45.00S,2023-01-05T01:31:35.7Z,1,REGULAR,substitution,in,[],1631102,,,1610612740,29,20,2023-01-05T01:31:47Z,1250000,False,,,0,,SUB in: T. Washington Jr.,[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M45.00S,2023-01-05T01:31:35.7Z,1,REGULAR,substitution,in,[],1631106,,,1610612740,29,20,2023-01-05T01:31:47Z,1260000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M45.00S,2023-01-05T01:31:34.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203468,,,1610612740,30,20,2023-01-05T01:32:04Z,1270000,False,,,0,,C. McCollum Free Throw 2 of 2 (12 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
132,PT02M27.00S,2023-01-05T01:32:13.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630231,8.229303547963205,45.09803921568628,1610612745,30,22,2023-01-05T01:32:18Z,1280000,False,25.0,25.0,1,left,K. Martin Jr. cutting DUNK (2 PTS) (U. Garuba 2 AST),"[1630231, 1630586]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,3.49,Made,2.0,,,,,,,,,,,,U. Garuba,1630586.0,2.0,,,
134,PT02M14.00S,2023-01-05T01:32:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,91.40932982917214,49.50980392156863,1610612740,30,22,2023-01-05T01:33:31Z,1300000,False,-2.0,28.0,1,right,MISS C. McCollum driving floating bank Shot,[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.84,Missed,,,,,,,,,,,,,,,,,,
135,PT02M09.00S,2023-01-05T01:32:31.7Z,1,REGULAR,rebound,defensive,[],1631102,,,1610612745,30,22,2023-01-05T01:41:13Z,1310000,False,,,0,,T. Washington Jr. REBOUND (Off:0 Def:1),[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,134.0,,,1.0,1.0,0.0,,,,,,
137,PT02M09.00S,2023-01-05T01:32:38.6Z,1,REGULAR,substitution,out,[],203468,,,1610612745,30,22,2023-01-05T01:32:41Z,1330000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M09.00S,2023-01-05T01:32:38.6Z,1,REGULAR,substitution,in,[],1630230,,,1610612745,30,22,2023-01-05T01:32:41Z,1340000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M48.00S,2023-01-05T01:33:08.5Z,1,REGULAR,foul,offensive,[],1631102,,,1610612745,30,22,2023-01-05T01:33:23Z,1350000,False,,,0,,T. Washington Jr. charge offensive FOUL (1 PF),"[1631102, 1626195]",1610612745.0,HOU,charge,,,Washington Jr.,T. Washington Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,1626300.0,1.0,0.0,Hernangomez,1626195.0,,,,,,,,,,,,
141,PT01M48.00S,2023-01-05T01:33:08.5Z,1,REGULAR,turnover,offensive foul,[],1631102,,,1610612745,30,22,2023-01-05T01:33:08Z,1370000,False,,,0,,T. Washington Jr. offensive foul TURNOVER (1 TO),[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,1626300.0,,,,,,,,,,,,,,1.0,,
142,PT01M25.00S,2023-01-05T01:33:45.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626195,91.14651773981603,54.41176470588235,1610612740,32,22,2023-01-05T01:33:51Z,1380000,False,22.0,31.0,1,right,W. Hernangomez driving Hook (2 PTS) (D. Daniels 1 AST),"[1626195, 1630700]",1610612740.0,NOP,driving,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,3.78,Made,2.0,,,,,,,,,,,,D. Daniels,1630700.0,1.0,,,
144,PT01M14.00S,2023-01-05T01:33:58.7Z,1,REGULAR,turnover,out-of-bounds,[],1630586,,,1610612745,32,22,2023-01-05T01:34:11Z,1400000,False,,,0,,U. Garuba bad pass out-of-bounds TURNOVER (1 TO),[1630586],1610612745.0,HOU,bad pass,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,2003.0,,,,,,,,,,,,,,1.0,,
145,PT01M01.00S,2023-01-05T01:34:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630230,92.85479632063075,45.83333333333333,1610612740,34,22,2023-01-05T01:34:22Z,1410000,False,-21.0,15.0,1,right,N. Marshall driving finger roll Layup (6 PTS),[1630230],1610612740.0,NOP,driving finger roll,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,2.55,Made,6.0,,,,,,,,,,,,,,,,,
146,PT00M56.60S,2023-01-05T01:34:23.6Z,1,REGULAR,turnover,bad pass,[],1631102,,,1610612745,34,22,2023-01-05T01:34:30Z,1420000,False,,,0,,T. Washington Jr. bad pass TURNOVER (2 TO),"[1631102, 1630700]",1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,2.0,Daniels,1630700.0
147,PT00M56.60S,2023-01-05T01:34:23.6Z,1,REGULAR,steal,,[],1630700,,,1610612740,34,22,2023-01-05T01:34:26Z,1430000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
148,PT00M55.60S,2023-01-05T01:34:27.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630700,92.06636005256242,49.50980392156863,1610612740,36,22,2023-01-05T01:35:25Z,1440000,False,-2.0,22.0,1,right,D. Daniels running Layup (2 PTS),[1630700],1610612740.0,NOP,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,,,,,,,,,,,,,,,,,
149,PT00M55.60S,2023-01-05T01:34:33.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631106,,,1610612740,36,22,2023-01-05T01:34:47Z,1450000,False,,,0,,T. Eason shooting personal FOUL (1 PF) (Daniels 1 FT),"[1631106, 1630700]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,1626300.0,1.0,0.0,Daniels,1630700.0,,,,,,,,,,,,
151,PT00M55.60S,2023-01-05T01:34:52.2Z,1,REGULAR,substitution,out,[],1630224,,,1610612740,36,22,2023-01-05T01:35:02Z,1470000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M55.60S,2023-01-05T01:34:52.2Z,1,REGULAR,substitution,in,[],1629645,,,1610612740,36,22,2023-01-05T01:35:02Z,1480000,False,,,0,,SUB in: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M55.60S,2023-01-05T01:35:01.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630700,,,1610612740,36,22,2023-01-05T01:35:03Z,1490000,False,,,0,,MISS D. Daniels Free Throw 1 of 1,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
154,PT00M53.30S,2023-01-05T01:35:03.5Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,36,22,2023-01-05T01:35:03Z,1500000,False,,,0,,W. Hernangomez REBOUND (Off:1 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,153.0,,,1.0,0.0,1.0,,,,,,
155,PT00M44.50S,2023-01-05T01:35:11.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626195,91.5407358738502,44.11764705882353,1610612740,38,22,2023-01-05T01:35:21Z,1510000,False,-29.0,27.0,1,right,W. Hernangomez cutting DUNK (4 PTS) (J. Alvarado 3 AST),"[1626195, 1630631]",1610612740.0,NOP,cutting,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,3.99,Made,4.0,,,,,,,,,,,,J. Alvarado,1630631.0,3.0,,,
157,PT00M31.70S,2023-01-05T01:35:28.2Z,1,REGULAR,3pt,Jump Shot,[],1629645,30.305519053876477,68.87254901960785,1610612745,38,22,2023-01-05T01:35:37Z,1530000,False,-94.0,232.0,1,left,MISS K. Porter Jr. 25' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.08,Missed,,,,,,,,,,,,,,,,,,
158,PT00M27.70S,2023-01-05T01:35:32.2Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,38,22,2023-01-05T01:35:37Z,1540000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,157.0,,,1.0,1.0,0.0,,,,,,
159,PT00M10.00S,2023-01-05T01:35:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630700,75.3777923784494,87.25490196078431,1610612740,41,22,2023-01-05T01:35:55Z,1550000,False,186.0,179.0,1,right,D. Daniels 25' 3PT  (5 PTS) (J. Alvarado 4 AST),"[1630700, 1630631]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,25.83,Made,5.0,,,,,,,,,,,,J. Alvarado,1630631.0,4.0,,,
161,PT00M06.30S,2023-01-05T01:36:00.3Z,1,REGULAR,foul,offensive,['inpenalty'],1630586,,,1610612745,41,22,2023-01-05T01:36:11Z,1570000,False,,,0,,U. Garuba off-the-ball offensive FOUL (2 PF),"[1630586, 1630230]",1610612745.0,HOU,off-the-ball,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Center,,,,1626301.0,2.0,0.0,Marshall,1630230.0,,,,,,,,,,,,
163,PT00M06.30S,2023-01-05T01:36:00.3Z,1,REGULAR,turnover,offensive foul,[],1630586,,,1610612745,41,22,2023-01-05T01:36:00Z,1590000,False,,,0,,U. Garuba offensive foul TURNOVER (2 TO),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Center,,,,1626301.0,,,,,,,,,,,,,,2.0,,
164,PT00M06.30S,2023-01-05T01:36:16.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612740,41,22,2023-01-05T01:36:44Z,1600000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612745.0,HOU,,,,,,,,,,,,,,,1626301.0,,,,,,,,,,,,,,,,
165,PT00M06.30S,2023-01-05T01:36:22.4Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",2152,,,1610612740,41,22,2023-01-05T01:36:58Z,1610000,False,,,0,,TEAM foul technical,[2152],1610612745.0,HOU,,,,,,,,,,,,,,,1626301.0,,,,,,,,,,,,,,,,
166,PT00M06.30S,2023-01-05T01:37:01.0Z,1,REGULAR,freethrow,1 of 1,[],1630230,,,1610612740,42,22,2023-01-05T01:37:01Z,1620000,False,,,0,,N. Marshall technical Free Throw 1 of 1 (7 PTS),[1630230],1610612740.0,NOP,technical,,,Marshall,N. Marshall,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
167,PT00M06.30S,2023-01-05T01:37:02.2Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",2152,,,1610612740,42,22,2023-01-05T01:37:13Z,1630000,False,,,0,,TEAM foul technical,[2152],1610612745.0,HOU,,,,,,,,,,,,,,,1626301.0,,,,,,,,,,,,,,,,
189,PT00M06.30S,2023-01-05T01:37:09.4Z,1,REGULAR,ejection,other,[],2152,,,1610612740,42,22,2023-01-05T01:42:10Z,1635000,False,,,0,,Ejection,[2152],1610612745.0,HOU,,,,,,,,,,,,,,,2003.0,,,,,,,,,,,,,,,,
168,PT00M06.30S,2023-01-05T01:37:16.6Z,1,REGULAR,freethrow,1 of 1,[],1630230,,,1610612740,43,22,2023-01-05T01:37:16Z,1640000,False,,,0,,N. Marshall technical Free Throw 1 of 1 (8 PTS),[1630230],1610612740.0,NOP,technical,,,Marshall,N. Marshall,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
169,PT00M02.00S,2023-01-05T01:37:31.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630631,84.1819973718791,41.42156862745098,1610612740,45,22,2023-01-05T01:37:42Z,1650000,False,-43.0,96.0,1,right,J. Alvarado 10' driving floating Jump Shot (2 PTS) (D. Daniels 2 AST),"[1630631, 1630700]",1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,10.53,Made,2.0,,,,,,,,,,,,D. Daniels,1630700.0,2.0,,,
173,PT00M00.00S,2023-01-05T01:39:07.1Z,1,REGULAR,period,end,[],0,,,1610612745,45,22,2023-01-05T01:39:07Z,1690000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
