actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
187,PT00M21.50S,2026-01-01T00:36:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,6.915243101182654,50.49019607843137,1610612741,36,32,2026-01-01T00:40:29Z,1860000,False,-2.0,13.0,1,left,T. Jones driving Layup (5 PTS),[1630200],1610612741.0,CHI,driving,,,Jones,T. Jones,,,,,,Restricted Area,0-8 Center,1.27,Made,5.0,,,,,,,,,,,,,,,,
188,PT00M04.60S,2026-01-01T00:36:27.6Z,1,REGULAR,3pt,Jump Shot,[],1642877,76.95466491458606,9.313725490196079,1610612740,36,32,2026-01-01T00:36:33Z,1870000,False,-203.0,164.0,1,right,MISS M. Peavy 26' 3PT,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,
189,PT00M01.00S,2026-01-01T00:36:31.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612740,36,32,2026-01-01T00:36:31Z,1880000,False,,,0,,K. Looney REBOUND (Off:3 Def:3),[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,,Above the Break 3,24+ Left Center,,,,,,,188.0,6.0,3.0,3.0,,,,,,,,,
190,PT00M00.00S,2026-01-01T00:36:32.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626172,93.77463863337714,65.68627450980392,1610612740,36,32,2026-01-01T00:38:09Z,1890000,False,78.0,6.0,1,right,MISS K. Looney 7' Jump Shot,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,,In The Paint (Non-RA),0-8 Center,7.86,Missed,,,,,,,,,,,,,,,,,
191,PT00M00.00S,2026-01-01T00:36:32.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,36,32,2026-01-01T00:38:09Z,1900000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,190.0,,,,,,,,,,,,
192,PT00M00.00S,2026-01-01T00:36:35.5Z,1,REGULAR,period,end,[],0,,,1610612740,36,32,2026-01-01T00:36:35Z,1910000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2026-01-01T00:38:43.7Z,2,REGULAR,substitution,out,['startperiod'],1642877,,,1610612740,36,32,2026-01-01T00:39:15Z,1920000,False,,,0,,SUB out: M. Peavy,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2026-01-01T00:38:43.7Z,2,REGULAR,substitution,out,['startperiod'],1626172,,,1610612740,36,32,2026-01-01T00:39:15Z,1930000,False,,,0,,SUB out: K. Looney,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2026-01-01T00:38:43.7Z,2,REGULAR,substitution,in,['startperiod'],1642852,,,1610612740,36,32,2026-01-01T00:39:15Z,1940000,False,,,0,,SUB in: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT12M00.00S,2026-01-01T00:38:43.7Z,2,REGULAR,substitution,in,['startperiod'],1630180,,,1610612740,36,32,2026-01-01T00:39:15Z,1950000,False,,,0,,SUB in: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT12M00.00S,2026-01-01T00:39:23.4Z,2,REGULAR,period,start,[],0,,,1610612741,36,32,2026-01-01T00:39:23Z,1960000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT11M44.00S,2026-01-01T00:39:37.6Z,2,REGULAR,2pt,Jump Shot,[],202696,5.206964520367937,21.323529411764707,1610612741,38,32,2026-01-01T00:39:41Z,1970000,False,143.0,-4.0,1,left,N. Vučević 14' Jump Shot (7 PTS) (T. Jones 3 AST),"[202696, 1630200]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Mid-Range,8-16 Right,14.34,Made,7.0,T. Jones,1630200.0,3.0,,,,,,,,,,,,,
200,PT11M30.00S,2026-01-01T00:39:52.4Z,2,REGULAR,3pt,Jump Shot,[],1641722,96.40275952693824,95.83333333333334,1610612740,38,35,2026-01-01T00:39:56Z,1990000,False,229.0,-19.0,1,right,J. Hawkins 3PT  (3 PTS) (S. Bey 1 AST),"[1641722, 1630180]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,Right Corner 3,24+ Right,23.0,Made,3.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,
202,PT11M10.00S,2026-01-01T00:40:11.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,10.068988173455978,43.627450980392155,1610612741,40,35,2026-01-01T00:40:16Z,2010000,False,32.0,42.0,1,left,M. Buzelis driving floating Jump Shot (7 PTS),[1641824],1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,,In The Paint (Non-RA),0-8 Center,5.28,Made,7.0,,,,,,,,,,,,,,,,
203,PT10M54.00S,2026-01-01T00:40:27.9Z,2,REGULAR,3pt,Jump Shot,[],1641722,79.45137976346912,93.13725490196079,1610612740,40,35,2026-01-01T00:40:32Z,2020000,False,216.0,141.0,1,right,MISS J. Hawkins 25' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,
204,PT10M52.00S,2026-01-01T00:40:29.9Z,2,REGULAR,rebound,defensive,[],1641824,,,1610612741,40,35,2026-01-01T00:40:32Z,2030000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:3),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Right Center,,,,,,,203.0,4.0,3.0,1.0,,,,,,,,,
205,PT10M47.00S,2026-01-01T00:40:39.4Z,2,REGULAR,foul,personal,[],1642852,,,1610612741,40,35,2026-01-01T00:41:02Z,2040000,False,,,0,,D. Queen personal FOUL (1 PF),"[1642852, 1641824]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,1628485.0,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,0.0,Buzelis,1641824.0
207,PT10M41.00S,2026-01-01T00:40:58.7Z,2,REGULAR,3pt,Jump Shot,[],202696,32.276609724047304,47.549019607843135,1610612741,40,35,2026-01-01T00:41:04Z,2060000,False,12.0,251.0,1,left,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Above the Break 3,24+ Center,25.12,Missed,,,,,,,,,,,,,,,,,
208,PT10M37.00S,2026-01-01T00:41:01.1Z,2,REGULAR,rebound,defensive,[],1630180,,,1610612740,40,35,2026-01-01T00:41:01Z,2070000,False,,,0,,S. Bey REBOUND (Off:1 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,Above the Break 3,24+ Center,,,,,,,207.0,2.0,1.0,1.0,,,,,,,,,
209,PT10M31.00S,2026-01-01T00:41:10.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.77463863337714,51.225490196078425,1610612740,40,37,2026-01-01T00:41:15Z,2080000,False,6.0,6.0,1,right,Z. Williamson driving finger roll Layup (10 PTS),[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,0.86,Made,10.0,,,,,,,,,,,,,,,,
210,PT10M31.00S,2026-01-01T00:41:12.1Z,2,REGULAR,foul,personal,['1freethrow'],1630171,,,1610612740,40,37,2026-01-01T00:41:17Z,2090000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Williamson 1 FT),"[1630171, 1629627]",1610612741.0,CHI,shooting,,,Okoro,I. Okoro,,,,,2003.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0
212,PT10M31.00S,2026-01-01T00:41:35.7Z,2,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,40,38,2026-01-01T00:41:35Z,2110000,False,,,0,,Z. Williamson Free Throw 1 of 1 (11 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,
213,PT10M07.00S,2026-01-01T00:42:00.8Z,2,REGULAR,2pt,Jump Shot,[],1628975,26.757555847568987,62.5,1610612741,40,38,2026-01-01T00:42:05Z,2120000,False,-62.0,199.0,1,left,MISS J. Carter 20' step back Shot,[1628975],1610612741.0,CHI,step back,,,Carter,J. Carter,,,,,,Mid-Range,16-24 Center,20.86,Missed,,,,,,,,,,,,,,,,,
214,PT10M05.00S,2026-01-01T00:42:02.8Z,2,REGULAR,rebound,defensive,[],1642852,,,1610612740,40,38,2026-01-01T00:42:05Z,2130000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,Mid-Range,16-24 Center,,,,,,,213.0,1.0,1.0,0.0,,,,,,,,,
215,PT09M57.00S,2026-01-01T00:42:10.7Z,2,REGULAR,2pt,Jump Shot,[],1642852,94.43166885676742,27.696078431372552,1610612740,40,40,2026-01-01T00:43:39Z,2140000,False,-112.0,0.0,1,right,D. Queen 11' fadeaway Jump Shot (2 PTS),[1642852],1610612740.0,NOP,fadeaway,,,Queen,D. Queen,,,,,,Mid-Range,8-16 Left,11.15,Made,2.0,,,,,,,,,,,,,,,,
216,PT09M46.00S,2026-01-01T00:42:22.5Z,2,REGULAR,3pt,Jump Shot,[],1641824,21.50131406044678,92.8921568627451,1610612741,40,40,2026-01-01T00:44:11Z,2150000,False,-214.0,150.0,1,left,MISS M. Buzelis 26' pullup 3PT,[1641824],1610612741.0,CHI,pullup,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,
217,PT09M43.00S,2026-01-01T00:42:24.8Z,2,REGULAR,rebound,defensive,[],1642852,,,1610612740,40,40,2026-01-01T00:42:24Z,2160000,False,,,0,,D. Queen REBOUND (Off:0 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,Above the Break 3,24+ Left Center,,,,,,,216.0,2.0,2.0,0.0,,,,,,,,,
218,PT09M30.00S,2026-01-01T00:42:37.2Z,2,REGULAR,2pt,Jump Shot,[],1641722,92.59198423127464,24.264705882352942,1610612740,40,42,2026-01-01T00:42:42Z,2170000,False,-129.0,17.0,1,right,J. Hawkins 12' driving floating Jump Shot (5 PTS) (J. Poole 2 AST),"[1641722, 1629673]",1610612740.0,NOP,driving floating,,,Hawkins,J. Hawkins,,,,,,Mid-Range,8-16 Left,12.98,Made,5.0,J. Poole,1629673.0,2.0,,,,,,,,,,,,,
220,PT09M20.00S,2026-01-01T00:42:47.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.178055190538765,46.568627450980394,1610612741,42,42,2026-01-01T00:45:13Z,2190000,False,17.0,15.0,1,left,I. Okoro cutting Layup (13 PTS) (T. Jones 4 AST),"[1630171, 1630200]",1610612741.0,CHI,cutting,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,2.28,Made,13.0,T. Jones,1630200.0,4.0,,,,,,,,,,,,,
222,PT09M15.00S,2026-01-01T00:42:53.3Z,2,REGULAR,3pt,Jump Shot,[],1629673,70.38436268068331,74.01960784313727,1610612740,42,42,2026-01-01T00:45:30Z,2210000,False,120.0,226.0,1,right,MISS J. Poole 25' pullup 3PT,[1629673],1610612740.0,NOP,pullup,,,Poole,J. Poole,,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,
223,PT09M10.00S,2026-01-01T00:42:58.3Z,2,REGULAR,rebound,defensive,[],1641824,,,1610612741,42,42,2026-01-01T00:42:59Z,2220000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:4),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Right Center,,,,,,,222.0,5.0,4.0,1.0,,,,,,,,,
225,PT09M08.00S,2026-01-01T00:43:06.0Z,2,REGULAR,substitution,out,[],1629627,,,1610612741,42,42,2026-01-01T00:43:14Z,2240000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT09M08.00S,2026-01-01T00:43:06.0Z,2,REGULAR,substitution,in,[],1642274,,,1610612741,42,42,2026-01-01T00:43:14Z,2250000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT09M02.00S,2026-01-01T00:43:26.8Z,2,REGULAR,3pt,Jump Shot,[],1641824,28.597240473061763,24.019607843137255,1610612741,42,42,2026-01-01T00:43:31Z,2260000,False,130.0,216.0,1,left,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,
228,PT08M59.00S,2026-01-01T00:43:29.8Z,2,REGULAR,rebound,defensive,[],1641722,,,1610612740,42,42,2026-01-01T00:43:31Z,2270000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,Above the Break 3,24+ Right Center,,,,,,,227.0,1.0,1.0,0.0,,,,,,,,,
229,PT08M50.00S,2026-01-01T00:43:39.1Z,2,REGULAR,3pt,Jump Shot,[],1641722,85.10183968462549,95.34313725490196,1610612740,42,42,2026-01-01T00:43:47Z,2280000,False,227.0,88.0,1,right,MISS J. Hawkins 24' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,Right Corner 3,24+ Right,24.3,Missed,,,,,,,,,,,,,,,,,
230,PT08M48.00S,2026-01-01T00:43:41.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,42,42,2026-01-01T00:43:47Z,2290000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,229.0,,,,,,,,,,,,
232,PT08M34.00S,2026-01-01T00:44:03.0Z,2,REGULAR,3pt,Jump Shot,[],1628975,25.04927726675427,81.37254901960785,1610612741,45,42,2026-01-01T00:44:06Z,2310000,False,-157.0,183.0,1,left,J. Carter 24' 3PT  (3 PTS) (M. Buzelis 2 AST),"[1628975, 1641824]",1610612741.0,CHI,,,,Carter,J. Carter,,,,,,Above the Break 3,24+ Left Center,24.11,Made,3.0,M. Buzelis,1641824.0,2.0,,,,,,,,,,,,,
234,PT08M17.00S,2026-01-01T00:44:20.3Z,2,REGULAR,3pt,Jump Shot,[],1641722,95.22010512483574,95.34313725490196,1610612740,45,42,2026-01-01T00:44:25Z,2330000,False,227.0,-8.0,1,right,MISS J. Hawkins 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,
235,PT08M12.00S,2026-01-01T00:44:25.3Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,45,42,2026-01-01T00:44:25Z,2340000,False,,,0,,N. Vučević REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Right Corner 3,24+ Right,,,,,,,234.0,3.0,3.0,0.0,,,,,,,,,
236,PT08M02.00S,2026-01-01T00:44:35.3Z,2,REGULAR,turnover,bad pass,[],1628975,,,1610612741,45,42,2026-01-01T00:44:39Z,2350000,False,,,0,,J. Carter bad pass TURNOVER (1 TO),"[1628975, 1642852]",1610612741.0,CHI,,,,Carter,J. Carter,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Queen,1642852.0,,,,
237,PT08M02.00S,2026-01-01T00:44:35.3Z,2,REGULAR,steal,,[],1642852,,,1610612740,45,42,2026-01-01T00:44:37Z,2360000,False,,,0,,D. Queen STEAL (1 STL),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
238,PT07M57.00S,2026-01-01T00:44:39.3Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630180,93.77463863337714,48.529411764705884,1610612740,45,44,2026-01-01T00:49:17Z,2370000,False,-7.0,6.0,1,right,S. Bey running DUNK (6 PTS) (D. Queen 3 AST),"[1630180, 1642852]",1610612740.0,NOP,running,,,Bey,S. Bey,,,,,,Restricted Area,0-8 Center,0.95,Made,6.0,D. Queen,1642852.0,3.0,,,,,,,,,,,,,
240,PT07M46.00S,2026-01-01T00:44:51.1Z,2,REGULAR,3pt,Jump Shot,[],1628975,25.706307490144546,81.86274509803921,1610612741,45,44,2026-01-01T00:44:55Z,2390000,False,-159.0,189.0,1,left,MISS J. Carter 24' pullup 3PT,[1628975],1610612741.0,CHI,pullup,,,Carter,J. Carter,,,,,,Above the Break 3,24+ Left Center,24.73,Missed,,,,,,,,,,,,,,,,,
241,PT07M44.00S,2026-01-01T00:44:53.1Z,2,REGULAR,rebound,defensive,[],1642852,,,1610612740,45,44,2026-01-01T00:44:55Z,2400000,False,,,0,,D. Queen REBOUND (Off:0 Def:3),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,Above the Break 3,24+ Left Center,,,,,,,240.0,3.0,3.0,0.0,,,,,,,,,
242,PT07M35.00S,2026-01-01T00:45:02.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,92.59198423127464,47.794117647058826,1610612740,45,46,2026-01-01T00:45:06Z,2410000,False,-11.0,17.0,1,right,S. Bey driving floating Jump Shot (8 PTS),[1630180],1610612740.0,NOP,driving floating,,,Bey,S. Bey,,,,,,Restricted Area,0-8 Center,2.03,Made,8.0,,,,,,,,,,,,,,,,
243,PT07M30.00S,2026-01-01T00:45:14.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,45,46,2026-01-01T00:45:14Z,2420000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,out,[],1628975,,,1610612741,45,46,2026-01-01T00:48:00Z,2430000,False,,,0,,SUB out: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,out,[],202696,,,1610612741,45,46,2026-01-01T00:48:00Z,2440000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,out,[],1641824,,,1610612741,45,46,2026-01-01T00:48:00Z,2450000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,out,[],1630200,,,1610612741,45,46,2026-01-01T00:48:00Z,2460000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,out,[],1629673,,,1610612741,45,46,2026-01-01T00:48:00Z,2470000,False,,,0,,SUB out: J. Poole,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,out,[],1641722,,,1610612741,45,46,2026-01-01T00:48:00Z,2480000,False,,,0,,SUB out: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,in,[],1630172,,,1610612741,45,46,2026-01-01T00:48:00Z,2490000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,in,[],1630245,,,1610612741,45,46,2026-01-01T00:48:00Z,2500000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,in,[],1630188,,,1610612741,45,46,2026-01-01T00:48:00Z,2510000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,in,[],1628989,,,1610612741,45,46,2026-01-01T00:48:00Z,2520000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,in,[],1642847,,,1610612741,45,46,2026-01-01T00:48:00Z,2530000,False,,,0,,SUB in: J. Fears,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M30.00S,2026-01-01T00:47:44.4Z,2,REGULAR,substitution,in,[],1630530,,,1610612741,45,46,2026-01-01T00:48:00Z,2540000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT07M18.00S,2026-01-01T00:48:24.8Z,2,REGULAR,3pt,Jump Shot,[],1630188,30.962549277266753,25.98039215686275,1610612741,45,46,2026-01-01T00:48:28Z,2550000,False,120.0,239.0,1,left,MISS J. Smith 26' 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,Above the Break 3,24+ Right Center,26.7,Missed,,,,,,,,,,,,,,,,,
257,PT07M15.00S,2026-01-01T00:48:27.8Z,2,REGULAR,rebound,offensive,[],1630171,,,1610612741,45,46,2026-01-01T00:48:28Z,2560000,False,,,0,,I. Okoro REBOUND (Off:1 Def:2),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Above the Break 3,24+ Right Center,,,,,,,256.0,3.0,2.0,1.0,,,,,,,,,
258,PT07M14.00S,2026-01-01T00:48:31.9Z,2,REGULAR,foul,personal,['2freethrow'],1642274,,,1610612741,45,46,2026-01-01T00:48:41Z,2570000,False,,,0,,Y. Missi shooting personal FOUL (2 PF) (Huerter 2 FT),"[1642274, 1628989]",1610612740.0,NOP,shooting,,,Missi,Y. Missi,,,,,1628485.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,0.0,Huerter,1628989.0
260,PT07M14.00S,2026-01-01T00:48:58.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628989,,,1610612741,45,46,2026-01-01T00:48:58Z,2590000,False,,,0,,MISS K. Huerter Free Throw 1 of 2,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
261,PT07M14.00S,2026-01-01T00:48:58.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,45,46,2026-01-01T00:48:58Z,2600000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,
262,PT07M14.00S,2026-01-01T00:48:58.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628989,,,1610612741,45,46,2026-01-01T00:49:18Z,2610000,False,,,0,,MISS K. Huerter Free Throw 2 of 2,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
263,PT07M12.00S,2026-01-01T00:49:00.8Z,2,REGULAR,rebound,defensive,[],1642852,,,1610612740,45,46,2026-01-01T00:49:18Z,2620000,False,,,0,,D. Queen REBOUND (Off:0 Def:4),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,262.0,4.0,4.0,0.0,,,,,,,,,
264,PT06M58.00S,2026-01-01T00:49:31.6Z,2,REGULAR,2pt,Jump Shot,[],1630180,83.26215505913272,24.264705882352942,1610612740,45,46,2026-01-01T00:49:37Z,2630000,False,-129.0,105.0,1,right,MISS S. Bey 16' Jump Shot,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,Mid-Range,16-24 Left Center,16.6,Missed,,,,,,,,,,,,,,,,,
265,PT06M55.00S,2026-01-01T00:49:34.6Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612741,45,46,2026-01-01T00:49:37Z,2640000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,Mid-Range,16-24 Left Center,,,,,,,264.0,1.0,1.0,0.0,,,,,,,,,
266,PT06M42.00S,2026-01-01T00:49:47.1Z,2,REGULAR,3pt,Jump Shot,[],1630171,29.911300919842315,23.52941176470588,1610612741,45,46,2026-01-01T00:50:00Z,2650000,False,132.0,229.0,1,left,MISS I. Okoro 26' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Above the Break 3,24+ Right Center,26.43,Missed,,,,,,,,,,,,,,,,,
267,PT06M40.00S,2026-01-01T00:49:49.1Z,2,REGULAR,rebound,offensive,[],1630172,,,1610612741,45,46,2026-01-01T00:56:17Z,2660000,False,,,0,,P. Williams REBOUND (Off:1 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,Above the Break 3,24+ Right Center,,,,,,,266.0,1.0,0.0,1.0,,,,,,,,,
268,PT06M40.00S,2026-01-01T00:49:53.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630172,5.590000152587891,50.0,1610612741,47,46,2026-01-01T00:51:39Z,2670000,False,0.0,0.0,1,left,P. Williams putback Layup (2 PTS),[1630172],1610612741.0,CHI,putback,,,Williams,P. Williams,,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,
269,PT06M32.00S,2026-01-01T00:50:03.2Z,2,REGULAR,2pt,Jump Shot,[],1642847,79.63206307490145,66.18412990196079,1610612740,47,46,2026-01-01T00:51:17Z,2680000,False,81.0,139.0,1,right,MISS J. Fears 16' step back Shot - blocked,"[1642847, 1630245]",1610612740.0,NOP,step back,,,Fears,J. Fears,,,,,,Mid-Range,16-24 Right Center,16.08,Missed,,,,,,,,,Dosunmu,1630245.0,,,,,,,
