actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
84,PT04M49.00S,2026-01-21T01:23:35.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,14,16,2026-01-21T01:23:39Z,830000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,,,,,83.0,,,,,,,,,,,,,,,,,
86,PT04M37.00S,2026-01-21T01:23:55.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,13.354139290407357,44.85294117647059,1610612746,14,18,2026-01-21T01:26:25Z,850000,False,26.0,73.0,1,left,K. Dunn 7' driving floating Jump Shot (4 PTS),[1627739],1610612746.0,LAC,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.74,Made,Dunn,K. Dunn,,,,,4.0,,,,,,,,,,,,,
87,PT04M25.00S,2026-01-21T01:24:07.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,72.48685939553219,76.47058823529412,1610612741,17,18,2026-01-21T01:24:11Z,860000,False,132.0,206.0,1,right,K. Huerter 24' 3PT  (3 PTS) (T. Jones 1 AST),"[1628989, 1630200]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,24.5,Made,Huerter,K. Huerter,,,,,3.0,,,T. Jones,1630200.0,1.0,,,,,,,,
89,PT04M01.00S,2026-01-21T01:24:32.0Z,1,REGULAR,turnover,bad pass,[],1627739,,,1610612746,17,18,2026-01-21T01:24:36Z,880000,False,,,0,,K. Dunn bad pass TURNOVER (1 TO),"[1627739, 1628989]",1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,,Dunn,K. Dunn,,,,,,,1.0,,,,,,,,Huerter,1628989.0,,
90,PT04M01.00S,2026-01-21T01:24:32.0Z,1,REGULAR,steal,,[],1628989,,,1610612741,17,18,2026-01-21T01:24:36Z,890000,False,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Right Center,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
91,PT03M58.00S,2026-01-21T01:24:41.6Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612741,17,18,2026-01-21T01:24:49Z,900000,False,,,0,,K. Huerter bad pass out-of-bounds TURNOVER (1 TO),[1628989],1610612741.0,CHI,bad pass,,,,,,Mid-Range,16-24 Center,,,Huerter,K. Huerter,,,,,,1830.0,1.0,,,,,,,,,,,
92,PT03M58.00S,2026-01-21T01:24:45.3Z,1,REGULAR,substitution,out,[],202696,,,1610612746,17,18,2026-01-21T01:24:55Z,910000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,,,,,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
93,PT03M58.00S,2026-01-21T01:24:45.3Z,1,REGULAR,substitution,out,[],1627739,,,1610612746,17,18,2026-01-21T01:24:55Z,920000,False,,,0,,SUB out: K. Dunn,[1627739],1610612746.0,LAC,,,,,,,,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,
94,PT03M58.00S,2026-01-21T01:24:45.3Z,1,REGULAR,substitution,in,[],1630188,,,1610612746,17,18,2026-01-21T01:24:55Z,930000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,
95,PT03M58.00S,2026-01-21T01:24:45.3Z,1,REGULAR,substitution,in,[],1641757,,,1610612746,17,18,2026-01-21T01:24:55Z,940000,False,,,0,,SUB in: J. Miller,[1641757],1610612746.0,LAC,,,,,,,,,,,Miller,J. Miller,,,,,,,,,,,,,,,,,,
96,PT03M44.00S,2026-01-21T01:25:07.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201587,25.57490144546649,85.04901960784314,1610612746,17,18,2026-01-21T01:25:12Z,950000,False,-175.0,188.0,1,left,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,25.69,Missed,Batum,N. Batum,,,,,,,,,,,,,,,,,,
97,PT03M43.00S,2026-01-21T01:25:08.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,17,18,2026-01-21T01:26:47Z,960000,False,,,0,,J. Smith REBOUND (Off:1 Def:2),[1630188],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Smith,J. Smith,96.0,3.0,2.0,1.0,,,,,,,,,,,,,,
99,PT03M34.00S,2026-01-21T01:26:42.8Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,17,18,2026-01-21T01:27:17Z,980000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),[1641824],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Right Center,,,Buzelis,M. Buzelis,,,,,,,1.0,,,,,,,,,,,
100,PT03M34.00S,2026-01-21T01:26:57.2Z,1,REGULAR,foul,personal,[],1641824,,,1610612746,17,18,2026-01-21T01:27:01Z,990000,False,,,0,,M. Buzelis loose ball personal FOUL (1 PF),"[1641824, 201935]",1610612741.0,CHI,loose ball,,,,,,Mid-Range,16-24 Right Center,,,Buzelis,M. Buzelis,,,,,,1830.0,,,,,1.0,0.0,Harden,201935.0,,,,
111,PT03M34.00S,2026-01-21T01:27:09.0Z,1,REGULAR,substitution,out,[],1642920,,,1610612746,17,18,2026-01-21T01:28:00Z,1005000,False,,,0,,SUB out: K. Sanders,[1642920],1610612746.0,LAC,,,,,,,,,,,Sanders,K. Sanders,,,,,,,,,,,,,,,,,,
112,PT03M34.00S,2026-01-21T01:27:09.0Z,1,REGULAR,substitution,in,[],1642353,,,1610612746,17,18,2026-01-21T01:28:00Z,1007500,False,,,0,,SUB in: C. Christie,[1642353],1610612746.0,LAC,,,,,,,,,,,Christie,C. Christie,,,,,,,,,,,,,,,,,,
116,PT03M34.00S,2026-01-21T01:27:09.0Z,1,REGULAR,substitution,out,[],1641824,,,1610612746,17,18,2026-01-21T01:28:31Z,1008750,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,,,,,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
117,PT03M34.00S,2026-01-21T01:27:09.0Z,1,REGULAR,substitution,in,[],1631207,,,1610612746,17,18,2026-01-21T01:28:31Z,1009375,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,,,,,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,
102,PT03M19.00S,2026-01-21T01:27:20.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,9.806176084099869,50.98039215686274,1610612746,17,20,2026-01-21T01:27:25Z,1010000,False,-5.0,40.0,1,left,J. Harden driving floating Jump Shot (6 PTS),[201935],1610612746.0,LAC,driving floating,,,,,,Restricted Area,0-8 Center,4.0,Made,Harden,J. Harden,,,,,6.0,,,,,,,,,,,,,
103,PT03M12.00S,2026-01-21T01:27:27.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,94.03745072273325,44.11764705882353,1610612741,17,20,2026-01-21T01:29:59Z,1020000,False,-29.0,4.0,1,right,MISS A. Dosunmu driving floating Shot - blocked,"[1630245, 201572]",1610612741.0,CHI,driving floating,,,,,,Restricted Area,0-8 Center,2.96,Missed,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,Lopez,201572.0
104,PT03M12.00S,2026-01-21T01:27:27.4Z,1,REGULAR,block,,[],201572,,,1610612741,17,20,2026-01-21T01:27:29Z,1030000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
105,PT03M10.00S,2026-01-21T01:27:29.4Z,1,REGULAR,rebound,defensive,[],1642353,,,1610612746,17,20,2026-01-21T01:30:01Z,1040000,False,,,0,,C. Christie REBOUND (Off:0 Def:1),[1642353],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Christie,C. Christie,103.0,1.0,1.0,0.0,,,,,,,,,,,,,,
106,PT03M08.00S,2026-01-21T01:27:32.7Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612746,17,20,2026-01-21T01:27:36Z,1050000,False,,,0,,J. Harden lost ball TURNOVER (3 TO),"[201935, 1630245]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,,,Harden,J. Harden,,,,,,,3.0,,,,,,,,Dosunmu,1630245.0,,
107,PT03M08.00S,2026-01-21T01:27:32.7Z,1,REGULAR,steal,,[],1630245,,,1610612741,17,20,2026-01-21T01:27:34Z,1060000,False,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
108,PT03M01.00S,2026-01-21T01:27:39.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628989,88.12417871222075,95.09803921568627,1610612741,17,20,2026-01-21T01:31:06Z,1070000,False,225.0,59.0,1,right,MISS K. Huerter running 3PT,[1628989],1610612741.0,CHI,running,,,,,,Right Corner 3,24+ Right,23.31,Missed,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
109,PT03M01.00S,2026-01-21T01:27:39.3Z,1,REGULAR,rebound,defensive,[],1642353,,,1610612746,17,20,2026-01-21T01:31:27Z,1080000,False,,,0,,C. Christie REBOUND (Off:0 Def:2),[1642353],1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,,,Christie,C. Christie,108.0,2.0,2.0,0.0,,,,,,,,,,,,,,
110,PT02M42.00S,2026-01-21T01:27:59.1Z,1,REGULAR,2pt,Jump Shot,[],201935,26.363337713534822,29.901960784313726,1610612746,17,20,2026-01-21T01:33:06Z,1090000,False,100.0,195.0,1,left,MISS J. Harden 21' pullup Shot,[201935],1610612746.0,LAC,pullup,,,,,,Mid-Range,16-24 Right Center,21.96,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
113,PT02M42.00S,2026-01-21T01:27:59.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,17,20,2026-01-21T01:33:06Z,1100000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,,,,110.0,,,,,,,,,,,,,,,,,
115,PT02M42.00S,2026-01-21T01:28:11.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,17,20,2026-01-21T01:28:11Z,1120000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M38.00S,2026-01-21T01:31:18.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,5.863994743758213,96.07843137254902,1610612746,17,23,2026-01-21T01:31:29Z,1130000,False,-230.0,3.0,1,left,J. Harden 3PT  (9 PTS) (J. Miller 1 AST),"[201935, 1641757]",1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,23.04,Made,Harden,J. Harden,,,,,9.0,,,J. Miller,1641757.0,1.0,,,,,,,,
120,PT02M15.00S,2026-01-21T01:31:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,93.24901445466492,56.127450980392155,1610612741,17,23,2026-01-21T01:31:46Z,1150000,False,31.0,11.0,1,right,MISS J. Smith driving Layup - blocked,"[1630188, 201572]",1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,3.25,Missed,Smith,J. Smith,,,,,,,,,,,,,,,,,Lopez,201572.0
121,PT02M15.00S,2026-01-21T01:31:40.9Z,1,REGULAR,block,,[],201572,,,1610612741,17,23,2026-01-21T01:31:43Z,1160000,False,,,0,,B. Lopez BLOCK (2 BLK),[201572],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
122,PT02M15.00S,2026-01-21T01:31:40.9Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612741,17,23,2026-01-21T01:31:46Z,1170000,False,,,0,,J. Smith REBOUND (Off:2 Def:2),[1630188],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Smith,J. Smith,120.0,4.0,2.0,2.0,,,,,,,,,,,,,,
124,PT02M10.00S,2026-01-21T01:32:04.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630188,72.7496714848883,33.57843137254902,1610612741,17,23,2026-01-21T01:32:11Z,1190000,False,-82.0,204.0,1,right,MISS J. Smith 21' Jump Shot,[1630188],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,21.96,Missed,Smith,J. Smith,,,,,,,,,,,,,,,,,,
125,PT02M08.00S,2026-01-21T01:32:06.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,17,23,2026-01-21T01:32:11Z,1200000,False,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Left Center,,,Harden,J. Harden,124.0,3.0,3.0,0.0,,,,,,,,,,,,,,
126,PT02M05.00S,2026-01-21T01:32:09.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201572,5.863994743758213,49.50980392156863,1610612746,17,23,2026-01-21T01:34:23Z,1210000,False,2.0,3.0,1,left,MISS B. Lopez running Layup,[201572],1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,0.36,Missed,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
127,PT02M05.00S,2026-01-21T01:32:09.8Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,17,23,2026-01-21T01:32:16Z,1220000,False,,,0,,T. Jones REBOUND (Off:1 Def:1),[1630200],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Jones,T. Jones,126.0,2.0,1.0,1.0,,,,,,,,,,,,,,
128,PT01M59.00S,2026-01-21T01:32:15.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631207,92.19776609724047,97.54901960784314,1610612741,17,23,2026-01-21T01:34:18Z,1230000,False,238.0,21.0,1,right,MISS D. Terry running 3PT,[1631207],1610612741.0,CHI,running,,,,,,Right Corner 3,24+ Right,23.86,Missed,Terry,D. Terry,,,,,,,,,,,,,,,,,,
129,PT01M55.00S,2026-01-21T01:32:18.8Z,1,REGULAR,rebound,offensive,[],1631207,,,1610612741,17,23,2026-01-21T01:32:18Z,1240000,False,,,0,,D. Terry REBOUND (Off:1 Def:0),[1631207],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,Terry,D. Terry,128.0,1.0,0.0,1.0,,,,,,,,,,,,,,
130,PT01M48.00S,2026-01-21T01:32:28.0Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612741,17,23,2026-01-21T01:32:35Z,1250000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Jones 2 FT),"[201572, 1630200]",1610612746.0,LAC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Lopez,B. Lopez,,,,,,1830.0,,,,,1.0,0.0,Jones,1630200.0,,,,
132,PT01M48.00S,2026-01-21T01:32:56.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630200,,,1610612741,18,23,2026-01-21T01:32:56Z,1270000,False,,,0,,T. Jones Free Throw 1 of 2 (1 PTS),[1630200],1610612741.0,CHI,,,,,,,,,,Made,Jones,T. Jones,,,,,1.0,,,,,,,,,,,,,
133,PT01M48.00S,2026-01-21T01:33:10.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630200,,,1610612741,19,23,2026-01-21T01:33:10Z,1280000,False,,,0,,T. Jones Free Throw 2 of 2 (2 PTS),[1630200],1610612741.0,CHI,,,,,,,,,,Made,Jones,T. Jones,,,,,2.0,,,,,,,,,,,,,
134,PT01M39.00S,2026-01-21T01:33:28.8Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612746,19,23,2026-01-21T01:33:35Z,1290000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Miller 2 FT),"[1630188, 1641757]",1610612741.0,CHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith,J. Smith,,,,,,201638.0,,,,,1.0,0.0,Miller,1641757.0,,,,
136,PT01M39.00S,2026-01-21T01:33:55.3Z,1,REGULAR,freethrow,1 of 2,[],1641757,,,1610612746,19,24,2026-01-21T01:33:55Z,1310000,False,,,0,,J. Miller Free Throw 1 of 2 (1 PTS),[1641757],1610612746.0,LAC,,,,,,,,,,Made,Miller,J. Miller,,,,,1.0,,,,,,,,,,,,,
137,PT01M39.00S,2026-01-21T01:34:13.9Z,1,REGULAR,freethrow,2 of 2,[],1641757,,,1610612746,19,25,2026-01-21T01:34:13Z,1320000,False,,,0,,J. Miller Free Throw 2 of 2 (2 PTS),[1641757],1610612746.0,LAC,,,,,,,,,,Made,Miller,J. Miller,,,,,2.0,,,,,,,,,,,,,
138,PT01M27.00S,2026-01-21T01:34:27.4Z,1,REGULAR,3pt,Jump Shot,[],1631207,94.69448094612353,96.32352941176471,1610612741,22,25,2026-01-21T01:34:32Z,1330000,False,232.0,-3.0,1,right,D. Terry 3PT  (3 PTS) (T. Jones 2 AST),"[1631207, 1630200]",1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,23.16,Made,Terry,D. Terry,,,,,3.0,,,T. Jones,1630200.0,2.0,,,,,,,,
140,PT01M15.00S,2026-01-21T01:34:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.915243101182654,58.333333333333336,1610612746,22,25,2026-01-21T01:34:50Z,1350000,False,-42.0,13.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 1630245]",1610612746.0,LAC,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.35,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,Dosunmu,1630245.0
141,PT01M15.00S,2026-01-21T01:34:40.6Z,1,REGULAR,block,,[],1630245,,,1610612746,22,25,2026-01-21T01:35:03Z,1360000,False,,,0,,A. Dosunmu BLOCK (1 BLK),[1630245],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
142,PT01M15.00S,2026-01-21T01:34:40.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,22,25,2026-01-21T01:34:50Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,140.0,,,,,,,,,,,,,,,,,
144,PT01M08.00S,2026-01-21T01:35:05.0Z,1,REGULAR,turnover,lost ball,[],201572,,,1610612746,22,25,2026-01-21T01:35:09Z,1390000,False,,,0,,B. Lopez lost ball TURNOVER (1 TO),"[201572, 1630188]",1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Lopez,B. Lopez,,,,,,,1.0,,,,,,,,Smith,1630188.0,,
145,PT01M08.00S,2026-01-21T01:35:05.0Z,1,REGULAR,steal,,[],1630188,,,1610612741,22,25,2026-01-21T01:35:07Z,1400000,False,,,0,,J. Smith STEAL (1 STL),[1630188],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,
146,PT01M01.00S,2026-01-21T01:35:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630245,94.1688567674113,53.18627450980392,1610612741,22,25,2026-01-21T01:35:16Z,1410000,False,16.0,2.0,1,right,MISS A. Dosunmu running Layup - blocked,"[1630245, 201572]",1610612741.0,CHI,running,,,,,,Restricted Area,0-8 Center,1.61,Missed,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,Lopez,201572.0
147,PT01M01.00S,2026-01-21T01:35:11.4Z,1,REGULAR,block,,[],201572,,,1610612741,22,25,2026-01-21T01:35:14Z,1420000,False,,,0,,B. Lopez BLOCK (3 BLK),[201572],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
148,PT00M58.10S,2026-01-21T01:35:14.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,22,25,2026-01-21T01:35:16Z,1430000,False,,,0,,J. Harden REBOUND (Off:0 Def:4),[201935],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Harden,J. Harden,146.0,4.0,4.0,0.0,,,,,,,,,,,,,,
149,PT00M55.30S,2026-01-21T01:35:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,5.995400788436268,53.431372549019606,1610612746,22,25,2026-01-21T01:35:23Z,1440000,False,-17.0,4.0,1,left,MISS J. Harden running Layup - blocked,"[201935, 1628989]",1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,1.76,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,Huerter,1628989.0
150,PT00M55.30S,2026-01-21T01:35:18.8Z,1,REGULAR,block,,[],1628989,,,1610612746,22,25,2026-01-21T01:35:36Z,1450000,False,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
151,PT00M52.40S,2026-01-21T01:35:21.7Z,1,REGULAR,rebound,defensive,[],1631207,,,1610612741,22,25,2026-01-21T01:35:23Z,1460000,False,,,0,,D. Terry REBOUND (Off:1 Def:1),[1631207],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Terry,D. Terry,149.0,2.0,1.0,1.0,,,,,,,,,,,,,,
152,PT00M49.50S,2026-01-21T01:35:24.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,73.40670170827858,82.59803921568627,1610612741,25,25,2026-01-21T01:35:34Z,1470000,False,163.0,197.0,1,right,K. Huerter 25' 3PT running (6 PTS) (A. Dosunmu 1 AST),"[1628989, 1630245]",1610612741.0,CHI,running,,,,,,Above the Break 3,24+ Right Center,25.61,Made,Huerter,K. Huerter,,,,,6.0,,,A. Dosunmu,1630245.0,1.0,,,,,,,,
154,PT00M31.70S,2026-01-21T01:35:45.3Z,1,REGULAR,2pt,Jump Shot,[],1641757,6.652431011826544,74.01960784313727,1610612746,25,27,2026-01-21T01:42:20Z,1490000,False,-120.0,10.0,1,left,J. Miller 12' turnaround fadeaway Jump Shot (4 PTS),[1641757],1610612746.0,LAC,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,12.05,Made,Miller,J. Miller,,,,,4.0,,,,,,,,,,,,,
155,PT00M14.20S,2026-01-21T01:36:10.1Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612741,25,27,2026-01-21T01:56:21Z,1500000,False,,,0,,T. Jones lost ball out-of-bounds TURNOVER (1 TO),[1630200],1610612741.0,CHI,lost ball,,,,,,Restricted Area,0-8 Center,,,Jones,T. Jones,,,,,,201638.0,1.0,,,,,,,,,,,
156,PT00M01.00S,2026-01-21T01:36:32.3Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1630245,,,1610612746,25,27,2026-01-21T01:36:38Z,1510000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Harden 3 FT),"[1630245, 201935]",1610612741.0,CHI,shooting,,,,,,Above the Break 3,24+ Center,,,Dosunmu,A. Dosunmu,,,,,,201638.0,,,,,1.0,0.0,Harden,201935.0,,,,
158,PT00M01.00S,2026-01-21T01:36:59.4Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],201935,,,1610612746,25,28,2026-01-21T01:36:59Z,1530000,False,,,0,,J. Harden Free Throw 1 of 3 (10 PTS),[201935],1610612746.0,LAC,,,,,,,,,,Made,Harden,J. Harden,,,,,10.0,,,,,,,,,,,,,
159,PT00M01.00S,2026-01-21T01:37:18.0Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],201935,,,1610612746,25,29,2026-01-21T01:37:18Z,1540000,False,,,0,,J. Harden Free Throw 2 of 3 (11 PTS),[201935],1610612746.0,LAC,,,,,,,,,,Made,Harden,J. Harden,,,,,11.0,,,,,,,,,,,,,
160,PT00M01.00S,2026-01-21T01:37:35.7Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],201935,,,1610612746,25,30,2026-01-21T01:37:35Z,1550000,False,,,0,,J. Harden Free Throw 3 of 3 (12 PTS),[201935],1610612746.0,LAC,,,,,,,,,,Made,Harden,J. Harden,,,,,12.0,,,,,,,,,,,,,
161,PT00M00.00S,2026-01-21T01:37:41.8Z,1,REGULAR,heave,,[],0,,,1610612741,25,30,2026-01-21T01:44:00Z,1560000,False,,,0,,CHI Heave,[],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,70.53,,,,,,,,,,,,,,,,,,,,,
162,PT00M00.00S,2026-01-21T01:37:41.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,25,30,2026-01-21T01:38:39Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,161.0,,,,,,,,,,,,,,,,,
163,PT00M00.00S,2026-01-21T01:37:49.0Z,1,REGULAR,period,end,[],0,,,1610612741,25,30,2026-01-21T01:37:49Z,1580000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2026-01-21T01:39:39.6Z,2,REGULAR,substitution,out,['startperiod'],1630245,,,1610612741,25,30,2026-01-21T01:40:14Z,1590000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2026-01-21T01:39:39.6Z,2,REGULAR,substitution,out,['startperiod'],1631207,,,1610612741,25,30,2026-01-21T01:40:14Z,1600000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,,,,,,,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2026-01-21T01:39:39.6Z,2,REGULAR,substitution,out,['startperiod'],201935,,,1610612741,25,30,2026-01-21T01:40:14Z,1610000,False,,,0,,SUB out: J. Harden,[201935],1610612746.0,LAC,,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2026-01-21T01:39:39.6Z,2,REGULAR,substitution,in,['startperiod'],1629632,,,1610612741,25,30,2026-01-21T01:40:14Z,1620000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2026-01-21T01:39:39.6Z,2,REGULAR,substitution,in,['startperiod'],202696,,,1610612741,25,30,2026-01-21T01:40:14Z,1630000,False,,,0,,SUB in: N. Vučević,[202696],1610612741.0,CHI,,,,,,,,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2026-01-21T01:39:39.6Z,2,REGULAR,substitution,in,['startperiod'],1627739,,,1610612741,25,30,2026-01-21T01:40:14Z,1640000,False,,,0,,SUB in: K. Dunn,[1627739],1610612746.0,LAC,,,,,,,,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,
