actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
90,PT05M40.00S,2026-02-20T01:30:52.8Z,1,REGULAR,substitution,out,[],1629628,,,1610612741,10,13,2026-02-20T01:31:09Z,880000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M40.00S,2026-02-20T01:30:52.8Z,1,REGULAR,substitution,in,[],1642347,,,1610612741,10,13,2026-02-20T01:31:09Z,890000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M40.00S,2026-02-20T01:30:52.8Z,1,REGULAR,substitution,in,[],1642266,,,1610612741,10,13,2026-02-20T01:31:09Z,900000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M40.00S,2026-02-20T01:31:12.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630208,,,1610612741,11,13,2026-02-20T01:31:12Z,910000,False,,,0,,N. Richards Free Throw 2 of 2 (2 PTS),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
94,PT05M19.00S,2026-02-20T01:31:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,11.383048620236531,34.55882352941176,1610612761,11,15,2026-02-20T01:31:38Z,920000,False,77.0,55.0,1,left,B. Ingram 9' fadeaway Jump Shot (9 PTS),[1627742],1610612761.0,TOR,fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Right,,,,9.45,Made,9.0,,,,,,,,,,,,,,
95,PT05M05.00S,2026-02-20T01:31:48.2Z,1,REGULAR,3pt,Jump Shot,[],1641824,75.77201051248358,87.5,1610612741,11,15,2026-02-20T01:31:51Z,930000,False,188.0,175.0,1,right,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,25.66,Missed,,,,,,,,,,,,,,,
96,PT05M05.00S,2026-02-20T01:31:48.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,11,15,2026-02-20T01:31:51Z,940000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,95.0,,,,,,,,,,,,,
98,PT05M05.00S,2026-02-20T01:31:52.2Z,1,REGULAR,substitution,out,[],1642867,,,1610612761,11,15,2026-02-20T01:32:01Z,960000,False,,,0,,SUB out: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M05.00S,2026-02-20T01:31:52.2Z,1,REGULAR,substitution,in,[],1627751,,,1610612761,11,15,2026-02-20T01:32:01Z,970000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M54.00S,2026-02-20T01:32:25.7Z,1,REGULAR,foul,personal,[],1630171,,,1610612761,11,15,2026-02-20T01:32:34Z,1000000,False,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 1627742]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1628168.0,,,,,,1.0,0.0,Ingram,1627742.0
104,PT04M54.00S,2026-02-20T01:32:34.1Z,1,REGULAR,substitution,out,[],1629014,,,1610612761,11,15,2026-02-20T01:32:38Z,1020000,False,,,0,,SUB out: A. Simons,[1629014],1610612741.0,CHI,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M54.00S,2026-02-20T01:32:34.1Z,1,REGULAR,substitution,in,[],1629012,,,1610612761,11,15,2026-02-20T01:32:38Z,1030000,False,,,0,,SUB in: C. Sexton,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M40.00S,2026-02-20T01:33:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,19.793035479632064,63.970588235294116,1610612761,11,15,2026-02-20T01:33:16Z,1050000,False,-70.0,134.0,1,left,MISS B. Ingram 15' pullup Shot,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,15.08,Missed,,,,,,,,,,,,,,,
108,PT04M38.00S,2026-02-20T01:33:14.7Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,11,15,2026-02-20T01:33:16Z,1060000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,107.0,2.0,2.0,0.0,,,,,,,,,,
109,PT04M31.00S,2026-02-20T01:33:20.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,93.9060446780552,50.0,1610612741,13,15,2026-02-20T01:33:25Z,1070000,False,0.0,5.0,1,right,N. Richards cutting DUNK (4 PTS) (C. Sexton 1 AST),"[1630208, 1629012]",1610612741.0,CHI,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,0.48,Made,4.0,,,,,,C. Sexton,1629012.0,1.0,,,,,,
111,PT04M12.00S,2026-02-20T01:33:39.7Z,1,REGULAR,2pt,Jump Shot,[],1630572,5.338370565045992,71.32352941176471,1610612761,13,17,2026-02-20T01:33:43Z,1090000,False,-107.0,-2.0,1,left,S. Mamukelashvili 10' turnaround Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1630572, 1627751]",1610612761.0,TOR,turnaround,,,Mamukelashvili,S. Mamukelashvili,,,,,Mid-Range,8-16 Left,,,,10.66,Made,2.0,,,,,,J. Poeltl,1627751.0,1.0,,,,,,
113,PT04M04.00S,2026-02-20T01:33:51.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627751,,,1610612741,13,17,2026-02-20T01:33:59Z,1110000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Sexton 2 FT),"[1627751, 1629012]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Sexton,1629012.0
115,PT04M04.00S,2026-02-20T01:34:22.9Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612741,13,17,2026-02-20T01:34:22Z,1130000,False,,,0,,MISS C. Sexton Free Throw 1 of 2,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
116,PT04M04.00S,2026-02-20T01:34:22.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,13,17,2026-02-20T01:34:22Z,1140000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,
117,PT04M04.00S,2026-02-20T01:34:39.8Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612741,14,17,2026-02-20T01:34:39Z,1150000,False,,,0,,C. Sexton Free Throw 2 of 2 (1 PTS),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
118,PT03M52.00S,2026-02-20T01:34:53.9Z,1,REGULAR,turnover,backcourt,[],1627751,,,1610612761,14,17,2026-02-20T01:35:00Z,1160000,False,,,0,,J. Poeltl backcourt TURNOVER (1 TO),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,,1628168.0,,,,,,,,,
119,PT03M52.00S,2026-02-20T01:35:01.5Z,1,REGULAR,substitution,out,[],1630171,,,1610612741,14,17,2026-02-20T01:35:08Z,1170000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M52.00S,2026-02-20T01:35:01.5Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,14,17,2026-02-20T01:35:08Z,1180000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M52.00S,2026-02-20T01:35:16.7Z,1,REGULAR,substitution,out,[],1641824,,,1610612741,14,17,2026-02-20T01:35:23Z,1190000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M52.00S,2026-02-20T01:35:16.7Z,1,REGULAR,substitution,in,[],1627824,,,1610612741,14,17,2026-02-20T01:35:23Z,1200000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M41.00S,2026-02-20T01:36:19.7Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612741,14,17,2026-02-20T01:36:19Z,1210000,False,,,0,,Jump Ball C. Sexton vs. J. Walter: Tip to T. Jones,"[1630200, 1629012, 1642266]",1610612741.0,CHI,heldball,T. Jones,1630200.0,Jones,T. Jones,Sexton,1629012.0,Walter,1642266.0,,,,,,,,,,,,,,,,,,,,,,
127,PT03M29.00S,2026-02-20T01:37:02.7Z,1,REGULAR,foul,offensive,[],1629012,,,1610612741,14,17,2026-02-20T01:38:52Z,1250000,False,,,0,,C. Sexton offensive FOUL (1 PF),"[1629012, 1642266]",1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Walter,1642266.0
129,PT03M29.00S,2026-02-20T01:37:02.7Z,1,REGULAR,turnover,offensive foul,[],1629012,,,1610612741,14,17,2026-02-20T01:37:02Z,1270000,False,,,0,,C. Sexton offensive foul TURNOVER (1 TO),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,200834.0,,,,,,,,,
130,PT03M29.00S,2026-02-20T01:37:12.2Z,1,REGULAR,substitution,out,[],1627742,,,1610612761,14,17,2026-02-20T01:37:14Z,1280000,False,,,0,,SUB out: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M29.00S,2026-02-20T01:37:12.2Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,14,17,2026-02-20T01:37:14Z,1290000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M29.00S,2026-02-20T01:37:15.8Z,1,REGULAR,substitution,out,[],1630208,,,1610612761,14,17,2026-02-20T01:37:18Z,1300000,False,,,0,,SUB out: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M29.00S,2026-02-20T01:37:15.8Z,1,REGULAR,substitution,in,[],1630188,,,1610612761,14,17,2026-02-20T01:37:18Z,1310000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M14.00S,2026-02-20T01:37:36.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627751,5.863994743758213,65.93137254901961,1610612761,14,19,2026-02-20T01:37:40Z,1320000,False,-80.0,3.0,1,left,J. Poeltl 7' floating Jump Shot (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,0-8 Center,,,,7.97,Made,2.0,,,,,,S. Barnes,1630567.0,1.0,,,,,,
136,PT02M54.00S,2026-02-20T01:37:55.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627824,92.72339027595268,59.55882352941176,1610612741,16,19,2026-02-20T01:40:00Z,1340000,False,48.0,16.0,1,right,G. Yabusele turnaround bank Hook (2 PTS),[1627824],1610612741.0,CHI,turnaround bank,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,5.04,Made,2.0,,,,,,,,,,,,,,
137,PT02M45.00S,2026-02-20T01:38:04.9Z,1,REGULAR,2pt,Jump Shot,[],1630567,18.084756898817346,27.205882352941174,1610612761,16,19,2026-02-20T01:38:11Z,1350000,False,114.0,117.0,1,left,MISS S. Barnes 16' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,,16.37,Missed,,,,,,,,,,,,,,,
138,PT02M41.00S,2026-02-20T01:38:08.9Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,16,19,2026-02-20T01:38:11Z,1360000,False,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Right Center,,,,,,,137.0,3.0,3.0,0.0,,,,,,,,,,
139,PT02M34.00S,2026-02-20T01:38:15.6Z,1,REGULAR,3pt,Jump Shot,[],1629012,94.95729303547962,96.56862745098039,1610612741,16,19,2026-02-20T01:38:19Z,1370000,False,233.0,-5.0,1,right,MISS C. Sexton 3PT,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Right Corner 3,24+ Right,,,,23.29,Missed,,,,,,,,,,,,,,,
140,PT02M31.00S,2026-02-20T01:38:18.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,16,19,2026-02-20T01:38:19Z,1380000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,,,,,139.0,2.0,2.0,0.0,,,,,,,,,,
141,PT02M25.00S,2026-02-20T01:38:24.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630567,5.338370565045992,52.20588235294118,1610612761,16,19,2026-02-20T01:38:30Z,1390000,False,-11.0,-2.0,1,left,MISS S. Barnes running DUNK,[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,1.12,Missed,,,,,,,,,,,,,,,
142,PT02M23.00S,2026-02-20T01:38:26.7Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,16,19,2026-02-20T01:38:26Z,1400000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,
143,PT02M21.00S,2026-02-20T01:38:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630200,94.1688567674113,49.50980392156863,1610612741,18,19,2026-02-20T01:38:37Z,1410000,False,-2.0,2.0,1,right,T. Jones running Layup (2 PTS),[1630200],1610612741.0,CHI,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,0.34,Made,2.0,,,,,,,,,,,,,,
144,PT02M21.00S,2026-02-20T01:38:36.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,18,19,2026-02-20T01:38:36Z,1420000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M21.00S,2026-02-20T01:40:58.1Z,1,REGULAR,substitution,out,[],1630200,,,1610612761,18,19,2026-02-20T01:41:16Z,1430000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M21.00S,2026-02-20T01:40:58.1Z,1,REGULAR,substitution,out,[],1630572,,,1610612761,18,19,2026-02-20T01:41:16Z,1440000,False,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M21.00S,2026-02-20T01:40:58.1Z,1,REGULAR,substitution,in,[],1642265,,,1610612761,18,19,2026-02-20T01:41:16Z,1450000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M21.00S,2026-02-20T01:40:58.1Z,1,REGULAR,substitution,in,[],1630193,,,1610612761,18,19,2026-02-20T01:41:16Z,1460000,False,,,0,,SUB in: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M07.00S,2026-02-20T01:41:44.1Z,1,REGULAR,3pt,Jump Shot,[],1630193,29.6484888304862,74.26470588235294,1610612761,18,19,2026-02-20T01:41:48Z,1470000,False,-121.0,226.0,1,left,MISS I. Quickley 25' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,25.67,Missed,,,,,,,,,,,,,,,
150,PT02M06.00S,2026-02-20T01:41:45.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,18,19,2026-02-20T01:41:48Z,1480000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,149.0,,,,,,,,,,,,,
152,PT01M58.00S,2026-02-20T01:42:09.0Z,1,REGULAR,turnover,8-second-violation,['team'],0,,,1610612741,18,19,2026-02-20T01:42:20Z,1500000,False,,,0,,CHI 8-second-violation Team TURNOVER,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,204058.0,,,,,,,,,
153,PT01M51.00S,2026-02-20T01:42:31.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630193,17.69053876478318,57.59803921568627,1610612761,18,19,2026-02-20T01:42:35Z,1510000,False,-38.0,114.0,1,left,MISS I. Quickley 12' pullup Shot,[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,12.0,Missed,,,,,,,,,,,,,,,
154,PT01M49.00S,2026-02-20T01:42:33.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,18,19,2026-02-20T01:42:35Z,1520000,False,,,0,,J. Smith REBOUND (Off:0 Def:4),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,153.0,4.0,4.0,0.0,,,,,,,,,,
155,PT01M40.00S,2026-02-20T01:42:41.3Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612741,18,19,2026-02-20T01:43:02Z,1530000,False,,,0,,C. Sexton bad pass TURNOVER (2 TO),"[1629012, 1642347]",1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Left,2.0,Shead,1642347.0,,,,,,,,,,,,,,,,,
156,PT01M40.00S,2026-02-20T01:42:41.3Z,1,REGULAR,steal,,[],1642347,,,1610612761,18,19,2026-02-20T01:45:19Z,1540000,False,,,0,,J. Shead STEAL (1 STL),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
157,PT01M35.00S,2026-02-20T01:42:48.6Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,18,19,2026-02-20T01:42:56Z,1550000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,200834.0,,,,,,,,,
158,PT01M33.00S,2026-02-20T01:43:10.0Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612741,18,19,2026-02-20T01:43:13Z,1560000,False,,,0,,C. Sexton bad pass TURNOVER (3 TO),"[1629012, 1642266]",1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,3.0,Walter,1642266.0,,,,,,,,,,,,,,,,,
159,PT01M33.00S,2026-02-20T01:43:10.0Z,1,REGULAR,steal,,[],1642266,,,1610612761,18,19,2026-02-20T01:43:12Z,1570000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
160,PT01M31.00S,2026-02-20T01:43:17.9Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612761,18,19,2026-02-20T01:43:23Z,1580000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Walter 2 FT),"[1630188, 1642266]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,,,,,,1.0,0.0,Walter,1642266.0
162,PT01M31.00S,2026-02-20T01:43:45.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642266,,,1610612761,18,20,2026-02-20T01:43:45Z,1600000,False,,,0,,J. Walter Free Throw 1 of 2 (1 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
163,PT01M31.00S,2026-02-20T01:44:00.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642266,,,1610612761,18,21,2026-02-20T01:44:00Z,1610000,False,,,0,,J. Walter Free Throw 2 of 2 (2 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
164,PT01M19.00S,2026-02-20T01:44:16.8Z,1,REGULAR,turnover,bad pass,[],1642265,,,1610612741,18,21,2026-02-20T01:44:22Z,1620000,False,,,0,,R. Dillingham bad pass TURNOVER (1 TO),"[1642265, 1642266]",1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Above the Break 3,24+ Left Center,1.0,Walter,1642266.0,,,,,,,,,,,,,,,,,
165,PT01M19.00S,2026-02-20T01:44:16.8Z,1,REGULAR,steal,,[],1642266,,,1610612761,18,21,2026-02-20T01:44:21Z,1630000,False,,,0,,J. Walter STEAL (2 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
166,PT01M19.00S,2026-02-20T01:44:29.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627824,,,1610612761,18,21,2026-02-20T01:44:41Z,1640000,False,,,0,,G. Yabusele personal FOUL (1 PF) (Walter 2 FT),"[1627824, 1642266]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Walter,1642266.0
168,PT01M19.00S,2026-02-20T01:44:54.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642266,,,1610612761,18,22,2026-02-20T01:44:54Z,1660000,False,,,0,,J. Walter Free Throw 1 of 2 (3 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
169,PT01M19.00S,2026-02-20T01:44:57.3Z,1,REGULAR,substitution,out,[],1627824,,,1610612761,18,22,2026-02-20T01:45:00Z,1670000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT01M19.00S,2026-02-20T01:44:57.3Z,1,REGULAR,substitution,in,[],1641824,,,1610612761,18,22,2026-02-20T01:45:00Z,1680000,False,,,0,,SUB in: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT01M19.00S,2026-02-20T01:45:14.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642266,,,1610612761,18,23,2026-02-20T01:45:14Z,1690000,False,,,0,,J. Walter Free Throw 2 of 2 (4 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
173,PT00M55.10S,2026-02-20T01:45:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629012,66.83639947437582,58.57843137254902,1610612741,21,23,2026-02-20T01:45:57Z,1710000,False,43.0,259.0,1,right,C. Sexton 26' 3PT pullup (4 PTS),[1629012],1610612741.0,CHI,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,26.27,Made,4.0,,,,,,,,,,,,,,
174,PT00M47.60S,2026-02-20T01:46:03.5Z,1,REGULAR,turnover,bad pass,[],1642347,,,1610612761,21,23,2026-02-20T01:46:07Z,1720000,False,,,0,,J. Shead bad pass TURNOVER (1 TO),"[1642347, 1629012]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,1.0,Sexton,1629012.0,,,,,,,,,,,,,,,,,
175,PT00M47.60S,2026-02-20T01:46:03.5Z,1,REGULAR,steal,,[],1629012,,,1610612741,21,23,2026-02-20T01:46:05Z,1730000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
176,PT00M43.50S,2026-02-20T01:46:08.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630188,92.85479632063075,49.754901960784316,1610612741,23,23,2026-02-20T01:46:15Z,1740000,False,-1.0,15.0,1,right,J. Smith running DUNK (2 PTS),[1630188],1610612741.0,CHI,running,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,1.47,Made,2.0,,,,,,,,,,,,,,
177,PT00M29.90S,2026-02-20T01:46:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,14.14257555847569,50.73529411764706,1610612761,23,25,2026-02-20T01:47:54Z,1750000,False,-4.0,80.0,1,left,I. Quickley 8' turnaround Jump Shot (2 PTS) (S. Barnes 2 AST),"[1630193, 1630567]",1610612761.0,TOR,turnaround,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,8.05,Made,2.0,,,,,,S. Barnes,1630567.0,2.0,,,,,,
179,PT00M05.90S,2026-02-20T01:46:55.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612741,23,25,2026-02-20T01:47:35Z,1770000,False,,,0,,CHI shot clock Team TURNOVER,[],1610612741.0,CHI,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1628168.0,,,,,,,,,
180,PT00M05.90S,2026-02-20T01:47:16.4Z,1,REGULAR,substitution,out,[],1642265,,,1610612761,23,25,2026-02-20T01:47:20Z,1780000,False,,,0,,SUB out: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
