actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
350,PT03M21.00S,2025-01-10T02:04:35.2Z,2,REGULAR,2pt,Jump Shot,[],1630583,86.15308804204993,78.92156862745098,1610612763,50,64,2025-01-10T02:04:42Z,3490000,False,145.0,78.0,1,right,MISS S. Aldama 16' fadeaway Shot - blocked,"[1630583, 1641708]",1610612763.0,MEM,fadeaway,,,Aldama,S. Aldama,,,,,Mid-Range,16-24 Right,,,,,,Missed,,16.42,,,,,,,,,,,Thompson,1641708.0
351,PT03M21.00S,2025-01-10T02:04:35.2Z,2,REGULAR,block,,[],1641708,,,1610612763,50,64,2025-01-10T02:04:37Z,3500000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
352,PT03M21.00S,2025-01-10T02:04:35.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,50,64,2025-01-10T02:04:42Z,3510000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,350.0,,,,,,,,
354,PT03M19.00S,2025-01-10T02:04:57.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630583,67.49342969776609,12.254901960784313,1610612763,53,64,2025-01-10T02:05:01Z,3530000,False,-189.0,253.0,1,right,S. Aldama 31' 3PT  (8 PTS) (J. LaRavia 2 AST),"[1630583, 1631222]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,,,,,,Made,8.0,31.57,J. LaRavia,1631222.0,2.0,,,,,,,,,
356,PT03M03.00S,2025-01-10T02:05:15.0Z,2,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,53,64,2025-01-10T02:05:19Z,3550000,False,,,0,,A. Sengun bad pass out-of-bounds TURNOVER (1 TO),[1630578],1610612745.0,HOU,bad pass,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,1151.0,,,,,,,,,,,,,,,1.0,,,,
357,PT03M03.00S,2025-01-10T02:05:19.3Z,2,REGULAR,substitution,out,[],1631222,,,1610612763,53,64,2025-01-10T02:05:24Z,3560000,False,,,0,,SUB out: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT03M03.00S,2025-01-10T02:05:19.3Z,2,REGULAR,substitution,out,[],1630643,,,1610612763,53,64,2025-01-10T02:05:24Z,3570000,False,,,0,,SUB out: J. Huff,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
359,PT03M03.00S,2025-01-10T02:05:19.3Z,2,REGULAR,substitution,in,[],1629630,,,1610612763,53,64,2025-01-10T02:05:24Z,3580000,False,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
360,PT03M03.00S,2025-01-10T02:05:19.3Z,2,REGULAR,substitution,in,[],1629634,,,1610612763,53,64,2025-01-10T02:05:24Z,3590000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
361,PT02M49.00S,2025-01-10T02:05:46.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629634,90.75229960578186,55.88235294117647,1610612763,55,64,2025-01-10T02:05:51Z,3600000,False,29.0,34.0,1,right,B. Clarke cutting finger roll Layup (6 PTS) (J. Morant 1 AST),"[1629634, 1629630]",1610612763.0,MEM,cutting finger roll,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,6.0,4.53,J. Morant,1629630.0,1.0,,,,,,,,,
363,PT02M36.00S,2025-01-10T02:06:01.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629634,,,1610612745,55,64,2025-01-10T02:06:44Z,3620000,False,,,0,,B. Clarke shooting personal FOUL (3 PF) (Thompson 2 FT),"[1629634, 1641708]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,202058.0,3.0,0.0,Thompson,1641708.0,,,,,,,,,,,,,,,
365,PT02M36.00S,2025-01-10T02:06:12.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,55,64,2025-01-10T02:06:12Z,3640000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT02M36.00S,2025-01-10T02:09:04.4Z,2,REGULAR,freethrow,1 of 2,[],1641708,,,1610612745,55,65,2025-01-10T02:09:04Z,3650000,False,,,0,,A. Thompson Free Throw 1 of 2 (8 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
367,PT02M36.00S,2025-01-10T02:09:17.7Z,2,REGULAR,freethrow,2 of 2,[],1641708,,,1610612745,55,66,2025-01-10T02:09:17Z,3660000,False,,,0,,A. Thompson Free Throw 2 of 2 (9 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
368,PT02M28.00S,2025-01-10T02:09:26.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,86.02168199737189,50.49019607843137,1610612763,55,66,2025-01-10T02:09:32Z,3670000,False,2.0,79.0,1,right,MISS J. Morant 7' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.89,,,,,,,,,,,,
369,PT02M25.00S,2025-01-10T02:09:29.7Z,2,REGULAR,rebound,defensive,[],1641708,,,1610612745,55,66,2025-01-10T02:09:32Z,3680000,False,,,0,,A. Thompson REBOUND (Off:0 Def:5),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,368.0,5.0,5.0,0.0,,,,,
