actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
83,PT05M30.00S,2024-11-29T22:22:23.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630643,93.38042049934296,49.01960784313725,1610612763,21,16,2024-11-29T22:22:26Z,820000,False,-5.0,10.0,1,right,J. Huff DUNK (2 PTS) (J. Morant 3 AST),"[1630643, 1629630]",1610612763.0,MEM,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,1.09,Made,2.0,J. Morant,1629630.0,3.0,,,,,,,,,,,,,,
85,PT05M19.00S,2024-11-29T22:22:34.2Z,1,REGULAR,turnover,lost ball,[],1627749,,,1610612740,21,16,2024-11-29T22:22:39Z,840000,False,,,0,,D. Murray lost ball TURNOVER (4 TO),"[1627749, 1629630]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,4.0,,,,,,,Morant,1629630.0
86,PT05M19.00S,2024-11-29T22:22:34.2Z,1,REGULAR,steal,,[],1629630,,,1610612763,21,16,2024-11-29T22:22:36Z,850000,False,,,0,,J. Morant STEAL (2 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
87,PT05M19.00S,2024-11-29T22:22:37.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629630,93.51182654402102,50.0,1610612763,23,16,2024-11-29T22:22:46Z,860000,False,0.0,8.0,1,right,J. Morant driving DUNK (6 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,0.85,Made,6.0,,,,,,,,,,,,,,,,,
88,PT05M19.00S,2024-11-29T22:22:41.8Z,1,REGULAR,foul,personal,['1freethrow'],1627749,,,1610612763,23,16,2024-11-29T22:23:11Z,870000,False,,,0,,D. Murray shooting personal FOUL (2 PF) (Morant 1 FT),"[1627749, 1629630]",1610612740.0,NOP,shooting,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,,,,2.0,0.0,Morant,1629630.0,,
90,PT05M19.00S,2024-11-29T22:22:47.3Z,1,REGULAR,substitution,out,[],1642377,,,1610612763,23,16,2024-11-29T22:24:15Z,890000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M19.00S,2024-11-29T22:22:47.3Z,1,REGULAR,substitution,out,[],1627749,,,1610612763,23,16,2024-11-29T22:24:15Z,900000,False,,,0,,SUB out: D. Murray,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M19.00S,2024-11-29T22:22:47.3Z,1,REGULAR,substitution,out,[],1642274,,,1610612763,23,16,2024-11-29T22:24:15Z,910000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M19.00S,2024-11-29T22:22:47.3Z,1,REGULAR,substitution,in,[],1630217,,,1610612763,23,16,2024-11-29T22:24:15Z,920000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M19.00S,2024-11-29T22:22:47.3Z,1,REGULAR,substitution,in,[],1628464,,,1610612763,23,16,2024-11-29T22:24:15Z,930000,False,,,0,,SUB in: D. Theis,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
