actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
90,PT06M09.00S,2025-03-31T23:51:32.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612763,17,17,2025-03-31T23:51:48Z,890000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
91,PT05M57.00S,2025-03-31T23:52:15.7Z,1,REGULAR,3pt,Jump Shot,[],1642377,9.806176084099869,4.411764705882353,1610612763,17,17,2025-03-31T23:52:21Z,900000,False,228.0,40.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,23.13,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
92,PT05M52.00S,2025-03-31T23:52:20.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,17,17,2025-03-31T23:52:21Z,910000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,,,Horford,A. Horford,91.0,,,,,,1.0,1.0,0.0,,,,,,,,
93,PT05M40.00S,2025-03-31T23:52:31.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,92.9862023653088,95.83333333333334,1610612738,17,17,2025-03-31T23:52:36Z,920000,False,229.0,13.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,22.96,Missed,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
94,PT05M37.00S,2025-03-31T23:52:34.7Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,17,17,2025-03-31T23:52:36Z,930000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Aldama,S. Aldama,93.0,,,,,,1.0,1.0,0.0,,,,,,,,
95,PT05M23.00S,2025-03-31T23:52:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,14.668199737187912,45.83333333333333,1610612763,17,17,2025-03-31T23:52:54Z,940000,False,21.0,85.0,1,left,MISS M. Bagley III 8' floating Shot,[1628963],1610612763.0,MEM,floating,,,,,,In The Paint (Non-RA),8-16 Center,8.79,Missed,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
96,PT05M19.00S,2025-03-31T23:52:52.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,17,17,2025-03-31T23:52:54Z,950000,False,,,0,,K. Porziņģis REBOUND (Off:2 Def:1),[204001],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Porziņģis,K. Porziņģis,95.0,,,,,,3.0,1.0,2.0,,,,,,,,
97,PT05M07.00S,2025-03-31T23:53:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,88.64980289093299,54.166666666666664,1610612738,17,19,2025-03-31T23:53:10Z,960000,False,21.0,54.0,1,right,J. Tatum driving finger roll Layup (8 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.81,Made,8.0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
98,PT04M54.00S,2025-03-31T23:53:18.1Z,1,REGULAR,turnover,bad pass,[],1630583,,,1610612763,17,19,2025-03-31T23:53:21Z,970000,False,,,0,,S. Aldama bad pass TURNOVER (1 TO),"[1630583, 1630202]",1610612763.0,MEM,,,,,,,Mid-Range,16-24 Right Center,,,,Aldama,S. Aldama,,,,,,,,,,,,,1.0,Pritchard,1630202.0,,
99,PT04M54.00S,2025-03-31T23:53:18.1Z,1,REGULAR,steal,,[],1630202,,,1610612738,17,19,2025-03-31T23:53:19Z,980000,False,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
100,PT04M49.00S,2025-03-31T23:53:23.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",204001,91.67214191852825,50.0,1610612738,17,21,2025-03-31T23:53:28Z,990000,False,0.0,26.0,1,right,K. Porziņģis running alley-oop DUNK (5 PTS) (J. Holiday 4 AST),"[204001, 201950]",1610612738.0,BOS,running alley-oop,,,,,,Restricted Area,0-8 Center,2.58,Made,5.0,Porziņģis,K. Porziņģis,,,,,,,,,,J. Holiday,201950.0,4.0,,,,,
102,PT04M27.00S,2025-03-31T23:53:47.6Z,1,REGULAR,turnover,out-of-bounds,[],1630590,,,1610612763,17,21,2025-03-31T23:53:52Z,1010000,False,,,0,,S. Pippen Jr. bad pass out-of-bounds TURNOVER (1 TO),[1630590],1610612763.0,MEM,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,1146.0,,,,,,,,,,,1.0,,,,
103,PT04M27.00S,2025-03-31T23:53:51.6Z,1,REGULAR,substitution,out,[],1642377,,,1610612738,17,21,2025-03-31T23:54:02Z,1020000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
104,PT04M27.00S,2025-03-31T23:53:51.6Z,1,REGULAR,substitution,out,[],1628963,,,1610612738,17,21,2025-03-31T23:54:02Z,1030000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612763.0,MEM,,,,,,,,,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
105,PT04M27.00S,2025-03-31T23:53:51.6Z,1,REGULAR,substitution,out,[],204001,,,1610612738,17,21,2025-03-31T23:54:02Z,1040000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612738.0,BOS,,,,,,,,,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
106,PT04M27.00S,2025-03-31T23:53:51.6Z,1,REGULAR,substitution,in,[],1628379,,,1610612738,17,21,2025-03-31T23:54:02Z,1050000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
107,PT04M27.00S,2025-03-31T23:53:51.6Z,1,REGULAR,substitution,in,[],1628991,,,1610612738,17,21,2025-03-31T23:54:02Z,1060000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
108,PT04M27.00S,2025-03-31T23:53:51.6Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,17,21,2025-03-31T23:54:02Z,1070000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
109,PT04M08.00S,2025-03-31T23:54:23.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,92.72339027595268,60.049019607843135,1610612738,17,21,2025-03-31T23:54:28Z,1080000,False,50.0,16.0,1,right,MISS A. Horford driving Hook,[201143],1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,Horford,A. Horford,,,,,,,,,,,,,,,,,
110,PT04M05.00S,2025-03-31T23:54:26.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,17,21,2025-03-31T23:54:28Z,1090000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:3),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,109.0,,,,,,3.0,3.0,0.0,,,,,,,,
111,PT03M56.00S,2025-03-31T23:54:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,7.703679369250986,94.11764705882352,1610612763,20,21,2025-03-31T23:54:40Z,1100000,False,-221.0,20.0,1,left,S. Aldama 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1630583, 1628991]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,22.15,Made,3.0,Aldama,S. Aldama,,,,,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,,
113,PT03M45.00S,2025-03-31T23:54:48.5Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,20,21,2025-03-31T23:54:54Z,1120000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612738.0,BOS,bad pass,,,,,,Mid-Range,16-24 Left,,,,Holiday,J. Holiday,,1146.0,,,,,,,,,,,1.0,,,,
114,PT03M45.00S,2025-03-31T23:54:52.6Z,1,REGULAR,substitution,out,[],201950,,,1610612763,20,21,2025-03-31T23:54:59Z,1130000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
115,PT03M45.00S,2025-03-31T23:54:52.6Z,1,REGULAR,substitution,in,[],1631248,,,1610612763,20,21,2025-03-31T23:54:59Z,1140000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,,,,,,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,
116,PT03M33.00S,2025-03-31T23:55:16.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630217,23.47240473061761,55.392156862745104,1610612763,22,21,2025-03-31T23:55:21Z,1150000,False,-27.0,168.0,1,left,D. Bane 17' pullup Jump Shot (7 PTS),[1630217],1610612763.0,MEM,pullup,,,,,,Mid-Range,16-24 Center,17.03,Made,7.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
117,PT03M12.00S,2025-03-31T23:55:37.1Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,22,21,2025-03-31T23:55:40Z,1160000,False,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1628379]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Tatum,J. Tatum,,,,,,,,,,,,,1.0,Kennard,1628379.0,,
118,PT03M12.00S,2025-03-31T23:55:37.1Z,1,REGULAR,steal,,[],1628379,,,1610612763,22,21,2025-03-31T23:55:38Z,1170000,False,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
119,PT03M07.00S,2025-03-31T23:55:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612763,22,21,2025-03-31T23:55:52Z,1180000,False,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Aldama 2 FT),"[1630202, 1630583]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Pritchard,P. Pritchard,,200834.0,1.0,0.0,Aldama,1630583.0,,,,,,,,,,,
121,PT03M07.00S,2025-03-31T23:56:14.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630583,,,1610612763,23,21,2025-03-31T23:56:14Z,1200000,False,,,0,,S. Aldama Free Throw 1 of 2 (4 PTS),[1630583],1610612763.0,MEM,,,,,,,,,,Made,4.0,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
122,PT03M07.00S,2025-03-31T23:56:16.2Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,23,21,2025-03-31T23:56:18Z,1210000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
123,PT03M07.00S,2025-03-31T23:56:16.2Z,1,REGULAR,substitution,in,[],1631246,,,1610612763,23,21,2025-03-31T23:56:18Z,1220000,False,,,0,,SUB in: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,,,,,,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,
124,PT03M07.00S,2025-03-31T23:56:36.6Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630583,,,1610612763,24,21,2025-03-31T23:56:36Z,1230000,False,,,0,,S. Aldama Free Throw 2 of 2 (5 PTS),[1630583],1610612763.0,MEM,,,,,,,,,,Made,5.0,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
125,PT02M52.00S,2025-03-31T23:56:53.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.33311432325887,75.24509803921569,1610612738,24,21,2025-03-31T23:58:14Z,1240000,False,126.0,236.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,26.74,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
126,PT02M49.00S,2025-03-31T23:56:56.8Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,24,21,2025-03-31T23:56:57Z,1250000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:4),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Jackson Jr.,J. Jackson Jr.,125.0,,,,,,4.0,4.0,0.0,,,,,,,,
127,PT02M43.00S,2025-03-31T23:57:03.4Z,1,REGULAR,3pt,Jump Shot,[],1630590,31.882391590013142,50.98039215686274,1610612763,24,21,2025-03-31T23:57:07Z,1260000,False,-5.0,247.0,1,left,MISS S. Pippen Jr. 24' 3PT,[1630590],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,24.72,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
128,PT02M39.00S,2025-03-31T23:57:07.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,24,21,2025-03-31T23:57:07Z,1270000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Horford,A. Horford,127.0,,,,,,2.0,2.0,0.0,,,,,,,,
129,PT02M27.00S,2025-03-31T23:57:21.4Z,1,REGULAR,foul,personal,['2freethrow'],1630590,,,1610612738,24,21,2025-04-01T00:00:58Z,1280000,False,,,0,,S. Pippen Jr. shooting personal FOUL (1 PF) (Horford 2 FT),"[1630590, 201143]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,200834.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,
131,PT02M27.00S,2025-03-31T23:57:34.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,24,21,2025-03-31T23:57:34Z,1300000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M27.00S,2025-03-31T23:57:36.4Z,1,REGULAR,substitution,out,[],1630590,,,1610612738,24,21,2025-04-01T00:00:46Z,1310000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
133,PT02M27.00S,2025-03-31T23:57:36.4Z,1,REGULAR,substitution,in,[],1629630,,,1610612738,24,21,2025-04-01T00:00:46Z,1320000,False,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
134,PT02M27.00S,2025-04-01T00:01:08.0Z,1,REGULAR,freethrow,1 of 2,[],201143,,,1610612738,24,22,2025-04-01T00:01:08Z,1330000,False,,,0,,A. Horford Free Throw 1 of 2 (7 PTS),[201143],1610612738.0,BOS,,,,,,,,,,Made,7.0,Horford,A. Horford,,,,,,,,,,,,,,,,,
135,PT02M27.00S,2025-04-01T00:01:25.6Z,1,REGULAR,freethrow,2 of 2,[],201143,,,1610612738,24,23,2025-04-01T00:01:25Z,1340000,False,,,0,,A. Horford Free Throw 2 of 2 (8 PTS),[201143],1610612738.0,BOS,,,,,,,,,,Made,8.0,Horford,A. Horford,,,,,,,,,,,,,,,,,
136,PT02M10.00S,2025-04-01T00:01:44.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,22.421156373193167,86.51960784313727,1610612763,24,23,2025-04-01T00:01:48Z,1350000,False,-183.0,158.0,1,left,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,24.17,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
137,PT02M07.00S,2025-04-01T00:01:47.1Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,23,2025-04-01T00:01:48Z,1360000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Pritchard,P. Pritchard,136.0,,,,,,1.0,1.0,0.0,,,,,,,,
138,PT01M59.00S,2025-04-01T00:01:54.5Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,24,23,2025-04-01T00:01:57Z,1370000,False,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1628379]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,1.0,Kennard,1628379.0,,
139,PT01M59.00S,2025-04-01T00:01:54.5Z,1,REGULAR,steal,,[],1628379,,,1610612763,24,23,2025-04-01T00:01:56Z,1380000,False,,,0,,L. Kennard STEAL (2 STL),[1628379],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
142,PT01M51.00S,2025-04-01T00:02:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631246,6.783837056504599,45.588235294117645,1610612763,26,23,2025-04-01T00:02:33Z,1410000,False,22.0,11.0,1,left,V. Williams Jr. cutting Layup (2 PTS) (J. Morant 2 AST),"[1631246, 1629630]",1610612763.0,MEM,cutting,,,,,,Restricted Area,0-8 Center,2.48,Made,2.0,Williams Jr.,V. Williams Jr.,,,,,,,,,,J. Morant,1629630.0,2.0,,,,,
144,PT01M36.00S,2025-04-01T00:02:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630573,71.96123521681997,81.37254901960785,1610612738,26,23,2025-04-01T00:02:47Z,1430000,False,157.0,211.0,1,right,MISS S. Hauser 26' 3PT,[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,26.3,Missed,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
145,PT01M33.00S,2025-04-01T00:02:46.8Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,26,23,2025-04-01T00:02:47Z,1440000,False,,,0,,S. Aldama REBOUND (Off:0 Def:2),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,144.0,,,,,,2.0,2.0,0.0,,,,,,,,
146,PT01M18.00S,2025-04-01T00:03:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628379,6.783837056504599,54.41176470588235,1610612763,26,23,2025-04-01T00:03:06Z,1450000,False,-22.0,11.0,1,left,MISS L. Kennard driving finger roll Layup,[1628379],1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,2.48,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
147,PT01M16.00S,2025-04-01T00:03:04.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,26,23,2025-04-01T00:03:06Z,1460000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Horford,A. Horford,146.0,,,,,,3.0,3.0,0.0,,,,,,,,
148,PT01M12.00S,2025-04-01T00:03:09.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,69.59592641261499,73.0392156862745,1610612738,26,23,2025-04-01T00:03:14Z,1470000,False,115.0,233.0,1,right,MISS J. Tatum 26' running 3PT,[1628369],1610612738.0,BOS,running,,,,,,Above the Break 3,24+ Right Center,26.02,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
149,PT01M08.00S,2025-04-01T00:03:13.1Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,26,23,2025-04-01T00:03:14Z,1480000,False,,,0,,S. Aldama REBOUND (Off:0 Def:3),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,148.0,,,,,,3.0,3.0,0.0,,,,,,,,
150,PT01M03.00S,2025-04-01T00:03:18.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,7.046649145860711,95.09803921568627,1610612763,29,23,2025-04-01T00:03:23Z,1490000,False,-225.0,14.0,1,left,J. Jackson Jr. 3PT  (8 PTS) (V. Williams Jr. 1 AST),"[1628991, 1631246]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,22.59,Made,8.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,V. Williams Jr.,1631246.0,1.0,,,,,
152,PT00M49.20S,2025-04-01T00:03:33.6Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,29,23,2025-04-01T00:03:36Z,1510000,False,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 1628379]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Tatum,J. Tatum,,,,,,,,,,,,,2.0,Kennard,1628379.0,,
153,PT00M49.20S,2025-04-01T00:03:33.6Z,1,REGULAR,steal,,[],1628379,,,1610612763,29,23,2025-04-01T00:03:35Z,1520000,False,,,0,,L. Kennard STEAL (3 STL),[1628379],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
154,PT00M41.80S,2025-04-01T00:03:41.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,27.151773981603156,78.92156862745098,1610612763,29,23,2025-04-01T00:03:45Z,1530000,False,-145.0,203.0,1,left,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
155,PT00M38.80S,2025-04-01T00:03:44.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,29,23,2025-04-01T00:03:45Z,1540000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Tatum,J. Tatum,154.0,,,,,,4.0,4.0,0.0,,,,,,,,
156,PT00M22.30S,2025-04-01T00:04:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,93.11760840998686,42.64705882352941,1610612738,29,25,2025-04-01T00:04:06Z,1550000,False,-37.0,12.0,1,right,P. Pritchard driving reverse Layup (2 PTS) (S. Hauser 1 AST),"[1630202, 1630573]",1610612738.0,BOS,driving reverse,,,,,,Restricted Area,0-8 Center,3.88,Made,2.0,Pritchard,P. Pritchard,,,,,,,,,,S. Hauser,1630573.0,1.0,,,,,
158,PT00M03.40S,2025-04-01T00:04:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,9.937582128777924,42.8921568627451,1610612763,31,25,2025-04-01T00:04:32Z,1570000,False,36.0,41.0,1,left,J. Morant driving Layup (6 PTS),[1629630],1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,6.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
159,PT00M03.40S,2025-04-01T00:04:26.6Z,1,REGULAR,foul,personal,['1freethrow'],1630573,,,1610612763,31,25,2025-04-01T00:04:53Z,1580000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Morant 1 FT),"[1630573, 1629630]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Hauser,S. Hauser,,200834.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,,
161,PT00M03.40S,2025-04-01T00:04:35.2Z,1,REGULAR,substitution,out,[],1630583,,,1610612763,31,25,2025-04-01T00:04:49Z,1600000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
162,PT00M03.40S,2025-04-01T00:04:35.2Z,1,REGULAR,substitution,out,[],1628379,,,1610612763,31,25,2025-04-01T00:04:49Z,1610000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
163,PT00M03.40S,2025-04-01T00:04:35.2Z,1,REGULAR,substitution,in,[],1642377,,,1610612763,31,25,2025-04-01T00:04:49Z,1620000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
164,PT00M03.40S,2025-04-01T00:04:35.2Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,31,25,2025-04-01T00:04:49Z,1630000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
165,PT00M03.40S,2025-04-01T00:05:07.3Z,1,REGULAR,freethrow,1 of 1,[],1629630,,,1610612763,32,25,2025-04-01T00:05:07Z,1640000,False,,,0,,J. Morant Free Throw 1 of 1 (7 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,Made,7.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
166,PT00M00.00S,2025-04-01T00:05:19.3Z,1,REGULAR,period,end,[],0,,,1610612738,32,25,2025-04-01T00:05:19Z,1650000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,out,['startperiod'],1628991,,,1610612738,32,25,2025-04-01T00:08:53Z,1660000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,out,['startperiod'],1642377,,,1610612738,32,25,2025-04-01T00:08:53Z,1670000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,out,['startperiod'],1630590,,,1610612738,32,25,2025-04-01T00:08:53Z,1680000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,32,25,2025-04-01T00:08:53Z,1690000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,out,['startperiod'],1631248,,,1610612738,32,25,2025-04-01T00:08:53Z,1700000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,,,,,,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,
