actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
87,PT06M36.00S,2024-12-20T01:24:06.1Z,1,REGULAR,substitution,out,[],203110,,,1610612744,15,5,2024-12-20T01:24:59Z,870000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
88,PT06M36.00S,2024-12-20T01:24:06.1Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,15,5,2024-12-20T01:24:59Z,880000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
89,PT06M27.00S,2024-12-20T01:25:12.8Z,1,REGULAR,turnover,lost ball,[],203471,,,1610612744,15,5,2024-12-20T01:25:17Z,890000,False,,,0,,D. Schröder lost ball TURNOVER (1 TO),"[203471, 1629630]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,,,,Schröder,D. Schröder,,,,,,,,,1.0,Morant,1629630.0,,,,,,,
90,PT06M27.00S,2024-12-20T01:25:12.8Z,1,REGULAR,steal,,[],1629630,,,1610612763,15,5,2024-12-20T01:25:14Z,900000,False,,,0,,J. Morant STEAL (2 STL),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
91,PT06M23.00S,2024-12-20T01:25:17.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629634,93.51182654402102,50.98039215686274,1610612763,17,5,2024-12-20T01:25:51Z,910000,False,5.0,8.0,1,right,B. Clarke running DUNK (2 PTS) (S. Aldama 1 AST),"[1629634, 1630583]",1610612763.0,MEM,running,,,,,,Restricted Area,0-8 Center,,,,Clarke,B. Clarke,,,0.98,Made,2.0,S. Aldama,1630583.0,1.0,,,,,,,,,,
93,PT06M15.00S,2024-12-20T01:25:27.4Z,1,REGULAR,foul,personal,[],1629630,,,1610612744,17,5,2024-12-20T01:25:30Z,930000,False,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 203471]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,202035.0,1.0,0.0,Morant,J. Morant,Schröder,203471.0,,,,,,,,,,,,,,,,
95,PT06M05.00S,2024-12-20T01:25:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,6.521024967148489,48.529411764705884,1610612744,17,7,2024-12-20T01:25:55Z,950000,False,7.0,9.0,1,left,A. Wiggins driving finger roll Layup (5 PTS) (T. Jackson-Davis 1 AST),"[203952, 1631218]",1610612744.0,GSW,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Wiggins,A. Wiggins,,,1.15,Made,5.0,T. Jackson-Davis,1631218.0,1.0,,,,,,,,,,
97,PT05M56.00S,2024-12-20T01:25:59.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,69.46452036793693,71.07843137254902,1610612763,20,7,2024-12-20T01:26:02Z,970000,False,105.0,235.0,1,right,S. Aldama 25' 3PT  (5 PTS) (D. Bane 3 AST),"[1630583, 1630217]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,,,25.71,Made,5.0,D. Bane,1630217.0,3.0,,,,,,,,,,
99,PT05M38.00S,2024-12-20T01:26:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631218,6.521024967148489,51.470588235294116,1610612744,20,7,2024-12-20T01:30:17Z,990000,False,-7.0,9.0,1,left,MISS T. Jackson-Davis driving floating bank Shot - blocked,"[1631218, 1630583]",1610612744.0,GSW,driving floating bank,,,,,,Restricted Area,0-8 Center,,,,Jackson-Davis,T. Jackson-Davis,,,1.15,Missed,,,,,,,,,,,,Aldama,1630583.0,
100,PT05M38.00S,2024-12-20T01:26:17.9Z,1,REGULAR,block,,[],1630583,,,1610612744,20,7,2024-12-20T01:26:20Z,1000000,False,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,
101,PT05M35.00S,2024-12-20T01:26:20.9Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,20,7,2024-12-20T01:26:21Z,1010000,False,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Clarke,B. Clarke,,,,,,,,,,,,99.0,1.0,1.0,0.0,,,
102,PT05M29.00S,2024-12-20T01:26:27.0Z,1,REGULAR,3pt,Jump Shot,[],1630217,75.64060446780552,13.23529411764706,1610612763,20,7,2024-12-20T01:26:30Z,1020000,False,-184.0,176.0,1,right,MISS D. Bane 25' 3PT,[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Bane,D. Bane,,,25.48,Missed,,,,,,,,,,,,,,
103,PT05M25.00S,2024-12-20T01:26:31.0Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,20,7,2024-12-20T01:26:30Z,1030000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,102.0,1.0,1.0,0.0,,,
104,PT05M16.00S,2024-12-20T01:26:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,8.886333771353483,56.127450980392155,1610612744,20,7,2024-12-20T01:26:42Z,1040000,False,-31.0,31.0,1,left,MISS J. Kuminga driving finger roll Layup,[1630228],1610612744.0,GSW,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,,,,Kuminga,J. Kuminga,,,4.36,Missed,,,,,,,,,,,,,,
105,PT05M14.00S,2024-12-20T01:26:40.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,20,7,2024-12-20T01:26:42Z,1050000,False,,,0,,J. Morant REBOUND (Off:1 Def:2),[1629630],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Morant,J. Morant,,,,,,,,,,,,104.0,3.0,2.0,1.0,,,
106,PT05M08.00S,2024-12-20T01:26:47.5Z,1,REGULAR,3pt,Jump Shot,[],1630583,72.48685939553219,80.88235294117648,1610612763,20,7,2024-12-20T01:26:51Z,1060000,False,154.0,206.0,1,right,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,,,25.75,Missed,,,,,,,,,,,,,,
107,PT05M04.00S,2024-12-20T01:26:51.5Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,20,7,2024-12-20T01:26:51Z,1070000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Hield,B. Hield,,,,,,,,,,,,106.0,2.0,2.0,0.0,,,
108,PT04M50.00S,2024-12-20T01:27:05.8Z,1,REGULAR,3pt,Jump Shot,[],203952,30.831143232588698,65.19607843137256,1610612744,20,10,2024-12-20T01:30:24Z,1080000,False,-76.0,237.0,1,left,A. Wiggins 24' 3PT  (8 PTS) (D. Schröder 1 AST),"[203952, 203471]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,,,,Wiggins,A. Wiggins,,,24.92,Made,8.0,D. Schröder,203471.0,1.0,,,,,,,,,,
110,PT04M50.00S,2024-12-20T01:27:09.4Z,1,REGULAR,foul,personal,['1freethrow'],1630217,,,1610612744,20,10,2024-12-20T01:29:56Z,1100000,False,,,0,,D. Bane flagrant-type-1 personal FOUL (1 PF) (Wiggins 1 FT),"[1630217, 203952]",1610612763.0,MEM,flagrant-type-1,,,,,,Above the Break 3,24+ Center,202026.0,1.0,0.0,Bane,D. Bane,Wiggins,203952.0,,,,,,,,,,,,,,,,
113,PT04M50.00S,2024-12-20T01:29:47.9Z,1,REGULAR,substitution,out,[],1642377,,,1610612744,20,10,2024-12-20T01:30:00Z,1130000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,
114,PT04M50.00S,2024-12-20T01:29:47.9Z,1,REGULAR,substitution,out,[],1629630,,,1610612744,20,10,2024-12-20T01:30:00Z,1140000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
115,PT04M50.00S,2024-12-20T01:29:47.9Z,1,REGULAR,substitution,in,[],1630590,,,1610612744,20,10,2024-12-20T01:30:00Z,1150000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,
116,PT04M50.00S,2024-12-20T01:29:47.9Z,1,REGULAR,substitution,in,[],1631222,,,1610612744,20,10,2024-12-20T01:30:00Z,1160000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,,,,,,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,
117,PT04M50.00S,2024-12-20T01:30:08.5Z,1,REGULAR,freethrow,1 of 1,[],203952,,,1610612744,20,11,2024-12-20T01:30:14Z,1170000,False,,,0,,A. Wiggins flagrant Free Throw 1 of 1 (9 PTS),[203952],1610612744.0,GSW,flagrant,,,,,,,,,,,Wiggins,A. Wiggins,,,,Made,9.0,,,,,,,,,,,,,
118,PT04M36.00S,2024-12-20T01:30:27.9Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612744,20,11,2024-12-20T01:30:30Z,1180000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1630583]",1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Wiggins,A. Wiggins,,,,,,,,,1.0,Aldama,1630583.0,,,,,,,
119,PT04M36.00S,2024-12-20T01:30:27.9Z,1,REGULAR,steal,,[],1630583,,,1610612763,20,11,2024-12-20T01:30:29Z,1190000,False,,,0,,S. Aldama STEAL (1 STL),[1630583],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,
120,PT04M27.00S,2024-12-20T01:30:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631222,88.78120893561103,52.69607843137255,1610612763,20,11,2024-12-20T01:30:41Z,1200000,False,13.0,53.0,1,right,MISS J. LaRavia driving Layup,[1631222],1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,LaRavia,J. LaRavia,,,5.47,Missed,,,,,,,,,,,,,,
121,PT04M24.00S,2024-12-20T01:30:40.1Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,20,11,2024-12-20T01:33:52Z,1210000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,120.0,2.0,2.0,0.0,,,
122,PT04M12.00S,2024-12-20T01:30:52.1Z,1,REGULAR,3pt,Jump Shot,[],203471,29.6484888304862,71.81372549019608,1610612744,20,11,2024-12-20T01:30:54Z,1220000,False,-109.0,226.0,1,left,MISS D. Schröder 25' 3PT,[203471],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,,,,Schröder,D. Schröder,,,25.11,Missed,,,,,,,,,,,,,,
123,PT04M10.00S,2024-12-20T01:30:54.1Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,20,11,2024-12-20T01:30:54Z,1230000,False,,,0,,S. Aldama REBOUND (Off:0 Def:3),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Aldama,S. Aldama,,,,,,,,,,,,122.0,3.0,3.0,0.0,,,
124,PT04M03.00S,2024-12-20T01:31:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,92.72339027595268,49.01960784313725,1610612763,22,11,2024-12-20T01:31:05Z,1240000,False,-5.0,16.0,1,right,S. Pippen Jr. driving Layup (2 PTS),[1630590],1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,,1.66,Made,2.0,,,,,,,,,,,,,
125,PT03M54.00S,2024-12-20T01:31:24.9Z,1,REGULAR,substitution,out,[],1630217,,,1610612744,22,11,2024-12-20T01:31:35Z,1250000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
126,PT03M54.00S,2024-12-20T01:31:24.9Z,1,REGULAR,substitution,out,[],203952,,,1610612744,22,11,2024-12-20T01:31:35Z,1260000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
127,PT03M54.00S,2024-12-20T01:31:24.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612744,22,11,2024-12-20T01:31:35Z,1270000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,
128,PT03M54.00S,2024-12-20T01:31:24.9Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,22,11,2024-12-20T01:31:35Z,1280000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,,,,,,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,
129,PT03M51.00S,2024-12-20T01:32:06.9Z,1,REGULAR,jumpball,recovered,[],1631218,,,1610612744,22,11,2024-12-20T01:32:06Z,1290000,False,,,0,,Jump Ball D. Schröder vs. S. Pippen Jr.: Tip to T. Jackson-Davis,"[1631218, 203471, 1630590]",1610612744.0,GSW,heldball,T. Jackson-Davis,Schröder,203471.0,Pippen Jr.,1630590.0,,,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,1631218.0
132,PT03M44.00S,2024-12-20T01:32:13.9Z,1,REGULAR,3pt,Jump Shot,[],1627780,4.5499342969776615,96.07843137254902,1610612744,22,11,2024-12-20T01:32:16Z,1320000,False,-230.0,-10.0,1,left,MISS G. Payton II 3PT,[1627780],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,,,,Payton II,G. Payton II,,,23.06,Missed,,,,,,,,,,,,,,
133,PT03M42.00S,2024-12-20T01:32:15.8Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,22,11,2024-12-20T01:32:15Z,1330000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:2),[1631218],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,132.0,3.0,2.0,1.0,,,
134,PT03M40.00S,2024-12-20T01:32:17.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203471,30.831143232588698,61.51960784313726,1610612744,22,11,2024-12-20T01:32:22Z,1340000,False,-58.0,237.0,1,left,MISS D. Schröder 24' 3PT,[203471],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,,,,Schröder,D. Schröder,,,24.42,Missed,,,,,,,,,,,,,,
135,PT03M35.00S,2024-12-20T01:32:22.6Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612763,22,11,2024-12-20T01:48:43Z,1350000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,LaRavia,J. LaRavia,,,,,,,,,,,,134.0,1.0,1.0,0.0,,,
136,PT03M27.00S,2024-12-20T01:32:30.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,85.49605781865965,95.09803921568627,1610612763,22,11,2024-12-20T01:32:33Z,1360000,False,225.0,84.0,1,right,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Aldama,S. Aldama,,,24.06,Missed,,,,,,,,,,,,,,
137,PT03M25.00S,2024-12-20T01:32:32.1Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,22,11,2024-12-20T01:32:33Z,1370000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,,,,Right Corner 3,24+ Right,,,,Kuminga,J. Kuminga,,,,,,,,,,,,136.0,1.0,1.0,0.0,,,
138,PT03M14.00S,2024-12-20T01:32:47.0Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612744,22,11,2024-12-20T01:32:54Z,1380000,False,,,0,,D. Schröder lost ball out-of-bounds TURNOVER (2 TO),[203471],1610612744.0,GSW,lost ball,,,,,,In The Paint (Non-RA),8-16 Right,202035.0,,,Schröder,D. Schröder,,,,,,,,,2.0,,,,,,,,,
139,PT03M14.00S,2024-12-20T01:32:49.3Z,1,REGULAR,substitution,out,[],1631218,,,1610612763,22,11,2024-12-20T01:32:57Z,1390000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,,,,,,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,
140,PT03M14.00S,2024-12-20T01:32:49.3Z,1,REGULAR,substitution,out,[],203471,,,1610612763,22,11,2024-12-20T01:32:57Z,1400000,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,,,,,,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,
141,PT03M14.00S,2024-12-20T01:32:49.3Z,1,REGULAR,substitution,in,[],201939,,,1610612763,22,11,2024-12-20T01:32:57Z,1410000,False,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
142,PT03M14.00S,2024-12-20T01:32:49.3Z,1,REGULAR,substitution,in,[],203110,,,1610612763,22,11,2024-12-20T01:32:57Z,1420000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
143,PT02M57.00S,2024-12-20T01:33:26.7Z,1,REGULAR,foul,personal,['2freethrow'],1627780,,,1610612763,22,11,2024-12-20T01:33:36Z,1430000,False,,,0,,G. Payton II shooting personal FOUL (1 PF) (LaRavia 2 FT),"[1627780, 1631222]",1610612744.0,GSW,shooting,,,,,,In The Paint (Non-RA),0-8 Center,101283.0,1.0,0.0,Payton II,G. Payton II,LaRavia,1631222.0,,,,,,,,,,,,,,,,
145,PT02M57.00S,2024-12-20T01:33:50.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631222,,,1610612763,23,11,2024-12-20T01:33:51Z,1450000,False,,,0,,J. LaRavia Free Throw 1 of 2 (1 PTS),[1631222],1610612763.0,MEM,,,,,,,,,,,,LaRavia,J. LaRavia,,,,Made,1.0,,,,,,,,,,,,,
146,PT02M57.00S,2024-12-20T01:34:05.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631222,,,1610612763,24,11,2024-12-20T01:34:05Z,1460000,False,,,0,,J. LaRavia Free Throw 2 of 2 (2 PTS),[1631222],1610612763.0,MEM,,,,,,,,,,,,LaRavia,J. LaRavia,,,,Made,2.0,,,,,,,,,,,,,
187,PT02M45.00S,2024-12-20T01:34:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,7.440867279894875,40.931372549019606,1610612744,24,11,2024-12-20T01:40:06Z,1465000,False,45.0,17.0,1,left,MISS G. Payton II driving Layup - blocked,"[1627780, 1629634]",1610612744.0,GSW,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,Payton II,G. Payton II,,,4.85,Missed,,,,,,,,,,,,Clarke,1629634.0,
188,PT02M45.00S,2024-12-20T01:34:06.7Z,1,REGULAR,block,,[],1629634,,,1610612744,24,11,2024-12-20T01:39:47Z,1467500,False,,,0,,B. Clarke BLOCK (1 BLK),[1629634],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,
189,PT02M43.00S,2024-12-20T01:34:08.7Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,24,11,2024-12-20T01:40:06Z,1468750,False,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Payton II,G. Payton II,,,,,,,,,,,,187.0,1.0,0.0,1.0,,,
147,PT02M40.00S,2024-12-20T01:34:22.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630228,4.28712220762155,4.6568627450980395,1610612744,24,11,2024-12-20T01:39:47Z,1470000,False,227.0,-12.0,1,left,MISS J. Kuminga 3PT,[1630228],1610612744.0,GSW,,,,,,,Right Corner 3,24+ Right,,,,Kuminga,J. Kuminga,,,22.7,Missed,,,,,,,,,,,,,,
148,PT02M37.00S,2024-12-20T01:34:25.6Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,24,11,2024-12-20T01:34:25Z,1480000,False,,,0,,B. Clarke REBOUND (Off:0 Def:2),[1629634],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Clarke,B. Clarke,,,,,,,,,,,,147.0,2.0,2.0,0.0,,,
149,PT02M30.00S,2024-12-20T01:34:32.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630583,83.78777923784494,38.48039215686275,1610612763,24,11,2024-12-20T01:34:36Z,1490000,False,-58.0,100.0,1,right,MISS S. Aldama 11' Hook,[1630583],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Aldama,S. Aldama,,,11.53,Missed,,,,,,,,,,,,,,
150,PT02M28.00S,2024-12-20T01:34:34.1Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,24,11,2024-12-20T01:34:36Z,1500000,False,,,0,,B. Clarke REBOUND (Off:1 Def:2),[1629634],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Clarke,B. Clarke,,,,,,,,,,,,149.0,3.0,2.0,1.0,,,
151,PT02M26.00S,2024-12-20T01:34:36.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,93.38042049934296,50.98039215686274,1610612763,24,11,2024-12-20T01:34:39Z,1510000,False,5.0,10.0,1,right,MISS B. Clarke putback Layup,[1629634],1610612763.0,MEM,putback,,,,,,Restricted Area,0-8 Center,,,,Clarke,B. Clarke,,,1.09,Missed,,,,,,,,,,,,,,
152,PT02M23.00S,2024-12-20T01:34:39.2Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,24,11,2024-12-20T01:34:39Z,1520000,False,,,0,,B. Clarke REBOUND (Off:2 Def:2),[1629634],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Clarke,B. Clarke,,,,,,,,,,,,151.0,4.0,2.0,2.0,,,
153,PT02M23.00S,2024-12-20T01:34:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,94.40999984741211,50.0,1610612763,26,11,2024-12-20T01:34:39Z,1530000,False,0.0,0.0,1,right,B. Clarke tip Layup (4 PTS),[1629634],1610612763.0,MEM,tip,,,,,,Mid-Range,8-16 Left,,,,Clarke,B. Clarke,,,0.0,Made,4.0,,,,,,,,,,,,,
154,PT02M05.00S,2024-12-20T01:35:00.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629634,,,1610612744,26,11,2024-12-20T01:35:12Z,1540000,False,,,0,,B. Clarke shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1629634, 1630228]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,101283.0,1.0,0.0,Clarke,B. Clarke,Kuminga,1630228.0,,,,,,,,,,,,,,,,
156,PT02M05.00S,2024-12-20T01:35:24.2Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,26,12,2024-12-20T01:35:24Z,1560000,False,,,0,,J. Kuminga Free Throw 1 of 2 (1 PTS),[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,Made,1.0,,,,,,,,,,,,,
157,PT02M05.00S,2024-12-20T01:35:40.4Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,26,13,2024-12-20T01:35:40Z,1570000,False,,,0,,J. Kuminga Free Throw 2 of 2 (2 PTS),[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,Made,2.0,,,,,,,,,,,,,
158,PT01M57.00S,2024-12-20T01:35:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,93.64323258869908,51.470588235294116,1610612763,28,13,2024-12-20T01:35:52Z,1580000,False,7.0,7.0,1,right,S. Pippen Jr. driving finger roll Layup (4 PTS),[1630590],1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,,1.04,Made,4.0,,,,,,,,,,,,,
159,PT01M42.00S,2024-12-20T01:36:06.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631222,,,1610612744,28,13,2024-12-20T01:36:16Z,1590000,False,,,0,,J. LaRavia shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1631222, 1630228]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),0-8 Center,202026.0,1.0,0.0,LaRavia,J. LaRavia,Kuminga,1630228.0,,,,,,,,,,,,,,,,
161,PT01M42.00S,2024-12-20T01:36:32.3Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,28,14,2024-12-20T01:36:32Z,1610000,False,,,0,,J. Kuminga Free Throw 1 of 2 (3 PTS),[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,Made,3.0,,,,,,,,,,,,,
162,PT01M42.00S,2024-12-20T01:36:48.8Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,28,15,2024-12-20T01:36:48Z,1620000,False,,,0,,J. Kuminga Free Throw 2 of 2 (4 PTS),[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,Made,4.0,,,,,,,,,,,,,
163,PT01M35.00S,2024-12-20T01:36:57.3Z,1,REGULAR,3pt,Jump Shot,[],1630590,75.50919842312747,13.23529411764706,1610612763,31,15,2024-12-20T01:37:00Z,1630000,False,-184.0,178.0,1,right,S. Pippen Jr. 25' 3PT  (7 PTS) (B. Clarke 1 AST),"[1630590, 1629634]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Pippen Jr.,S. Pippen Jr.,,,25.57,Made,7.0,B. Clarke,1629634.0,1.0,,,,,,,,,,
165,PT01M09.00S,2024-12-20T01:37:22.0Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,31,15,2024-12-20T01:37:24Z,1650000,False,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 1630583]",1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Kuminga,J. Kuminga,,,,,,,,,1.0,Aldama,1630583.0,,,,,,,
