actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
85,PT04M59.00S,2025-03-16T00:24:40.8Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,23,16,2025-03-16T00:24:41Z,850000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:1),[1630590],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Pippen Jr.,S. Pippen Jr.,,,,84.0,1.0,1.0,0.0,,,,,,,,,,
86,PT04M50.00S,2025-03-16T00:24:49.5Z,1,REGULAR,2pt,Jump Shot,[],1628991,12.959921156373195,31.61764705882353,1610612763,25,16,2025-03-16T00:24:56Z,860000,False,92.0,69.0,1,left,J. Jackson Jr. 11' driving floating Jump Shot (12 PTS),[1628991],1610612763.0,MEM,driving floating,,,,,,Mid-Range,8-16 Right,11.51,Made,12.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
87,PT04M25.00S,2025-03-16T00:25:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,95.74572930354796,95.34313725490196,1610612748,25,16,2025-03-16T00:25:18Z,870000,False,227.0,-13.0,1,right,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,22.7,Missed,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
88,PT04M22.00S,2025-03-16T00:25:17.9Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,25,16,2025-03-16T00:25:18Z,880000,False,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Bane,D. Bane,,,,87.0,2.0,2.0,0.0,,,,,,,,,,
89,PT04M15.00S,2025-03-16T00:25:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.389618922470433,54.41176470588235,1610612763,25,16,2025-03-16T00:25:29Z,890000,False,-22.0,8.0,1,left,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,2.34,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
91,PT04M12.00S,2025-03-16T00:25:28.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,25,16,2025-03-16T00:25:29Z,910000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,,89.0,2.0,2.0,0.0,,,,,,,,,,
92,PT04M07.00S,2025-03-16T00:25:33.4Z,1,REGULAR,turnover,bad pass,[],203937,,,1610612748,25,16,2025-03-16T00:25:36Z,920000,False,,,0,,K. Anderson bad pass TURNOVER (1 TO),"[203937, 1630217]",1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,,,,Anderson,K. Anderson,,,,,,,,,,,,,1.0,Bane,1630217.0,,
93,PT04M07.00S,2025-03-16T00:25:33.4Z,1,REGULAR,steal,,[],1630217,,,1610612763,25,16,2025-03-16T00:25:35Z,930000,False,,,0,,D. Bane STEAL (2 STL),[1630217],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
94,PT04M01.00S,2025-03-16T00:25:39.5Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,25,16,2025-03-16T00:25:42Z,940000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1629639]",1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Bane,D. Bane,,,,,,,,,,,,,1.0,Herro,1629639.0,,
95,PT04M01.00S,2025-03-16T00:25:39.5Z,1,REGULAR,steal,,[],1629639,,,1610612748,25,16,2025-03-16T00:25:41Z,950000,False,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,
96,PT03M50.00S,2025-03-16T00:25:50.4Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,25,16,2025-03-16T00:25:53Z,960000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1630590]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Herro,T. Herro,,,,,,,,,,,,,1.0,Pippen Jr.,1630590.0,,
97,PT03M50.00S,2025-03-16T00:25:50.4Z,1,REGULAR,steal,,[],1630590,,,1610612763,25,16,2025-03-16T00:25:51Z,970000,False,,,0,,S. Pippen Jr. STEAL (1 STL),[1630590],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
98,PT03M46.00S,2025-03-16T00:25:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630590,6.652431011826544,50.49019607843137,1610612763,27,16,2025-03-16T00:26:01Z,980000,False,-2.0,10.0,1,left,S. Pippen Jr. running finger roll Layup (2 PTS),[1630590],1610612763.0,MEM,running finger roll,,,,,,Restricted Area,0-8 Center,1.03,Made,2.0,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
99,PT03M46.00S,2025-03-16T00:25:59.2Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612763,27,16,2025-03-16T00:26:40Z,990000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Pippen Jr. 1 FT),"[1629130, 1630590]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,,Robinson,D. Robinson,,,,,,,,201246.0,1.0,0.0,Pippen Jr.,1630590.0,,,,,
101,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,out,[],1642377,,,1610612763,27,16,2025-03-16T00:27:11Z,1010000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
102,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,27,16,2025-03-16T00:27:11Z,1020000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
103,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,out,[],1641744,,,1610612763,27,16,2025-03-16T00:27:11Z,1030000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
104,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,out,[],203952,,,1610612763,27,16,2025-03-16T00:27:11Z,1040000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
105,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,out,[],1629130,,,1610612763,27,16,2025-03-16T00:27:11Z,1050000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
106,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,27,16,2025-03-16T00:27:11Z,1060000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,,,,,,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,
107,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,in,[],1630205,,,1610612763,27,16,2025-03-16T00:27:11Z,1070000,False,,,0,,SUB in: L. Stevens,[1630205],1610612763.0,MEM,,,,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,
108,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,in,[],1642285,,,1610612763,27,16,2025-03-16T00:27:11Z,1080000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,,,,,,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,
109,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,in,[],1630558,,,1610612763,27,16,2025-03-16T00:27:11Z,1090000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
110,PT03M46.00S,2025-03-16T00:26:09.8Z,1,REGULAR,substitution,in,[],1631170,,,1610612763,27,16,2025-03-16T00:27:11Z,1100000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,,,,,,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,
111,PT03M46.00S,2025-03-16T00:26:42.9Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630590,,,1610612763,28,16,2025-03-16T00:26:42Z,1110000,False,,,0,,S. Pippen Jr. Free Throw 1 of 1 (3 PTS),[1630590],1610612763.0,MEM,,,,,,,,,,Made,3.0,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
112,PT03M22.00S,2025-03-16T00:27:08.0Z,1,REGULAR,2pt,Jump Shot,[],1631170,84.83902759526939,15.441176470588236,1610612748,28,16,2025-03-16T00:27:11Z,1120000,False,-173.0,90.0,1,right,MISS J. Jaquez Jr. 19' step back Shot,[1631170],1610612748.0,MIA,step back,,,,,,Mid-Range,16-24 Left,19.48,Missed,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,
113,PT03M19.00S,2025-03-16T00:27:11.0Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,28,16,2025-03-16T00:27:11Z,1130000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:2),[1630590],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Left,,,,Pippen Jr.,S. Pippen Jr.,,,,112.0,2.0,2.0,0.0,,,,,,,,,,
114,PT03M02.00S,2025-03-16T00:27:28.3Z,1,REGULAR,3pt,Jump Shot,[],1630590,7.046649145860711,4.6568627450980395,1610612763,31,16,2025-03-16T00:27:31Z,1140000,False,227.0,14.0,1,left,S. Pippen Jr. 3PT  (6 PTS) (D. Bane 3 AST),"[1630590, 1630217]",1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,22.71,Made,6.0,Pippen Jr.,S. Pippen Jr.,D. Bane,1630217.0,3.0,,,,,,,,,,,,,,
116,PT03M00.00S,2025-03-16T00:27:33.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,31,16,2025-03-16T00:27:33Z,1160000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M00.00S,2025-03-16T00:29:50.0Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,31,16,2025-03-16T00:30:06Z,1170000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,
118,PT03M00.00S,2025-03-16T00:29:50.0Z,1,REGULAR,substitution,in,[],1626179,,,1610612748,31,16,2025-03-16T00:30:06Z,1180000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,
119,PT02M43.00S,2025-03-16T00:30:40.2Z,1,REGULAR,3pt,Jump Shot,[],1626179,74.45795006570303,81.61764705882352,1610612748,31,16,2025-03-16T00:30:45Z,1190000,False,158.0,188.0,1,right,MISS T. Rozier 24' pullup 3PT,[1626179],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,24.53,Missed,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,
120,PT02M38.00S,2025-03-16T00:30:45.2Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,31,16,2025-03-16T00:30:45Z,1200000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Spencer,C. Spencer,,,,119.0,1.0,1.0,0.0,,,,,,,,,,
121,PT02M27.00S,2025-03-16T00:30:56.0Z,1,REGULAR,2pt,Jump Shot,[],1630217,23.866622864651774,59.068627450980394,1610612763,33,16,2025-03-16T00:30:58Z,1210000,False,-45.0,172.0,1,left,D. Bane 17' pullup Jump Shot (9 PTS),[1630217],1610612763.0,MEM,pullup,,,,,,Mid-Range,16-24 Center,17.77,Made,9.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
122,PT02M02.00S,2025-03-16T00:31:20.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203937,84.97043363994744,44.6078431372549,1610612748,33,18,2025-03-16T00:31:25Z,1220000,False,-27.0,89.0,1,right,K. Anderson 9' driving Hook (2 PTS),[203937],1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),8-16 Center,9.28,Made,2.0,Anderson,K. Anderson,,,,,,,,,,,,,,,,,
123,PT01M54.00S,2025-03-16T00:31:28.4Z,1,REGULAR,3pt,Jump Shot,[],1630590,23.209592641261498,12.5,1610612763,36,18,2025-03-16T00:31:31Z,1230000,False,188.0,166.0,1,left,S. Pippen Jr. 25' 3PT  (9 PTS) (D. Bane 4 AST),"[1630590, 1630217]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.02,Made,9.0,Pippen Jr.,S. Pippen Jr.,D. Bane,1630217.0,4.0,,,,,,,,,,,,,,
125,PT01M37.00S,2025-03-16T00:31:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,83.78777923784494,51.225490196078425,1610612748,36,18,2025-03-16T00:31:52Z,1250000,False,6.0,100.0,1,right,MISS B. Adebayo 10' floating Shot,[1628389],1610612748.0,MIA,floating,,,,,,In The Paint (Non-RA),8-16 Center,10.01,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
126,PT01M34.00S,2025-03-16T00:31:48.6Z,1,REGULAR,rebound,offensive,[],1630558,,,1610612748,36,18,2025-03-16T00:31:52Z,1260000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1630558],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Mitchell,D. Mitchell,,,,125.0,1.0,0.0,1.0,,,,,,,,,,
127,PT01M27.00S,2025-03-16T00:31:56.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203937,68.28186596583443,29.65686274509804,1610612748,36,21,2025-03-16T00:31:59Z,1270000,False,-102.0,246.0,1,right,K. Anderson 26' 3PT  (5 PTS) (T. Rozier 1 AST),"[203937, 1626179]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,26.59,Made,5.0,Anderson,K. Anderson,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
129,PT01M07.00S,2025-03-16T00:32:15.7Z,1,REGULAR,3pt,Jump Shot,[],1630205,32.40801576872536,51.470588235294116,1610612763,36,21,2025-03-16T00:32:19Z,1290000,False,-7.0,252.0,1,left,MISS L. Stevens 25' 3PT,[1630205],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,25.22,Missed,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,
130,PT01M04.00S,2025-03-16T00:32:18.7Z,1,REGULAR,rebound,defensive,[],203937,,,1610612748,36,21,2025-03-16T00:32:19Z,1300000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Anderson,K. Anderson,,,,129.0,2.0,2.0,0.0,,,,,,,,,,
131,PT00M54.90S,2025-03-16T00:32:28.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631170,87.46714848883047,61.76470588235294,1610612748,36,23,2025-03-16T00:32:32Z,1310000,False,59.0,65.0,1,right,J. Jaquez Jr. 8' turnaround bank Hook (2 PTS) (K. Anderson 1 AST),"[1631170, 203937]",1610612748.0,MIA,turnaround bank,,,,,,In The Paint (Non-RA),8-16 Right,8.79,Made,2.0,Jaquez Jr.,J. Jaquez Jr.,K. Anderson,203937.0,1.0,,,,,,,,,,,,,,
133,PT00M44.80S,2025-03-16T00:32:42.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629634,11.777266754270697,48.03921568627451,1610612763,38,23,2025-03-16T00:32:44Z,1330000,False,10.0,58.0,1,left,B. Clarke turnaround Hook (2 PTS) (S. Pippen Jr. 1 AST),"[1629634, 1630590]",1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,2.0,Clarke,B. Clarke,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,,,,,
135,PT00M29.80S,2025-03-16T00:32:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,83.919185282523,56.372549019607845,1610612748,38,23,2025-03-16T00:33:04Z,1350000,False,32.0,99.0,1,right,MISS B. Adebayo 10' floating Shot,[1628389],1610612748.0,MIA,floating,,,,,,In The Paint (Non-RA),8-16 Center,10.37,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
136,PT00M28.00S,2025-03-16T00:33:01.5Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,38,23,2025-03-16T00:33:04Z,1360000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,,135.0,3.0,2.0,1.0,,,,,,,,,,
137,PT00M28.00S,2025-03-16T00:33:03.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,94.40999984741211,50.0,1610612748,38,25,2025-03-16T00:33:03Z,1370000,False,0.0,0.0,1,right,B. Adebayo tip Layup (4 PTS),[1628389],1610612748.0,MIA,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
138,PT00M09.70S,2025-03-16T00:33:21.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,17.0335085413929,47.794117647058826,1610612763,38,25,2025-03-16T00:33:29Z,1380000,False,11.0,108.0,1,left,MISS B. Clarke 10' pullup Shot,[1629634],1610612763.0,MEM,pullup,,,,,,In The Paint (Non-RA),8-16 Center,10.82,Missed,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,
139,PT00M07.30S,2025-03-16T00:33:23.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,38,25,2025-03-16T00:33:23Z,1390000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,,138.0,4.0,3.0,1.0,,,,,,,,,,
140,PT00M03.90S,2025-03-16T00:33:28.8Z,1,REGULAR,foul,personal,[],1642285,,,1610612748,38,25,2025-03-16T00:33:37Z,1400000,False,,,0,,C. Spencer take personal FOUL (1 PF),"[1642285, 1630558]",1610612763.0,MEM,take,,,,,,Above the Break 3,24+ Right Center,,,,Spencer,C. Spencer,,,,,,,,2004.0,1.0,0.0,Mitchell,1630558.0,,,,,
142,PT00M03.90S,2025-03-16T00:33:38.7Z,1,REGULAR,substitution,out,[],1629634,,,1610612748,38,25,2025-03-16T00:33:55Z,1420000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,,,,,,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,
143,PT00M03.90S,2025-03-16T00:33:38.7Z,1,REGULAR,substitution,out,[],1642285,,,1610612748,38,25,2025-03-16T00:33:55Z,1430000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,,,,,,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,
144,PT00M03.90S,2025-03-16T00:33:38.7Z,1,REGULAR,substitution,out,[],1630558,,,1610612748,38,25,2025-03-16T00:33:55Z,1440000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
145,PT00M03.90S,2025-03-16T00:33:38.7Z,1,REGULAR,substitution,in,[],1641744,,,1610612748,38,25,2025-03-16T00:33:55Z,1450000,False,,,0,,SUB in: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
146,PT00M03.90S,2025-03-16T00:33:38.7Z,1,REGULAR,substitution,in,[],1642377,,,1610612748,38,25,2025-03-16T00:33:55Z,1460000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
147,PT00M03.90S,2025-03-16T00:33:38.7Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,38,25,2025-03-16T00:33:55Z,1470000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2025-03-16T00:34:04.0Z,1,REGULAR,2pt,Jump Shot,[],1631170,94.1688567674113,91.17647058823529,1610612748,38,27,2025-03-16T00:34:08Z,1480000,False,206.0,2.0,1,right,J. Jaquez Jr. 20' pullup Jump Shot (4 PTS) (K. Anderson 2 AST),"[1631170, 203937]",1610612748.0,MIA,pullup,,,,,,Mid-Range,16-24 Right,20.59,Made,4.0,Jaquez Jr.,J. Jaquez Jr.,K. Anderson,203937.0,2.0,,,,,,,,,,,,,,
150,PT00M00.00S,2025-03-16T00:34:22.0Z,1,REGULAR,period,end,[],0,,,1610612763,38,27,2025-03-16T00:34:22Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,out,['startperiod'],1630590,,,1610612763,38,27,2025-03-16T00:36:51Z,1510000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,out,['startperiod'],1630205,,,1610612763,38,27,2025-03-16T00:36:51Z,1520000,False,,,0,,SUB out: L. Stevens,[1630205],1610612763.0,MEM,,,,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,out,['startperiod'],1630217,,,1610612763,38,27,2025-03-16T00:36:51Z,1530000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,out,['startperiod'],1642377,,,1610612763,38,27,2025-03-16T00:36:51Z,1540000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,out,['startperiod'],1628389,,,1610612763,38,27,2025-03-16T00:36:51Z,1550000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,out,['startperiod'],1629130,,,1610612763,38,27,2025-03-16T00:36:51Z,1560000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,in,['startperiod'],1628379,,,1610612763,38,27,2025-03-16T00:36:51Z,1570000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,in,['startperiod'],1641713,,,1610612763,38,27,2025-03-16T00:36:51Z,1580000,False,,,0,,SUB in: G. Jackson,[1641713],1610612763.0,MEM,,,,,,,,,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,in,['startperiod'],1628991,,,1610612763,38,27,2025-03-16T00:36:51Z,1590000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,in,['startperiod'],1642285,,,1610612763,38,27,2025-03-16T00:36:51Z,1600000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,,,,,,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,in,['startperiod'],1642276,,,1610612763,38,27,2025-03-16T00:36:51Z,1610000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,,,,,,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-03-16T00:36:09.0Z,2,REGULAR,substitution,in,['startperiod'],1630558,,,1610612763,38,27,2025-03-16T00:36:51Z,1620000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-03-16T00:36:52.7Z,2,REGULAR,period,start,[],0,,,1610612748,38,27,2025-03-16T00:36:52Z,1630000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M44.00S,2025-03-16T00:37:07.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631170,93.11760840998686,49.26470588235294,1610612748,38,29,2025-03-16T00:37:10Z,1640000,False,-4.0,12.0,1,right,J. Jaquez Jr. cutting DUNK (6 PTS) (K. Anderson 3 AST),"[1631170, 203937]",1610612748.0,MIA,cutting,,,,,,Restricted Area,0-8 Center,1.27,Made,6.0,Jaquez Jr.,J. Jaquez Jr.,K. Anderson,203937.0,3.0,,,,,,,,,,,,,,
167,PT11M31.00S,2025-03-16T00:37:20.3Z,2,REGULAR,3pt,Jump Shot,[],1642285,27.808804204993432,75.73529411764706,1610612763,38,29,2025-03-16T00:37:24Z,1660000,False,-129.0,209.0,1,left,MISS C. Spencer 24' 3PT,[1642285],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,
168,PT11M28.00S,2025-03-16T00:37:23.3Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,38,29,2025-03-16T00:37:24Z,1670000,False,,,0,,K. Ware REBOUND (Off:1 Def:2),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Ware,K. Ware,,,,167.0,3.0,2.0,1.0,,,,,,,,,,
