actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
85,PT05M03.00S,2022-10-24T00:56:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,8.886333771353483,55.14705882352941,1610612758,21,21,2022-10-24T00:58:43Z,850000,-26.0,31.0,1,left,M. Monk cutting Layup (2 PTS) (K. Huerter 1 AST),"[1628370, 1628989]",1610612758.0,SAC,cutting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,4.03,Made,2.0,,,,,K. Huerter,1628989.0,1.0,,,,,,,,,,
87,PT05M03.00S,2022-10-24T00:56:51.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612744,21,21,2022-10-24T00:56:51Z,870000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M46.00S,2022-10-24T00:58:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630164,91.5407358738502,47.794117647058826,1610612744,23,21,2022-10-24T00:58:32Z,880000,-11.0,27.0,1,right,J. Wiseman cutting Layup (2 PTS) (S. Curry 2 AST),"[1630164, 201939]",1610612744.0,GSW,cutting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,2.92,Made,2.0,,,,,S. Curry,201939.0,2.0,,,,,,,,,,
90,PT04M31.00S,2022-10-24T00:58:41.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,30.436925098554536,74.26470588235294,1610612758,23,21,2022-10-24T00:58:45Z,900000,-121.0,234.0,1,left,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
91,PT04M28.00S,2022-10-24T00:58:44.2Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,23,21,2022-10-24T00:59:00Z,910000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Above the Break 3,24+ Left Center,,,,90.0,1.0,0.0,1.0,,,,,,,,,,,,,
92,PT04M24.00S,2022-10-24T00:58:49.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,28.597240473061763,78.67647058823529,1610612758,23,21,2022-10-24T00:58:57Z,920000,-143.0,216.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,25.95,Missed,,,,,,,,,,,,,,,,,,
93,PT04M20.00S,2022-10-24T00:58:53.0Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612758,23,21,2022-10-24T00:58:57Z,930000,,,0,,M. Monk REBOUND (Off:1 Def:0),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,,,,92.0,1.0,0.0,1.0,,,,,,,,,,,,,
94,PT04M08.00S,2022-10-24T00:59:04.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628368,16.507884362680684,37.5,1610612758,23,23,2022-10-24T01:01:24Z,940000,62.0,103.0,1,left,D. Fox 12' driving floating Jump Shot (8 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Right,12.02,Made,8.0,,,,,,,,,,,,,,,,,
95,PT03M57.00S,2022-10-24T00:59:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,91.27792378449409,57.107843137254896,1610612744,25,23,2022-10-24T00:59:23Z,950000,36.0,29.0,1,right,S. Curry driving finger roll Layup (7 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,7.0,,,,,,,,,,,,,,,,,
96,PT03M49.00S,2022-10-24T00:59:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,9.411957950065702,37.5,1610612758,25,23,2022-10-24T01:01:18Z,960000,62.0,36.0,1,left,MISS K. Huerter 7' driving Layup,[1628989],1610612758.0,SAC,driving,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,,,,,,
97,PT03M49.00S,2022-10-24T00:59:24.0Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,25,23,2022-10-24T01:00:43Z,970000,,,0,,R. Holmes REBOUND (Off:2 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,,,,96.0,2.0,0.0,2.0,,,,,,,,,,,,,
98,PT03M45.00S,2022-10-24T00:59:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,5.590000152587891,50.0,1610612758,25,25,2022-10-24T00:59:26Z,980000,0.0,0.0,1,left,R. Holmes putback Layup (2 PTS),[1626158],1610612758.0,SAC,putback,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
99,PT03M37.00S,2022-10-24T00:59:35.7Z,1,REGULAR,2pt,Jump Shot,[],203952,88.64980289093299,73.0392156862745,1610612744,27,25,2022-10-24T00:59:41Z,990000,115.0,54.0,1,right,A. Wiggins 12' turnaround fadeaway Jump Shot (13 PTS),[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,12.73,Made,13.0,,,,,,,,,,,,,,,,,
100,PT03M28.00S,2022-10-24T00:59:44.0Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,27,25,2022-10-24T00:59:47Z,1000000,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 203210]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Green,203210.0,,
101,PT03M28.00S,2022-10-24T00:59:44.0Z,1,REGULAR,steal,,[],203210,,,1610612744,27,25,2022-10-24T00:59:45Z,1010000,,,0,,J. Green STEAL (1 STL),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
102,PT03M25.00S,2022-10-24T00:59:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612744,27,25,2022-10-24T01:00:02Z,1020000,,,0,,R. Holmes shooting personal FOUL (1 PF) (Wiseman 2 FT),"[1626158, 1630164]",1610612758.0,SAC,shooting,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1662.0,1.0,0.0,Wiseman,1630164.0,,,,,
104,PT03M25.00S,2022-10-24T01:00:32.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630164,,,1610612744,28,25,2022-10-24T01:00:32Z,1040000,,,0,,J. Wiseman Free Throw 1 of 2 (3 PTS),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
105,PT03M25.00S,2022-10-24T01:00:33.5Z,1,REGULAR,substitution,out,[],201939,,,1610612744,28,25,2022-10-24T01:00:43Z,1050000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M25.00S,2022-10-24T01:00:33.5Z,1,REGULAR,substitution,out,[],1628989,,,1610612744,28,25,2022-10-24T01:00:43Z,1060000,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M25.00S,2022-10-24T01:00:33.5Z,1,REGULAR,substitution,in,[],1628978,,,1610612744,28,25,2022-10-24T01:00:43Z,1070000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M25.00S,2022-10-24T01:00:33.5Z,1,REGULAR,substitution,in,[],203084,,,1610612744,28,25,2022-10-24T01:00:43Z,1080000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M25.00S,2022-10-24T01:00:58.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630164,,,1610612744,29,25,2022-10-24T01:00:58Z,1090000,,,0,,J. Wiseman Free Throw 2 of 2 (4 PTS),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
112,PT03M15.00S,2022-10-24T01:01:15.4Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,29,25,2022-10-24T01:04:33Z,1120000,,,0,,D. Fox bad pass out-of-bounds TURNOVER (2 TO),[1628368],1610612758.0,SAC,bad pass,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,,,,,,,,,,,202056.0,,,,,2.0,,,,
114,PT03M00.00S,2022-10-24T01:01:31.2Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,29,25,2022-10-24T01:01:47Z,1130000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 203084]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Barnes,203084.0,,
115,PT03M00.00S,2022-10-24T01:01:31.2Z,1,REGULAR,steal,,[],203084,,,1610612758,29,25,2022-10-24T01:01:33Z,1140000,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
116,PT02M55.00S,2022-10-24T01:01:36.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628370,11.383048620236531,94.6078431372549,1610612758,29,28,2022-10-24T01:01:52Z,1150000,-223.0,55.0,1,left,M. Monk 3PT  (5 PTS) (D. Fox 3 AST),"[1628370, 1628368]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Left Corner 3,24+ Left,22.96,Made,5.0,,,,,D. Fox,1628368.0,3.0,,,,,,,,,,
118,PT02M43.00S,2022-10-24T01:01:51.8Z,1,REGULAR,foul,personal,[],1628368,,,1610612744,29,28,2022-10-24T01:01:54Z,1170000,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1628978]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1662.0,1.0,0.0,DiVincenzo,1628978.0,,,,,
120,PT02M43.00S,2022-10-24T01:02:00.1Z,1,REGULAR,substitution,out,[],1628368,,,1610612744,29,28,2022-10-24T01:02:03Z,1190000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M43.00S,2022-10-24T01:02:00.1Z,1,REGULAR,substitution,in,[],1630558,,,1610612744,29,28,2022-10-24T01:02:03Z,1200000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M39.00S,2022-10-24T01:02:18.2Z,1,REGULAR,2pt,Jump Shot,[],203952,78.79434954007884,24.019607843137255,1610612744,29,28,2022-10-24T01:06:04Z,1210000,-130.0,147.0,1,right,MISS A. Wiggins 19' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Left Center,19.6,Missed,,,,,,,,,,,,,,,,,,
123,PT02M36.00S,2022-10-24T01:02:22.7Z,1,REGULAR,rebound,offensive,[],203210,,,1610612744,29,28,2022-10-24T01:02:22Z,1220000,,,0,,J. Green REBOUND (Off:1 Def:0),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,122.0,1.0,0.0,1.0,,,,,,,,,,,,,
124,PT02M36.00S,2022-10-24T01:02:23.4Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612744,29,28,2022-10-24T01:02:31Z,1230000,,,0,,K. Murray shooting personal FOUL (1 PF) (Green 2 FT),"[1631099, 203210]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202056.0,1.0,0.0,Green,203210.0,,,,,
126,PT02M36.00S,2022-10-24T01:02:48.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203210,,,1610612744,29,28,2022-10-24T01:02:48Z,1250000,,,0,,MISS J. Green Free Throw 1 of 2,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
127,PT02M36.00S,2022-10-24T01:02:48.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,29,28,2022-10-24T01:02:48Z,1260000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,
128,PT02M36.00S,2022-10-24T01:02:59.8Z,1,REGULAR,substitution,out,[],203952,,,1610612744,29,28,2022-10-24T01:03:03Z,1270000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M36.00S,2022-10-24T01:02:59.8Z,1,REGULAR,substitution,in,[],1630541,,,1610612744,29,28,2022-10-24T01:03:03Z,1280000,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M36.00S,2022-10-24T01:03:12.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203210,,,1610612744,30,28,2022-10-24T01:03:12Z,1290000,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
131,PT02M30.00S,2022-10-24T01:03:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,13.87976346911958,48.529411764705884,1610612758,30,30,2022-10-24T01:03:27Z,1300000,7.0,78.0,1,left,R. Holmes 7' floating Jump Shot (4 PTS) (D. Mitchell 1 AST),"[1626158, 1630558]",1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,7.84,Made,4.0,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,,
133,PT02M17.00S,2022-10-24T01:03:39.0Z,1,REGULAR,foul,personal,[],1630558,,,1610612744,30,30,2022-10-24T01:03:53Z,1320000,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1629673]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,201246.0,1.0,0.0,Poole,1629673.0,,,,,
135,PT02M17.00S,2022-10-24T01:03:45.8Z,1,REGULAR,substitution,out,[],1626158,,,1610612744,30,30,2022-10-24T01:03:48Z,1340000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M17.00S,2022-10-24T01:03:45.8Z,1,REGULAR,substitution,in,[],1627734,,,1610612744,30,30,2022-10-24T01:03:48Z,1350000,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M11.00S,2022-10-24T01:04:05.1Z,1,REGULAR,2pt,Jump Shot,[],1629673,73.53810775295663,57.35294117647059,1610612744,32,30,2022-10-24T01:04:38Z,1360000,37.0,196.0,1,right,J. Poole 19' pullup Jump Shot (2 PTS) (J. Wiseman 1 AST),"[1629673, 1630164]",1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,19.96,Made,2.0,,,,,J. Wiseman,1630164.0,1.0,,,,,,,,,,
139,PT02M11.00S,2022-10-24T01:04:08.7Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630558,,,1610612744,32,30,2022-10-24T01:04:18Z,1380000,,,0,,D. Mitchell shooting personal FOUL (2 PF) (Poole 1 FT),"[1630558, 1629673]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,,,,,,,,,,,202056.0,2.0,0.0,Poole,1629673.0,,,,,
141,PT02M11.00S,2022-10-24T01:04:33.1Z,1,REGULAR,freethrow,1 of 1,[],1629673,,,1610612744,33,30,2022-10-24T01:04:33Z,1400000,,,0,,J. Poole Free Throw 1 of 1 (3 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
142,PT02M05.00S,2022-10-24T01:04:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628370,6.652431011826544,95.09803921568627,1610612758,33,30,2022-10-24T01:04:45Z,1410000,-225.0,10.0,1,left,MISS M. Monk 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Left Corner 3,24+ Left,22.57,Missed,,,,,,,,,,,,,,,,,,
143,PT02M03.00S,2022-10-24T01:04:43.5Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612744,33,30,2022-10-24T01:04:45Z,1420000,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,Left Corner 3,24+ Left,,,,142.0,1.0,1.0,0.0,,,,,,,,,,,,,
144,PT01M56.00S,2022-10-24T01:04:49.9Z,1,REGULAR,2pt,Jump Shot,[],1629673,89.83245729303549,24.019607843137255,1610612744,33,30,2022-10-24T01:04:59Z,1430000,-130.0,43.0,1,right,MISS J. Poole 13' driving bank Shot,[1629673],1610612744.0,GSW,driving bank,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,13.69,Missed,,,,,,,,,,,,,,,,,,
145,PT01M55.00S,2022-10-24T01:04:53.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,33,30,2022-10-24T01:04:53Z,1440000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,8-16 Left,,,,144.0,,,,,,,,,,,,,,,,
146,PT01M55.00S,2022-10-24T01:04:54.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612744,33,30,2022-10-24T01:05:00Z,1450000,,,0,,D. Sabonis loose ball personal FOUL (1 PF) (Wiseman 2 FT),"[1627734, 1630164]",1610612758.0,SAC,loose ball,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201246.0,1.0,0.0,Wiseman,1630164.0,,,,,
148,PT01M55.00S,2022-10-24T01:05:16.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630164,,,1610612744,34,30,2022-10-24T01:05:16Z,1470000,,,0,,J. Wiseman Free Throw 1 of 2 (5 PTS),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
149,PT01M55.00S,2022-10-24T01:05:30.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630164,,,1610612744,35,30,2022-10-24T01:05:30Z,1480000,,,0,,J. Wiseman Free Throw 2 of 2 (6 PTS),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
150,PT01M46.00S,2022-10-24T01:05:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,17.16491458607096,48.03921568627451,1610612758,35,32,2022-10-24T01:05:45Z,1490000,10.0,109.0,1,left,K. Murray 10' floating Jump Shot (7 PTS) (D. Mitchell 2 AST),"[1631099, 1630558]",1610612758.0,SAC,floating,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.93,Made,7.0,,,,,D. Mitchell,1630558.0,2.0,,,,,,,,,,
152,PT01M31.00S,2022-10-24T01:05:58.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612744,35,32,2022-10-24T01:06:11Z,1510000,,,0,,D. Sabonis personal FOUL (2 PF) (Poole 2 FT),"[1627734, 1629673]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1662.0,2.0,0.0,Poole,1629673.0,,,,,
154,PT01M31.00S,2022-10-24T01:06:28.1Z,1,REGULAR,freethrow,1 of 2,[],1629673,,,1610612744,36,32,2022-10-24T01:06:28Z,1530000,,,0,,J. Poole Free Throw 1 of 2 (4 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
155,PT01M31.00S,2022-10-24T01:06:30.0Z,1,REGULAR,substitution,out,[],1627734,,,1610612744,36,32,2022-10-24T01:06:33Z,1540000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M31.00S,2022-10-24T01:06:30.0Z,1,REGULAR,substitution,in,[],1626158,,,1610612744,36,32,2022-10-24T01:06:33Z,1550000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M31.00S,2022-10-24T01:06:49.7Z,1,REGULAR,freethrow,2 of 2,[],1629673,,,1610612744,37,32,2022-10-24T01:06:49Z,1560000,,,0,,J. Poole Free Throw 2 of 2 (5 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
158,PT01M11.00S,2022-10-24T01:07:10.8Z,1,REGULAR,3pt,Jump Shot,[],1628370,23.47240473061761,12.254901960784313,1610612758,37,35,2022-10-24T01:07:15Z,1570000,189.0,168.0,1,left,M. Monk 25' 3PT pullup (8 PTS),[1628370],1610612758.0,SAC,pullup,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,25.27,Made,8.0,,,,,,,,,,,,,,,,,
159,PT00M58.90S,2022-10-24T01:07:23.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,88.12417871222075,3.9215686274509802,1610612744,37,35,2022-10-24T01:07:28Z,1580000,-230.0,59.0,1,right,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,23.79,Missed,,,,,,,,,,,,,,,,,,
160,PT00M56.00S,2022-10-24T01:07:26.6Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,37,35,2022-10-24T01:07:28Z,1590000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,,
161,PT00M50.30S,2022-10-24T01:07:33.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626158,8.623521681997373,47.794117647058826,1610612758,37,35,2022-10-24T01:07:42Z,1600000,11.0,29.0,1,left,MISS R. Holmes Layup - blocked,"[1626158, 1630541]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,Moody,1630541.0
162,PT00M50.30S,2022-10-24T01:07:33.2Z,1,REGULAR,block,,[],1630541,,,1610612758,37,35,2022-10-24T01:07:36Z,1610000,,,0,,M. Moody BLOCK (1 BLK),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
163,PT00M50.10S,2022-10-24T01:07:33.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,37,35,2022-10-24T01:07:42Z,1620000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Restricted Area,0-8 Center,,,,161.0,,,,,,,,,,,,,,,,
165,PT00M47.70S,2022-10-24T01:07:51.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628370,9.543363994743759,40.19607843137255,1610612758,37,35,2022-10-24T01:07:55Z,1640000,49.0,37.0,1,left,MISS M. Monk 6' Layup,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,,,,,,,,,,,,,,
166,PT00M46.20S,2022-10-24T01:07:53.1Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,37,35,2022-10-24T01:07:55Z,1650000,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,165.0,1.0,1.0,0.0,,,,,,,,,,,,,
167,PT00M34.70S,2022-10-24T01:08:04.9Z,1,REGULAR,turnover,bad pass,[],1630164,,,1610612744,37,35,2022-10-24T01:08:08Z,1660000,,,0,,J. Wiseman bad pass TURNOVER (1 TO),"[1630164, 1628370]",1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,Monk,1628370.0,,
168,PT00M34.70S,2022-10-24T01:08:04.9Z,1,REGULAR,steal,,[],1628370,,,1610612758,37,35,2022-10-24T01:08:06Z,1670000,,,0,,M. Monk STEAL (1 STL),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
169,PT00M28.70S,2022-10-24T01:08:15.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630164,,,1610612758,37,35,2022-10-24T01:08:21Z,1680000,,,0,,J. Wiseman shooting personal FOUL (1 PF) (Holmes 2 FT),"[1630164, 1626158]",1610612744.0,GSW,shooting,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1662.0,1.0,0.0,Holmes,1626158.0,,,,,
171,PT00M28.70S,2022-10-24T01:08:38.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626158,,,1610612758,37,35,2022-10-24T01:08:38Z,1700000,,,0,,MISS R. Holmes Free Throw 1 of 2,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
172,PT00M28.70S,2022-10-24T01:08:38.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,37,35,2022-10-24T01:08:38Z,1710000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,
173,PT00M28.70S,2022-10-24T01:08:39.0Z,1,REGULAR,substitution,out,[],1628370,,,1610612758,37,35,2022-10-24T01:08:44Z,1720000,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
