actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
618,PT06M30.00S,2022-11-15T05:03:34.2Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,111,82,2022-11-15T05:03:34Z,6060000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,PT06M30.00S,2022-11-15T05:06:24.9Z,4,REGULAR,substitution,out,[],1626196,,,1610612744,111,82,2022-11-15T05:06:40Z,6070000,False,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
620,PT06M30.00S,2022-11-15T05:06:24.9Z,4,REGULAR,substitution,out,[],1629676,,,1610612744,111,82,2022-11-15T05:06:40Z,6080000,False,,,0,,SUB out: I. Roby,[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,,
621,PT06M30.00S,2022-11-15T05:06:24.9Z,4,REGULAR,substitution,in,[],1631110,,,1610612744,111,82,2022-11-15T05:06:40Z,6090000,False,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
622,PT06M30.00S,2022-11-15T05:06:24.9Z,4,REGULAR,substitution,in,[],1629646,,,1610612744,111,82,2022-11-15T05:06:40Z,6100000,False,,,0,,SUB in: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
623,PT06M09.00S,2022-11-15T05:07:04.2Z,4,REGULAR,3pt,Jump Shot,[],1631157,9.280551905387648,2.941176470588235,1610612744,114,82,2022-11-15T05:07:11Z,6110000,False,235.0,35.0,1,left,R. Rollins 3PT  (3 PTS) (M. Moody 3 AST),"[1631157, 1630541]",1610612744.0,GSW,,,,Rollins,R. Rollins,,,,,Right Corner 3,24+ Right,23.78,Made,3.0,M. Moody,1630541.0,3.0,,,,,,,,,,,,,,
626,PT05M54.00S,2022-11-15T05:07:19.8Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631160,94.56307490144546,49.01960784313725,1610612759,114,84,2022-11-15T05:07:24Z,6140000,False,-5.0,-1.0,1,right,J. Hall cutting Layup (2 PTS) (C. Bassey 2 AST),"[1631160, 1629646]",1610612759.0,SAS,cutting,,,Hall,J. Hall,,,,,Restricted Area,0-8 Center,0.51,Made,2.0,C. Bassey,1629646.0,2.0,,,,,,,,,,,,,,
628,PT05M30.00S,2022-11-15T05:07:43.7Z,4,REGULAR,2pt,Jump Shot,[],1630164,8.14717477003942,30.44577205882353,1610612744,114,84,2022-11-15T05:30:17Z,6160000,False,98.0,24.0,1,left,MISS J. Wiseman 10' turnaround fadeaway Shot,[1630164],1610612744.0,GSW,turnaround fadeaway,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Right,10.07,Missed,,,,,,,,,,,,,,,,,,
629,PT05M27.00S,2022-11-15T05:07:46.7Z,4,REGULAR,rebound,defensive,[],1631160,,,1610612759,114,84,2022-11-15T05:07:55Z,6170000,False,,,0,,J. Hall REBOUND (Off:1 Def:2),[1631160],1610612759.0,SAS,,,,Hall,J. Hall,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,628.0,3.0,2.0,1.0,,,,
630,PT05M10.00S,2022-11-15T05:08:04.3Z,4,REGULAR,3pt,Jump Shot,[],1631110,71.04139290407359,76.47058823529412,1610612759,114,84,2022-11-15T05:08:12Z,6180000,False,132.0,220.0,1,right,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
