actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
89,PT05M21.00S,2023-03-01T03:25:53.2Z,1,REGULAR,3pt,Jump Shot,[],1628978,69.46452036793693,82.59803921568627,1610612744,18,21,2023-03-01T03:25:57Z,890000,False,163.0,235.0,1,right,D. DiVincenzo 28' 3PT  (3 PTS) (T. Jerome 1 AST),"[1628978, 1629660]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,28.56,Made,,,,,,,,,,3.0,,,,,,T. Jerome,1629660.0,1.0
91,PT05M02.00S,2023-03-01T03:26:12.0Z,1,REGULAR,2pt,Jump Shot,[],1629642,6.258212877792378,17.647058823529413,1610612757,18,21,2023-03-01T03:26:17Z,910000,False,162.0,6.0,1,left,MISS N. Little 16' step back Shot,[1629642],1610612757.0,POR,step back,,,Little,N. Little,,,,,Mid-Range,16-24 Right,16.19,Missed,,,,,,,,,,,,,,,,,,
92,PT05M00.00S,2023-03-01T03:26:14.0Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,18,21,2023-03-01T03:26:19Z,920000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Right,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,
93,PT04M54.00S,2023-03-01T03:26:22.3Z,1,REGULAR,foul,personal,[],1630570,,,1610612744,18,21,2023-03-01T03:26:36Z,930000,False,,,0,,T. Watford personal FOUL (1 PF),"[1630570, 1630228]",1610612757.0,POR,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Kuminga,1630228.0,,,
95,PT04M54.00S,2023-03-01T03:26:28.7Z,1,REGULAR,substitution,out,[],203110,,,1610612744,18,21,2023-03-01T03:26:31Z,950000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M54.00S,2023-03-01T03:26:28.7Z,1,REGULAR,substitution,in,[],203210,,,1610612744,18,21,2023-03-01T03:26:31Z,960000,False,,,0,,SUB in: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M37.00S,2023-03-01T03:26:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,92.9862023653088,59.31372549019608,1610612744,18,21,2023-03-01T03:27:02Z,970000,False,47.0,13.0,1,right,MISS J. Kuminga Layup,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,4.85,Missed,,,,,,,,,,,,,,,,,,
98,PT04M35.00S,2023-03-01T03:27:01.7Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,18,21,2023-03-01T03:27:02Z,980000,False,,,0,,T. Watford REBOUND (Off:1 Def:2),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,,,,,97.0,3.0,2.0,1.0,,,,,,,,,,,,
99,PT04M29.00S,2023-03-01T03:27:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,7.835085413929041,44.6078431372549,1610612757,18,23,2023-03-01T03:27:12Z,990000,False,27.0,21.0,1,left,D. Lillard driving Layup (7 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.43,Made,,,,,,,,,,7.0,,,,,,,,
100,PT04M11.00S,2023-03-01T03:27:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,93.24901445466492,43.872549019607845,1610612744,18,23,2023-03-01T03:27:28Z,1000000,False,-31.0,11.0,1,right,MISS K. Thompson driving Layup,[202691],1610612744.0,GSW,driving,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,3.25,Missed,,,,,,,,,,,,,,,,,,
101,PT04M09.00S,2023-03-01T03:27:26.7Z,1,REGULAR,rebound,offensive,[],203210,,,1610612744,18,23,2023-03-01T03:29:20Z,1010000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,100.0,1.0,0.0,1.0,,,,,,,,,,,,
109,PT04M08.00S,2023-03-01T03:27:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203210,90.48948751642575,47.794117647058826,1610612744,18,23,2023-03-01T03:29:41Z,1015000,False,-11.0,37.0,1,right,MISS J. Green putback Layup - blocked,"[203210, 1631101]",1610612744.0,GSW,putback,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.85,Missed,Sharpe,1631101.0,,,,,,,,,,,,,,,,
110,PT04M08.00S,2023-03-01T03:27:29.4Z,1,REGULAR,block,,[],1631101,,,1610612744,18,23,2023-03-01T03:28:20Z,1017500,False,,,0,,S. Sharpe BLOCK (1 BLK),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
111,PT04M08.00S,2023-03-01T03:27:29.4Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,18,23,2023-03-01T03:28:20Z,1018750,False,,,0,,T. Watford REBOUND (Off:1 Def:3),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,109.0,4.0,3.0,1.0,,,,,,,,,,,,
102,PT04M04.00S,2023-03-01T03:27:34.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203081,9.674770039421814,49.50980392156863,1610612757,18,25,2023-03-01T03:30:03Z,1020000,False,2.0,38.0,1,left,D. Lillard running Layup (9 PTS) (T. Watford 1 AST),"[203081, 1630570]",1610612757.0,POR,running,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.85,Made,,,,,,,,,,9.0,,,,,,T. Watford,1630570.0,1.0
104,PT04M04.00S,2023-03-01T03:27:37.5Z,1,REGULAR,foul,personal,['1freethrow'],1629660,,,1610612757,18,25,2023-03-01T03:27:45Z,1040000,False,,,0,,T. Jerome shooting personal FOUL (1 PF) (Lillard 1 FT),"[1629660, 203081]",1610612744.0,GSW,shooting,,,Jerome,T. Jerome,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Lillard,203081.0,,,
106,PT04M04.00S,2023-03-01T03:27:50.6Z,1,REGULAR,substitution,out,[],1628978,,,1610612757,18,25,2023-03-01T03:28:15Z,1060000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M04.00S,2023-03-01T03:27:50.6Z,1,REGULAR,substitution,in,[],1630237,,,1610612757,18,25,2023-03-01T03:28:15Z,1070000,False,,,0,,SUB in: A. Lamb,[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M04.00S,2023-03-01T03:28:08.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203081,,,1610612757,18,26,2023-03-01T03:28:08Z,1080000,False,,,0,,D. Lillard Free Throw 1 of 1 (10 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,10.0,,,,,,,,
112,PT03M46.00S,2023-03-01T03:28:27.8Z,1,REGULAR,3pt,Jump Shot,[],202691,67.88764783180025,69.36274509803921,1610612744,18,26,2023-03-01T03:28:35Z,1090000,False,97.0,249.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.75,Missed,,,,,,,,,,,,,,,,,,
113,PT03M44.00S,2023-03-01T03:28:29.8Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,18,26,2023-03-01T03:28:35Z,1100000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,112.0,2.0,1.0,1.0,,,,,,,,,,,,
114,PT03M37.00S,2023-03-01T03:28:37.4Z,1,REGULAR,3pt,Jump Shot,[],203081,24.129434954007884,7.598039215686274,1610612757,18,29,2023-03-01T03:28:41Z,1110000,False,212.0,174.0,1,left,D. Lillard 27' 3PT step back (13 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,27.45,Made,,,,,,,,,,13.0,,,,,,,,
115,PT03M19.00S,2023-03-01T03:28:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,88.12417871222075,46.32352941176471,1610612744,18,29,2023-03-01T03:29:01Z,1120000,False,-18.0,59.0,1,right,MISS J. Kuminga 6' Layup,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
116,PT03M18.00S,2023-03-01T03:28:55.8Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,18,29,2023-03-01T03:29:01Z,1130000,False,,,0,,T. Watford REBOUND (Off:1 Def:4),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,,,,,115.0,5.0,4.0,1.0,,,,,,,,,,,,
117,PT03M14.00S,2023-03-01T03:29:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631101,9.280551905387648,41.17647058823529,1610612757,18,31,2023-03-01T03:29:07Z,1140000,False,44.0,35.0,1,left,S. Sharpe running Layup (2 PTS) (T. Watford 2 AST),"[1631101, 1630570]",1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,5.61,Made,,,,,,,,,,2.0,,,,,,T. Watford,1630570.0,2.0
119,PT02M58.00S,2023-03-01T03:29:16.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,91.80354796320631,46.568627450980394,1610612744,20,31,2023-03-01T03:29:21Z,1160000,False,-17.0,25.0,1,right,J. Kuminga cutting DUNK (2 PTS) (J. Green 1 AST),"[1630228, 203210]",1610612744.0,GSW,cutting,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,2.99,Made,,,,,,,,,,2.0,,,,,,J. Green,203210.0,1.0
121,PT02M48.00S,2023-03-01T03:29:27.2Z,1,REGULAR,foul,personal,['2freethrow'],1630228,,,1610612757,20,31,2023-03-01T03:29:34Z,1180000,False,,,0,,J. Kuminga shooting personal FOUL (1 PF) (Lillard 2 FT),"[1630228, 203081]",1610612744.0,GSW,shooting,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Lillard,203081.0,,,
123,PT02M48.00S,2023-03-01T03:29:53.0Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,20,32,2023-03-01T03:29:53Z,1200000,False,,,0,,D. Lillard Free Throw 1 of 2 (14 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,14.0,,,,,,,,
124,PT02M48.00S,2023-03-01T03:29:53.7Z,1,REGULAR,substitution,out,[],1630228,,,1610612757,20,32,2023-03-01T03:29:59Z,1210000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M48.00S,2023-03-01T03:29:53.7Z,1,REGULAR,substitution,out,[],1629680,,,1610612757,20,32,2023-03-01T03:29:59Z,1220000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M48.00S,2023-03-01T03:29:53.7Z,1,REGULAR,substitution,in,[],1626172,,,1610612757,20,32,2023-03-01T03:29:59Z,1230000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M48.00S,2023-03-01T03:29:53.7Z,1,REGULAR,substitution,in,[],203924,,,1610612757,20,32,2023-03-01T03:29:59Z,1240000,False,,,0,,SUB in: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M48.00S,2023-03-01T03:30:24.6Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,20,33,2023-03-01T03:30:24Z,1250000,False,,,0,,D. Lillard Free Throw 2 of 2 (15 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,15.0,,,,,,,,
129,PT02M35.00S,2023-03-01T03:30:41.8Z,1,REGULAR,foul,offensive,[],203210,,,1610612744,20,33,2023-03-01T03:30:49Z,1260000,False,,,0,,J. Green offensive FOUL (1 PF),"[203210, 203081]",1610612744.0,GSW,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1628159.0,1.0,0.0,Lillard,203081.0,,,
131,PT02M35.00S,2023-03-01T03:30:41.8Z,1,REGULAR,turnover,offensive foul,[],203210,,,1610612744,20,33,2023-03-01T03:30:41Z,1280000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,,1628159.0,,,,,,,
132,PT02M35.00S,2023-03-01T03:30:48.3Z,1,REGULAR,substitution,out,[],203081,,,1610612757,20,33,2023-03-01T03:30:53Z,1290000,False,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M35.00S,2023-03-01T03:30:48.3Z,1,REGULAR,substitution,in,[],1630553,,,1610612757,20,33,2023-03-01T03:30:53Z,1300000,False,,,0,,SUB in: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M25.00S,2023-03-01T03:31:12.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629642,13.485545335085414,45.34313725490196,1610612757,20,35,2023-03-01T03:31:28Z,1310000,False,23.0,74.0,1,left,N. Little 7' driving floating bank Jump Shot (5 PTS) (K. Johnson 1 AST),"[1629642, 1630553]",1610612757.0,POR,driving floating bank,,,Little,N. Little,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,,,,,,,,,,5.0,,,,,,K. Johnson,1630553.0,1.0
135,PT02M10.00S,2023-03-01T03:31:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,83.78777923784494,46.81372549019608,1610612744,20,35,2023-03-01T03:32:27Z,1320000,False,-16.0,100.0,1,right,MISS K. Thompson 10' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,10.12,Missed,,,,,,,,,,,,,,,,,,
137,PT02M08.00S,2023-03-01T03:31:28.9Z,1,REGULAR,rebound,offensive,[],203210,,,1610612744,20,35,2023-03-01T03:31:39Z,1330000,False,,,0,,J. Green REBOUND (Off:2 Def:0),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,135.0,2.0,0.0,2.0,,,,,,,,,,,,
138,PT02M06.00S,2023-03-01T03:31:31.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203210,93.24901445466492,52.69607843137255,1610612744,22,35,2023-03-01T03:32:30Z,1340000,False,13.0,11.0,1,right,J. Green putback Layup (2 PTS),[203210],1610612744.0,GSW,putback,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,,,,,,2.0,,,,,,,,
139,PT01M50.00S,2023-03-01T03:31:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629642,8.886333771353483,35.294117647058826,1610612757,22,37,2023-03-01T03:31:51Z,1350000,False,74.0,31.0,1,left,N. Little 7' driving Layup (7 PTS) (T. Watford 3 AST),"[1629642, 1630570]",1610612757.0,POR,driving,,,Little,N. Little,,,,,In The Paint (Non-RA),0-8 Center,7.98,Made,,,,,,,,,,7.0,,,,,,T. Watford,1630570.0,3.0
141,PT01M39.00S,2023-03-01T03:31:57.6Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,22,37,2023-03-01T03:32:03Z,1370000,False,,,0,,K. Thompson bad pass TURNOVER (3 TO),"[202691, 1630570]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,3.0,Watford,1630570.0,,,,,,,,,
142,PT01M39.00S,2023-03-01T03:31:57.6Z,1,REGULAR,steal,,[],1630570,,,1610612757,22,37,2023-03-01T03:32:00Z,1380000,False,,,0,,T. Watford STEAL (1 STL),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
143,PT01M35.00S,2023-03-01T03:32:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631101,7.835085413929041,43.872549019607845,1610612757,22,39,2023-03-01T03:32:07Z,1390000,False,31.0,21.0,1,left,S. Sharpe running Layup (4 PTS) (T. Watford 4 AST),"[1631101, 1630570]",1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,,,,,,4.0,,,,,,T. Watford,1630570.0,4.0
145,PT01M35.00S,2023-03-01T03:32:09.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612744,22,39,2023-03-01T03:32:09Z,1410000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M35.00S,2023-03-01T03:33:17.0Z,1,REGULAR,substitution,out,[],202691,,,1610612744,22,39,2023-03-01T03:33:29Z,1420000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M35.00S,2023-03-01T03:33:17.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,22,39,2023-03-01T03:33:29Z,1430000,False,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M25.00S,2023-03-01T03:33:47.6Z,1,REGULAR,foul,personal,[],1630553,,,1610612744,22,39,2023-03-01T03:34:04Z,1440000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1630553, 203210]",1610612757.0,POR,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628159.0,1.0,0.0,Green,203210.0,,,
150,PT01M13.00S,2023-03-01T03:34:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,68.54467805519053,17.647058823529413,1610612744,22,39,2023-03-01T03:34:23Z,1460000,False,-162.0,243.0,1,right,MISS J. Poole 29' step back 3PT,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,29.21,Missed,,,,,,,,,,,,,,,,,,
151,PT01M11.00S,2023-03-01T03:34:21.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,22,39,2023-03-01T03:34:27Z,1470000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,150.0,3.0,2.0,1.0,,,,,,,,,,,,
152,PT01M03.00S,2023-03-01T03:34:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629642,24.26084099868594,8.823529411764707,1610612757,22,39,2023-03-01T03:34:33Z,1480000,False,206.0,176.0,1,left,MISS N. Little 27' pullup 3PT,[1629642],1610612757.0,POR,pullup,,,Little,N. Little,,,,,Above the Break 3,24+ Right Center,27.06,Missed,,,,,,,,,,,,,,,,,,
153,PT01M01.00S,2023-03-01T03:34:30.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,22,39,2023-03-01T03:34:33Z,1490000,False,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,,,,,152.0,2.0,1.0,1.0,,,,,,,,,,,,
154,PT00M50.40S,2023-03-01T03:34:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630237,91.27792378449409,44.85294117647059,1610612744,22,39,2023-03-01T03:34:45Z,1500000,False,-26.0,29.0,1,right,MISS A. Lamb driving Layup,[1630237],1610612744.0,GSW,driving,,,Lamb,A. Lamb,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
155,PT00M50.40S,2023-03-01T03:34:41.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,22,39,2023-03-01T03:34:45Z,1510000,False,,,0,,K. Looney REBOUND (Off:2 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,154.0,3.0,1.0,2.0,,,,,,,,,,,,
156,PT00M49.10S,2023-03-01T03:34:44.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626172,94.40999984741211,50.0,1610612744,24,39,2023-03-01T03:34:51Z,1520000,False,0.0,0.0,1,right,K. Looney tip Layup (6 PTS),[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,6.0,,,,,,,,
157,PT00M34.50S,2023-03-01T03:35:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,11.777266754270697,54.65686274509803,1610612757,24,41,2023-03-01T03:35:16Z,1530000,False,-23.0,58.0,1,left,J. Grant 6' driving floating bank Jump Shot (4 PTS),[203924],1610612757.0,POR,driving floating bank,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,,,,,,,,,,4.0,,,,,,,,
158,PT00M17.70S,2023-03-01T03:35:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,86.94152431011827,56.61764705882353,1610612744,26,41,2023-03-01T03:35:27Z,1540000,False,33.0,70.0,1,right,J. Poole 7' driving floating Jump Shot (5 PTS),[1629673],1610612744.0,GSW,driving floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,7.76,Made,,,,,,,,,,5.0,,,,,,,,
159,PT00M17.70S,2023-03-01T03:35:24.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630553,,,1610612744,26,41,2023-03-01T03:35:35Z,1550000,False,,,0,,K. Johnson shooting personal FOUL (2 PF) (Poole 1 FT),"[1630553, 1629673]",1610612757.0,POR,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1179.0,2.0,0.0,Poole,1629673.0,,,
161,PT00M17.70S,2023-03-01T03:35:42.5Z,1,REGULAR,substitution,out,[],203210,,,1610612744,26,41,2023-03-01T03:36:50Z,1570000,False,,,0,,SUB out: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M17.70S,2023-03-01T03:35:42.5Z,1,REGULAR,substitution,in,[],203110,,,1610612744,26,41,2023-03-01T03:36:50Z,1580000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M17.70S,2023-03-01T03:35:59.1Z,1,REGULAR,substitution,out,[],1629660,,,1610612744,26,41,2023-03-01T03:36:50Z,1590000,False,,,0,,SUB out: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M17.70S,2023-03-01T03:35:59.1Z,1,REGULAR,substitution,out,[],1630553,,,1610612744,26,41,2023-03-01T03:36:50Z,1600000,False,,,0,,SUB out: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M17.70S,2023-03-01T03:35:59.1Z,1,REGULAR,substitution,in,[],1628978,,,1610612744,26,41,2023-03-01T03:36:50Z,1610000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M17.70S,2023-03-01T03:35:59.1Z,1,REGULAR,substitution,in,[],203081,,,1610612744,26,41,2023-03-01T03:36:50Z,1620000,False,,,0,,SUB in: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M17.70S,2023-03-01T03:36:28.2Z,1,REGULAR,freethrow,1 of 1,[],1629673,,,1610612744,27,41,2023-03-01T03:36:28Z,1630000,False,,,0,,J. Poole Free Throw 1 of 1 (6 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
168,PT00M00.80S,2023-03-01T03:36:47.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,10.33180026281209,98.0392156862745,1610612757,27,41,2023-03-01T03:38:07Z,1640000,False,-240.0,45.0,1,left,MISS S. Sharpe 24' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,24.43,Missed,,,,,,,,,,,,,,,,,,
169,PT00M00.10S,2023-03-01T03:36:48.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,27,41,2023-03-01T03:38:07Z,1650000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Left Corner 3,24+ Left,,,,,168.0,,,,,,,,,,,,,,,
170,PT00M00.00S,2023-03-01T03:36:51.6Z,1,REGULAR,period,end,[],0,,,1610612757,27,41,2023-03-01T03:36:51Z,1660000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2023-03-01T03:38:43.0Z,2,REGULAR,substitution,out,['startperiod'],1626172,,,1610612757,27,41,2023-03-01T03:39:13Z,1670000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2023-03-01T03:38:43.0Z,2,REGULAR,substitution,out,['startperiod'],1630570,,,1610612757,27,41,2023-03-01T03:39:13Z,1680000,False,,,0,,SUB out: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
