actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
89,PT04M48.00S,2023-02-05T01:54:49.7Z,1,REGULAR,turnover,offensive foul,[],1629673,,,1610612744,22,15,2023-02-05T01:54:49Z,890000,False,,,0,,J. Poole offensive foul TURNOVER (1 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,,,,,,,,1148.0,1.0,,,,,,,,,,,
90,PT04M27.00S,2023-02-05T01:55:23.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630182,5.601182654402102,56.372549019607845,1610612742,22,15,2023-02-05T02:01:49Z,900000,False,-32.0,0.0,1,left,MISS J. Green driving floating bank Shot,[1630182],1610612742.0,DAL,driving floating bank,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
91,PT04M25.00S,2023-02-05T01:55:25.6Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,22,15,2023-02-05T01:55:34Z,910000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,90.0,4.0,3.0,1.0,,,,,,,,,,,,,,
92,PT04M23.00S,2023-02-05T01:55:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627827,5.590000152587891,50.0,1610612742,22,15,2023-02-05T01:55:26Z,920000,False,0.0,0.0,1,left,MISS D. Finney-Smith tip Layup,[1627827],1610612742.0,DAL,tip,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
93,PT04M22.00S,2023-02-05T01:55:27.9Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,22,15,2023-02-05T01:55:27Z,930000,False,,,0,,D. Finney-Smith REBOUND (Off:2 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,,,92.0,5.0,3.0,2.0,,,,,,,,,,,,,,
94,PT04M22.00S,2023-02-05T01:55:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627827,5.590000152587891,50.0,1610612742,22,17,2023-02-05T01:55:27Z,940000,False,0.0,0.0,1,left,D. Finney-Smith tip Layup (5 PTS),[1627827],1610612742.0,DAL,tip,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,5.0,,,,,,,,,,,,,
95,PT04M09.00S,2023-02-05T01:55:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,86.28449408672799,53.18627450980392,1610612744,24,17,2023-02-05T01:55:46Z,950000,False,16.0,76.0,1,right,S. Curry 7' driving finger roll Layup (8 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,7.8,Made,,,,,8.0,,,,,,,,,,,,,
96,PT03M54.00S,2023-02-05T01:55:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612742,24,17,2023-02-05T01:56:09Z,960000,False,,,0,,J. Poole shooting personal FOUL (2 PF) (Finney-Smith 2 FT),"[1629673, 1627827]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,202035.0,,,,,,,2.0,0.0,Finney-Smith,1627827.0,,
98,PT03M54.00S,2023-02-05T01:56:24.4Z,1,REGULAR,freethrow,1 of 2,[],1627827,,,1610612742,24,18,2023-02-05T01:56:24Z,980000,False,,,0,,D. Finney-Smith Free Throw 1 of 2 (6 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
99,PT03M54.00S,2023-02-05T01:56:39.5Z,1,REGULAR,freethrow,2 of 2,[],1627827,,,1610612742,24,19,2023-02-05T01:56:39Z,990000,False,,,0,,D. Finney-Smith Free Throw 2 of 2 (7 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
100,PT03M37.00S,2023-02-05T01:56:59.1Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612744,24,19,2023-02-05T01:57:02Z,1000000,False,,,0,,J. Poole lost ball TURNOVER (2 TO),"[1629673, 203493]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,,,,,,,,,2.0,,,,,,,,,,Bullock,203493.0
101,PT03M37.00S,2023-02-05T01:56:59.1Z,1,REGULAR,steal,,[],203493,,,1610612742,24,19,2023-02-05T01:57:00Z,1010000,False,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
102,PT03M34.00S,2023-02-05T01:57:03.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203493,6.652431011826544,43.627450980392155,1610612742,24,21,2023-02-05T02:03:18Z,1020000,False,32.0,10.0,1,left,R. Bullock running reverse Layup (2 PTS) (D. Finney-Smith 1 AST),"[203493, 1627827]",1610612742.0,DAL,running reverse,,,Bullock,R. Bullock,,,,,Restricted Area,0-8 Center,3.34,Made,,,,,2.0,,,D. Finney-Smith,1627827.0,1.0,,,,,,,,
104,PT03M33.00S,2023-02-05T01:57:07.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,24,21,2023-02-05T01:57:07Z,1040000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M33.00S,2023-02-05T02:00:07.3Z,1,REGULAR,substitution,out,[],202691,,,1610612744,24,21,2023-02-05T02:00:22Z,1050000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M33.00S,2023-02-05T02:00:07.3Z,1,REGULAR,substitution,out,[],1627827,,,1610612744,24,21,2023-02-05T02:00:22Z,1060000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M33.00S,2023-02-05T02:00:07.3Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,24,21,2023-02-05T02:00:22Z,1070000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M33.00S,2023-02-05T02:00:07.3Z,1,REGULAR,substitution,in,[],1630702,,,1610612744,24,21,2023-02-05T02:00:22Z,1080000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M18.00S,2023-02-05T02:00:45.6Z,1,REGULAR,3pt,Jump Shot,[],201939,77.61169513797634,7.107843137254902,1610612744,24,21,2023-02-05T02:00:50Z,1090000,False,-214.0,158.0,1,right,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
110,PT03M16.00S,2023-02-05T02:00:47.6Z,1,REGULAR,rebound,offensive,[],203210,,,1610612744,24,21,2023-02-05T02:11:58Z,1100000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,109.0,1.0,0.0,1.0,,,,,,,,,,,,,,
111,PT03M13.00S,2023-02-05T02:00:50.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203210,91.01511169513797,51.225490196078425,1610612744,26,21,2023-02-05T02:00:55Z,1110000,False,6.0,32.0,1,right,J. Green DUNK (2 PTS),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.26,Made,,,,,2.0,,,,,,,,,,,,,
113,PT02M55.00S,2023-02-05T02:01:08.4Z,1,REGULAR,3pt,Jump Shot,[],1630702,11.777266754270697,95.58823529411765,1610612742,26,21,2023-02-05T02:01:12Z,1130000,False,-228.0,58.0,1,left,MISS J. Hardy 3PT,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Left Corner 3,24+ Left,23.52,Missed,,,,,,,,,,,,,,,,,,
114,PT02M52.00S,2023-02-05T02:01:11.4Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,26,21,2023-02-05T02:01:12Z,1140000,False,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,113.0,2.0,2.0,0.0,,,,,,,,,,,,,,
115,PT02M37.00S,2023-02-05T02:01:25.8Z,1,REGULAR,3pt,Jump Shot,[],1628978,66.44218134034165,45.34313725490196,1610612744,29,21,2023-02-05T02:01:29Z,1150000,False,-23.0,263.0,1,right,D. DiVincenzo 26' 3PT  (3 PTS) (J. Green 1 AST),"[1628978, 203210]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,26.39,Made,,,,,3.0,,,J. Green,203210.0,1.0,,,,,,,,
117,PT02M24.00S,2023-02-05T02:01:42.7Z,1,REGULAR,foul,personal,[],1630228,,,1610612742,29,21,2023-02-05T02:01:55Z,1170000,False,,,0,,J. Kuminga personal FOUL (1 PF),"[1630228, 203915]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1155.0,,,,,,,1.0,0.0,Dinwiddie,203915.0,,
119,PT02M24.00S,2023-02-05T02:01:50.2Z,1,REGULAR,substitution,out,[],201939,,,1610612742,29,21,2023-02-05T02:01:58Z,1190000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M24.00S,2023-02-05T02:01:50.2Z,1,REGULAR,substitution,in,[],1629660,,,1610612742,29,21,2023-02-05T02:01:58Z,1200000,False,,,0,,SUB in: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M13.00S,2023-02-05T02:02:21.0Z,1,REGULAR,3pt,Jump Shot,[],203493,14.668199737187912,1.9607843137254901,1610612742,29,21,2023-02-05T02:02:26Z,1210000,False,240.0,85.0,1,left,MISS R. Bullock 25' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Right Corner 3,24+ Right,25.49,Missed,,,,,,,,,,,,,,,,,,
122,PT02M11.00S,2023-02-05T02:02:23.0Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,29,21,2023-02-05T02:02:35Z,1220000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,,
123,PT02M04.00S,2023-02-05T02:02:29.7Z,1,REGULAR,2pt,Layup,['fastbreak'],1628978,90.01314060446781,69.140625,1610612744,31,21,2023-02-05T02:10:02Z,1230000,False,96.0,41.0,1,right,D. DiVincenzo 10' running finger roll Layup (5 PTS),[1628978],1610612744.0,GSW,running finger roll,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Right,10.43,Made,,,,,5.0,,,,,,,,,,,,,
124,PT01M55.00S,2023-02-05T02:02:37.9Z,1,REGULAR,turnover,bad pass,[],203915,,,1610612742,31,21,2023-02-05T02:02:42Z,1240000,False,,,0,,S. Dinwiddie bad pass TURNOVER (3 TO),"[203915, 1628978]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,3.0,,,,,,,,,,DiVincenzo,1628978.0
125,PT01M55.00S,2023-02-05T02:02:37.9Z,1,REGULAR,steal,,[],1628978,,,1610612744,31,21,2023-02-05T02:07:47Z,1250000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
126,PT01M47.00S,2023-02-05T02:02:46.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630228,88.96189224704337,41.260723039215684,1610612744,33,21,2023-02-05T02:03:09Z,1260000,False,-44.0,51.0,1,right,J. Kuminga 6' driving DUNK (2 PTS) (T. Jerome 1 AST),"[1630228, 1629660]",1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,6.74,Made,,,,,2.0,,,T. Jerome,1629660.0,1.0,,,,,,,,
128,PT01M46.00S,2023-02-05T02:02:54.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612742,33,21,2023-02-05T02:02:54Z,1280000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M46.00S,2023-02-05T02:04:10.6Z,1,REGULAR,substitution,out,[],203915,,,1610612742,33,21,2023-02-05T02:04:22Z,1290000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M46.00S,2023-02-05T02:04:10.6Z,1,REGULAR,substitution,in,[],1628373,,,1610612742,33,21,2023-02-05T02:04:22Z,1300000,False,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M24.00S,2023-02-05T02:04:47.5Z,1,REGULAR,3pt,Jump Shot,[],1628373,33.98488830486202,55.63725490196079,1610612742,33,21,2023-02-05T02:04:51Z,1310000,False,-28.0,267.0,1,left,MISS F. Ntilikina 26' pullup 3PT,[1628373],1610612742.0,DAL,pullup,,,Ntilikina,F. Ntilikina,,,,,Above the Break 3,24+ Center,26.85,Missed,,,,,,,,,,,,,,,,,,
132,PT01M23.00S,2023-02-05T02:04:48.5Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612744,33,21,2023-02-05T02:04:51Z,1320000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,131.0,1.0,1.0,0.0,,,,,,,,,,,,,,
133,PT01M16.00S,2023-02-05T02:04:56.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,89.56964520367937,68.87254901960785,1610612744,33,21,2023-02-05T02:13:35Z,1330000,False,94.0,46.0,1,right,MISS J. Poole 10' driving floating bank Shot,[1629673],1610612744.0,GSW,driving floating bank,,,Poole,J. Poole,,,,,Mid-Range,8-16 Right,10.48,Missed,,,,,,,,,,,,,,,,,,
134,PT01M13.00S,2023-02-05T02:04:59.3Z,1,REGULAR,rebound,offensive,[],203210,,,1610612744,33,21,2023-02-05T02:13:35Z,1340000,False,,,0,,J. Green REBOUND (Off:2 Def:0),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,133.0,2.0,0.0,2.0,,,,,,,,,,,,,,
135,PT01M11.00S,2023-02-05T02:05:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203210,92.85479632063075,57.59803921568627,1610612744,35,21,2023-02-05T02:05:05Z,1350000,False,38.0,15.0,1,right,J. Green Layup (4 PTS),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,4.07,Made,,,,,4.0,,,,,,,,,,,,,
136,PT01M07.00S,2023-02-05T02:05:05.1Z,1,REGULAR,turnover,bad pass,[],1629033,,,1610612742,35,21,2023-02-05T02:05:11Z,1360000,False,,,0,,T. Pinson bad pass TURNOVER (1 TO),"[1629033, 1628978]",1610612742.0,DAL,,,,Pinson,T. Pinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,,,,,,,DiVincenzo,1628978.0
137,PT01M07.00S,2023-02-05T02:05:05.1Z,1,REGULAR,steal,,[],1628978,,,1610612744,35,21,2023-02-05T02:05:09Z,1370000,False,,,0,,D. DiVincenzo STEAL (2 STL),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
138,PT01M03.00S,2023-02-05T02:05:13.0Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612744,35,21,2023-02-05T02:05:22Z,1380000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612744.0,GSW,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,,,1155.0,1.0,,,,,,,,,,,
139,PT00M44.50S,2023-02-05T02:05:46.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630182,10.512483574244415,49.38725490196079,1610612742,35,23,2023-02-05T02:05:56Z,1390000,False,3.0,46.0,1,left,J. Green driving floating Jump Shot (2 PTS),[1630182],1610612742.0,DAL,driving floating,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,,,,,2.0,,,,,,,,,,,,,
140,PT00M32.10S,2023-02-05T02:06:05.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,85.62746386333771,96.56862745098039,1610612744,38,23,2023-02-05T02:16:09Z,1400000,False,233.0,83.0,1,right,J. Poole 24' 3PT pullup (3 PTS) (T. Jerome 2 AST),"[1629673, 1629660]",1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,24.7,Made,,,,,3.0,,,T. Jerome,1629660.0,2.0,,,,,,,,
142,PT00M21.30S,2023-02-05T02:06:22.9Z,1,REGULAR,turnover,out-of-bounds,[],203493,,,1610612742,38,23,2023-02-05T02:06:28Z,1420000,False,,,0,,R. Bullock bad pass out-of-bounds TURNOVER (1 TO),[203493],1610612742.0,DAL,bad pass,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,,,,,,,,1155.0,1.0,,,,,,,,,,,
143,PT00M09.30S,2023-02-05T02:06:45.6Z,1,REGULAR,foul,personal,[],1630182,,,1610612744,38,23,2023-02-05T02:07:15Z,1430000,False,,,0,,J. Green personal FOUL (1 PF),"[1630182, 1630228]",1610612742.0,DAL,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1155.0,,,,,,,1.0,0.0,Kuminga,1630228.0,,
146,PT00M01.40S,2023-02-05T02:08:39.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203210,93.24901445466492,46.568627450980394,1610612744,40,23,2023-02-05T02:09:27Z,1460000,False,-17.0,11.0,1,right,J. Green cutting DUNK (6 PTS) (D. DiVincenzo 1 AST),"[203210, 1628978]",1610612744.0,GSW,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.04,Made,,,,,6.0,,,D. DiVincenzo,1628978.0,1.0,,,,,,,,
148,PT00M00.10S,2023-02-05T02:08:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630702,55.27266754270697,81.61764705882352,1610612742,40,23,2023-02-05T02:17:42Z,1480000,False,-158.0,467.0,1,left,MISS J. Hardy 49' pullup 3PT,[1630702],1610612742.0,DAL,pullup,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Right Center,49.31,Missed,,,,,,,,,,,,,,,,,,
149,PT00M00.10S,2023-02-05T02:08:45.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,40,23,2023-02-05T02:10:09Z,1490000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,148.0,,,,,,,,,,,,,,,,,
150,PT00M00.00S,2023-02-05T02:08:52.3Z,1,REGULAR,period,end,[],0,,,1610612742,40,23,2023-02-05T02:08:52Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,out,['startperiod'],203210,,,1610612742,40,23,2023-02-05T02:12:14Z,1510000,False,,,0,,SUB out: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,out,['startperiod'],1629033,,,1610612742,40,23,2023-02-05T02:12:14Z,1520000,False,,,0,,SUB out: T. Pinson,[1629033],1610612742.0,DAL,,,,Pinson,T. Pinson,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,out,['startperiod'],1630182,,,1610612742,40,23,2023-02-05T02:12:14Z,1530000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,out,['startperiod'],203493,,,1610612742,40,23,2023-02-05T02:12:14Z,1540000,False,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,out,['startperiod'],1628373,,,1610612742,40,23,2023-02-05T02:12:14Z,1550000,False,,,0,,SUB out: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,in,['startperiod'],203110,,,1610612742,40,23,2023-02-05T02:12:14Z,1560000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,in,['startperiod'],203915,,,1610612742,40,23,2023-02-05T02:12:14Z,1570000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,in,['startperiod'],203939,,,1610612742,40,23,2023-02-05T02:12:14Z,1580000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,in,['startperiod'],1627827,,,1610612742,40,23,2023-02-05T02:12:14Z,1590000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-02-05T02:11:17.8Z,2,REGULAR,substitution,in,['startperiod'],203501,,,1610612742,40,23,2023-02-05T02:12:14Z,1600000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-02-05T02:12:23.5Z,2,REGULAR,period,start,[],0,,,1610612742,40,23,2023-02-05T02:12:23Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M40.00S,2023-02-05T02:12:42.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630702,6.258212877792378,57.84313725490197,1610612742,40,25,2023-02-05T02:12:48Z,1620000,False,-39.0,6.0,1,left,J. Hardy driving Layup (2 PTS) (D. Powell 1 AST),"[1630702, 203939]",1610612742.0,DAL,driving,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,3.97,Made,,,,,2.0,,,D. Powell,203939.0,1.0,,,,,,,,
164,PT11M21.00S,2023-02-05T02:13:01.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203110,92.59198423127464,56.372549019607845,1610612744,40,25,2023-02-05T02:13:05Z,1640000,False,32.0,17.0,1,right,MISS D. Green Hook,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,,,,,,,,,,,,,,
165,PT11M19.00S,2023-02-05T02:13:03.2Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,40,25,2023-02-05T02:13:07Z,1650000,False,,,0,,D. Powell REBOUND (Off:1 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,164.0,3.0,2.0,1.0,,,,,,,,,,,,,,
166,PT11M11.00S,2023-02-05T02:13:13.3Z,2,REGULAR,foul,personal,['2freethrow'],203110,,,1610612742,40,25,2023-02-05T02:13:23Z,1660000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Finney-Smith 2 FT),"[203110, 1627827]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1155.0,,,,,,,1.0,0.0,Finney-Smith,1627827.0,,
168,PT11M11.00S,2023-02-05T02:13:36.9Z,2,REGULAR,freethrow,1 of 2,[],1627827,,,1610612742,40,26,2023-02-05T02:13:36Z,1680000,False,,,0,,D. Finney-Smith Free Throw 1 of 2 (8 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
169,PT11M11.00S,2023-02-05T02:13:52.9Z,2,REGULAR,freethrow,2 of 2,[],1627827,,,1610612742,40,27,2023-02-05T02:13:52Z,1690000,False,,,0,,D. Finney-Smith Free Throw 2 of 2 (9 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
170,PT10M48.00S,2023-02-05T02:14:16.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,88.91261498028909,49.01960784313725,1610612744,42,27,2023-02-05T02:14:22Z,1700000,False,-5.0,52.0,1,right,J. Kuminga cutting DUNK (4 PTS) (D. Green 4 AST),"[1630228, 203110]",1610612744.0,GSW,cutting,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,5.19,Made,,,,,4.0,,,D. Green,203110.0,4.0,,,,,,,,
172,PT10M29.00S,2023-02-05T02:14:35.2Z,2,REGULAR,3pt,Jump Shot,[],203501,4.681340341655716,95.83333333333334,1610612742,42,27,2023-02-05T02:14:39Z,1720000,False,-229.0,-8.0,1,left,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,22.94,Missed,,,,,,,,,,,,,,,,,,
