actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
84,PT05M05.00S,2024-01-14T00:52:15.0Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,15,16,2024-01-14T00:56:45Z,840000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
85,PT05M00.00S,2024-01-14T00:52:19.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,72.61826544021025,12.990196078431374,1610612764,15,16,2024-01-14T00:52:26Z,850000,False,-185.0,205.0,1,right,MISS J. Poole 27' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,27.61,Missed,,,,,,,,,,,,,,,,,,
86,PT04M58.00S,2024-01-14T00:52:22.3Z,1,REGULAR,rebound,offensive,[],1628398,,,1610612764,15,16,2024-01-14T00:52:22Z,860000,False,,,0,,K. Kuzma REBOUND (Off:1 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,85.0,2.0,1.0,1.0,,,,,,,,,,,,,,
87,PT04M57.00S,2024-01-14T00:52:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628398,92.9862023653088,49.50980392156863,1610612764,15,18,2024-01-14T00:52:30Z,870000,False,-2.0,13.0,1,right,K. Kuzma putback Layup (10 PTS),[1628398],1610612764.0,WAS,putback,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,,10.0,,,,,,,,,,,,
88,PT04M39.00S,2024-01-14T00:52:40.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,12.565703022339028,47.30392156862745,1610612737,17,18,2024-01-14T00:52:47Z,880000,False,13.0,66.0,1,left,D. Murray 6' driving floating Jump Shot (5 PTS),[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,,,,,,5.0,,,,,,,,,,,,
89,PT04M16.00S,2024-01-14T00:53:04.5Z,1,REGULAR,2pt,Jump Shot,[],1628398,78.13731931668858,55.14705882352941,1610612764,17,20,2024-01-14T00:53:11Z,890000,False,26.0,153.0,1,right,K. Kuzma 15' fadeaway Jump Shot (12 PTS),[1628398],1610612764.0,WAS,fadeaway,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Center,15.51,Made,,,,,,12.0,,,,,,,,,,,,
90,PT03M54.00S,2024-01-14T00:53:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,8.754927726675426,96.07843137254902,1610612737,17,20,2024-01-14T00:53:30Z,900000,False,-230.0,30.0,1,left,MISS S. Bey 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.23,Missed,,,,,,,,,,,,,,,,,,
91,PT03M52.00S,2024-01-14T00:53:26.9Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612764,17,20,2024-01-14T00:53:30Z,910000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,90.0,2.0,2.0,0.0,,,,,,,,,,,,,,
92,PT03M47.00S,2024-01-14T00:53:35.2Z,1,REGULAR,foul,personal,['2freethrow'],1630235,,,1610612764,17,20,2024-01-14T00:54:04Z,920000,False,,,0,,T. Forrest shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1630235, 1628398]",1610612737.0,ATL,shooting,,,Forrest,T. Forrest,,,,,Restricted Area,0-8 Center,,,,,,,1193.0,,,,,,,,1.0,0.0,Kuzma,1628398.0,,
94,PT03M47.00S,2024-01-14T00:54:05.8Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,17,21,2024-01-14T00:54:41Z,940000,False,,,0,,K. Kuzma Free Throw 1 of 2 (13 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,,13.0,,,,,,,,,,,,
95,PT03M47.00S,2024-01-14T00:54:06.5Z,1,REGULAR,substitution,out,[],1627749,,,1610612764,17,21,2024-01-14T00:54:15Z,950000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M47.00S,2024-01-14T00:54:06.5Z,1,REGULAR,substitution,out,[],203991,,,1610612764,17,21,2024-01-14T00:54:15Z,960000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M47.00S,2024-01-14T00:54:06.5Z,1,REGULAR,substitution,out,[],1630180,,,1610612764,17,21,2024-01-14T00:54:15Z,970000,False,,,0,,SUB out: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M47.00S,2024-01-14T00:54:06.5Z,1,REGULAR,substitution,in,[],1630168,,,1610612764,17,21,2024-01-14T00:54:15Z,980000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M47.00S,2024-01-14T00:54:06.5Z,1,REGULAR,substitution,in,[],1630552,,,1610612764,17,21,2024-01-14T00:54:15Z,990000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M47.00S,2024-01-14T00:54:06.5Z,1,REGULAR,substitution,in,[],1629027,,,1610612764,17,21,2024-01-14T00:54:15Z,1000000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M47.00S,2024-01-14T00:54:05.8Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,17,21,2024-01-14T00:54:41Z,1010000,False,,,0,,MISS K. Kuzma Free Throw 2 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
102,PT03M46.00S,2024-01-14T00:54:06.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,17,21,2024-01-14T00:54:41Z,1020000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,
103,PT03M46.00S,2024-01-14T00:54:39.9Z,1,REGULAR,violation,lane,[],1628398,,,1610612737,17,21,2024-01-14T00:54:48Z,1030000,False,,,0,,K. Kuzma lane VIOLATION,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,1627529.0,,,,,,,,,,,,,
104,PT03M31.00S,2024-01-14T00:55:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630235,6.652431011826544,48.77450980392157,1610612737,17,21,2024-01-14T00:55:11Z,1040000,False,6.0,10.0,1,left,MISS T. Forrest driving Layup,[1630235],1610612737.0,ATL,driving,,,Forrest,T. Forrest,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,,
105,PT03M27.00S,2024-01-14T00:55:09.5Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,17,21,2024-01-14T00:55:09Z,1050000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,104.0,1.0,0.0,1.0,,,,,,,,,,,,,,
106,PT03M27.00S,2024-01-14T00:55:09.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630168,5.590000152587891,50.0,1610612737,19,21,2024-01-14T00:55:16Z,1060000,False,0.0,0.0,1,left,O. Okongwu tip Layup (2 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,2.0,,,,,,,,,,,,
107,PT03M14.00S,2024-01-14T00:55:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,91.67214191852825,47.05882352941176,1610612764,19,23,2024-01-14T00:56:56Z,1070000,False,-15.0,26.0,1,right,D. Gafford cutting Layup (2 PTS) (T. Jones 4 AST),"[1629655, 1626145]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,2.0,T. Jones,1626145.0,4.0,,,,,,,,,
109,PT02M58.00S,2024-01-14T00:55:38.7Z,1,REGULAR,3pt,Jump Shot,[],203992,3.630091984231275,4.411764705882353,1610612737,19,23,2024-01-14T00:55:44Z,1090000,False,228.0,-18.0,1,left,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,22.86,Missed,,,,,,,,,,,,,,,,,,
110,PT02M54.00S,2024-01-14T00:55:42.7Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,19,23,2024-01-14T00:55:44Z,1100000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,109.0,2.0,0.0,2.0,,,,,,,,,,,,,,
111,PT02M53.00S,2024-01-14T00:55:43.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,33.722076215505915,37.254901960784316,1610612737,19,23,2024-01-14T00:55:48Z,1110000,False,64.0,264.0,1,left,MISS T. Young 27' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,27.21,Missed,,,,,,,,,,,,,,,,,,
112,PT02M50.00S,2024-01-14T00:55:46.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,19,23,2024-01-14T00:55:48Z,1120000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Center,,,111.0,2.0,2.0,0.0,,,,,,,,,,,,,,
113,PT02M37.00S,2024-01-14T00:56:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,93.11760840998686,49.50980392156863,1610612764,19,25,2024-01-14T00:56:06Z,1130000,False,-2.0,12.0,1,right,D. Gafford Layup (4 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,,4.0,,,,,,,,,,,,
114,PT02M26.00S,2024-01-14T00:56:10.8Z,1,REGULAR,3pt,Jump Shot,[],203992,27.677398160315374,80.14705882352942,1610612737,19,25,2024-01-14T00:56:15Z,1140000,False,-151.0,208.0,1,left,MISS B. Bogdanovic 25' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
115,PT02M23.00S,2024-01-14T00:56:13.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,19,25,2024-01-14T00:56:15Z,1150000,False,,,0,,D. Gafford REBOUND (Off:0 Def:3),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,114.0,3.0,3.0,0.0,,,,,,,,,,,,,,
116,PT02M18.00S,2024-01-14T00:56:22.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,19,25,2024-01-14T00:56:22Z,1160000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,out,[],1630235,,,1610612764,19,25,2024-01-14T00:59:19Z,1170000,False,,,0,,SUB out: T. Forrest,[1630235],1610612737.0,ATL,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,out,[],1626145,,,1610612764,19,25,2024-01-14T00:59:19Z,1180000,False,,,0,,SUB out: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,out,[],1629673,,,1610612764,19,25,2024-01-14T00:59:19Z,1190000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,19,25,2024-01-14T00:59:19Z,1200000,False,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,19,25,2024-01-14T00:59:19Z,1210000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,in,[],1629726,,,1610612764,19,25,2024-01-14T00:59:19Z,1220000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,19,25,2024-01-14T00:59:19Z,1230000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,in,[],1631116,,,1610612764,19,25,2024-01-14T00:59:19Z,1240000,False,,,0,,SUB in: P. Baldwin Jr.,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,in,[],1626153,,,1610612764,19,25,2024-01-14T00:59:19Z,1250000,False,,,0,,SUB in: D. Wright,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M18.00S,2024-01-14T00:58:20.3Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,19,25,2024-01-14T00:59:19Z,1260000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M05.00S,2024-01-14T00:59:46.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631116,92.9862023653088,51.225490196078425,1610612764,19,27,2024-01-14T00:59:51Z,1270000,False,6.0,13.0,1,right,P. Baldwin Jr. DUNK (2 PTS) (C. Kispert 1 AST),"[1631116, 1630557]",1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,2.0,C. Kispert,1630557.0,1.0,,,,,,,,,
130,PT02M05.00S,2024-01-14T00:59:52.2Z,1,REGULAR,foul,personal,['1freethrow'],1630552,,,1610612764,19,27,2024-01-14T01:00:12Z,1290000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Baldwin Jr. 1 FT),"[1630552, 1631116]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,1627529.0,,,,,,,,1.0,0.0,Baldwin Jr.,1631116.0,,
132,PT02M05.00S,2024-01-14T01:00:13.7Z,1,REGULAR,freethrow,1 of 1,[],1631116,,,1610612764,19,27,2024-01-14T01:00:16Z,1310000,False,,,0,,MISS P. Baldwin Jr. Free Throw 1 of 1,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
133,PT02M03.00S,2024-01-14T01:00:15.7Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,19,27,2024-01-14T01:00:16Z,1320000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,132.0,3.0,1.0,2.0,,,,,,,,,,,,,,
134,PT01M47.00S,2024-01-14T01:00:34.7Z,1,REGULAR,foul,personal,[],1631116,,,1610612737,19,27,2024-01-14T01:00:46Z,1330000,False,,,0,,P. Baldwin Jr. personal FOUL (1 PF),"[1631116, 1630552]",1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Mid-Range,16-24 Center,,,,,,,1193.0,,,,,,,,1.0,0.0,Johnson,1630552.0,,
136,PT01M39.00S,2024-01-14T01:00:56.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,9.149145860709593,43.872549019607845,1610612737,19,27,2024-01-14T01:01:02Z,1350000,False,31.0,34.0,1,left,MISS O. Okongwu Hook,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
137,PT01M35.00S,2024-01-14T01:01:00.9Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612764,19,27,2024-01-14T01:01:02Z,1360000,False,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,
138,PT01M30.00S,2024-01-14T01:01:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,85.75886990801577,54.65686274509803,1610612764,19,27,2024-01-14T01:01:35Z,1370000,False,23.0,81.0,1,right,MISS D. Avdija 8' driving floating Shot,[1630166],1610612764.0,WAS,driving floating,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,8.47,Missed,,,,,,,,,,,,,,,,,,
139,PT01M27.00S,2024-01-14T01:01:08.6Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612737,19,27,2024-01-14T01:01:14Z,1380000,False,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,In The Paint (Non-RA),8-16 Center,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,
140,PT01M20.00S,2024-01-14T01:01:15.4Z,1,REGULAR,3pt,Jump Shot,[],1629726,30.699737187910642,78.92156862745098,1610612737,22,27,2024-01-14T01:01:24Z,1390000,False,-145.0,236.0,1,left,G. Mathews 27' 3PT  (3 PTS) (T. Young 2 AST),"[1629726, 1629027]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,27.69,Made,,,,,,3.0,T. Young,1629027.0,2.0,,,,,,,,,
142,PT01M04.00S,2024-01-14T01:01:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,91.01511169513797,45.588235294117645,1610612764,22,27,2024-01-14T01:01:37Z,1410000,False,-22.0,32.0,1,right,MISS C. Kispert driving floating bank Shot,[1630557],1610612764.0,WAS,driving floating bank,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
143,PT01M01.00S,2024-01-14T01:01:34.7Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,22,27,2024-01-14T01:01:37Z,1420000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,142.0,4.0,2.0,2.0,,,,,,,,,,,,,,
144,PT00M56.90S,2024-01-14T01:01:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,35.43035479632063,55.392156862745104,1610612737,22,27,2024-01-14T01:01:47Z,1430000,False,-27.0,281.0,1,left,MISS T. Young 28' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,28.18,Missed,,,,,,,,,,,,,,,,,,
145,PT00M52.70S,2024-01-14T01:01:43.9Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,22,27,2024-01-14T01:01:47Z,1440000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,
146,PT00M37.50S,2024-01-14T01:01:59.1Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,22,27,2024-01-14T01:02:06Z,1450000,False,,,0,,D. Avdija lost ball TURNOVER (2 TO),"[1630166, 203992]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,2.0,,,,,,,Bogdanovic,203992.0
147,PT00M37.50S,2024-01-14T01:01:59.1Z,1,REGULAR,steal,,[],203992,,,1610612737,22,27,2024-01-14T01:05:05Z,1460000,False,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
148,PT00M32.40S,2024-01-14T01:02:04.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203992,25.706307490144546,84.55882352941177,1610612737,22,27,2024-01-14T01:02:10Z,1470000,False,-173.0,189.0,1,left,MISS B. Bogdanovic 25' running 3PT,[203992],1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
149,PT00M29.40S,2024-01-14T01:02:07.2Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,22,27,2024-01-14T01:02:10Z,1480000,False,,,0,,D. Avdija REBOUND (Off:0 Def:4),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,148.0,4.0,4.0,0.0,,,,,,,,,,,,,,
150,PT00M10.10S,2024-01-14T01:02:26.4Z,1,REGULAR,3pt,Jump Shot,[],1630557,66.04796320630749,42.64705882352941,1610612764,22,30,2024-01-14T01:02:31Z,1490000,False,-37.0,267.0,1,right,C. Kispert 26' 3PT  (3 PTS) (D. Wright 1 AST),"[1630557, 1626153]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,26.91,Made,,,,,,3.0,D. Wright,1626153.0,1.0,,,,,,,,,
152,PT00M03.40S,2024-01-14T01:02:38.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,41.21222076215506,46.07843137254902,1610612737,25,30,2024-01-14T01:02:43Z,1510000,False,20.0,335.0,1,left,T. Young 33' 3PT pullup (6 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,33.55,Made,,,,,,6.0,,,,,,,,,,,,
153,PT00M00.70S,2024-01-14T01:02:44.1Z,1,REGULAR,3pt,Jump Shot,[],1626153,46.0742444152431,80.14705882352942,1610612764,25,30,2024-01-14T01:06:44Z,1520000,False,151.0,454.0,1,right,MISS D. Wright 47' pullup 3PT,[1626153],1610612764.0,WAS,pullup,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,47.87,Missed,,,,,,,,,,,,,,,,,,
154,PT00M00.10S,2024-01-14T01:02:44.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,25,30,2024-01-14T01:03:03Z,1530000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,153.0,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2024-01-14T01:02:49.1Z,1,REGULAR,period,end,[],0,,,1610612764,25,30,2024-01-14T01:02:49Z,1540000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2024-01-14T01:05:24.8Z,2,REGULAR,period,start,[],0,,,1610612737,25,30,2024-01-14T01:05:24Z,1550000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M47.00S,2024-01-14T01:05:36.5Z,2,REGULAR,turnover,bad pass,[],1629027,,,1610612737,25,30,2024-01-14T01:05:43Z,1560000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1626153]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,,,,,,,Wright,1626153.0
158,PT11M47.00S,2024-01-14T01:05:36.5Z,2,REGULAR,steal,,[],1626153,,,1610612764,25,30,2024-01-14T01:05:38Z,1570000,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
159,PT11M42.00S,2024-01-14T01:05:42.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630557,67.62483574244416,68.87254901960785,1610612764,25,33,2024-01-14T01:05:48Z,1580000,False,94.0,252.0,1,right,C. Kispert 26' 3PT running (6 PTS) (D. Wright 2 AST),"[1630557, 1626153]",1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,26.89,Made,,,,,,6.0,D. Wright,1626153.0,2.0,,,,,,,,,
161,PT11M17.00S,2024-01-14T01:06:06.3Z,2,REGULAR,3pt,Jump Shot,[],1629027,32.013797634691194,44.11764705882353,1610612737,25,33,2024-01-14T01:06:11Z,1600000,False,29.0,248.0,1,left,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.01,Missed,,,,,,,,,,,,,,,,,,
162,PT11M14.00S,2024-01-14T01:06:09.3Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612764,25,33,2024-01-14T01:06:11Z,1610000,False,,,0,,D. Avdija REBOUND (Off:0 Def:5),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,161.0,5.0,5.0,0.0,,,,,,,,,,,,,,
163,PT11M07.00S,2024-01-14T01:06:18.3Z,2,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612764,25,33,2024-01-14T01:06:42Z,1620000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1630168, 1641731]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,,200834.0,,,,,,,,1.0,0.0,Coulibaly,1641731.0,,
