actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
90,PT05M08.00S,2026-03-08T22:27:07.4Z,1,REGULAR,3pt,Jump Shot,[],1641842,92.19776609724047,3.6764705882352944,1610612765,19,8,2026-03-08T22:27:22Z,860000,False,-232.0,21.0,1,right,MISS R. Holland II 3PT,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Left Corner 3,24+ Left,,23.25,Missed,,,,,,,,,,,,,,,,,
91,PT05M07.00S,2026-03-08T22:27:13.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,19,8,2026-03-08T22:27:13Z,870000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,90.0,,,,,,,,,,,,
93,PT04M57.00S,2026-03-08T22:27:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628989,88.12417871222075,53.92156862745098,1610612765,19,10,2026-03-08T22:27:48Z,890000,False,20.0,59.0,1,right,K. Huerter 6' driving finger roll Layup (2 PTS) (C. Cunningham 2 AST),"[1628989, 1630595]",1610612765.0,DET,driving finger roll,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,6.23,Made,2.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,
96,PT04M42.00S,2026-03-08T22:28:13.4Z,1,REGULAR,3pt,Jump Shot,[],1641796,30.305519053876477,62.745098039215684,1610612748,19,10,2026-03-08T22:28:19Z,920000,False,-64.0,232.0,1,left,MISS P. Larsson 24' 3PT,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Center,,24.1,Missed,,,,,,,,,,,,,,,,,
97,PT04M37.00S,2026-03-08T22:28:18.3Z,1,REGULAR,rebound,offensive,[],1629639,,,1610612748,19,10,2026-03-08T22:28:18Z,930000,False,,,0,,T. Herro REBOUND (Off:1 Def:0),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,96.0,1.0,0.0,1.0,,,,,,,,,
98,PT04M33.00S,2026-03-08T22:28:22.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629639,15.850854139290407,59.068627450980394,1610612748,19,10,2026-03-08T22:28:39Z,940000,False,-45.0,96.0,1,left,MISS T. Herro 10' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,10.66,Missed,,,,,,,,,,,,,,,,,
99,PT04M29.00S,2026-03-08T22:28:26.7Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,19,10,2026-03-08T22:33:12Z,950000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,98.0,1.0,0.0,1.0,,,,,,,,,
100,PT04M28.00S,2026-03-08T22:28:27.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630558,9.017739816031538,43.872549019607845,1610612748,21,10,2026-03-08T22:33:47Z,960000,False,31.0,32.0,1,left,D. Mitchell floating Jump Shot (4 PTS),[1630558],1610612748.0,MIA,floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,4.45,Made,4.0,,,,,,,,,,,,,,,,
101,PT04M14.00S,2026-03-08T22:28:41.0Z,1,REGULAR,3pt,Jump Shot,[],1630595,67.49342969776609,33.33333333333333,1610612765,21,13,2026-03-08T22:28:46Z,970000,False,-83.0,253.0,1,right,C. Cunningham 26' 3PT pullup (5 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,26.65,Made,5.0,,,,,,,,,,,,,,,,
102,PT03M55.00S,2026-03-08T22:29:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,11.645860709592641,56.372549019607845,1610612748,21,13,2026-03-08T22:36:38Z,980000,False,-32.0,57.0,1,left,MISS P. Larsson 6' driving Layup - blocked,"[1641796, 1628989]",1610612748.0,MIA,driving,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,6.53,Missed,,,,,,,,,,,,,,,,Huerter,1628989.0
103,PT03M55.00S,2026-03-08T22:29:00.3Z,1,REGULAR,block,,[],1628989,,,1610612748,21,13,2026-03-08T22:29:03Z,990000,False,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
104,PT03M51.00S,2026-03-08T22:29:04.3Z,1,REGULAR,rebound,offensive,[],1641796,,,1610612748,21,13,2026-03-08T22:41:43Z,1000000,False,,,0,,P. Larsson REBOUND (Off:1 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,102.0,2.0,1.0,1.0,,,,,,,,,
169,PT03M50.00S,2026-03-08T22:29:05.7Z,1,REGULAR,turnover,bad pass,[],1641796,,,1610612748,21,13,2026-03-08T22:43:53Z,1005000,False,,,0,,P. Larsson bad pass TURNOVER (1 TO),"[1641796, 1628989]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,,Huerter,1628989.0,,
170,PT03M50.00S,2026-03-08T22:29:05.7Z,1,REGULAR,steal,,[],1628989,,,1610612765,21,13,2026-03-08T22:42:21Z,1007500,False,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
105,PT03M45.00S,2026-03-08T22:29:11.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,74.58935611038108,13.23529411764706,1610612765,21,13,2026-03-08T22:42:21Z,1010000,False,-184.0,186.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,26.18,Missed,,,,,,,,,,,,,,,,,
106,PT03M43.00S,2026-03-08T22:29:13.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,21,13,2026-03-08T22:29:20Z,1020000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,105.0,,,,,,,,,,,,
108,PT03M32.00S,2026-03-08T22:29:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,10.463206307490145,45.588235294117645,1610612748,23,13,2026-03-08T22:29:35Z,1040000,False,22.0,46.0,1,left,J. Jaquez Jr. driving Layup (4 PTS),[1631170],1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,5.09,Made,4.0,,,,,,,,,,,,,,,,
109,PT03M14.00S,2026-03-08T22:29:49.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,91.40932982917214,56.61764705882353,1610612765,23,15,2026-03-08T22:29:57Z,1050000,False,33.0,28.0,1,right,J. Duren DUNK (6 PTS) (C. Cunningham 3 AST),"[1631105, 1630595]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,4.35,Made,6.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,,,,
111,PT03M01.00S,2026-03-08T22:30:01.4Z,1,REGULAR,3pt,Jump Shot,[],1642276,25.312089356110377,83.82352941176471,1610612748,23,15,2026-03-08T22:30:07Z,1070000,False,-169.0,185.0,1,left,MISS K. Ware 25' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,25.09,Missed,,,,,,,,,,,,,,,,,
112,PT02M57.00S,2026-03-08T22:30:05.4Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,23,15,2026-03-08T22:30:07Z,1080000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Above the Break 3,24+ Left Center,,,,,,,,111.0,1.0,1.0,0.0,,,,,,,,,
113,PT02M42.00S,2026-03-08T22:30:20.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,87.72996057818659,97.05882352941177,1610612765,23,15,2026-03-08T22:30:25Z,1090000,False,235.0,63.0,1,right,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Right Corner 3,24+ Right,,24.35,Missed,,,,,,,,,,,,,,,,,
114,PT02M37.00S,2026-03-08T22:30:25.5Z,1,REGULAR,rebound,offensive,[],1641842,,,1610612765,23,15,2026-03-08T22:30:25Z,1100000,False,,,0,,R. Holland II REBOUND (Off:1 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Right Corner 3,24+ Right,,,,,,,,113.0,2.0,1.0,1.0,,,,,,,,,
115,PT02M37.00S,2026-03-08T22:30:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641842,88.64980289093299,56.372549019607845,1610612765,23,15,2026-03-08T22:38:43Z,1110000,False,32.0,54.0,1,right,MISS R. Holland II 6' putback Layup,[1641842],1610612765.0,DET,putback,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,6.29,Missed,,,,,,,,,,,,,,,,,
116,PT02M34.00S,2026-03-08T22:30:28.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,23,15,2026-03-08T22:30:29Z,1120000,False,,,0,,T. Herro REBOUND (Off:1 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,115.0,2.0,1.0,1.0,,,,,,,,,
117,PT02M27.00S,2026-03-08T22:30:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,9.017739816031538,56.86274509803921,1610612748,25,15,2026-03-08T22:30:43Z,1130000,False,-34.0,32.0,1,left,D. Mitchell driving Layup (6 PTS) (T. Herro 2 AST),"[1630558, 1629639]",1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,4.71,Made,6.0,T. Herro,1629639.0,2.0,,,,,,,,,,,,,
119,PT02M25.00S,2026-03-08T22:30:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,25,15,2026-03-08T22:30:46Z,1150000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,out,[],1641796,,,1610612765,25,15,2026-03-08T22:33:34Z,1160000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,out,[],1630558,,,1610612765,25,15,2026-03-08T22:33:34Z,1170000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,out,[],1631105,,,1610612765,25,15,2026-03-08T22:33:34Z,1180000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,25,15,2026-03-08T22:33:34Z,1190000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,in,[],1628389,,,1610612765,25,15,2026-03-08T22:33:34Z,1200000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,in,[],1642857,,,1610612765,25,15,2026-03-08T22:33:34Z,1210000,False,,,0,,SUB in: K. Jakučionis,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,in,[],1642450,,,1610612765,25,15,2026-03-08T22:33:34Z,1220000,False,,,0,,SUB in: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M25.00S,2026-03-08T22:33:05.6Z,1,REGULAR,substitution,in,[],202699,,,1610612765,25,15,2026-03-08T22:33:34Z,1230000,False,,,0,,SUB in: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M01.00S,2026-03-08T22:34:12.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,88.91261498028909,95.09803921568627,1610612765,25,15,2026-03-08T22:39:59Z,1240000,False,225.0,52.0,1,right,MISS K. Huerter 3PT,[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,,23.14,Missed,,,,,,,,,,,,,,,,,
129,PT01M59.00S,2026-03-08T22:34:14.5Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,25,15,2026-03-08T22:39:59Z,1250000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:2),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,128.0,2.0,2.0,0.0,,,,,,,,,
130,PT01M49.00S,2026-03-08T22:34:22.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,8.229303547963205,46.568627450980394,1610612748,27,15,2026-03-08T22:34:26Z,1260000,False,17.0,25.0,1,left,K. Ware DUNK (2 PTS) (J. Jaquez Jr. 1 AST),"[1642276, 1631170]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,3.03,Made,2.0,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,,,,,,
132,PT01M31.00S,2026-03-08T22:34:39.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,86.15308804204993,42.40196078431372,1610612765,27,15,2026-03-08T22:42:08Z,1280000,False,-38.0,78.0,1,right,MISS K. Huerter 8' pullup Shot,[1628989],1610612765.0,DET,pullup,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,8.65,Missed,,,,,,,,,,,,,,,,,
133,PT01M26.00S,2026-03-08T22:34:44.9Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,27,15,2026-03-08T22:52:23Z,1290000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,132.0,2.0,1.0,1.0,,,,,,,,,
134,PT01M24.00S,2026-03-08T22:34:48.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631170,10.726018396846255,43.13725490196079,1610612748,27,15,2026-03-08T22:44:58Z,1300000,False,34.0,48.0,1,left,MISS J. Jaquez Jr. running Layup - blocked,"[1631170, 1641842]",1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,5.92,Missed,,,,,,,,,,,,,,,,Holland II,1641842.0
135,PT01M24.00S,2026-03-08T22:34:48.3Z,1,REGULAR,block,,[],1641842,,,1610612748,27,15,2026-03-08T22:34:50Z,1310000,False,,,0,,R. Holland II BLOCK (1 BLK),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
136,PT01M24.00S,2026-03-08T22:34:48.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,27,15,2026-03-08T22:35:00Z,1320000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,134.0,,,,,,,,,,,,
137,PT01M24.00S,2026-03-08T22:34:54.4Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,27,15,2026-03-08T22:34:58Z,1330000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M24.00S,2026-03-08T22:34:54.4Z,1,REGULAR,substitution,in,[],1630696,,,1610612748,27,15,2026-03-08T22:34:58Z,1340000,False,,,0,,SUB in: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M16.00S,2026-03-08T22:35:14.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642857,8.492115637319317,95.83333333333334,1610612748,30,15,2026-03-08T22:35:19Z,1360000,False,-229.0,27.0,1,left,K. Jakučionis 3PT  (3 PTS) (J. Jaquez Jr. 2 AST),"[1642857, 1631170]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Left Corner 3,24+ Left,,23.08,Made,3.0,J. Jaquez Jr.,1631170.0,2.0,,,,,,,,,,,,,
142,PT00M58.00S,2026-03-08T22:35:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641842,86.94152431011827,55.63725490196079,1610612765,30,15,2026-03-08T23:26:22Z,1380000,False,28.0,70.0,1,right,MISS R. Holland II 7' driving finger roll Layup - blocked,"[1641842, 1642276]",1610612765.0,DET,driving finger roll,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,7.57,Missed,,,,,,,,,,,,,,,,Ware,1642276.0
143,PT00M58.00S,2026-03-08T22:35:33.6Z,1,REGULAR,block,,[],1642276,,,1610612765,30,15,2026-03-08T22:35:37Z,1390000,False,,,0,,K. Ware BLOCK (1 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
144,PT00M52.70S,2026-03-08T22:35:38.9Z,1,REGULAR,rebound,offensive,[],1641842,,,1610612765,30,15,2026-03-08T22:35:40Z,1400000,False,,,0,,R. Holland II REBOUND (Off:2 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,142.0,3.0,1.0,2.0,,,,,,,,,
145,PT00M50.40S,2026-03-08T22:35:44.8Z,1,REGULAR,2pt,Layup,['2ndchance'],1642450,81.42247043363994,66.66666666666666,1610612765,30,15,2026-03-08T22:53:09Z,1410000,False,83.0,122.0,1,right,MISS D. Jenkins 14' driving finger roll Layup,[1642450],1610612765.0,DET,driving finger roll,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Right,,14.78,Missed,,,,,,,,,,,,,,,,,
146,PT00M50.40S,2026-03-08T22:35:44.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,30,15,2026-03-08T22:36:10Z,1420000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,145.0,,,,,,,,,,,,
147,PT00M49.80S,2026-03-08T22:35:49.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612765,30,15,2026-03-08T22:36:00Z,1430000,False,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,203593.0,,,,,,,,
148,PT00M38.90S,2026-03-08T22:36:08.5Z,1,REGULAR,foul,personal,[],1630191,,,1610612748,30,15,2026-03-08T22:36:27Z,1440000,False,,,0,,I. Stewart personal FOUL (1 PF),"[1630191, 1628389]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Adebayo,1628389.0,,,,
150,PT00M26.20S,2026-03-08T22:36:47.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631170,12.434296977660972,43.13725490196079,1610612748,32,15,2026-03-08T22:36:56Z,1460000,False,34.0,64.0,1,left,J. Jaquez Jr. 7' driving bank Jump Shot (6 PTS),[1631170],1610612748.0,MIA,driving bank,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,7.3,Made,6.0,,,,,,,,,,,,,,,,
151,PT00M07.30S,2026-03-08T22:37:13.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642857,,,1610612765,32,15,2026-03-08T22:37:27Z,1470000,False,,,0,,K. Jakučionis shooting personal FOUL (1 PF) (Holland II 2 FT),"[1642857, 1641842]",1610612748.0,MIA,shooting,,,Jakučionis,K. Jakučionis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Holland II,1641842.0,,,,
153,PT00M07.30S,2026-03-08T22:38:04.5Z,1,REGULAR,freethrow,1 of 2,[],1641842,,,1610612765,32,16,2026-03-08T22:38:04Z,1490000,False,,,0,,R. Holland II Free Throw 1 of 2 (1 PTS),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
154,PT00M07.30S,2026-03-08T22:38:06.1Z,1,REGULAR,substitution,out,[],1628989,,,1610612765,32,16,2026-03-08T22:38:09Z,1500000,False,,,0,,SUB out: K. Huerter,[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M07.30S,2026-03-08T22:38:06.1Z,1,REGULAR,substitution,in,[],1629750,,,1610612765,32,16,2026-03-08T22:38:09Z,1510000,False,,,0,,SUB in: J. Green,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M07.30S,2026-03-08T22:38:04.5Z,1,REGULAR,freethrow,2 of 2,[],1641842,,,1610612765,32,16,2026-03-08T22:38:29Z,1520000,False,,,0,,MISS R. Holland II Free Throw 2 of 2,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
157,PT00M05.30S,2026-03-08T22:38:06.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,32,16,2026-03-08T22:38:29Z,1530000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,156.0,3.0,3.0,0.0,,,,,,,,,
158,PT00M01.70S,2026-03-08T22:38:30.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202699,,,1610612748,32,16,2026-03-08T22:38:36Z,1540000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Adebayo 2 FT),"[202699, 1628389]",1610612765.0,DET,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Adebayo,1628389.0,,,,
160,PT00M01.70S,2026-03-08T22:38:56.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628389,,,1610612748,33,16,2026-03-08T22:38:56Z,1560000,False,,,0,,B. Adebayo Free Throw 1 of 2 (8 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,
161,PT00M01.70S,2026-03-08T22:38:56.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628389,,,1610612748,34,16,2026-03-08T22:50:55Z,1570000,False,,,0,,B. Adebayo Free Throw 2 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,
162,PT00M00.50S,2026-03-08T22:39:21.5Z,1,REGULAR,heave,,[],0,,,1610612765,34,16,2026-03-08T22:49:10Z,1580000,False,,,0,,DET Heave,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Center,,68.78,,,,,,,,,,,,,,,,,,
163,PT00M00.10S,2026-03-08T22:39:21.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,34,16,2026-03-08T22:39:38Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,162.0,,,,,,,,,,,,
164,PT00M00.00S,2026-03-08T22:39:40.4Z,1,REGULAR,period,end,[],0,,,1610612765,34,16,2026-03-08T22:39:40Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2026-03-08T22:39:49.2Z,2,REGULAR,substitution,out,['startperiod'],202699,,,1610612765,34,16,2026-03-08T22:42:12Z,1610000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2026-03-08T22:39:49.2Z,2,REGULAR,substitution,out,['startperiod'],1642450,,,1610612765,34,16,2026-03-08T22:42:12Z,1620000,False,,,0,,SUB out: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2026-03-08T22:39:49.2Z,2,REGULAR,substitution,in,['startperiod'],1630595,,,1610612765,34,16,2026-03-08T22:42:12Z,1630000,False,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2026-03-08T22:39:49.2Z,2,REGULAR,substitution,in,['startperiod'],1629130,,,1610612765,34,16,2026-03-08T22:42:12Z,1640000,False,,,0,,SUB in: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2026-03-08T22:42:21.1Z,2,REGULAR,period,start,[],0,,,1610612765,34,16,2026-03-08T22:42:21Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M41.00S,2026-03-08T22:42:39.5Z,2,REGULAR,3pt,Jump Shot,[],1629750,72.09264126149803,19.607843137254903,1610612765,34,16,2026-03-08T22:42:46Z,1660000,False,-152.0,210.0,1,right,MISS J. Green 25' 3PT,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,25.91,Missed,,,,,,,,,,,,,,,,,
