actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
88,PT05M12.00S,2026-03-06T00:55:36.8Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612751,16,11,2026-03-06T00:55:36Z,880000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,87.0,2.0,1.0,1.0,,,,
89,PT05M10.00S,2026-03-06T00:55:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629008,92.32917214191852,41.17647058823529,1610612751,16,11,2026-03-06T00:55:43Z,890000,False,-44.0,20.0,1,right,MISS M. Porter Jr. putback Layup - blocked,"[1629008, 1642276]",1610612751.0,BKN,putback,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,4.83,,,,,,,,Ware,1642276.0,,
90,PT05M10.00S,2026-03-06T00:55:38.4Z,1,REGULAR,block,,[],1642276,,,1610612751,16,11,2026-03-06T00:55:40Z,900000,False,,,0,,K. Ware BLOCK (1 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT05M10.00S,2026-03-06T00:55:38.4Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,16,11,2026-03-06T00:55:43Z,910000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,
92,PT05M03.00S,2026-03-06T00:55:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,6.258212877792378,50.245098039215684,1610612748,18,11,2026-03-06T00:55:50Z,920000,False,-1.0,6.0,1,left,A. Wiggins running Layup (4 PTS) (D. Mitchell 1 AST),"[203952, 1630558]",1610612748.0,MIA,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,Made,4.0,0.64,D. Mitchell,1630558.0,1.0,,,,,,,,
94,PT04M52.00S,2026-03-06T00:55:56.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,77.61169513797634,88.48039215686273,1610612751,18,14,2026-03-06T00:56:02Z,940000,False,192.0,158.0,1,right,N. Clowney 24' 3PT  (3 PTS) (N. Traore 2 AST),"[1641730, 1642849]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,,,,,,,Made,3.0,24.9,N. Traore,1642849.0,2.0,,,,,,,,
96,PT04M39.00S,2026-03-06T00:56:09.6Z,1,REGULAR,3pt,Jump Shot,[],1629639,36.35019710906702,47.30392156862745,1610612748,18,14,2026-03-06T00:56:14Z,960000,False,13.0,289.0,1,left,MISS T. Herro 28' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,28.95,,,,,,,,,,,
97,PT04M35.00S,2026-03-06T00:56:13.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,18,14,2026-03-06T00:56:14Z,970000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:2),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,96.0,3.0,2.0,1.0,,,,
98,PT04M30.00S,2026-03-06T00:56:19.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,68.67608409986859,67.15686274509804,1610612751,18,17,2026-03-06T00:56:31Z,980000,False,86.0,242.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (N. Clowney 1 AST),"[1629008, 1641730]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,Made,3.0,25.67,N. Clowney,1641730.0,1.0,,,,,,,,
100,PT04M15.00S,2026-03-06T00:56:33.9Z,1,REGULAR,3pt,Jump Shot,[],1629639,11.777266754270697,94.85294117647058,1610612748,18,17,2026-03-06T00:57:48Z,1000000,False,-224.0,58.0,1,left,MISS T. Herro step back 3PT,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,,,,,Missed,,23.17,,,,,,,,,,,
101,PT04M12.00S,2026-03-06T00:56:36.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,18,17,2026-03-06T00:56:40Z,1010000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:3),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,100.0,4.0,3.0,1.0,,,,
102,PT03M59.00S,2026-03-06T00:56:50.1Z,1,REGULAR,3pt,Jump Shot,[],1642849,86.81011826544021,96.07843137254902,1610612751,18,20,2026-03-06T00:56:55Z,1020000,False,230.0,71.0,1,right,N. Traore 24' 3PT  (7 PTS) (T. Mann 1 AST),"[1642849, 1629611]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Right Corner 3,24+ Right,,,,,,,Made,7.0,24.12,T. Mann,1629611.0,1.0,,,,,,,,
104,PT03M58.00S,2026-03-06T00:56:58.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,18,20,2026-03-06T00:56:58Z,1040000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,out,[],203952,,,1610612748,18,20,2026-03-06T00:59:36Z,1050000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,out,[],1630558,,,1610612748,18,20,2026-03-06T00:59:36Z,1060000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,out,[],1629611,,,1610612748,18,20,2026-03-06T00:59:36Z,1070000,False,,,0,,SUB out: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,out,[],1629651,,,1610612748,18,20,2026-03-06T00:59:36Z,1080000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,out,[],1642849,,,1610612748,18,20,2026-03-06T00:59:36Z,1090000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,in,[],1642857,,,1610612748,18,20,2026-03-06T00:59:36Z,1100000,False,,,0,,SUB in: K. Jakučionis,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,in,[],1628389,,,1610612748,18,20,2026-03-06T00:59:36Z,1110000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,in,[],1630549,,,1610612748,18,20,2026-03-06T00:59:36Z,1120000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,in,[],1642879,,,1610612748,18,20,2026-03-06T00:59:36Z,1130000,False,,,0,,SUB in: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M58.00S,2026-03-06T00:59:08.1Z,1,REGULAR,substitution,in,[],1630533,,,1610612748,18,20,2026-03-06T00:59:36Z,1140000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M44.00S,2026-03-06T01:00:08.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,5.863994743758213,49.50980392156863,1610612748,20,20,2026-03-06T01:00:17Z,1150000,False,2.0,3.0,1,left,K. Ware alley-oop DUNK (2 PTS) (J. Jaquez Jr. 1 AST),"[1642276, 1631170]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,0.36,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,
117,PT03M20.00S,2026-03-06T01:00:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,93.38042049934296,56.127450980392155,1610612751,20,20,2026-03-06T01:00:37Z,1170000,False,31.0,10.0,1,right,MISS Z. Williams Layup,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.21,,,,,,,,,,,
118,PT03M16.00S,2026-03-06T01:00:36.2Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,20,20,2026-03-06T01:00:37Z,1180000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,117.0,1.0,1.0,0.0,,,,
119,PT03M10.00S,2026-03-06T01:00:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642857,9.674770039421814,56.86274509803921,1610612748,20,20,2026-03-06T01:00:46Z,1190000,False,-34.0,38.0,1,left,MISS K. Jakučionis driving Layup,[1642857],1610612748.0,MIA,driving,,,Jakučionis,K. Jakučionis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,5.15,,,,,,,,,,,
120,PT03M06.00S,2026-03-06T01:00:46.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,20,20,2026-03-06T01:00:46Z,1200000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:4),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,119.0,5.0,4.0,1.0,,,,
121,PT03M01.00S,2026-03-06T01:00:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,90.22667542706965,48.529411764705884,1610612751,20,20,2026-03-06T01:00:57Z,1210000,False,-7.0,39.0,1,right,MISS M. Porter Jr. running Layup,[1629008],1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,4.01,,,,,,,,,,,
122,PT02M58.00S,2026-03-06T01:00:55.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,20,20,2026-03-06T01:00:57Z,1220000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,121.0,2.0,1.0,1.0,,,,
123,PT02M45.00S,2026-03-06T01:01:07.3Z,1,REGULAR,3pt,Jump Shot,[],1642857,6.1268068331143235,95.09803921568627,1610612748,23,20,2026-03-06T01:01:12Z,1230000,False,-225.0,5.0,1,left,K. Jakučionis 3PT  (3 PTS) (J. Jaquez Jr. 2 AST),"[1642857, 1631170]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Left Corner 3,24+ Left,,,,,,,Made,3.0,22.56,J. Jaquez Jr.,1631170.0,2.0,,,,,,,,
125,PT02M43.00S,2026-03-06T01:01:17.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612751,23,20,2026-03-06T01:01:17Z,1250000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M43.00S,2026-03-06T01:02:32.9Z,1,REGULAR,substitution,out,[],1629639,,,1610612751,23,20,2026-03-06T01:02:51Z,1260000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M43.00S,2026-03-06T01:02:32.9Z,1,REGULAR,substitution,out,[],1629008,,,1610612751,23,20,2026-03-06T01:02:51Z,1270000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M43.00S,2026-03-06T01:02:32.9Z,1,REGULAR,substitution,out,[],1641730,,,1610612751,23,20,2026-03-06T01:02:51Z,1280000,False,,,0,,SUB out: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M43.00S,2026-03-06T01:02:32.9Z,1,REGULAR,substitution,in,[],1630696,,,1610612751,23,20,2026-03-06T01:02:51Z,1290000,False,,,0,,SUB in: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M43.00S,2026-03-06T01:02:32.9Z,1,REGULAR,substitution,in,[],1642874,,,1610612751,23,20,2026-03-06T01:02:51Z,1300000,False,,,0,,SUB in: D. Wolf,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M43.00S,2026-03-06T01:02:32.9Z,1,REGULAR,substitution,in,[],1630534,,,1610612751,23,20,2026-03-06T01:02:51Z,1310000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612751.0,BKN,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M37.00S,2026-03-06T01:03:00.6Z,1,REGULAR,foul,personal,[],1642857,,,1610612751,23,20,2026-03-06T01:03:08Z,1320000,False,,,0,,K. Jakučionis personal FOUL (1 PF),"[1642857, 1642879]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Right Center,1628953.0,,1.0,0.0,Saraf,1642879.0,,,,,,,,,,,,,,
134,PT02M32.00S,2026-03-06T01:03:18.7Z,1,REGULAR,turnover,traveling,[],1630549,,,1610612751,23,20,2026-03-06T01:03:28Z,1340000,False,,,0,,D. Sharpe traveling TURNOVER (1 TO),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,101284.0,1.0,,,,,,,,,,,,,,,,,,
135,PT02M14.00S,2026-03-06T01:03:44.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642857,25.04927726675427,85.29411764705883,1610612748,26,20,2026-03-06T01:03:50Z,1350000,False,-176.0,183.0,1,left,K. Jakučionis 25' 3PT  (6 PTS) (B. Adebayo 1 AST),"[1642857, 1628389]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Left Center,,,,,,,Made,6.0,25.42,B. Adebayo,1628389.0,1.0,,,,,,,,
137,PT02M01.00S,2026-03-06T01:03:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642879,92.06636005256242,45.83333333333333,1610612751,26,20,2026-03-06T01:04:02Z,1370000,False,-21.0,22.0,1,right,MISS B. Saraf driving Layup - blocked,"[1642879, 1642276]",1610612751.0,BKN,driving,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.03,,,,,,,,Ware,1642276.0,,
145,PT02M01.00S,2026-03-06T01:03:56.4Z,1,REGULAR,block,,[],1642276,,,1610612751,26,20,2026-03-06T01:05:31Z,1375000,False,,,0,,K. Ware BLOCK (2 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
138,PT01M57.00S,2026-03-06T01:04:00.4Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,26,20,2026-03-06T01:04:02Z,1380000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,137.0,1.0,0.0,1.0,,,,
139,PT01M57.00S,2026-03-06T01:04:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,94.40999984741211,50.0,1610612751,26,22,2026-03-06T01:04:01Z,1390000,False,0.0,0.0,1,right,D. Sharpe tip Layup (2 PTS),[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,,,,,,,Made,2.0,0.0,,,,,,,,,,,
140,PT01M56.00S,2026-03-06T01:04:05.6Z,1,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612748,26,22,2026-03-06T01:04:26Z,1400000,False,,,0,,D. Sharpe shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1630549, 1628389]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,1628953.0,,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,
142,PT01M56.00S,2026-03-06T01:04:34.2Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,27,22,2026-03-06T01:04:34Z,1420000,False,,,0,,B. Adebayo Free Throw 1 of 2 (7 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,
143,PT01M56.00S,2026-03-06T01:04:51.9Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,28,22,2026-03-06T01:04:51Z,1430000,False,,,0,,B. Adebayo Free Throw 2 of 2 (8 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,8.0,,,,,,,,,,,,
144,PT01M36.00S,2026-03-06T01:05:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642879,93.9060446780552,45.588235294117645,1610612751,28,24,2026-03-06T01:05:20Z,1440000,False,-22.0,5.0,1,right,B. Saraf driving Layup (2 PTS),[1642879],1610612751.0,BKN,driving,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,2.26,,,,,,,,,,,
146,PT01M07.00S,2026-03-06T01:05:41.8Z,1,REGULAR,3pt,Jump Shot,[],1642857,25.312089356110377,85.7843137254902,1610612748,28,24,2026-03-06T01:05:47Z,1450000,False,-179.0,185.0,1,left,MISS K. Jakučionis 25' 3PT,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,25.76,,,,,,,,,,,
147,PT01M07.00S,2026-03-06T01:05:41.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,28,24,2026-03-06T01:05:47Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,146.0,,,,,,,
148,PT01M07.00S,2026-03-06T01:05:47.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,28,24,2026-03-06T01:06:10Z,1470000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,,,,,,,,,,,,,,,,,,,
149,PT00M58.00S,2026-03-06T01:06:05.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642874,67.49342969776609,66.42156862745098,1610612751,28,24,2026-03-06T01:06:14Z,1480000,False,82.0,253.0,1,right,MISS D. Wolf 26' 3PT,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,26.61,,,,,,,,,,,
150,PT00M53.80S,2026-03-06T01:06:10.1Z,1,REGULAR,rebound,defensive,[],1642857,,,1610612748,28,24,2026-03-06T01:06:14Z,1490000,False,,,0,,K. Jakučionis REBOUND (Off:0 Def:1),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,149.0,1.0,1.0,0.0,,,,
151,PT00M50.10S,2026-03-06T01:06:15.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642874,,,1610612748,28,24,2026-03-06T01:06:40Z,1500000,False,,,0,,D. Wolf shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1642874, 1628389]",1610612751.0,BKN,shooting,,,Wolf,D. Wolf,,,,,Mid-Range,8-16 Left,1628953.0,,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,
153,PT00M50.10S,2026-03-06T01:06:43.3Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,28,24,2026-03-06T01:06:43Z,1520000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
154,PT00M50.10S,2026-03-06T01:06:43.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,28,24,2026-03-06T01:06:43Z,1530000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,
155,PT00M50.10S,2026-03-06T01:07:03.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,29,24,2026-03-06T01:07:03Z,1540000,False,,,0,,B. Adebayo Free Throw 2 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,
156,PT00M33.80S,2026-03-06T01:07:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642879,92.59198423127464,55.63725490196079,1610612751,29,26,2026-03-06T01:07:25Z,1550000,False,28.0,17.0,1,right,B. Saraf driving Layup (4 PTS),[1642879],1610612751.0,BKN,driving,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,,,,,,,Made,4.0,3.3,,,,,,,,,,,
157,PT00M20.80S,2026-03-06T01:07:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,6.1268068331143235,64.4607843137255,1610612748,29,26,2026-03-06T01:07:44Z,1560000,False,-72.0,5.0,1,left,MISS B. Adebayo 7' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,7.25,,,,,,,,,,,
158,PT00M17.00S,2026-03-06T01:07:40.5Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,29,26,2026-03-06T01:07:44Z,1570000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,157.0,2.0,1.0,1.0,,,,
159,PT00M05.70S,2026-03-06T01:07:51.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642857,6.1268068331143235,2.450980392156863,1610612748,29,26,2026-03-06T01:07:58Z,1580000,False,238.0,5.0,1,left,MISS K. Jakučionis 3PT,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,23.78,,,,,,,,,,,
160,PT00M02.50S,2026-03-06T01:07:55.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,29,26,2026-03-06T01:07:58Z,1590000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,159.0,3.0,1.0,2.0,,,,
161,PT00M02.50S,2026-03-06T01:07:57.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,5.590000152587891,50.0,1610612748,31,26,2026-03-06T01:07:57Z,1600000,False,0.0,0.0,1,left,B. Adebayo tip DUNK (11 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,,,,,Made,11.0,0.0,,,,,,,,,,,
164,PT00M00.00S,2026-03-06T01:08:09.5Z,1,REGULAR,period,end,[],0,,,1610612751,31,26,2026-03-06T01:08:09Z,1630000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2026-03-06T01:10:52.9Z,2,REGULAR,period,start,[],0,,,1610612748,31,26,2026-03-06T01:10:52Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M38.00S,2026-03-06T01:11:14.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642276,9.280551905387648,37.99019607843137,1610612748,31,26,2026-03-06T01:11:22Z,1650000,False,60.0,35.0,1,left,MISS K. Ware 6' bank Shot,[1642276],1610612748.0,MIA,bank,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.93,,,,,,,,,,,
167,PT11M33.00S,2026-03-06T01:11:19.0Z,2,REGULAR,rebound,offensive,[],1642276,,,1610612748,31,26,2026-03-06T01:11:22Z,1660000,False,,,0,,K. Ware REBOUND (Off:2 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,166.0,3.0,1.0,2.0,,,,
168,PT11M33.00S,2026-03-06T01:11:18.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642276,5.590000152587891,50.0,1610612748,33,26,2026-03-06T01:11:18Z,1670000,False,0.0,0.0,1,left,K. Ware tip DUNK (4 PTS),[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,,,,,,,Made,4.0,0.0,,,,,,,,,,,
169,PT11M19.00S,2026-03-06T01:11:33.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,92.59198423127464,57.107843137254896,1610612751,33,28,2026-03-06T01:11:36Z,1680000,False,36.0,17.0,1,right,O. Agbaji driving Layup (2 PTS) (D. Sharpe 1 AST),"[1630534, 1630549]",1610612751.0,BKN,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,3.94,D. Sharpe,1630549.0,1.0,,,,,,,,
