actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
193,PT11M19.00S,2026-03-11T00:14:28.8Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,42,31,2026-03-11T00:14:31Z,1920000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:2),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,191.0,,,2.0,2.0,0.0,,,,,,,,,,,
194,PT11M18.00S,2026-03-11T00:14:30.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631323,20.318659658344284,90.19607843137256,1610612748,45,31,2026-03-11T00:14:40Z,1930000,False,-201.0,138.0,1,left,S. Fontecchio 24' 3PT running (3 PTS) (J. Jaquez Jr. 5 AST),"[1631323, 1631170]",1610612748.0,MIA,running,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,24.41,Made,3.0,,,,,,,J. Jaquez Jr.,1631170.0,5.0,,,,,,,,
196,PT10M58.00S,2026-03-11T00:14:50.3Z,2,REGULAR,turnover,bad pass,[],1630264,,,1610612764,45,31,2026-03-11T00:14:55Z,1950000,False,,,0,,A. Gill bad pass TURNOVER (1 TO),"[1630264, 1630696]",1610612764.0,WAS,,,,Gill,A. Gill,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,1.0,Smith,1630696.0
197,PT10M58.00S,2026-03-11T00:14:50.3Z,2,REGULAR,steal,,[],1630696,,,1610612748,45,31,2026-03-11T00:55:04Z,1960000,False,,,0,,D. Smith STEAL (2 STL),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
198,PT10M53.00S,2026-03-11T00:14:54.9Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631323,7.5722733245729295,94.6078431372549,1610612748,45,31,2026-03-11T00:27:18Z,1970000,False,-223.0,19.0,1,left,MISS S. Fontecchio running 3PT,[1631323],1610612748.0,MIA,running,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,22.38,Missed,,,,,,,,,,,,,,,,,,
199,PT10M44.00S,2026-03-11T00:15:03.9Z,2,REGULAR,rebound,defensive,[],1630264,,,1610612764,45,31,2026-03-11T00:27:18Z,1980000,False,,,0,,A. Gill REBOUND (Off:0 Def:1),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Left Corner 3,24+ Left,,,,198.0,,,1.0,1.0,0.0,,,,,,,,,,,
200,PT10M36.00S,2026-03-11T00:15:11.4Z,2,REGULAR,2pt,Layup,[],1630551,91.67214191852825,65.93137254901961,1610612764,45,31,2026-03-11T00:15:17Z,1990000,False,80.0,26.0,1,right,MISS J. Champagnie 8' driving Layup,[1630551],1610612764.0,WAS,driving,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,8.38,Missed,,,,,,,,,,,,,,,,,,
202,PT10M32.00S,2026-03-11T00:15:15.4Z,2,REGULAR,rebound,defensive,[],1631323,,,1610612748,45,31,2026-03-11T00:15:17Z,2010000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,8-16 Right,,,,200.0,,,1.0,1.0,0.0,,,,,,,,,,,
203,PT10M30.00S,2026-03-11T00:15:18.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1641796,20.97568988173456,8.823529411764707,1610612748,45,31,2026-03-11T00:15:27Z,2020000,False,206.0,145.0,1,left,MISS P. Larsson 25' running 3PT,[1641796],1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
204,PT10M26.00S,2026-03-11T00:15:22.0Z,2,REGULAR,rebound,defensive,[],1630264,,,1610612764,45,31,2026-03-11T00:15:27Z,2030000,False,,,0,,A. Gill REBOUND (Off:0 Def:2),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Right Center,,,,203.0,,,2.0,2.0,0.0,,,,,,,,,,,
205,PT10M22.00S,2026-03-11T00:15:25.4Z,2,REGULAR,turnover,lost ball,[],1630536,,,1610612764,45,31,2026-03-11T00:15:31Z,2040000,False,,,0,,S. Cooper lost ball TURNOVER (2 TO),"[1630536, 1630696]",1610612764.0,WAS,,,,Cooper,S. Cooper,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,2.0,Smith,1630696.0
206,PT10M22.00S,2026-03-11T00:15:25.4Z,2,REGULAR,steal,,[],1630696,,,1610612748,45,31,2026-03-11T00:15:28Z,2050000,False,,,0,,D. Smith STEAL (3 STL),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
207,PT10M15.00S,2026-03-11T00:15:32.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631323,9.543363994743759,55.63725490196079,1610612748,47,31,2026-03-11T00:54:34Z,2060000,False,-28.0,37.0,1,left,S. Fontecchio driving floating Jump Shot (5 PTS) (J. Jaquez Jr. 6 AST),"[1631323, 1631170]",1610612748.0,MIA,driving floating,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,4.67,Made,5.0,,,,,,,J. Jaquez Jr.,1631170.0,6.0,,,,,,,,
208,PT10M14.00S,2026-03-11T00:15:40.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,47,31,2026-03-11T00:15:40Z,2070000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT10M00.00S,2026-03-11T00:18:43.1Z,2,REGULAR,turnover,lost ball,[],1630551,,,1610612764,47,31,2026-03-11T00:18:48Z,2080000,False,,,0,,J. Champagnie lost ball TURNOVER (2 TO),"[1630551, 1631323]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,Fontecchio,1631323.0
210,PT10M00.00S,2026-03-11T00:18:43.1Z,2,REGULAR,steal,,[],1631323,,,1610612748,47,31,2026-03-11T00:18:45Z,2090000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
211,PT09M47.00S,2026-03-11T00:18:56.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642352,6.389618922470433,3.6764705882352944,1610612748,50,31,2026-03-11T00:19:01Z,2100000,False,232.0,8.0,1,left,K. Johnson 3PT  (3 PTS) (D. Smith 1 AST),"[1642352, 1630696]",1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,23.17,Made,3.0,,,,,,,D. Smith,1630696.0,1.0,,,,,,,,
213,PT09M30.00S,2026-03-11T00:19:13.7Z,2,REGULAR,3pt,Jump Shot,[],1630702,67.36202365308804,39.705882352941174,1610612764,50,31,2026-03-11T00:29:59Z,2120000,False,-51.0,254.0,1,right,MISS J. Hardy 25' pullup 3PT,[1630702],1610612764.0,WAS,pullup,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
214,PT09M25.00S,2026-03-11T00:19:18.7Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,50,31,2026-03-11T00:19:19Z,2130000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:3),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Center,,,,213.0,,,3.0,3.0,0.0,,,,,,,,,,,
215,PT09M16.00S,2026-03-11T00:19:26.8Z,2,REGULAR,3pt,Jump Shot,[],1642352,6.258212877792378,95.09803921568627,1610612748,50,31,2026-03-11T00:19:30Z,2140000,False,-225.0,6.0,1,left,MISS K. Johnson 3PT,[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,22.56,Missed,,,,,,,,,,,,,,,,,,
216,PT09M14.00S,2026-03-11T00:19:28.8Z,2,REGULAR,rebound,defensive,[],1630551,,,1610612764,50,31,2026-03-11T00:19:30Z,2150000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,215.0,,,2.0,2.0,0.0,,,,,,,,,,,
217,PT09M09.00S,2026-03-11T00:19:33.9Z,2,REGULAR,3pt,Jump Shot,[],1642860,69.85873850197109,23.284313725490197,1610612764,50,34,2026-03-11T00:19:41Z,2160000,False,-134.0,231.0,1,right,W. Riley 26' 3PT step back (5 PTS),[1642860],1610612764.0,WAS,step back,,,Riley,W. Riley,,,,,Above the Break 3,24+ Left Center,26.67,Made,5.0,,,,,,,,,,,,,,,,,
218,PT09M00.00S,2026-03-11T00:19:46.8Z,2,REGULAR,turnover,out-of-bounds,[],1631323,,,1610612748,50,34,2026-03-11T00:19:54Z,2170000,False,,,0,,S. Fontecchio step out-of-bounds TURNOVER (1 TO),[1631323],1610612748.0,MIA,step,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,202049.0,,,,,1.0,,
219,PT09M00.00S,2026-03-11T00:19:51.8Z,2,REGULAR,substitution,out,[],1630702,,,1610612764,50,34,2026-03-11T00:20:04Z,2180000,False,,,0,,SUB out: J. Hardy,[1630702],1610612764.0,WAS,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M00.00S,2026-03-11T00:19:51.8Z,2,REGULAR,substitution,out,[],1630536,,,1610612764,50,34,2026-03-11T00:20:04Z,2190000,False,,,0,,SUB out: S. Cooper,[1630536],1610612764.0,WAS,,,,Cooper,S. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M00.00S,2026-03-11T00:19:51.8Z,2,REGULAR,substitution,in,[],1642267,,,1610612764,50,34,2026-03-11T00:20:04Z,2200000,False,,,0,,SUB in: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M00.00S,2026-03-11T00:19:51.8Z,2,REGULAR,substitution,in,[],1642848,,,1610612764,50,34,2026-03-11T00:20:04Z,2210000,False,,,0,,SUB in: T. Johnson,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M45.00S,2026-03-11T00:20:17.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642860,87.33574244415243,59.31372549019608,1610612764,50,34,2026-03-11T00:20:23Z,2220000,False,47.0,67.0,1,right,MISS W. Riley 8' driving floating Shot,[1642860],1610612764.0,WAS,driving floating,,,Riley,W. Riley,,,,,In The Paint (Non-RA),8-16 Right,8.12,Missed,,,,,,,,,,,,,,,,,,
224,PT08M42.00S,2026-03-11T00:20:20.5Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,50,34,2026-03-11T00:20:23Z,2230000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:4),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,223.0,,,4.0,4.0,0.0,,,,,,,,,,,
225,PT08M38.00S,2026-03-11T00:20:24.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1641796,24.129434954007884,13.970588235294118,1610612748,50,34,2026-03-11T00:20:34Z,2240000,False,180.0,174.0,1,left,MISS P. Larsson 25' running 3PT,[1641796],1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Right Center,25.06,Missed,,,,,,,,,,,,,,,,,,
226,PT08M35.00S,2026-03-11T00:20:28.5Z,2,REGULAR,rebound,offensive,[],1631170,,,1610612748,50,34,2026-03-11T00:20:28Z,2250000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:4),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,,,,225.0,,,5.0,4.0,1.0,,,,,,,,,,,
227,PT08M34.00S,2026-03-11T00:20:30.3Z,2,REGULAR,foul,personal,['3freethrow'],1642848,,,1610612748,50,34,2026-03-11T00:20:54Z,2260000,False,,,0,,T. Johnson shooting personal FOUL (2 PF) (Fontecchio 3 FT),"[1642848, 1631323]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2003.0,2.0,0.0,Fontecchio,1631323.0,,,
229,PT08M34.00S,2026-03-11T00:21:00.6Z,2,REGULAR,freethrow,1 of 3,['2ndchance'],1631323,,,1610612748,51,34,2026-03-11T00:21:00Z,2280000,False,,,0,,S. Fontecchio Free Throw 1 of 3 (6 PTS),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
230,PT08M34.00S,2026-03-11T00:21:17.9Z,2,REGULAR,freethrow,2 of 3,['2ndchance'],1631323,,,1610612748,52,34,2026-03-11T00:21:17Z,2290000,False,,,0,,S. Fontecchio Free Throw 2 of 3 (7 PTS),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
231,PT08M34.00S,2026-03-11T00:21:31.8Z,2,REGULAR,freethrow,3 of 3,['2ndchance'],1631323,,,1610612748,53,34,2026-03-11T00:21:31Z,2300000,False,,,0,,S. Fontecchio Free Throw 3 of 3 (8 PTS),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
232,PT08M23.00S,2026-03-11T00:21:43.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,90.3580814717477,50.98039215686274,1610612764,53,34,2026-03-11T01:15:20Z,2310000,False,5.0,38.0,1,right,MISS J. Champagnie cutting Layup - blocked,"[1630551, 1641796]",1610612764.0,WAS,cutting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,3.84,Missed,,,Larsson,1641796.0,,,,,,,,,,,,,,
233,PT08M23.00S,2026-03-11T00:21:43.9Z,2,REGULAR,block,,[],1641796,,,1610612764,53,34,2026-03-11T00:21:46Z,2320000,False,,,0,,P. Larsson BLOCK (1 BLK),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
234,PT08M16.00S,2026-03-11T00:21:50.9Z,2,REGULAR,rebound,offensive,[],1630551,,,1610612764,53,34,2026-03-11T00:21:52Z,2330000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:2),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,232.0,,,3.0,2.0,1.0,,,,,,,,,,,
235,PT08M16.00S,2026-03-11T00:21:50.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630551,94.40999984741211,50.0,1610612764,53,36,2026-03-11T00:32:18Z,2340000,False,0.0,0.0,1,right,J. Champagnie putback Layup (2 PTS),[1630551],1610612764.0,WAS,putback,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
236,PT08M04.00S,2026-03-11T00:22:02.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,11.563731931668856,60.31709558823529,1610612748,53,36,2026-03-11T00:22:09Z,2350000,False,-52.0,56.0,1,left,MISS J. Jaquez Jr. 7' driving floating Shot,[1631170],1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.63,Missed,,,,,,,,,,,,,,,,,,
237,PT08M02.00S,2026-03-11T00:22:04.1Z,2,REGULAR,rebound,defensive,[],1642848,,,1610612764,53,36,2026-03-11T00:22:09Z,2360000,False,,,0,,T. Johnson REBOUND (Off:0 Def:1),[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,236.0,,,1.0,1.0,0.0,,,,,,,,,,,
238,PT07M46.00S,2026-03-11T00:22:19.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630264,86.81011826544021,56.372549019607845,1610612764,53,38,2026-03-11T00:22:26Z,2370000,False,32.0,71.0,1,right,A. Gill 7' driving floating Jump Shot (2 PTS) (B. Carrington 3 AST),"[1630264, 1642267]",1610612764.0,WAS,driving floating,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,7.83,Made,2.0,,,,,,,B. Carrington,1642267.0,3.0,,,,,,,,
239,PT07M36.00S,2026-03-11T00:22:30.7Z,2,REGULAR,turnover,bad pass,[],1630696,,,1610612748,53,38,2026-03-11T00:22:34Z,2380000,False,,,0,,D. Smith bad pass TURNOVER (1 TO),"[1630696, 1642267]",1610612748.0,MIA,,,,Smith,D. Smith,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Carrington,1642267.0
240,PT07M36.00S,2026-03-11T00:22:30.7Z,2,REGULAR,steal,,[],1642267,,,1610612764,53,38,2026-03-11T00:22:32Z,2390000,False,,,0,,B. Carrington STEAL (1 STL),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
241,PT07M30.00S,2026-03-11T00:22:36.3Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642860,87.59855453350855,53.431372549019606,1610612764,53,38,2026-03-11T01:04:54Z,2400000,False,17.0,64.0,1,right,MISS W. Riley 6' running pullup Shot,[1642860],1610612764.0,WAS,running pullup,,,Riley,W. Riley,,,,,In The Paint (Non-RA),0-8 Center,6.64,Missed,,,,,,,,,,,,,,,,,,
242,PT07M28.00S,2026-03-11T00:22:38.3Z,2,REGULAR,rebound,defensive,[],1630696,,,1610612748,53,38,2026-03-11T00:22:44Z,2410000,False,,,0,,D. Smith REBOUND (Off:0 Def:1),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,241.0,,,1.0,1.0,0.0,,,,,,,,,,,
243,PT07M24.00S,2026-03-11T00:22:42.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642352,6.258212877792378,48.77450980392157,1610612748,55,38,2026-03-11T00:22:51Z,2420000,False,6.0,6.0,1,left,K. Johnson running alley-oop Layup (5 PTS) (S. Fontecchio 1 AST),"[1642352, 1631323]",1610612748.0,MIA,running alley-oop,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,0.88,Made,5.0,,,,,,,S. Fontecchio,1631323.0,1.0,,,,,,,,
245,PT07M08.00S,2026-03-11T00:22:57.7Z,2,REGULAR,3pt,Jump Shot,[],1642848,81.15965834428384,6.862745098039216,1610612764,55,41,2026-03-11T00:23:07Z,2440000,False,-216.0,125.0,1,right,T. Johnson 24' 3PT step back (10 PTS) (J. Champagnie 1 AST),"[1642848, 1630551]",1610612764.0,WAS,step back,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Left Center,24.91,Made,10.0,,,,,,,J. Champagnie,1630551.0,1.0,,,,,,,,
247,PT07M02.00S,2026-03-11T00:23:10.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,55,41,2026-03-11T00:23:10Z,2460000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,out,[],1641796,,,1610612748,55,41,2026-03-11T00:25:59Z,2470000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,out,[],1630696,,,1610612748,55,41,2026-03-11T00:25:59Z,2480000,False,,,0,,SUB out: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,out,[],1630264,,,1610612748,55,41,2026-03-11T00:25:59Z,2490000,False,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,out,[],1642860,,,1610612748,55,41,2026-03-11T00:25:59Z,2500000,False,,,0,,SUB out: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,55,41,2026-03-11T00:25:59Z,2510000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,in,[],1630558,,,1610612748,55,41,2026-03-11T00:25:59Z,2520000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,in,[],1642259,,,1610612748,55,41,2026-03-11T00:25:59Z,2530000,False,,,0,,SUB in: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M02.00S,2026-03-11T00:25:26.4Z,2,REGULAR,substitution,in,[],1641731,,,1610612748,55,41,2026-03-11T00:25:59Z,2540000,False,,,0,,SUB in: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT06M47.00S,2026-03-11T00:26:14.5Z,2,REGULAR,3pt,Jump Shot,[],1630558,14.668199737187912,3.431372549019608,1610612748,55,41,2026-03-11T00:26:22Z,2550000,False,233.0,85.0,1,left,MISS D. Mitchell 24' pullup 3PT,[1630558],1610612748.0,MIA,pullup,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,24.8,Missed,,,,,,,,,,,,,,,,,,
257,PT06M44.00S,2026-03-11T00:26:17.1Z,2,REGULAR,rebound,offensive,[],1630558,,,1610612748,55,41,2026-03-11T00:26:17Z,2560000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,,256.0,,,1.0,0.0,1.0,,,,,,,,,,,
258,PT06M43.00S,2026-03-11T00:26:18.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631170,28.203022339027594,22.794117647058822,1610612748,55,41,2026-03-11T00:26:25Z,2570000,False,136.0,213.0,1,left,MISS J. Jaquez Jr. 25' 3PT,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
259,PT06M40.00S,2026-03-11T00:26:21.8Z,2,REGULAR,rebound,offensive,[],1631170,,,1610612748,55,41,2026-03-11T00:27:06Z,2580000,False,,,0,,J. Jaquez Jr. REBOUND (Off:2 Def:4),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,,,,258.0,,,6.0,4.0,2.0,,,,,,,,,,,
260,PT06M38.00S,2026-03-11T00:26:23.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631323,21.50131406044678,90.44117647058823,1610612748,58,41,2026-03-11T00:26:29Z,2590000,False,-202.0,150.0,1,left,S. Fontecchio 25' 3PT  (11 PTS) (J. Jaquez Jr. 7 AST),"[1631323, 1631170]",1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,25.15,Made,11.0,,,,,,,J. Jaquez Jr.,1631170.0,7.0,,,,,,,,
262,PT06M18.00S,2026-03-11T00:26:43.5Z,2,REGULAR,2pt,Jump Shot,[],1642259,86.28449408672799,12.009803921568627,1610612764,58,43,2026-03-11T01:32:33Z,2610000,False,-190.0,76.0,1,right,A. Sarr 20' pullup Jump Shot (15 PTS) (B. Coulibaly 2 AST),"[1642259, 1641731]",1610612764.0,WAS,pullup,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Left,20.48,Made,15.0,,,,,,,B. Coulibaly,1641731.0,2.0,,,,,,,,
263,PT05M56.00S,2026-03-11T00:27:05.7Z,2,REGULAR,3pt,Jump Shot,[],1642352,32.802233902759525,44.11764705882353,1610612748,58,43,2026-03-11T00:27:11Z,2620000,False,29.0,256.0,1,left,MISS K. Johnson 25' 3PT,[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,25.75,Missed,,,,,,,,,,,,,,,,,,
264,PT05M53.00S,2026-03-11T00:27:08.7Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,58,43,2026-03-11T00:27:11Z,2630000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,263.0,,,4.0,3.0,1.0,,,,,,,,,,,
265,PT05M53.00S,2026-03-11T00:27:10.4Z,2,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612748,58,43,2026-03-11T00:27:26Z,2640000,False,,,0,,A. Sarr shooting personal FOUL (3 PF) (Adebayo 2 FT),"[1642259, 1628389]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203592.0,3.0,0.0,Adebayo,1628389.0,,,
267,PT05M53.00S,2026-03-11T00:27:37.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628389,,,1610612748,58,43,2026-03-11T00:27:37Z,2660000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
268,PT05M53.00S,2026-03-11T00:27:37.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,58,43,2026-03-11T00:27:37Z,2670000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,,,
