actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT04M48.00S,2023-11-04T02:36:05.0Z,1,REGULAR,substitution,out,[],1629029,,,1610612743,28,19,2023-11-04T02:36:17Z,860000,False,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,
88,PT04M48.00S,2023-11-04T02:36:05.0Z,1,REGULAR,substitution,in,[],202681,,,1610612743,28,19,2023-11-04T02:36:17Z,870000,False,,,0,,SUB in: K. Irving,[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
89,PT04M42.00S,2023-11-04T02:36:22.6Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612743,28,19,2023-11-04T02:36:27Z,880000,False,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1630182]",1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,1.0,Jackson,R. Jackson,Green,1630182.0,,,,,,,,,,,,,,,,,
90,PT04M42.00S,2023-11-04T02:36:22.6Z,1,REGULAR,steal,,[],1630182,,,1610612742,28,19,2023-11-04T02:36:25Z,890000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Green,J. Green,,,,,,,,,,,,,,,,,,,
91,PT04M35.00S,2023-11-04T02:36:29.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,33.722076215505915,43.872549019607845,1610612742,28,19,2023-11-04T02:37:16Z,900000,False,31.0,264.0,1,left,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Hardaway Jr.,T. Hardaway Jr.,,,26.63,Missed,,,,,,,,,,,,,,,
92,PT04M33.00S,2023-11-04T02:36:31.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,28,19,2023-11-04T02:36:41Z,910000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,91.0,,,,,,,,,,
94,PT04M19.00S,2023-11-04T02:36:58.4Z,1,REGULAR,turnover,lost ball,[],203932,,,1610612743,28,19,2023-11-04T02:37:02Z,930000,False,,,0,,A. Gordon lost ball TURNOVER (1 TO),"[203932, 202681]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,1.0,Gordon,A. Gordon,Irving,202681.0,,,,,,,,,,,,,,,,,
95,PT04M19.00S,2023-11-04T02:36:58.4Z,1,REGULAR,steal,,[],202681,,,1610612742,28,19,2023-11-04T02:37:00Z,940000,False,,,0,,K. Irving STEAL (1 STL),[202681],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
96,PT04M15.00S,2023-11-04T02:37:04.4Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612742,28,19,2023-11-04T02:37:09Z,950000,False,,,0,,K. Irving bad pass out-of-bounds TURNOVER (1 TO),[202681],1610612742.0,DAL,bad pass,,,,,,Above the Break 3,24+ Right Center,1.0,Irving,K. Irving,,,,,,,,,,,,,204058.0,,,,,,
97,PT03M54.00S,2023-11-04T02:37:33.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202704,73.14388961892247,81.12745098039215,1610612743,31,19,2023-11-04T02:37:37Z,960000,False,156.0,200.0,1,right,R. Jackson 25' 3PT  (3 PTS) (N. Jokic 2 AST),"[202704, 203999]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,Jackson,R. Jackson,,,25.33,Made,3.0,N. Jokic,203999.0,2.0,,,,,,,,,,,
99,PT03M40.00S,2023-11-04T02:37:47.0Z,1,REGULAR,turnover,lost ball,[],203501,,,1610612742,31,19,2023-11-04T02:37:53Z,980000,False,,,0,,T. Hardaway Jr. lost ball TURNOVER (1 TO),"[203501, 202704]",1610612742.0,DAL,,,,,,,Mid-Range,16-24 Center,1.0,Hardaway Jr.,T. Hardaway Jr.,Jackson,202704.0,,,,,,,,,,,,,,,,,
100,PT03M40.00S,2023-11-04T02:37:47.0Z,1,REGULAR,steal,,[],202704,,,1610612743,31,19,2023-11-04T02:37:49Z,990000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Center,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,
101,PT03M36.00S,2023-11-04T02:37:50.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203484,91.40932982917214,51.225490196078425,1610612743,33,19,2023-11-04T02:37:59Z,1000000,False,6.0,28.0,1,right,K. Caldwell-Pope running Layup (8 PTS) (N. Jokic 3 AST),"[203484, 203999]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,,Caldwell-Pope,K. Caldwell-Pope,,,2.89,Made,8.0,N. Jokic,203999.0,3.0,,,,,,,,,,,
103,PT03M36.00S,2023-11-04T02:38:01.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,33,19,2023-11-04T02:38:01Z,1020000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M36.00S,2023-11-04T02:40:40.4Z,1,REGULAR,substitution,out,[],1629008,,,1610612742,33,19,2023-11-04T02:41:10Z,1030000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,
105,PT03M36.00S,2023-11-04T02:40:40.4Z,1,REGULAR,substitution,out,[],203932,,,1610612742,33,19,2023-11-04T02:41:10Z,1040000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
106,PT03M36.00S,2023-11-04T02:40:40.4Z,1,REGULAR,substitution,out,[],1629684,,,1610612742,33,19,2023-11-04T02:41:10Z,1050000,False,,,0,,SUB out: G. Williams,[1629684],1610612742.0,DAL,,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,
107,PT03M36.00S,2023-11-04T02:40:40.4Z,1,REGULAR,substitution,in,[],1631128,,,1610612742,33,19,2023-11-04T02:41:10Z,1060000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,
108,PT03M36.00S,2023-11-04T02:40:40.4Z,1,REGULAR,substitution,in,[],1631212,,,1610612742,33,19,2023-11-04T02:41:10Z,1070000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,
109,PT03M36.00S,2023-11-04T02:40:40.4Z,1,REGULAR,substitution,in,[],1630702,,,1610612742,33,19,2023-11-04T02:41:10Z,1080000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,,,,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,
110,PT03M21.00S,2023-11-04T02:41:35.7Z,1,REGULAR,2pt,Jump Shot,[],203501,4.812746386333772,76.7156862745098,1610612742,33,19,2023-11-04T02:41:39Z,1090000,False,-134.0,-7.0,1,left,MISS T. Hardaway Jr. 13' pullup Shot,[203501],1610612742.0,DAL,pullup,,,,,,Mid-Range,8-16 Left,,Hardaway Jr.,T. Hardaway Jr.,,,13.38,Missed,,,,,,,,,,,,,,,
111,PT03M18.00S,2023-11-04T02:41:38.7Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,33,19,2023-11-04T02:41:39Z,1100000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Left,,Braun,C. Braun,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,
112,PT03M06.00S,2023-11-04T02:41:49.8Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,33,19,2023-11-04T02:41:53Z,1110000,False,,,0,,N. Jokic lost ball TURNOVER (2 TO),"[203999, 1630182]",1610612743.0,DEN,,,,,,,Mid-Range,8-16 Center,2.0,Jokic,N. Jokic,Green,1630182.0,,,,,,,,,,,,,,,,,
113,PT03M06.00S,2023-11-04T02:41:49.8Z,1,REGULAR,steal,,[],1630182,,,1610612742,33,19,2023-11-04T02:41:51Z,1120000,False,,,0,,J. Green STEAL (2 STL),[1630182],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Center,,Green,J. Green,,,,,,,,,,,,,,,,,,,
114,PT02M59.00S,2023-11-04T02:41:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,9.411957950065702,2.941176470588235,1610612742,33,22,2023-11-04T02:42:02Z,1130000,False,235.0,36.0,1,left,T. Hardaway Jr. 3PT  (3 PTS) (J. Hardy 1 AST),"[203501, 1630702]",1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,Hardaway Jr.,T. Hardaway Jr.,,,23.8,Made,3.0,J. Hardy,1630702.0,1.0,,,,,,,,,,,
116,PT02M41.00S,2023-11-04T02:42:17.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203501,,,1610612743,33,22,2023-11-04T02:42:26Z,1150000,False,,,0,,T. Hardaway Jr. shooting personal FOUL (2 PF) (Watson 2 FT),"[203501, 1631212]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,204058.0,2.0,0.0,Watson,1631212.0,,
118,PT02M41.00S,2023-11-04T02:42:43.0Z,1,REGULAR,freethrow,1 of 2,[],1631212,,,1610612743,33,22,2023-11-04T02:42:43Z,1170000,False,,,0,,MISS P. Watson Free Throw 1 of 2,[1631212],1610612743.0,DEN,,,,,,,,,,Watson,P. Watson,,,,Missed,,,,,,,,,,,,,,,
119,PT02M41.00S,2023-11-04T02:42:43.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,33,22,2023-11-04T02:42:43Z,1180000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,
120,PT02M41.00S,2023-11-04T02:42:43.7Z,1,REGULAR,substitution,out,[],203484,,,1610612743,33,22,2023-11-04T02:43:02Z,1190000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,,,,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,
121,PT02M41.00S,2023-11-04T02:42:43.7Z,1,REGULAR,substitution,out,[],203999,,,1610612743,33,22,2023-11-04T02:43:02Z,1200000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,,,,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
122,PT02M41.00S,2023-11-04T02:42:43.7Z,1,REGULAR,substitution,out,[],203939,,,1610612743,33,22,2023-11-04T02:43:02Z,1210000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,
123,PT02M41.00S,2023-11-04T02:42:43.7Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,33,22,2023-11-04T02:43:02Z,1220000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,,,,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,
124,PT02M41.00S,2023-11-04T02:42:43.7Z,1,REGULAR,substitution,in,[],1627750,,,1610612743,33,22,2023-11-04T02:43:02Z,1230000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
125,PT02M41.00S,2023-11-04T02:42:43.7Z,1,REGULAR,substitution,in,[],1641726,,,1610612743,33,22,2023-11-04T02:43:02Z,1240000,False,,,0,,SUB in: D. Lively II,[1641726],1610612742.0,DAL,,,,,,,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,
126,PT02M41.00S,2023-11-04T02:43:03.3Z,1,REGULAR,freethrow,2 of 2,[],1631212,,,1610612743,34,22,2023-11-04T02:43:03Z,1250000,False,,,0,,P. Watson Free Throw 2 of 2 (1 PTS),[1631212],1610612743.0,DEN,,,,,,,,,,Watson,P. Watson,,,,Made,1.0,,,,,,,,,,,,,,
127,PT02M25.00S,2023-11-04T02:43:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,5.732588699080158,55.14705882352941,1610612742,34,24,2023-11-04T02:43:25Z,1260000,False,-26.0,1.0,1,left,J. Green cutting Layup (2 PTS) (K. Irving 2 AST),"[1630182, 202681]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,,Green,J. Green,,,2.57,Made,2.0,K. Irving,202681.0,2.0,,,,,,,,,,,
129,PT02M09.00S,2023-11-04T02:43:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,86.94152431011827,58.57843137254902,1610612743,34,24,2023-11-04T02:43:41Z,1280000,False,43.0,70.0,1,right,MISS R. Jackson 8' driving floating Shot,[202704],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,Jackson,R. Jackson,,,8.23,Missed,,,,,,,,,,,,,,,
130,PT02M07.00S,2023-11-04T02:43:37.8Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,34,24,2023-11-04T02:43:41Z,1290000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,129.0,1.0,1.0,0.0,,,,,,,
131,PT02M03.00S,2023-11-04T02:43:41.7Z,1,REGULAR,turnover,bad pass,[],203501,,,1610612742,34,24,2023-11-04T02:43:44Z,1300000,False,,,0,,T. Hardaway Jr. bad pass TURNOVER (2 TO),"[203501, 1627750]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Right,2.0,Hardaway Jr.,T. Hardaway Jr.,Murray,1627750.0,,,,,,,,,,,,,,,,,
132,PT02M03.00S,2023-11-04T02:43:41.7Z,1,REGULAR,steal,,[],1627750,,,1610612743,34,24,2023-11-04T02:43:43Z,1310000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Right,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
133,PT01M54.00S,2023-11-04T02:43:53.0Z,1,REGULAR,foul,offensive,[],1631128,,,1610612743,34,24,2023-11-04T02:44:17Z,1320000,False,,,0,,C. Braun charge offensive FOUL (1 PF),"[1631128, 1630702]",1610612743.0,DEN,charge,,,,,,In The Paint (Non-RA),0-8 Center,,Braun,C. Braun,,,,,,,,,,,,,1198.0,1.0,0.0,Hardy,1630702.0,,
135,PT01M54.00S,2023-11-04T02:43:53.0Z,1,REGULAR,turnover,offensive foul,[],1631128,,,1610612743,34,24,2023-11-04T02:43:53Z,1340000,False,,,0,,C. Braun offensive foul TURNOVER (1 TO),[1631128],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,1.0,Braun,C. Braun,,,,,,,,,,,,,1198.0,,,,,,
136,PT01M39.00S,2023-11-04T02:44:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,32.670827858081466,30.88235294117647,1610612742,34,24,2023-11-04T02:44:45Z,1350000,False,96.0,255.0,1,left,MISS T. Hardaway Jr. 27' step back 3PT,[203501],1610612742.0,DAL,step back,,,,,,Above the Break 3,24+ Right Center,,Hardaway Jr.,T. Hardaway Jr.,,,27.2,Missed,,,,,,,,,,,,,,,
137,PT01M36.00S,2023-11-04T02:44:42.0Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,34,24,2023-11-04T02:44:45Z,1360000,False,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,Nnaji,Z. Nnaji,,,,,,,,,136.0,1.0,1.0,0.0,,,,,,,
138,PT01M20.00S,2023-11-04T02:44:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,92.06636005256242,58.57843137254902,1610612743,36,24,2023-11-04T02:45:03Z,1370000,False,43.0,22.0,1,right,J. Murray driving finger roll Layup (5 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,,Murray,J. Murray,,,4.83,Made,5.0,,,,,,,,,,,,,,
139,PT01M02.00S,2023-11-04T02:45:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630702,11.514454664914586,51.225490196078425,1610612742,36,24,2023-11-04T02:45:20Z,1380000,False,-6.0,56.0,1,left,MISS J. Hardy driving floating Shot,[1630702],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Hardy,J. Hardy,,,5.6,Missed,,,,,,,,,,,,,,,
140,PT00M59.00S,2023-11-04T02:45:19.3Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,36,24,2023-11-04T02:45:20Z,1390000,False,,,0,,Z. Nnaji REBOUND (Off:0 Def:2),[1630192],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,Nnaji,Z. Nnaji,,,,,,,,,139.0,2.0,2.0,0.0,,,,,,,
141,PT00M46.30S,2023-11-04T02:45:32.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,91.5407358738502,25.735294117647058,1610612743,36,24,2023-11-04T02:45:38Z,1400000,False,-121.0,27.0,1,right,MISS J. Murray 12' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,Murray,J. Murray,,,12.43,Missed,,,,,,,,,,,,,,,
142,PT00M45.50S,2023-11-04T02:45:35.7Z,1,REGULAR,rebound,offensive,[],1630192,,,1610612743,36,24,2023-11-04T02:45:35Z,1410000,False,,,0,,Z. Nnaji REBOUND (Off:1 Def:2),[1630192],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Left,,Nnaji,Z. Nnaji,,,,,,,,,141.0,3.0,2.0,1.0,,,,,,,
143,PT00M45.50S,2023-11-04T02:45:35.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630192,94.40999984741211,50.0,1610612743,38,24,2023-11-04T02:45:35Z,1420000,False,0.0,0.0,1,right,Z. Nnaji tip Layup (2 PTS),[1630192],1610612743.0,DEN,tip,,,,,,Mid-Range,8-16 Left,,Nnaji,Z. Nnaji,,,0.0,Made,2.0,,,,,,,,,,,,,,
144,PT00M30.60S,2023-11-04T02:45:50.4Z,1,REGULAR,3pt,Jump Shot,[],203501,28.33442838370565,24.264705882352942,1610612742,38,24,2023-11-04T02:45:58Z,1430000,False,129.0,214.0,1,left,MISS T. Hardaway Jr. 24' 3PT,[203501],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,Hardaway Jr.,T. Hardaway Jr.,,,24.95,Missed,,,,,,,,,,,,,,,
145,PT00M29.20S,2023-11-04T02:45:51.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,38,24,2023-11-04T02:45:58Z,1440000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,144.0,,,,,,,,,,
147,PT00M29.20S,2023-11-04T02:46:13.1Z,1,REGULAR,substitution,out,[],1630702,,,1610612743,38,24,2023-11-04T02:46:17Z,1460000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,,,,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,
148,PT00M29.20S,2023-11-04T02:46:13.1Z,1,REGULAR,substitution,in,[],1627884,,,1610612743,38,24,2023-11-04T02:46:17Z,1470000,False,,,0,,SUB in: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,,,,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,
149,PT00M09.60S,2023-11-04T02:46:47.3Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,38,24,2023-11-04T02:46:51Z,1480000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1627884]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,1.0,Murray,J. Murray,Jones Jr.,1627884.0,,,,,,,,,,,,,,,,,
150,PT00M09.60S,2023-11-04T02:46:47.3Z,1,REGULAR,steal,,[],1627884,,,1610612742,38,24,2023-11-04T02:46:48Z,1490000,False,,,0,,D. Jones Jr. STEAL (2 STL),[1627884],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,
151,PT00M05.70S,2023-11-04T02:46:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630182,7.178055190538765,53.67647058823529,1610612742,38,24,2023-11-04T02:46:56Z,1500000,False,-18.0,15.0,1,left,MISS J. Green running Layup - blocked,"[1630182, 1631212]",1610612742.0,DAL,running,,,,,,Restricted Area,0-8 Center,,Green,J. Green,,,2.37,Missed,,,,,,,,,,,,,,Watson,1631212.0
152,PT00M05.70S,2023-11-04T02:46:51.1Z,1,REGULAR,block,,[],1631212,,,1610612742,38,24,2023-11-04T02:46:53Z,1510000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,
153,PT00M03.10S,2023-11-04T02:46:53.7Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,38,24,2023-11-04T02:46:56Z,1520000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Braun,C. Braun,,,,,,,,,151.0,2.0,2.0,0.0,,,,,,,
154,PT00M00.90S,2023-11-04T02:46:57.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641726,,,1610612743,38,24,2023-11-04T02:47:08Z,1530000,False,,,0,,D. Lively II shooting personal FOUL (1 PF) (Braun 2 FT),"[1641726, 1631128]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,Lively II,D. Lively II,,,,,,,,,,,,,1198.0,1.0,0.0,Braun,1631128.0,,
156,PT00M00.90S,2023-11-04T02:47:26.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631128,,,1610612743,39,24,2023-11-04T02:47:26Z,1550000,False,,,0,,C. Braun Free Throw 1 of 2 (1 PTS),[1631128],1610612743.0,DEN,,,,,,,,,,Braun,C. Braun,,,,Made,1.0,,,,,,,,,,,,,,
157,PT00M00.90S,2023-11-04T02:47:47.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631128,,,1610612743,40,24,2023-11-04T02:47:47Z,1560000,False,,,0,,C. Braun Free Throw 2 of 2 (2 PTS),[1631128],1610612743.0,DEN,,,,,,,,,,Braun,C. Braun,,,,Made,2.0,,,,,,,,,,,,,,
158,PT00M00.00S,2023-11-04T02:47:54.3Z,1,REGULAR,period,end,[],0,,,1610612742,40,24,2023-11-04T02:47:54Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-11-04T02:50:51.5Z,2,REGULAR,substitution,out,['startperiod'],203501,,,1610612742,40,24,2023-11-04T02:51:11Z,1580000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-11-04T02:50:51.5Z,2,REGULAR,substitution,out,['startperiod'],202681,,,1610612742,40,24,2023-11-04T02:51:11Z,1590000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-11-04T02:50:51.5Z,2,REGULAR,substitution,in,['startperiod'],1629029,,,1610612742,40,24,2023-11-04T02:51:11Z,1610000,False,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-11-04T02:50:51.5Z,2,REGULAR,substitution,in,['startperiod'],203552,,,1610612742,40,24,2023-11-04T02:51:45Z,1615000,False,,,0,,SUB in: S. Curry,[203552],1610612742.0,DAL,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-11-04T02:51:29.1Z,2,REGULAR,period,start,[],0,,,1610612742,40,24,2023-11-04T02:51:29Z,1620000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M46.00S,2023-11-04T02:51:47.8Z,2,REGULAR,foul,personal,['2freethrow'],1631128,,,1610612742,40,24,2023-11-04T02:51:59Z,1630000,False,,,0,,C. Braun shooting personal FOUL (2 PF) (Doncic 2 FT),"[1631128, 1629029]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Braun,C. Braun,,,,,,,,,,,,,1198.0,2.0,0.0,Doncic,1629029.0,,
167,PT11M46.00S,2023-11-04T02:52:09.6Z,2,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,40,25,2023-11-04T02:52:09Z,1650000,False,,,0,,L. Doncic Free Throw 1 of 2 (6 PTS),[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,Made,6.0,,,,,,,,,,,,,,
168,PT11M46.00S,2023-11-04T02:52:25.2Z,2,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,40,26,2023-11-04T02:52:25Z,1660000,False,,,0,,L. Doncic Free Throw 2 of 2 (7 PTS),[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,Made,7.0,,,,,,,,,,,,,,
169,PT11M34.00S,2023-11-04T02:52:39.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630192,92.72339027595268,55.392156862745104,1610612743,42,26,2023-11-04T02:53:17Z,1670000,False,27.0,16.0,1,right,Z. Nnaji cutting Layup (4 PTS) (J. Murray 3 AST),"[1630192, 1627750]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,,Nnaji,Z. Nnaji,,,3.13,Made,4.0,J. Murray,1627750.0,3.0,,,,,,,,,,,
171,PT11M34.00S,2023-11-04T02:52:41.3Z,2,REGULAR,foul,personal,['1freethrow'],1641726,,,1610612743,42,26,2023-11-04T02:52:50Z,1690000,False,,,0,,D. Lively II shooting personal FOUL (2 PF) (Nnaji 1 FT),"[1641726, 1630192]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,Lively II,D. Lively II,,,,,,,,,,,,,1198.0,2.0,0.0,Nnaji,1630192.0,,
