actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
87,PT04M13.00S,2024-03-31T19:57:46.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,5.338370565045992,49.50980392156863,1610612739,18,21,2024-03-31T19:57:51Z,870000,False,2.0,-2.0,1,left,J. Allen alley-oop DUNK (6 PTS) (G. Niang 1 AST),"[1628386, 1627777]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.34,Made,6.0,,,,,,,G. Niang,1627777.0,1.0,,,,,,,,
89,PT03M50.00S,2024-03-31T19:58:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,90.88370565045992,46.07843137254902,1610612743,18,21,2024-03-31T19:59:18Z,890000,False,-20.0,33.0,1,right,MISS N. Jokic floating Shot,[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.86,Missed,,,,,,,,,,,,,,,,,,
90,PT03M46.00S,2024-03-31T19:58:13.0Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,18,21,2024-03-31T19:58:17Z,900000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,89.0,,,,2.0,1.0,1.0,,,,,
91,PT03M46.00S,2024-03-31T19:58:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,94.40999984741211,50.0,1610612743,20,21,2024-03-31T19:58:12Z,910000,False,0.0,0.0,1,right,A. Gordon tip Layup (3 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,0.0,Made,3.0,,,,,,,,,,,,,,,,,
92,PT03M36.00S,2024-03-31T19:58:22.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.09395532194481,65.19607843137256,1610612739,20,21,2024-03-31T19:58:29Z,920000,False,-76.0,240.0,1,left,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,25.16,Missed,,,,,,,,,,,,,,,,,,
93,PT03M34.00S,2024-03-31T19:58:24.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,20,21,2024-03-31T19:58:29Z,930000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,92.0,,,,3.0,3.0,0.0,,,,,
94,PT03M21.00S,2024-03-31T19:58:38.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,91.01511169513797,46.568627450980394,1610612743,22,21,2024-03-31T19:58:43Z,940000,False,-17.0,32.0,1,right,N. Jokic turnaround Hook (5 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.63,Made,5.0,,,,,,,,,,,,,,,,,
95,PT02M57.00S,2024-03-31T19:59:02.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,7.30946123521682,52.20588235294118,1610612739,22,21,2024-03-31T19:59:05Z,950000,False,-11.0,16.0,1,left,MISS J. Allen driving Hook,[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.96,Missed,,,,,,,,,,,,,,,,,,
96,PT02M56.00S,2024-03-31T19:59:03.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,22,21,2024-03-31T19:59:05Z,960000,False,,,0,,N. Jokic REBOUND (Off:1 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,95.0,,,,5.0,4.0,1.0,,,,,
97,PT02M47.00S,2024-03-31T19:59:14.6Z,1,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612743,22,21,2024-03-31T19:59:33Z,970000,False,,,0,,G. Niang shooting personal FOUL (1 PF) (Jokic 2 FT),"[1627777, 203999]",1610612739.0,CLE,shooting,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,,,1162.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,
99,PT02M47.00S,2024-03-31T19:59:58.9Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,22,21,2024-03-31T19:59:58Z,990000,False,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
100,PT02M47.00S,2024-03-31T19:59:58.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,22,21,2024-03-31T19:59:58Z,1000000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,
101,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,22,21,2024-03-31T20:00:16Z,1010000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,out,[],203932,,,1610612743,22,21,2024-03-31T20:00:16Z,1020000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,out,[],1629622,,,1610612743,22,21,2024-03-31T20:00:16Z,1030000,False,,,0,,SUB out: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,out,[],1628386,,,1610612743,22,21,2024-03-31T20:00:16Z,1040000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,out,[],1628378,,,1610612743,22,21,2024-03-31T20:00:16Z,1050000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,in,[],1631212,,,1610612743,22,21,2024-03-31T20:00:16Z,1060000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,in,[],203200,,,1610612743,22,21,2024-03-31T20:00:16Z,1070000,False,,,0,,SUB in: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,in,[],1630596,,,1610612743,22,21,2024-03-31T20:00:16Z,1080000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,in,[],1630241,,,1610612743,22,21,2024-03-31T20:00:16Z,1090000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M47.00S,2024-03-31T19:59:59.8Z,1,REGULAR,substitution,in,[],1629636,,,1610612743,22,21,2024-03-31T20:00:16Z,1100000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M47.00S,2024-03-31T20:00:21.1Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,23,21,2024-03-31T20:00:21Z,1110000,False,,,0,,N. Jokic Free Throw 2 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
112,PT02M31.00S,2024-03-31T20:00:38.5Z,1,REGULAR,2pt,Jump Shot,[],1627777,13.354139290407357,32.59803921568628,1610612739,23,23,2024-03-31T20:00:43Z,1120000,False,87.0,73.0,1,left,G. Niang 11' driving floating bank Jump Shot (2 PTS) (D. Garland 2 AST),"[1627777, 1629636]",1610612739.0,CLE,driving floating bank,,,Niang,G. Niang,,,,,Mid-Range,8-16 Right,11.36,Made,2.0,,,,,,,D. Garland,1629636.0,2.0,,,,,,,,
114,PT02M16.00S,2024-03-31T20:00:56.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627777,,,1610612743,23,23,2024-03-31T20:01:01Z,1140000,False,,,0,,G. Niang shooting personal FOUL (2 PF) (Jokic 2 FT),"[1627777, 203999]",1610612739.0,CLE,shooting,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,1204.0,2.0,0.0,Jokic,203999.0,,,,,,,,,,,,
116,PT02M16.00S,2024-03-31T20:01:23.0Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,24,23,2024-03-31T20:01:23Z,1160000,False,,,0,,N. Jokic Free Throw 1 of 2 (7 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
117,PT02M16.00S,2024-03-31T20:01:23.8Z,1,REGULAR,substitution,out,[],203484,,,1610612743,24,23,2024-03-31T20:01:26Z,1170000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M16.00S,2024-03-31T20:01:23.8Z,1,REGULAR,substitution,in,[],202704,,,1610612743,24,23,2024-03-31T20:01:26Z,1180000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M16.00S,2024-03-31T20:01:44.2Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,24,23,2024-03-31T20:01:44Z,1190000,False,,,0,,MISS N. Jokic Free Throw 2 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
120,PT02M14.00S,2024-03-31T20:01:44.9Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,24,23,2024-03-31T20:01:44Z,1200000,False,,,0,,G. Niang REBOUND (Off:0 Def:2),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,119.0,,,,2.0,2.0,0.0,,,,,
121,PT02M02.00S,2024-03-31T20:01:57.1Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,24,23,2024-03-31T20:02:06Z,1210000,False,,,0,,D. Garland bad pass out-of-bounds TURNOVER (2 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right Center,,,,1204.0,,,,,,,,,,,,2.0,,,,
122,PT01M42.00S,2024-03-31T20:02:27.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202704,92.06636005256242,96.07843137254902,1610612743,27,23,2024-03-31T20:02:31Z,1220000,False,230.0,22.0,1,right,R. Jackson 3PT  (5 PTS) (N. Jokic 4 AST),"[202704, 203999]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Right Corner 3,24+ Right,23.15,Made,5.0,,,,,,,N. Jokic,203999.0,4.0,,,,,,,,
146,PT01M34.00S,2024-03-31T20:02:50.9Z,1,REGULAR,3pt,Jump Shot,[],1630241,23.866622864651774,12.254901960784313,1610612739,27,23,2024-03-31T20:08:43Z,1250000,False,189.0,172.0,1,left,MISS S. Merrill 25' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,25.52,Missed,,,,,,,,,,,,,,,,,,
147,PT01M34.00S,2024-03-31T20:02:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,27,23,2024-03-31T20:08:43Z,1260000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,146.0,,,,,,,,,,,
153,PT01M34.00S,2024-03-31T20:03:02.7Z,1,REGULAR,timeout,challenge,['team'],0,,,1610612739,27,23,2024-03-31T20:08:53Z,1265000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M32.00S,2024-03-31T20:05:59.8Z,1,REGULAR,jumpball,recovered,[],1627747,,,1610612739,27,23,2024-03-31T20:05:59Z,1280000,False,,,0,,Jump Ball E. Mobley vs. N. Jokic: Tip to C. LeVert,"[1627747, 1630596, 203999]",1610612739.0,CLE,challenge,C. LeVert,1627747.0,LeVert,C. LeVert,Mobley,1630596.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
131,PT01M21.00S,2024-03-31T20:06:10.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630241,32.670827858081466,49.26470588235294,1610612739,27,23,2024-03-31T20:07:53Z,1310000,False,4.0,255.0,1,left,MISS S. Merrill 25' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,25.46,Missed,,,,,,,,,,,,,,,,,,
132,PT01M18.00S,2024-03-31T20:06:13.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,27,23,2024-03-31T20:06:16Z,1320000,False,,,0,,N. Jokic REBOUND (Off:1 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,,131.0,,,,6.0,5.0,1.0,,,,,
133,PT01M06.00S,2024-03-31T20:06:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203200,92.85479632063075,52.20588235294118,1610612743,27,23,2024-03-31T20:06:31Z,1330000,False,11.0,15.0,1,right,MISS J. Holiday Layup,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
134,PT01M03.00S,2024-03-31T20:06:29.5Z,1,REGULAR,rebound,offensive,[],203200,,,1610612743,27,23,2024-03-31T20:06:31Z,1340000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,133.0,,,,1.0,0.0,1.0,,,,,
135,PT01M03.00S,2024-03-31T20:06:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203200,94.40999984741211,50.0,1610612743,29,23,2024-03-31T20:06:28Z,1350000,False,0.0,0.0,1,right,J. Holiday tip Layup (2 PTS),[203200],1610612743.0,DEN,tip,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
136,PT00M44.60S,2024-03-31T20:06:51.0Z,1,REGULAR,foul,personal,['2freethrow'],1631128,,,1610612739,29,23,2024-03-31T20:06:58Z,1360000,False,,,0,,C. Braun shooting personal FOUL (1 PF) (Garland 2 FT),"[1631128, 1629636]",1610612743.0,DEN,shooting,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,1204.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,
138,PT00M44.60S,2024-03-31T20:07:15.2Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,29,24,2024-03-31T20:07:15Z,1380000,False,,,0,,D. Garland Free Throw 1 of 2 (3 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
139,PT00M44.60S,2024-03-31T20:07:30.9Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,29,24,2024-03-31T20:07:30Z,1390000,False,,,0,,MISS D. Garland Free Throw 2 of 2,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
140,PT00M43.30S,2024-03-31T20:07:31.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,29,24,2024-03-31T20:07:31Z,1400000,False,,,0,,N. Jokic REBOUND (Off:1 Def:6),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,139.0,,,,7.0,6.0,1.0,,,,,
141,PT00M31.40S,2024-03-31T20:07:43.4Z,1,REGULAR,turnover,lost ball,[],1631128,,,1610612743,29,24,2024-03-31T20:10:25Z,1410000,False,,,0,,C. Braun lost ball TURNOVER (1 TO),"[1631128, 1627747]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,LeVert,1627747.0,,
142,PT00M31.40S,2024-03-31T20:07:43.4Z,1,REGULAR,steal,,[],1627747,,,1610612739,29,24,2024-03-31T20:07:44Z,1420000,False,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
143,PT00M25.60S,2024-03-31T20:07:49.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627777,6.521024967148489,52.69607843137255,1610612739,29,24,2024-03-31T20:10:21Z,1430000,False,-13.0,9.0,1,left,MISS G. Niang running alley-oop Layup - blocked,"[1627777, 1631212]",1610612739.0,CLE,running alley-oop,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,Watson,1631212.0
144,PT00M25.60S,2024-03-31T20:07:49.0Z,1,REGULAR,block,,[],1631212,,,1610612739,29,24,2024-03-31T20:07:50Z,1440000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
145,PT00M23.10S,2024-03-31T20:07:51.5Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,29,24,2024-03-31T20:08:07Z,1450000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,143.0,,,,1.0,0.0,1.0,,,,,
149,PT00M22.00S,2024-03-31T20:07:55.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,10.200394218134035,46.81372549019608,1610612739,29,26,2024-03-31T20:08:11Z,1470000,False,16.0,43.0,1,left,E. Mobley Hook (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,5.0,,,,,,,,,,,,,,,,,
150,PT00M03.00S,2024-03-31T20:08:15.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630241,,,1610612743,29,26,2024-03-31T20:08:29Z,1480000,False,,,0,,S. Merrill shooting personal FOUL (1 PF) (Watson 2 FT),"[1630241, 1631212]",1610612739.0,CLE,shooting,,,Merrill,S. Merrill,,,,,Restricted Area,0-8 Center,,,,1204.0,1.0,0.0,Watson,1631212.0,,,,,,,,,,,,
152,PT00M03.00S,2024-03-31T20:08:38.7Z,1,REGULAR,freethrow,1 of 2,[],1631212,,,1610612743,30,26,2024-03-31T20:08:38Z,1500000,False,,,0,,P. Watson Free Throw 1 of 2 (1 PTS),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
154,PT00M03.00S,2024-03-31T20:08:38.7Z,1,REGULAR,freethrow,2 of 2,[],1631212,,,1610612743,30,26,2024-03-31T20:09:05Z,1510000,False,,,0,,MISS P. Watson Free Throw 2 of 2,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
155,PT00M01.90S,2024-03-31T20:08:39.8Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,30,26,2024-03-31T20:09:05Z,1520000,False,,,0,,G. Niang REBOUND (Off:0 Def:3),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,154.0,,,,3.0,3.0,0.0,,,,,
156,PT00M00.80S,2024-03-31T20:09:01.9Z,1,REGULAR,turnover,out-of-bounds,[],1627777,,,1610612739,30,26,2024-03-31T20:09:12Z,1530000,False,,,0,,G. Niang bad pass out-of-bounds TURNOVER (1 TO),[1627777],1610612739.0,CLE,bad pass,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Left,,,,200833.0,,,,,,,,,,,,1.0,,,,
157,PT00M00.20S,2024-03-31T20:09:16.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,62.5,32.84313725490196,1610612743,30,26,2024-03-31T20:09:24Z,1540000,False,-86.0,300.0,1,right,MISS N. Jokic 31' fadeaway 3PT,[203999],1610612743.0,DEN,fadeaway,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,31.2,Missed,,,,,,,,,,,,,,,,,,
158,PT00M00.10S,2024-03-31T20:09:16.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,30,26,2024-03-31T20:09:24Z,1550000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,157.0,,,,,,,,,,,
159,PT00M00.00S,2024-03-31T20:09:29.9Z,1,REGULAR,period,end,[],0,,,1610612743,30,26,2024-03-31T20:09:30Z,1560000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2024-03-31T20:11:47.0Z,2,REGULAR,substitution,out,['startperiod'],1631128,,,1610612743,30,26,2024-03-31T20:12:11Z,1570000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2024-03-31T20:11:47.0Z,2,REGULAR,substitution,out,['startperiod'],203999,,,1610612743,30,26,2024-03-31T20:12:11Z,1580000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2024-03-31T20:11:47.0Z,2,REGULAR,substitution,in,['startperiod'],1629008,,,1610612743,30,26,2024-03-31T20:12:11Z,1590000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-03-31T20:11:47.0Z,2,REGULAR,substitution,in,['startperiod'],201599,,,1610612743,30,26,2024-03-31T20:12:11Z,1600000,False,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-03-31T20:12:02.1Z,2,REGULAR,period,start,[],0,,,1610612743,30,26,2024-03-31T20:12:11Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M44.00S,2024-03-31T20:12:22.2Z,2,REGULAR,foul,offensive,[],201599,,,1610612743,30,26,2024-03-31T20:12:55Z,1630000,False,,,0,,D. Jordan offensive FOUL (1 PF),"[201599, 1629636]",1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Mid-Range,16-24 Left Center,,,,1162.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,
168,PT11M44.00S,2024-03-31T20:12:22.2Z,2,REGULAR,turnover,offensive foul,[],201599,,,1610612743,30,26,2024-03-31T20:12:22Z,1650000,False,,,0,,D. Jordan offensive foul TURNOVER (1 TO),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Mid-Range,16-24 Left Center,,,,1162.0,,,,,,,,,,,,1.0,,,,
169,PT11M21.00S,2024-03-31T20:12:51.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627777,13.485545335085414,34.80392156862745,1610612739,30,26,2024-03-31T20:12:58Z,1660000,False,76.0,74.0,1,left,MISS G. Niang 10' driving floating bank Shot,[1627777],1610612739.0,CLE,driving floating bank,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Right,10.63,Missed,,,,,,,,,,,,,,,,,,
170,PT11M17.00S,2024-03-31T20:12:54.3Z,2,REGULAR,rebound,offensive,[],1627777,,,1610612739,30,26,2024-03-31T20:12:54Z,1670000,False,,,0,,G. Niang REBOUND (Off:1 Def:3),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,169.0,,,,4.0,3.0,1.0,,,,,
171,PT11M17.00S,2024-03-31T20:12:54.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627777,5.590000152587891,50.0,1610612739,30,28,2024-03-31T20:12:54Z,1680000,False,0.0,0.0,1,left,G. Niang tip Layup (4 PTS),[1627777],1610612739.0,CLE,tip,,,Niang,G. Niang,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
172,PT10M55.00S,2024-03-31T20:13:16.2Z,2,REGULAR,2pt,Jump Shot,[],202704,77.21747700394218,53.18627450980392,1610612743,30,28,2024-03-31T20:13:21Z,1690000,False,16.0,162.0,1,right,MISS R. Jackson 16' step back Shot,[202704],1610612743.0,DEN,step back,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Center,16.25,Missed,,,,,,,,,,,,,,,,,,
173,PT10M52.00S,2024-03-31T20:13:19.2Z,2,REGULAR,rebound,defensive,[],1629636,,,1610612739,30,28,2024-03-31T20:13:21Z,1700000,False,,,0,,D. Garland REBOUND (Off:0 Def:2),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,,,,,,,,,172.0,,,,2.0,2.0,0.0,,,,,
174,PT10M47.00S,2024-03-31T20:13:24.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630241,20.18725361366623,90.44117647058823,1610612739,30,28,2024-03-31T20:15:06Z,1710000,False,-202.0,137.0,1,left,MISS S. Merrill 24' running 3PT,[1630241],1610612739.0,CLE,running,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,24.44,Missed,,,,,,,,,,,,,,,,,,
175,PT10M44.00S,2024-03-31T20:13:27.8Z,2,REGULAR,rebound,defensive,[],201599,,,1610612743,30,28,2024-03-31T20:13:31Z,1720000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,174.0,,,,1.0,1.0,0.0,,,,,
