actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
84,PT04M44.00S,2023-03-07T02:25:14.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,8.492115637319317,39.705882352941174,1610612761,15,20,2023-03-07T02:25:21Z,810000,False,51.0,27.0,1,left,MISS P. Siakam turnaround Shot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,,,,,,,,,,,,,,,,,
85,PT04M44.00S,2023-03-07T02:25:17.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,15,20,2023-03-07T02:25:17Z,820000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,,,,,84.0,3.0,2.0,1.0,,,,,,,,,,,
86,PT04M44.00S,2023-03-07T02:25:17.5Z,1,REGULAR,foul,personal,[],1628971,,,1610612761,15,20,2023-03-07T02:25:43Z,830000,False,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 1627751]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,202007.0,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,
88,PT04M44.00S,2023-03-07T02:25:27.1Z,1,REGULAR,substitution,out,[],203932,,,1610612761,15,20,2023-03-07T02:25:44Z,850000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M44.00S,2023-03-07T02:25:27.1Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,15,20,2023-03-07T02:25:44Z,860000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M44.00S,2023-03-07T02:25:27.1Z,1,REGULAR,substitution,in,[],201145,,,1610612761,15,20,2023-03-07T02:25:44Z,870000,False,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M44.00S,2023-03-07T02:25:27.1Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,15,20,2023-03-07T02:25:44Z,880000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M37.00S,2023-03-07T02:25:50.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,27.677398160315374,18.137254901960784,1610612761,15,23,2023-03-07T02:25:55Z,890000,False,159.0,208.0,1,left,F. VanVleet 26' 3PT pullup (5 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,Above the Break 3,24+ Right Center,26.18,Made,,,,,,,5.0,,,,,,,,,,
93,PT04M24.00S,2023-03-07T02:26:02.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,66.5735873850197,57.59803921568627,1610612743,18,23,2023-03-07T02:26:06Z,900000,False,38.0,262.0,1,right,M. Porter Jr. 26' 3PT  (5 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Center,26.44,Made,,,,,,,5.0,J. Murray,1627750.0,1.0,,,,,,,
95,PT04M06.00S,2023-03-07T02:26:21.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630173,7.440867279894875,62.745098039215684,1610612761,18,25,2023-03-07T02:26:24Z,920000,False,-64.0,17.0,1,left,P. Achiuwa 6' Hook (2 PTS) (F. VanVleet 4 AST),"[1630173, 1627832]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,In The Paint (Non-RA),0-8 Center,6.6,Made,,,,,,,2.0,F. VanVleet,1627832.0,4.0,,,,,,,
97,PT03M51.00S,2023-03-07T02:26:35.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,76.5604467805519,11.519607843137255,1610612743,18,25,2023-03-07T02:26:41Z,940000,False,-192.0,168.0,1,right,MISS M. Porter Jr. 25' pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Left Center,25.53,Missed,,,,,,,,,,,,,,,,,
98,PT03M48.00S,2023-03-07T02:26:38.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,18,25,2023-03-07T02:26:41Z,950000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,Above the Break 3,24+ Left Center,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,,
99,PT03M41.00S,2023-03-07T02:26:49.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629008,,,1610612761,18,25,2023-03-07T02:27:00Z,960000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1629008, 1628384]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,1628480.0,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,0.0,Anunoby,1628384.0,,,
101,PT03M41.00S,2023-03-07T02:27:12.3Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612761,18,26,2023-03-07T02:27:12Z,980000,False,,,0,,O. Anunoby Free Throw 1 of 2 (3 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
102,PT03M41.00S,2023-03-07T02:27:23.4Z,1,REGULAR,substitution,out,[],1627750,,,1610612761,18,26,2023-03-07T02:27:39Z,990000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M41.00S,2023-03-07T02:27:23.4Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,18,26,2023-03-07T02:27:39Z,1000000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M41.00S,2023-03-07T02:27:23.4Z,1,REGULAR,substitution,in,[],202704,,,1610612761,18,26,2023-03-07T02:27:39Z,1010000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M41.00S,2023-03-07T02:27:23.4Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,18,26,2023-03-07T02:27:39Z,1020000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M41.00S,2023-03-07T02:27:43.2Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612761,18,26,2023-03-07T02:27:43Z,1030000,False,,,0,,MISS O. Anunoby Free Throw 2 of 2,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
107,PT03M39.00S,2023-03-07T02:27:43.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,26,2023-03-07T02:27:43Z,1040000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,106.0,2.0,1.0,1.0,,,,,,,,,,,
108,PT03M24.00S,2023-03-07T02:27:59.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201145,93.38042049934296,48.77450980392157,1610612743,20,26,2023-03-07T02:28:05Z,1050000,False,-6.0,10.0,1,right,J. Green driving DUNK (2 PTS) (R. Jackson 1 AST),"[201145, 202704]",1610612743.0,DEN,driving,,,Green,J. Green,,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,2.0,R. Jackson,202704.0,1.0,,,,,,,
110,PT03M11.00S,2023-03-07T02:28:11.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,31.882391590013142,65.19607843137256,1610612761,20,26,2023-03-07T02:28:14Z,1070000,False,-76.0,247.0,1,left,MISS O. Anunoby 25' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Above the Break 3,24+ Center,25.86,Missed,,,,,,,,,,,,,,,,,
111,PT03M09.00S,2023-03-07T02:28:13.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,20,26,2023-03-07T02:28:14Z,1080000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Center,,,,,110.0,2.0,2.0,0.0,,,,,,,,,,,
112,PT03M01.00S,2023-03-07T02:28:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,92.46057818659659,38.23529411764706,1610612743,20,26,2023-03-07T02:30:23Z,1090000,False,-59.0,18.0,1,right,MISS R. Jackson 6' driving Layup,[202704],1610612743.0,DEN,driving,,,Jackson,R. Jackson,,,,,,In The Paint (Non-RA),0-8 Center,6.16,Missed,,,,,,,,,,,,,,,,,
113,PT02M59.00S,2023-03-07T02:28:24.4Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,20,26,2023-03-07T02:38:54Z,1100000,False,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,In The Paint (Non-RA),0-8 Center,,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,
114,PT02M56.00S,2023-03-07T02:28:28.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201145,,,1610612761,20,26,2023-03-07T02:28:41Z,1110000,False,,,0,,J. Green shooting personal FOUL (1 PF) (VanVleet 2 FT),"[201145, 1627832]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,1628480.0,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,0.0,VanVleet,1627832.0,,,
116,PT02M56.00S,2023-03-07T02:28:44.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,20,26,2023-03-07T02:28:44Z,1130000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M56.00S,2023-03-07T02:30:55.9Z,1,REGULAR,substitution,out,[],1629008,,,1610612761,20,26,2023-03-07T02:31:14Z,1140000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M56.00S,2023-03-07T02:30:55.9Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,20,26,2023-03-07T02:31:14Z,1150000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M56.00S,2023-03-07T02:30:55.9Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,20,26,2023-03-07T02:31:14Z,1160000,False,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M56.00S,2023-03-07T02:30:55.9Z,1,REGULAR,substitution,in,[],203484,,,1610612761,20,26,2023-03-07T02:31:14Z,1170000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M56.00S,2023-03-07T02:30:55.9Z,1,REGULAR,substitution,in,[],1629018,,,1610612761,20,26,2023-03-07T02:31:14Z,1180000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M56.00S,2023-03-07T02:30:55.9Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,20,26,2023-03-07T02:31:14Z,1190000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M56.00S,2023-03-07T02:31:28.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627832,,,1610612761,20,27,2023-03-07T02:31:28Z,1200000,False,,,0,,F. VanVleet Free Throw 1 of 2 (6 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,
124,PT02M56.00S,2023-03-07T02:31:41.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627832,,,1610612761,20,28,2023-03-07T02:31:41Z,1210000,False,,,0,,F. VanVleet Free Throw 2 of 2 (7 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
125,PT02M32.00S,2023-03-07T02:32:07.4Z,1,REGULAR,3pt,Jump Shot,[],203999,66.04796320630749,31.61764705882353,1610612743,23,28,2023-03-07T02:32:14Z,1220000,False,-92.0,267.0,1,right,N. Jokic 28' 3PT fadeaway (5 PTS) (R. Jackson 2 AST),"[203999, 202704]",1610612743.0,DEN,fadeaway,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Left Center,28.2,Made,,,,,,,5.0,R. Jackson,202704.0,2.0,,,,,,,
127,PT02M15.00S,2023-03-07T02:32:24.2Z,1,REGULAR,3pt,Jump Shot,[],1628449,8.229303547963205,97.05882352941177,1610612761,23,28,2023-03-07T02:32:27Z,1240000,False,-235.0,25.0,1,left,MISS C. Boucher 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,
128,PT02M13.00S,2023-03-07T02:32:26.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,23,28,2023-03-07T02:32:27Z,1250000,False,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Left Corner 3,24+ Left,,,,,127.0,3.0,2.0,1.0,,,,,,,,,,,
129,PT02M07.00S,2023-03-07T02:32:32.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203484,93.51182654402102,54.65686274509803,1610612743,25,28,2023-03-07T02:37:53Z,1260000,False,23.0,8.0,1,right,K. Caldwell-Pope running finger roll Layup (2 PTS) (N. Jokic 2 AST),"[203484, 203999]",1610612743.0,DEN,running finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,,,2.0,N. Jokic,203999.0,2.0,,,,,,,
131,PT01M54.00S,2023-03-07T02:32:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,15.982260183968464,36.76470588235294,1610612761,25,30,2023-03-07T02:38:12Z,1280000,False,66.0,98.0,1,left,G. Trent Jr. 11' driving floating Jump Shot (2 PTS),[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,,In The Paint (Non-RA),8-16 Right,11.8,Made,,,,,,,2.0,,,,,,,,,,
132,PT01M39.00S,2023-03-07T02:33:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,92.46057818659659,44.85294117647059,1610612743,25,30,2023-03-07T02:38:37Z,1290000,False,-26.0,18.0,1,right,MISS K. Caldwell-Pope driving floating Shot,[203484],1610612743.0,DEN,driving floating,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Restricted Area,0-8 Center,3.16,Missed,,,,,,,,,,,,,,,,,
133,PT01M37.00S,2023-03-07T02:33:02.7Z,1,REGULAR,rebound,offensive,[],201145,,,1610612743,25,30,2023-03-07T02:40:48Z,1300000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Restricted Area,0-8 Center,,,,,132.0,1.0,0.0,1.0,,,,,,,,,,,
134,PT01M33.00S,2023-03-07T02:33:09.6Z,1,REGULAR,foul,personal,[],1630173,,,1610612743,25,30,2023-03-07T02:41:36Z,1310000,False,,,0,,P. Achiuwa personal FOUL (1 PF),"[1630173, 203999]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,1628480.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,0.0,Jokic,203999.0,,,
136,PT01M33.00S,2023-03-07T02:33:17.3Z,1,REGULAR,substitution,out,[],203999,,,1610612743,25,30,2023-03-07T02:33:27Z,1330000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M33.00S,2023-03-07T02:33:17.3Z,1,REGULAR,substitution,in,[],1628418,,,1610612743,25,30,2023-03-07T02:33:27Z,1340000,False,,,0,,SUB in: T. Bryant,[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M28.00S,2023-03-07T02:33:39.1Z,1,REGULAR,turnover,bad pass,[],201145,,,1610612743,25,30,2023-03-07T02:33:44Z,1350000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[201145, 1630567]",1610612743.0,DEN,,,,Green,J. Green,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,1.0,Barnes,1630567.0
139,PT01M28.00S,2023-03-07T02:33:39.1Z,1,REGULAR,steal,,[],1630567,,,1610612761,25,30,2023-03-07T02:33:40Z,1360000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
140,PT01M22.00S,2023-03-07T02:33:44.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628449,7.440867279894875,50.49019607843137,1610612761,25,32,2023-03-07T02:33:50Z,1370000,False,-2.0,17.0,1,left,C. Boucher running DUNK (2 PTS) (F. VanVleet 5 AST),"[1628449, 1627832]",1610612761.0,TOR,running,,,Boucher,C. Boucher,,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,2.0,F. VanVleet,1627832.0,5.0,,,,,,,
142,PT01M06.00S,2023-03-07T02:34:00.3Z,1,REGULAR,2pt,Jump Shot,[],202704,76.2976346911958,51.71568627450981,1610612743,25,32,2023-03-07T02:34:07Z,1390000,False,9.0,170.0,1,right,MISS R. Jackson 17' step back Shot,[202704],1610612743.0,DEN,step back,,,Jackson,R. Jackson,,,,,,Mid-Range,16-24 Center,17.05,Missed,,,,,,,,,,,,,,,,,
143,PT01M01.00S,2023-03-07T02:34:05.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,25,32,2023-03-07T02:34:07Z,1400000,False,,,0,,S. Barnes REBOUND (Off:1 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Mid-Range,16-24 Center,,,,,142.0,4.0,3.0,1.0,,,,,,,,,,,
144,PT00M53.50S,2023-03-07T02:34:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,19.66162943495401,39.21568627450981,1610612761,25,34,2023-03-07T02:34:18Z,1410000,False,54.0,132.0,1,left,S. Barnes 14' pullup Jump Shot (6 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,,In The Paint (Non-RA),8-16 Center,14.29,Made,,,,,,,6.0,,,,,,,,,,
145,PT00M36.50S,2023-03-07T02:34:35.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628418,92.32917214191852,55.63725490196079,1610612743,27,34,2023-03-07T02:43:38Z,1420000,False,28.0,20.0,1,right,T. Bryant turnaround bank Hook (2 PTS) (B. Brown 1 AST),"[1628418, 1628971]",1610612743.0,DEN,turnaround bank,,,Bryant,T. Bryant,,,,,,Restricted Area,0-8 Center,3.43,Made,,,,,,,2.0,B. Brown,1628971.0,1.0,,,,,,,
147,PT00M33.00S,2023-03-07T02:34:47.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,33.85348226018397,18.872549019607842,1610612761,27,34,2023-03-07T02:34:58Z,1440000,False,156.0,266.0,1,left,MISS F. VanVleet 30' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,Above the Break 3,24+ Right Center,30.79,Missed,,,,,,,,,,,,,,,,,
148,PT00M29.90S,2023-03-07T02:34:50.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,27,34,2023-03-07T02:34:58Z,1450000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Above the Break 3,24+ Right Center,,,,,147.0,2.0,1.0,1.0,,,,,,,,,,,
149,PT00M19.50S,2023-03-07T02:35:03.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201145,94.03745072273325,49.50980392156863,1610612743,29,34,2023-03-07T02:35:07Z,1460000,False,-2.0,4.0,1,right,J. Green cutting DUNK (4 PTS) (R. Jackson 3 AST),"[201145, 202704]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,,Restricted Area,0-8 Center,0.43,Made,,,,,,,4.0,R. Jackson,202704.0,3.0,,,,,,,
151,PT00M02.00S,2023-03-07T02:35:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,9.937582128777924,96.32352941176471,1610612761,29,34,2023-03-07T02:44:26Z,1480000,False,-232.0,41.0,1,left,MISS G. Trent Jr. pullup 3PT,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,,Left Corner 3,24+ Left,23.52,Missed,,,,,,,,,,,,,,,,,
152,PT00M02.00S,2023-03-07T02:35:25.0Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612743,29,34,2023-03-07T02:35:31Z,1490000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,Left Corner 3,24+ Left,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,
153,PT00M00.00S,2023-03-07T02:35:35.0Z,1,REGULAR,period,end,[],0,,,1610612743,29,34,2023-03-07T02:35:35Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-03-07T02:37:50.3Z,2,REGULAR,substitution,out,['startperiod'],1630567,,,1610612743,29,34,2023-03-07T02:38:09Z,1510000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-03-07T02:37:50.3Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612743,29,34,2023-03-07T02:38:09Z,1520000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-03-07T02:37:50.3Z,2,REGULAR,substitution,in,['startperiod'],1627783,,,1610612743,29,34,2023-03-07T02:38:09Z,1530000,False,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-03-07T02:37:50.3Z,2,REGULAR,substitution,in,['startperiod'],203115,,,1610612743,29,34,2023-03-07T02:38:09Z,1540000,False,,,0,,SUB in: W. Barton,[203115],1610612761.0,TOR,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-03-07T02:38:14.8Z,2,REGULAR,period,start,[],0,,,1610612743,29,34,2023-03-07T02:38:14Z,1550000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M47.00S,2023-03-07T02:38:27.3Z,2,REGULAR,3pt,Jump Shot,[],1628971,90.62089356110381,96.81372549019608,1610612743,29,34,2023-03-07T02:38:31Z,1560000,False,234.0,36.0,1,right,MISS B. Brown 3PT,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,Right Corner 3,24+ Right,23.68,Missed,,,,,,,,,,,,,,,,,
160,PT11M43.00S,2023-03-07T02:38:31.3Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612761,29,34,2023-03-07T02:38:31Z,1570000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Right Corner 3,24+ Right,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,
161,PT11M35.00S,2023-03-07T02:38:38.6Z,2,REGULAR,3pt,Jump Shot,[],1630173,33.196452036793694,49.50980392156863,1610612761,29,37,2023-03-07T02:38:42Z,1580000,False,2.0,260.0,1,left,P. Achiuwa 25' 3PT  (5 PTS) (W. Barton 1 AST),"[1630173, 203115]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,Above the Break 3,24+ Center,25.95,Made,,,,,,,5.0,W. Barton,203115.0,1.0,,,,,,,
163,PT11M20.00S,2023-03-07T02:38:53.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,91.67214191852825,54.166666666666664,1610612743,29,37,2023-03-07T02:45:23Z,1600000,False,21.0,26.0,1,right,MISS R. Jackson driving floating Shot,[202704],1610612743.0,DEN,driving floating,,,Jackson,R. Jackson,,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,
164,PT11M18.00S,2023-03-07T02:38:55.7Z,2,REGULAR,rebound,offensive,[],202704,,,1610612743,29,37,2023-03-07T02:45:23Z,1610000,False,,,0,,R. Jackson REBOUND (Off:1 Def:0),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,Restricted Area,0-8 Center,,,,,163.0,1.0,0.0,1.0,,,,,,,,,,,
165,PT11M17.00S,2023-03-07T02:38:57.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202704,89.17542706964521,42.15686274509804,1610612743,31,37,2023-03-07T02:45:33Z,1620000,False,-39.0,49.0,1,right,R. Jackson 6' floating Jump Shot (2 PTS),[202704],1610612743.0,DEN,floating,,,Jackson,R. Jackson,,,,,,In The Paint (Non-RA),0-8 Center,6.3,Made,,,,,,,2.0,,,,,,,,,,
166,PT10M54.00S,2023-03-07T02:39:19.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628449,5.995400788436268,52.20588235294118,1610612761,31,39,2023-03-07T02:39:22Z,1630000,False,-11.0,4.0,1,left,C. Boucher DUNK (4 PTS) (P. Achiuwa 1 AST),"[1628449, 1630173]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,,,4.0,P. Achiuwa,1630173.0,1.0,,,,,,,
