actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
91,PT05M01.00S,2023-02-08T02:26:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,7.5722733245729295,4.411764705882353,1610612750,25,15,2023-02-08T02:26:49Z,930000,False,228.0,19.0,1,left,MISS D. Russell 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,22.87,Missed,,,,,,,,,,,,,,,,,,
92,PT04M59.00S,2023-02-08T02:26:45.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,25,15,2023-02-08T02:26:49Z,940000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Right Corner 3,24+ Right,,,91.0,,,,,,,,,,,,,,,1.0,1.0,0.0
93,PT04M56.00S,2023-02-08T02:26:48.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,92.32917214191852,44.85294117647059,1610612743,27,15,2023-02-08T02:27:01Z,950000,False,-26.0,20.0,1,right,M. Porter Jr. running finger roll Layup (10 PTS) (I. Smith 2 AST),"[1629008, 202397]",1610612743.0,DEN,running finger roll,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,3.23,Made,,,,,10.0,I. Smith,202397.0,2.0,,,,,,,,,,
95,PT04M56.00S,2023-02-08T02:26:54.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,27,15,2023-02-08T02:26:54Z,970000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M56.00S,2023-02-08T02:28:51.1Z,1,REGULAR,substitution,out,[],203484,,,1610612750,27,15,2023-02-08T02:29:28Z,980000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M56.00S,2023-02-08T02:28:51.1Z,1,REGULAR,substitution,out,[],1630162,,,1610612750,27,15,2023-02-08T02:29:28Z,990000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M56.00S,2023-02-08T02:28:51.1Z,1,REGULAR,substitution,out,[],203497,,,1610612750,27,15,2023-02-08T02:29:28Z,1000000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M56.00S,2023-02-08T02:28:51.1Z,1,REGULAR,substitution,in,[],1631128,,,1610612750,27,15,2023-02-08T02:29:28Z,1010000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M56.00S,2023-02-08T02:28:51.1Z,1,REGULAR,substitution,in,[],1630568,,,1610612750,27,15,2023-02-08T02:29:28Z,1020000,False,,,0,,SUB in: L. Garza,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M56.00S,2023-02-08T02:28:51.1Z,1,REGULAR,substitution,in,[],1629669,,,1610612750,27,15,2023-02-08T02:29:28Z,1030000,False,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M45.00S,2023-02-08T02:29:52.9Z,1,REGULAR,turnover,lost ball,[],1629669,,,1610612750,27,15,2023-02-08T02:30:01Z,1040000,False,,,0,,J. Nowell lost ball TURNOVER (1 TO),"[1629669, 1631128]",1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Center,,,,1.0,Braun,1631128.0,,,,,,,,,,,,,,
103,PT04M45.00S,2023-02-08T02:29:52.9Z,1,REGULAR,steal,,[],1631128,,,1610612743,27,15,2023-02-08T02:29:54Z,1050000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
104,PT04M42.00S,2023-02-08T02:29:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631128,93.77463863337714,54.65686274509803,1610612743,29,15,2023-02-08T02:30:09Z,1060000,False,23.0,6.0,1,right,C. Braun running Layup (2 PTS),[1631128],1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,2.0,,,,,,,,,,,,,
105,PT04M26.00S,2023-02-08T02:30:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629669,5.601182654402102,61.274509803921575,1610612750,29,15,2023-02-08T02:30:42Z,1070000,False,-56.0,0.0,1,left,MISS J. Nowell driving floating Shot,[1629669],1610612750.0,MIN,driving floating,,,Nowell,J. Nowell,,,,,In The Paint (Non-RA),0-8 Center,5.64,Missed,,,,,,,,,,,,,,,,,,
106,PT04M24.00S,2023-02-08T02:30:13.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,29,15,2023-02-08T02:30:17Z,1080000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,105.0,,,,,,,,,,,,,,,2.0,2.0,0.0
107,PT04M17.00S,2023-02-08T02:30:21.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,93.9060446780552,51.470588235294116,1610612743,31,15,2023-02-08T02:30:31Z,1090000,False,7.0,5.0,1,right,M. Porter Jr. alley-oop DUNK (12 PTS) (N. Jokic 4 AST),"[1629008, 203999]",1610612743.0,DEN,alley-oop,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,12.0,N. Jokic,203999.0,4.0,,,,,,,,,,
110,PT04M01.00S,2023-02-08T02:30:46.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627752,9.149145860709593,54.166666666666664,1610612750,31,15,2023-02-08T02:31:42Z,1120000,False,-21.0,34.0,1,left,MISS T. Prince driving Hook,[1627752],1610612750.0,MIN,driving,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
111,PT04M00.00S,2023-02-08T02:30:47.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,31,15,2023-02-08T02:30:51Z,1130000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,110.0,,,,,,,,,,,,,,,2.0,2.0,0.0
112,PT03M49.00S,2023-02-08T02:30:59.3Z,1,REGULAR,2pt,Jump Shot,[],1629008,81.15965834428384,74.01960784313727,1610612743,33,15,2023-02-08T02:31:04Z,1140000,False,120.0,125.0,1,right,M. Porter Jr. 17' step back Jump Shot (14 PTS) (A. Gordon 4 AST),"[1629008, 203932]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,17.31,Made,,,,,14.0,A. Gordon,203932.0,4.0,,,,,,,,,,
114,PT03M41.00S,2023-02-08T02:31:09.6Z,1,REGULAR,foul,personal,[],202397,,,1610612750,33,15,2023-02-08T02:31:19Z,1160000,False,,,0,,I. Smith personal FOUL (1 PF),"[202397, 1626156]",1610612743.0,DEN,,,,Smith,I. Smith,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202027.0,1.0,0.0,Russell,1626156.0,,,,,
116,PT03M41.00S,2023-02-08T02:31:17.5Z,1,REGULAR,substitution,out,[],203932,,,1610612750,33,15,2023-02-08T02:31:35Z,1180000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M41.00S,2023-02-08T02:31:17.5Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,33,15,2023-02-08T02:31:35Z,1190000,False,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M41.00S,2023-02-08T02:31:17.5Z,1,REGULAR,substitution,in,[],1628427,,,1610612750,33,15,2023-02-08T02:31:35Z,1200000,False,,,0,,SUB in: V. Cancar,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M41.00S,2023-02-08T02:31:17.5Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,33,15,2023-02-08T02:31:35Z,1210000,False,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M25.00S,2023-02-08T02:31:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630568,11.251642575558476,43.872549019607845,1610612750,33,15,2023-02-08T02:32:04Z,1220000,False,31.0,53.0,1,left,MISS L. Garza 6' Layup - blocked,"[1630568, 203999]",1610612750.0,MIN,,,,Garza,L. Garza,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,,,,,,,,,,Jokic,203999.0,,,
121,PT03M25.00S,2023-02-08T02:31:59.7Z,1,REGULAR,block,,[],203999,,,1610612750,33,15,2023-02-08T02:32:02Z,1230000,False,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
122,PT03M22.00S,2023-02-08T02:32:02.7Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,33,15,2023-02-08T02:32:04Z,1240000,False,,,0,,V. Cancar REBOUND (Off:0 Def:1),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,In The Paint (Non-RA),0-8 Center,,,120.0,,,,,,,,,,,,,,,1.0,1.0,0.0
123,PT03M20.00S,2023-02-08T02:32:13.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627752,,,1610612743,33,15,2023-02-08T02:32:24Z,1250000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1627752, 1629008]",1610612750.0,MIN,shooting,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202027.0,1.0,0.0,Porter Jr.,1629008.0,,,,,
125,PT03M20.00S,2023-02-08T02:32:36.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629008,,,1610612743,34,15,2023-02-08T02:32:36Z,1270000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (15 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,15.0,,,,,,,,,,,,,
126,PT03M20.00S,2023-02-08T02:32:38.4Z,1,REGULAR,substitution,out,[],1630183,,,1610612743,34,15,2023-02-08T02:32:43Z,1280000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M20.00S,2023-02-08T02:32:38.4Z,1,REGULAR,substitution,in,[],1630233,,,1610612743,34,15,2023-02-08T02:32:43Z,1290000,False,,,0,,SUB in: N. Knight,[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M20.00S,2023-02-08T02:32:54.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629008,,,1610612743,35,15,2023-02-08T02:32:54Z,1300000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (16 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
129,PT03M09.00S,2023-02-08T02:33:06.7Z,1,REGULAR,3pt,Jump Shot,[],1630568,33.196452036793694,50.0,1610612750,35,15,2023-02-08T02:33:13Z,1310000,False,0.0,260.0,1,left,MISS L. Garza 25' 3PT,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
130,PT03M06.00S,2023-02-08T02:33:09.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,35,15,2023-02-08T02:33:13Z,1320000,False,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,129.0,,,,,,,,,,,,,,,3.0,3.0,0.0
131,PT02M56.00S,2023-02-08T02:33:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.51182654402102,55.392156862745104,1610612743,37,15,2023-02-08T02:34:38Z,1330000,False,27.0,8.0,1,right,N. Jokic Layup (9 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,9.0,C. Braun,1631128.0,1.0,,,,,,,,,,
133,PT02M47.00S,2023-02-08T02:33:28.3Z,1,REGULAR,2pt,Jump Shot,[],1630568,23.078186596583443,27.450980392156865,1610612750,37,15,2023-02-08T02:33:33Z,1350000,False,113.0,164.0,1,left,MISS L. Garza 19' Jump Shot,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Mid-Range,16-24 Right Center,19.93,Missed,,,,,,,,,,,,,,,,,,
134,PT02M45.00S,2023-02-08T02:33:30.3Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,37,15,2023-02-08T02:33:33Z,1360000,False,,,0,,V. Cancar REBOUND (Off:0 Def:2),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Mid-Range,16-24 Right Center,,,133.0,,,,,,,,,,,,,,,2.0,2.0,0.0
135,PT02M33.00S,2023-02-08T02:33:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202397,92.85479632063075,44.85294117647059,1610612743,39,15,2023-02-08T02:33:49Z,1370000,False,-26.0,15.0,1,right,I. Smith reverse Layup (2 PTS) (N. Jokic 5 AST),"[202397, 203999]",1610612743.0,DEN,reverse,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,2.96,Made,,,,,2.0,N. Jokic,203999.0,5.0,,,,,,,,,,
137,PT02M13.00S,2023-02-08T02:34:02.5Z,1,REGULAR,3pt,Jump Shot,[],1630568,32.013797634691194,61.76470588235294,1610612750,39,15,2023-02-08T02:34:08Z,1390000,False,-59.0,248.0,1,left,MISS L. Garza 25' 3PT,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Center,25.53,Missed,,,,,,,,,,,,,,,,,,
138,PT02M10.00S,2023-02-08T02:34:05.5Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,39,15,2023-02-08T02:34:08Z,1400000,False,,,0,,V. Cancar REBOUND (Off:0 Def:3),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Above the Break 3,24+ Center,,,137.0,,,,,,,,,,,,,,,3.0,3.0,0.0
139,PT02M05.00S,2023-02-08T02:34:11.2Z,1,REGULAR,2pt,Jump Shot,[],1629008,81.15965834428384,82.35294117647058,1610612743,39,15,2023-02-08T02:34:20Z,1410000,False,162.0,125.0,1,right,MISS M. Porter Jr. 20' Jump Shot,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,20.42,Missed,,,,,,,,,,,,,,,,,,
140,PT02M01.00S,2023-02-08T02:34:15.2Z,1,REGULAR,rebound,defensive,[],1630568,,,1610612750,39,15,2023-02-08T02:34:20Z,1420000,False,,,0,,L. Garza REBOUND (Off:0 Def:1),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Mid-Range,16-24 Right Center,,,139.0,,,,,,,,,,,,,,,1.0,1.0,0.0
141,PT01M52.00S,2023-02-08T02:34:23.6Z,1,REGULAR,turnover,bad pass,[],1630233,,,1610612750,39,15,2023-02-08T02:34:28Z,1430000,False,,,0,,N. Knight bad pass TURNOVER (1 TO),"[1630233, 203999]",1610612750.0,MIN,,,,Knight,N. Knight,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Jokic,203999.0,,,,,,,,,,,,,,
142,PT01M52.00S,2023-02-08T02:34:23.6Z,1,REGULAR,steal,,[],203999,,,1610612743,39,15,2023-02-08T02:34:25Z,1440000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
143,PT01M47.00S,2023-02-08T02:34:28.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631128,93.24901445466492,50.0,1610612743,41,15,2023-02-08T02:34:39Z,1450000,False,0.0,11.0,1,right,C. Braun running DUNK (4 PTS) (N. Jokic 6 AST),"[1631128, 203999]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,4.0,N. Jokic,203999.0,6.0,,,,,,,,,,
145,PT01M30.00S,2023-02-08T02:35:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629669,6.1268068331143235,62.99019607843137,1610612750,41,15,2023-02-08T02:35:11Z,1470000,False,-65.0,5.0,1,left,MISS J. Nowell 6' driving floating Shot,[1629669],1610612750.0,MIN,driving floating,,,Nowell,J. Nowell,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
146,PT01M28.00S,2023-02-08T02:35:06.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,41,15,2023-02-08T02:35:11Z,1480000,False,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,145.0,,,,,,,,,,,,,,,4.0,4.0,0.0
147,PT01M24.00S,2023-02-08T02:35:09.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,91.27792378449409,96.56862745098039,1610612743,44,15,2023-02-08T02:36:37Z,1490000,False,233.0,29.0,1,right,M. Porter Jr. 3PT running (19 PTS) (V. Cancar 1 AST),"[1629008, 1628427]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,23.47,Made,,,,,19.0,V. Cancar,1628427.0,1.0,,,,,,,,,,
150,PT01M09.00S,2023-02-08T02:35:51.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630233,7.30946123521682,56.86274509803921,1610612750,44,15,2023-02-08T02:35:57Z,1520000,False,-34.0,16.0,1,left,MISS N. Knight turnaround Hook,[1630233],1610612750.0,MIN,turnaround,,,Knight,N. Knight,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,,,,
151,PT01M07.00S,2023-02-08T02:35:53.5Z,1,REGULAR,rebound,offensive,[],1630568,,,1610612750,44,15,2023-02-08T02:35:57Z,1530000,False,,,0,,L. Garza REBOUND (Off:1 Def:1),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,,,150.0,,,,,,,,,,,,,,,2.0,1.0,1.0
152,PT01M07.00S,2023-02-08T02:35:54.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630568,5.590000152587891,50.0,1610612750,44,15,2023-02-08T02:36:11Z,1540000,False,0.0,0.0,1,left,MISS L. Garza tip Layup,[1630568],1610612750.0,MIN,tip,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
153,PT01M07.00S,2023-02-08T02:35:54.2Z,1,REGULAR,rebound,offensive,[],1630568,,,1610612750,44,15,2023-02-08T02:36:11Z,1550000,False,,,0,,L. Garza REBOUND (Off:2 Def:1),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,,,152.0,,,,,,,,,,,,,,,3.0,1.0,2.0
154,PT01M07.00S,2023-02-08T02:35:56.6Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612750,44,15,2023-02-08T02:36:02Z,1560000,False,,,0,,N. Jokic shooting personal FOUL (1 PF) (Garza 2 FT),"[203999, 1630568]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202027.0,1.0,0.0,Garza,1630568.0,,,,,
156,PT01M07.00S,2023-02-08T02:36:17.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630568,,,1610612750,44,16,2023-02-08T02:36:17Z,1580000,False,,,0,,L. Garza Free Throw 1 of 2 (1 PTS),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
157,PT01M07.00S,2023-02-08T02:36:17.8Z,1,REGULAR,substitution,out,[],202397,,,1610612750,44,16,2023-02-08T02:36:45Z,1590000,False,,,0,,SUB out: I. Smith,[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M07.00S,2023-02-08T02:36:17.8Z,1,REGULAR,substitution,out,[],203999,,,1610612750,44,16,2023-02-08T02:36:45Z,1600000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M07.00S,2023-02-08T02:36:17.8Z,1,REGULAR,substitution,in,[],201145,,,1610612750,44,16,2023-02-08T02:36:45Z,1610000,False,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M07.00S,2023-02-08T02:36:17.8Z,1,REGULAR,substitution,in,[],1628971,,,1610612750,44,16,2023-02-08T02:36:45Z,1620000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT01M07.00S,2023-02-08T02:36:47.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630568,,,1610612750,44,17,2023-02-08T02:36:47Z,1630000,False,,,0,,L. Garza Free Throw 2 of 2 (2 PTS),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
162,PT00M54.50S,2023-02-08T02:36:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,89.43823915900131,41.42156862745098,1610612743,44,17,2023-02-08T02:37:06Z,1640000,False,-43.0,47.0,1,right,MISS J. Green 6' driving Layup - blocked,"[201145, 1630233]",1610612743.0,DEN,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,6.35,Missed,,,,,,,,,,,,,,Knight,1630233.0,,,
163,PT00M54.50S,2023-02-08T02:36:56.8Z,1,REGULAR,block,,[],1630233,,,1610612743,44,17,2023-02-08T02:36:59Z,1650000,False,,,0,,N. Knight BLOCK (1 BLK),[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
164,PT00M50.70S,2023-02-08T02:37:00.6Z,1,REGULAR,rebound,offensive,[],201145,,,1610612743,44,17,2023-02-08T02:37:06Z,1660000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,162.0,,,,,,,,,,,,,,,1.0,0.0,1.0
165,PT00M50.70S,2023-02-08T02:37:02.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201145,94.40999984741211,50.0,1610612743,46,17,2023-02-08T02:37:11Z,1670000,False,0.0,0.0,1,right,J. Green putback Layup (2 PTS),[201145],1610612743.0,DEN,putback,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
166,PT00M41.40S,2023-02-08T02:37:12.1Z,1,REGULAR,3pt,Jump Shot,[],1630568,33.327858081471746,54.90196078431373,1610612750,46,17,2023-02-08T02:37:17Z,1680000,False,-25.0,261.0,1,left,MISS L. Garza 26' 3PT,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Center,26.19,Missed,,,,,,,,,,,,,,,,,,
167,PT00M38.20S,2023-02-08T02:37:15.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,46,17,2023-02-08T02:37:17Z,1690000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,166.0,,,,,,,,,,,,,,,3.0,2.0,1.0
168,PT00M30.30S,2023-02-08T02:37:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628971,67.23061760840999,38.970588235294116,1610612743,49,17,2023-02-08T02:37:29Z,1700000,False,-55.0,256.0,1,right,B. Brown 26' 3PT pullup (3 PTS) (M. Porter Jr. 1 AST),"[1628971, 1629008]",1610612743.0,DEN,pullup,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,26.14,Made,,,,,3.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,
170,PT00M17.50S,2023-02-08T02:37:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630568,6.521024967148489,44.36274509803921,1610612750,49,19,2023-02-08T02:37:44Z,1720000,False,28.0,9.0,1,left,L. Garza Layup (4 PTS) (N. Knight 1 AST),"[1630568, 1630233]",1610612750.0,MIN,,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,2.95,Made,,,,,4.0,N. Knight,1630233.0,1.0,,,,,,,,,,
172,PT00M00.70S,2023-02-08T02:38:03.5Z,1,REGULAR,foul,offensive,[],201145,,,1610612743,49,19,2023-02-08T02:38:27Z,1740000,False,,,0,,J. Green charge offensive FOUL (1 PF),"[201145, 1630568]",1610612743.0,DEN,charge,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202027.0,1.0,0.0,Garza,1630568.0,,,,,
174,PT00M00.70S,2023-02-08T02:38:03.5Z,1,REGULAR,turnover,offensive foul,[],201145,,,1610612743,49,19,2023-02-08T02:38:03Z,1760000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,,,,,202027.0,,,,,,,,,
175,PT00M00.70S,2023-02-08T02:38:14.1Z,1,REGULAR,substitution,out,[],1629008,,,1610612750,49,19,2023-02-08T02:38:17Z,1770000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
