actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
93,PT02M51.00S,2022-11-06T01:26:40.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,29,21,2022-11-06T01:26:46Z,930000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 203476]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Dieng,203476.0
94,PT02M51.00S,2022-11-06T01:26:40.1Z,1,REGULAR,steal,,[],203476,,,1610612759,29,21,2022-11-06T01:26:41Z,940000,,,0,,G. Dieng STEAL (1 STL),[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
95,PT02M45.00S,2022-11-06T01:26:46.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203476,31.09395532194481,67.8921568627451,1610612759,29,21,2022-11-06T01:26:51Z,950000,-89.0,240.0,1,left,MISS G. Dieng 25' 3PT,[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
96,PT02M42.00S,2022-11-06T01:26:49.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,29,21,2022-11-06T01:26:51Z,960000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,95.0,3.0,3.0,0.0,,,,,
97,PT02M35.00S,2022-11-06T01:26:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.85479632063075,57.35294117647059,1610612743,29,21,2022-11-06T01:27:04Z,970000,37.0,15.0,1,right,MISS N. Jokic Layup,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.96,Missed,,,,,,,,,,,,,,,,,,
98,PT02M32.00S,2022-11-06T01:26:59.5Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,29,21,2022-11-06T01:27:04Z,980000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,97.0,1.0,1.0,0.0,,,,,
99,PT02M27.00S,2022-11-06T01:27:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,16.507884362680684,53.431372549019606,1610612759,29,21,2022-11-06T01:27:12Z,990000,-17.0,103.0,1,left,MISS D. Vassell 10' fadeaway Shot,[1630170],1610612759.0,SAS,fadeaway,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,10.41,Missed,,,,,,,,,,,,,,,,,,
100,PT02M24.00S,2022-11-06T01:27:08.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,29,21,2022-11-06T01:27:12Z,1000000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,99.0,2.0,2.0,0.0,,,,,
101,PT02M21.00S,2022-11-06T01:27:12.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628971,92.59198423127464,47.549019607843135,1610612743,31,21,2022-11-06T01:27:45Z,1010000,-12.0,17.0,1,right,B. Brown running reverse Layup (2 PTS) (N. Jokic 4 AST),"[1628971, 203999]",1610612743.0,DEN,running reverse,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.11,Made,2.0,N. Jokic,203999.0,4.0,,,,,,,,,,,,,,
103,PT02M21.00S,2022-11-06T01:27:13.6Z,1,REGULAR,foul,personal,['1freethrow'],1626196,,,1610612743,31,21,2022-11-06T01:27:28Z,1030000,,,0,,J. Richardson shooting personal FOUL (1 PF) (Brown 1 FT),"[1626196, 1628971]",1610612759.0,SAS,shooting,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,1.0,0.0,Brown,1628971.0,,,,,,,,,
105,PT02M21.00S,2022-11-06T01:27:27.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,31,21,2022-11-06T01:27:27Z,1050000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M21.00S,2022-11-06T01:29:19.3Z,1,REGULAR,substitution,out,[],203999,,,1610612743,31,21,2022-11-06T01:30:00Z,1060000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M21.00S,2022-11-06T01:29:19.3Z,1,REGULAR,substitution,out,[],1628966,,,1610612743,31,21,2022-11-06T01:30:00Z,1070000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M21.00S,2022-11-06T01:29:19.3Z,1,REGULAR,substitution,in,[],201599,,,1610612743,31,21,2022-11-06T01:30:00Z,1080000,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M21.00S,2022-11-06T01:29:19.3Z,1,REGULAR,substitution,in,[],1629676,,,1610612743,31,21,2022-11-06T01:30:00Z,1090000,,,0,,SUB in: I. Roby,[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M21.00S,2022-11-06T01:30:20.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628971,,,1610612743,32,21,2022-11-06T01:30:20Z,1100000,,,0,,B. Brown Free Throw 1 of 1 (3 PTS),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
112,PT02M06.00S,2022-11-06T01:30:36.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626196,9.543363994743759,56.61764705882353,1610612759,32,23,2022-11-06T01:30:40Z,1110000,-33.0,37.0,1,left,J. Richardson turnaround Hook (5 PTS) (I. Roby 1 AST),"[1626196, 1629676]",1610612759.0,SAS,turnaround,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,4.98,Made,5.0,I. Roby,1629676.0,1.0,,,,,,,,,,,,,,
114,PT01M53.00S,2022-11-06T01:30:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,69.33311432325887,67.64705882352942,1610612743,32,23,2022-11-06T01:30:54Z,1130000,88.0,236.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
115,PT01M50.00S,2022-11-06T01:30:52.4Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,32,23,2022-11-06T01:30:54Z,1140000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,114.0,1.0,1.0,0.0,,,,,
116,PT01M42.00S,2022-11-06T01:31:00.9Z,1,REGULAR,2pt,Jump Shot,[],1626196,14.14257555847569,68.62745098039215,1610612759,32,23,2022-11-06T01:31:22Z,1150000,-93.0,80.0,1,left,MISS J. Richardson 12' fadeaway Shot,[1626196],1610612759.0,SAS,fadeaway,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Left,12.3,Missed,,,,,,,,,,,,,,,,,,
117,PT01M38.00S,2022-11-06T01:31:04.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,32,23,2022-11-06T01:31:05Z,1160000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,116.0,1.0,1.0,0.0,,,,,
118,PT01M33.00S,2022-11-06T01:31:09.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,72.35545335085413,17.15686274509804,1610612743,35,23,2022-11-06T01:32:01Z,1170000,-164.0,207.0,1,right,M. Porter Jr. 26' 3PT running pullup (8 PTS) (J. Green 1 AST),"[1629008, 201145]",1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.45,Made,8.0,J. Green,201145.0,1.0,,,,,,,,,,,,,,
120,PT01M16.00S,2022-11-06T01:31:26.1Z,1,REGULAR,2pt,Jump Shot,[],1630170,18.873193166885677,32.59803921568628,1610612759,35,23,2022-11-06T01:31:30Z,1190000,87.0,125.0,1,left,MISS D. Vassell 15' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,15.22,Missed,,,,,,,,,,,,,,,,,,
121,PT01M13.00S,2022-11-06T01:31:29.1Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612743,35,23,2022-11-06T01:31:30Z,1200000,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,120.0,2.0,2.0,0.0,,,,,
122,PT01M07.00S,2022-11-06T01:31:35.0Z,1,REGULAR,3pt,Jump Shot,[],1630538,67.7562417871222,22.058823529411764,1610612743,38,23,2022-11-06T01:31:39Z,1210000,-140.0,251.0,1,right,B. Hyland 28' 3PT  (3 PTS) (B. Brown 2 AST),"[1630538, 1628971]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Left Center,28.69,Made,3.0,B. Brown,1628971.0,2.0,,,,,,,,,,,,,,
124,PT00M55.30S,2022-11-06T01:31:48.7Z,1,REGULAR,foul,personal,['2freethrow'],201599,,,1610612759,38,23,2022-11-06T01:31:58Z,1230000,,,0,,D. Jordan shooting personal FOUL (1 PF) (McDermott 2 FT),"[201599, 203926]",1610612743.0,DEN,shooting,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,1.0,0.0,McDermott,203926.0,,,,,,,,,
126,PT00M55.30S,2022-11-06T01:32:14.3Z,1,REGULAR,freethrow,1 of 2,[],203926,,,1610612759,38,24,2022-11-06T01:32:14Z,1250000,,,0,,D. McDermott Free Throw 1 of 2 (1 PTS),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
127,PT00M55.30S,2022-11-06T01:32:36.2Z,1,REGULAR,freethrow,2 of 2,[],203926,,,1610612759,38,24,2022-11-06T01:32:36Z,1260000,,,0,,MISS D. McDermott Free Throw 2 of 2,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
128,PT00M54.20S,2022-11-06T01:32:36.7Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,38,24,2022-11-06T01:32:36Z,1270000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,127.0,1.0,1.0,0.0,,,,,
129,PT00M36.50S,2022-11-06T01:32:54.4Z,1,REGULAR,2pt,Jump Shot,[],1630538,91.5407358738502,17.647058823529413,1610612743,40,24,2022-11-06T01:32:59Z,1280000,-162.0,27.0,1,right,B. Hyland 16' step back Jump Shot (5 PTS),[1630538],1610612743.0,DEN,step back,,,Hyland,B. Hyland,,,,,Mid-Range,16-24 Left,16.4,Made,5.0,,,,,,,,,,,,,,,,,
130,PT00M23.90S,2022-11-06T01:33:09.6Z,1,REGULAR,3pt,Jump Shot,[],1626196,32.276609724047304,63.48039215686274,1610612759,40,27,2022-11-06T01:33:14Z,1290000,-67.0,251.0,1,left,J. Richardson 25' 3PT  (8 PTS) (G. Dieng 1 AST),"[1626196, 203476]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,25.98,Made,8.0,G. Dieng,203476.0,1.0,,,,,,,,,,,,,,
132,PT00M07.80S,2022-11-06T01:33:30.2Z,1,REGULAR,foul,personal,[],1626196,,,1610612743,40,27,2022-11-06T01:33:40Z,1310000,,,0,,J. Richardson personal FOUL (2 PF),"[1626196, 1630538]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,,,,,,,1151.0,2.0,0.0,Hyland,1630538.0,,,,,,,,,
134,PT00M07.80S,2022-11-06T01:33:41.2Z,1,REGULAR,substitution,out,[],203926,,,1610612743,40,27,2022-11-06T01:33:45Z,1330000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M07.80S,2022-11-06T01:33:41.2Z,1,REGULAR,substitution,in,[],1628966,,,1610612743,40,27,2022-11-06T01:33:45Z,1340000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M07.80S,2022-11-06T01:33:50.5Z,1,REGULAR,substitution,out,[],1626196,,,1610612743,40,27,2022-11-06T01:33:54Z,1350000,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M07.80S,2022-11-06T01:33:50.5Z,1,REGULAR,substitution,in,[],1630200,,,1610612743,40,27,2022-11-06T01:33:54Z,1360000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M01.40S,2022-11-06T01:34:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201599,92.06636005256242,40.68627450980392,1610612743,40,27,2022-11-06T01:34:14Z,1370000,-47.0,22.0,1,right,MISS D. Jordan cutting Layup,[201599],1610612743.0,DEN,cutting,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,5.16,Missed,,,,,,,,,,,,,,,,,,
139,PT00M01.40S,2022-11-06T01:34:06.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,40,27,2022-11-06T01:34:14Z,1380000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,138.0,,,,,,,,
140,PT00M00.00S,2022-11-06T01:34:13.3Z,1,REGULAR,period,end,[],0,,,1610612743,40,27,2022-11-06T01:34:13Z,1390000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-11-06T01:36:22.8Z,2,REGULAR,substitution,out,['startperiod'],1630170,,,1610612743,40,27,2022-11-06T01:36:46Z,1400000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-11-06T01:36:22.8Z,2,REGULAR,substitution,out,['startperiod'],1628966,,,1610612743,40,27,2022-11-06T01:36:46Z,1410000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-11-06T01:36:22.8Z,2,REGULAR,substitution,out,['startperiod'],203476,,,1610612743,40,27,2022-11-06T01:36:46Z,1420000,,,0,,SUB out: G. Dieng,[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-11-06T01:36:22.8Z,2,REGULAR,substitution,in,['startperiod'],203926,,,1610612743,40,27,2022-11-06T01:36:46Z,1430000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-11-06T01:36:22.8Z,2,REGULAR,substitution,in,['startperiod'],1627751,,,1610612743,40,27,2022-11-06T01:36:46Z,1440000,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-11-06T01:36:22.8Z,2,REGULAR,substitution,in,['startperiod'],1631103,,,1610612743,40,27,2022-11-06T01:36:46Z,1450000,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-11-06T01:36:56.5Z,2,REGULAR,period,start,[],0,,,1610612743,40,27,2022-11-06T01:36:56Z,1460000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M52.00S,2022-11-06T01:37:03.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630538,93.24901445466492,53.92156862745098,1610612743,42,27,2022-11-06T01:37:10Z,1470000,20.0,11.0,1,right,B. Hyland driving finger roll Layup (7 PTS),[1630538],1610612743.0,DEN,driving finger roll,,,Hyland,B. Hyland,,,,,Restricted Area,0-8 Center,2.25,Made,7.0,,,,,,,,,,,,,,,,,
149,PT11M31.00S,2022-11-06T01:37:24.4Z,2,REGULAR,2pt,Jump Shot,[],1631103,12.434296977660972,80.88235294117648,1610612759,42,27,2022-11-06T01:37:28Z,1480000,-154.0,64.0,1,left,MISS M. Branham 16' pullup Shot,[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Mid-Range,16-24 Left,16.73,Missed,,,,,,,,,,,,,,,,,,
150,PT11M29.00S,2022-11-06T01:37:26.4Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612743,42,27,2022-11-06T01:37:28Z,1490000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,149.0,4.0,4.0,0.0,,,,,
151,PT11M13.00S,2022-11-06T01:37:43.2Z,2,REGULAR,2pt,Jump Shot,[],201145,90.09526938239159,15.931372549019606,1610612743,44,27,2022-11-06T01:38:46Z,1500000,-170.0,41.0,1,right,J. Green 17' step back Jump Shot (4 PTS),[201145],1610612743.0,DEN,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Left,17.51,Made,4.0,,,,,,,,,,,,,,,,,
152,PT11M00.00S,2022-11-06T01:37:54.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,12.697109067017081,46.32352941176471,1610612759,44,27,2022-11-06T01:37:59Z,1510000,18.0,67.0,1,left,MISS J. Poeltl 6' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,6.94,Missed,,,,,,,,,,,,,,,,,,
153,PT10M58.00S,2022-11-06T01:37:56.9Z,2,REGULAR,rebound,defensive,[],1630538,,,1610612743,44,27,2022-11-06T01:37:59Z,1520000,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,152.0,1.0,1.0,0.0,,,,,
154,PT10M52.00S,2022-11-06T01:38:03.0Z,2,REGULAR,2pt,Jump Shot,[],1629008,78.0059132720105,23.774509803921568,1610612743,46,27,2022-11-06T01:38:07Z,1530000,-131.0,154.0,1,right,M. Porter Jr. 20' pullup Jump Shot (10 PTS) (B. Hyland 1 AST),"[1629008, 1630538]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,20.24,Made,10.0,B. Hyland,1630538.0,1.0,,,,,,,,,,,,,,
156,PT10M42.00S,2022-11-06T01:38:13.2Z,2,REGULAR,3pt,Jump Shot,[],203926,33.590670170827856,35.53921568627451,1610612759,46,27,2022-11-06T01:39:28Z,1550000,72.0,263.0,1,left,MISS D. McDermott 27' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,27.3,Missed,,,,,,,,,,,,,,,,,,
157,PT10M38.00S,2022-11-06T01:38:17.2Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612743,46,27,2022-11-06T01:38:23Z,1560000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:5),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,156.0,5.0,5.0,0.0,,,,,
158,PT10M34.00S,2022-11-06T01:38:26.2Z,2,REGULAR,turnover,out-of-bounds,[],201145,,,1610612743,46,27,2022-11-06T01:38:32Z,1570000,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[201145],1610612743.0,DEN,bad pass,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,,,,,,,,,,,1.0,,
159,PT10M23.00S,2022-11-06T01:38:45.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627751,6.915243101182654,49.26470588235294,1610612759,46,29,2022-11-06T01:38:52Z,1580000,4.0,13.0,1,left,J. Poeltl DUNK (10 PTS) (T. Jones 3 AST),"[1627751, 1630200]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.3,Made,10.0,T. Jones,1630200.0,3.0,,,,,,,,,,,,,,
161,PT10M01.00S,2022-11-06T01:39:07.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630538,92.32917214191852,37.00980392156863,1610612743,46,29,2022-11-06T01:39:12Z,1600000,-65.0,20.0,1,right,MISS B. Hyland 6' floating Shot,[1630538],1610612743.0,DEN,floating,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),0-8 Center,6.79,Missed,,,,,,,,,,,,,,,,,,
162,PT09M58.00S,2022-11-06T01:39:10.8Z,2,REGULAR,rebound,offensive,[],201599,,,1610612743,46,29,2022-11-06T01:39:12Z,1610000,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,161.0,2.0,1.0,1.0,,,,,
163,PT09M58.00S,2022-11-06T01:39:11.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201599,94.40999984741211,50.0,1610612743,48,29,2022-11-06T01:39:11Z,1620000,0.0,0.0,1,right,D. Jordan putback DUNK (2 PTS),[201599],1610612743.0,DEN,putback,,,Jordan,D. Jordan,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
164,PT09M48.00S,2022-11-06T01:39:20.6Z,2,REGULAR,3pt,Jump Shot,[],1631103,23.73521681997372,12.745098039215685,1610612759,48,29,2022-11-06T01:39:25Z,1630000,186.0,171.0,1,left,MISS M. Branham 25' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,25.26,Missed,,,,,,,,,,,,,,,,,,
165,PT09M46.00S,2022-11-06T01:39:22.6Z,2,REGULAR,rebound,defensive,[],201599,,,1610612743,48,29,2022-11-06T01:39:25Z,1640000,,,0,,D. Jordan REBOUND (Off:1 Def:2),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,164.0,3.0,2.0,1.0,,,,,
166,PT09M39.00S,2022-11-06T01:39:32.8Z,2,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612743,48,29,2022-11-06T01:39:42Z,1650000,,,0,,J. Poeltl shooting personal FOUL (2 PF) (Brown 2 FT),"[1627751, 1628971]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,1151.0,2.0,0.0,Brown,1628971.0,,,,,,,,,
168,PT09M39.00S,2022-11-06T01:40:02.0Z,2,REGULAR,freethrow,1 of 2,[],1628971,,,1610612743,49,29,2022-11-06T01:40:02Z,1670000,,,0,,B. Brown Free Throw 1 of 2 (4 PTS),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
169,PT09M39.00S,2022-11-06T01:40:02.5Z,2,REGULAR,substitution,out,[],1629676,,,1610612743,49,29,2022-11-06T01:40:09Z,1680000,,,0,,SUB out: I. Roby,[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT09M39.00S,2022-11-06T01:40:02.5Z,2,REGULAR,substitution,in,[],1631110,,,1610612743,49,29,2022-11-06T01:40:09Z,1690000,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M39.00S,2022-11-06T01:40:22.5Z,2,REGULAR,freethrow,2 of 2,[],1628971,,,1610612743,50,29,2022-11-06T01:40:22Z,1700000,,,0,,B. Brown Free Throw 2 of 2 (5 PTS),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
172,PT09M31.00S,2022-11-06T01:40:32.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,7.046649145860711,60.5392156862745,1610612759,50,29,2022-11-06T01:40:39Z,1710000,-53.0,14.0,1,left,MISS T. Jones driving Layup,[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,5.45,Missed,,,,,,,,,,,,,,,,,,
173,PT09M29.00S,2022-11-06T01:40:34.7Z,2,REGULAR,rebound,offensive,[],1627751,,,1610612759,50,29,2022-11-06T01:40:34Z,1720000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,172.0,2.0,1.0,1.0,,,,,
174,PT09M28.00S,2022-11-06T01:40:35.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,7.703679369250986,56.61764705882353,1610612759,50,31,2022-11-06T01:40:44Z,1730000,-33.0,20.0,1,left,J. Poeltl putback Layup (12 PTS),[1627751],1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.86,Made,12.0,,,,,,,,,,,,,,,,,
176,PT09M08.00S,2022-11-06T01:40:56.0Z,2,REGULAR,2pt,Jump Shot,[],1628971,80.23981603153744,33.088235294117645,1610612743,52,31,2022-11-06T01:41:03Z,1750000,-85.0,133.0,1,right,B. Brown 15' pullup Jump Shot (7 PTS),[1628971],1610612743.0,DEN,pullup,,,Brown,B. Brown,,,,,Mid-Range,8-16 Left,15.78,Made,7.0,,,,,,,,,,,,,,,,,
