actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
89,PT04M47.00S,2023-03-04T03:29:18.0Z,1,REGULAR,freethrow,1 of 2,[],1629008,,,1610612743,16,18,2023-03-04T03:29:18Z,880000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (5 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
90,PT04M47.00S,2023-03-04T03:29:18.6Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,16,18,2023-03-04T03:29:34Z,890000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M47.00S,2023-03-04T03:29:18.6Z,1,REGULAR,substitution,out,[],203932,,,1610612743,16,18,2023-03-04T03:29:34Z,900000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M47.00S,2023-03-04T03:29:18.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612743,16,18,2023-03-04T03:29:34Z,910000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M47.00S,2023-03-04T03:29:18.6Z,1,REGULAR,substitution,in,[],202704,,,1610612743,16,18,2023-03-04T03:29:34Z,920000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M47.00S,2023-03-04T03:29:18.6Z,1,REGULAR,substitution,in,[],201145,,,1610612743,16,18,2023-03-04T03:29:34Z,930000,False,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M47.00S,2023-03-04T03:29:18.6Z,1,REGULAR,substitution,in,[],1628379,,,1610612743,16,18,2023-03-04T03:29:34Z,940000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M47.00S,2023-03-04T03:29:50.2Z,1,REGULAR,freethrow,2 of 2,[],1629008,,,1610612743,17,18,2023-03-04T03:29:50Z,950000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (6 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
97,PT04M38.00S,2023-03-04T03:30:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,82.47371879106439,37.00980392156863,1610612763,17,20,2023-03-04T03:30:11Z,960000,False,-65.0,112.0,1,right,J. Morant 12' driving floating Jump Shot (9 PTS) (D. Brooks 1 AST),"[1629630, 1628415]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,12.97,Made,9.0,,,,,,,,D. Brooks,1628415.0,1.0,,,,,,,
99,PT04M25.00S,2023-03-04T03:30:13.7Z,1,REGULAR,3pt,Jump Shot,[],202704,7.440867279894875,3.1862745098039214,1610612743,17,20,2023-03-04T03:30:19Z,980000,False,234.0,17.0,1,left,MISS R. Jackson 3PT,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Right Corner 3,24+ Right,23.47,Missed,,,,,,,,,,,,,,,,,,
100,PT04M23.00S,2023-03-04T03:30:15.7Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,17,20,2023-03-04T03:30:19Z,990000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,
101,PT04M16.00S,2023-03-04T03:30:23.3Z,1,REGULAR,2pt,Jump Shot,[],1628415,87.99277266754271,75.0,1610612763,17,20,2023-03-04T03:30:31Z,1000000,False,125.0,60.0,1,right,MISS D. Brooks 13' step back Shot,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,13.88,Missed,,,,,,,,,,,,,,,,,,
102,PT04M14.00S,2023-03-04T03:30:25.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,17,20,2023-03-04T03:30:31Z,1010000,False,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,,101.0,4.0,4.0,0.0,,,,,,,,,,,,,
103,PT04M08.00S,2023-03-04T03:30:31.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203484,7.178055190538765,43.872549019607845,1610612743,19,20,2023-03-04T03:32:11Z,1020000,False,31.0,15.0,1,left,K. Caldwell-Pope running finger roll Layup (2 PTS) (N. Jokic 2 AST),"[203484, 203999]",1610612743.0,DEN,running finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,3.41,Made,2.0,,,,,,,,N. Jokic,203999.0,2.0,,,,,,,
105,PT04M03.00S,2023-03-04T03:30:36.6Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,19,20,2023-03-04T03:30:41Z,1040000,False,,,0,,J. Morant bad pass TURNOVER (2 TO),"[1629630, 202704]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,,2.0,Jackson,202704.0,,,,,,,,,,
106,PT04M03.00S,2023-03-04T03:30:36.6Z,1,REGULAR,steal,,[],202704,,,1610612743,19,20,2023-03-04T03:30:37Z,1050000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
107,PT03M47.00S,2023-03-04T03:30:51.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201145,8.360709592641262,2.941176470588235,1610612743,19,20,2023-03-04T03:31:04Z,1060000,False,235.0,26.0,1,left,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
108,PT03M47.00S,2023-03-04T03:30:51.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,19,20,2023-03-04T03:31:04Z,1070000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Right Corner 3,24+ Right,,,,107.0,,,,,,,,,,,,,,,,
109,PT03M47.00S,2023-03-04T03:30:55.5Z,1,REGULAR,foul,personal,[],1628379,,,1610612743,19,20,2023-03-04T03:31:05Z,1080000,False,,,0,,L. Kennard loose ball personal FOUL (1 PF),"[1628379, 1629008]",1610612763.0,MEM,loose ball,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Porter Jr.,1629008.0
111,PT03M47.00S,2023-03-04T03:31:06.0Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,19,20,2023-03-04T03:31:15Z,1100000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M47.00S,2023-03-04T03:31:06.0Z,1,REGULAR,substitution,out,[],1628415,,,1610612743,19,20,2023-03-04T03:31:15Z,1110000,False,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M47.00S,2023-03-04T03:31:06.0Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,19,20,2023-03-04T03:31:15Z,1120000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M47.00S,2023-03-04T03:31:06.0Z,1,REGULAR,substitution,in,[],1629723,,,1610612743,19,20,2023-03-04T03:31:15Z,1130000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M42.00S,2023-03-04T03:31:27.2Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612743,19,20,2023-03-04T03:31:32Z,1140000,False,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612743.0,DEN,bad pass,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,203592.0,,,,
116,PT03M25.00S,2023-03-04T03:31:52.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629630,93.9060446780552,3.431372549019608,1610612763,19,23,2023-03-04T03:31:56Z,1150000,False,-233.0,5.0,1,right,J. Morant 3PT  (12 PTS) (S. Aldama 1 AST),"[1629630, 1630583]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Left Corner 3,24+ Left,23.28,Made,12.0,,,,,,,,S. Aldama,1630583.0,1.0,,,,,,,
118,PT03M01.00S,2023-03-04T03:32:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,6.258212877792378,45.09803921568628,1610612743,21,23,2023-03-04T03:33:42Z,1170000,False,25.0,6.0,1,left,B. Brown driving Layup (2 PTS) (J. Green 1 AST),"[1628971, 201145]",1610612743.0,DEN,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.53,Made,2.0,,,,,,,,J. Green,201145.0,1.0,,,,,,,
120,PT02M50.00S,2023-03-04T03:32:27.0Z,1,REGULAR,3pt,Jump Shot,[],1629723,72.48685939553219,17.401960784313726,1610612763,21,23,2023-03-04T03:32:35Z,1190000,False,-163.0,206.0,1,right,MISS J. Konchar 26' 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
121,PT02M48.00S,2023-03-04T03:32:29.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,21,23,2023-03-04T03:32:35Z,1200000,False,,,0,,N. Jokic REBOUND (Off:0 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,120.0,5.0,5.0,0.0,,,,,,,,,,,,,
122,PT02M45.00S,2023-03-04T03:32:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,5.732588699080158,45.588235294117645,1610612743,23,23,2023-03-04T03:32:44Z,1210000,False,22.0,1.0,1,left,B. Brown running finger roll Layup (4 PTS) (N. Jokic 3 AST),"[1628971, 203999]",1610612743.0,DEN,running finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.21,Made,4.0,,,,,,,,N. Jokic,203999.0,3.0,,,,,,,
124,PT02M45.00S,2023-03-04T03:32:40.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,23,23,2023-03-04T03:32:40Z,1230000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M45.00S,2023-03-04T03:34:52.4Z,1,REGULAR,substitution,out,[],203484,,,1610612763,23,23,2023-03-04T03:35:44Z,1240000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M45.00S,2023-03-04T03:34:52.4Z,1,REGULAR,substitution,out,[],1629630,,,1610612763,23,23,2023-03-04T03:35:44Z,1250000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M45.00S,2023-03-04T03:34:52.4Z,1,REGULAR,substitution,in,[],1627750,,,1610612763,23,23,2023-03-04T03:35:44Z,1260000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M45.00S,2023-03-04T03:34:52.4Z,1,REGULAR,substitution,in,[],1626145,,,1610612763,23,23,2023-03-04T03:35:44Z,1270000,False,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M22.00S,2023-03-04T03:36:25.9Z,1,REGULAR,turnover,out-of-bounds,[],1630583,,,1610612763,23,23,2023-03-04T03:36:33Z,1280000,False,,,0,,S. Aldama lost ball out-of-bounds TURNOVER (1 TO),[1630583],1610612763.0,MEM,lost ball,,,Aldama,S. Aldama,,,,,Mid-Range,16-24 Left,,,,,,,,1.0,,,,,,,,201638.0,,,,
130,PT02M07.00S,2023-03-04T03:36:49.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630214,,,1610612743,23,23,2023-03-04T03:36:58Z,1290000,False,,,0,,X. Tillman personal FOUL (1 PF) (Jokic 2 FT),"[1630214, 203999]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Jokic,203999.0
132,PT02M07.00S,2023-03-04T03:37:18.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203999,,,1610612743,24,23,2023-03-04T03:37:39Z,1310000,False,,,0,,N. Jokic Free Throw 1 of 2 (8 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
133,PT02M07.00S,2023-03-04T03:37:19.1Z,1,REGULAR,substitution,out,[],1630214,,,1610612743,24,23,2023-03-04T03:37:24Z,1320000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M07.00S,2023-03-04T03:37:19.1Z,1,REGULAR,substitution,out,[],1630583,,,1610612743,24,23,2023-03-04T03:37:24Z,1330000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M07.00S,2023-03-04T03:37:19.1Z,1,REGULAR,substitution,in,[],1629634,,,1610612743,24,23,2023-03-04T03:37:24Z,1340000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M07.00S,2023-03-04T03:37:19.1Z,1,REGULAR,substitution,in,[],1628991,,,1610612743,24,23,2023-03-04T03:37:24Z,1350000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M07.00S,2023-03-04T03:37:18.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203999,,,1610612743,24,23,2023-03-04T03:37:39Z,1360000,False,,,0,,MISS N. Jokic Free Throw 2 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
138,PT02M05.00S,2023-03-04T03:37:20.5Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,24,23,2023-03-04T03:37:39Z,1370000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,,,,,
139,PT01M54.00S,2023-03-04T03:37:49.0Z,1,REGULAR,3pt,Jump Shot,[],1628379,68.41327201051249,33.33333333333333,1610612763,24,26,2023-03-04T03:37:53Z,1380000,False,-83.0,244.0,1,right,L. Kennard 25' 3PT  (3 PTS) (J. Konchar 1 AST),"[1628379, 1629723]",1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,25.82,Made,3.0,,,,,,,,J. Konchar,1629723.0,1.0,,,,,,,
141,PT01M31.00S,2023-03-04T03:38:11.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201145,6.915243101182654,50.49019607843137,1610612743,26,26,2023-03-04T03:38:15Z,1400000,False,-2.0,13.0,1,left,J. Green cutting DUNK (2 PTS) (N. Jokic 4 AST),"[201145, 203999]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.27,Made,2.0,,,,,,,,N. Jokic,203999.0,4.0,,,,,,,
143,PT01M06.00S,2023-03-04T03:38:36.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,81.68528252299606,41.17647058823529,1610612763,26,26,2023-03-04T03:38:40Z,1420000,False,-44.0,120.0,1,right,MISS B. Clarke 12' floating Shot,[1629634],1610612763.0,MEM,floating,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Center,12.76,Missed,,,,,,,,,,,,,,,,,,
144,PT01M05.00S,2023-03-04T03:38:37.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,26,26,2023-03-04T03:38:40Z,1430000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,
145,PT00M58.80S,2023-03-04T03:38:45.3Z,1,REGULAR,turnover,lost ball,[],1627750,,,1610612743,26,26,2023-03-04T03:38:48Z,1440000,False,,,0,,J. Murray lost ball TURNOVER (1 TO),"[1627750, 1629723]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,Konchar,1629723.0,,,,,,,,,,
146,PT00M58.80S,2023-03-04T03:38:45.3Z,1,REGULAR,steal,,[],1629723,,,1610612763,26,26,2023-03-04T03:38:46Z,1450000,False,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
147,PT00M55.20S,2023-03-04T03:38:48.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629723,92.32917214191852,50.98039215686274,1610612763,26,26,2023-03-04T03:39:21Z,1460000,False,5.0,20.0,1,right,MISS J. Konchar running finger roll Layup - blocked,"[1629723, 201145]",1610612763.0,MEM,running finger roll,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,Green,201145.0,,,,,
148,PT00M55.20S,2023-03-04T03:38:48.9Z,1,REGULAR,block,,[],201145,,,1610612763,26,26,2023-03-04T03:38:51Z,1470000,False,,,0,,J. Green BLOCK (1 BLK),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
149,PT00M51.00S,2023-03-04T03:38:53.1Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,26,26,2023-03-04T03:44:11Z,1480000,False,,,0,,J. Murray REBOUND (Off:0 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,
150,PT00M48.40S,2023-03-04T03:38:59.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629723,,,1610612743,26,26,2023-03-04T03:39:11Z,1490000,False,,,0,,J. Konchar shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629723, 203999]",1610612763.0,MEM,shooting,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Jokic,203999.0
152,PT00M48.40S,2023-03-04T03:39:23.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203999,,,1610612743,27,26,2023-03-04T03:39:23Z,1510000,False,,,0,,N. Jokic Free Throw 1 of 2 (9 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
153,PT00M48.40S,2023-03-04T03:39:38.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203999,,,1610612743,28,26,2023-03-04T03:39:38Z,1520000,False,,,0,,N. Jokic Free Throw 2 of 2 (10 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
154,PT00M33.00S,2023-03-04T03:39:57.9Z,1,REGULAR,3pt,Jump Shot,[],1626145,62.36859395532195,39.21568627450981,1610612763,28,26,2023-03-04T03:40:03Z,1530000,False,-54.0,301.0,1,right,MISS T. Jones 30' 3PT - blocked,"[1626145, 1628971]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,30.6,Missed,,,,,,,,,,,,Brown,1628971.0,,,,,
155,PT00M33.00S,2023-03-04T03:39:57.9Z,1,REGULAR,block,,[],1628971,,,1610612763,28,26,2023-03-04T03:40:00Z,1540000,False,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
156,PT00M30.00S,2023-03-04T03:40:00.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,28,26,2023-03-04T03:40:03Z,1550000,False,,,0,,N. Jokic REBOUND (Off:0 Def:6),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,154.0,6.0,6.0,0.0,,,,,,,,,,,,,
157,PT00M28.20S,2023-03-04T03:40:04.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627750,7.966491458607096,53.18627450980392,1610612743,28,26,2023-03-04T03:42:29Z,1560000,False,-16.0,22.0,1,left,MISS J. Murray running Layup - blocked,"[1627750, 1629723]",1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,Konchar,1629723.0,,,,,
158,PT00M28.20S,2023-03-04T03:40:04.6Z,1,REGULAR,block,,[],1629723,,,1610612743,28,26,2023-03-04T03:40:06Z,1570000,False,,,0,,J. Konchar BLOCK (1 BLK),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
159,PT00M28.20S,2023-03-04T03:40:04.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,28,26,2023-03-04T03:40:34Z,1580000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,157.0,,,,,,,,,,,,,,,,
160,PT00M28.20S,2023-03-04T03:40:07.8Z,1,REGULAR,substitution,out,[],203999,,,1610612763,28,26,2023-03-04T03:40:18Z,1590000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M28.20S,2023-03-04T03:40:07.8Z,1,REGULAR,substitution,in,[],1628418,,,1610612763,28,26,2023-03-04T03:40:18Z,1600000,False,,,0,,SUB in: T. Bryant,[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M11.60S,2023-03-04T03:40:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,84.1819973718791,36.27450980392157,1610612763,28,26,2023-03-04T03:41:05Z,1610000,False,-69.0,96.0,1,right,MISS T. Jones 11' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,11.82,Missed,,,,,,,,,,,,,,,,,,
163,PT00M09.40S,2023-03-04T03:40:45.9Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,28,26,2023-03-04T03:40:45Z,1620000,False,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Left,,,,162.0,1.0,0.0,1.0,,,,,,,,,,,,,
164,PT00M09.40S,2023-03-04T03:40:47.4Z,1,REGULAR,foul,personal,['2freethrow'],1628418,,,1610612763,28,26,2023-03-04T03:40:57Z,1630000,False,,,0,,T. Bryant shooting personal FOUL (1 PF) (Clarke 2 FT),"[1628418, 1629634]",1610612743.0,DEN,shooting,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Clarke,1629634.0
166,PT00M09.40S,2023-03-04T03:41:18.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629634,,,1610612763,28,27,2023-03-04T03:41:40Z,1650000,False,,,0,,B. Clarke Free Throw 1 of 2 (1 PTS),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
167,PT00M09.40S,2023-03-04T03:41:18.8Z,1,REGULAR,substitution,out,[],1628379,,,1610612763,28,27,2023-03-04T03:41:24Z,1660000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M09.40S,2023-03-04T03:41:18.8Z,1,REGULAR,substitution,in,[],1628415,,,1610612763,28,27,2023-03-04T03:41:24Z,1670000,False,,,0,,SUB in: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M09.40S,2023-03-04T03:41:18.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629634,,,1610612763,28,27,2023-03-04T03:41:40Z,1680000,False,,,0,,MISS B. Clarke Free Throw 2 of 2,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
170,PT00M07.60S,2023-03-04T03:41:20.0Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612743,28,27,2023-03-04T03:41:40Z,1690000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,,
171,PT00M00.00S,2023-03-04T03:41:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,6.915243101182654,55.63725490196079,1610612743,28,27,2023-03-04T03:41:48Z,1700000,False,-28.0,13.0,1,left,MISS J. Green reverse Layup - blocked,"[201145, 1629723]",1610612743.0,DEN,reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.08,Missed,,,,,,,,,,,,Konchar,1629723.0,,,,,
172,PT00M00.00S,2023-03-04T03:41:37.3Z,1,REGULAR,block,,[],1629723,,,1610612743,28,27,2023-03-04T03:41:39Z,1710000,False,,,0,,J. Konchar BLOCK (2 BLK),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
