actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
94,PT05M04.00S,2023-01-19T03:26:51.8Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,19,14,2023-01-19T03:27:12Z,920000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,,
95,PT05M02.00S,2023-01-19T03:26:57.4Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612750,19,14,2023-01-19T03:27:09Z,930000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Prince 2 FT),"[203932, 1627752]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,202901.0,,,,,,,,1.0,0.0,Prince,1627752.0
97,PT05M02.00S,2023-01-19T03:27:25.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627752,,,1610612750,19,15,2023-01-19T03:27:25Z,950000,False,,,0,,T. Prince Free Throw 1 of 2 (1 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
98,PT05M02.00S,2023-01-19T03:27:41.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627752,,,1610612750,19,16,2023-01-19T03:27:41Z,960000,False,,,0,,T. Prince Free Throw 2 of 2 (2 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
99,PT04M51.00S,2023-01-19T03:27:55.4Z,1,REGULAR,turnover,bad pass,[],203932,,,1610612743,19,16,2023-01-19T03:28:02Z,970000,False,,,0,,A. Gordon bad pass TURNOVER (1 TO),"[203932, 203937]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Anderson,203937.0,,,,,,,
100,PT04M51.00S,2023-01-19T03:27:55.4Z,1,REGULAR,steal,,[],203937,,,1610612750,19,16,2023-01-19T03:27:56Z,980000,False,,,0,,K. Anderson STEAL (2 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
101,PT04M46.00S,2023-01-19T03:27:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631111,8.754927726675426,43.38235294117647,1610612750,19,16,2023-01-19T03:28:08Z,990000,False,33.0,30.0,1,left,MISS W. Moore Jr. running Layup - blocked,"[1631111, 203932]",1610612750.0,MIN,running,,,Moore Jr.,W. Moore Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.45,Missed,Gordon,203932.0,,,,,,,,,,,,,,,,
102,PT04M46.00S,2023-01-19T03:27:59.9Z,1,REGULAR,block,,[],203932,,,1610612750,19,16,2023-01-19T03:28:01Z,1000000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
103,PT04M44.00S,2023-01-19T03:28:01.9Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,19,16,2023-01-19T03:28:08Z,1010000,False,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,101.0,1.0,0.0,1.0,,,,,,,,,,,,
104,PT04M44.00S,2023-01-19T03:28:05.1Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612750,19,16,2023-01-19T03:28:23Z,1020000,False,,,0,,A. Gordon shooting personal FOUL (2 PF) (Reid 2 FT),"[203932, 1629675]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,2004.0,,,,,,,,2.0,0.0,Reid,1629675.0
106,PT04M44.00S,2023-01-19T03:28:36.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629675,,,1610612750,19,17,2023-01-19T03:28:36Z,1040000,False,,,0,,N. Reid Free Throw 1 of 2 (3 PTS),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
107,PT04M44.00S,2023-01-19T03:28:36.7Z,1,REGULAR,substitution,out,[],203932,,,1610612750,19,17,2023-01-19T03:28:41Z,1050000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M44.00S,2023-01-19T03:28:36.7Z,1,REGULAR,substitution,out,[],203937,,,1610612750,19,17,2023-01-19T03:28:41Z,1060000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M44.00S,2023-01-19T03:28:36.7Z,1,REGULAR,substitution,in,[],1628427,,,1610612750,19,17,2023-01-19T03:28:41Z,1070000,False,,,0,,SUB in: V. Cancar,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M44.00S,2023-01-19T03:28:36.7Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,19,17,2023-01-19T03:28:41Z,1080000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M44.00S,2023-01-19T03:28:57.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629675,,,1610612750,19,18,2023-01-19T03:28:57Z,1090000,False,,,0,,N. Reid Free Throw 2 of 2 (4 PTS),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
112,PT04M31.00S,2023-01-19T03:29:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,93.11760840998686,53.431372549019606,1610612743,21,18,2023-01-19T03:29:16Z,1100000,False,17.0,12.0,1,right,B. Brown driving Layup (4 PTS) (N. Jokic 4 AST),"[1628971, 203999]",1610612743.0,DEN,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,,,4.0,,,,N. Jokic,203999.0,4.0,,,,
114,PT04M14.00S,2023-01-19T03:29:28.7Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,21,18,2023-01-19T03:29:37Z,1120000,False,,,0,,A. Edwards lost ball TURNOVER (2 TO),"[1630162, 1629008]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2.0,Porter Jr.,1629008.0,,,,,,,
115,PT04M14.00S,2023-01-19T03:29:28.7Z,1,REGULAR,steal,,[],1629008,,,1610612743,21,18,2023-01-19T03:29:30Z,1130000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
116,PT04M08.00S,2023-01-19T03:29:34.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203999,88.91261498028909,49.754901960784316,1610612743,21,18,2023-01-19T03:38:59Z,1140000,False,-1.0,52.0,1,right,MISS N. Jokic running Layup,[203999],1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
117,PT04M06.00S,2023-01-19T03:29:36.7Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,21,18,2023-01-19T03:38:59Z,1150000,False,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,116.0,2.0,1.0,1.0,,,,,,,,,,,,
118,PT04M01.00S,2023-01-19T03:29:41.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,7.5722733245729295,54.166666666666664,1610612750,21,20,2023-01-19T03:29:51Z,1160000,False,-21.0,19.0,1,left,A. Edwards running Layup (2 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,,,,2.0,,,,,,,,,,
119,PT03M46.00S,2023-01-19T03:29:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.85479632063075,47.05882352941176,1610612743,23,20,2023-01-19T03:30:03Z,1170000,False,-15.0,15.0,1,right,N. Jokic reverse Layup (8 PTS) (B. Brown 1 AST),"[203999, 1628971]",1610612743.0,DEN,reverse,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,8.0,,,,B. Brown,1628971.0,1.0,,,,
121,PT03M29.00S,2023-01-19T03:30:13.3Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,23,20,2023-01-19T03:30:16Z,1190000,False,,,0,,J. McDaniels bad pass TURNOVER (2 TO),"[1630183, 1628427]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,2.0,Cancar,1628427.0,,,,,,,
122,PT03M29.00S,2023-01-19T03:30:13.3Z,1,REGULAR,steal,,[],1628427,,,1610612743,23,20,2023-01-19T03:30:14Z,1200000,False,,,0,,V. Cancar STEAL (1 STL),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
124,PT03M25.00S,2023-01-19T03:30:20.3Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,23,20,2023-01-19T03:30:31Z,1220000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M25.00S,2023-01-19T03:30:20.3Z,1,REGULAR,substitution,out,[],1629675,,,1610612743,23,20,2023-01-19T03:30:31Z,1230000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M25.00S,2023-01-19T03:30:20.3Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,23,20,2023-01-19T03:30:31Z,1240000,False,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M25.00S,2023-01-19T03:30:20.3Z,1,REGULAR,substitution,in,[],1630568,,,1610612743,23,20,2023-01-19T03:30:31Z,1250000,False,,,0,,SUB in: L. Garza,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M11.00S,2023-01-19T03:30:58.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203999,90.48948751642575,52.69607843137255,1610612743,25,20,2023-01-19T03:31:14Z,1260000,False,13.0,37.0,1,right,N. Jokic driving floating Jump Shot (10 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.93,Made,,,,,,,,10.0,,,,,,,,,,
129,PT03M00.00S,2023-01-19T03:31:08.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,17.16491458607096,95.58823529411765,1610612750,25,20,2023-01-19T03:31:18Z,1270000,False,-228.0,109.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
130,PT03M00.00S,2023-01-19T03:31:08.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,25,20,2023-01-19T03:31:18Z,1280000,False,,,0,,N. Jokic REBOUND (Off:2 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,129.0,3.0,1.0,2.0,,,,,,,,,,,,
131,PT02M56.00S,2023-01-19T03:31:15.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628971,92.85479632063075,49.50980392156863,1610612743,27,20,2023-01-19T03:31:26Z,1290000,False,-2.0,15.0,1,right,B. Brown running DUNK (6 PTS) (N. Jokic 5 AST),"[1628971, 203999]",1610612743.0,DEN,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,,6.0,,,,N. Jokic,203999.0,5.0,,,,
133,PT02M56.00S,2023-01-19T03:31:18.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,27,20,2023-01-19T03:31:18Z,1310000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M56.00S,2023-01-19T03:33:35.0Z,1,REGULAR,substitution,out,[],203484,,,1610612750,27,20,2023-01-19T03:34:32Z,1320000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M56.00S,2023-01-19T03:33:35.0Z,1,REGULAR,substitution,in,[],1627750,,,1610612750,27,20,2023-01-19T03:34:32Z,1330000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M32.00S,2023-01-19T03:35:20.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612750,27,20,2023-01-19T03:35:28Z,1350000,False,,,0,,MIN shot clock Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,2004.0,,,,,,,,,,,
138,PT02M20.00S,2023-01-19T03:35:49.1Z,1,REGULAR,foul,personal,[],1631111,,,1610612743,27,20,2023-01-19T03:36:53Z,1360000,False,,,0,,W. Moore Jr. personal FOUL (1 PF),"[1631111, 203999]",1610612750.0,MIN,,,,Moore Jr.,W. Moore Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,202901.0,,,,,,,,1.0,0.0,Jokic,203999.0
140,PT02M20.00S,2023-01-19T03:35:55.5Z,1,REGULAR,substitution,out,[],1630162,,,1610612743,27,20,2023-01-19T03:36:00Z,1380000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M20.00S,2023-01-19T03:35:55.5Z,1,REGULAR,substitution,in,[],1626156,,,1610612743,27,20,2023-01-19T03:36:00Z,1390000,False,,,0,,SUB in: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M20.00S,2023-01-19T03:36:03.1Z,1,REGULAR,substitution,out,[],1631111,,,1610612743,27,20,2023-01-19T03:36:09Z,1400000,False,,,0,,SUB out: W. Moore Jr.,[1631111],1610612750.0,MIN,,,,Moore Jr.,W. Moore Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M20.00S,2023-01-19T03:36:03.1Z,1,REGULAR,substitution,in,[],1629669,,,1610612743,27,20,2023-01-19T03:36:09Z,1410000,False,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M14.00S,2023-01-19T03:36:24.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203999,88.25558475689881,51.470588235294116,1610612743,29,20,2023-01-19T03:37:44Z,1420000,False,7.0,58.0,1,right,N. Jokic driving floating Jump Shot (12 PTS) (V. Cancar 1 AST),"[203999, 1628427]",1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.84,Made,,,,,,,,12.0,,,,V. Cancar,1628427.0,1.0,,,,
146,PT02M14.00S,2023-01-19T03:36:29.6Z,1,REGULAR,foul,personal,['1freethrow'],1630568,,,1610612743,29,20,2023-01-19T03:36:34Z,1440000,False,,,0,,L. Garza shooting personal FOUL (1 PF) (Jokic 1 FT),"[1630568, 203999]",1610612750.0,MIN,shooting,,,Garza,L. Garza,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1151.0,,,,,,,,1.0,0.0,Jokic,203999.0
148,PT02M14.00S,2023-01-19T03:36:49.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203999,,,1610612743,30,20,2023-01-19T03:36:49Z,1460000,False,,,0,,N. Jokic Free Throw 1 of 1 (13 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,,13.0,,,,,,,,,,
149,PT02M08.00S,2023-01-19T03:36:55.6Z,1,REGULAR,3pt,Jump Shot,[],1629669,23.209592641261498,9.803921568627452,1610612750,30,20,2023-01-19T03:37:05Z,1470000,False,201.0,166.0,1,left,MISS J. Nowell 26' 3PT,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
150,PT02M06.00S,2023-01-19T03:36:58.3Z,1,REGULAR,rebound,offensive,[],1630568,,,1610612750,30,20,2023-01-19T03:36:58Z,1480000,False,,,0,,L. Garza REBOUND (Off:1 Def:0),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Right Center,,,,,149.0,1.0,0.0,1.0,,,,,,,,,,,,
151,PT02M06.00S,2023-01-19T03:37:00.5Z,1,REGULAR,foul,personal,['2freethrow'],1628427,,,1610612750,30,20,2023-01-19T03:37:15Z,1490000,False,,,0,,V. Cancar shooting personal FOUL (1 PF) (Garza 2 FT),"[1628427, 1630568]",1610612743.0,DEN,shooting,,,Cancar,V. Cancar,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1151.0,,,,,,,,1.0,0.0,Garza,1630568.0
153,PT02M06.00S,2023-01-19T03:37:30.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630568,,,1610612750,30,21,2023-01-19T03:37:30Z,1510000,False,,,0,,L. Garza Free Throw 1 of 2 (1 PTS),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
154,PT02M06.00S,2023-01-19T03:37:31.3Z,1,REGULAR,substitution,out,[],203999,,,1610612750,30,21,2023-01-19T03:37:33Z,1520000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT02M06.00S,2023-01-19T03:37:31.3Z,1,REGULAR,substitution,in,[],1630192,,,1610612750,30,21,2023-01-19T03:37:33Z,1530000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT02M06.00S,2023-01-19T03:37:49.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630568,,,1610612750,30,22,2023-01-19T03:37:49Z,1540000,False,,,0,,L. Garza Free Throw 2 of 2 (2 PTS),[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
157,PT01M53.00S,2023-01-19T03:38:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,87.07293035479631,51.9607843137255,1610612743,30,22,2023-01-19T03:44:33Z,1550000,False,10.0,69.0,1,right,MISS J. Murray 6' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.97,Missed,,,,,,,,,,,,,,,,,,
158,PT01M53.00S,2023-01-19T03:38:04.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,30,22,2023-01-19T03:38:14Z,1560000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,157.0,,,,,,,,,,,,,,,
159,PT01M53.00S,2023-01-19T03:38:07.6Z,1,REGULAR,foul,personal,[],1630568,,,1610612743,30,22,2023-01-19T03:38:12Z,1570000,False,,,0,,L. Garza loose ball personal FOUL (2 PF),"[1630568, 1630192]",1610612750.0,MIN,loose ball,,,Garza,L. Garza,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1151.0,,,,,,,,2.0,0.0,Nnaji,1630192.0
161,PT01M40.00S,2023-01-19T03:38:40.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630538,72.22404730617609,85.04901960784314,1610612743,30,22,2023-01-19T03:38:54Z,1590000,False,175.0,209.0,1,right,MISS B. Hyland 27' 3PT - blocked,"[1630538, 1630183]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,27.24,Missed,McDaniels,1630183.0,,,,,,,,,,,,,,,,
162,PT01M40.00S,2023-01-19T03:38:40.7Z,1,REGULAR,block,,[],1630183,,,1610612743,30,22,2023-01-19T03:38:44Z,1600000,False,,,0,,J. McDaniels BLOCK (2 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
163,PT01M39.00S,2023-01-19T03:38:41.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,30,22,2023-01-19T03:38:54Z,1610000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,161.0,,,,,,,,,,,,,,,
164,PT01M39.00S,2023-01-19T03:38:46.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,30,22,2023-01-19T03:39:03Z,1620000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,1151.0,,,,,,,,,,,
165,PT01M21.00S,2023-01-19T03:39:15.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,5.338370565045992,63.23529411764706,1610612750,30,22,2023-01-19T03:39:22Z,1630000,False,-66.0,-2.0,1,left,MISS J. McDaniels 6' turnaround Shot,[1630183],1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.62,Missed,,,,,,,,,,,,,,,,,,
166,PT01M18.00S,2023-01-19T03:39:18.8Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612743,30,22,2023-01-19T03:39:22Z,1640000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,165.0,1.0,1.0,0.0,,,,,,,,,,,,
167,PT01M14.00S,2023-01-19T03:39:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,84.70762155059133,40.68627450980392,1610612743,30,22,2023-01-19T03:39:35Z,1650000,False,-47.0,91.0,1,right,MISS B. Brown 10' running Layup,[1628971],1610612743.0,DEN,running,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,10.24,Missed,,,,,,,,,,,,,,,,,,
168,PT01M11.00S,2023-01-19T03:39:25.0Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,30,22,2023-01-19T03:39:35Z,1660000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,
169,PT01M07.00S,2023-01-19T03:39:29.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629669,6.1268068331143235,72.30392156862744,1610612750,30,24,2023-01-19T03:46:19Z,1670000,False,-112.0,5.0,1,left,J. Nowell 11' running pullup Jump Shot (2 PTS) (J. McDaniels 1 AST),"[1629669, 1630183]",1610612750.0,MIN,running pullup,,,Nowell,J. Nowell,,,,,Mid-Range,8-16 Left,11.16,Made,,,,,,,,2.0,,,,J. McDaniels,1630183.0,1.0,,,,
171,PT00M49.50S,2023-01-19T03:39:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628427,87.46714848883047,40.68627450980392,1610612743,30,24,2023-01-19T03:40:06Z,1690000,False,-47.0,65.0,1,right,MISS V. Cancar 8' driving Layup - blocked,"[1628427, 1627752]",1610612743.0,DEN,driving,,,Cancar,V. Cancar,,,,,In The Paint (Non-RA),0-8 Center,8.02,Missed,Prince,1627752.0,,,,,,,,,,,,,,,,
172,PT00M49.50S,2023-01-19T03:39:49.2Z,1,REGULAR,block,,[],1627752,,,1610612743,30,24,2023-01-19T03:39:52Z,1700000,False,,,0,,T. Prince BLOCK (1 BLK),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
173,PT00M49.50S,2023-01-19T03:39:49.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,30,24,2023-01-19T03:40:06Z,1710000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,171.0,,,,,,,,,,,,,,,
175,PT00M41.80S,2023-01-19T03:40:10.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627750,84.05059132720105,36.76470588235294,1610612743,30,24,2023-01-19T03:47:25Z,1730000,False,-66.0,97.0,1,right,MISS J. Murray 11' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Left,11.78,Missed,,,,,,,,,,,,,,,,,,
176,PT00M39.60S,2023-01-19T03:40:12.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,30,24,2023-01-19T03:40:29Z,1740000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,175.0,,,,,,,,,,,,,,,
178,PT00M31.30S,2023-01-19T03:40:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630568,32.40801576872536,53.431372549019606,1610612750,30,24,2023-01-19T03:40:36Z,1760000,False,-17.0,252.0,1,left,MISS L. Garza 25' 3PT,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
179,PT00M28.10S,2023-01-19T03:40:36.0Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,30,24,2023-01-19T03:40:36Z,1770000,False,,,0,,V. Cancar REBOUND (Off:0 Def:1),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Above the Break 3,24+ Center,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,
