actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
86,PT04M11.00S,2022-10-27T02:30:21.5Z,1,REGULAR,steal,,[],2544,,,1610612747,17,16,2022-10-27T02:30:23Z,860000,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
87,PT03M58.00S,2022-10-27T02:30:34.8Z,1,REGULAR,turnover,bad pass,[],1629134,,,1610612747,17,16,2022-10-27T02:30:39Z,870000,,,0,,K. Nunn bad pass TURNOVER (1 TO),"[1629134, 203999]",1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Jokic,203999.0
88,PT03M58.00S,2022-10-27T02:30:34.8Z,1,REGULAR,steal,,[],203999,,,1610612743,17,16,2022-10-27T02:30:36Z,880000,,,0,,N. Jokic STEAL (2 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
89,PT03M56.00S,2022-10-27T02:30:37.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627750,26.10052562417871,82.35294117647058,1610612743,17,16,2022-10-27T02:32:47Z,890000,-162.0,193.0,1,left,MISS J. Murray 25' running pullup 3PT,[1627750],1610612743.0,DEN,running pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
90,PT03M51.00S,2022-10-27T02:30:42.6Z,1,REGULAR,rebound,defensive,[],1629134,,,1610612747,17,16,2022-10-27T02:30:45Z,900000,,,0,,K. Nunn REBOUND (Off:0 Def:1),[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,Above the Break 3,24+ Left Center,,,89.0,1.0,1.0,0.0,,,,,,,,,,,,,,
91,PT03M38.00S,2022-10-27T02:30:54.3Z,1,REGULAR,turnover,bad pass,[],1629134,,,1610612747,17,16,2022-10-27T02:30:59Z,910000,,,0,,K. Nunn bad pass TURNOVER (2 TO),"[1629134, 1627750]",1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,Murray,1627750.0
92,PT03M38.00S,2022-10-27T02:30:54.3Z,1,REGULAR,steal,,[],1627750,,,1610612743,17,16,2022-10-27T02:30:55Z,920000,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
93,PT03M36.00S,2022-10-27T02:30:59.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1631128,8.229303547963205,49.26470588235294,1610612743,19,16,2022-10-27T02:31:43Z,930000,4.0,25.0,1,left,C. Braun running Layup (4 PTS) (J. Murray 1 AST),"[1631128, 1627750]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,4.0,,,,,,J. Murray,1627750.0,1.0,,,,,
95,PT03M36.00S,2022-10-27T02:31:01.5Z,1,REGULAR,violation,defensive goaltending,[],2544,,,1610612743,19,16,2022-10-27T02:35:48Z,950000,,,0,,L. James defensive goaltending VIOLATION,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,202058.0,,,,,,,,,,,,
96,PT03M23.00S,2022-10-27T02:31:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629022,92.72339027595268,55.392156862745104,1610612747,19,16,2022-10-27T02:31:51Z,960000,27.0,16.0,1,right,MISS L. Walker IV driving Layup,[1629022],1610612747.0,LAL,driving,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,,
97,PT03M22.00S,2022-10-27T02:31:46.3Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,19,16,2022-10-27T02:31:51Z,970000,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT03M20.00S,2022-10-27T02:31:48.0Z,1,REGULAR,turnover,bad pass,[],1631128,,,1610612743,19,16,2022-10-27T02:31:54Z,980000,,,0,,C. Braun bad pass TURNOVER (1 TO),"[1631128, 1628972]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,1.0,Brown Jr.,1628972.0
99,PT03M20.00S,2022-10-27T02:31:48.0Z,1,REGULAR,steal,,[],1628972,,,1610612747,19,16,2022-10-27T02:31:49Z,990000,,,0,,T. Brown Jr. STEAL (1 STL),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
100,PT03M18.00S,2022-10-27T02:31:51.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203076,93.51182654402102,47.794117647058826,1610612747,19,18,2022-10-27T02:31:56Z,1000000,-11.0,8.0,1,right,A. Davis DUNK (8 PTS) (T. Brown Jr. 2 AST),"[203076, 1628972]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,8.0,,,,,,T. Brown Jr.,1628972.0,2.0,,,,,
102,PT03M18.00S,2022-10-27T02:31:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,19,18,2022-10-27T02:31:55Z,1020000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,out,[],203484,,,1610612743,19,18,2022-10-27T02:35:01Z,1030000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,19,18,2022-10-27T02:35:01Z,1040000,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,out,[],203932,,,1610612743,19,18,2022-10-27T02:35:01Z,1050000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,out,[],1629022,,,1610612743,19,18,2022-10-27T02:35:01Z,1060000,,,0,,SUB out: L. Walker IV,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,out,[],2544,,,1610612743,19,18,2022-10-27T02:35:01Z,1070000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,19,18,2022-10-27T02:35:01Z,1080000,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,19,18,2022-10-27T02:35:01Z,1090000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,in,[],201145,,,1610612743,19,18,2022-10-27T02:35:01Z,1100000,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,in,[],1630559,,,1610612743,19,18,2022-10-27T02:35:01Z,1110000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M18.00S,2022-10-27T02:34:05.9Z,1,REGULAR,substitution,in,[],1629308,,,1610612743,19,18,2022-10-27T02:35:01Z,1120000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M02.00S,2022-10-27T02:35:47.9Z,1,REGULAR,3pt,Jump Shot,[],1628971,10.988830486202366,4.411764705882353,1610612743,22,18,2022-10-27T02:35:52Z,1140000,228.0,51.0,1,left,B. Brown 3PT  (7 PTS) (B. Hyland 1 AST),"[1628971, 1630538]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Right Corner 3,24+ Right,23.35,Made,,,,,7.0,,,,,,B. Hyland,1630538.0,1.0,,,,,
116,PT02M46.00S,2022-10-27T02:36:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629308,92.59198423127464,54.90196078431373,1610612747,22,20,2022-10-27T02:36:09Z,1160000,25.0,17.0,1,right,J. Toscano-Anderson cutting Layup (2 PTS) (A. Davis 2 AST),"[1629308, 203076]",1610612747.0,LAL,cutting,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Restricted Area,0-8 Center,2.99,Made,,,,,2.0,,,,,,A. Davis,203076.0,2.0,,,,,
118,PT02M30.00S,2022-10-27T02:36:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630538,34.510512483574246,47.549019607843135,1610612743,22,20,2022-10-27T02:36:23Z,1180000,12.0,272.0,1,left,MISS B. Hyland 27' pullup 3PT,[1630538],1610612743.0,DEN,pullup,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Center,27.22,Missed,,,,,,,,,,,,,,,,,,
119,PT02M28.00S,2022-10-27T02:36:21.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,22,20,2022-10-27T02:36:23Z,1190000,,,0,,A. Davis REBOUND (Off:0 Def:4),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,118.0,4.0,4.0,0.0,,,,,,,,,,,,,,
120,PT02M20.00S,2022-10-27T02:36:30.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,91.93495400788436,57.59803921568627,1610612747,22,20,2022-10-27T02:36:35Z,1200000,38.0,23.0,1,right,MISS A. Davis turnaround Hook,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,,,,,,,,,,,,,
121,PT02M17.00S,2022-10-27T02:36:33.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,22,20,2022-10-27T02:36:35Z,1210000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,120.0,3.0,3.0,0.0,,,,,,,,,,,,,,
122,PT02M08.00S,2022-10-27T02:36:41.7Z,1,REGULAR,3pt,Jump Shot,[],1631128,11.645860709592641,4.166666666666666,1610612743,22,20,2022-10-27T02:36:45Z,1220000,229.0,57.0,1,left,MISS C. Braun 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Right Corner 3,24+ Right,23.62,Missed,,,,,,,,,,,,,,,,,,
123,PT02M05.00S,2022-10-27T02:36:44.7Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612747,22,20,2022-10-27T02:36:45Z,1230000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Right Corner 3,24+ Right,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,
124,PT01M50.00S,2022-10-27T02:36:59.7Z,1,REGULAR,2pt,Jump Shot,[],1629134,73.53810775295663,32.84313725490196,1610612747,22,20,2022-10-27T02:37:03Z,1240000,-86.0,196.0,1,right,MISS K. Nunn 21' pullup Shot,[1629134],1610612747.0,LAL,pullup,,,Nunn,K. Nunn,,,,,Mid-Range,16-24 Left Center,21.41,Missed,,,,,,,,,,,,,,,,,,
125,PT01M47.00S,2022-10-27T02:37:02.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,22,20,2022-10-27T02:37:03Z,1250000,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Left Center,,,124.0,4.0,4.0,0.0,,,,,,,,,,,,,,
126,PT01M40.00S,2022-10-27T02:37:09.8Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,22,20,2022-10-27T02:37:13Z,1260000,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 203076]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,3.0,Davis,203076.0
127,PT01M40.00S,2022-10-27T02:37:09.8Z,1,REGULAR,steal,,[],203076,,,1610612747,22,20,2022-10-27T02:37:11Z,1270000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
128,PT01M35.00S,2022-10-27T02:37:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629134,92.19776609724047,44.85294117647059,1610612747,22,22,2022-10-27T02:37:19Z,1280000,-26.0,21.0,1,right,K. Nunn running Layup (2 PTS) (A. Davis 3 AST),"[1629134, 203076]",1610612747.0,LAL,running,,,Nunn,K. Nunn,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,2.0,,,,,,A. Davis,203076.0,3.0,,,,,
130,PT01M17.00S,2022-10-27T02:37:31.7Z,1,REGULAR,3pt,Jump Shot,[],203999,32.276609724047304,35.049019607843135,1610612743,22,22,2022-10-27T02:37:38Z,1300000,75.0,251.0,1,left,MISS N. Jokic 26' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,26.18,Missed,,,,,,,,,,,,,,,,,,
131,PT01M14.00S,2022-10-27T02:37:34.7Z,1,REGULAR,rebound,defensive,[],1629134,,,1610612747,22,22,2022-10-27T02:37:38Z,1310000,,,0,,K. Nunn REBOUND (Off:0 Def:2),[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,Above the Break 3,24+ Center,,,130.0,2.0,2.0,0.0,,,,,,,,,,,,,,
132,PT01M07.00S,2022-10-27T02:37:42.9Z,1,REGULAR,2pt,Jump Shot,[],1629134,77.87450722733246,49.50980392156863,1610612747,22,22,2022-10-27T02:37:49Z,1320000,-2.0,155.0,1,right,MISS K. Nunn 15' pullup Shot,[1629134],1610612747.0,LAL,pullup,,,Nunn,K. Nunn,,,,,Mid-Range,8-16 Center,15.55,Missed,,,,,,,,,,,,,,,,,,
133,PT01M04.00S,2022-10-27T02:37:45.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,22,22,2022-10-27T02:37:49Z,1330000,,,0,,N. Jokic REBOUND (Off:0 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,,,132.0,5.0,5.0,0.0,,,,,,,,,,,,,,
134,PT00M59.20S,2022-10-27T02:37:51.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203999,7.178055190538765,53.18627450980392,1610612743,24,22,2022-10-27T02:38:37Z,1340000,-16.0,15.0,1,left,N. Jokic running finger roll Layup (6 PTS),[203999],1610612743.0,DEN,running finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,6.0,,,,,,,,,,,,,
135,PT00M41.80S,2022-10-27T02:38:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629134,85.62746386333771,40.44117647058824,1610612747,24,22,2022-10-27T02:38:19Z,1350000,-48.0,83.0,1,right,MISS K. Nunn 9' driving floating Shot,[1629134],1610612747.0,LAL,driving floating,,,Nunn,K. Nunn,,,,,In The Paint (Non-RA),8-16 Center,9.54,Missed,,,,,,,,,,,,,,,,,,
136,PT00M39.00S,2022-10-27T02:38:15.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,24,22,2022-10-27T02:39:34Z,1360000,,,0,,N. Jokic REBOUND (Off:0 Def:6),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,135.0,6.0,6.0,0.0,,,,,,,,,,,,,,
137,PT00M36.70S,2022-10-27T02:38:19.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",201145,6.652431011826544,50.49019607843137,1610612743,26,22,2022-10-27T02:38:27Z,1370000,-2.0,10.0,1,left,J. Green running DUNK (2 PTS) (B. Hyland 2 AST),"[201145, 1630538]",1610612743.0,DEN,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.03,Made,,,,,2.0,,,,,,B. Hyland,1630538.0,2.0,,,,,
139,PT00M26.50S,2022-10-27T02:38:32.7Z,1,REGULAR,3pt,Jump Shot,[],1628972,67.23061760840999,56.61764705882353,1610612747,26,22,2022-10-27T02:38:37Z,1390000,33.0,256.0,1,right,MISS T. Brown Jr. 25' 3PT,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Center,25.76,Missed,,,,,,,,,,,,,,,,,,
140,PT00M23.30S,2022-10-27T02:38:35.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,26,22,2022-10-27T02:38:37Z,1400000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT00M18.20S,2022-10-27T02:38:40.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630538,6.521024967148489,55.88235294117647,1610612743,26,22,2022-10-27T02:40:35Z,1410000,-29.0,9.0,1,left,MISS B. Hyland running Layup,[1630538],1610612743.0,DEN,running,,,Hyland,B. Hyland,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
142,PT00M16.60S,2022-10-27T02:38:42.5Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612743,26,22,2022-10-27T02:40:35Z,1420000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,141.0,1.0,0.0,1.0,,,,,,,,,,,,,,
143,PT00M15.20S,2022-10-27T02:38:43.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630538,7.5722733245729295,4.166666666666666,1610612743,26,22,2022-10-27T02:40:52Z,1430000,229.0,19.0,1,left,MISS B. Hyland 3PT,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,Right Corner 3,24+ Right,23.0,Missed,,,,,,,,,,,,,,,,,,
144,PT00M11.70S,2022-10-27T02:38:47.3Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,26,22,2022-10-27T02:40:52Z,1440000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Right Corner 3,24+ Right,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,,
145,PT00M04.20S,2022-10-27T02:38:56.0Z,1,REGULAR,foul,personal,[],1631128,,,1610612747,26,22,2022-10-27T02:39:19Z,1450000,,,0,,C. Braun take personal FOUL (1 PF),"[1631128, 1630559]",1610612743.0,DEN,take,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,,,,,,,,203591.0,1.0,0.0,Reaves,1630559.0,,,,,,,,
147,PT00M04.20S,2022-10-27T02:39:05.2Z,1,REGULAR,substitution,out,[],203999,,,1610612747,26,22,2022-10-27T02:39:21Z,1470000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M04.20S,2022-10-27T02:39:05.2Z,1,REGULAR,substitution,out,[],1629308,,,1610612747,26,22,2022-10-27T02:39:21Z,1480000,,,0,,SUB out: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M04.20S,2022-10-27T02:39:05.2Z,1,REGULAR,substitution,in,[],201599,,,1610612747,26,22,2022-10-27T02:39:21Z,1490000,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M04.20S,2022-10-27T02:39:05.2Z,1,REGULAR,substitution,in,[],2544,,,1610612747,26,22,2022-10-27T02:39:21Z,1500000,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M01.80S,2022-10-27T02:39:30.3Z,1,REGULAR,3pt,Jump Shot,[],2544,68.28186596583443,69.36274509803921,1610612747,26,22,2022-10-27T02:41:39Z,1510000,97.0,246.0,1,right,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
152,PT00M01.80S,2022-10-27T02:39:30.3Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612743,26,22,2022-10-27T02:39:40Z,1520000,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,,
153,PT00M00.00S,2022-10-27T02:39:36.3Z,1,REGULAR,period,end,[],0,,,1610612743,26,22,2022-10-27T02:39:36Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-10-27T02:42:32.4Z,2,REGULAR,substitution,out,['startperiod'],203076,,,1610612743,26,22,2022-10-27T02:43:10Z,1540000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-10-27T02:42:32.4Z,2,REGULAR,substitution,out,['startperiod'],1629134,,,1610612743,26,22,2022-10-27T02:43:10Z,1550000,,,0,,SUB out: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-10-27T02:42:32.4Z,2,REGULAR,substitution,in,['startperiod'],1627745,,,1610612743,26,22,2022-10-27T02:43:10Z,1560000,,,0,,SUB in: D. Jones,[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-10-27T02:42:32.4Z,2,REGULAR,substitution,in,['startperiod'],201976,,,1610612743,26,22,2022-10-27T02:43:10Z,1570000,,,0,,SUB in: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-10-27T02:43:14.2Z,2,REGULAR,period,start,[],0,,,1610612747,26,22,2022-10-27T02:43:14Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M47.00S,2022-10-27T02:43:26.2Z,2,REGULAR,3pt,Jump Shot,[],2544,81.2910643889619,9.558823529411764,1610612747,26,25,2022-10-27T02:48:49Z,1590000,-202.0,123.0,1,right,L. James 3PT  (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,16-24 Left,23.69,Made,,,,,3.0,,,,,,,,,,,,,
160,PT11M32.00S,2022-10-27T02:43:41.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.389618922470433,51.470588235294116,1610612743,28,25,2022-10-27T02:43:45Z,1600000,-7.0,8.0,1,left,D. Jordan alley-oop DUNK (2 PTS) (B. Hyland 3 AST),"[201599, 1630538]",1610612743.0,DEN,alley-oop,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,1.06,Made,,,,,2.0,,,,,,B. Hyland,1630538.0,3.0,,,,,
162,PT11M20.00S,2022-10-27T02:43:53.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,87.07293035479631,51.9607843137255,1610612747,28,25,2022-10-27T02:44:01Z,1620000,10.0,69.0,1,right,MISS P. Beverley 6' floating Shot,[201976],1610612747.0,LAL,floating,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,6.97,Missed,,,,,,,,,,,,,,,,,,
163,PT11M17.00S,2022-10-27T02:43:56.2Z,2,REGULAR,rebound,defensive,[],201599,,,1610612743,28,25,2022-10-27T02:44:01Z,1630000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,162.0,1.0,1.0,0.0,,,,,,,,,,,,,,
164,PT11M07.00S,2022-10-27T02:44:06.2Z,2,REGULAR,3pt,Jump Shot,[],1628971,27.283180026281208,16.911764705882355,1610612743,31,25,2022-10-27T02:44:10Z,1640000,165.0,204.0,1,left,B. Brown 26' 3PT  (10 PTS) (B. Hyland 4 AST),"[1628971, 1630538]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,26.26,Made,,,,,10.0,,,,,,B. Hyland,1630538.0,4.0,,,,,
166,PT10M54.00S,2022-10-27T02:44:20.8Z,2,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612747,31,25,2022-10-27T02:44:31Z,1660000,,,0,,B. Brown shooting personal FOUL (1 PF) (Jones 2 FT),"[1628971, 1627745]",1610612743.0,DEN,shooting,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,203591.0,1.0,0.0,Jones,1627745.0,,,,,,,,
168,PT10M54.00S,2022-10-27T02:44:48.9Z,2,REGULAR,freethrow,1 of 2,[],1627745,,,1610612747,31,25,2022-10-27T02:44:48Z,1680000,,,0,,MISS D. Jones Free Throw 1 of 2,[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
