actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
97,PT04M26.00S,2021-11-03T02:55:56.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,90.45663600525624,51.22549019607843,1610612747,28,24,2021-11-03T02:56:01Z,940000,6.0,37.0,1,right,D. Jordan alley-oop DUNK (2 PTS) (M. Monk 2 AST),"[201599, 1628370]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,3.77,Made,2.0,M. Monk,1628370.0,2.0,,,,,,,,,,,,,,
99,PT04M14.00S,2021-11-03T02:56:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630231,27.38173455978975,82.35294117647058,1610612745,28,27,2021-11-03T02:56:13Z,960000,-162.0,205.0,1,left,K. Martin Jr. 26' 3PT  (3 PTS) (K. Porter Jr. 3 AST),"[1630231, 1629645]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,26.11,Made,3.0,K. Porter Jr.,1629645.0,3.0,,,,,,,,,,,,,,
101,PT04M01.00S,2021-11-03T02:56:22.3Z,1,REGULAR,3pt,Jump Shot,[],202340,75.87056504599212,87.99019607843137,1610612747,28,27,2021-11-03T03:05:25Z,980000,190.0,174.0,1,right,MISS A. Bradley 25' step back 3PT,[202340],1610612747.0,LAL,step back,,,Bradley,A. Bradley,,,,,25.78,Missed,,,,,,,,,,,,,,,,,,
102,PT03M58.00S,2021-11-03T02:56:25.3Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,28,27,2021-11-03T02:56:26Z,990000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,101.0,2.0,1.0,1.0,,,,,
103,PT03M55.00S,2021-11-03T02:56:35.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203145,,,1610612745,28,27,2021-11-03T02:56:41Z,1000000,,,0,,K. Bazemore personal FOUL (2 PF) (Wood 2 FT),"[203145, 1626174]",1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,1627964.0,2.0,0.0,Wood,1626174.0,,,,,,,,,
105,PT03M55.00S,2021-11-03T02:57:01.3Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,28,27,2021-11-03T02:57:27Z,1020000,,,0,,MISS C. Wood Free Throw 1 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
106,PT03M55.00S,2021-11-03T02:57:01.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,28,27,2021-11-03T02:57:27Z,1030000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,
107,PT03M55.00S,2021-11-03T02:57:02.2Z,1,REGULAR,substitution,out,[],2544,,,1610612745,28,27,2021-11-03T02:57:15Z,1040000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M55.00S,2021-11-03T02:57:02.2Z,1,REGULAR,substitution,out,[],203145,,,1610612745,28,27,2021-11-03T02:57:15Z,1050000,,,0,,SUB out: K. Bazemore,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M55.00S,2021-11-03T02:57:02.2Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,28,27,2021-11-03T02:57:15Z,1060000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M55.00S,2021-11-03T02:57:02.2Z,1,REGULAR,substitution,in,[],1630559,,,1610612745,28,27,2021-11-03T02:57:15Z,1070000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M55.00S,2021-11-03T02:57:02.2Z,1,REGULAR,substitution,in,[],2546,,,1610612745,28,27,2021-11-03T02:57:15Z,1080000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M55.00S,2021-11-03T02:57:02.2Z,1,REGULAR,substitution,in,[],1629717,,,1610612745,28,27,2021-11-03T02:57:15Z,1090000,,,0,,SUB in: A. Brooks,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M55.00S,2021-11-03T02:57:01.3Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,28,27,2021-11-03T02:57:27Z,1100000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
114,PT03M50.00S,2021-11-03T02:57:06.3Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,28,27,2021-11-03T02:57:27Z,1110000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,113.0,1.0,1.0,0.0,,,,,
115,PT03M50.00S,2021-11-03T02:57:45.0Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",203145,,,1610612747,28,27,2021-11-03T02:57:52Z,1120000,,,0,,K. Bazemore technical FOUL (1 Tech),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,1627964.0,2.0,1.0,,,,,,,,,,,
116,PT03M50.00S,2021-11-03T02:57:53.4Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612747,28,27,2021-11-03T02:57:53Z,1130000,,,0,,MISS J. Green technical Free Throw 1 of 1,[1630224],1610612745.0,HOU,technical,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,
117,PT03M50.00S,2021-11-03T02:57:53.4Z,1,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612747,28,27,2021-11-03T02:57:53Z,1140000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,
118,PT03M50.00S,2021-11-03T02:57:56.8Z,1,REGULAR,substitution,out,[],202340,,,1610612747,28,27,2021-11-03T02:58:00Z,1150000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M50.00S,2021-11-03T02:57:56.8Z,1,REGULAR,substitution,in,[],201566,,,1610612747,28,27,2021-11-03T02:58:00Z,1160000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M40.00S,2021-11-03T02:58:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,93.47897503285151,46.81372549019608,1610612747,30,27,2021-11-03T02:58:24Z,1170000,-16.0,9.0,1,right,R. Westbrook driving Layup (6 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.82,Made,6.0,,,,,,,,,,,,,,,,,
122,PT03M31.00S,2021-11-03T02:58:37.1Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1628370,,,1610612745,30,27,2021-11-03T02:58:58Z,1180000,,,0,,M. Monk defensive-3-second technical FOUL (1 Tech),[1628370],1610612747.0,LAL,defensive-3-second,,,Monk,M. Monk,,,,,,,,,,,202058.0,0.0,1.0,,,,,,,,,,,
123,PT03M31.00S,2021-11-03T02:58:50.4Z,1,REGULAR,freethrow,1 of 1,[],1629717,,,1610612745,30,28,2021-11-03T02:58:50Z,1190000,,,0,,A. Brooks technical Free Throw 1 of 1 (1 PTS),[1629717],1610612745.0,HOU,technical,,,Brooks,A. Brooks,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
124,PT03M21.00S,2021-11-03T02:59:11.9Z,1,REGULAR,2pt,Jump Shot,[],1626174,20.942838370565042,35.5392156862745,1610612745,30,28,2021-11-03T02:59:20Z,1200000,72.0,144.0,1,left,MISS C. Wood 16' Jump Shot,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,16.15,Missed,,,,,,,,,,,,,,,,,,
125,PT03M18.00S,2021-11-03T02:59:14.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,30,28,2021-11-03T02:59:14Z,1210000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,124.0,2.0,2.0,0.0,,,,,
126,PT03M12.00S,2021-11-03T02:59:21.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,93.47897503285151,50.49019607843137,1610612747,32,28,2021-11-03T02:59:26Z,1220000,2.0,9.0,1,right,D. Jordan cutting DUNK (4 PTS) (R. Westbrook 2 AST),"[201599, 201566]",1610612747.0,LAL,cutting,,,Jordan,D. Jordan,,,,,0.91,Made,4.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,
128,PT02M49.00S,2021-11-03T02:59:43.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626174,9.247700394218143,48.529411764705884,1610612745,32,30,2021-11-03T02:59:50Z,1240000,7.0,34.0,1,left,C. Wood Hook (7 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,3.52,Made,7.0,,,,,,,,,,,,,,,,,
129,PT02M35.00S,2021-11-03T02:59:57.9Z,1,REGULAR,turnover,lost ball,[],201599,,,1610612747,32,30,2021-11-03T03:00:03Z,1250000,,,0,,D. Jordan lost ball TURNOVER (1 TO),"[201599, 1629645]",1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,1.0,Porter Jr.,1629645.0
130,PT02M35.00S,2021-11-03T02:59:57.9Z,1,REGULAR,steal,,[],1629645,,,1610612745,32,30,2021-11-03T03:00:00Z,1260000,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M32.00S,2021-11-03T03:00:01.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,7.276609724047319,48.0392156862745,1610612745,32,32,2021-11-03T03:00:06Z,1270000,10.0,16.0,1,left,J. Green running DUNK (12 PTS) (C. Wood 2 AST),"[1630224, 1626174]",1610612745.0,HOU,running,,,Green,J. Green,,,,,1.87,Made,12.0,C. Wood,1626174.0,2.0,,,,,,,,,,,,,,
133,PT02M19.00S,2021-11-03T03:00:21.6Z,1,REGULAR,foul,offensive,['inpenalty'],1630559,,,1610612747,32,32,2021-11-03T03:00:30Z,1290000,,,0,,A. Reaves offensive FOUL (1 PF),"[1630559, 1630224]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,202058.0,1.0,0.0,Green,1630224.0,,,,,,,,,
135,PT02M19.00S,2021-11-03T03:00:21.6Z,1,REGULAR,turnover,offensive foul,[],1630559,,,1610612747,32,32,2021-11-03T03:00:21Z,1310000,,,0,,A. Reaves offensive foul TURNOVER (1 TO),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,202058.0,,,,,,,,,,,1.0,,
136,PT02M19.00S,2021-11-03T03:00:32.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,32,32,2021-11-03T03:00:32Z,1320000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M19.00S,2021-11-03T03:02:47.7Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,32,32,2021-11-03T03:03:02Z,1330000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M19.00S,2021-11-03T03:02:47.7Z,1,REGULAR,substitution,out,[],1629645,,,1610612745,32,32,2021-11-03T03:03:02Z,1340000,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M19.00S,2021-11-03T03:02:47.7Z,1,REGULAR,substitution,in,[],1628021,,,1610612745,32,32,2021-11-03T03:03:02Z,1350000,,,0,,SUB in: D. Nwaba,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M19.00S,2021-11-03T03:02:47.7Z,1,REGULAR,substitution,in,[],201571,,,1610612745,32,32,2021-11-03T03:03:02Z,1360000,,,0,,SUB in: D. Augustin,[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M10.00S,2021-11-03T03:03:24.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201599,,,1610612745,32,32,2021-11-03T03:03:30Z,1370000,,,0,,D. Jordan shooting personal FOUL (1 PF) (Wood 2 FT),"[201599, 1626174]",1610612747.0,LAL,shooting,,,Jordan,D. Jordan,,,,,,,,,,,1627964.0,1.0,0.0,Wood,1626174.0,,,,,,,,,
146,PT02M10.00S,2021-11-03T03:03:43.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626174,,,1610612745,32,33,2021-11-03T03:03:58Z,1390000,,,0,,C. Wood Free Throw 1 of 2 (8 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
147,PT02M10.00S,2021-11-03T03:03:43.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626174,,,1610612745,32,33,2021-11-03T03:03:58Z,1400000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
148,PT02M07.00S,2021-11-03T03:03:46.8Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,32,33,2021-11-03T03:03:58Z,1410000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,147.0,1.0,1.0,0.0,,,,,
149,PT01M48.00S,2021-11-03T03:04:16.7Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,32,33,2021-11-03T03:04:22Z,1420000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1626174]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,1.0,Wood,1626174.0
150,PT01M48.00S,2021-11-03T03:04:16.7Z,1,REGULAR,steal,,[],1626174,,,1610612745,32,33,2021-11-03T03:04:19Z,1430000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M43.00S,2021-11-03T03:04:21.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629717,6.356767411300922,51.22549019607843,1610612745,32,33,2021-11-03T03:04:26Z,1440000,-6.0,7.0,1,left,MISS A. Brooks running Layup,[1629717],1610612745.0,HOU,running,,,Brooks,A. Brooks,,,,,0.95,Missed,,,,,,,,,,,,,,,,,,
152,PT01M41.00S,2021-11-03T03:04:23.1Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,32,33,2021-11-03T03:04:23Z,1450000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,151.0,1.0,1.0,0.0,,,,,
153,PT01M38.00S,2021-11-03T03:04:26.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628370,91.11366622864652,48.0392156862745,1610612747,32,33,2021-11-03T03:04:35Z,1460000,-10.0,31.0,1,right,MISS M. Monk running Layup,[1628370],1610612747.0,LAL,running,,,Monk,M. Monk,,,,,3.25,Missed,,,,,,,,,,,,,,,,,,
154,PT01M31.00S,2021-11-03T03:04:33.7Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,32,33,2021-11-03T03:04:35Z,1470000,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,153.0,2.0,1.0,1.0,,,,,
155,PT01M31.00S,2021-11-03T03:04:33.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",201599,94.40999984741211,50.0,1610612747,32,33,2021-11-03T03:04:39Z,1480000,0.0,0.0,1,right,MISS D. Jordan tip Layup,[201599],1610612747.0,LAL,tip,,,Jordan,D. Jordan,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
156,PT01M30.00S,2021-11-03T03:04:34.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,32,33,2021-11-03T03:04:34Z,1490000,,,0,,C. Wood REBOUND (Off:0 Def:4),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,155.0,4.0,4.0,0.0,,,,,
157,PT01M18.00S,2021-11-03T03:04:46.6Z,1,REGULAR,3pt,Jump Shot,[],1626174,29.747043363994734,78.67647058823529,1610612745,32,33,2021-11-03T03:04:52Z,1500000,-143.0,227.0,1,left,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,
158,PT01M16.00S,2021-11-03T03:04:48.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,32,33,2021-11-03T03:08:01Z,1510000,,,0,,D. Jordan REBOUND (Off:1 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,157.0,3.0,2.0,1.0,,,,,
175,PT01M16.00S,2021-11-03T03:04:50.0Z,1,REGULAR,turnover,lost ball,[],201599,,,1610612747,32,33,2021-11-03T03:08:28Z,1515000,,,0,,D. Jordan lost ball TURNOVER (2 TO),"[201599, 1628021]",1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,2.0,Nwaba,1628021.0
176,PT01M16.00S,2021-11-03T03:04:50.0Z,1,REGULAR,steal,,[],1628021,,,1610612745,32,33,2021-11-03T03:08:28Z,1517500,,,0,,D. Nwaba STEAL (1 STL),[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M11.00S,2021-11-03T03:04:53.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626174,24.6222076215506,88.48039215686275,1610612745,32,33,2021-11-03T03:08:28Z,1520000,-192.0,179.0,1,left,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,
160,PT01M09.00S,2021-11-03T03:04:55.5Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,32,33,2021-11-03T03:04:57Z,1530000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,159.0,1.0,1.0,0.0,,,,,
161,PT01M02.00S,2021-11-03T03:05:02.5Z,1,REGULAR,3pt,Jump Shot,[],2546,67.85479632063075,40.931372549019606,1610612747,32,33,2021-11-03T03:05:07Z,1540000,-45.0,250.0,1,right,MISS C. Anthony 25' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,
162,PT01M00.00S,2021-11-03T03:05:04.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,32,33,2021-11-03T03:05:07Z,1550000,,,0,,C. Wood REBOUND (Off:0 Def:5),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,161.0,5.0,5.0,0.0,,,,,
163,PT00M46.40S,2021-11-03T03:05:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629717,27.644546649145866,80.63725490196079,1610612745,32,33,2021-11-03T03:05:23Z,1560000,-153.0,207.0,1,left,MISS A. Brooks 25' 3PT,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,25.78,Missed,,,,,,,,,,,,,,,,,,
164,PT00M43.20S,2021-11-03T03:05:22.3Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,32,33,2021-11-03T03:05:23Z,1570000,,,0,,D. Jordan REBOUND (Off:1 Def:3),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,163.0,4.0,3.0,1.0,,,,,
165,PT00M36.60S,2021-11-03T03:05:29.0Z,1,REGULAR,3pt,Jump Shot,[],1628370,87.82851511169514,95.58823529411765,1610612747,32,33,2021-11-03T03:05:35Z,1580000,228.0,62.0,1,right,MISS M. Monk 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,23.62,Missed,,,,,,,,,,,,,,,,,,
166,PT00M34.50S,2021-11-03T03:05:31.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,32,33,2021-11-03T03:05:35Z,1590000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,
168,PT00M23.10S,2021-11-03T03:05:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,7.802233902759525,50.73529411764706,1610612745,32,35,2021-11-03T03:06:05Z,1610000,-4.0,21.0,1,left,C. Wood driving Layup (10 PTS) (A. Brooks 1 AST),"[1626174, 1629717]",1610612745.0,HOU,driving,,,Wood,C. Wood,,,,,2.11,Made,10.0,A. Brooks,1629717.0,1.0,,,,,,,,,,,,,,
170,PT00M03.50S,2021-11-03T03:06:21.8Z,1,REGULAR,3pt,Jump Shot,[],201566,73.37385019710908,83.33333333333334,1610612747,32,35,2021-11-03T03:06:40Z,1630000,167.0,198.0,1,right,MISS R. Westbrook 25' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,
171,PT00M01.30S,2021-11-03T03:06:24.0Z,1,REGULAR,rebound,defensive,[],1628021,,,1610612745,32,35,2021-11-03T03:06:40Z,1640000,,,0,,D. Nwaba REBOUND (Off:0 Def:1),[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,170.0,1.0,1.0,0.0,,,,,
172,PT00M00.60S,2021-11-03T03:06:25.9Z,1,REGULAR,3pt,Jump Shot,[],1628021,39.73390275952694,71.32352941176471,1610612745,32,35,2021-11-03T03:06:45Z,1650000,-107.0,321.0,1,left,MISS D. Nwaba 33' 3PT,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,33.82,Missed,,,,,,,,,,,,,,,,,,
173,PT00M00.10S,2021-11-03T03:06:26.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,32,35,2021-11-03T03:06:45Z,1660000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,
174,PT00M00.00S,2021-11-03T03:06:29.1Z,1,REGULAR,period,end,[],0,,,1610612745,32,35,2021-11-03T03:06:29Z,1670000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2021-11-03T03:08:31.3Z,2,REGULAR,substitution,out,['startperiod'],1628370,,,1610612745,32,35,2021-11-03T03:09:10Z,1680000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2021-11-03T03:08:31.3Z,2,REGULAR,substitution,out,['startperiod'],1626174,,,1610612745,32,35,2021-11-03T03:09:10Z,1690000,,,0,,SUB out: C. Wood,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2021-11-03T03:08:31.3Z,2,REGULAR,substitution,in,['startperiod'],2544,,,1610612745,32,35,2021-11-03T03:09:10Z,1700000,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2021-11-03T03:08:31.3Z,2,REGULAR,substitution,in,['startperiod'],1630578,,,1610612745,32,35,2021-11-03T03:09:10Z,1710000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2021-11-03T03:09:13.3Z,2,REGULAR,period,start,[],0,,,1610612747,32,35,2021-11-03T03:09:13Z,1720000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT11M53.00S,2021-11-03T03:09:24.0Z,2,REGULAR,foul,offensive,[],201599,,,1610612747,32,35,2021-11-03T03:09:34Z,1730000,,,0,,D. Jordan offensive FOUL (2 PF),"[201599, 1628021]",1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,1627964.0,2.0,0.0,Nwaba,1628021.0,,,,,,,,,
184,PT11M53.00S,2021-11-03T03:09:24.0Z,2,REGULAR,turnover,offensive foul,[],201599,,,1610612747,32,35,2021-11-03T03:09:24Z,1750000,,,0,,D. Jordan offensive foul TURNOVER (3 TO),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,1627964.0,,,,,,,,,,,3.0,,
185,PT11M34.00S,2021-11-03T03:09:53.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630231,8.065045992115643,50.73529411764706,1610612745,32,37,2021-11-03T03:09:58Z,1760000,-4.0,23.0,1,left,K. Martin Jr. cutting finger roll Layup (5 PTS) (A. Sengun 2 AST),"[1630231, 1630578]",1610612745.0,HOU,cutting finger roll,,,Martin Jr.,K. Martin Jr.,,,,,2.36,Made,5.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,,
187,PT11M31.00S,2021-11-03T03:10:00.0Z,2,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,32,37,2021-11-03T03:10:05Z,1780000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,,,,,,,1627964.0,,,,,,,,,,,1.0,,
188,PT11M08.00S,2021-11-03T03:10:24.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628021,8.459264126149804,47.549019607843135,1610612745,32,39,2021-11-03T03:10:28Z,1790000,12.0,27.0,1,left,D. Nwaba driving Layup (2 PTS),[1628021],1610612745.0,HOU,driving,,,Nwaba,D. Nwaba,,,,,2.97,Made,2.0,,,,,,,,,,,,,,,,,
