actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
610,PT02M07.00S,2021-11-29T04:43:30.3Z,4,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,108,100,2021-11-29T04:43:32Z,6060000,,,0,,MISS A. Davis Free Throw 1 of 1,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,
611,PT02M04.00S,2021-11-29T04:43:33.3Z,4,REGULAR,rebound,defensive,[],1630595,,,1610612765,108,100,2021-11-29T04:43:32Z,6070000,,,0,,C. Cunningham REBOUND (Off:1 Def:8),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,610.0,9.0,8.0,1.0,,,,,,,,,,,,
612,PT01M49.00S,2021-11-29T04:43:47.1Z,4,REGULAR,3pt,Jump Shot,[],1630595,71.27135348226018,22.794117647058826,1610612765,108,100,2021-11-29T04:43:53Z,6080000,-136.0,218.0,1,right,MISS C. Cunningham 25' step back 3PT - blocked,"[1630595, 203076]",1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,,,25.65,Missed,,,,,,,,,,,,,,,Davis,203076.0
613,PT01M49.00S,2021-11-29T04:43:47.1Z,4,REGULAR,block,,[],203076,,,1610612765,108,100,2021-11-29T04:43:49Z,6090000,,,0,,A. Davis BLOCK (3 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,
614,PT01M47.00S,2021-11-29T04:43:49.1Z,4,REGULAR,rebound,defensive,[],1629659,,,1610612747,108,100,2021-11-29T04:43:53Z,6100000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:7),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,612.0,8.0,7.0,1.0,,,,,,,,,,,,
615,PT01M33.00S,2021-11-29T04:44:05.9Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,108,100,2021-11-29T04:44:05Z,6110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,PT01M27.00S,2021-11-29T04:44:35.2Z,4,REGULAR,3pt,Jump Shot,[],201566,28.695795006570307,23.774509803921575,1610612747,108,100,2021-11-29T04:44:40Z,6120000,131.0,217.0,1,left,MISS R. Westbrook 25' step back 3PT,[201566],1610612747.0,LAL,step back,,,Westbrook,R. Westbrook,,,,,,,25.37,Missed,,,,,,,,,,,,,,,,
617,PT01M24.00S,2021-11-29T04:44:38.2Z,4,REGULAR,rebound,defensive,[],1630165,,,1610612765,108,100,2021-11-29T04:44:40Z,6130000,,,0,,K. Hayes REBOUND (Off:0 Def:3),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,616.0,3.0,3.0,0.0,,,,,,,,,,,,
618,PT01M21.00S,2021-11-29T04:44:41.7Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203924,90.06241787122208,47.30392156862745,1610612765,108,102,2021-11-29T04:44:50Z,6140000,-13.0,41.0,1,right,J. Grant running Layup (28 PTS) (K. Hayes 7 AST),"[203924, 1630165]",1610612765.0,DET,running,,,Grant,J. Grant,,,,,,,4.31,Made,,,,,,,,,28.0,K. Hayes,1630165.0,7.0,,,,
620,PT01M05.00S,2021-11-29T04:44:58.3Z,4,REGULAR,3pt,Jump Shot,[],2544,35.79172141918528,72.30392156862744,1610612747,108,102,2021-11-29T04:45:02Z,6160000,-112.0,284.0,1,left,MISS L. James 30' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,30.5,Missed,,,,,,,,,,,,,,,,
621,PT01M02.00S,2021-11-29T04:45:01.3Z,4,REGULAR,rebound,defensive,[],1628402,,,1610612765,108,102,2021-11-29T04:45:02Z,6170000,,,0,,F. Jackson REBOUND (Off:0 Def:2),[1628402],1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,,,620.0,2.0,2.0,0.0,,,,,,,,,,,,
622,PT00M58.60S,2021-11-29T04:45:08.8Z,4,REGULAR,foul,personal,[],1629659,,,1610612765,108,102,2021-11-29T04:45:14Z,6180000,,,0,,T. Horton-Tucker personal FOUL (5 PF),"[1629659, 1630595]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,1627534.0,,,,,,,,5.0,0.0,Cunningham,1630595.0,,,,,,,,
