actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
90,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,in,[],1630596,,,1610612739,19,15,2021-10-30T02:53:33Z,900000,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,in,[],1629012,,,1610612739,19,15,2021-10-30T02:53:33Z,910000,,,0,,SUB in: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M00.00S,2021-10-30T02:53:44.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201567,12.927069645203687,71.32352941176471,1610612739,19,15,2021-10-30T02:53:52Z,920000,-107.0,69.0,1,left,MISS K. Love 12' turnaround fadeaway Shot,[201567],1610612739.0,CLE,turnaround fadeaway,,,Love,K. Love,,,,,,,12.7,Missed,,,,,,,,,,,,,,,,,
93,PT03M56.00S,2021-10-30T02:53:48.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,19,15,2021-10-30T02:53:52Z,930000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,
94,PT03M56.00S,2021-10-30T02:53:51.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,19,15,2021-10-30T02:53:51Z,940000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M56.00S,2021-10-30T02:54:04.0Z,1,REGULAR,substitution,out,[],203145,,,1610612739,19,15,2021-10-30T02:54:06Z,950000,,,0,,SUB out: K. Bazemore,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M56.00S,2021-10-30T02:54:04.0Z,1,REGULAR,substitution,in,[],1630559,,,1610612739,19,15,2021-10-30T02:54:06Z,960000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M47.00S,2021-10-30T02:54:21.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630205,5.962549277266746,51.96078431372549,1610612739,19,15,2021-10-30T02:57:49Z,970000,-10.0,4.0,1,left,MISS L. Stevens cutting DUNK,[1630205],1610612739.0,CLE,cutting,,,Stevens,L. Stevens,,,,,,,1.04,Missed,,,,,,,,,,,,,,,,,
98,PT03M46.00S,2021-10-30T02:54:22.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,19,15,2021-10-30T02:54:29Z,980000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,
99,PT03M42.00S,2021-10-30T02:54:29.6Z,1,REGULAR,foul,personal,['2freethrow'],1630205,,,1610612747,19,15,2021-10-30T02:54:57Z,990000,,,0,,L. Stevens shooting personal FOUL (1 PF) (James 2 FT),"[1630205, 2544]",1610612739.0,CLE,shooting,,,Stevens,L. Stevens,,,,,2715.0,,,,,,,,,,,,,,,,1.0,0.0,James,2544.0,
101,PT03M42.00S,2021-10-30T02:54:58.6Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,20,15,2021-10-30T02:54:58Z,1010000,,,0,,L. James Free Throw 1 of 2 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
102,PT03M42.00S,2021-10-30T02:55:14.6Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,21,15,2021-10-30T02:55:14Z,1020000,,,0,,L. James Free Throw 2 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
103,PT03M31.00S,2021-10-30T02:55:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201937,14.37253613666229,46.07843137254902,1610612739,21,15,2021-10-30T02:56:02Z,1030000,20.0,83.0,1,left,MISS R. Rubio 8' driving floating Shot - blocked,"[201937, 1630559]",1610612739.0,CLE,driving floating,,,Rubio,R. Rubio,,,,,,,8.49,Missed,,,,,,,,,,,Reaves,1630559.0,,,,,
104,PT03M31.00S,2021-10-30T02:55:29.3Z,1,REGULAR,block,,[],1630559,,,1610612739,21,15,2021-10-30T02:55:31Z,1040000,,,0,,A. Reaves BLOCK (1 BLK),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M26.00S,2021-10-30T02:55:34.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,21,15,2021-10-30T03:02:37Z,1050000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,
105,PT03M26.00S,2021-10-30T02:55:56.7Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612739,21,15,2021-10-30T03:02:24Z,1060000,,,0,,Jump Ball R. Rubio vs. A. Reaves: Tip to C. Sexton,"[1629012, 201937, 1630559]",1610612739.0,CLE,heldball,C. Sexton,1629012.0,Sexton,C. Sexton,Rubio,201937.0,Reaves,1630559.0,,,,,,,,,,,,,,,,,,,,,
109,PT03M23.00S,2021-10-30T02:56:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629012,6.4881734559789805,48.774509803921575,1610612739,21,17,2021-10-30T02:59:55Z,1090000,6.0,8.0,1,left,C. Sexton driving Layup (2 PTS),[1629012],1610612739.0,CLE,driving,,,Sexton,C. Sexton,,,,,,,1.05,Made,2.0,,,,,,,,,,,,,,,,
110,PT03M18.00S,2021-10-30T02:56:06.9Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,21,17,2021-10-30T02:56:13Z,1100000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,1627541.0,1.0,,,,,,,,,,,,,,,,,,,
111,PT03M03.00S,2021-10-30T02:56:31.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201567,6.093955321944804,47.79411764705882,1610612739,21,19,2021-10-30T02:56:38Z,1110000,11.0,5.0,1,left,K. Love reverse Layup (2 PTS) (R. Rubio 1 AST),"[201567, 201937]",1610612739.0,CLE,reverse,,,Love,K. Love,,,,,,,1.2,Made,2.0,R. Rubio,201937.0,1.0,,,,,,,,,,,,,
113,PT03M03.00S,2021-10-30T02:56:42.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,21,19,2021-10-30T02:56:42Z,1130000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M03.00S,2021-10-30T02:58:57.9Z,1,REGULAR,substitution,out,[],2544,,,1610612747,21,19,2021-10-30T02:59:27Z,1140000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M03.00S,2021-10-30T02:58:57.9Z,1,REGULAR,substitution,in,[],201566,,,1610612747,21,19,2021-10-30T02:59:27Z,1150000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M50.00S,2021-10-30T02:59:42.3Z,1,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612747,21,19,2021-10-30T02:59:47Z,1160000,,,0,,M. Monk bad pass out-of-bounds TURNOVER (1 TO),[1628370],1610612747.0,LAL,bad pass,,,Monk,M. Monk,,,,,2715.0,1.0,,,,,,,,,,,,,,,,,,,
117,PT02M39.00S,2021-10-30T03:00:02.6Z,1,REGULAR,foul,personal,[],1628370,,,1610612739,21,19,2021-10-30T03:00:09Z,1170000,,,0,,M. Monk personal FOUL (1 PF),"[1628370, 201937]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,1627541.0,,,,,,,,,,,,,,,,1.0,0.0,Rubio,201937.0,
119,PT02M31.00S,2021-10-30T03:00:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630596,5.962549277266746,48.28431372549019,1610612739,21,21,2021-10-30T03:00:31Z,1190000,9.0,4.0,1,left,E. Mobley cutting Layup (8 PTS) (R. Rubio 2 AST),"[1630596, 201937]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,,,0.93,Made,8.0,R. Rubio,201937.0,2.0,,,,,,,,,,,,,
121,PT02M15.00S,2021-10-30T03:00:42.2Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,21,21,2021-10-30T03:00:48Z,1210000,,,0,,R. Westbrook bad pass TURNOVER (3 TO),"[201566, 1629012]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,3.0,,,,,,,,,,,Sexton,1629012.0,,,,,,,
122,PT02M15.00S,2021-10-30T03:00:42.2Z,1,REGULAR,steal,,[],1629012,,,1610612739,21,21,2021-10-30T03:00:43Z,1220000,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M13.00S,2021-10-30T03:00:46.6Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612739,21,21,2021-10-30T03:00:54Z,1230000,,,0,,M. Monk shooting personal FOUL (2 PF) (Sexton 2 FT),"[1628370, 1629012]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,1628951.0,,,,,,,,,,,,,,,,2.0,0.0,Sexton,1629012.0,
125,PT02M13.00S,2021-10-30T03:01:13.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629012,,,1610612739,21,21,2021-10-30T03:01:13Z,1250000,,,0,,MISS C. Sexton Free Throw 1 of 2,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,Missed,,,,,,,,,,,,,,,,,
126,PT02M13.00S,2021-10-30T03:01:13.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,21,21,2021-10-30T03:01:13Z,1260000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,
127,PT02M13.00S,2021-10-30T03:01:25.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629012,,,1610612739,21,22,2021-10-30T03:01:25Z,1270000,,,0,,C. Sexton Free Throw 2 of 2 (3 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
128,PT01M53.00S,2021-10-30T03:01:44.9Z,1,REGULAR,turnover,lost ball,[],2546,,,1610612747,21,22,2021-10-30T03:01:48Z,1280000,,,0,,C. Anthony lost ball TURNOVER (1 TO),"[2546, 201937]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,1.0,,,,,,,,,,,Rubio,201937.0,,,,,,,
129,PT01M53.00S,2021-10-30T03:01:44.9Z,1,REGULAR,steal,,[],201937,,,1610612739,21,22,2021-10-30T03:01:46Z,1290000,,,0,,R. Rubio STEAL (2 STL),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M48.00S,2021-10-30T03:01:50.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201937,25.147831800262807,84.31372549019608,1610612739,21,22,2021-10-30T03:02:58Z,1300000,-172.0,184.0,1,left,MISS R. Rubio 25' running 3PT,[201937],1610612739.0,CLE,running,,,Rubio,R. Rubio,,,,,,,25.15,Missed,,,,,,,,,,,,,,,,,
131,PT01M43.00S,2021-10-30T03:01:55.0Z,1,REGULAR,rebound,offensive,[],1630205,,,1610612739,21,22,2021-10-30T03:02:58Z,1310000,,,0,,L. Stevens REBOUND (Off:1 Def:0),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,130.0,1.0,0.0,1.0,,,,,,,,,
132,PT01M43.00S,2021-10-30T03:01:55.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1630205,5.590000152587891,50.0,1610612739,21,22,2021-10-30T03:02:37Z,1320000,0.0,0.0,1,left,MISS L. Stevens tip Layup,[1630205],1610612739.0,CLE,tip,,,Stevens,L. Stevens,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
133,PT01M42.00S,2021-10-30T03:01:56.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,21,22,2021-10-30T03:02:37Z,1330000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,132.0,2.0,2.0,0.0,,,,,,,,,
134,PT01M42.00S,2021-10-30T03:01:57.6Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,21,22,2021-10-30T03:02:22Z,1340000,,,0,,A. Davis lost ball TURNOVER (2 TO),"[203076, 1630205]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,2.0,,,,,,,,,,,Stevens,1630205.0,,,,,,,
135,PT01M42.00S,2021-10-30T03:01:57.6Z,1,REGULAR,steal,,[],1630205,,,1610612739,21,22,2021-10-30T03:02:00Z,1350000,,,0,,L. Stevens STEAL (1 STL),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M42.00S,2021-10-30T03:02:02.5Z,1,REGULAR,foul,personal,[],203076,,,1610612739,21,22,2021-10-30T03:02:07Z,1360000,,,0,,A. Davis take personal FOUL (1 PF),"[203076, 201937]",1610612747.0,LAL,take,,,Davis,A. Davis,,,,,2715.0,,,,,,,,,,,,,,,,1.0,0.0,Rubio,201937.0,
138,PT01M29.00S,2021-10-30T03:02:36.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203076,,,1610612739,21,22,2021-10-30T03:02:42Z,1380000,,,0,,A. Davis shooting personal FOUL (2 PF) (Sexton 2 FT),"[203076, 1629012]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,1627541.0,,,,,,,,,,,,,,,,2.0,0.0,Sexton,1629012.0,
140,PT01M29.00S,2021-10-30T03:02:58.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629012,,,1610612739,21,23,2021-10-30T03:02:58Z,1400000,,,0,,C. Sexton Free Throw 1 of 2 (4 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
141,PT01M29.00S,2021-10-30T03:03:10.9Z,1,REGULAR,substitution,out,[],203076,,,1610612739,21,23,2021-10-30T03:03:13Z,1410000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M29.00S,2021-10-30T03:03:10.9Z,1,REGULAR,substitution,in,[],2730,,,1610612739,21,23,2021-10-30T03:03:13Z,1420000,,,0,,SUB in: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M29.00S,2021-10-30T03:03:23.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629012,,,1610612739,21,24,2021-10-30T03:03:23Z,1430000,,,0,,C. Sexton Free Throw 2 of 2 (5 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,
144,PT01M22.00S,2021-10-30T03:03:35.2Z,1,REGULAR,foul,offensive,['inpenalty'],2546,,,1610612747,21,24,2021-10-30T03:04:42Z,1440000,,,0,,C. Anthony offensive FOUL (1 PF),"[2546, 1629012]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,1627541.0,,,,,,,,,,,,,,,,1.0,0.0,Sexton,1629012.0,
146,PT01M22.00S,2021-10-30T03:03:35.2Z,1,REGULAR,turnover,offensive foul,[],2546,,,1610612747,21,24,2021-10-30T03:03:35Z,1460000,,,0,,C. Anthony offensive foul TURNOVER (2 TO),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,1627541.0,2.0,,,,,,,,,,,,,,,,,,,
147,PT01M13.00S,2021-10-30T03:04:04.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630596,22.78252299605782,73.52941176470588,1610612739,21,24,2021-10-30T03:04:10Z,1470000,-118.0,162.0,1,left,MISS E. Mobley 19' pullup Shot,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,,,19.99,Missed,,,,,,,,,,,,,,,,,
148,PT01M09.00S,2021-10-30T03:04:07.0Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,21,24,2021-10-30T03:04:07Z,1480000,,,0,,E. Mobley REBOUND (Off:2 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,147.0,2.0,0.0,2.0,,,,,,,,,
149,PT00M59.00S,2021-10-30T03:04:18.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,7.276609724047319,56.127450980392155,1610612739,21,24,2021-10-30T03:09:14Z,1490000,-31.0,16.0,1,left,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,,,3.45,Missed,,,,,,,,,,,,,,,,,
150,PT00M52.60S,2021-10-30T03:04:24.5Z,1,REGULAR,rebound,offensive,[],1630205,,,1610612739,21,24,2021-10-30T03:04:26Z,1500000,,,0,,L. Stevens REBOUND (Off:2 Def:0),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,149.0,2.0,0.0,2.0,,,,,,,,,
151,PT00M52.60S,2021-10-30T03:04:24.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630205,5.590000152587891,50.0,1610612739,21,24,2021-10-30T03:04:24Z,1510000,0.0,0.0,1,left,MISS L. Stevens tip Layup,[1630205],1610612739.0,CLE,tip,,,Stevens,L. Stevens,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
152,PT00M51.60S,2021-10-30T03:04:25.6Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,21,24,2021-10-30T03:04:25Z,1520000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,
153,PT00M51.50S,2021-10-30T03:04:28.5Z,1,REGULAR,foul,personal,[],201937,,,1610612747,21,24,2021-10-30T03:04:37Z,1530000,,,0,,R. Rubio personal FOUL (1 PF),"[201937, 1630559]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,1628951.0,,,,,,,,,,,,,,,,1.0,0.0,Reaves,1630559.0,
155,PT00M43.20S,2021-10-30T03:04:55.6Z,1,REGULAR,2pt,Jump Shot,[],201566,83.36070959264126,28.431372549019613,1610612747,21,24,2021-10-30T03:05:06Z,1550000,-108.0,104.0,1,right,MISS R. Westbrook 14' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,,,14.97,Missed,,,,,,,,,,,,,,,,,
156,PT00M40.40S,2021-10-30T03:04:58.4Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,21,24,2021-10-30T03:05:06Z,1560000,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,155.0,2.0,2.0,0.0,,,,,,,,,
157,PT00M37.70S,2021-10-30T03:05:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,6.750985545335084,50.245098039215684,1610612739,21,26,2021-10-30T03:05:12Z,1570000,-1.0,11.0,1,left,C. Sexton running finger roll Layup (7 PTS) (K. Love 1 AST),"[1629012, 201567]",1610612739.0,CLE,running finger roll,,,Sexton,C. Sexton,,,,,,,1.11,Made,7.0,K. Love,201567.0,1.0,,,,,,,,,,,,,
159,PT00M29.10S,2021-10-30T03:05:13.2Z,1,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612747,21,26,2021-10-30T03:05:25Z,1590000,,,0,,M. Monk bad pass out-of-bounds TURNOVER (2 TO),[1628370],1610612747.0,LAL,bad pass,,,Monk,M. Monk,,,,,1627541.0,2.0,,,,,,,,,,,,,,,,,,,
160,PT00M10.40S,2021-10-30T03:05:41.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201567,12.401445466491452,51.470588235294116,1610612739,21,28,2021-10-30T03:05:45Z,1600000,-7.0,64.0,1,left,K. Love 6' turnaround Hook (4 PTS) (R. Rubio 3 AST),"[201567, 201937]",1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,,,6.45,Made,4.0,R. Rubio,201937.0,3.0,,,,,,,,,,,,,
162,PT00M00.70S,2021-10-30T03:05:52.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,67.9862023653088,54.411764705882355,1610612747,21,28,2021-10-30T03:06:02Z,1620000,22.0,248.0,1,right,MISS A. Reaves 24' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,24.94,Missed,,,,,,,,,,,,,,,,,
163,PT00M00.70S,2021-10-30T03:05:52.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,21,28,2021-10-30T03:06:02Z,1630000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,,
164,PT00M00.00S,2021-10-30T03:05:58.6Z,1,REGULAR,period,end,[],0,,,1610612747,21,28,2021-10-30T03:05:58Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-10-30T03:07:26.0Z,2,REGULAR,substitution,out,['startperiod'],1628370,,,1610612747,21,28,2021-10-30T03:08:40Z,1650000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-10-30T03:07:26.0Z,2,REGULAR,substitution,out,['startperiod'],201567,,,1610612747,21,28,2021-10-30T03:08:40Z,1660000,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-10-30T03:07:26.0Z,2,REGULAR,substitution,out,['startperiod'],1629012,,,1610612747,21,28,2021-10-30T03:08:40Z,1670000,,,0,,SUB out: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-10-30T03:07:26.0Z,2,REGULAR,substitution,in,['startperiod'],2544,,,1610612747,21,28,2021-10-30T03:08:40Z,1680000,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-10-30T03:07:26.0Z,2,REGULAR,substitution,in,['startperiod'],1628374,,,1610612747,21,28,2021-10-30T03:08:40Z,1690000,,,0,,SUB in: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-10-30T03:07:26.0Z,2,REGULAR,substitution,in,['startperiod'],1629636,,,1610612747,21,28,2021-10-30T03:08:40Z,1700000,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-10-30T03:08:40.0Z,2,REGULAR,period,start,[],0,,,1610612747,21,28,2021-10-30T03:08:41Z,1710000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M51.00S,2021-10-30T03:08:47.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201566,93.2161629434954,48.0392156862745,1610612747,23,28,2021-10-30T03:08:53Z,1720000,-10.0,11.0,1,right,R. Westbrook driving Layup (9 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,1.5,Made,9.0,,,,,,,,,,,,,,,,
173,PT11M35.00S,2021-10-30T03:09:04.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,6.356767411300922,51.22549019607843,1610612739,23,30,2021-10-30T03:09:07Z,1730000,-6.0,7.0,1,left,L. Markkanen cutting Layup (5 PTS) (E. Mobley 1 AST),"[1628374, 1630596]",1610612739.0,CLE,cutting,,,Markkanen,L. Markkanen,,,,,,,0.95,Made,5.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,
175,PT11M17.00S,2021-10-30T03:09:21.5Z,2,REGULAR,2pt,Jump Shot,[],2544,87.43429697766098,12.5,1610612747,25,30,2021-10-30T03:09:35Z,1750000,-188.0,66.0,1,right,L. James 19' step back Jump Shot (6 PTS),[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,,,19.86,Made,6.0,,,,,,,,,,,,,,,,
176,PT11M06.00S,2021-10-30T03:09:33.0Z,2,REGULAR,3pt,Jump Shot,[],1628374,28.301576872536145,77.20588235294117,1610612739,25,33,2021-10-30T03:09:38Z,1760000,-136.0,214.0,1,left,L. Markkanen 25' 3PT  (8 PTS) (D. Garland 5 AST),"[1628374, 1629636]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,25.31,Made,8.0,D. Garland,1629636.0,5.0,,,,,,,,,,,,,
178,PT10M51.00S,2021-10-30T03:09:47.6Z,2,REGULAR,3pt,Jump Shot,[],2546,79.02431011826545,90.93137254901961,1610612747,25,33,2021-10-30T03:09:53Z,1780000,205.0,145.0,1,right,MISS C. Anthony 25' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,25.07,Missed,,,,,,,,,,,,,,,,,
179,PT10M49.00S,2021-10-30T03:09:49.6Z,2,REGULAR,rebound,defensive,[],201937,,,1610612739,25,33,2021-10-30T03:09:53Z,1790000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,,
180,PT10M42.00S,2021-10-30T03:09:56.9Z,2,REGULAR,2pt,Jump Shot,[],1629636,6.8823915900131425,23.774509803921575,1610612739,25,35,2021-10-30T03:10:03Z,1800000,131.0,12.0,1,left,D. Garland 13' step back Jump Shot (2 PTS),[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,,,13.17,Made,2.0,,,,,,,,,,,,,,,,
